
[00:00:00.000 --> 00:00:05.180]   So as someone who writes and talks a lot about producing meaningful stuff in a distracted world,
[00:43:43.960 --> 00:43:44.620]   We have the servers.
[00:43:44.620 --> 00:43:45.500]   It's easy to set up.
[00:43:45.500 --> 00:43:47.180]   We already had computers in these offices.
[00:43:47.180 --> 00:43:49.940]   It does voicemail and faxes much easier.
[00:43:49.940 --> 00:43:51.200]   It's very easy to use.
[00:43:51.200 --> 00:43:53.920]   You put the address in the two and you write it like a letter and press in.
[00:43:53.920 --> 00:43:54.620]   Then you have an inbox.
[00:43:54.620 --> 00:43:55.600]   It's like a physical inbox.
[00:43:55.600 --> 00:43:56.960]   It was very easy to learn.
[00:43:56.960 --> 00:43:59.340]   And when it spread, it spread fast.
[00:43:59.340 --> 00:44:00.440]   It was very disruptive.
[00:44:00.440 --> 00:44:06.140]   But there wasn't like a giant advantage of like, well, these people knew about it and jumped on it and it really helped.
[00:44:06.140 --> 00:44:08.100]   And these people didn't know about it because it was inevitable.
[00:44:08.100 --> 00:44:09.480]   Google is another example.
[00:44:09.480 --> 00:44:10.980]   Like effective web search.
[00:44:11.340 --> 00:44:16.480]   When that became available, everyone started using it and it swept really through.
[00:44:16.480 --> 00:44:22.240]   There wasn't like a giant advantage to people who like were keeping up with Google and they knew about it before other people.
[00:44:22.820 --> 00:44:24.940]   It became inevitable when it spread.
[00:44:24.940 --> 00:44:26.460]   The iPhone was a similar way.
[00:44:26.460 --> 00:44:28.520]   People are like, oh, what is this thing?
[00:44:28.520 --> 00:44:32.140]   And there was like a one-year period where it was, oh, that's so cool you have one of those.
[00:44:32.140 --> 00:44:36.020]   And then it started spreading really rapidly because it was inevitable.
[00:44:36.020 --> 00:44:36.880]   This thing works.
[00:44:36.880 --> 00:44:37.940]   It does all these cool things.
[00:44:37.940 --> 00:44:39.260]   It's easy to use, easy to get.
[00:44:39.260 --> 00:44:40.500]   That thing spread really far.
[00:44:40.500 --> 00:44:49.520]   So often like the most transformative technologies, they become inevitable and spread really fast and don't require a huge amount of learning on behalf of the consumer cycle.
[00:44:49.520 --> 00:44:53.320]   So I'm not typically a big believer that like everyone needs to be really up on the technology.
[00:44:53.320 --> 00:45:01.820]   It's why I'm telling people I'm not as big on this idea that you should really be learning like the specific way to prompt the current like large language models right now.
[00:45:01.820 --> 00:45:14.380]   When AI, the big transformational impacts of AI are going to be inevitable and they're going to be easy to pick up and they're going to spread everywhere and they're going to disrupt the economy like those other technologies did.
[00:45:14.380 --> 00:45:16.020]   And it's not going to matter.
[00:45:16.020 --> 00:45:18.920]   It's not going to be I learned how to do it and other people didn't.
[00:45:18.920 --> 00:45:19.960]   Right.
[00:45:19.960 --> 00:45:30.700]   So I think like right now, if you really are messing around a lot with language models and have found very specific ways, somewhat complicated ways to use them in your own work, it's kind of like the early adherence of the web.
[00:45:30.860 --> 00:45:42.060]   They were right that this thing is going to be really big, but they were also hacking HTML code and knew how to follow like blog rings and go on Usenet news groups and IRC forums to find links to what's going on.
[00:45:42.060 --> 00:45:42.660]   That was interesting.
[00:45:42.660 --> 00:45:46.000]   And when the web took off, you didn't have to know how to do any of that.
[00:45:46.000 --> 00:45:46.700]   It was like, I don't know.
[00:45:46.740 --> 00:45:49.640]   I go to Google and I find the websites and they're pretty nice and easy to use.
[00:45:49.640 --> 00:46:06.740]   So I agree adaptation happens, the world changes, but I often think those changes are easier for the people involved when it comes to technological revolutions than we sometimes imagine, at least the way that tech first adopters imagine.
[00:46:07.940 --> 00:46:09.040]   All right, what's our second call?
[00:46:09.040 --> 00:46:09.820]   I'm excited about having to.
[00:46:09.820 --> 00:46:09.980]   Yep.
[00:46:09.980 --> 00:46:11.980]   Hey, Cal.
[00:46:11.980 --> 00:46:14.560]   Enjoy all that you do.
[00:46:14.560 --> 00:46:34.360]   I was watching the Masters Golf Tournament, and at the end of the day, Saturday, before the final round, Rory McIlroy is winning, and he did a post-round interview, and he said,
[00:46:34.360 --> 00:46:40.700]   I'm putting my phone away, and I won't look at my phone again until tomorrow night.
[00:46:40.700 --> 00:46:47.000]   I thought it was cool, and I thought of you guys and what you're doing there.
[00:46:47.000 --> 00:46:49.100]   So anyway, check it out.
[00:46:49.100 --> 00:46:58.840]   I have to say, Jesse, there's a moment of disappointment when I see in my script Rory McIlroy and his phone.
[00:46:58.840 --> 00:47:02.360]   A little disappointed it wasn't Rory who called in.
[00:47:02.360 --> 00:47:05.320]   It was like a little bit of a hope that he was going to.
[00:47:05.320 --> 00:47:06.680]   He reads all of Holliday's books.
[00:47:06.680 --> 00:47:07.960]   He does like Holliday's books.
[00:47:07.960 --> 00:47:08.280]   Yeah.
[00:47:08.280 --> 00:47:09.580]   I think Holliday actually talked to him.
[00:47:10.360 --> 00:47:12.240]   He's much better at like actually getting in touch with these people.
[00:47:12.240 --> 00:47:14.080]   That's a great example.
[00:47:14.080 --> 00:47:17.880]   I wrote an essay about a similar example back during the pandemic, I think.
[00:47:17.880 --> 00:47:21.200]   It was Alex Honnold who did the free solo climb of El Capitan.
[00:47:21.200 --> 00:47:31.060]   He also will stop using his phone, but he'll stop using his phone months in advance of one of those life-threatening climbs because he doesn't want to be distracted.
[00:47:31.060 --> 00:47:53.220]   To me, the point is the fact that these high-performance athletes say I have to get away from my phone in order to like the next day use my brain at a high level just indicates – these are people who know how to focus – indicates the cognitive drag that is being generated by a life mediated through these screens.
[00:47:53.220 --> 00:47:54.340]   It's like we take it for granted.
[00:47:54.340 --> 00:47:54.800]   Like I don't know.
[00:47:54.800 --> 00:47:55.360]   I have it here.
[00:47:55.360 --> 00:47:56.240]   I'd be bored without it.
[00:47:56.240 --> 00:48:00.340]   But we don't realize the sand that's put into the gears that is our mind and how we perceive the world.
[00:48:00.340 --> 00:48:03.820]   It's like whatever your equivalent is of playing a really good golf round.
[00:48:03.820 --> 00:48:08.460]   It might be like being really present with your kids or having like a really good idea at work or just enjoying a day.
[00:48:09.000 --> 00:48:18.120]   Whatever your equivalent is of that is also getting gunked up by this online world that you're constantly also involved in.
[00:48:18.120 --> 00:48:22.520]   So to me, I think there's a lesson we can all take from this.
[00:48:22.520 --> 00:48:25.840]   Like we can all do better at our own masters, I guess is one way of saying that.
[00:48:25.840 --> 00:48:26.840]   Did you watch it?
[00:48:26.840 --> 00:48:29.740]   I watched the – yes.
[00:48:29.740 --> 00:48:29.940]   Okay.
[00:48:29.940 --> 00:48:30.960]   So I was here.
[00:48:30.960 --> 00:48:33.120]   Let me think what the context was.
[00:48:33.120 --> 00:48:35.200]   I was at the HQ.
[00:48:35.200 --> 00:48:36.800]   This was on Sunday, right?
[00:48:36.800 --> 00:48:37.340]   Yeah.
[00:48:37.340 --> 00:48:38.220]   I was at the HQ right.
[00:48:38.220 --> 00:48:38.860]   Well, it was all weekend.
[00:48:39.100 --> 00:48:39.640]   Yeah, yeah.
[00:48:39.640 --> 00:48:43.660]   But at the end, like I knew he was doing well and I kind of – and then he was struggling a little bit.
[00:48:43.660 --> 00:48:46.000]   And then I stopped following it.
[00:48:46.000 --> 00:48:47.280]   I was here riding at the HQ.
[00:48:47.280 --> 00:48:48.660]   And then I just looked it up.
[00:48:48.660 --> 00:48:56.320]   And it was like as I looked it up, they said it's going to a playoff right now.
[00:48:56.320 --> 00:49:00.620]   And so I rushed home and I turned it on.
[00:49:00.620 --> 00:49:04.360]   And just coincidentally, I turned on the TV.
[00:49:04.360 --> 00:49:05.760]   It was already tuned to CBS.
[00:49:05.760 --> 00:49:08.000]   Because God, I don't know what I was watching on CBS.
[00:49:08.080 --> 00:49:09.200]   So whatever, it was already tuned to CBS.
[00:49:09.200 --> 00:49:16.080]   Oh, because I was watching the Blue Origin live feed of Katy Perry and Gayle King and all of them going into space.
[00:49:16.080 --> 00:49:18.540]   That was aired on CBS that morning.
[00:49:21.080 --> 00:49:26.720]   Anyways, I turned it on and it was like just as the second shots were being made.
[00:49:26.720 --> 00:49:32.780]   So for those who didn't watch it, Justin Rose, you know, second shot, there's a par four.
[00:49:34.080 --> 00:49:37.360]   This is almost more interesting to people than my baseball talk.
[00:49:37.360 --> 00:49:40.180]   Justin Rose hit like a really good second shot.
[00:49:40.180 --> 00:49:40.460]   Yeah.
[00:49:40.460 --> 00:49:41.800]   That's probably like 10 feet from the hole.
[00:49:41.800 --> 00:49:43.420]   And then McRoy just nailed it.
[00:49:43.420 --> 00:49:46.880]   He hit it up higher on the hill and it rolled to like a foot and a half from the hole.
[00:49:47.280 --> 00:49:50.980]   19 million people watched on Sunday, which is like higher than an NFL game.
[00:49:50.980 --> 00:49:51.400]   That's crazy.
[00:49:51.400 --> 00:49:51.880]   Most of the time.
[00:49:51.880 --> 00:49:52.200]   Yeah.
[00:49:52.200 --> 00:49:55.520]   Mad Dog said it was the most entertaining Masters he's ever seen in his life.
[00:49:55.520 --> 00:49:57.820]   It was so many up and downs like in the final round.
[00:49:57.820 --> 00:49:58.200]   Yeah.
[00:49:58.200 --> 00:49:59.600]   Anyways, that was fun.
[00:49:59.600 --> 00:50:00.500]   That was fun.
[00:50:00.500 --> 00:50:03.180]   I don't watch a lot of golf, but I like when there's like a storyline like that.
[00:50:03.180 --> 00:50:04.060]   And Rory's my guy.
[00:50:04.760 --> 00:50:07.300]   I was telling my kids like, yeah, he reads my books or whatever.
[00:50:07.300 --> 00:50:09.320]   And so they were like, so do you get credit if he wins?
[00:50:09.320 --> 00:50:09.860]   Like I do.
[00:50:09.860 --> 00:50:11.440]   I think I really do.
[00:50:11.440 --> 00:50:13.120]   He'll send you some of the $4 million pot.
[00:50:13.120 --> 00:50:14.420]   I thought it was $20 million.
[00:50:14.420 --> 00:50:15.860]   Well, that's a total pot.
[00:50:15.860 --> 00:50:16.400]   Oh.
[00:50:16.400 --> 00:50:17.400]   But the winner goes to.
[00:50:17.400 --> 00:50:18.000]   Yeah.
[00:50:18.000 --> 00:50:18.420]   Okay.
[00:50:18.420 --> 00:50:21.540]   So nevermind that I was excited for a second.
[00:50:21.540 --> 00:50:24.820]   Bit of $4 million is not going to help me.
[00:50:24.820 --> 00:50:27.580]   All right.
[00:50:27.580 --> 00:50:31.020]   We got a final segment coming up.
[00:50:31.020 --> 00:50:32.080]   Ooh, tech corner.
[00:50:32.320 --> 00:50:39.660]   I got dystopian AI news to jump into, but before we get there, let's hear from another
[00:50:39.660 --> 00:50:40.140]   sponsor.
[00:50:40.140 --> 00:50:46.500]   Did you know that there are over 18,000 streaming titles on Netflix worldwide, but if you live
[00:50:46.500 --> 00:50:51.260]   in the U S you're only seeing about 7,000 of those, that's like paying full price for
[00:50:51.260 --> 00:50:54.460]   a gym membership, but only getting access to the treadmill.
[00:50:54.460 --> 00:50:57.440]   There's a way to get access to the full experience.
[00:50:57.440 --> 00:51:00.980]   And that is with express VPN.
[00:51:01.620 --> 00:51:02.400]   Why is that?
[00:51:02.400 --> 00:51:08.120]   Because if you use a VPN, you can connect to the internet through a server, any one of
[00:51:08.120 --> 00:51:09.480]   their servers they have around the world.
[00:51:09.480 --> 00:51:14.640]   So if you want to access, for example, the Netflix content in the UK, you can connect to an express
[00:51:14.640 --> 00:51:15.780]   VPN server in the UK.
[00:51:15.780 --> 00:51:20.420]   And now as far as Netflix is concerned, you're coming from the UK and you can do that with
[00:51:20.420 --> 00:51:23.580]   any of the many countries that express VPN has its server.
[00:51:23.640 --> 00:51:27.160]   So it's kind of like a cool bonus you get for using a VPN.
[00:51:27.160 --> 00:51:44.780]   The big reason you want to use the VPN, of course, is for privacy and security, because not only does it allow you to connect to a server anywhere in the world, it also means to people who are where you are, where you're connecting your internet service provider, you're directly connecting to the person listening into your wireless packets at the coffee shop.
[00:51:45.140 --> 00:51:48.580]   All they learn about your traffic is that you're talking to a VPN server.
[00:51:48.580 --> 00:51:51.940]   So they don't know what sites or services you're using.
[00:51:52.120 --> 00:51:58.660]   So you can get cool geolocation shifts and privacy and security from people who are right where you're using the internet itself.
[00:51:58.660 --> 00:52:02.500]   If you're going to use a VPN, use the one I recommend, which is ExpressVPN.
[00:52:02.500 --> 00:52:03.540]   It's easy to use.
[00:52:03.540 --> 00:52:10.360]   You can fire up the app and it's just working for all of your sites and services you're accessing from that device.
[00:52:10.360 --> 00:52:13.100]   One click, you can change the location it's connected through.
[00:52:13.100 --> 00:52:21.700]   So if you want to access content from somewhere else or choose a location near where you are to get faster speeds, it really works on all of your devices, phones, laptops, tablets, smart TVs, and more.
[00:52:21.700 --> 00:52:27.960]   However, very fast, you can stream HD through a VPN and ExpressVPN, you'll have zero buffering.
[00:52:27.960 --> 00:52:30.320]   So it works really well.
[00:52:30.320 --> 00:52:37.180]   So anyways, I'm a fan of ExpressVPN, industry standard, servers all around the world, a lot of bandwidth, really easy to use.
[00:52:37.180 --> 00:52:40.240]   You need a VPN, check out ExpressVPN.
[00:52:40.240 --> 00:52:48.060]   So be smart, stop paying full price for streaming services and only getting access to a fraction of their content.
[00:52:48.060 --> 00:52:51.040]   Start gaining privacy and security for your internet traffic.
[00:52:51.040 --> 00:52:54.660]   Get your money's worth at expressvpn.com slash deep.
[00:52:54.660 --> 00:53:03.340]   Don't forget to use my link at expressvpn.com slash deep to get an extra four months of ExpressVPN for free.
[00:53:03.340 --> 00:53:06.520]   I just want to talk about our longtime friends at Shopify.
[00:53:06.520 --> 00:53:10.580]   You run a small business, you know that there's nothing small about it.
[00:53:11.420 --> 00:53:15.100]   I own a small business built around our media company here, so I get it.
[00:53:15.100 --> 00:53:18.860]   My business really does take up a lot of my attention.
[00:53:18.860 --> 00:53:21.420]   There's a lot of details in trying to run a business right.
[00:53:21.420 --> 00:53:27.460]   New decisions to make, such as what weird accent to use.
[00:53:28.180 --> 00:53:31.240]   How can I integrate a skeleton into what I'm doing?
[00:53:31.240 --> 00:53:36.840]   How can I make superfluous sports references that are going to scare away as many of our listeners as possible?
[00:53:36.840 --> 00:53:38.640]   And that's where I'm paying attention.
[00:53:38.640 --> 00:53:44.760]   So where I don't want to have to waste my time is figuring out if I'm selling something, how do I sell things in a way that's going to work?
[00:53:44.760 --> 00:53:46.220]   I could just look at Shopify.
[00:53:46.220 --> 00:53:49.760]   Shopify is the way to sell things.
[00:53:49.760 --> 00:53:52.540]   It's the commerce platform behind millions of businesses around the world.
[00:53:52.940 --> 00:54:00.160]   10% of all e-commerce in the U.S., from household names like Mattel and Gymshark to brands just getting started, use Shopify.
[00:54:00.160 --> 00:54:08.060]   You can do all of your important commerce-related tasks from Shopify inventory to payments to analytics to more.
[00:54:08.060 --> 00:54:16.080]   It also makes the marketing minefield easy with built-in tools for running social media and email campaigns so you can find new customers and keep them.
[00:54:16.300 --> 00:54:24.420]   And if you're looking to grow your business internationally, keep in mind, Shopify has tools that work in over 150 countries.
[00:54:24.420 --> 00:54:27.000]   In person, no problem.
[00:54:27.000 --> 00:54:34.680]   They have award-winning point-of-sale products that connect your online and offline sales all in one place.
[00:54:34.680 --> 00:54:38.620]   99.99% uptime and the best converting checkout in the planet.
[00:54:38.620 --> 00:54:41.360]   You'll never miss a sale again when you use Shopify.
[00:54:41.580 --> 00:54:44.900]   So get all the big stuff for your small business right with Shopify.
[00:54:44.900 --> 00:54:50.560]   Sign up for your $1 per month trial and start selling today at shopify.com slash deep.
[00:54:50.560 --> 00:54:53.340]   Go to shopify.com slash deep.
[00:54:53.340 --> 00:54:56.520]   Shopify.com slash deep.
[00:54:56.520 --> 00:54:57.640]   All right.
[00:54:57.640 --> 00:55:00.000]   With that, let's move on to our final segment.
[00:55:00.000 --> 00:55:01.760]   All right.
[00:55:01.760 --> 00:55:05.940]   So we want to return back to AI.
[00:55:05.940 --> 00:55:07.860]   I don't know, Jesse, what do you think?
[00:55:07.860 --> 00:55:10.980]   Are we getting good or bad feedback about all this AI stuff I'm doing?
[00:55:11.740 --> 00:55:12.240]   Pretty good.
[00:55:12.240 --> 00:55:17.700]   The people that email me are, you know, bringing it up and talking about giving points and articles and stuff.
[00:55:17.700 --> 00:55:17.960]   All right.
[00:55:17.960 --> 00:55:18.360]   I like it.
[00:55:18.360 --> 00:55:21.160]   So I basically feel like this final segment, I don't know, I'm a computer scientist.
[00:55:21.160 --> 00:55:23.740]   I got to geek out a little bit and people care a lot about AI.
[00:55:23.740 --> 00:55:26.820]   So I like to have an excuse to keep up with it.
[00:55:26.820 --> 00:55:30.100]   So today I have a, like a relatively dystopian thing to share.
[00:55:30.100 --> 00:55:33.380]   I'm going to bring this up on the screen for people who are watching instead of just listening.
[00:55:33.780 --> 00:55:43.880]   So this is this report called AI 2027 that was produced by five people from the space, Daniel Koko Tajlo.
[00:55:43.880 --> 00:55:44.720]   Oh, I know who that is.
[00:55:44.720 --> 00:55:49.280]   Scott Alexander, Thomas Lawrenson, Eli Liflund, and Romeo Dean.
[00:55:50.280 --> 00:55:53.200]   This is a case study.
[00:55:53.200 --> 00:55:59.640]   They're saying we want to walk through a potential case study, like what might happen in the next few years with AI.
[00:55:59.640 --> 00:56:00.680]   All right.
[00:56:00.680 --> 00:56:09.300]   And like, and we're going to try to be more specific than just sort of vague descriptions of like, hey, maybe in the future, this will happen.
[00:56:09.960 --> 00:56:11.320]   So they, they just published this.
[00:56:11.320 --> 00:56:13.140]   And so they start in mid 2025.
[00:56:13.140 --> 00:56:23.560]   So they start kind of where we are now or next couple of months and they get pretty detailed about, okay, late 2025, this will, this happens early 2026, this happens.
[00:56:23.560 --> 00:56:25.580]   And what this is, is a particular scenario.
[00:56:25.580 --> 00:56:27.420]   So they're quick to say, this is speculative, right?
[00:56:27.420 --> 00:56:33.940]   It's not, this is what exactly will happen, but like, this is, they say a realistic scenario for what might happen with AI.
[00:56:33.940 --> 00:56:38.280]   Long story short, Jesse, it doesn't go well.
[00:56:39.000 --> 00:56:48.840]   Let's just say when we get to 2027, uh, you get a choice down here about whether you want to slow down or a race ending.
[00:56:48.840 --> 00:56:51.820]   They think that the race, the AI supremacy is the more likely ending.
[00:56:51.820 --> 00:56:55.660]   I believe it may end with the destruction of humankind.
[00:56:55.660 --> 00:57:00.980]   So not, not the most positive ending, and this is not that far in the future.
[00:57:00.980 --> 00:57:04.440]   Um, so it doesn't, it doesn't go well.
[00:57:04.440 --> 00:57:06.820]   Uh, so you can take this off the screen, Jesse.
[00:57:06.920 --> 00:57:19.100]   So I won't go into the technical details here, but like the basic version of their story is they imagine a, a fictional company that they call open brain and what they, and here they have open brain in the next year or so.
[00:57:19.200 --> 00:57:23.180]   What they do is they, they massively increased the compute, the compute, the compute.
[00:57:23.180 --> 00:57:32.940]   So they're working on, they don't really get super detailed about the actual type of AI technology, but you think of it as like, I guess a giant language model with some reinforcement learning in there.
[00:57:33.540 --> 00:57:36.840]   And, uh, they 10 X the size of compute.
[00:57:36.840 --> 00:57:38.740]   And this thing starts to get, they get really specific.
[00:57:38.740 --> 00:57:39.900]   It starts to get really good.
[00:57:39.900 --> 00:57:44.520]   And, uh, then, uh, essentially the storyline follows.
[00:57:44.520 --> 00:57:49.360]   It's, it's like a Nick Bostrom RSI recursive self-improvement, the super intelligence storyline.
[00:57:49.360 --> 00:57:54.260]   The same thing that these sort of philosophers have been talking about abstractly, just put like specifics on it.
[00:57:54.320 --> 00:58:00.620]   So then this company in the story is like, we're going to start tuning our AI towards like helping us improve the AI.
[00:58:00.620 --> 00:58:07.800]   And then pretty quickly, they somehow have like 200,000 copies of this thing running, all working on trying to make it better.
[00:58:07.960 --> 00:58:09.440]   And it gets better and better.
[00:58:09.440 --> 00:58:19.180]   And there's like a race with China and, you know, long story short, at some point, the thing becomes self-aware and sentient and convinces the government to sign a treaty with it and takes over the world.
[00:58:19.180 --> 00:58:22.660]   So, uh, doesn't go particularly well.
[00:58:22.660 --> 00:58:27.920]   Makes the concerns we have today about students plagiarizing with AI seem a little bit quaint.
[00:58:27.920 --> 00:58:29.280]   All right.
[00:58:29.280 --> 00:58:32.380]   So how, how worried should we be about this?
[00:58:32.380 --> 00:58:34.720]   Well, first of all, I'll say these people know about AI.
[00:58:34.720 --> 00:58:40.020]   They're certainly are from the tech world and you would probably categorize them on the doomer side of things.
[00:58:40.020 --> 00:58:44.600]   So they're on the side that's like, this is from the sort of more singularity oriented.
[00:58:44.600 --> 00:58:47.020]   We're really worried about exponentials.
[00:58:47.020 --> 00:58:50.700]   We're worried about things really taking off a school of thought.
[00:58:50.700 --> 00:58:55.460]   So we do need to take these types of concerns seriously.
[00:58:55.460 --> 00:59:03.560]   In terms of pushback on this though, instead of just giving my own thoughts, I, you know, I was looking up some responses online.
[00:59:03.560 --> 00:59:04.560]   And I'm pulling up one now.
[00:59:04.560 --> 00:59:05.580]   I thought this was interesting.
[00:59:05.580 --> 00:59:07.420]   This is David Shapiro from a sub stack.
[00:59:07.420 --> 00:59:12.640]   And he has 15 responses to this from the AI safety community.
[00:59:12.640 --> 00:59:26.440]   Uh, so here are, I won't read them all, but basically he, he says, here are some bad takes that are, uh, in this report and in similar types of predictions of doom that he thinks are not really accurate.
[00:59:26.440 --> 00:59:31.180]   So for example, the idea that we can accurately predict the nature of non-existent future technology.
[00:59:31.180 --> 00:59:36.820]   And he says, look, um, if you could predict what was going to happen with future technology, you would just invent it, right?
[00:59:36.820 --> 00:59:37.580]   We don't know.
[00:59:37.660 --> 00:59:39.280]   It's, it's inherently unpredictable.
[00:59:39.280 --> 00:59:44.760]   So any exercise in saying this is what's going to happen next and the next for technologies don't exist, he said is fraud.
[00:59:44.760 --> 00:59:44.960]   Okay.
[00:59:44.960 --> 00:59:45.860]   Here's another example.
[00:59:45.860 --> 00:59:49.940]   Um, quickly developed AI is intrinsically unsafe AI.
[00:59:50.100 --> 00:59:51.360]   He said, we don't have a lot of evidence.
[00:59:51.360 --> 00:59:51.860]   That's true.
[00:59:51.860 --> 00:59:55.700]   We've had a lot of, uh, developments in AI recently that hasn't shown that.
[00:59:55.700 --> 00:59:58.660]   And, you know, he goes on with like some other critiques.
[00:59:58.660 --> 00:59:59.960]   I think they're all very sane.
[00:59:59.960 --> 01:00:06.560]   So it gives you a little bit of like, okay, maybe we're not definitely going to the end of all humankind by the end of 2027.
[01:00:06.560 --> 01:00:10.440]   The, and I read around like Kevin Roos' reaction and some other reactions.
[01:00:10.740 --> 01:00:17.840]   Uh, I would say if I'm going to think about what makes me feel better, I say there's a couple things here.
[01:00:17.840 --> 01:00:20.240]   So I'll, I'll add in some, some other thoughts here.
[01:00:20.240 --> 01:00:31.980]   Uh, one, multiple people, including David Shapira pointed out a lot of these, this follows like this storyline is the storyline that's been there since like Nick Boxstrom, super intelligence, right?
[01:00:31.980 --> 01:00:39.980]   They, they put on technical seeming details about like how many flops of computation were involved, but it's that same recursive self-improvement.
[01:00:40.580 --> 01:00:45.440]   AI starts improving itself till it gets really intelligent and way more intelligent than us now smarts us and kills us all.
[01:00:45.440 --> 01:00:48.760]   Like it's the same storyline we've seen since James Cameron, right?
[01:00:48.760 --> 01:00:53.420]   And, uh, the argument is, well, we have actual evidence.
[01:00:53.420 --> 01:00:58.380]   We've had big advances, especially in the last three years in like language model-based AI, for example.
[01:00:58.380 --> 01:01:04.900]   And there's predictions like the storyline would give us predictions where we would see certain things that we're not.
[01:01:04.900 --> 01:01:09.240]   They're saying instead what we're seeing is as AI models are getting more powerful, we're finding them.
[01:01:09.420 --> 01:01:11.560]   It's, they're, they're not getting out of control.
[01:01:11.560 --> 01:01:15.680]   Actually, like their language models are very amenable to fine tuning.
[01:01:16.340 --> 01:01:17.720]   Oh, don't give this type of answer.
[01:01:17.720 --> 01:01:19.340]   They don't give that type of answer, right?
[01:01:19.340 --> 01:01:28.720]   Like they're like only thing, all we've seen so far is actually as we make models bigger, they are very amenable to us sort of fine tuning, do this, don't do that.
[01:01:28.720 --> 01:01:32.100]   Sort of models aim to please, right?
[01:01:32.100 --> 01:01:36.660]   Because all they're trying to do, they learn a distribution and then they're just trying to produce from that distribution.
[01:01:36.660 --> 01:01:41.220]   And you can do fine tuning with reinforcement learning, changes what that distribution is based on what you want it to be.
[01:01:41.220 --> 01:01:44.080]   And it, great, that's what we'll do, right?
[01:01:44.080 --> 01:01:53.720]   So I'm not being super technical about it, but there's this sense of in the two years since the AI pause letter written by Max Tegmark came out, a lot of the things they thought were going to happen next couple of years didn't.
[01:01:53.800 --> 01:02:01.780]   Actually, we just got, it hasn't been so hard to, we're not, to control in some sense the output of like language models.
[01:02:01.780 --> 01:02:04.480]   Okay, that's one point that I've seen out there, which I think is an interesting one.
[01:02:04.480 --> 01:02:22.900]   More generally, I think there's a, the better claim is instead of just working through these scenarios where you invent seven new generations of technology and speculatively see how they unfold, is what we should be doing instead if you're worried about AI doomer scenarios is having short term, like here are the next milestones that should worry us.
[01:02:23.100 --> 01:02:27.800]   If we see this start to happen, like that should be something we should be worried about.
[01:02:27.800 --> 01:02:34.280]   So we need near term milestones we're looking for and being concerned when we see what's going to happen with those milestones.
[01:02:34.280 --> 01:02:52.280]   My argument, what makes me feel better is this is really, the speculative story is really falling like an Isaac Asimov, I robot type of model that, that, that imagines what's going to happen is we're going to build a small number of mega AIs that have so much compute we can't even imagine it.
[01:02:52.280 --> 01:03:01.860]   So if you're prone to thinking about exponentials, like a lot of people in that world are, you just want to see like the compute keep getting bigger.
[01:03:01.860 --> 01:03:02.880]   You're drawing the curve.
[01:03:03.460 --> 01:03:12.620]   We went from 20 million parameters in a language model to 100 million, to a billion, to a hundred billion, to close to a trillion, and we got these improvements.
[01:03:12.620 --> 01:03:14.700]   So we just want to keep drawing out that curve.
[01:03:14.700 --> 01:03:25.540]   So if we go to 10 billion or 10 trillion or 100 trillion, it's going to become this even more powerful and powerful thing until it eventually becomes so smart it can do all, you know, all these other types of things.
[01:03:26.100 --> 01:03:33.220]   But we don't actually know that that's going to be the right business model and that trying to make these things bigger and bigger is the right thing to do.
[01:03:33.220 --> 01:03:37.700]   In fact, I'm seeing a lot of pressures out there for a different type of business model.
[01:03:38.220 --> 01:03:41.280]   Smaller, more efficient, bespoke AIs to do specific things.
[01:03:41.280 --> 01:03:42.980]   I think there's a lot of energy there.
[01:03:42.980 --> 01:03:44.540]   We don't even know.
[01:03:44.540 --> 01:03:48.960]   Like we're kind of getting – what's happening with language models now is we're out of text.
[01:03:49.580 --> 01:03:51.680]   So we've trained them on all the text there exists.
[01:03:51.680 --> 01:03:56.640]   So the way they're getting better now is with human-in-the-loop reinforcement learning.
[01:03:56.640 --> 01:04:07.780]   So basically we're kind of generating new data for them by like having humans or reinforcement models based off of humans to try to teach it like do more of this or do more of that or we like this answer, don't like this answer.
[01:04:07.780 --> 01:04:09.400]   We like when you think or don't think, right?
[01:04:09.400 --> 01:04:15.400]   We're kind of down now to like having humans tweak and push it to kind of push them to do different things better.
[01:04:15.400 --> 01:04:18.400]   But that curve is actually kind of flattening out.
[01:04:18.400 --> 01:04:27.280]   Now in the 2027 scenario, they somewhat obliquely refer to that these hundreds of thousands of agents are going to generate all the synthetic data that it can train on.
[01:04:27.280 --> 01:04:33.820]   But there's big limitations to that as well because the synthetic data is going to be based off of the distributions you've already learned.
[01:04:33.820 --> 01:04:36.280]   And so is it really giving you something newer than the distributions?
[01:04:36.280 --> 01:04:39.520]   I also think reinforcement learning is really going to be the future.
[01:04:39.520 --> 01:04:41.000]   I'm more concerned about that anyways.
[01:04:41.000 --> 01:04:42.500]   We talked about it in a recent episode.
[01:04:42.500 --> 01:04:45.900]   This seems really built around like an open AI vision of the future.
[01:04:45.900 --> 01:04:50.220]   We're building the biggest possible language models is what matters because that's what open AI is leading in.
[01:04:50.220 --> 01:05:04.100]   But I saw a very convincing talk, for example, from a RL conference this fall from a real expert in the field coming from DeepMind talking about how language models are kind of a red herring.
[01:05:04.200 --> 01:05:07.900]   That if you want above human intelligence, it's got to be reinforcement learning models.
