
[00:00:00.000 --> 00:00:01.200]   Let's just make sure.
[00:42:33.600 --> 00:42:35.800]   But broadly speaking, Weights and Biases
[00:42:35.800 --> 00:42:39.160]   is a tool designed to make your life easier as a machine
[00:42:39.160 --> 00:42:40.240]   learning practitioner.
[00:42:40.240 --> 00:42:41.440]   And it goes beyond that.
[00:42:41.440 --> 00:42:44.320]   As well, as you can see, this is an analysis competition.
[00:42:44.320 --> 00:42:46.880]   And I'll show some really nice examples, not by me.
[00:42:46.880 --> 00:42:48.520]   People much smarter than me.
[00:42:48.520 --> 00:42:50.920]   Some of them are on the judging panel
[00:42:50.920 --> 00:42:53.120]   that have created really nice analysis.
[00:42:53.120 --> 00:42:54.800]   So we also allow that.
[00:42:54.800 --> 00:42:59.600]   And let me show the examples and maybe prove to you
[00:42:59.600 --> 00:43:01.440]   why this can be helpful.
[00:43:01.440 --> 00:43:04.960]   So as part of this competition, we're also sponsoring a track.
[00:43:04.960 --> 00:43:07.040]   You can find the details in Martin's post.
[00:43:07.040 --> 00:43:08.880]   But I'll show some examples now.
[00:43:08.880 --> 00:43:11.480]   And Radha, who is also on the judging panel,
[00:43:11.480 --> 00:43:15.560]   created this really nice H&M notebook.
[00:43:15.560 --> 00:43:18.880]   Let me post the link to that in the YouTube chat
[00:43:18.880 --> 00:43:21.520]   so everyone can also go check it out.
[00:43:21.520 --> 00:43:23.040]   Make sure to check out this kernel.
[00:43:23.040 --> 00:43:26.480]   It's really one of my recent favorites.
[00:43:26.480 --> 00:43:30.040]   But with Kaggle kernels, you can, of course,
[00:43:30.040 --> 00:43:32.720]   do a really good job at storytelling.
[00:43:32.720 --> 00:43:36.800]   I think there's some scope of creating a polished dashboard
[00:43:36.800 --> 00:43:41.400]   as well where you just give the analysis or just the info
[00:43:41.400 --> 00:43:42.320]   upfront.
[00:43:42.320 --> 00:43:45.120]   That's what I think--
[00:43:45.120 --> 00:43:48.080]   and Radha's dashboard kind of fills in here.
[00:43:48.080 --> 00:43:51.040]   So as you can see, she's done all of these analysis.
[00:43:51.040 --> 00:43:54.680]   And just by looking at this dashboard,
[00:43:54.680 --> 00:43:57.680]   I can see that how many orders are going
[00:43:57.680 --> 00:44:02.080]   through for that competition, how many customer IDs are there.
[00:44:02.080 --> 00:44:05.440]   I can scroll down and see some custom charts.
[00:44:05.440 --> 00:44:10.760]   So like I said, it's, to me, in some ways,
[00:44:10.760 --> 00:44:12.920]   data analysis on steroids because now I
[00:44:12.920 --> 00:44:16.000]   have this detailed info, which is quite interactive.
[00:44:16.000 --> 00:44:17.840]   So I can go in there, play around
[00:44:17.840 --> 00:44:20.800]   with all of these values, rearrange these graphs,
[00:44:20.800 --> 00:44:21.520]   add panels.
[00:44:21.520 --> 00:44:24.160]   So if, like me, you don't like scrolling through documentation,
[00:44:24.160 --> 00:44:27.080]   you can just quite easily click through here,
[00:44:27.080 --> 00:44:31.400]   create all of these plots, fix the range instead of really
[00:44:31.400 --> 00:44:34.520]   running into 50 different errors.
[00:44:34.520 --> 00:44:40.440]   So the long story short version is as you create your analysis,
[00:44:40.440 --> 00:44:43.360]   you can also create a nice dashboard which just gives
[00:44:43.360 --> 00:44:46.640]   the information in one quick scroll.
[00:44:46.640 --> 00:44:49.560]   That's how Weights and Biases can help in this competition.
[00:44:49.560 --> 00:44:51.520]   Of course, if you want to track your experiments
[00:44:51.520 --> 00:44:54.600]   and if you train any NLP models, you can do that as well.
[00:44:54.600 --> 00:44:56.680]   You can track all of those.
[00:44:56.680 --> 00:45:01.080]   But for here, I think this is my bias, a bias that I am bringing.
[00:45:01.080 --> 00:45:04.200]   But I believe people could track in their experiments
[00:45:04.200 --> 00:45:07.080]   and also showcase a lot of analysis,
[00:45:07.080 --> 00:45:08.520]   like so in the dashboard.
[00:45:08.520 --> 00:45:12.360]   So you can find these links in the Getting Started thread
[00:45:12.360 --> 00:45:15.880]   I've created inside of the discussions post.
[00:45:15.880 --> 00:45:19.360]   I think that's all I wanted to give us
[00:45:19.360 --> 00:45:22.280]   a very, very quick introduction to the platform.
[00:45:22.280 --> 00:45:26.600]   Yes, thank you.
[00:45:26.600 --> 00:45:30.120]   And of course, if you're using Weights and Biases
[00:45:30.120 --> 00:45:35.680]   in your notebook, then there are special prizes for you to win.
[00:45:35.680 --> 00:45:38.440]   Would you like to share those prizes?
[00:45:38.440 --> 00:45:40.080]   I was waiting for your post.
[00:45:40.080 --> 00:45:42.480]   I think it will be announced over the next few days
[00:45:42.480 --> 00:45:43.800]   how these will be distributed.
[00:45:43.800 --> 00:45:46.760]   But the prize pool-- and again, it's up to Martin.
[00:45:46.760 --> 00:45:48.840]   So he'll tell us how those are distributed.
[00:45:48.840 --> 00:45:52.360]   You could win up to $1,000 in GPU credits.
[00:45:52.360 --> 00:45:57.120]   And also, I think, five Weights and Biases swag pieces.
[00:45:57.120 --> 00:45:58.640]   Again, Martin will decide the rules.
[00:45:58.640 --> 00:46:01.240]   But that is the prize pool that all of you can win.
[00:46:01.240 --> 00:46:02.440]   So you can take more models.
[00:46:02.440 --> 00:46:04.800]   You can win some Weights and Biases swag
[00:46:04.800 --> 00:46:06.000]   if you'd like that.
[00:46:06.000 --> 00:46:18.440]   Yes, we'll distribute it according to participation.
[00:46:18.440 --> 00:46:23.040]   So we're still going to see what the participation were.
[00:46:23.040 --> 00:46:25.680]   But what we're thinking of is to have
[00:46:25.680 --> 00:46:30.400]   three prizes for $500, $300, and $200 of credits
[00:46:30.400 --> 00:46:36.240]   for the first, second, and third notebook in this category.
[00:46:36.240 --> 00:46:38.880]   So this is if you're using Weights and Biases
[00:46:38.880 --> 00:46:44.800]   tools in your notebook, you are eligible for this prize.
[00:46:44.800 --> 00:46:49.040]   And you can get a very nice boost on your heavy model
[00:46:49.040 --> 00:46:51.600]   training with top GPUs.
[00:46:51.600 --> 00:46:57.200]   And then we have different prize ranking categories here.
[00:46:57.200 --> 00:46:59.440]   So let's cover those as well.
[00:46:59.440 --> 00:47:04.240]   In this competition, everybody's going to be ranked.
[00:47:04.240 --> 00:47:06.360]   Or everybody's going to be judged in the same way.
[00:47:06.360 --> 00:47:09.040]   And everybody will get points in the same way.
[00:47:09.040 --> 00:47:11.080]   But then for the prizes, the ranking
[00:47:11.080 --> 00:47:14.360]   will be done in different categories.
[00:47:14.360 --> 00:47:17.960]   One of the categories will include the Kaggle tiers
[00:47:17.960 --> 00:47:19.120]   novice to expert.
[00:47:19.120 --> 00:47:22.560]   And another one will include the tiers master to grandmaster.
[00:47:22.560 --> 00:47:26.160]   So the master and grandmaster Kagglers,
[00:47:26.160 --> 00:47:29.200]   they are competing in one category.
[00:47:29.200 --> 00:47:33.640]   And the novices and the contributors and the experts,
[00:47:33.640 --> 00:47:36.200]   they are contributing in another category.
[00:47:36.200 --> 00:47:38.880]   And in addition to that, we will also
[00:47:38.880 --> 00:47:42.280]   have a category for a newcomer prizes,
[00:47:42.280 --> 00:47:45.120]   for people who want to join the platform
[00:47:45.120 --> 00:47:48.720]   and who are already here and who haven't
[00:47:48.720 --> 00:47:51.000]   written a notebook yet and who want to write their very
[00:47:51.000 --> 00:47:52.560]   first Kaggle notebook.
[00:47:52.560 --> 00:47:53.680]   This is for you.
[00:47:53.680 --> 00:47:57.640]   This is the chance for you to win a newcomer prize
[00:47:57.640 --> 00:48:02.120]   and to show your outstanding skills
[00:48:02.120 --> 00:48:05.400]   and your outstanding contributions to the community.
[00:48:05.400 --> 00:48:09.040]   And we really, really hope that you'll do this
[00:48:09.040 --> 00:48:12.400]   and that you'll share your insights and your creativity
[00:48:12.400 --> 00:48:15.280]   with us.
[00:48:15.280 --> 00:48:18.600]   So those are the three categories.
[00:48:18.600 --> 00:48:20.360]   And then we have the fourth category,
[00:48:20.360 --> 00:48:22.960]   which is the Weights and Biases prize, which
[00:48:22.960 --> 00:48:25.920]   is for the best notebooks that make use of the Weights
[00:48:25.920 --> 00:48:27.720]   and Biases integration.
[00:48:27.720 --> 00:48:31.840]   And all of those four, they will be awarded
[00:48:31.840 --> 00:48:33.720]   at the end of the competition.
[00:48:33.720 --> 00:48:37.760]   So after four weeks, we'll do the judging
[00:48:37.760 --> 00:48:40.560]   and we'll award the prizes accordingly.
[00:48:40.560 --> 00:48:44.600]   And in addition to that, we also have a weekly prize.
[00:48:44.600 --> 00:48:47.200]   So we're going to run for four weeks.
[00:48:47.200 --> 00:48:49.840]   And every four weeks, every Tuesday,
[00:48:49.840 --> 00:48:54.960]   we will be awarding one prize to one outstanding notebook
[00:48:54.960 --> 00:48:55.840]   of the week.
[00:48:55.840 --> 00:48:58.120]   So you don't have to wait.
[00:48:58.120 --> 00:49:00.600]   If you're a very kind of impatient person
[00:49:00.600 --> 00:49:03.760]   and you're putting out a great, great notebook,
[00:49:03.760 --> 00:49:05.800]   you don't have to wait until the very end
[00:49:05.800 --> 00:49:07.240]   to be rewarded for that.
[00:49:07.240 --> 00:49:10.160]   You can already win a notebook of the week
[00:49:10.160 --> 00:49:13.440]   within the Hidden Gems competition.
[00:49:13.440 --> 00:49:18.000]   And then Sanyam already touched on it, what can you win?
[00:49:18.000 --> 00:49:24.760]   So we have the GPU credits for the fantastic JavaSlab AI
[00:49:24.760 --> 00:49:27.680]   platform, which are sponsored by Weights and Biases,
[00:49:27.680 --> 00:49:30.760]   for this category four, for the notebooks with Weights
[00:49:30.760 --> 00:49:32.280]   and Biases integration.
[00:49:32.280 --> 00:49:36.920]   And then for the other categories, we have swag.
[00:49:36.920 --> 00:49:42.840]   And the many kind of Kaggle aficionados, I think,
[00:49:42.840 --> 00:49:46.440]   will agree that swag is really--
[00:49:46.440 --> 00:49:47.760]   that's where it's at, right?
[00:49:47.760 --> 00:49:48.480]   Those are the most--
[00:49:48.480 --> 00:49:53.760]   those are the prizes that everybody wants, really.
[00:49:53.760 --> 00:49:58.320]   So if you're thinking about the Grandmaster hoodies
[00:49:58.320 --> 00:50:03.640]   or about a Kaggle mug, which is there,
[00:50:03.640 --> 00:50:06.360]   you might be able to see it on the shelf.
[00:50:06.360 --> 00:50:08.000]   These kind of things--
[00:50:08.000 --> 00:50:09.320]   I was able to spot it.
[00:50:09.320 --> 00:50:12.000]   Yeah, yeah.
[00:50:12.000 --> 00:50:17.120]   These kind of things is really what many people that I've
[00:50:17.120 --> 00:50:19.280]   met over the years in Kaggle, this
[00:50:19.280 --> 00:50:21.240]   is what they're really interested in, right?
[00:50:21.240 --> 00:50:25.120]   Or a Kaggle sticker or something like this, or a t-shirt.
[00:50:25.120 --> 00:50:27.400]   There are lots of cool swag prizes out there.
[00:50:27.400 --> 00:50:31.440]   And we have swag sponsored generously by Kaggle
[00:50:31.440 --> 00:50:34.520]   and also sponsored generously by Weights and Biases.
[00:50:34.520 --> 00:50:41.320]   And you can win a swag prize from this prize pool,
[00:50:41.320 --> 00:50:43.080]   which is great.
[00:50:43.080 --> 00:50:46.320]   There are some kind of tangible prizes that you can win.
[00:50:46.320 --> 00:50:48.080]   But then, of course, you can also
[00:50:48.080 --> 00:50:53.080]   win the recognition of the community.
[00:50:53.080 --> 00:50:59.640]   And I'm sure that we'll be doing some kind of interviews
[00:50:59.640 --> 00:51:03.240]   or some highlights of the winners in some form or shape
[00:51:03.240 --> 00:51:04.920]   after the competition.
[00:51:04.920 --> 00:51:09.520]   So if you want to make a name within the Kaggle community
[00:51:09.520 --> 00:51:12.920]   and if you want to show us all the great stuff that you
[00:51:12.920 --> 00:51:16.880]   can build, this is the time for you as well.
[00:51:16.880 --> 00:51:20.760]   Yeah, as I've been telling you offline as well,
[00:51:20.760 --> 00:51:22.280]   I've been really excited about this.
[00:51:22.280 --> 00:51:24.200]   I was trying to help Martin while on the road.
[00:51:24.200 --> 00:51:27.120]   So I was maybe a bit slow at times, but we both--
[00:51:27.120 --> 00:51:30.600]   and I'm sure many other people who've been making this happen
[00:51:30.600 --> 00:51:31.640]   have been really excited.
[00:51:31.640 --> 00:51:34.320]   And I think that the prizes just speak to that,
[00:51:34.320 --> 00:51:38.000]   because this is a community effort by someone who
[00:51:38.000 --> 00:51:39.520]   wants to give back to the community
[00:51:39.520 --> 00:51:41.080]   and the community is coming together
[00:51:41.080 --> 00:51:42.920]   to help more people in the community,
[00:51:42.920 --> 00:51:45.320]   to join the Kaggle community.
[00:51:45.320 --> 00:51:47.960]   So there's this inception happening.
[00:51:47.960 --> 00:51:51.400]   But I'm really excited to learn more from people
[00:51:51.400 --> 00:51:52.600]   as they go about this.
[00:51:52.600 --> 00:51:57.640]   And I'm really looking forward to everyone's contributions.
[00:51:57.640 --> 00:51:58.520]   Yeah, me too.
[00:51:58.520 --> 00:52:03.720]   I'm absolutely stoked to see what you will all build
[00:52:03.720 --> 00:52:07.200]   and what you all will contribute and what your ideas are.
[00:52:07.200 --> 00:52:10.920]   And I'm sure there are tons of aspects of the hidden gems
[00:52:10.920 --> 00:52:13.480]   and of the connection to MetaKaggle
[00:52:13.480 --> 00:52:16.920]   or any other connections that I haven't thought of yet.
[00:52:16.920 --> 00:52:21.800]   And I'm really, really curious what all of you will discover.
[00:52:21.800 --> 00:52:23.040]   Awesome.
[00:52:23.040 --> 00:52:25.800]   Any final words before we wrap up?
[00:52:25.800 --> 00:52:34.080]   Just surprise us.
[00:52:34.080 --> 00:52:39.600]   Join the competition and just surprise us and blow us away
[00:52:39.600 --> 00:52:42.200]   with your creativity, with your insights,
[00:52:42.200 --> 00:52:46.720]   and with your passion for data science.
[00:52:46.720 --> 00:52:49.560]   Data scientists have proven Chai improves data analysis skills
[00:52:49.560 --> 00:52:50.640]   by 500%.
[00:52:50.640 --> 00:52:52.520]   Don't quote me on that.
[00:52:52.520 --> 00:52:55.640]   But remember to have Chai before creating your notebooks.
[00:52:55.640 --> 00:52:56.680]   And good luck, everyone.
[00:52:56.680 --> 00:53:00.240]   And thank you again, Martin, for joining us
[00:53:00.240 --> 00:53:01.360]   for the kickoff livestream.
[00:53:01.360 --> 00:53:03.640]   And thanks for everyone who's watching this live
[00:53:03.640 --> 00:53:06.200]   and for watching the recap.
[00:53:06.200 --> 00:53:08.000]   Thank you for all your help, Sanyam.
[00:53:08.000 --> 00:53:10.320]   I really appreciate it.
[00:53:10.320 --> 00:53:17.720]   [BLANK_AUDIO]

