
[00:00:00.000 --> 00:00:05.980]   For me, today is, in some sense, the first day of summer. I'm a college professor and my final
[00:47:38.320 --> 00:47:43.360]   Well, the weird thing is my wife who was misintroducing me. I think she just forgot.
[00:47:43.360 --> 00:47:49.760]   No, I made that up. Uh, side hustles. All right. Uh, three things to keep in mind.
[00:47:50.580 --> 00:47:56.220]   One, I typically would say, be wary of a side hustle where ultimately what you'll be doing is
[00:47:56.220 --> 00:48:03.920]   trading your hours for time. So basically wage labor side hustles, they don't scale well. Uh,
[00:48:03.920 --> 00:48:08.500]   you're typically getting less money for your time than you could get just putting those hours into
[00:48:08.500 --> 00:48:13.860]   your primary job. And I, it's not what you're really looking for with a side hustle, which is
[00:48:13.860 --> 00:48:18.780]   like a flexible and stable and potentially scalable source of side income. So it's tempting because
[00:48:18.780 --> 00:48:22.740]   they're easier to get into, it's easier to give, get people right off the bat to pay you for your
[00:48:22.740 --> 00:48:29.220]   time. But if you're effectively just, if I spend five hours versus 10, I'm going to get half as much
[00:48:29.220 --> 00:48:35.940]   money is not where you want to be in a side hustle. That's not a good side hustle. Um, two, I would say
[00:48:35.940 --> 00:48:41.260]   care about your existing career capital. The more that you're leveraging rare and valuable skills that
[00:48:41.260 --> 00:48:46.600]   you've earned, the more value you can get. And the more likely it is you can have like a really
[00:48:46.600 --> 00:48:52.460]   effective side hustle. So if you like something, but you don't have demonstrably rare and valuable
[00:48:52.460 --> 00:48:58.740]   skills in that area, the, the possibility that you are going to get sort of scalable time,
[00:48:58.740 --> 00:49:02.540]   independent income from that direction is very low. That type of low hanging fruit just gets
[00:49:02.540 --> 00:49:07.460]   washed out in efficient markets, right? If there's some like relatively easy way that you can make
[00:49:07.460 --> 00:49:11.900]   like a lot of money on some topic you're interested in and don't know much about anyone who doesn't know
[00:49:11.900 --> 00:49:15.240]   much about it could make money on that topic and they would start trying it. And then that would drive
[00:49:15.240 --> 00:49:18.940]   down the price and that market would go away. So the inefficiencies that produce good side
[00:49:18.940 --> 00:49:23.620]   hustles usually take advantage of skill. The more rare and valuable skill that you're deploying,
[00:49:23.620 --> 00:49:27.780]   the better chance you have of finding a real inefficiency and getting a really actually
[00:49:27.780 --> 00:49:31.240]   attractive side hustle. So don't ignore your career capital. You mentioned fashion,
[00:49:31.240 --> 00:49:35.460]   like you would really need some sort of career capital and fashion before you think that's going
[00:49:35.460 --> 00:49:40.900]   to necessarily be a good side hustle. Finally, there's an idea from Derek Sivers that I featured in my
[00:49:40.900 --> 00:49:46.320]   book so good. They can't ignore you when evaluating your current side hustle and whether you want,
[00:49:46.320 --> 00:49:49.940]   if it's successful or not successful, or whether you want it to become more of a full-time thing,
[00:49:49.940 --> 00:49:57.860]   I'm quoting them here, use money as a neutral indicator of value. All right. Are people paying
[00:49:57.860 --> 00:50:02.860]   me for this? People will tell you your idea is good. People will tell you your idea is interesting.
[00:50:02.860 --> 00:50:07.500]   People will for free, like, yeah, I would love for you to give me a tarot card reading or whatever,
[00:50:07.500 --> 00:50:12.280]   but they don't like to give away their money. And people only give away their money if they feel
[00:50:12.280 --> 00:50:17.320]   like they're actually getting a proportional amount of value for that money. So Derek Sivers had this
[00:50:17.320 --> 00:50:22.820]   idea with the side hustles that he transformed in the full-time roles on multiple occasions throughout
[00:50:22.820 --> 00:50:27.380]   his interesting career is that he would use money as a neutral indicator of value. If this is generating
[00:50:27.380 --> 00:50:31.780]   money, it's valuable. If it's not, it's not. Should I make this my full-time job? Well, here's the
[00:50:31.780 --> 00:50:35.980]   question. Is it generating enough money to be my full-time job? That seems like it's really simple,
[00:50:35.980 --> 00:50:40.640]   but people often ignore that. They want to sort of assign other sources of value to their idea. Like,
[00:50:40.640 --> 00:50:45.300]   well, it's really cool. I know someone else who did really well with this. My friends tell me it's
[00:50:45.300 --> 00:50:50.880]   awesome. It's not really a reliable indicator of value. Get people to give you money. And if they're
[00:50:50.880 --> 00:50:56.780]   not, the idea is not that successful. The hustle is not going to be that successful. All right.
[00:50:57.520 --> 00:51:02.400]   Alex, I hope you enjoyed that advice. Jesse, I sort of reversed it back on him there.
[00:51:02.400 --> 00:51:06.600]   Added a C to his name. All right. Do we have another call? Yeah, we do. All right.
[00:51:06.600 --> 00:51:14.120]   Hi, Cal. I enjoyed your recent podcast, looking at how to become a straight A student as I am a college
[00:51:14.120 --> 00:51:21.360]   student. And that was my initial introduction to you. My question is, you talked for a second that
[00:51:21.360 --> 00:51:27.700]   if you were going to rewrite that, that you would have a section on focus. And I know that you said
[00:51:27.700 --> 00:51:32.520]   that you'd probably never rewrite it, but I was curious what principles you would go over in a
[00:51:32.520 --> 00:51:37.700]   section like that. That's something that I really struggle with and I'm trying to figure out how to
[00:51:37.700 --> 00:51:46.240]   implement that as a college student. So my basic framework about focus is in the book and when it
[00:51:46.240 --> 00:51:51.080]   changed. So there's a core idea in that book, how to become a straight A student from 2006. It's an
[00:51:51.080 --> 00:52:01.200]   equation that says work accomplished equals total hours spent times intensity of focus. And my point
[00:52:01.200 --> 00:52:07.520]   there, like why I made that argument was one of the easiest ways or most effective ways to get
[00:52:07.520 --> 00:52:14.100]   more work done is to not just increase the hours piece of that equation, but to increase the focused
[00:52:14.100 --> 00:52:18.740]   piece of that equation. They're multiplied by each other. Double your focus, you can double your output
[00:52:18.740 --> 00:52:25.300]   in the same number of hours. And back then I was saying what I saw is too many people would study in
[00:52:25.300 --> 00:52:30.160]   a low intensity of focus. So sort of at the library with their friends and reading instead of doing
[00:52:30.160 --> 00:52:34.440]   more difficult, like passive consumption instead of active recall. And they would just try to increase
[00:52:34.440 --> 00:52:37.340]   the hours component to get the amount of work that needed to be accomplished done.
[00:52:37.340 --> 00:52:42.460]   But that's a hard game. Like you got to spend long amounts of time doing that work. And I would say,
[00:52:42.460 --> 00:52:46.200]   no, no, increase that intensity of focus. Come at this thing with laser light focus and you can
[00:52:46.200 --> 00:52:50.200]   drastically reduce the hours needed to get the work done. And that's actually more sustainable in the
[00:52:50.200 --> 00:52:54.660]   long run because you're not spending all your time studying. That central equation still stands.
[00:52:54.660 --> 00:53:00.880]   What's different is the obstacles to intensity of focus today versus 20 years ago.
[00:53:01.560 --> 00:53:08.900]   You have way worse obstacles in particular in your hand, in that phone that's next to you while you
[00:53:08.900 --> 00:53:15.420]   study. That is a much bigger obstacle than we had to deal with in 2006. I was worried about
[00:53:15.420 --> 00:53:19.700]   conversations with people at the same table. I was worried about you just using low intensity
[00:53:19.700 --> 00:53:24.060]   techniques. So using study techniques that weren't very mentally taxing. Therefore, they didn't require
[00:53:24.060 --> 00:53:30.200]   much focus, but required a lot more time. And like walking over to public email terminals to like check your
[00:53:30.200 --> 00:53:35.100]   messages. Like that's the type of stuff I worried about. So you have obstacles to boosting that
[00:53:35.100 --> 00:53:41.600]   intensity of focus now that are way more accessible and appealing and disastrous than what we were facing
[00:53:41.600 --> 00:53:51.280]   back in, in 2026. But I would have one rule, one extra rule that I think translates most of the value of that
[00:53:51.280 --> 00:53:58.020]   equation to today. Never have your phone with you when you study. That would be the rule I would add.
[00:53:58.200 --> 00:54:05.860]   And don't look at this like this is crazy. You're not an ER surgical attending. You're not the Pope.
[00:54:05.860 --> 00:54:10.240]   People will be okay if they can't get in touch with you for 90 minutes. It's okay. You're not that
[00:54:10.240 --> 00:54:15.260]   important. Don't bring your phone with when you study. Go to a library to study. Go to a non-popular
[00:54:15.260 --> 00:54:22.040]   library to study. Don't have your phone with you. Now you just don't have access to those distractions,
[00:54:22.220 --> 00:54:27.400]   right? That's going to make it. Now you can just apply the advice as written in my 2006 book. Now
[00:54:27.400 --> 00:54:31.940]   still you have to use high intensity study tactics. They're going to get you to focus more. Use active
[00:54:31.940 --> 00:54:36.780]   recall instead of passive recall. You know, go to places where you don't have a lot of distractions.
[00:54:36.780 --> 00:54:42.640]   There's like all the stuff I talk about now, now applies equally as well in 2026 as it was in 2006,
[00:54:42.640 --> 00:54:48.480]   as long as you don't have that phone with you. So it would be like my number one advice. You would want to
[00:54:48.480 --> 00:54:56.320]   put a giant sign over every library or public study space that, you know, says, um, abandon all ye phones,
[00:54:56.320 --> 00:55:03.260]   ye who enter here. A little Dante reference right there. And that, that puts you back on a level playing
[00:55:03.260 --> 00:55:08.420]   field. And then you actually have a chance of succeeding with focused high intensity studying.
[00:55:08.420 --> 00:55:15.940]   Let me tell you the effect of this. It will feel like a superpower. You will, and I'm not exaggerating,
[00:55:16.120 --> 00:55:20.180]   study a third of the time of the other people in your class and you'll get good grades.
[00:55:20.180 --> 00:55:26.040]   If you study without your phone and you use smart study techniques, like the type I talked about in
[00:55:26.040 --> 00:55:30.040]   my book that actually work, they're hard, but actually work and not what's easier. And you boost
[00:55:30.040 --> 00:55:34.960]   up that intensity, you focus part of the equation and you do the time management stuff. We talked about
[00:55:34.960 --> 00:55:38.840]   a couple of weeks ago on the podcast that's in that book. You're gonna get really good grades.
[00:55:38.900 --> 00:55:42.740]   You're not going to work late into the night. You're not gonna do all nighters. You're gonna
[00:55:42.740 --> 00:55:47.300]   have a lot of free time. So that's it. That would be the number one thing I would add. You just, just
[00:55:47.300 --> 00:55:52.880]   don't, don't have screen time rules. Don't get cute about it. It is just not allowed to come with me
[00:55:52.880 --> 00:55:54.940]   when I go to study. That'll make all the difference.
[00:55:56.040 --> 00:55:59.940]   For the newer students in the audience, can you, in a couple sentences, explain to them what active
[00:55:59.940 --> 00:56:00.540]   recall is?
[00:56:00.540 --> 00:56:05.840]   The only way to learn new information that actually works with any sort of effectiveness is trying to
[00:56:05.840 --> 00:56:10.180]   produce the information out loud from your own brain as if lecturing a class without looking at notes.
[00:56:10.180 --> 00:56:15.700]   That's how you learn things. The opposite of that is passive recall, which is where you read your
[00:56:15.700 --> 00:56:23.060]   highlighted notes. That is an incredibly inefficient way of learning stuff. I'm going to give you an
[00:56:23.060 --> 00:56:30.660]   analogy. Let's make the analogy trying to get like muscles larger. Passive recall is, uh, I'm going
[00:56:30.660 --> 00:56:35.120]   to hold a shake weight. Have you seen the shake weight, Jesse? They used to sell these in infomercials.
[00:56:35.120 --> 00:56:40.520]   You hold, it's like a dumbbell where the two ends go and they shake back and forth, like powered by
[00:56:40.520 --> 00:56:44.400]   batteries or whatever. And like, it's shaking your muscles and like, it's going to kind of make it
[00:56:44.400 --> 00:56:48.540]   stronger. I guess you're like kind of holding it up or something. Active recall is like, I'm getting,
[00:56:48.540 --> 00:56:52.580]   I'm doing curls with heavy weights and it's kind of sucks because it's like, it's burning.
[00:56:52.840 --> 00:56:56.780]   But I'm doing them, you know, on a really good schedule. Like your muscles actually get easier.
[00:56:56.780 --> 00:57:00.400]   It's harder, but your muscles are going to get bigger. You can stand around with the shake weight as
[00:57:00.400 --> 00:57:06.580]   much as you want, but, uh, maybe get a little bit stronger. So there you go. Active recall is the only
[00:57:06.580 --> 00:57:11.620]   thing that matters. It sucks in the sense that it's really hard, but you have to think of that hardness
[00:57:11.620 --> 00:57:16.980]   as like the, it's not literally this, but like the feeling of your neurons reforming. You're forcing
[00:57:16.980 --> 00:57:21.680]   your brain into a new configuration where that information is accessible. Lecturing out loud as if
[00:57:21.680 --> 00:57:26.860]   lecture in a class. I, I preach this to my students like five or six times a semester. I even wrote, like
[00:57:26.860 --> 00:57:31.240]   I'm teaching discrete math or I was teaching discrete math, uh, to a hundred kids this semester.
[00:57:31.240 --> 00:57:32.560]   Is that what all those exams are?
[00:57:32.560 --> 00:57:34.040]   That's what the, yeah. Do you see those?
[00:57:34.040 --> 00:57:35.260]   I looked at the first question.
[00:57:35.260 --> 00:57:36.300]   Yeah. Not so bad.
[00:57:36.300 --> 00:57:36.880]   Yeah.
[00:57:36.880 --> 00:57:37.180]   I don't know.
[00:57:37.180 --> 00:57:37.740]   Discrete probability.
[00:57:38.620 --> 00:57:43.500]   So I have a, uh, this feels like a FERPA violation, but I was grading this weekend. And so I have all
[00:57:43.500 --> 00:57:49.640]   my exams, uh, in the, in the HQ cause I was grading the HQ, um, the other day, but I always tell them,
[00:57:49.640 --> 00:57:55.620]   I wrote an article about this when I was in grad school because I did well, uh, I got the highest
[00:57:55.620 --> 00:57:58.380]   grade. I've talked about it before, but like, that's when I realized I might have some math
[00:57:58.380 --> 00:58:01.760]   ability when I took this large discrete math classes on the ground and got the highest grade
[00:58:01.760 --> 00:58:05.480]   in the class. And so I wrote an article about, here's how I studied in that discrete math
[00:58:05.480 --> 00:58:11.800]   class. And I'm always telling my students, I wrote an art, do this, do this. Maybe they
[00:58:11.800 --> 00:58:17.000]   do. They do. Uh, what's a pretty good grades. That wasn't a hard exam. I don't think it was
[00:58:17.000 --> 00:58:23.280]   very reasonable exam. Um, so there you go. Active recall. All right. Let's, uh, what we got here?
[00:58:23.280 --> 00:58:27.340]   We got a final segment coming up. I'm going to react to something on the internet you should
[00:58:27.340 --> 00:58:33.600]   know about, but first let's briefly hear from another sponsor. One of the longest sponsors
[00:58:33.600 --> 00:58:38.100]   of this show and for good reason is our friends at Grammarly. That's because from emails to reports
[00:58:38.100 --> 00:58:42.260]   and project proposals, it's more challenging than ever to meet the demands of today's competing
[00:58:42.260 --> 00:58:48.300]   priorities without some help. Grammarly is the essential AI communication assistant that boost
[00:58:48.300 --> 00:58:53.980]   productivity. So you can get more of what you need to get done faster, no matter what it is
[00:58:53.980 --> 00:59:00.520]   you're writing or what tool it is that you're doing the writing in. I have watched Grammarly over the
[00:59:00.520 --> 00:59:07.700]   years embrace AI enabled features that have continued to grow its utility and producing professional and
[00:59:07.700 --> 00:59:15.760]   effective communication in your job. It'll produce drafts. If you want like, Hey, I got to do a quick
[00:59:15.760 --> 00:59:19.340]   draft of this. It can take a bunch of notes. You paste in there and it can put them into a better
[00:59:19.340 --> 00:59:25.200]   summary. It can look at your tone. Hey, what is the tone of this email I sent? Why don't you double
[00:59:25.200 --> 00:59:29.520]   check that for me? Um, and maybe I want to change it to like a more friendly tone or more professional
[00:59:29.520 --> 00:59:33.460]   tone. Maybe this is, you know, you worry about how you're coming across. It's there. It can help you
[00:59:33.460 --> 00:59:38.880]   with that. Maybe you're trying to come up with some ideas or of course the stuff that Grammarly has
[00:59:38.880 --> 00:59:42.700]   always done really well. Just check to make sure that like your, your grammar is good. And this is coming
[00:59:42.700 --> 00:59:47.880]   across as professional. I think of having Grammarly, like having a, uh, editor who looks over your
[00:59:47.880 --> 00:59:51.480]   shoulder with a bunch of ideas and to help you make your writing even better. Like you could hire
[00:59:51.480 --> 00:59:55.120]   someone to be like, let me help you with this email before you send it. Just think about how those
[00:59:55.120 --> 01:00:00.600]   advantages aggregate when you have like help with clarity and effectiveness in your communication
[01:00:00.600 --> 01:00:05.120]   and all the communication you're doing in your job, that's going to add up to you just being seen as
[01:00:05.120 --> 01:00:11.680]   like a much more capable and effective employee. So it's a fantastic, I think focused deployment of AI,
[01:00:11.680 --> 01:00:16.420]   not some grandiose, you know, this is going to take over the world. Like this is a specific
[01:00:16.420 --> 01:00:20.000]   thing that people need to do better in their jobs. And we're going to help you do it.
[01:00:20.000 --> 01:00:25.860]   You can write and edit quickly. 93% of professionals report that Grammarly helps them get more work
[01:00:25.860 --> 01:00:30.360]   done. You deserve to be equipped with the best tools to do your job with the right AI support.
[01:00:30.360 --> 01:00:35.200]   And that is Grammarly. So let Grammarly take the busy work off your plate so you can focus on high
[01:00:35.200 --> 01:00:41.280]   impact work. Download Grammarly for free at grammarly.com slash podcast. That's grammarly.com
[01:00:41.280 --> 01:00:48.660]   slash podcast. You think I would know that word by now? Podcast. I also want to talk about speaking
[01:00:48.660 --> 01:00:54.440]   of technology, our friends at Vanta. Trust isn't just earned, it's demanded. Whether you're a startup
[01:00:54.440 --> 01:00:59.900]   founder navigating your first audit or a seasoned security professional scaling your GRC program,
[01:00:59.900 --> 01:01:06.340]   proving your commitment to security has never been more critical or more complex. That's where Vanta
[01:01:06.340 --> 01:01:12.560]   comes in. Businesses use Vanta to establish trust by automating compliance needs over 35 frameworks like
[01:01:12.560 --> 01:01:19.100]   SOC 2 and ISO 27001. Centralized security workflows complete questionnaires up to five times faster and
[01:01:19.100 --> 01:01:25.040]   proactively manage vendor risk. Vanta can help you start or scale your security program by connecting
[01:01:25.040 --> 01:01:30.240]   you with auditors and experts to conduct your audit and set up your security program quickly. Plus,
[01:01:30.340 --> 01:01:35.440]   automation and AI throughout the platform, Vanta gives you time back so you can focus on building
[01:01:35.440 --> 01:01:42.100]   your company. Join over 9,000 global companies like Alassian, Quora, and Factory who use Vanta to
[01:01:42.100 --> 01:01:49.020]   manage risk, improve security in real time. Here's the good news. My listeners can get $1,000 off Vanta
[01:01:49.020 --> 01:01:59.740]   advanta.com slash deep questions. That's V-A-N-T-A dot com slash deep questions for $1,000 off. All right,
[01:01:59.740 --> 01:02:05.780]   Jesse, let's do our final segment. I want to talk briefly about an article that's important and you
[01:02:05.780 --> 01:02:11.360]   might not realize how important it is. I'll bring this on the screen here for people who are watching
[01:02:11.360 --> 01:02:15.780]   instead of just listening. It's from the Wall Street Journal. It came out on May 15th. Here's the title.
[01:02:15.780 --> 01:02:20.980]   Meta is delaying the rollout of its flagship AI model. The company's struggle to improve the
[01:02:20.980 --> 01:02:27.780]   capabilities of latest AI model mirrors issues at some top AI companies. So what's going on here is
[01:02:27.780 --> 01:02:36.900]   that Llama 4, which they're nicknaming Behemoth, had been the long-awaited next big large language model
[01:02:36.900 --> 01:02:44.560]   from Meta. They were greatly increasing the amount of compute and data, but when they finished,
[01:02:44.680 --> 01:02:49.300]   they realized this thing wasn't that much better. It wasn't better enough versus their last model
[01:02:49.300 --> 01:02:54.400]   to justify yet releasing it. Now, there's an important quote in here. I'm looking through the
[01:02:54.400 --> 01:02:59.420]   article now where other companies have been having similar problems. All right, let me read from the
[01:02:59.420 --> 01:03:04.680]   article. Meta's recent challenges mere stumbles or delays at other top AI companies that are trying
[01:03:04.680 --> 01:03:09.400]   to release their next big state-of-the-art models. Some researchers see the pattern as evidence that future
[01:03:09.400 --> 01:03:14.020]   advances in AI models could come at a far slower pace than in the past and at tremendous cost.
[01:03:14.020 --> 01:03:19.540]   Right now, the progress is quite small across all labs, all the models, said Ravid Schwartz-Ziv,
[01:03:19.540 --> 01:03:24.500]   an assistant professor and faculty fellow at New York University's Center for Data Science.
[01:03:24.500 --> 01:03:30.980]   GPT-5, one of OpenAI's next big technological leaps forwards, was initially expected around mid-2024,
[01:03:30.980 --> 01:03:35.900]   the Wall Street Journal previously reported. In December, the journal reported that development
[01:03:35.900 --> 01:03:41.120]   of the model was running behind schedule. All right, and they give some more examples. All right,
[01:03:41.120 --> 01:03:46.740]   we can take this off the screen now, Jesse. This is pointing towards a very, very important trend in
[01:03:46.740 --> 01:03:51.460]   AI, but the details are a little berky, and I think most people don't know it, and I want to make it as
[01:03:51.460 --> 01:03:59.600]   clear as possible. Here's the best way I can explain this. There was, in the aftermath of OpenAI,
[01:03:59.600 --> 01:04:05.000]   starting to make their moves with their GPT family of models, so in particular, GPT-2 and 3.
[01:04:05.520 --> 01:04:13.160]   There was this idea, they're called the scaling laws. There is this idea that as you continue to
[01:04:13.160 --> 01:04:18.800]   increase the amount of computation and the amount of data that you use to train these language models,
[01:04:18.800 --> 01:04:25.260]   their skills would keep massively jumping forward, and in fact, the chart that showed this relationship
[01:04:25.260 --> 01:04:33.260]   between resources and ability was exponential, and for a while, it was fitting that. GPT-3 was like this huge
[01:04:33.260 --> 01:04:40.900]   improvement over GPT-2. GPT-4 was a huge improvement over GPT-3. It was better at like everything. It was doing
[01:04:40.900 --> 01:04:49.440]   it better. The visions you heard about a year or more ago about like artificial general intelligence,
[01:04:49.440 --> 01:04:58.500]   for example, about all work being essentially automated, was people looking forward on this curve
[01:04:58.500 --> 01:05:04.220]   and saying, this was so much better than that model, this model, so much better than this model. As we
[01:05:04.220 --> 01:05:10.480]   continue to build out the compute and get more and more data, eventually, these models will just
[01:05:10.480 --> 01:05:17.000]   become so capable that we can just build software agents around them to actually execute the stuff
[01:05:17.000 --> 01:05:20.520]   they say. We can just say like, hey, here's a job. Tell me how you're going to do it and have a software
[01:05:20.520 --> 01:05:25.820]   agent actually execute it. And basically, we can automate everything. It will just be able to understand so
[01:05:25.820 --> 01:05:30.260]   much about the world that we can just ask it, describe how you do this or that, and it'll be a
[01:05:30.260 --> 01:05:34.880]   general intelligence that can basically do anything that a human can do. This is going to completely
[01:05:34.880 --> 01:05:40.620]   change the world. This was the scaling vision was the vision for what was going to happen.
[01:05:40.620 --> 01:05:48.620]   The reality, however, is that the benefits of scaling are starting to give massively diminished
[01:05:48.620 --> 01:05:54.480]   returns. It turns out that like this exponential doesn't keep going. Hundreds of billions have been
[01:05:54.480 --> 01:06:01.080]   invested in building out compute and in building out the biggest possible data sets to train these
[01:06:01.080 --> 01:06:06.100]   things. But after roughly that GPT-4 point, the improvements begin to become diminishing. That's
[01:06:06.100 --> 01:06:11.580]   why GPT-5 hasn't come out yet. It's not good enough. It's not that much better. It's why
[01:06:11.580 --> 01:06:17.120]   Llama 4B myth project, they haven't released it yet. It's not that much better. And in the cases where
[01:06:17.120 --> 01:06:22.820]   they have put this in, you look at like Grok, I guess it's three now versus Grok two, massively more
[01:06:22.820 --> 01:06:29.840]   compute. It's a little bit better. So the scaling laws are kind of trailing off. So we're not going
[01:06:29.840 --> 01:06:34.660]   to, this dream of like, if we keep building bigger and bigger data centers, we don't have to do anything
[01:06:34.660 --> 01:06:38.620]   else but get bigger. And we're going to have like AGI. That's not happening. I don't think everyone's
[01:06:38.620 --> 01:06:43.320]   caught up to that yet. There's still so many of these sort of non-technical articles about like,
[01:06:43.320 --> 01:06:47.680]   hey, what are we going to do in a future? We're going to have no jobs. They're still looking up
[01:06:47.680 --> 01:06:51.500]   this curve. Well, look at how much better this model was in that model. If we just do that five
[01:06:51.500 --> 01:06:55.780]   more times, it's the danger of exponentials, the seduction of exponentials. We do that type of
[01:06:55.780 --> 01:06:59.900]   doubling inability five more times and like all work will be done this way. But that's starting to level
[01:06:59.900 --> 01:07:04.180]   out. So where is all the energy shifted? Because they still need to make improvements, right? You've
[01:07:04.180 --> 01:07:12.820]   noticed OpenAI has now released all these models that have weird names. It's GPT-4-0 and GT-4-0-3 and
[01:07:12.820 --> 01:07:17.380]   all these different types of weird names. Well, they're having to put their energy into much more
[01:07:17.380 --> 01:07:21.340]   narrow development. So a lot of what's happening now is they'll take what they call a foundational
[01:07:21.340 --> 01:07:26.060]   model, which will just be an existing model like GPT-4. And then what they're going to do is they
[01:07:26.060 --> 01:07:31.920]   get a particular data set about a particular type of task they care about where they can have a lot
[01:07:31.920 --> 01:07:37.360]   of examples of questions and write answers. So computer programming is a fantastic example of this is
[01:07:37.360 --> 01:07:42.460]   because you can have a question saying write a computer program that does this and then you can
[01:07:42.460 --> 01:07:47.480]   compile the answer and test it and see if it actually does it. Math is another area where they
[01:07:47.480 --> 01:07:51.880]   could do this because you can write math problems and have the right answer, right? And so they take
[01:07:51.880 --> 01:07:56.940]   an already trained foundational model like GPT-4 and they do a tuning step with these type of synthetic
[01:07:56.940 --> 01:08:02.580]   data sets with right answers where they ask it these questions. And if they give the wrong answer,
[01:08:02.640 --> 01:08:06.580]   they use reinforcement learning to kind of move its weights away from that. And if it gives a
[01:08:06.580 --> 01:08:11.120]   right answer, then they use reinforcement learning to make its weights more solidified towards that.
[01:08:11.120 --> 01:08:16.960]   And they can tune the base language model to be better at these specific tasks for which they
[01:08:16.960 --> 01:08:22.040]   have big synthetic data sets with examples of right answers. That's what they've been doing since the
[01:08:22.040 --> 01:08:27.040]   scaling is not working as well. So they're like, look, this model is good at computer programming.
[01:08:27.040 --> 01:08:32.340]   Why? They built a huge synthetic data set of computer programming examples. Over here, we have a program
[01:08:32.340 --> 01:08:37.420]   that's getting really good at math. Why? Well, because we're hiring a bunch of math PhDs and paying them $100 an
[01:08:37.420 --> 01:08:41.240]   hour to write all these problems where here's a problem, here's the answer. We're using that to tune
[01:08:41.240 --> 01:08:47.080]   foundational language model. The reasoning quote unquote advances that came recently was they worked through
[01:08:47.080 --> 01:08:52.220]   built out these big synthetic data sets of questions that require reasoning and then step-by-step
[01:08:52.220 --> 01:08:58.060]   answers. And then they could use that with reinforcement learning to train certain models to be better at like
[01:08:58.060 --> 01:09:02.040]   doing something that looked like that type of step-by-step reasoning. So that's
[01:09:02.040 --> 01:09:06.980]   what's really going on now. We're not just getting this like massive general increases in
[01:09:06.980 --> 01:09:11.200]   overall capability by just scaling compute and data. So instead, the companies are saying,
[01:09:11.200 --> 01:09:15.940]   we're looking for these like specific applications where we can have these really good synthetic data
[01:09:15.940 --> 01:09:20.200]   sets. And then we'll build bespoke models that are like better at that particular thing.
[01:09:20.660 --> 01:09:27.120]   And maybe they get worse at other things. So like the latest reasoning tune engine of open AI better
[01:09:27.120 --> 01:09:32.440]   match this step-by-step reasoning. They trained it with reinforcement learning, but it hallucinates a lot
[01:09:32.440 --> 01:09:38.020]   more. Whoops. Because in trying to actually like match that, it like it helps to make things up more
[01:09:38.020 --> 01:09:44.800]   because you can better like get a logical seeming chain of answer. So the wrong thing to do now is that
[01:09:44.940 --> 01:09:50.640]   this is not now a general extrapolation. You can't say like, now it's good at math and now it's good at
[01:09:50.640 --> 01:09:54.060]   reasoning and now it's good at computer programming. So tomorrow it's going to be good at X. It's like,
[01:09:54.060 --> 01:09:59.880]   no, no, no. These aren't additive or aggregate. GPT-4 is kind of like their state-of-the-art base
[01:09:59.880 --> 01:10:04.440]   model. If you're looking at open AI and they're looking for specific applications where you can get
[01:10:04.440 --> 01:10:09.140]   good data sets for reinforcement learning on particular tasks. Now this is producing and will produce
[01:10:09.140 --> 01:10:14.020]   cool bespoke tools. It's going to be a long product development cycle. You got to figure out places
[01:10:14.020 --> 01:10:17.860]   where you can build these type of tuned models and then build good software agents around them and
[01:10:17.860 --> 01:10:22.560]   integrate them into the workflows where people use them. But it's a far cry from the vision that we
[01:10:22.560 --> 01:10:28.780]   people had two years ago of like, no, no, just GPT-6 will be anything you ask it. It'll do at a human
[01:10:28.780 --> 01:10:33.820]   level. In fact, it can write its own code to make agents around it and we won't even have to like work
[01:10:33.820 --> 01:10:38.240]   anymore. That is not the trajectory we're on at the moment anymore. Without the scaling laws,
[01:10:38.300 --> 01:10:43.440]   we have to sort of hand build bespoke models that can do specific tasks where we happen to have data
[01:10:43.440 --> 01:10:47.600]   for it. There's many things that we do in our lives where there's not going to be good data sets for,
[01:10:47.600 --> 01:10:51.500]   but where there are, I think they're going to eventually have really cool tools. This is a cool
[01:10:51.500 --> 01:10:58.160]   technology, but it is not on one of these, I have to write an article about the end of business
[01:10:58.160 --> 01:11:02.760]   type of trajectories. So anyways, this is like a really important thing that's going on. This is being
[01:11:02.760 --> 01:11:07.280]   discussed a lot among like the high executives in these companies, the death of the scaling laws,
[01:11:07.460 --> 01:11:14.400]   trying to build out these bespoke skills. I mean, so I'll just say real briefly. So why then did we
[01:11:14.400 --> 01:11:22.960]   have like the AI 2027 report come out last month saying, no, by 2027, these AIs are going to be in
[01:11:22.960 --> 01:11:28.420]   charge of everything. And by 2030, humanity might be dead. Well, I look closer at like what was really
[01:11:28.420 --> 01:11:34.220]   going on there because they know the scaling laws aren't working, right? So what's their tech story for
[01:11:34.220 --> 01:11:39.200]   for how AI is going to kill humanity in the next like three years, right? If you look closer,
[01:11:39.200 --> 01:11:44.840]   it all comes down to a single assumption, which I think is specious. The tuning we're doing for
[01:11:44.840 --> 01:11:49.660]   producing computer programs is getting better, which is true like that. We have good data sets for that
[01:11:49.660 --> 01:11:54.520]   and computer programs are text and we can produce a reasonable size, good computer code.
[01:11:55.160 --> 01:12:01.400]   the foundational assumption of AI 2027 is, well, we're better at computer programming with models
[01:12:01.400 --> 01:12:06.380]   now than we were before. So maybe if we keep getting better at that in the next year or so,
