
[00:00:00.000 --> 00:00:01.080]   That's today's deep question.
[00:31:57.420 --> 00:31:59.300]   is they do the first part,
[00:31:59.300 --> 00:32:00.900]   they work really hard and do the really good things,
[00:32:00.900 --> 00:32:02.060]   but instead of using that as leverage
[00:32:02.060 --> 00:32:03.260]   to take control of their career
[00:32:03.260 --> 00:32:05.500]   and shape it towards what resonates for their full life,
[00:32:05.500 --> 00:32:07.460]   they just say, great, now I'll work even harder.
[00:32:07.460 --> 00:32:08.820]   Well, this will give me the next promotion
[00:32:08.820 --> 00:32:10.860]   and now I'll have to do even more hard work.
[00:32:10.860 --> 00:32:12.220]   And they just ratchet up, ratchet up
[00:32:12.220 --> 00:32:13.340]   until they're completely burned out.
[00:32:13.340 --> 00:32:15.220]   So you can't forget that second part.
[00:32:15.220 --> 00:32:16.460]   Once you do something really good,
[00:32:16.460 --> 00:32:18.380]   become so good you can't be ignored,
[00:32:18.380 --> 00:32:19.940]   you gotta take that out for a spin
[00:32:19.940 --> 00:32:21.340]   and say, what do I want?
[00:32:21.340 --> 00:32:23.860]   Not just what more will this earn me?
[00:32:23.860 --> 00:32:25.420]   How much more money can I make?
[00:32:25.420 --> 00:32:28.020]   How much more prestige can I gain in just being promoted?
[00:32:28.020 --> 00:32:29.860]   You need a much broader view,
[00:32:29.860 --> 00:32:31.100]   not when things are going bad,
[00:32:31.100 --> 00:32:32.660]   but when things are going well.
[00:32:32.660 --> 00:32:35.660]   I think that's something that people often miss.
[00:32:35.660 --> 00:32:37.180]   I suggest to you, those are my five ideas.
[00:32:37.180 --> 00:32:39.220]   I'll say all five names again.
[00:32:39.220 --> 00:32:42.260]   Create synchrony traps, control your meeting availability,
[00:32:42.260 --> 00:32:44.180]   really sell your processes,
[00:32:44.180 --> 00:32:46.300]   trade accountability for accessibility
[00:32:46.300 --> 00:32:48.940]   and crush one thing per month.
[00:32:48.940 --> 00:32:49.820]   You do those things,
[00:32:49.820 --> 00:32:53.260]   if you're one of the 50% who has a remote job right now
[00:32:53.260 --> 00:32:55.460]   and you can, if you want,
[00:32:55.460 --> 00:32:57.740]   significantly decrease the number of hours
[00:32:57.740 --> 00:32:59.900]   during the standard workday that you're spending
[00:32:59.900 --> 00:33:02.340]   actually dedicated to that job.
[00:33:02.340 --> 00:33:04.780]   - That's really solid advice.
[00:33:04.780 --> 00:33:07.180]   Well, I got a lot.
[00:33:07.180 --> 00:33:08.740]   - It's interesting, Tim's book,
[00:33:08.740 --> 00:33:11.780]   what he focused on, and I talked to him about this
[00:33:11.780 --> 00:33:16.100]   when I interviewed him for his show.
[00:33:16.100 --> 00:33:18.860]   So I interviewed him and then we aired that on his show.
[00:33:18.860 --> 00:33:21.100]   One of the things we talked about is
[00:33:21.100 --> 00:33:23.300]   that section of his book got really out of date
[00:33:23.300 --> 00:33:24.740]   for a good reason.
[00:33:24.740 --> 00:33:26.980]   Most of the advice is how in the world
[00:33:26.980 --> 00:33:30.060]   are you gonna convince someone to let you work remotely?
[00:33:30.060 --> 00:33:31.980]   That was like the challenge in 2007.
[00:33:31.980 --> 00:33:33.620]   How in the world am I gonna convince someone
[00:33:33.620 --> 00:33:35.980]   to let me not be in the office?
[00:33:35.980 --> 00:33:37.420]   Today, that's not the problem at all.
[00:33:37.420 --> 00:33:39.900]   That's, if it's not a default,
[00:33:39.900 --> 00:33:43.700]   it is obviously now a very well understood mode of work
[00:33:43.700 --> 00:33:46.660]   because two years ago, according to that graph,
[00:33:46.660 --> 00:33:49.740]   85% of people were working remote in the knowledge sector.
[00:33:49.740 --> 00:33:52.020]   So that whole challenge of how do I convince people
[00:33:52.020 --> 00:33:54.220]   that remote work is even feasible,
[00:33:54.220 --> 00:33:56.180]   that whole challenge has been solved.
[00:33:56.180 --> 00:33:58.340]   And so now we can actually put all that planning
[00:33:58.340 --> 00:34:00.340]   and hacking energy into,
[00:34:00.340 --> 00:34:02.060]   so what do I do with the remote job?
[00:34:02.060 --> 00:34:03.620]   So we're making progress.
[00:34:03.620 --> 00:34:05.740]   - And then establishing the front end
[00:34:05.740 --> 00:34:08.500]   with the definitions was helpful.
[00:34:08.500 --> 00:34:09.820]   - Yeah. - To grasp it all.
[00:34:09.820 --> 00:34:11.180]   - Yeah, like what are you actually trying to do?
[00:34:11.180 --> 00:34:12.100]   - Yeah. - Yeah, yeah.
[00:34:12.100 --> 00:34:14.140]   What are the, what do we mean by this?
[00:34:14.140 --> 00:34:15.700]   What do we, yeah, so there we go.
[00:34:15.700 --> 00:34:16.860]   I don't always do hack stuff,
[00:34:16.860 --> 00:34:18.500]   but I feel like we haven't done some hacks in a little bit.
[00:34:18.500 --> 00:34:21.420]   And I figured let's get in there, hack the job.
[00:34:21.420 --> 00:34:22.260]   All right, so what we're gonna do
[00:34:22.260 --> 00:34:23.380]   in the second segment of the show
[00:34:23.380 --> 00:34:25.900]   is I have questions from you, my listeners, all about this,
[00:34:25.900 --> 00:34:28.460]   all about figuring out how to maneuver remote work
[00:34:28.460 --> 00:34:29.740]   to be more towards your advantage.
[00:34:29.740 --> 00:34:32.900]   So we can see real life examples of this advice
[00:34:32.900 --> 00:34:35.580]   and similar issues at play.
[00:34:35.580 --> 00:34:37.940]   First, however, I wanna briefly talk about
[00:34:37.940 --> 00:34:40.820]   one of the sponsors that makes this show possible,
[00:34:40.820 --> 00:34:42.300]   and that is BetterHelp.
[00:34:42.300 --> 00:34:45.300]   So this show is sponsored by BetterHelp.
[00:34:45.300 --> 00:34:47.740]   Now we talk about often on the podcast
[00:34:47.740 --> 00:34:50.460]   about the five areas of your life,
[00:34:50.460 --> 00:34:52.060]   what we call the deep life buckets.
[00:34:52.060 --> 00:34:53.060]   You have these five areas.
[00:34:53.060 --> 00:34:55.340]   You need to concentrate on all five
[00:34:55.340 --> 00:34:57.060]   to have a fully deep life.
[00:34:57.060 --> 00:34:59.360]   I sometimes feel like there should be a sixth,
[00:34:59.360 --> 00:35:01.460]   cognitive hygiene.
[00:35:01.460 --> 00:35:06.460]   If you aren't building, we could think of it
[00:35:06.460 --> 00:35:10.540]   as an amicable functional relationship with your own brain,
[00:35:10.540 --> 00:35:13.900]   your efforts in the other five buckets of the deep life
[00:35:13.900 --> 00:35:16.100]   are gonna go for naught.
[00:35:16.100 --> 00:35:17.760]   If you're wracked by anxiety,
[00:35:17.760 --> 00:35:20.460]   if that anxiety has developed into depression disorder,
[00:35:20.460 --> 00:35:23.380]   if there's other types of issues or compulsive thinking,
[00:35:23.380 --> 00:35:25.020]   it makes it very difficult for you
[00:35:25.020 --> 00:35:27.340]   to enjoy other parts of life
[00:35:27.340 --> 00:35:29.740]   or make progress on shaping other parts of life
[00:35:29.740 --> 00:35:31.280]   to be truer to your values.
[00:35:31.280 --> 00:35:34.360]   So cognitive hygiene really should be also
[00:35:34.360 --> 00:35:36.840]   one of the buckets that you care about
[00:35:36.840 --> 00:35:39.600]   in forming a deep life.
[00:35:39.600 --> 00:35:43.700]   A therapist is like a highly trained physical trainer
[00:35:43.700 --> 00:35:45.460]   for your mind.
[00:35:45.460 --> 00:35:47.820]   It is an expert that can help you figure out
[00:35:47.820 --> 00:35:51.420]   how do I actually live with this wondrous,
[00:35:51.420 --> 00:35:55.180]   catastrophic, wonderful, terrifying thing
[00:35:55.180 --> 00:35:56.180]   that I call my brain.
[00:35:56.180 --> 00:35:57.640]   Therapist is like your trainer,
[00:35:57.640 --> 00:36:00.760]   your expert to help you build that relationship
[00:36:00.760 --> 00:36:02.240]   with yourself.
[00:36:02.240 --> 00:36:06.420]   This is where better help enters the scene.
[00:36:06.420 --> 00:36:07.800]   If you've always thought about this,
[00:36:07.800 --> 00:36:09.020]   like maybe I should talk to someone,
[00:36:09.020 --> 00:36:10.060]   but again, it seems daunting.
[00:36:10.060 --> 00:36:11.500]   I mean, where do I find this person?
[00:36:11.500 --> 00:36:13.740]   I've heard that it's very hard to find therapists right now
[00:36:13.740 --> 00:36:15.980]   because after the pandemic, they're highly in demand.
[00:36:15.980 --> 00:36:18.100]   Better help is your way into this world.
[00:36:18.100 --> 00:36:20.100]   So if you're thinking of giving therapy a try,
[00:36:20.100 --> 00:36:21.820]   better help is a great option.
[00:36:21.820 --> 00:36:25.900]   It is convenient, flexible, affordable,
[00:36:25.900 --> 00:36:27.420]   which is no small thing.
[00:36:27.420 --> 00:36:32.100]   And here's their big thing, entirely online.
[00:36:32.100 --> 00:36:33.460]   You just fill out a brief questionnaire
[00:36:33.460 --> 00:36:35.580]   to get matched with a licensed therapist.
[00:36:35.580 --> 00:36:38.600]   You can even switch therapists anytime you like
[00:36:38.600 --> 00:36:40.680]   for no additional charge.
[00:36:40.680 --> 00:36:43.380]   So if you wanna live a more empowered life
[00:36:43.380 --> 00:36:44.740]   and get that cognitive hygiene,
[00:36:44.740 --> 00:36:46.180]   deep life bucket into shape,
[00:36:46.180 --> 00:36:48.060]   therapy can get you there.
[00:36:48.060 --> 00:36:52.340]   Visit betterhelp.com/,
[00:36:52.340 --> 00:36:53.900]   what's our slash here, Jesse, deep questions?
[00:36:53.900 --> 00:36:55.460]   - Yep. - Deep questions.
[00:36:55.460 --> 00:36:57.360]   To get 10% off your first month,
[00:36:57.360 --> 00:37:02.360]   that's betterhelp, H-E-L-P.com/deepquestions.
[00:37:02.360 --> 00:37:04.540]   Don't forget the slash deep questions
[00:37:04.540 --> 00:37:07.340]   so they know you came from me.
[00:37:07.340 --> 00:37:09.060]   One of the sponsors I wanna briefly talk about
[00:37:09.060 --> 00:37:10.380]   is ExpressVPN.
[00:37:12.300 --> 00:37:13.460]   As I've explained before on a show,
[00:37:13.460 --> 00:37:18.460]   a VPN is a critical tool for anyone who uses the internet.
[00:37:18.460 --> 00:37:23.020]   It is a tool that allows you to interact with the internet
[00:37:23.020 --> 00:37:25.780]   with privacy and with security.
[00:37:25.780 --> 00:37:28.660]   How this works is instead of just going to the service
[00:37:28.660 --> 00:37:31.900]   or the website directly that you wanna talk to,
[00:37:31.900 --> 00:37:34.940]   you instead establish a encrypted secure connection
[00:37:34.940 --> 00:37:36.420]   with a VPN server.
[00:37:36.420 --> 00:37:37.740]   You tell that VPN server
[00:37:37.740 --> 00:37:39.860]   through this encrypted secure connection,
[00:37:39.860 --> 00:37:42.040]   this is the website I really wanna talk to.
[00:37:42.040 --> 00:37:43.860]   This is the service I'm really using.
[00:37:43.860 --> 00:37:46.780]   And then the server goes and talks to that site
[00:37:46.780 --> 00:37:47.700]   and service on your behalf
[00:37:47.700 --> 00:37:49.780]   and passes the response back to you
[00:37:49.780 --> 00:37:51.660]   through your protected connection.
[00:37:51.660 --> 00:37:52.620]   Why does this matter?
[00:37:52.620 --> 00:37:55.220]   So people can't see what you're doing.
[00:37:55.220 --> 00:37:58.520]   So let's say you're on a wireless access point
[00:37:58.520 --> 00:37:59.760]   at a coffee shop somewhere.
[00:37:59.760 --> 00:38:01.940]   People who are sniffing your packets out of the air,
[00:38:01.940 --> 00:38:04.220]   all they know is Cal is talking
[00:38:04.220 --> 00:38:05.820]   on an encrypted connection to a VPN server.
[00:38:05.820 --> 00:38:07.120]   They have no idea where you're going.
[00:38:07.120 --> 00:38:10.080]   More importantly, your phone carrier
[00:38:10.080 --> 00:38:13.580]   or your internet service provider are allowed to
[00:38:13.580 --> 00:38:16.260]   and probably are keeping track
[00:38:16.260 --> 00:38:17.860]   of what sites and services you're using,
[00:38:17.860 --> 00:38:20.580]   potentially even selling that information to advertisers.
[00:38:20.580 --> 00:38:23.140]   If you're using a VPN, they're out of luck.
[00:38:23.140 --> 00:38:25.900]   All they learn about you is he was talking
[00:38:25.900 --> 00:38:27.620]   through an encrypted connection to a VPN server.
[00:38:27.620 --> 00:38:31.300]   I have no idea who that VPN server was talking to.
[00:38:31.300 --> 00:38:32.380]   So as a computer scientist,
[00:38:32.380 --> 00:38:35.020]   I can tell you, you should use a VPN.
[00:38:35.020 --> 00:38:36.260]   And if you're gonna use a VPN,
[00:38:36.260 --> 00:38:40.060]   use the one I use, which is ExpressVPN.
[00:38:40.060 --> 00:38:41.560]   They've got the great server coverage.
[00:38:41.560 --> 00:38:43.320]   They've got the great bandwidth available
[00:38:43.320 --> 00:38:45.120]   and they have the really easy to use app,
[00:38:45.120 --> 00:38:47.100]   which means you just click a button and boom, it's on.
[00:38:47.100 --> 00:38:49.640]   You don't even realize you're going through a VPN anymore.
[00:38:49.640 --> 00:38:54.000]   So use ExpressVPN if you're gonna use a VPN.
[00:38:54.000 --> 00:38:58.280]   To find out more, go to expressvpn.com/deep
[00:38:58.280 --> 00:39:01.080]   to get the same VPN I use.
[00:39:01.080 --> 00:39:02.640]   So take back your online privacy today
[00:39:02.640 --> 00:39:05.160]   and use my link to get three extra months free.
[00:39:05.160 --> 00:39:09.440]   That's E-X-P-R-E-S-S-VPN.com/deep,
[00:39:09.440 --> 00:39:12.200]   expressvpn.com/deep.
[00:39:12.200 --> 00:39:14.420]   All right, I am excited.
[00:39:14.420 --> 00:39:16.220]   We get a lot of questions about remote work, Jesse.
[00:39:16.220 --> 00:39:19.800]   So I am excited to get our hands dirty
[00:39:19.800 --> 00:39:22.080]   with some real life remote work situation
[00:39:22.080 --> 00:39:24.520]   and see if we can help make people take advantage
[00:39:24.520 --> 00:39:26.240]   of that situation and make their work life a little better.
[00:39:26.240 --> 00:39:27.740]   What's our first question today?
[00:39:27.740 --> 00:39:29.600]   - All right, first question's from Ian,
[00:39:29.600 --> 00:39:32.600]   a 35 year old engineer from San Francisco.
[00:39:32.600 --> 00:39:33.840]   My family has the opportunity
[00:39:33.840 --> 00:39:35.540]   to make a cross country move next year
[00:39:35.540 --> 00:39:37.940]   that has a potential to radically realign our lives
[00:39:37.940 --> 00:39:39.360]   closer to our values.
[00:39:39.360 --> 00:39:42.620]   More time with children, each other, out in nature.
[00:39:42.620 --> 00:39:44.600]   I'll be shifting to a full-time remote work
[00:39:44.600 --> 00:39:45.900]   in my engineering role.
[00:39:45.900 --> 00:39:48.160]   Any advice on how to navigate this change
[00:39:48.160 --> 00:39:51.040]   with reverting back to our old, busier ways?
[00:39:51.040 --> 00:39:52.680]   - So Ian, what I think is critical here
[00:39:52.680 --> 00:39:55.400]   is you are recognizing just the fact
[00:39:55.400 --> 00:39:57.360]   that your new job is remote does not mean
[00:39:57.360 --> 00:40:00.240]   that automatically it is gonna be a lot of flexibility
[00:40:00.240 --> 00:40:01.560]   and autonomy and you're gonna be able
[00:40:01.560 --> 00:40:04.720]   to spend a lot more time on the other things you care about.
[00:40:04.720 --> 00:40:08.480]   Remote work gives you that potential.
[00:40:08.480 --> 00:40:11.320]   Harvesting that potential is your job and it's hard work.
[00:40:11.320 --> 00:40:16.180]   So go back, for example, to the five ideas we talked about
[00:40:16.180 --> 00:40:19.100]   during today's deep dive and give those serious consideration
[00:40:19.100 --> 00:40:22.720]   that is the type of concentrated effort you'll need
[00:40:22.720 --> 00:40:27.720]   to shape this new role into what you want it actually to be.
[00:40:27.720 --> 00:40:31.080]   Two other things I wanna mention beyond that deep dive,
[00:40:31.080 --> 00:40:34.720]   two, you might consider this change of job
[00:40:34.720 --> 00:40:39.040]   as a good opportunity to renegotiate your role.
[00:40:39.040 --> 00:40:40.760]   So we talked about during the deep dive
[00:40:40.760 --> 00:40:44.240]   that a promotion, for example, was a good time
[00:40:44.240 --> 00:40:47.920]   to renegotiate towards an accountability
[00:40:47.920 --> 00:40:50.000]   versus accessibility type shift.
[00:40:50.000 --> 00:40:52.380]   So gaining more accountability
[00:40:52.380 --> 00:40:55.020]   to lose the need to be so accessible.
[00:40:55.020 --> 00:40:57.520]   I'll be more remote now.
[00:40:57.520 --> 00:40:58.440]   I'm away from the office,
[00:40:58.440 --> 00:40:59.700]   so I'm gonna be harder to reach,
[00:40:59.700 --> 00:41:01.040]   but you really are gonna hold me accountable
[00:41:01.040 --> 00:41:03.080]   for the big projects I'm working on.
[00:41:03.080 --> 00:41:05.840]   A move to a new remote position is a great time
[00:41:05.840 --> 00:41:08.240]   to make that type of shift as well.
[00:41:08.240 --> 00:41:09.560]   The second point I wanna make here
[00:41:09.560 --> 00:41:11.000]   goes a little bit off book
[00:41:11.000 --> 00:41:15.320]   because I'm drawing from the full version of your question.
[00:41:15.320 --> 00:41:16.960]   And in the full version of your question,
[00:41:16.960 --> 00:41:20.140]   you mentioned that your spouse is a professor
[00:41:20.140 --> 00:41:21.880]   at an R1 research institution.
[00:41:21.880 --> 00:41:25.360]   So this move is actually being driven by your spouse
[00:41:25.360 --> 00:41:26.920]   going to a new academic job.
[00:41:26.920 --> 00:41:29.160]   So that's an in-person job.
[00:41:29.160 --> 00:41:32.160]   So you shifted remote so you could follow them to that job.
[00:41:32.160 --> 00:41:34.080]   They're at an R1 university.
[00:41:34.080 --> 00:41:36.560]   If your interest is, and I'm reading this here,
[00:41:36.560 --> 00:41:38.400]   to spend more time with your children
[00:41:38.400 --> 00:41:41.080]   and with each other and out in nature.
[00:41:41.080 --> 00:41:42.340]   The other thing I would suggest
[00:41:42.340 --> 00:41:43.560]   as soon as you're making this shift,
[00:41:43.560 --> 00:41:45.080]   and this is a little bit of insider baseball
[00:41:45.080 --> 00:41:48.000]   for non-academics, but I think it's important,
[00:41:48.000 --> 00:41:51.280]   is set your cost of living such
[00:41:51.280 --> 00:41:53.640]   that your spouse does not have to take
[00:41:53.640 --> 00:41:55.100]   summer salary out of grants.
[00:41:55.100 --> 00:41:59.360]   I made this shift three or four years ago,
[00:41:59.360 --> 00:42:01.180]   and it was phenomenal.
[00:42:01.180 --> 00:42:03.200]   And you guys, I want you to try the same thing.
[00:42:03.200 --> 00:42:05.200]   So what this means for people who are not academics
[00:42:05.200 --> 00:42:08.760]   is most research positions at an R1 research university,
[00:42:08.760 --> 00:42:09.880]   if you're a professor,
[00:42:09.880 --> 00:42:12.540]   they'll pay your salary for 10 months.
[00:42:12.540 --> 00:42:13.720]   The other two months of the year,
[00:42:13.720 --> 00:42:16.160]   typically June or July or July and August,
[00:42:16.160 --> 00:42:17.460]   that's your summer months.
[00:42:17.460 --> 00:42:21.240]   Now you can either not get paid during those months,
[00:42:21.240 --> 00:42:24.060]   or you can get research grants
[00:42:24.060 --> 00:42:25.920]   where part of the money in your budget
[00:42:25.920 --> 00:42:28.680]   for that research grant is to pay your salary
[00:42:28.680 --> 00:42:30.800]   in those two months.
[00:42:30.800 --> 00:42:31.980]   If you do not do that,
[00:42:31.980 --> 00:42:35.660]   if you do not ask for summer salary in your research months,
[00:42:35.660 --> 00:42:38.020]   you basically have that time to yourself.
[00:42:38.020 --> 00:42:40.540]   No one is paying you,
[00:42:40.540 --> 00:42:42.060]   and so they cannot expect much of you.
[00:42:42.060 --> 00:42:44.020]   And you'll see this, universities are pretty good
[00:42:44.020 --> 00:42:45.200]   about actually following this.
[00:42:45.200 --> 00:42:47.060]   There's not meetings and committees
[00:42:47.060 --> 00:42:48.180]   and things happening in the summer
[00:42:48.180 --> 00:42:49.740]   because that's your time.
[00:42:49.740 --> 00:42:50.820]   So that's my other suggestion.
[00:42:50.820 --> 00:42:53.420]   If you are following my advice, Ian,
[00:42:53.420 --> 00:42:56.580]   and gaining a lot of flexibility and autonomy
[00:42:56.580 --> 00:42:58.620]   and significantly decreasing the footprint
[00:42:58.620 --> 00:43:00.380]   of your remote job on your life,
[00:43:00.380 --> 00:43:03.540]   if your spouse can do this with his or her summers,
[00:43:03.540 --> 00:43:05.740]   you combine those two things,
[00:43:05.740 --> 00:43:08.760]   and it's gonna unlock all sorts of cool adventures
[00:43:08.760 --> 00:43:11.000]   or way more time together with your values
[00:43:11.000 --> 00:43:11.840]   during those summer months.
[00:43:11.840 --> 00:43:14.740]   So that's an extra bespoke hack
[00:43:14.740 --> 00:43:17.420]   that I wanna add onto your shift that you're doing here.
[00:43:17.420 --> 00:43:20.800]   All right, let's keep rolling.
[00:43:20.800 --> 00:43:22.680]   - All right, next question is from Catherine,
[00:43:22.680 --> 00:43:25.600]   a 33-year-old office manager.
[00:43:25.600 --> 00:43:28.520]   I'm the office manager at a small remote company.
[00:43:28.520 --> 00:43:31.600]   As the office manager, a lot of my work is reactionary,
[00:43:31.600 --> 00:43:34.400]   involves being available for people most of the day.
[00:43:34.400 --> 00:43:35.840]   For instance, my boss is pinging me
[00:43:35.840 --> 00:43:37.680]   anytime something comes to mind.
[00:43:37.680 --> 00:43:40.060]   How can I practice deep work at my job?
[00:43:40.060 --> 00:43:43.680]   - All right, well, Catherine, first of all,
[00:43:43.680 --> 00:43:46.480]   I don't know if deep work is the right thing
[00:43:46.480 --> 00:43:49.420]   to be talking about here in the sense of
[00:43:49.420 --> 00:43:53.400]   an office manager position might not require
[00:43:53.400 --> 00:43:56.720]   regular extended periods of unbroken concentration.
[00:43:56.720 --> 00:43:58.320]   It's not really in the job description.
[00:43:58.320 --> 00:44:02.840]   That doesn't mean, however, that you should be forced
[00:44:02.840 --> 00:44:05.880]   to sacrifice yourself to the travails
[00:44:05.880 --> 00:44:09.040]   of the unbridled hyperactive hive mind.
[00:44:09.040 --> 00:44:10.560]   So in my book, "A World Without Email,"
[00:44:10.560 --> 00:44:12.000]   I talked about this specifically.
[00:44:12.000 --> 00:44:13.540]   I broke knowledge work jobs up
[00:44:13.540 --> 00:44:16.080]   into multiple different categories.
[00:44:16.080 --> 00:44:18.960]   And this was one of the categories I talked about.
[00:44:18.960 --> 00:44:21.960]   I called it support, but mainly what I meant by this
[00:44:21.960 --> 00:44:24.320]   is the major part of your job description
[00:44:24.320 --> 00:44:27.220]   is reacting to requests to come in
[00:44:27.220 --> 00:44:28.800]   and trying to satisfy them.
[00:44:28.800 --> 00:44:32.000]   And what I said in email, the goal there is not
[00:44:32.000 --> 00:44:35.080]   to get very long periods of time where no one bothers you.
[00:44:35.080 --> 00:44:37.780]   The goal there is to achieve a workflow
[00:44:37.780 --> 00:44:41.560]   in which you can execute one thing at a time
[00:44:41.560 --> 00:44:43.260]   without interruption.
[00:44:43.260 --> 00:44:46.040]   So I'm doing this thing someone asked me to do
[00:44:46.040 --> 00:44:48.560]   fully until it's done.
[00:44:48.560 --> 00:44:49.840]   And now I can expose myself to, okay,
[00:44:49.840 --> 00:44:50.680]   what else is going on?
[00:44:50.680 --> 00:44:51.500]   What am I gonna do next?
[00:44:51.500 --> 00:44:53.240]   And then I'm doing this thing until I'm done.
[00:44:53.240 --> 00:44:55.040]   And then I shift on to the next.
[00:44:55.040 --> 00:44:56.920]   The alternative to this is what most people
[00:44:56.920 --> 00:44:58.160]   in these type of positions do,
[00:44:58.160 --> 00:45:00.520]   which is a constant background hum
[00:45:00.520 --> 00:45:02.560]   of tending to the back and forth conversations
[00:45:02.560 --> 00:45:04.360]   about the things going on or they're about to do
[00:45:04.360 --> 00:45:06.280]   while they're actually trying to do the work themselves.
[00:45:06.280 --> 00:45:08.680]   And it puts you into this terribly cognitive
[00:45:08.680 --> 00:45:11.440]   fatiguing cycle where you're trying to actually execute
[00:45:11.440 --> 00:45:13.720]   the tasks that are coming to as the office manager
[00:45:13.720 --> 00:45:16.200]   while context shifting like a madman
[00:45:16.200 --> 00:45:17.600]   while you're executing the task
[00:45:17.600 --> 00:45:19.240]   because you're keeping up with these conversations
[00:45:19.240 --> 00:45:20.560]   about other things going on,
[00:45:20.560 --> 00:45:22.680]   your brain gets completely fried
[00:45:22.680 --> 00:45:24.640]   because it can't shoot back and forth like that.
[00:45:24.640 --> 00:45:27.520]   And the job becomes exhausting and you burn out.
[00:45:27.520 --> 00:45:29.840]   So we don't need four hours every day
[00:45:29.840 --> 00:45:30.920]   for you to work on your novel,
[00:45:30.920 --> 00:45:34.560]   but we need you to have the ability to work 40 minutes
[00:45:34.560 --> 00:45:36.840]   on getting this report together
[00:45:36.840 --> 00:45:40.520]   before you look at any inbox, before you look at any Slack.
[00:45:40.520 --> 00:45:42.360]   So one thing at a time,
[00:45:42.360 --> 00:45:44.260]   completing it before moving on to the next.
[00:45:44.260 --> 00:45:45.840]   That's how our mind is wired.
[00:45:45.840 --> 00:45:47.820]   That is what I want to achieve for you.
[00:45:47.820 --> 00:45:50.240]   So Catherine, I'm gonna get super tactical here
[00:45:50.240 --> 00:45:52.220]   'cause it's kind of the mood we're in,
[00:45:52.220 --> 00:45:53.800]   I think for today's episode.
[00:45:53.800 --> 00:45:55.800]   And I'm gonna, took some notes here.
[00:45:55.800 --> 00:46:00.400]   I'm gonna walk through how you can essentially simulate
[00:46:00.400 --> 00:46:03.980]   without any extra visible technology,
[00:46:03.980 --> 00:46:05.440]   how you can simulate something
[00:46:05.440 --> 00:46:09.460]   like an informal ticketing system
[00:46:09.460 --> 00:46:11.440]   that help keep track of all of this incoming
[00:46:11.440 --> 00:46:14.060]   in a way that allows you to actually be sequential
[00:46:14.060 --> 00:46:16.280]   in how you exercise.
[00:46:16.280 --> 00:46:19.200]   All right, so here's, I'm gonna walk you through this.
[00:46:19.200 --> 00:46:22.520]   Set up a task board using a program like Trello.
[00:46:22.520 --> 00:46:25.520]   This is gonna be the base of your informal ticketing system.
[00:46:25.520 --> 00:46:27.120]   Here are the five columns I want you
[00:46:27.120 --> 00:46:29.040]   to add to that task board.
[00:46:29.040 --> 00:46:32.120]   To process, ready to execute,
[00:46:32.120 --> 00:46:38.040]   scheduled to execute, waiting to hear back and done.
[00:46:38.040 --> 00:46:41.280]   Now, here's how you're gonna go forward.
[00:46:41.280 --> 00:46:44.680]   You will check inboxes, be them email, voicemail,
[00:46:44.680 --> 00:46:47.720]   if people still use that or Slack, in between tasks,
[00:46:47.720 --> 00:46:49.220]   but never during a task.
[00:46:49.220 --> 00:46:50.720]   And if a task is very long,
[00:46:50.720 --> 00:46:52.760]   well, then you need to break it up into reasonable size.
[00:46:52.760 --> 00:46:54.680]   Like I'm gonna break it up into a chunk
[00:46:54.680 --> 00:46:56.400]   that'll take about 30 to 45 minutes.
[00:46:56.400 --> 00:46:58.520]   And that's one task, okay?
[00:46:58.520 --> 00:47:01.820]   So you're never too far from checking in,
[00:47:01.820 --> 00:47:04.360]   but you're not switching away from what you're doing,
[00:47:04.360 --> 00:47:05.980]   checking and switching back.
[00:47:05.980 --> 00:47:10.000]   So you're only checking in between reasonably sized tasks.
[00:47:10.000 --> 00:47:12.080]   Things that come into your inboxes,
[00:47:12.080 --> 00:47:14.600]   you are going to immediately get them out of there.
[00:47:14.600 --> 00:47:17.920]   Your email inbox is not a knowledge management system.
[00:47:17.920 --> 00:47:19.680]   It is not a task management system.
[00:47:19.680 --> 00:47:21.160]   It is a literal mailbox.
[00:47:21.160 --> 00:47:22.240]   You gotta take the mail out of there
[00:47:22.240 --> 00:47:23.140]   and put it somewhere else.
[00:47:23.140 --> 00:47:24.360]   So for you, what that's gonna mean
[00:47:24.360 --> 00:47:26.360]   is when you do these checks,
[00:47:26.360 --> 00:47:28.880]   you're gonna move everything out of there to a card
[00:47:28.880 --> 00:47:32.760]   on your to process column in Trello.
[00:47:32.760 --> 00:47:36.060]   And you can even just copy the text of the email
[00:47:36.060 --> 00:47:38.040]   and paste it on the back of the Trello card.
[00:47:38.040 --> 00:47:39.480]   So all the information is there,
[00:47:39.480 --> 00:47:41.360]   quick summary of what's going on on the front.
[00:47:41.360 --> 00:47:42.280]   You don't have to make sense of it.
[00:47:42.280 --> 00:47:43.960]   You don't have to make a plan for it.
[00:47:43.960 --> 00:47:44.800]   It's in your system.
[00:47:44.800 --> 00:47:47.440]   It's no longer in your inbox, all right?
[00:47:47.440 --> 00:47:50.320]   So you're constantly grabbing things in between tasks,
[00:47:50.320 --> 00:47:52.820]   adding to your to process column.
[00:47:52.820 --> 00:47:54.280]   They're gonna play the role of a ticket here
[00:47:54.280 --> 00:47:56.600]   in our informal ticketing system.
[00:47:56.600 --> 00:48:00.080]   All right, now what you need is regular sessions
