
[00:00:00.040 --> 00:00:10.500]   Bou just in the
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:38:45.700]   I'm not sure if you're listening to me or not.
[00:38:45.700 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.720 --> 00:39:15.720]   I'm not sure if you're listening to me or not.
[00:39:15.760 --> 00:39:45.740]  �
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.740 --> 00:39:45.740]   I'm not sure if you're listening to me or not.
[00:39:45.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:15.760]   I'm not sure if you're listening to me or not.
[00:40:15.760 --> 00:40:45.780]  ,
[00:40:45.780 --> 00:40:45.780]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:40:45.780 --> 00:40:45.780]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:40:45.780 --> 00:40:45.780]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:40:45.780 --> 00:40:45.780]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:40:45.780 --> 00:40:45.780]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:40:45.780 --> 00:40:45.780]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:40:45.800 --> 00:41:15.800]   If you walk into, for example, if you walk into a gun store and you're not sure if you're listening to me or not,
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:15.800]   It's everything that you need to know to understand the gun.
[00:41:15.800 --> 00:41:45.820]  ,
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to know to understand the gun.
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to know to understand the gun.
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to know to understand the gun.
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to know to understand the gun.
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to know to understand the gun.
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to know to understand the gun.
[00:41:45.820 --> 00:41:45.820]   It's everything that you need to understand the gun.
[00:41:45.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:15.840]   It's everything that you need to know to understand the gun.
[00:42:15.840 --> 00:42:45.860]   It's everything that you need to know to understand the gun.
[00:42:45.860 --> 00:42:45.860]   It's everything that you need to know to understand the gun.
[00:42:45.860 --> 00:42:45.860]   It's everything that you need to know to understand the gun.
[00:42:45.860 --> 00:42:45.860]   It's everything that you need to know to understand the gun.
[00:42:45.860 --> 00:42:45.860]   It's everything that you need to know to understand the gun.
[00:42:45.880 --> 00:43:15.880]   The gun is probably not going to break.
[00:43:15.880 --> 00:43:15.880]   You can buy a part set.
[00:43:15.880 --> 00:43:15.880]   The gun is probably not going to break.
[00:43:15.880 --> 00:43:15.880]   You can buy a part set.
[00:43:15.880 --> 00:43:15.880]   The gun is probably not going to break.
[00:43:15.880 --> 00:43:15.880]   You can buy a part set.
[00:43:15.880 --> 00:43:15.880]   The gun is probably not going to break.
[00:43:15.880 --> 00:43:15.880]   You can buy a part set.
[00:43:15.880 --> 00:43:15.880]   The gun is probably not going to break.
[00:43:15.880 --> 00:43:15.880]   You can buy a part set.
[00:43:15.880 --> 00:43:15.880]   The gun is probably not going to break.
[00:43:15.880 --> 00:43:15.880]   You can buy a part set.
[00:43:15.880 --> 00:43:15.880]   But the big thing is buy ammo and buy training and buy range time. Those are the things that people miss. They don't buy ammo, they don't buy training and they don't buy range time. And because of that they aren't effective with their weapons. Right and that's really the one thing I haven't mentioned all is accessories but they are pretty essential and there's a big difference between people who buy guns because they
[00:43:15.880 --> 00:43:15.880]  ,
[00:43:15.920 --> 00:43:45.900]   and people actually buy them because they want to use them for whatever use. If you're going to use a gun you're going to need some accessories on there at least minimum sights. Most likely you're going to want some kind of red dot which vary greatly in price. I mean maybe $50 up to 600 or whatever a red dot is a sighting mechanism that puts a hologram of a red dot on your target and it's special because it provides fast target acquisition allows you to bring the
[00:43:45.900 --> 00:43:45.900]   red dot on your target and it's special because it provides fast target acquisition allows you to bring the
[00:43:45.900 --> 00:43:45.900]   red dot on your target and it's special because it provides fast target acquisition allows you to bring the
[00:43:45.940 --> 00:43:48.200]   because
[00:43:48.200 --> 00:44:11.460]   in, contact,,, small
[00:44:14.880 --> 00:44:22.260]  imo "
[00:44:22.260 --> 00:44:24.820]   basketball. . a
[00:44:24.820 --> 00:44:43.080]  ,,,,,他 tin he manage theרגe. They's notough fantastic ges Arkansas. And, and, I, is not, continue to use the whole, and, ., ,,,,,,,,,,,,,,,,,,,,,,, bit 'る uh hora только precisa Только allowing pare Snuther輕 leur all� yelled Stadium 내� alright HTN all spin woods gave out attend theG 취 descend join the стал utilize the G視 doesnTAI represent a yelled Del жизньGA главé in hyung 9GL see that's in 잠깐만よろしく like they're good haven còn 감 chin 'A Principal in ehrlich er liegen at CARS un confirm the � 80 Bam которыеатель deblade of 10 Until the gi hear the succeed a ass. The였습니다. We are over
[00:44:43.100 --> 00:45:11.320]   more than 12 hours out of each day. You need some kind of flashlight on there. Very quickly it adds up. And that's not me. That's all before you get into the very important element of training, which, you know, weekend class is going to cost you probably at least two to $300. But it's very important, very essential. And ammunition get expensive right now. I didn't check today, but let's just say in the vicinity of 20 something to 30 cents around, maybe the 40, maybe more than that. Sorry, that's old prices. I'm thinking 9mm.
[00:45:11.560 --> 00:45:40.560]  , okay, so I was around box of 556. Not cheap. Right, you're looking around 50 cents around. And you can run through some money very quickly, just doing some basic training. So, personally, my perspective, it is, I'm very passionate about the high quality stuff. But if you're getting practical, your money is best, much better spent on things like decent accessories, training, and you know, you know, you're going to get a lot of money.
[00:45:40.600 --> 00:45:52.640]   talk
[00:45:52.640 --> 00:46:09.320]   the is, ", systemic
[00:46:38.640 --> 00:46:38.640]   -
[00:46:38.640 --> 00:46:38.640]   -
[00:46:38.640 --> 00:46:38.640]   -
[00:47:07.680 --> 00:47:07.680]   -
[00:47:07.680 --> 00:47:07.680]   -
[00:47:16.980 --> 00:47:17.820]   -
[00:47:17.820 --> 00:47:17.840]   -
[00:47:17.840 --> 00:47:17.880]   -
[00:47:17.880 --> 00:47:17.900]   -
[00:47:17.900 --> 00:47:17.940]   -
[00:47:17.940 --> 00:47:17.960]   -
[00:47:17.960 --> 00:47:18.000]   -
[00:47:18.000 --> 00:47:18.020]   -
[00:47:18.020 --> 00:47:18.040]   -
[00:47:18.040 --> 00:47:18.060]   -
[00:47:18.060 --> 00:47:18.080]   -
[00:47:18.080 --> 00:47:18.100]   -
[00:47:18.100 --> 00:47:18.120]   -
[00:47:18.120 --> 00:47:18.140]   -
[00:47:18.140 --> 00:47:18.180]   -
[00:47:18.180 --> 00:47:18.200]   -
[00:47:18.200 --> 00:47:18.220]   -
[00:47:18.220 --> 00:47:18.260]   -
[00:47:18.260 --> 00:47:18.560]   -
[00:47:18.560 --> 00:47:18.600]   -
[00:47:18.600 --> 00:47:18.620]   -
[00:47:18.620 --> 00:47:18.660]   -
[00:47:18.660 --> 00:47:18.680]   -
[00:47:18.680 --> 00:47:18.700]   -
[00:47:18.700 --> 00:47:18.720]   -
[00:47:18.720 --> 00:47:18.740]   -
[00:47:18.740 --> 00:47:18.760]   -
[00:47:18.760 --> 00:47:18.780]   -
[00:47:18.780 --> 00:47:18.800]   -
[00:47:18.800 --> 00:47:18.820]   -
[00:47:18.820 --> 00:47:18.840]   -
[00:47:18.840 --> 00:47:18.880]   -
[00:47:18.880 --> 00:47:18.900]   -
[00:47:18.900 --> 00:47:18.940]   -
[00:47:18.940 --> 00:47:18.940]   -
[00:47:18.940 --> 00:47:18.960]   -
[00:47:18.960 --> 00:47:25.120]   -
[00:47:25.120 --> 00:47:25.140]   -
[00:47:25.140 --> 00:47:25.180]   -
[00:47:25.180 --> 00:47:25.200]   -
[00:47:25.200 --> 00:47:25.260]   -
[00:47:25.260 --> 00:47:25.600]   -
[00:47:25.600 --> 00:47:25.620]   -
[00:47:25.620 --> 00:47:25.660]   -
[00:47:25.660 --> 00:47:25.680]   -
[00:47:25.680 --> 00:47:25.720]   -
[00:47:25.720 --> 00:47:30.720]   - I'm trying to avoid, I'm trying to keep this simple and avoid politics.
[00:47:30.720 --> 00:47:32.040]   It's a touchy week for us.
[00:47:32.040 --> 00:47:37.200]   Yeah, but basic, basic accessories are, as you said, you got to make sure that you budget
[00:47:37.200 --> 00:47:37.680]   for something that's not going to be used.
[00:47:37.680 --> 00:48:07.680]  , but you got to make sure that you're not going to need to make it for the next couple of weeks.
[00:48:07.680 --> 00:48:07.700]   But you can get cheap, you can get cheap, you know, strap on screw on iron sights.
[00:48:07.740 --> 00:48:17.440]   make
[00:48:17.440 --> 00:48:20.420]   Sam Ch is,,,,
[00:48:20.420 --> 00:48:33.220]   cont Fast Starting But It's the good good just and get the good. We're, we're, we're, we, we, we, we, we, we, we, that,—T,-T.-2017-G-G- illustration-G-G-G-G- lights- buy- th- say- ser- " bad- жиз may pass shell room Et double shared de.*
[00:48:33.220 --> 00:48:35.860]  新 "
[00:48:36.400 --> 00:48:57.020]   the
[00:51:34.000 --> 00:51:36.000]   de
[00:51:36.000 --> 00:51:46.880]   go. I get the thing
[00:53:02.380 --> 00:53:04.580]   like
[00:53:04.580 --> 00:53:12.240]   in the is joy
[00:53:12.240 --> 00:53:13.660]   whatsoever,,,,,,,, care but i ' But I neden
[00:53:13.660 --> 00:53:17.500]   I
[00:53:17.500 --> 00:53:30.440]   small
[00:53:31.320 --> 00:53:42.260]   no
[00:53:42.260 --> 00:54:00.120]   use the is
[00:54:00.380 --> 00:54:10.800]  這樣子 be
[00:54:10.800 --> 00:54:29.180]   100 I I视
[00:54:30.120 --> 00:54:39.840]   điều
[00:54:39.840 --> 00:54:41.420]   sound theух
[00:54:41.420 --> 00:54:57.100]   call all out TVS L. I. like, this. I. I. I. I. I. I. be. listening over stand, and, or, vie, more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,, is. say. owe-e- Hal-D-T-Th-He-Tell-C-C- altri- inventory-G-G-H- interior----"- recomend- recognize- Indiana- Fres- pricing- Myanmar- Bolsonaro- say- viv- dragon- just- boiled- Gi- Not the hot- an- stable- they've it's a 군- parad- sausage-af a con-JI- so it's no di- fortun- rate-rang- overse- explic- why- Young's aί- свой's a
[00:54:57.120 --> 00:55:05.100]   ground-breaking technology, perhaps a manufacturing process, there'll be some improvements, but I don't see it yet.
[00:55:05.100 --> 00:55:22.100]   Well, hopefully we've given you just a something, it's hard to go wrong in the AR marketplace, especially if you go purchase from a known quantity, or a known manufacturer, you can just about any brand that you recognize, you're gonna be fine, and it is a really, really valuable platform.
[00:55:23.100 --> 00:55:48.100]  ,
[00:55:48.100 --> 00:55:49.100]   one quick thing on the pricing, because I probably didn't make it clear.
[00:55:49.100 --> 00:55:51.100]   You can buy an entry-level complete rifle for probably $500, maybe a little less, a little more, but if you want something for, with a little better features, then you can get the same price with better features by assembling the uppers and lowers, one of the common websites, you want to mention the website?
[00:55:51.100 --> 00:55:52.100]   Sure.
[00:55:53.100 --> 00:56:22.100]  .
[00:56:22.100 --> 00:56:22.100]   You can buy them at the same time, you know, you can wait for the deal and the one you want, but what you'll find very quickly is that the cheapest assembled guns, they generally limit your ability to accessorize.
[00:56:22.120 --> 00:56:24.140]   from PSA, it's about the same price.
[00:56:24.140 --> 00:56:24.140]   Other elements like the stock, a nicer stock, or that's probably the big ones, the handguard in the stock, or even the barrel.
[00:56:24.140 --> 00:56:25.140]   Quality, you know, actually, I like the idea of stainless steel barrels, so I don't have to worry too much about rust, so you may get a better barrel for the same price.
[00:56:25.140 --> 00:56:26.140]   So I'm not sure how you can get below that $450 to $500 mark with a complete rifle, but without building it yourself, and you probably don't save that much, but you can get a better barrel for the same price.
[00:56:26.140 --> 00:56:52.100]   So I'm not sure how you can get below that $450 to $500 mark with a complete rifle, but without building it yourself, and you probably don't save that much, but you can get a better barrel for the same price.
[00:56:53.100 --> 00:57:22.100]  , but you can get more for your money by going that route, you know, assemble, separating the upper from the lower.
[00:57:22.100 --> 00:57:22.100]   That's my recommendation.
[00:57:22.100 --> 00:57:22.100]   Check out Palmer State Armory.
[00:57:22.100 --> 00:57:22.100]   The biggest thing I would say, if you don't, if you're not familiar with it, just ask around.
[00:57:22.100 --> 00:57:22.100]   Find a buddy who has one and go shoot it, and get over the fear of it, and then ask them for advice.
[00:57:22.100 --> 00:57:22.100]   Go to a gun show. If you go to a gun show, go to a gun shop, go to a local gun shop.
[00:57:22.140 --> 00:57:33.200]  ason,
[00:57:33.200 --> 00:57:49.680]   in the show Edge戰
[00:58:49.280 --> 00:58:49.280]   I'm depending on you to be a co-laborer with me in helping me to propagate the message that I'm seeking to share. That helps the person that you are engaging with, and it also helps you because teaching others is one of the most effective ways for you to learn and for you to cement your learning. Three, if there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:58:49.280 --> 00:58:49.280]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:58:49.280 --> 00:58:50.240]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:58:50.240 --> 00:58:50.240]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:58:50.240 --> 00:58:50.240]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:59:19.300 --> 00:59:20.260]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:59:20.260 --> 00:59:20.260]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:59:20.260 --> 00:59:20.260]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:59:20.260 --> 00:59:20.260]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:59:20.260 --> 00:59:20.260]   If there's an idea that's been specifically helpful to you, and if you're gaining financial benefit from Radical Personal Finance,
[00:59:20.260 --> 00:59:50.280]  ,
[00:59:50.280 --> 00:59:50.280]   SweetHop is an online marketplace curating the best in premium seating at stadiums, arenas, and amphitheaters nationwide.
[00:59:50.280 --> 00:59:50.280]   SweetHop is an online marketplace curating the best in premium seating at stadiums, arenas, and amphitheaters nationwide with SweetHop's 100% ticket guarantee, no hidden fees, and the personal high-level service you expect with a premium purchase.
[00:59:50.280 --> 00:59:50.280]   SweetHop is an online marketplace curating the best in premium seating at stadiums, arenas, and amphitheaters nationwide with SweetHop's 100% ticket guarantee, no hidden fees, and the personal high-level service you expect with a premium purchase.
[00:59:50.280 --> 00:59:50.280]   You can relax knowing you'll receive the luxury experience you deserve. Visit SweetHop.com today to book your premium tickets to your favorite teams, artists, and all the must-be live events.
[00:59:50.280 --> 00:59:50.280]  , and all the must-be live events that you're not in the best.
[00:59:50.300 --> 00:59:54.440]   To SweetHop around LA, S-U-I-T-E-H-O-P.com.
[00:59:54.440 --> 00:59:56.060]   It's more than just a ticket.

