
[00:00:00.000 --> 00:00:01.880]   Hey, everybody, welcome back.
[00:36:21.260 --> 00:36:27.180]   did it. I assume he didn't get permission from anybody to do it, but could a moment like that
[00:36:27.180 --> 00:36:31.100]   have really happened if he did have to get permission? No way. It'd be like making its way
[00:36:31.100 --> 00:36:35.820]   up through the chain. No one would know what to think of it. No one would know whether they could
[00:36:35.820 --> 00:36:40.380]   be the one to approve it. And then what if something goes wrong? What if the Tesla comes
[00:36:40.380 --> 00:36:44.700]   back down to earth and, you know, turns into a meteor or whatever, those are the scenarios that
[00:36:44.700 --> 00:36:48.700]   be running through their heads. Nobody would have allowed it. Right. And so when you just let
[00:36:48.700 --> 00:36:51.240]   entrepreneurs do things like good things, you know, you're not going to be able to do it. You're not
[00:36:51.240 --> 00:36:51.260]   going to be able to do it. You're not going to be able to do it. You're not going to be able to do it.
[00:36:51.260 --> 00:36:56.340]   Right. And that's why we've had so much progress on the internet. And in so many of these other
[00:36:56.340 --> 00:37:01.460]   areas, we've had much less progress because, you know, what a system like that selects for is your
[00:37:01.460 --> 00:37:07.160]   ability to go lobby regulators as opposed to just building your project and shipping it.
[00:37:07.160 --> 00:37:12.840]   I think that one of the things that maybe happens is that, you know, we were all expecting,
[00:37:12.840 --> 00:37:17.740]   or maybe some of us, I have definitely some version of a new deal and some grand bargain.
[00:37:17.740 --> 00:37:21.220]   And I wonder maybe whether the new deal and our sort of like
[00:37:21.220 --> 00:37:28.080]   our version of FDR over the next, I don't know, 10 years is the person that actually says,
[00:37:28.080 --> 00:37:32.700]   guys, we're going to have a wholesale rewrite of the regulatory infrastructure to account for
[00:37:32.700 --> 00:37:36.560]   technology. Just period. We're going to start someplace reasonable and small,
[00:37:36.560 --> 00:37:42.120]   and we're going to make common sense reforms, just observing the times as they exist today.
[00:37:42.120 --> 00:37:46.340]   Right. And we're going to go and systematically try to make these industries
[00:37:46.340 --> 00:37:50.520]   a little bit more resilient, a little bit more entrepreneurial, you know, a little bit
[00:37:51.200 --> 00:37:58.140]   less corrupted by regulatory capture and lobbyists and laws that just don't make sense 100 years later.
[00:37:58.140 --> 00:38:03.100]   I mean, it'd be great if we could do that. The reason we can't is because how do you reform
[00:38:03.100 --> 00:38:08.440]   the law without the lobbyists getting their fingers in it? Right. And the problem is there's
[00:38:08.440 --> 00:38:14.500]   no lobbyist for the company that doesn't exist yet, right? For the founder, for the entrepreneur
[00:38:14.500 --> 00:38:18.780]   who's got an idea in their head, but they haven't built their company yet. There's nobody representing
[00:38:18.780 --> 00:38:21.160]   that person in Washington.
[00:38:21.180 --> 00:38:26.800]   Right. And what happens is you get new regulations in Washington. Some agency gets created.
[00:38:26.800 --> 00:38:32.000]   They reach out and touch an industry. Now, every player that's affected has to create their own
[00:38:32.000 --> 00:38:39.400]   lobbying organization. Not true. And David, what do you think about this? What if the advocate for
[00:38:39.400 --> 00:38:44.380]   the entrepreneur or the uncreated company and uncreated product is really the same as just
[00:38:44.380 --> 00:38:50.860]   individual civil liberties and rights? How are they really that different? Because really what
[00:38:50.860 --> 00:38:51.160]   it's doing is it's creating a new organization. It's creating a new organization. It's creating
[00:38:51.160 --> 00:38:51.520]   a new system. It's creating a new system. It's creating a new system. And so what we're doing is
[00:38:51.520 --> 00:38:58.580]   saying the entrenched organizational infrastructure that runs my life gets deconstructed and then
[00:38:58.580 --> 00:39:02.320]   power gets pushed down to be the individual. That's tantamount to the same thing, I think.
[00:39:02.320 --> 00:39:10.100]   Well, we have seen some pushback. Well, I mean, there is some silver lining here. If you look
[00:39:10.100 --> 00:39:14.620]   right now, the citizens of California, obviously people have been fleeing and we've been talking
[00:39:14.620 --> 00:39:19.840]   about California and the one-party system here causing so many problems. But we did have Prop 22
[00:39:21.140 --> 00:39:30.120]   pass and we now have 900,000 people have signed to recall Governor Newsom. And these seem to be
[00:39:30.120 --> 00:39:35.340]   some pushback against this sort of nanny state where people can't make decisions.
[00:39:35.340 --> 00:39:45.840]   And then additionally, today, the SEC announced that they will allow gig working companies to give
[00:39:45.840 --> 00:39:51.120]   stock to employees as part of their compensation. Up to $1 billion.
[00:39:51.120 --> 00:39:59.180]   Up to 15% of their compensation, in fact. Hester, how do you pronounce her last name? It's not Pierce.
[00:39:59.180 --> 00:40:02.140]   You can't pronounce the word Pierce?
[00:40:02.140 --> 00:40:07.640]   Pierce. Pierce. No, it's spelled Pierce. But Hester Pierce is worth following on the Twitter,
[00:40:07.640 --> 00:40:13.340]   H-E-S-T-E-R-P-E-I-R-C-E. Hester Pierce, I had her on my podcast this week in startups and
[00:40:13.340 --> 00:40:19.120]   they're really getting aggressive in changing the accreditation law. So anybody's going to be able
[00:40:19.120 --> 00:40:21.100]   to be an accredited investor, you just become sophisticated.
[00:40:21.100 --> 00:40:26.260]   Through a testing mechanism. And now they want to let gig workers get equity compensation.
[00:40:26.260 --> 00:40:32.120]   But by the way, sorry, here's a perfect example of a regulatory body and infrastructure that
[00:40:32.120 --> 00:40:38.320]   actually has changed with the times. I think the SEC, in fact, I think maybe we talked about this
[00:40:38.320 --> 00:40:43.320]   a little bit the last time. I actually think one of the best Trump appointees has been Jay Clayton.
[00:40:43.320 --> 00:40:48.760]   And I actually think Jay Clayton has done an incredibly good job. And a lot of what he's done
[00:40:48.760 --> 00:40:51.080]   is just deconstruct this kind of thing.
[00:40:51.080 --> 00:41:21.060]   Jay Clayton: Yeah. I mean, I think he's done a really good job. And he's done a really good job. I'm not saying that he's done a great job. But he's done a really good job. And I think that's what he's done. And I think that's what he's done. I think he's done a really good job.
[00:41:21.060 --> 00:41:26.500]   educated and they're going to have to find a way of putting their money to work in assets that have
[00:41:26.500 --> 00:41:33.380]   a better return, which literally was illegal up until very recently. And so you were systematically
[00:41:33.380 --> 00:41:37.220]   letting the rich stay rich. And you were blocking the poor from
[00:41:37.220 --> 00:41:42.500]   having an opportunity to advance. What if Apple Store employees could get their paycheck and say,
[00:41:42.500 --> 00:41:49.460]   "I want to take my paycheck, 70% cash, 30% restricted stock units at this discount?"
[00:41:50.260 --> 00:41:56.100]   We could let Apple Store employees make a million dollars after five or 10 years of working there,
[00:41:56.100 --> 00:41:59.940]   10, 20 years from now, and have generational wealth change. David Sachs, you had a comment.
[00:41:59.940 --> 00:42:04.260]   Well, I was going to ask, Jarmath, do you think this type of deregulation is going to happen
[00:42:04.260 --> 00:42:10.100]   in the Biden administration? Because what you're discussing is like a very, really kind of classical
[00:42:10.100 --> 00:42:14.660]   Republican or Reaganite idea, right? I agree. And I think what's
[00:42:14.660 --> 00:42:19.460]   going to happen is I think you're going to continue to see deregulation in areas that
[00:42:19.460 --> 00:42:29.300]   are benign and non-controversial. So I think the SEC, the FCC, I think all of these places you'll
[00:42:29.300 --> 00:42:37.540]   see movement. I think you'll probably actually see a lot more choice and deregulation effectively in
[00:42:37.540 --> 00:42:48.020]   Medicare and CMMI. I think those places will move first. And then I think it'll be up to some leader
[00:42:48.020 --> 00:42:48.660]   politician to decide whether or not they want to do it. And I think that's going to be a very,
[00:42:48.660 --> 00:42:52.560]   to then really rally the troops on some higher order bits.
[00:42:52.560 --> 00:42:55.000]   And one of the biggest higher order bits
[00:42:55.000 --> 00:42:57.460]   would be sort of around the broader health care infrastructure,
[00:42:57.460 --> 00:42:59.520]   social security.
[00:42:59.520 --> 00:43:01.700]   Education.
[00:43:01.700 --> 00:43:03.380]   Education is probably the biggest one.
[00:43:03.380 --> 00:43:06.440]   It's just too sacrosanct for the Democrats.
[00:43:06.440 --> 00:43:08.180]   You cannot get elected without the teachers.
[00:43:08.180 --> 00:43:10.480]   And so unless there is a startup
[00:43:10.480 --> 00:43:12.540]   that completely disrupts teacher pay
[00:43:12.540 --> 00:43:14.320]   and teacher compensation,
[00:43:15.000 --> 00:43:18.900]   then the public school teachers unions
[00:43:18.900 --> 00:43:24.140]   will continue to dominate a lot of the federal and state policy.
[00:43:24.140 --> 00:43:26.180]   For the worst, unfortunately.
[00:43:26.180 --> 00:43:30.540]   Freeberg, if you had one regulation
[00:43:30.540 --> 00:43:33.360]   or series of regulations or regulatory body,
[00:43:33.360 --> 00:43:35.780]   you would most like to see change
[00:43:35.780 --> 00:43:40.000]   for the good of humanity and Americans
[00:43:40.000 --> 00:43:41.800]   and the rest of the humans on the planet,
[00:43:41.800 --> 00:43:42.300]   what would it be?
[00:43:42.300 --> 00:43:44.960]   Probably health.
[00:43:44.960 --> 00:43:47.640]   Yeah, probably the drug process,
[00:43:47.640 --> 00:43:48.760]   the drug development process.
[00:43:48.760 --> 00:43:55.220]   You know, there was a gene editing program
[00:43:55.220 --> 00:43:57.940]   that ran and someone died.
[00:43:57.940 --> 00:43:59.880]   What year was this?
[00:43:59.880 --> 00:44:01.540]   97, 99?
[00:44:01.540 --> 00:44:05.280]   And they basically halted all gene editing programs
[00:44:05.280 --> 00:44:06.140]   for 13 years.
[00:44:06.140 --> 00:44:08.180]   You know how many people died during that time?
[00:44:08.180 --> 00:44:13.300]   It was fucking, it's a crazy, crazy fact
[00:44:13.300 --> 00:44:14.940]   where, you know,
[00:44:14.940 --> 00:44:18.940]   you know, the one death is too many rule,
[00:44:18.940 --> 00:44:22.440]   you know, basically doesn't take into account
[00:44:22.440 --> 00:44:24.220]   the kind of broader implications
[00:44:24.220 --> 00:44:26.560]   on the downside.
[00:44:26.560 --> 00:44:29.500]   So, yeah, I think that one's probably pretty important.
[00:44:29.500 --> 00:44:31.180]   But, you know, there's a good interview.
[00:44:31.180 --> 00:44:34.080]   If you want to hear some interesting thoughts,
[00:44:34.080 --> 00:44:37.140]   and again, not trying to be an advocate
[00:44:37.140 --> 00:44:38.340]   for any political point of view,
[00:44:38.340 --> 00:44:41.740]   but Charles Koch goes on Tim Ferriss.
[00:44:41.740 --> 00:44:43.180]   Have you guys heard this podcast interview?
[00:44:43.180 --> 00:44:44.520]   I've listened to it, yeah.
[00:44:44.520 --> 00:44:44.820]   Yeah.
[00:44:44.820 --> 00:44:47.060]   And he highlights a couple of really good examples
[00:44:47.060 --> 00:44:48.960]   about this regulatory capture problem.
[00:44:48.960 --> 00:44:50.540]   Like, if you're poor,
[00:44:50.540 --> 00:44:52.500]   and you want to become a hairdresser,
[00:44:52.500 --> 00:44:54.620]   and, you know, start a salon,
[00:44:54.620 --> 00:44:56.620]   or go work in a salon and make money cutting hair,
[00:44:56.620 --> 00:44:58.760]   the cost and the burden
[00:44:58.760 --> 00:45:00.880]   for you to go get the necessary approvals
[00:45:00.880 --> 00:45:02.980]   from the Cosmetician Association
[00:45:02.980 --> 00:45:05.120]   is too burdensome
[00:45:05.120 --> 00:45:06.960]   for, you know, the average person
[00:45:06.960 --> 00:45:08.580]   who's poor and needs to become a hairdresser.
[00:45:08.580 --> 00:45:10.920]   And it's just insane that you can't
[00:45:10.920 --> 00:45:12.000]   just go be a hairdresser.
[00:45:12.000 --> 00:45:14.000]   The government needs,
[00:45:14.000 --> 00:45:15.480]   the government needs to ensure
[00:45:15.480 --> 00:45:17.680]   that people don't get bad haircuts.
[00:45:17.680 --> 00:45:19.120]   It's worse, it's worse.
[00:45:19.120 --> 00:45:22.000]   You don't need a license
[00:45:22.000 --> 00:45:23.500]   to be the engineer
[00:45:23.500 --> 00:45:26.060]   that writes the machine learning code
[00:45:26.060 --> 00:45:28.820]   that either drives a car autonomously
[00:45:28.820 --> 00:45:30.420]   or that, you know,
[00:45:30.420 --> 00:45:33.520]   helps propel disinformation in a social network.
[00:45:33.520 --> 00:45:35.460]   But you do need to have a license
[00:45:35.460 --> 00:45:36.720]   to give someone a buzz cut.
[00:45:36.720 --> 00:45:38.980]   Oh, that's a bingo statement right there.
[00:45:38.980 --> 00:45:39.940]   Yeah.
[00:45:39.940 --> 00:45:41.180]   I mean, in fairness,
[00:45:41.180 --> 00:45:43.420]   I am checking out Sax's new haircut here,
[00:45:43.420 --> 00:45:43.880]   and I'm...
[00:45:43.880 --> 00:45:44.840]   I'm kind of thinking...
[00:45:44.840 --> 00:45:46.380]   So there should be more regulation?
[00:45:46.380 --> 00:45:47.200]   There might.
[00:45:47.200 --> 00:45:49.380]   I was practicing without a license.
[00:45:49.380 --> 00:45:50.280]   You were?
[00:45:50.280 --> 00:45:51.800]   I mean, did you do that yourself?
[00:45:51.800 --> 00:45:53.740]   We can't see the result of this.
[00:45:53.740 --> 00:45:55.240]   You may want to think this one through.
[00:45:55.240 --> 00:45:58.260]   I mean, Sax, you're so white and pale,
[00:45:58.260 --> 00:46:00.480]   you're blending into the background shade.
[00:46:00.480 --> 00:46:03.020]   It's impossible to see where your skin ends,
[00:46:03.020 --> 00:46:05.220]   your hair starts, and the shade begins.
[00:46:05.220 --> 00:46:08.240]   But I feel like the regulatory,
[00:46:08.240 --> 00:46:09.540]   if you think about the framework,
[00:46:09.540 --> 00:46:11.540]   you know, it extends into education too.
[00:46:11.540 --> 00:46:13.760]   Like, you can't go get an entry-level job
[00:46:13.760 --> 00:46:15.260]   without a quote-unquote college degree.
[00:46:15.260 --> 00:46:18.060]   How fucking useful is a college philosophy degree
[00:46:18.060 --> 00:46:20.020]   to someone that's trying to get an entry-level job
[00:46:20.020 --> 00:46:21.680]   working at X, Y, or Z bank, right?
[00:46:21.680 --> 00:46:25.340]   Like, it's a bit absurd that the structure is set up
[00:46:25.340 --> 00:46:26.120]   so that there are...
[00:46:26.120 --> 00:46:27.880]   Whether it's, you know, government or not,
[00:46:27.880 --> 00:46:29.860]   but there is effectively a hurdle,
[00:46:29.860 --> 00:46:34.120]   which is this alternative to regulatory capture,
[00:46:34.120 --> 00:46:36.780]   but it's like, call it embedded system, you know, capture.
[00:46:36.780 --> 00:46:39.420]   Like, there is a significant kind of hurdle
[00:46:39.420 --> 00:46:41.080]   that you have to get through that costs a lot,
[00:46:41.080 --> 00:46:43.640]   and the point of entry has gotten too high for most.
[00:46:43.640 --> 00:46:45.520]   And it really stalls things out,
[00:46:45.520 --> 00:46:47.060]   and it's going to cause more damage than good.
[00:46:47.060 --> 00:46:49.480]   Well, and it's also been completely disconnected
[00:46:49.480 --> 00:46:52.400]   from the reality of your employment potential.
[00:46:52.400 --> 00:46:54.440]   People are going into debt for $200,000
[00:46:54.440 --> 00:46:55.660]   in a liberal arts degree
[00:46:55.660 --> 00:46:58.340]   that provides no skill that is valuable in the world.
[00:46:58.340 --> 00:46:59.560]   Do we all agree that that makes sense?
[00:46:59.560 --> 00:47:01.580]   Like, does anyone in this group argue
[00:47:01.580 --> 00:47:03.960]   for needing a bachelor's degree for everyone?
[00:47:03.960 --> 00:47:05.340]   I don't think...
[00:47:05.340 --> 00:47:06.660]   I think it's useless.
[00:47:06.660 --> 00:47:09.600]   What do you guys think of ISAs,
[00:47:09.600 --> 00:47:10.980]   income-sharing agreements?
[00:47:10.980 --> 00:47:12.520]   These have become kind of...
[00:47:12.520 --> 00:47:13.520]   Lambda School does them.
[00:47:13.520 --> 00:47:15.060]   A bunch of other schools.
[00:47:15.060 --> 00:47:17.360]   David, you saw a startup we just invested in
[00:47:17.360 --> 00:47:17.940]   that's doing them,
[00:47:17.940 --> 00:47:19.620]   and I think you liked them at the demo day
[00:47:19.620 --> 00:47:20.700]   we did with Kraft.
[00:47:20.700 --> 00:47:23.280]   Maybe, you know, this idea is
[00:47:23.280 --> 00:47:26.300]   who should take the risk for an education?
[00:47:26.300 --> 00:47:27.600]   And when you look at an ISA,
[00:47:27.600 --> 00:47:28.480]   an income-sharing agreement,
[00:47:28.480 --> 00:47:29.460]   what they're saying is
[00:47:29.460 --> 00:47:32.080]   the school takes the risk.
[00:47:32.080 --> 00:47:33.980]   They let you come to school for free.
[00:47:33.980 --> 00:47:35.200]   They give you what would be the equivalent
[00:47:35.200 --> 00:47:38.100]   of, let's say, a $15,000 coding camp
[00:47:38.100 --> 00:47:40.700]   or growth marketer risk.
[00:47:40.700 --> 00:47:43.160]   Then you pay double that amount
[00:47:43.160 --> 00:47:43.400]   over $15,000.
[00:47:43.400 --> 00:47:44.400]   You pay double that amount
[00:47:44.400 --> 00:47:44.800]   over five, six, seven years
[00:47:44.800 --> 00:47:46.540]   as a percentage of your income.
[00:47:46.540 --> 00:47:47.660]   But if you don't get income,
[00:47:47.660 --> 00:47:49.080]   if you don't break $50,000 a year,
[00:47:49.080 --> 00:47:50.540]   you don't have to pay it back.
[00:47:50.540 --> 00:47:52.020]   And if you decide to go back to school
[00:47:52.020 --> 00:47:53.300]   or your income drops below $50,000,
[00:47:53.300 --> 00:47:54.120]   you don't have to do it.
[00:47:54.120 --> 00:47:56.320]   Can you imagine if a college
[00:47:56.320 --> 00:47:57.380]   had to make that promise?
[00:47:57.380 --> 00:47:58.500]   They should do it.
[00:47:58.500 --> 00:48:00.560]   They should start in college sports,
[00:48:00.560 --> 00:48:01.320]   but they should do it.
[00:48:01.320 --> 00:48:04.780]   Imagine Duke basically went
[00:48:04.780 --> 00:48:05.880]   and recruited kids and said,
[00:48:05.880 --> 00:48:06.700]   listen, we're going to pay you
[00:48:06.700 --> 00:48:07.320]   to come to Duke.
[00:48:07.320 --> 00:48:08.920]   We're going to get you educated.
[00:48:08.920 --> 00:48:10.220]   We're going to teach you
[00:48:10.220 --> 00:48:11.000]   how to play basketball
[00:48:11.000 --> 00:48:12.160]   better than anybody else.
[00:48:12.160 --> 00:48:13.280]   And we're going to take 5%
[00:48:13.280 --> 00:48:14.140]   of your future earnings.
[00:48:14.140 --> 00:48:14.640]   Yes or no?
[00:48:14.640 --> 00:48:16.100]   You're not going to have
[00:48:16.100 --> 00:48:16.780]   to go to boosters.
[00:48:16.780 --> 00:48:17.460]   You're not going to have
[00:48:17.460 --> 00:48:18.040]   to take money.
[00:48:18.040 --> 00:48:18.820]   You're not going to have to do
[00:48:18.820 --> 00:48:19.960]   any of this stuff on the side.
[00:48:19.960 --> 00:48:21.480]   But just be your best.
[00:48:21.480 --> 00:48:22.480]   Learn to play the game.
[00:48:22.480 --> 00:48:24.060]   We'll get you a reasonable education.
[00:48:24.060 --> 00:48:25.420]   We'll give you a good infrastructure.
[00:48:25.420 --> 00:48:27.620]   And we take 5% of the back end.
[00:48:27.620 --> 00:48:28.460]   With a cap.
[00:48:28.460 --> 00:48:30.300]   So you could cap the upside, right?
[00:48:30.300 --> 00:48:32.380]   Or maybe there's no cap.
[00:48:32.380 --> 00:48:34.060]   But why do we always have
[00:48:34.060 --> 00:48:34.920]   to care about all of this?
[00:48:34.920 --> 00:48:36.740]   It's like, whatever.
[00:48:36.740 --> 00:48:38.480]   Maybe it's 5% for the rest of your life.
[00:48:38.480 --> 00:48:39.840]   You're going to pay the government 50%.
[00:48:39.840 --> 00:48:40.820]   You get nothing in return.
[00:48:40.820 --> 00:48:42.240]   So if you pay 5%
[00:48:42.240 --> 00:48:43.160]   and you get Coach K to teach
[00:48:43.160 --> 00:48:44.020]   you how to shoot a jumper,
[00:48:44.020 --> 00:48:45.800]   it's better than that, right?
[00:48:45.800 --> 00:48:48.040]   So why isn't it possible?
[00:48:48.040 --> 00:48:49.240]   And I remember how people
[00:48:49.240 --> 00:48:51.740]   had this unbelievably paternalistic,
[00:48:51.740 --> 00:48:53.200]   allergic reaction
[00:48:53.200 --> 00:48:54.240]   to income sharing agreements
[00:48:54.240 --> 00:48:55.340]   when they were first talked about.
[00:48:55.340 --> 00:48:57.220]   They called them indentured servitude.
[00:48:57.220 --> 00:48:58.180]   Modern slavery.
[00:48:58.180 --> 00:48:58.840]   And they compared them to slavery.
[00:48:58.840 --> 00:48:59.300]   And it was like,
[00:48:59.300 --> 00:48:59.820]   oh my God.
[00:48:59.820 --> 00:49:02.440]   So insulting to the concept of slavery.
[00:49:02.440 --> 00:49:02.780]   But it's no different
[00:49:02.780 --> 00:49:03.740]   than signing a contract
[00:49:03.740 --> 00:49:05.060]   with an agent to represent you
[00:49:05.060 --> 00:49:05.860]   when you first start out
[00:49:05.860 --> 00:49:06.460]   in any industry,
[00:49:06.460 --> 00:49:09.900]   music or sports or film or whatever.
[00:49:09.900 --> 00:49:11.760]   You could sign an agency agreement
[00:49:11.760 --> 00:49:13.020]   where the agent is your rep for 10,
[00:49:13.040 --> 00:49:13.840]   20 years, right?
[00:49:13.840 --> 00:49:15.080]   I mean, some of those agreements
[00:49:15.080 --> 00:49:16.720]   can have long tails on them
[00:49:16.720 --> 00:49:17.960]   and that's effectively the same.
[00:49:17.960 --> 00:49:18.920]   You know, look at-
[00:49:18.920 --> 00:49:20.160]   Well, the ISA's had a cap.
[00:49:20.160 --> 00:49:21.160]   Look at, look at,
[00:49:21.160 --> 00:49:23.000]   we can talk about this in a second,
[00:49:23.000 --> 00:49:23.540]   but like, you know,
[00:49:23.540 --> 00:49:24.700]   did you see what happened with Chappelle
[00:49:24.700 --> 00:49:25.860]   the last couple of days
[00:49:25.860 --> 00:49:26.580]   where Chappelle-
[00:49:26.580 --> 00:49:27.380]   Oh yeah, let's go.
[00:49:27.380 --> 00:49:29.060]   Did you watch the video?
[00:49:29.060 --> 00:49:29.900]   I loved it.
[00:49:29.900 --> 00:49:30.420]   Yeah.
[00:49:30.420 --> 00:49:31.280]   The video is incredible.
[00:49:31.280 --> 00:49:31.900]   The video is incredible.
[00:49:31.900 --> 00:49:33.680]   So the quick story on this
[00:49:33.680 --> 00:49:34.960]   is Chappelle basically did,
[00:49:34.960 --> 00:49:36.680]   he had a request.
[00:49:36.680 --> 00:49:37.360]   He went to Netflix
[00:49:37.360 --> 00:49:37.820]   and he said,
[00:49:37.820 --> 00:49:38.880]   take down Chappelle's show.
[00:49:38.880 --> 00:49:40.120]   Netflix took it down.
[00:49:40.120 --> 00:49:42.140]   And he did a little standup.
[00:49:42.140 --> 00:49:42.920]   It's on his Instagram.
[00:49:42.920 --> 00:49:43.840]   It's like 18 minutes.
[00:49:43.840 --> 00:49:46.440]   It's fabulous as most Chappelle stuff is.
[00:49:46.440 --> 00:49:46.720]   Peak Chappelle.
[00:49:46.720 --> 00:49:47.700]   Peak Chappelle.
[00:49:47.700 --> 00:49:50.180]   And he basically told this story,
[00:49:50.180 --> 00:49:52.120]   which essentially the punchline is like,
[00:49:52.120 --> 00:49:53.360]   you know, he signed a contract
[00:49:53.360 --> 00:49:55.640]   where he just got completely fucked.
[00:49:55.640 --> 00:49:56.880]   And he's like,
[00:49:56.880 --> 00:49:59.560]   this is happening every single day
[00:49:59.560 --> 00:50:01.140]   in so many markets.
[00:50:01.140 --> 00:50:03.560]   And so the idea that then you have
[00:50:03.560 --> 00:50:04.880]   actually a different market,
[00:50:04.880 --> 00:50:07.080]   which disrupts something
[00:50:07.080 --> 00:50:08.800]   by actually creating transparency
[00:50:08.800 --> 00:50:09.800]   in something reasonable
[00:50:09.800 --> 00:50:11.660]   is all of a sudden completely immoral.
[00:50:11.660 --> 00:50:12.800]   Makes no sense to me
[00:50:12.800 --> 00:50:14.300]   because this is the right thing to do.
[00:50:14.300 --> 00:50:15.700]   So there's abuses happening all the time.
[00:50:15.700 --> 00:50:18.600]   That is what the contract that Chappelle signed
[00:50:18.600 --> 00:50:20.200]   was indentured servitude.
[00:50:20.200 --> 00:50:22.300]   He doesn't even have the rights to his name.
[00:50:22.300 --> 00:50:23.560]   He cannot create.
[00:50:23.560 --> 00:50:24.900]   If they took his name and likeness, right?
[00:50:24.900 --> 00:50:26.700]   If you wanted to create the Dave Chappelle show again,
[00:50:26.700 --> 00:50:28.180]   he'd have to call the DC show.
[00:50:28.180 --> 00:50:29.040]   But this is a perfect.
[00:50:29.040 --> 00:50:30.960]   I'm sorry but somebody owns his name.
[00:50:30.960 --> 00:50:31.960]   What the fuck?
[00:50:31.960 --> 00:50:34.480]   In perpetuity in all mediums and platforms forever.
[00:50:34.480 --> 00:50:37.640]   This is a perfect tie back to the earlier statement about,
[00:50:37.640 --> 00:50:41.400]   you know, do you have the appropriate kind of understanding
[00:50:41.400 --> 00:50:42.680]   of the risk you're taking
[00:50:42.680 --> 00:50:44.680]   and what kind of benefit that you're getting.
[00:50:44.680 --> 00:50:46.680]   I think Kanye has been doing this whole thing about
[00:50:46.680 --> 00:50:48.680]   he doesn't own the masters to his music originally, right?
[00:50:48.680 --> 00:50:50.680]   At the moment that he signed that contract,
[00:50:50.680 --> 00:50:52.680]   when he signed over all the masters,
[00:50:52.680 --> 00:50:54.680]   you know, the master recordings
[00:50:54.680 --> 00:50:56.680]   and all the future revenue rights to his music,
[00:50:56.680 --> 00:50:58.680]   he was getting paid a ton of money in his mind at that time.
[00:50:58.680 --> 00:51:00.680]   He said, oh my gosh, I'm getting whatever it was.
[00:51:00.680 --> 00:51:02.680]   Let's say it's $5 million.
[00:51:02.680 --> 00:51:03.680]   I'm getting $5 million.
[00:51:03.680 --> 00:51:05.680]   Most amount of money I've ever seen.
[00:51:05.680 --> 00:51:08.680]   It is absolutely worth me giving over the masters of this music
[00:51:08.680 --> 00:51:11.680]   and the future royalty rights to this music for 12 songs
[00:51:11.680 --> 00:51:12.560]   or whatever it is.
[00:51:12.560 --> 00:51:15.560]   For me to get $5 million today and I can live an amazing life
[00:51:15.560 --> 00:51:17.560]   and it'll change everything for me.
[00:51:17.560 --> 00:51:19.560]   Who is to say that he was not, you know,
[00:51:19.560 --> 00:51:22.560]   of the appropriate sound mind and understanding
[00:51:22.560 --> 00:51:24.560]   to decide in that moment to take that $5 million
[00:51:24.560 --> 00:51:26.560]   and give up all future royalties to his music?
[00:51:26.560 --> 00:51:32.560]   Well, Chappelle's argument was the people who are in that ecosystem
[00:51:32.560 --> 00:51:34.560]   are all friends, they're all working together,
[00:51:34.560 --> 00:51:36.560]   and they've commoditized the artist,
[00:51:36.560 --> 00:51:42.440]   and they collude to do this kind of upside limiting deals.
[00:51:42.440 --> 00:51:44.440]   And I think what makes Silicon Valley so special
[00:51:44.440 --> 00:51:46.440]   is that we collude the other direction.
[00:51:46.440 --> 00:51:49.440]   We want people to have equity participation
[00:51:49.440 --> 00:51:52.440]   and we want the social contract of Silicon Valley is
[00:51:52.440 --> 00:51:53.440]   I'm giving you equity.
[00:51:53.440 --> 00:51:57.440]   I hope your penny stock becomes worth $1,500
[00:51:57.440 --> 00:51:59.440]   and that you create multi-generational wealth
[00:51:59.440 --> 00:52:01.440]   and you become an angel investor.
[00:52:01.440 --> 00:52:02.440]   But I don't know.
[00:52:02.440 --> 00:52:04.440]   Look, if I'm an angel investor or want to be an angel investor
[00:52:04.440 --> 00:52:08.440]   and some schmo tricks me into investing in his shitty company
[00:52:08.440 --> 00:52:10.440]   and I just lose $20,000,
[00:52:10.440 --> 00:52:12.320]   but I didn't know how to determine whether that company was shitty.
[00:52:12.320 --> 00:52:14.320]   I don't know if it's shitty or not because I've never done investing before.
[00:52:14.320 --> 00:52:15.320]   Read my book.
[00:52:15.320 --> 00:52:17.320]   Is it for the government to regulate that circumstance and say,
[00:52:17.320 --> 00:52:18.320]   "You know what?
[00:52:18.320 --> 00:52:20.320]   You need to be a quote unquote qualified investor
[00:52:20.320 --> 00:52:23.320]   to be able to discern a good company for a bad company or bullshit from not."
[00:52:23.320 --> 00:52:25.320]   And the same for these contracts, right?
[00:52:25.320 --> 00:52:28.320]   I mean, so we're making the argument, I think,
[00:52:28.320 --> 00:52:31.320]   for the regulatory framework for preventing people
[00:52:31.320 --> 00:52:33.320]   from being able to have freedom of choice.
[00:52:33.320 --> 00:52:37.320]   And I think like earlier, the case was made like people should be able to make
[00:52:37.320 --> 00:52:39.320]   have freedom of choice at any point.
[00:52:39.320 --> 00:52:42.200]   Why should the government kind of step in and make a decision for me?
[00:52:42.200 --> 00:52:46.200]   I think that there, I'm not advocating for government intervention.
[00:52:46.200 --> 00:52:50.200]   My only point is that there are morally reprehensible things
[00:52:50.200 --> 00:52:53.200]   that are happening today using contracts and that, you know,
