
[00:00:00.000 --> 00:00:02.600]   Yeah.
[00:35:04.200 --> 00:35:05.200]   Original version.
[00:35:05.200 --> 00:35:06.200]   Or original risk.
[00:35:06.200 --> 00:35:07.200]   Resonate.
[00:35:07.200 --> 00:35:08.200]   You have this.
[00:35:08.200 --> 00:35:09.200]   Dimensional changes.
[00:35:09.200 --> 00:35:09.200]   Over.
[00:35:09.200 --> 00:35:10.200]   Over the stack.
[00:35:10.200 --> 00:35:11.200]   And.
[00:35:11.200 --> 00:35:12.200]   Oh.
[00:35:12.200 --> 00:35:13.200]   Another benefit.
[00:35:13.200 --> 00:35:14.200]   Of.
[00:35:14.200 --> 00:35:15.200]   I just.
[00:35:15.200 --> 00:35:16.200]   Now just go back.
[00:35:16.200 --> 00:35:17.200]   I just control Z my way.
[00:35:17.200 --> 00:35:18.200]   Back to where.
[00:35:18.200 --> 00:35:35.060]   where we were. Oops. Too much. Just highlight this. I did this. Now I did this. Okay. All right.
[00:35:35.060 --> 00:35:41.440]   Oh, another thing is that you want to highly optimize. If you've got a way to fit this
[00:35:41.440 --> 00:35:49.800]   bi-dimension model, most nicely on the GPU, if you get an option for that, you want to be able to use
[00:35:49.800 --> 00:35:57.860]   it for all your blocks here. So you could optimize only once. They can be used for entire stack. Does
[00:35:57.860 --> 00:36:05.860]   it make sense? I hope. Oh, if a new model architecture is designed, how are the number
[00:36:05.860 --> 00:36:09.720]   of layers determined? Trial and error. I think it's just kind of, it's a trial and error as well.
[00:36:09.720 --> 00:36:16.900]   And then for, or how many GPUs do you have to train them? So only a few companies in this world have
[00:36:16.900 --> 00:36:24.440]   gigantic GPU farm. They might universally, it doesn't. So if you look at 128, it's non-trivial.
[00:36:24.440 --> 00:36:33.600]   I mean, where was I looking at? Layers. Where are the layers? 32 layers. There's same, not that many,
[00:36:33.600 --> 00:36:41.100]   right? But huge. It's a lot, a lot of layers to train them. And there's 32 steps to propagate.
[00:36:41.100 --> 00:36:47.840]   Then you have a huge batch to have to go through for your gradient descent. It's very expensive.
[00:36:47.840 --> 00:36:54.840]   Okay. But now I want to talk about, maybe I talk about this one, V4 network. I haven't spent any time
[00:36:54.840 --> 00:36:58.920]   to talk about V4 network. Let's talk about the Mitchell expert. I think this around this time
[00:36:58.920 --> 00:37:04.020]   when MOE has become popular. So there are some variant in Lama 3D studies that use Mitchell expert,
[00:37:04.020 --> 00:37:13.360]   but maybe not, but obvious, clearly Lama 4 uses MOE now. That's for sure. So do, let me just do a copy.
[00:37:15.020 --> 00:37:26.200]   Do it. Now work on this copy. Okay. MOE, where MOE layer is happened to the MLP V4 network here.
[00:37:26.200 --> 00:37:37.600]   Okay. So, um, like, so what does it mean by having two experts? Basically, this is my MLP block. I just copy this.
[00:37:38.920 --> 00:37:44.100]   And this is it. This is it. Now I have two experts. Not quite yet. I had to fix this a little bit.
[00:37:44.100 --> 00:37:51.020]   So this one is linear project from the input, from the previous layer, output from the previous layer,
[00:37:51.020 --> 00:37:54.920]   and with this weight. So now I just have to modify this to select.
[00:37:54.920 --> 00:37:59.060]   They select the same, actually, what happened here?
[00:37:59.060 --> 00:38:03.700]   Now I move this. Let's move. Doesn't let me. I cannot select this.
[00:38:05.100 --> 00:38:09.060]   Oh, here. Okay. Here. Okay. Here. Okay.
[00:38:09.060 --> 00:38:14.800]   All right. Now I have done. And I have to take this together.
[00:38:14.800 --> 00:38:19.160]   So I would take this, this, add this, and this.
[00:38:19.160 --> 00:38:25.380]   I can just, the easiest implementation is I just going to place, I place plus and just add this.
[00:38:25.380 --> 00:38:31.000]   All right. Okay. So now I have a most basic mission of expert
[00:38:31.000 --> 00:38:35.960]   with constant, with one, with equal weight. Okay.
[00:38:35.960 --> 00:38:41.620]   I can repeat the same process and to do another, my third expert,
[00:38:41.620 --> 00:38:51.200]   I'll repeat the same process and I'll update my input to share the same input from before.
[00:38:51.860 --> 00:38:57.120]   And then I'll come down here. I also just add the new output.
[00:38:57.120 --> 00:39:01.780]   Now they are equally weighted. So this is the equally weighted scenario.
[00:39:01.780 --> 00:39:06.840]   And then the question you have in your mind is that, but how can we
[00:39:06.840 --> 00:39:11.680]   have a mechanism that they are sort of linearly weighted?
[00:39:11.680 --> 00:39:15.260]   So they weighted differently. Sometimes this expert get more weight.
[00:39:15.580 --> 00:39:19.000]   Sometimes this expert more weight. Sometimes this expert more weight.
[00:39:19.000 --> 00:39:28.560]   Also, we have 10 tokens, maybe for a particular token, we, and we like one expert to receive more weight than the other.
[00:39:28.560 --> 00:39:32.320]   So what we can do is that we could create another network over here.
[00:39:32.320 --> 00:39:35.500]   I'm going to build another here called a routers network.
[00:39:35.720 --> 00:39:43.560]   And we need to have at least three different weights that we can calculate one for each expert.
[00:39:43.560 --> 00:39:52.340]   So to map it out, what I want to do is that I want to have three expert.
[00:39:52.340 --> 00:39:55.200]   Each token will have either weight.
[00:39:55.560 --> 00:40:05.040]   So I want to have a three by three by one, two, by 10, three by 10 of my gated value.
[00:40:05.040 --> 00:40:07.840]   This is my gate tensor, three by 10.
[00:40:07.840 --> 00:40:08.720]   Did I draw 10?
[00:40:08.720 --> 00:40:10.200]   Okay.
[00:40:10.200 --> 00:40:16.260]   Now do I, how can I get three by 10 metrics from here?
[00:40:16.260 --> 00:40:18.440]   So we need a linear projection here.
[00:40:18.440 --> 00:40:20.940]   So let's just move everything to the right.
[00:40:20.940 --> 00:40:23.020]   Actually, I can do this.
[00:40:23.740 --> 00:40:31.180]   shift everything to the right, I can have some more space to work with. So I'm gonna use this, insert, insert,
[00:40:31.180 --> 00:40:38.540]   shift sail to the right, will that work? Instead I don't like this color, let's just remove this.
[00:40:38.540 --> 00:40:46.140]   Okay, so I now kind of map this out, I want to have one, two, three, four, five, this is my weight,
[00:40:46.140 --> 00:40:56.860]   this is how many weight I want, so I can do zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero.
[00:40:56.860 --> 00:41:04.940]   Okay, so this is how many weight, I just initiate to zero, and if I multiply, matrix multiply with my weights here,
[00:41:04.940 --> 00:41:13.740]   and then my tokens here, I just don't have binary, so zero, that puts on random weights,
[00:41:13.740 --> 00:41:20.860]   so that's my random way for computing gating value, so now I have all this, okay, and then
[00:41:20.860 --> 00:41:29.420]   I would like to do a solve max, so these are my relative weights, the term learned by this network,
[00:41:29.420 --> 00:41:35.100]   let me just share this, so following the convention, so these are the variable weights, and to implement
[00:41:35.100 --> 00:41:41.660]   solve max, so I'll do exponent of this by column, and then sum of the same thing, exponent
[00:41:42.860 --> 00:41:47.900]   of this, so this is my solve max, you can notice that this thing, even though it's at 414,
[00:41:47.900 --> 00:41:51.660]   but if I show you more, let's zoom in more, you can see,
[00:41:51.660 --> 00:42:00.620]   this three number will add out to one, that's what solve max gives you, so I'll copy solve max over here,
[00:42:00.620 --> 00:42:05.580]   so that's all my solve max, so each one will be a gate values across like this, so this is what the tensor
[00:42:05.580 --> 00:42:14.300]   looks like for your gate, and once we have that, I just lost track after I, okay, so I will bring this
[00:42:14.300 --> 00:42:21.420]   gate value over here, maybe just create some spaces here, I'll create some spaces here, and now put some
[00:42:21.420 --> 00:42:29.500]   gate values close by here, so here is my gate value, one, the first expert will be this row,
[00:42:31.180 --> 00:42:36.700]   okay, and then this per token, that weight is slightly differently, my second expert will be,
[00:42:36.700 --> 00:42:47.500]   come back here, this, this row, and my third expert will use this row as the predicted gate value,
[00:42:47.500 --> 00:42:54.620]   it's all kind of high, and then, let me just create some more space, I need some more space again,
[00:42:55.260 --> 00:43:02.940]   okay, and then I will do an element wise multiplication, to take the output from the first,
[00:43:02.940 --> 00:43:12.700]   one more time, output from the first expert, multiply the gate value, this per token, and I'll have this
[00:43:12.700 --> 00:43:20.220]   gated, except that, okay, and then this logic is the same for the other experts, I can just copy the
[00:43:20.220 --> 00:43:28.220]   formula, so now instead of adding these three rows as is, as an equally weighted combination,
[00:43:28.220 --> 00:43:36.860]   now I have a gated combination, so I go back to modify my equation here, so I just drag this down here,
[00:43:36.860 --> 00:43:48.540]   so now I finish my dance, make sure the expert, come on, come on, here, where is my hand,
[00:43:48.540 --> 00:43:54.220]   doesn't, oh here, okay, here, one more, one more,
[00:43:58.220 --> 00:44:04.460]   doesn't let me, one more, move a little bit, oh here, okay, drag here, down here, okay, now I finish,
[00:44:04.460 --> 00:44:13.180]   and so for sparse, if that you pick top two, for sparse, you have a mechanism that just pick two
[00:44:13.180 --> 00:44:19.740]   highest value, and say the other one to be zero, for instance, zero, four, one, zero, so you can have a
[00:44:20.380 --> 00:44:25.820]   equation to do something like this, and then what, and then I use this as a gated value instead,
[00:44:25.820 --> 00:44:31.980]   there will be, there will be a sparse mixture of expert, but excel, I find there's no easy way to do
[00:44:31.980 --> 00:44:37.980]   this, so I'm not going to bother today, okay, so, uh, so now I think I finished this as well,
[00:44:40.700 --> 00:44:49.820]   mixture of expert, did I did mixture expert, okay, so, anyway, I think I could top flash attention,
[00:44:49.820 --> 00:44:59.260]   or just have a conversation right now, is there a room for improvement within the domain of attention
[00:44:59.260 --> 00:45:04.460]   mechanism, NSA being the latest innovation of DSEC, or is there a natural boundary in your opinion?
[00:45:04.460 --> 00:45:11.580]   I think with NSA is native, uh, native sparse attention, like, do you want me to do that?
[00:45:11.580 --> 00:45:26.140]   Uh, for sparse MOE, do you normalize and F select in the top K? That, I guess, probably, if you happen to
[00:45:26.140 --> 00:45:35.980]   have, uh, like, uh, RMS norm along the way, so normalization is probably, uh, not as necessary,
[00:45:35.980 --> 00:45:42.700]   because we'll like this, this to learn to normalize your value across your experts,
[00:45:42.700 --> 00:45:50.140]   and they'll normalize in some way, but it does, it can't, so it's, it's no theoretical justification
[00:45:50.140 --> 00:45:56.060]   one way or the other, but I guess it's just, empirically, if you commit to add a normalization
[00:45:56.060 --> 00:46:02.700]   layer, and you committed three months to train your model, you, you already committed to it,
[00:46:02.700 --> 00:46:07.180]   it's too late for you to change something, change to something else, but maybe the benefit is marginal,
[00:46:07.180 --> 00:46:12.860]   maybe there's no benefit, you don't know, but it also doesn't hurt for you to try, um, okay, so,
[00:46:18.060 --> 00:46:22.860]   uh, so, does input and output dimension for each expert match the model dimension?
[00:46:22.860 --> 00:46:32.620]   Uh, yes, also, it doesn't have to be, I could, for instance, what if I have one of the expert to
[00:46:32.620 --> 00:46:42.620]   output more, how can we have, say, expert three output more, a longer token? So, we could add another
[00:46:42.620 --> 00:46:49.740]   row of weights here, so let me show you, maybe add, I just moved by two, two spaces, maybe add two,
[00:46:49.740 --> 00:46:57.100]   two set of weights, so this is similar to adding two, two nodes in this, this, uh, MLP right here,
[00:46:57.100 --> 00:47:04.300]   so now all of a sudden, I have seven instead of four, so I update my ReLU here, ReLU is, I think,
[00:47:04.300 --> 00:47:10.140]   automatically updated here, okay, here, so I've got seven, now I have seven, the problem is that now you
[00:47:10.140 --> 00:47:17.580]   cannot add them together, now what do we do? And then eventually, if most likely, then you have to
[00:47:17.580 --> 00:47:24.540]   project this down to fight anyway, and to be able to add them together, or you can concatenate, but,
[00:47:24.540 --> 00:47:31.340]   but concatenate, eventually, you still have to project, project it to a state dimension to match
[00:47:31.340 --> 00:47:38.140]   with, to be able to work with other layers, just kind of, Lego pieces, all this, all these things, they
[00:47:38.140 --> 00:47:43.420]   have to have the same dimension for them to stack up together, you cannot have an arbitrary, so, but in
[00:47:43.420 --> 00:47:49.500]   theory, you can, why not, you can just add this, add a particular layer over here, and to add another,
[00:47:49.500 --> 00:48:00.700]   then add another linear projection to project back, so I will, what I'll do is, I will do seven, one, two, three, four, five, six, seven, and five, so this is how much I need,
[00:48:00.700 --> 00:48:07.740]   I need to then change, it's kind of ugly now, let's do, follow the space over here,
[00:48:07.740 --> 00:48:14.460]   and then, if I do a matching multiplication, so we're back to five dimension per token,
[00:48:18.220 --> 00:48:26.460]   and then, when I go over here, so I fix, I can move my green one over down here, all of a sudden, the equation
[00:48:26.460 --> 00:48:34.140]   works again, okay, so now it's fixed here, so maybe I select it for two minutes, okay, here, okay,
[00:48:37.580 --> 00:48:51.100]   what else, should I talk about NSA, so the, um, 10 minutes, do we want to hear flash attention, or hear MSA,
[00:48:52.220 --> 00:48:59.740]   over here, any of this, rope, RMS, flash attention,
[00:48:59.740 --> 00:49:08.460]   NSA, native space attention, so sparse attention, so you can see that it is a dense attention,
[00:49:08.460 --> 00:49:18.380]   so we have, we derive the entire, uh, entire query over here, okay, so my understanding of the sparse
[00:49:18.380 --> 00:49:30.780]   attention, is that, let me just use a, uh, uh, mix, move a copy here, create a copy here, so this is my
[00:49:30.780 --> 00:49:39.420]   attempt to explain NSA, maybe, based on my memory, I hope I'm doing it correctly, so what we can do,
[00:49:39.420 --> 00:49:47.980]   is that, now I have 10 tokens, what if, I take three tokens here, okay, three tokens here, and try to merge
[00:49:47.980 --> 00:49:54.780]   into one token, so it becomes more sparse, it sounds like, makes sense, maybe this is the two, too big,
[00:49:54.780 --> 00:50:02.220]   let's use a smaller one, maybe here, uh, I want to take these three tokens, and, and then somehow
[00:50:02.220 --> 00:50:08.300]   condense all the information I need into one, so let's just draw some space here, this is my goal,
[00:50:08.300 --> 00:50:16.620]   I want to take this, these three tokens, let's just highlight a little bit, green, into this blue, okay,
[00:50:16.620 --> 00:50:23.020]   so what do we need to do, so first, we need to flatten this, so we have nine elements here, and from nine
[00:50:23.020 --> 00:50:28.300]   to three, how do we go from nine to three, we need a linear projection here, so that way is three by
[00:50:28.300 --> 00:50:35.100]   nine, make sure it's right here, so I can, I get lazy enough right now, I can use rain array, and we get
[00:50:35.100 --> 00:50:41.740]   three rule and nine column, so I immediately, immediately get the make, the, the mixture I want,
[00:50:41.740 --> 00:50:49.260]   and then I will just do a make sure modification, make sure modification, come on, you can say make sure
[00:50:49.260 --> 00:50:57.580]   you have to do this, and take this, okay, and then, and then I take this, so I cannot do this yet, I have
[00:50:57.580 --> 00:51:10.140]   to do is, I want to do this, but I want to convert it into a column, two columns, two, too small, two columns,
[00:51:10.140 --> 00:51:17.740]   and then, I cannot see it, I said, but I just read it out, now, okay, but then I get this, now I'm done,
[00:51:17.740 --> 00:51:23.660]   okay, so let's just see, just review this, okay, so this is, and all right, so if I repeat the same
[00:51:23.660 --> 00:51:29.740]   thing for these three, so I have this one, and I select the same weight, they share the same weights,
[00:51:32.460 --> 00:51:39.500]   okay, and then the last one, another block here, so also to repeat this, copy over here,
[00:51:39.500 --> 00:51:48.220]   I just select the same weight, now I, I'm working with only three queries, did you see this, only with
[00:51:48.220 --> 00:51:55.740]   three query x, and then, so if I do the attention weight matrices here, let's re-implement this, so I'm going to
[00:51:55.740 --> 00:52:04.220]   create some space for me, ah, come on, this is ugly, but, well, how do I fix it real quick,
[00:52:04.220 --> 00:52:13.820]   because it just erase it, sometimes it's trying to be smart, trying to figure out a format for me,
[00:52:13.820 --> 00:52:23.180]   and, okay, and then, and then, so now I just redo this, I have my first query, and then my second
[00:52:24.060 --> 00:52:32.060]   query, and my third query, and then we do the same thing for my keys, I think we've got copy and
[00:52:32.060 --> 00:52:37.740]   paste, might just work, let me do it, is it right, oh, yeah, actually, oh, yeah, it works, and then you
[00:52:37.740 --> 00:52:44.300]   can notice that you have a different set of weights, okay, and now I can do the same thing here, I want to
[00:52:44.300 --> 00:52:48.940]   transpose this, transpose this,
[00:52:51.660 --> 00:52:57.580]   and then one, two, three, and actually, transpose my another key,
[00:52:57.580 --> 00:53:06.380]   and transpose another key here, all right, and then, all of a sudden,
[00:53:06.380 --> 00:53:14.540]   did you see the attention weight matrix, oh, the dark product I need to do is a lot, is only here,
[00:53:16.540 --> 00:53:27.660]   I'm going to take a comma, and select, let me redo one more time, make tree modification, select my
[00:53:27.660 --> 00:53:34.540]   key, and select my query here, and then this is, okay, and then usually I also have divide by the square root of the dimension of key, which is three, so this is typical, but, all right, so this is what we have, and then we take softmax, here,
[00:53:34.540 --> 00:53:50.540]   I can copy the format here, so it looks pretty, okay, so now I can zoom out, you can come in on the, save the difference in terms of the computational complexity, so it's not sparse, you can see here,
[00:53:50.540 --> 00:54:12.540]   here, so instead of all this, now I have this, okay, and then the native part, the native part is that this is part of the training, so I'm going to do this shading action just with emphasis, just to show you that, so this is what the native part is, this is part of the training,
[00:54:12.540 --> 00:54:36.540]   so I'm going to do this shading action, just with emphasis, just to show you that, so this is what the native is referring to, just training this, as part of your sparse attention mechanism, okay, let's just look at the non-sparse attention mechanism, how does it work, so if I'm going to take this into non-sparse attention,
[00:54:36.540 --> 00:54:50.540]   how can I convert this one into a non-sparse attention, maybe just do a copy, actually, maybe not, let's just change it, so I have this matrix modification for the whole thing, what I can do is that I could just do like this,
[00:54:50.540 --> 00:55:06.540]   and so in this case, each query is only going to compare with key in the neighborhood, so I can repeat this, I copy and paste over here, and it slides,
[00:55:06.540 --> 00:55:27.540]   select here, and here, okay, and then repeat this again, but I'll make sure I select the right key, maybe in this time, I just do four of this, since it's a multiple of three, but the last one multiple is four, okay, so now it's a lot sparse, you see the sparse, and this is dense, and this is dense,
[00:55:27.540 --> 00:55:35.540]   it's a sparse, but the difference between this, I just say, I just say, okay, match with neighbors, there's no extra
[00:55:35.540 --> 00:55:52.540]   learnable parameters involved, there's no extra network you learn to do this, but in this case, it's a native sparse attention, and somehow works, you have this, and I thought, what is, well, this is,
[00:55:52.540 --> 00:56:14.540]   well, this is, you can visually see there's an efficiency, in terms of the computational efficiency, just fewer matches compute, but you have to give DPC credit, because theoretically, it sounds fine, but you talk about tens of millions of dollars to even just experiment, to try to see where it works, what if it didn't work, it could, it could be the case that they tried it, it didn't work, but they tried it anyway,
[00:56:14.540 --> 00:56:21.540]   and they are lucky they worked, and so they probably take the report about it, but I bet they probably tried five, six other things that didn't work, so they never talked about it.
[00:56:21.540 --> 00:56:28.540]   So, this is like a convolution with strike three, with no overlay, that's correct.
[00:56:28.540 --> 00:56:35.540]   What else?
[00:56:35.540 --> 00:56:39.540]   I think we're running out of time, two minutes.
[00:56:39.540 --> 00:56:50.540]   I enjoyed it, although I have, I can show you my practice sheet.
[00:56:50.540 --> 00:57:17.540]   So, real, real quick, so if I stop, share, and share again, to, this is my internal practice, not as pretty, but if you are wondering, so this is, I have, so this is, the things I did not talk about today, is the,
[00:57:17.540 --> 00:57:45.540]   So, this is the, so this is from layer norm, to rms norm, and then what else did I talk about, also I talk about, oh, here, so this is rope, it's kind of complicated, yeah, this is rope.
[00:57:45.540 --> 00:57:50.540]   Um, rotational position encoding.
[00:57:50.540 --> 00:57:58.540]   But, I think I can tell you the high level stuff, so, you can see that I put this block of actual computation.
[00:57:58.540 --> 00:58:05.540]   Number one, it's not shaded, so this is not trainable, it's all pre-computed, all the rotation matrix can be pre-computed.
[00:58:05.540 --> 00:58:15.540]   Number two, it's really close to the attention head right here, whereas the original position encoding is only injected right in the beginning.
[00:58:15.540 --> 00:58:20.540]   All right, and then you, you hope, all this key connection to bring information down.
[00:58:20.540 --> 00:58:27.540]   Now you have 32 layers to do so, and you, you're lucky, if the position coding has any impact down the stack.
[00:58:27.540 --> 00:58:38.540]   But with rope, you would add this computation at each head, at each head level, every single stack, get the position really close to where the attention matters.
[00:58:38.540 --> 00:58:46.540]   So that is probably the takeaway, that being able to visualize the difference between the two.
[00:58:46.540 --> 00:58:50.540]   There's a way to visualize this, like this rope, rope is right here.
[00:58:50.540 --> 00:58:54.540]   So that's a way to visualize the position coding, right, is at the top.
[00:58:54.540 --> 00:58:55.540]   There's a difference.
[00:58:55.540 --> 00:59:08.540]   Okay, so hopefully, I still talk about everything, not at the same level of depth, a bit unstructured, and hopefully, you guys have fun.
[00:59:08.540 --> 00:59:09.540]   I have fun.
[00:59:09.540 --> 00:59:11.540]   Very, very fun.
[00:59:11.540 --> 00:59:14.540]   It's always good to see a different perspective on how this stuff works.
[00:59:14.540 --> 00:59:17.540]   I'm sure people learn a lot about you on that.
[00:59:17.540 --> 00:59:31.540]   Yeah, this reminds me a lot of like Ishan's walkthrough, but like actually, higher level, like you did a lot of work in like reducing the dimension so that we can actually hold it in our heads, which I think is very important.
[00:59:31.540 --> 00:59:32.540]   Yeah.
[00:59:32.540 --> 00:59:33.540]   This is an inductive process.
[00:59:33.540 --> 00:59:38.540]   And then you, if you get three dimension right, then you, in the future, I see just vibe code.
[00:59:38.540 --> 00:59:39.540]   Say 14.
[00:59:39.540 --> 00:59:46.540]   You as a model to, to expand this to a higher dimensional space, but underlying math.
[00:59:46.540 --> 00:59:51.540]   Math is easier to work out at the lower dimensional space.
[00:59:51.540 --> 00:59:52.540]   Cool.
[00:59:52.540 --> 00:59:55.540]   Well, you know, just to be respectful of your time.
[00:59:55.540 --> 01:00:01.540]   If people want more, you know, are you, where to best find your, the rest of your work?
[01:00:01.540 --> 01:00:03.540]   Oh, so I enjoy that too.
[01:00:03.540 --> 01:00:07.540]   Honestly, I don't tend to get to talk to a taken audience like that.
[01:00:07.540 --> 01:00:09.540]   So I, I went all out today.
[01:00:09.540 --> 01:00:17.540]   So I was curious how it's being received because with my own student, I cannot go at this steps.
[01:00:17.540 --> 01:00:21.540]   I mean, cannot go at this, this pace.
[01:00:21.540 --> 01:00:26.540]   So I get to talk in one semester worth of stuff in one hour.
[01:00:26.540 --> 01:00:31.540]   And I expect that you could follow most of it or all of it.
[01:00:31.540 --> 01:00:35.540]   So I enjoyed it to give me the opportunity to go nerd.
[01:00:35.540 --> 01:00:36.540]   Yeah.
[01:00:36.540 --> 01:00:37.540]   On this.
[01:00:37.540 --> 01:00:38.540]   Awesome.
[01:00:38.540 --> 01:00:39.540]   Um, yeah.
[01:00:39.540 --> 01:00:43.540]   I mean, we, we've been covering a paper here every week for the last two years.
[01:00:43.540 --> 01:00:50.540]   So, um, there's, there's been a lot of interesting, uh, lectures and papers and, um, yeah, definitely
[01:00:50.540 --> 01:00:52.540]   like some of this is repeated.
[01:00:52.540 --> 01:00:55.540]   Some of this is new or like a new perspective on the same thing is actually always useful.
[01:00:55.540 --> 01:01:02.540]   So did, uh, the Excel, uh, online live up to the enough fast enough for you to check,
[01:01:02.540 --> 01:01:03.540]   to walk around the worksheet.
[01:01:03.540 --> 01:01:05.540]   I'm curious from your side of the experience.
[01:01:05.540 --> 01:01:06.540]   What is this like?
[01:01:06.540 --> 01:01:10.540]   Uh, Steve Saito says Excel is pretty fast.
[01:01:10.540 --> 01:01:16.540]   And you were able to also check the equation for me last and yeah.
[01:01:16.540 --> 01:01:17.540]   Anyway.
[01:01:17.540 --> 01:01:18.540]   Okay.
[01:01:18.540 --> 01:01:20.540]   I, um, yeah, I, I did prepare.
[01:01:20.540 --> 01:01:21.540]   I thought it was fun.
[01:01:21.540 --> 01:01:25.540]   So I spent quite a lot of time to think about how I should cover this.
[01:01:25.540 --> 01:01:32.540]   And I'm glad there's mostly most of you still stay and we'll hope to do this again for some
[01:01:32.540 --> 01:01:34.540]   other things I didn't get to cover.
[01:01:34.540 --> 01:01:38.540]   Uh, the life, uh, spreadsheet was very, very useful.
[01:01:38.540 --> 01:01:43.540]   I feel like I still have a lot to dig back into, but yeah, the formula is showing what.
[01:01:43.540 --> 01:01:44.540]   Yeah.
[01:01:44.540 --> 01:01:46.540]   Multi-headed attention transposing and stuff.
[01:01:46.540 --> 01:01:48.540]   A little back prop was crazy.
[01:01:48.540 --> 01:01:49.540]   Very, very cool.
[01:01:49.540 --> 01:01:50.540]   Okay.
[01:01:50.540 --> 01:01:51.540]   Thank you.
[01:01:51.540 --> 01:01:53.540]   Thank you for the invitation for this, this opportunity.
[01:01:53.540 --> 01:01:55.540]   I hope that I'll have opportunity to come back.
[01:01:55.540 --> 01:01:59.540]   And because then I can go, I can kick out with you.
[01:01:59.540 --> 01:02:00.540]   Always.
[01:02:00.540 --> 01:02:06.540]   Um, I think for next week, I'm probably going to invite someone from Prime Intellect to cover
[01:02:06.540 --> 01:02:07.540]   Intellect 2.
[01:02:07.540 --> 01:02:09.540]   They put out a paper on that this week.
[01:02:09.540 --> 01:02:10.540]   So what do we think?
[01:02:10.540 --> 01:02:13.540]   Distributed GPUs on the blockchain.
[01:02:13.540 --> 01:02:14.540]   Let's go.
[01:02:14.540 --> 01:02:15.540]   Yeah.
[01:02:15.540 --> 01:02:16.540]   Sounds good.
[01:02:16.540 --> 01:02:17.540]   Sounds good.
[01:02:17.540 --> 01:02:19.540]   And it's like a good paper.
[01:02:19.540 --> 01:02:21.540]   So we'll, we'll invite the team over.
[01:02:21.540 --> 01:02:22.540]   I'll share the, uh, paper.
[01:02:22.540 --> 01:02:23.540]   Yeah.
[01:02:23.540 --> 01:02:26.540]   Uh, you know, for, yeah, I think that the, the, the really, the, the thing, the interesting
[01:02:26.540 --> 01:02:35.540]   thing is like, does RL and, um, long chain of thoughts sort of, uh, training actually introduce
[01:02:35.540 --> 01:02:40.540]   new training paradigms where you, you're the, the, the hardware requirements are actually
[01:02:40.540 --> 01:02:46.540]   different and they actually don't benefit from the normal centralization factors.
[01:02:46.540 --> 01:02:47.540]   Yeah.
[01:02:47.540 --> 01:02:48.540]   Cool.
[01:02:48.540 --> 01:02:49.540]   All right.
[01:02:49.540 --> 01:02:50.540]   Well, thank you so much.
[01:02:50.540 --> 01:02:51.540]   Thanks everyone.
[01:02:51.540 --> 01:02:52.540]   Bye.
[01:02:52.540 --> 01:02:53.540]   Bye.
[01:02:53.540 --> 01:02:59.540]   Uh, so Sean, is it possible that you can share with me the chat history?
[01:02:59.540 --> 01:03:00.540]   How do I save it?
[01:03:00.540 --> 01:03:02.540]   Cause there's a lot of good questions.

