
[00:00:00.000 --> 00:00:01.080]   It looks really fun.
[00:39:10.880 --> 00:39:15.200]   Like this is when I saw Ruchi's notebook, it was like, wow, I
[00:39:15.200 --> 00:39:16.240]   didn't know you could do this.
[00:39:16.240 --> 00:39:21.240]   Honestly, I learned after joining as well, but don't take my colleagues.
[00:39:21.240 --> 00:39:26.400]   So let's, let's go through these quickly.
[00:39:26.440 --> 00:39:29.840]   Uh, would you want to like walk us through these since you're familiar with the data?
[00:39:29.840 --> 00:39:31.480]   Yeah.
[00:39:31.480 --> 00:39:37.480]   So, um, there's, yeah, Ruchi's done a great, great work of like exploring it,
[00:39:37.480 --> 00:39:43.360]   exploring the data, trying to see how, um, you know, there's like the average
[00:39:43.360 --> 00:39:45.760]   word length distribution and things like that.
[00:39:45.760 --> 00:39:52.800]   These are pretty cool, cool summations of, um, um, how, what the data set looks like.
[00:39:52.960 --> 00:39:55.840]   So one of the more interesting ones I saw, if you scroll down
[00:39:55.840 --> 00:39:57.640]   to the Flesch reading ease one.
[00:39:57.640 --> 00:40:01.680]   So yeah, there, there, there was quite a bit of scroll up a little bit.
[00:40:01.680 --> 00:40:02.560]   Sorry.
[00:40:02.560 --> 00:40:03.200]   Yeah.
[00:40:03.200 --> 00:40:04.160]   Is that gray chart?
[00:40:04.160 --> 00:40:06.040]   I'm using an external mouse for that.
[00:40:06.040 --> 00:40:06.640]   Oh, okay.
[00:40:06.640 --> 00:40:13.720]   Um, yeah, so there was a, there was a lot of, um, she, she related the Flesch
[00:40:13.720 --> 00:40:17.680]   reading ease, which is, she, I think she calculated using a package called
[00:40:17.680 --> 00:40:19.920]   text stat, which I used in the end as well.
[00:40:20.800 --> 00:40:26.280]   And it is also able to come up with a distribution, which kind of
[00:40:26.280 --> 00:40:28.080]   looks like the target distribution.
[00:40:28.080 --> 00:40:30.840]   And she did a really cool correlation matrix.
[00:40:30.840 --> 00:40:37.440]   I think it was back in the original notebook of how different, um, ways of
[00:40:37.440 --> 00:40:41.840]   calculating readability score using the more classical techniques correlates
[00:40:41.840 --> 00:40:44.760]   with the, um, target variable.
[00:40:44.760 --> 00:40:46.960]   So if you go back to a notebook, I think.
[00:40:50.120 --> 00:40:57.440]   I'm checking, uh, like zoom comes in the way right at the top of browser windows.
[00:40:57.440 --> 00:40:58.960]   I'm just trying to fight that.
[00:40:58.960 --> 00:41:00.600]   Let me move back to the side.
[00:41:00.600 --> 00:41:02.000]   Now we could.
[00:41:02.000 --> 00:41:04.640]   Yeah.
[00:41:04.640 --> 00:41:07.000]   So this was really cool.
[00:41:07.000 --> 00:41:12.360]   If you look up reading, I'm just trying to find the words.
[00:41:12.360 --> 00:41:15.400]   Yeah.
[00:41:15.400 --> 00:41:18.680]   If you click on the right, it says readability tests, the test tube.
[00:41:18.680 --> 00:41:19.200]   Yeah.
[00:41:19.400 --> 00:41:19.720]   Gotcha.
[00:41:19.720 --> 00:41:24.440]   I'll just have to scroll.
[00:41:24.440 --> 00:41:26.000]   Sometimes.
[00:41:26.000 --> 00:41:32.440]   They created, like, uh, if you remember on zoom, it was like a little
[00:41:32.440 --> 00:41:34.120]   worse, a few years ago now.
[00:41:34.120 --> 00:41:34.480]   Yeah.
[00:41:34.480 --> 00:41:34.680]   Yeah.
[00:41:34.680 --> 00:41:36.200]   It is so much better now.
[00:41:36.200 --> 00:41:36.560]   Yeah.
[00:41:36.560 --> 00:41:38.960]   Yeah.
[00:41:38.960 --> 00:41:39.640]   Look at these charts.
[00:41:39.640 --> 00:41:40.320]   They're amazing.
[00:41:40.320 --> 00:41:41.360]   Yeah.
[00:41:41.360 --> 00:41:43.280]   Take me days to make this.
[00:41:46.200 --> 00:41:49.280]   So there's different text properties and things like that.
[00:41:49.280 --> 00:41:51.320]   Uh, we keep going down.
[00:41:51.320 --> 00:41:55.800]   Keep going.
[00:41:55.800 --> 00:41:56.240]   Keep going.
[00:41:56.240 --> 00:41:59.240]   This is the one, this is this one.
[00:41:59.240 --> 00:42:03.280]   This was a really interesting chart for me when I, when I found reaches notebook.
[00:42:03.280 --> 00:42:09.160]   So the bottom bottom line is the target variable and how it correlates with
[00:42:09.160 --> 00:42:13.960]   different sort of classical, um, reading readability tests.
[00:42:13.960 --> 00:42:17.000]   So there's the flesh readability, the one we were talking about before
[00:42:17.000 --> 00:42:21.080]   as a correlation of 0.52, which is actually not bad, right?
[00:42:21.080 --> 00:42:26.560]   So if you were planning to add additional features to your models,
[00:42:26.560 --> 00:42:28.000]   that could be a way to go.
[00:42:28.000 --> 00:42:28.800]   And I did try that.
[00:42:28.800 --> 00:42:33.360]   Um, and yeah, there's all these other, um, readability features.
[00:42:33.360 --> 00:42:37.240]   They might be negatively correlated, but yeah, really interesting stuff.
[00:42:37.240 --> 00:42:40.920]   And I think the other thing I saw, which is interesting, if you scroll, scroll
[00:42:40.920 --> 00:42:45.320]   up to the, I think it's one of the second plots, so right at the top,
[00:42:45.320 --> 00:42:46.760]   sorry, I'm making you jump around.
[00:42:46.760 --> 00:42:53.680]   The thing about zoom is like, there's a lag between the scrolling.
[00:42:53.680 --> 00:42:57.680]   So maybe the right one and then, uh, yeah, I'm past it in a second.
[00:42:57.680 --> 00:42:59.080]   Is this the one missing?
[00:42:59.080 --> 00:43:02.560]   Well, no, the next one, I think maybe, or the one with the
[00:43:02.560 --> 00:43:04.480]   standard error with the hexagons.
[00:43:04.480 --> 00:43:07.600]   I think it's there in the dashboard as well.
[00:43:07.600 --> 00:43:08.420]   Yeah.
[00:43:10.600 --> 00:43:11.100]   This one?
[00:43:11.100 --> 00:43:12.320]   No, no, no.
[00:43:12.320 --> 00:43:17.800]   Well, it's kind of related to that, but it was a scatter plot, um, in, in the
[00:43:17.800 --> 00:43:22.200]   notebook with, um, the target variable versus the standard, this one.
[00:43:22.200 --> 00:43:22.700]   Yeah.
[00:43:22.700 --> 00:43:23.960]   This one's really cool.
[00:43:23.960 --> 00:43:28.200]   So we've got the target variable going along the bottom and then
[00:43:28.200 --> 00:43:29.840]   standard error along the top.
[00:43:29.840 --> 00:43:37.040]   So normally it, um, so what this chart is showing, there's a relationship
[00:43:37.040 --> 00:43:38.840]   between the target variable and the error.
[00:43:39.600 --> 00:43:43.400]   Uh, so it's statisticians invented a really hard word to say for
[00:43:43.400 --> 00:43:45.480]   that is called heteroscedasticity.
[00:43:45.480 --> 00:43:46.760]   I don't know if I said that right.
[00:43:46.760 --> 00:43:51.840]   So it's when the error of something is related to its value.
[00:43:51.840 --> 00:43:56.280]   Um, so normally when you're doing say a linear regression, you assume that
[00:43:56.280 --> 00:43:58.000]   the error is a constant all along.
[00:43:58.000 --> 00:44:02.840]   But I, I spent a long time thinking about this, about this dataset.
[00:44:02.840 --> 00:44:07.880]   And I thought, well, actually the really hard to read samples and the really
[00:44:07.880 --> 00:44:11.960]   easy to read samples, there's a fewer number of samples for that.
[00:44:11.960 --> 00:44:16.600]   So if they calculating a standard error on that, the error will be wider just
[00:44:16.600 --> 00:44:20.600]   because they've got fewer, really hard to read or really easy to read samples.
[00:44:20.600 --> 00:44:23.880]   So that's why the standard error will be larger.
[00:44:23.880 --> 00:44:30.400]   So I think that this sort of this smiley face trend is actually related to the
[00:44:30.400 --> 00:44:33.480]   number of samples you have at the extreme ends of the target rather than
[00:44:33.480 --> 00:44:39.400]   an actual feature of the data, which is why I think in the end, the standard
[00:44:39.400 --> 00:44:43.840]   error wasn't too important for this competition, but it's an interesting
[00:44:43.840 --> 00:44:46.560]   thing to see when you're exploring the data.
[00:44:46.560 --> 00:44:51.160]   Yeah, I guess you could only understand that through this plot.
[00:44:51.160 --> 00:44:52.760]   Otherwise it wouldn't have been that clear.
[00:44:52.760 --> 00:44:59.320]   Um, it's quickly grants with the common word.
[00:44:59.320 --> 00:45:04.360]   So she's also plotted, uh, with bits and biases, you can just log the graphs and
[00:45:04.360 --> 00:45:08.680]   luckily then I don't have to scroll and I can just look at these plots right here.
[00:45:08.680 --> 00:45:12.760]   But it's also interesting to see that apparently, uh, school kids are being
[00:45:12.760 --> 00:45:18.960]   told a lot about carbon dioxide, probably for good measure and, uh, different words.
[00:45:18.960 --> 00:45:22.560]   I don't think these like mean a lot, probably these appear a lot in the search.
[00:45:22.560 --> 00:45:23.520]   Yeah.
[00:45:23.520 --> 00:45:25.720]   I had a quick scan through.
[00:45:25.800 --> 00:45:31.760]   Um, so there's that licenses column and a lot of the articles were from Wikipedia.
[00:45:31.760 --> 00:45:38.320]   And things, um, was it the licenses or the other, the source column or something?
[00:45:38.320 --> 00:45:43.240]   Um, and yeah, there's a lot of articles from Wikipedia and more science-y based
[00:45:43.240 --> 00:45:47.040]   stuff, so things like voltage or something like that.
[00:45:47.040 --> 00:45:50.640]   So it might be quite a lot of science-y based words in here.
[00:45:50.640 --> 00:45:52.560]   So I thought that was interesting as well.
[00:45:53.240 --> 00:45:57.280]   Yeah, I don't know why they would make high schoolers read Wikipedia pages.
[00:45:57.280 --> 00:46:00.680]   I saw a lot of Wikipedia links there as well.
[00:46:00.680 --> 00:46:01.400]   Yeah.
[00:46:01.400 --> 00:46:04.400]   But yeah, this is really cool.
[00:46:04.400 --> 00:46:07.720]   This is really, really interesting use for weights and biases.
[00:46:07.720 --> 00:46:13.440]   Um, so yeah, we did quite a lot of, um, more classical NMP stuff.
[00:46:13.440 --> 00:46:16.200]   So looking at unigrams and bigrams and stuff like that.
[00:46:16.200 --> 00:46:19.640]   And this, this is really cool approach.
[00:46:19.640 --> 00:46:23.080]   So if you, when you make your first baseline model, it's always good to
[00:46:23.080 --> 00:46:29.560]   take the simplest approach, you know, if, uh, if you start with a new data set and
[00:46:29.560 --> 00:46:32.800]   then you're doing a regression task, start with the linear regression rather than
[00:46:32.800 --> 00:46:34.760]   going straight into a deep neural network.
[00:46:34.760 --> 00:46:35.360]   Yeah.
[00:46:35.360 --> 00:46:37.080]   I was going to say GPT-203.
[00:46:37.080 --> 00:46:37.640]   Yeah.
[00:46:37.640 --> 00:46:45.760]   So doing this sort of, um, classical sort of NLP techniques, um, it's really cool to see.
[00:46:47.320 --> 00:46:47.440]   Yeah.
[00:46:47.440 --> 00:46:51.480]   One, one more thing, like why this is useful is, uh, we can also see the
[00:46:51.480 --> 00:46:56.400]   average for glen distribution, and this is also like creating a word sequence
[00:46:56.400 --> 00:46:59.760]   for different, uh, transformer models also.
[00:46:59.760 --> 00:47:01.760]   So that's what it is.
[00:47:01.760 --> 00:47:04.920]   All right.
[00:47:04.920 --> 00:47:09.600]   Um, I have a few more dashboards open, but I think we've covered those.
[00:47:09.600 --> 00:47:13.080]   So the next thing I want to hop over is, uh, engine solution.
[00:47:13.080 --> 00:47:15.560]   Uh, is there anything else you want to discuss from the
[00:47:15.960 --> 00:47:17.600]   Uh, no, I don't think so.
[00:47:17.600 --> 00:47:20.120]   I think that, I think we covered most, most of those things.
[00:47:20.120 --> 00:47:20.400]   Yeah.
[00:47:20.400 --> 00:47:21.760]   Awesome.
[00:47:21.760 --> 00:47:23.560]   Let me quickly close these tabs.
[00:47:23.560 --> 00:47:24.360]   One moment.
[00:47:24.360 --> 00:47:31.440]   So I'll quickly glance over these and then I'll request Anjum to go into the details.
[00:47:31.440 --> 00:47:35.680]   But, uh, one thing I learned was he didn't do a separate CV setup.
[00:47:35.680 --> 00:47:38.520]   Apparently the local CV and the leaderboard were quite
[00:47:38.520 --> 00:47:40.280]   correlated for this competition.
[00:47:40.280 --> 00:47:44.120]   Uh, this is quite important to understand because when you're competing on Kaggle,
[00:47:44.120 --> 00:47:47.960]   you have your local accuracy, which your models would spit out.
[00:47:47.960 --> 00:47:53.800]   And you need to keep looking at those because, uh, those are the ground
[00:47:53.800 --> 00:47:55.480]   to for you at least at that moment.
[00:47:55.480 --> 00:47:58.160]   And on Kaggle, you just get five submissions.
[00:47:58.160 --> 00:48:03.560]   So throughout these few months of competing, even Anjum has made 76
[00:48:03.560 --> 00:48:08.160]   submissions, and if you can like have a good ground score, that becomes your group.
[00:48:08.160 --> 00:48:11.640]   Now you don't need to submit to Kaggle every time you can just trust that.
[00:48:12.240 --> 00:48:16.600]   So that's why on Kaggle you also see this phrase called trust your CV, which is
[00:48:16.600 --> 00:48:19.120]   basically just trust your local CV once you set it up.
[00:48:19.120 --> 00:48:21.400]   I think there's even a team called trust your CV, right?
[00:48:21.400 --> 00:48:22.600]   Yeah.
[00:48:22.600 --> 00:48:25.160]   I think Chris Deo means trust your CV.
[00:48:25.160 --> 00:48:31.800]   So he used Abhishek's method, which we can discuss in a bit.
[00:48:31.800 --> 00:48:36.520]   And after that, he added an attention block to the last sequence
[00:48:36.520 --> 00:48:37.840]   state of the transformer.
[00:48:37.840 --> 00:48:42.120]   I've done a very poor visualization of it, but I'm guessing this,
[00:48:42.160 --> 00:48:43.200]   this is what it was like.
[00:48:43.200 --> 00:48:46.680]   You would just add an attention block to the output.
[00:48:46.680 --> 00:48:50.840]   And then you also had these text features, which we can discuss in a second.
[00:48:50.840 --> 00:48:52.520]   You would just concatenate these.
[00:48:52.520 --> 00:48:53.240]   Yeah.
[00:48:53.240 --> 00:48:57.600]   After which you would just run this through a regression head.
[00:48:57.600 --> 00:49:00.800]   So guys, if you remember, this is a regression problem because we're
[00:49:00.800 --> 00:49:04.600]   trying to predict this target from here.
[00:49:04.600 --> 00:49:08.000]   So we get a number and then we can calculate the root mean squared error.
[00:49:08.000 --> 00:49:10.160]   Is this correct?
[00:49:10.160 --> 00:49:11.680]   Or is it just a correct representation?
[00:49:11.680 --> 00:49:12.760]   That's spot on.
[00:49:12.760 --> 00:49:13.200]   Spot on.
[00:49:13.200 --> 00:49:15.240]   Awesome.
[00:49:15.240 --> 00:49:20.360]   And these features I was just talking about, and I'm also personally
[00:49:20.360 --> 00:49:24.040]   curious, like you mentioned, these weren't quite helpful as you expected.
[00:49:24.040 --> 00:49:27.120]   You use these features, maybe you could elaborate what these are.
[00:49:27.120 --> 00:49:27.720]   Yeah.
[00:49:27.720 --> 00:49:30.280]   And turned out these weren't impactful.
[00:49:30.280 --> 00:49:32.280]   So I'm also curious, how did you discover that?
[00:49:32.280 --> 00:49:33.000]   Yeah.
[00:49:33.000 --> 00:49:35.280]   Okay.
[00:49:35.280 --> 00:49:37.720]   Uh, where should we start?
[00:49:37.720 --> 00:49:41.640]   Should we get into, should we get into some code?
[00:49:41.920 --> 00:49:43.560]   Or where do you want to go next?
[00:49:43.560 --> 00:49:46.000]   Do you want to show us?
[00:49:46.000 --> 00:49:48.000]   So, yeah, let's do that.
[00:49:48.000 --> 00:49:50.560]   Um, let me see.
[00:49:50.560 --> 00:50:00.920]   Uh, I've forgotten how to show you.
[00:50:00.920 --> 00:50:04.360]   There are all of these like details that we can read through the solution, but if
[00:50:04.360 --> 00:50:07.920]   you're not computed, you probably wouldn't understand them so well.
[00:50:07.920 --> 00:50:11.240]   So that's why I was really excited about this walkthrough as well.
[00:50:11.560 --> 00:50:12.560]   For the session.
[00:50:12.560 --> 00:50:16.080]   So can you see this, this screen at the moment?
[00:50:16.080 --> 00:50:16.960]   Yes.
[00:50:16.960 --> 00:50:18.440]   I see the title.
[00:50:18.440 --> 00:50:18.920]   Cool.
[00:50:18.920 --> 00:50:28.040]   So, um, one thing, if I start with a small dataset, um, like this one, so I normally
[00:50:28.040 --> 00:50:34.760]   do my baseline model and yeah, so I used, um, Abhishek spinning and stratification
[00:50:34.760 --> 00:50:38.120]   code, so let's go to data, right.
[00:50:38.120 --> 00:50:40.320]   So we'll start with the data.
[00:50:40.920 --> 00:50:46.320]   So one thing I do, if I copy someone else's code, I'll always attribute it at the top
[00:50:46.320 --> 00:50:48.920]   here, just so that I know where I got it from.
[00:50:48.920 --> 00:50:54.520]   And then, um, if anyone else copies it, then at least then they've got some attribution.
[00:50:54.520 --> 00:51:00.560]   Um, the only thing I changed with, um, Abhishek's thing is I, I added this bit,
[00:51:00.560 --> 00:51:02.360]   this bit, so the random state.
[00:51:02.360 --> 00:51:09.600]   So, um, so the way, what, what Abhishek has done here is because this is a continuous
[00:51:09.640 --> 00:51:15.720]   target, um, but we want to create our five folds to look as equal as possible.
[00:51:15.720 --> 00:51:20.760]   So they look, when you, when you take a random sample and have five random groups,
[00:51:20.760 --> 00:51:24.560]   you want those two groups, those five groups to look as similar as possible.
[00:51:24.560 --> 00:51:31.720]   Um, but so he binned it using this, this function called pandas cut, um, using a
[00:51:31.720 --> 00:51:36.960]   number of bins and then split it up into five, uh, five folds.
[00:51:37.480 --> 00:51:42.160]   So one thing I generally do if you, if you start with a very small data set is
[00:51:42.160 --> 00:51:44.440]   change this random state.
[00:51:44.440 --> 00:51:50.800]   And when you do the stratified K fold and then run another experiment, and if you see
[00:51:50.800 --> 00:51:55.480]   these score changes by quite a lot, that means your score can vary.
[00:51:55.480 --> 00:51:59.080]   Uh, the score varies just by pure randomness, right?
[00:51:59.080 --> 00:52:02.200]   And I found that I did some experiments.
[00:52:02.200 --> 00:52:06.600]   I changed this random state and I saw, I saw my cross-validation score
[00:52:06.600 --> 00:52:07.480]   jump around quite a lot.
[00:52:07.480 --> 00:52:10.320]   It was very, very sensitive to the random seed.
[00:52:10.320 --> 00:52:12.840]   I'm not, and don't get confused.
[00:52:12.840 --> 00:52:14.600]   The random seed is not the hyper parameter.
[00:52:14.600 --> 00:52:17.120]   It's not supposed to be a number you tune.
[00:52:17.120 --> 00:52:23.120]   It's just, uh, it's, it just shows you, um, how noisy the data is.
[00:52:23.120 --> 00:52:29.560]   So when I did that, that's when I knew that if for my cross-validation scheme,
[00:52:29.560 --> 00:52:35.080]   I'd have to run my five folds using lots of different random seeds and, um, track
[00:52:35.080 --> 00:52:40.960]   that, so that actually ended up being, um, quite a lot of experiments.
[00:52:40.960 --> 00:52:45.440]   So I was going through my weights and biases dashboard, which is this.
[00:52:45.440 --> 00:52:47.880]   So my, my, my dashboard is not as pretty as Ruchi's.
[00:52:47.880 --> 00:52:49.840]   It's very, very minimalistic.
[00:52:49.840 --> 00:52:55.240]   Um, but it's, I usually set, set things up like this.
[00:52:55.240 --> 00:52:59.160]   So you can see for each experiment, I had 25 runs.
[00:52:59.160 --> 00:53:04.600]   So that is five, five seeds and then five folds.
[00:53:04.600 --> 00:53:07.720]   So I usually set up my models like this.
[00:53:07.720 --> 00:53:12.280]   So each run has a timestamp and then you've got five folds in there.
[00:53:12.280 --> 00:53:15.360]   And then I've grouped it by something called a slug.
[00:53:15.360 --> 00:53:18.200]   So this is, this is a really cool Python package called cool name.
[00:53:18.200 --> 00:53:20.560]   And it just gives you a random name.
[00:53:20.560 --> 00:53:23.080]   Some of these names are excellent.
[00:53:23.080 --> 00:53:25.840]   So like spectacular hyena, right?
[00:53:25.840 --> 00:53:28.800]   Refine clever demonic crowd.
[00:53:28.800 --> 00:53:34.440]   So there's a package called cool name.
[00:53:34.440 --> 00:53:41.920]   So, um, so, so the way I would, if I go back here, so the way I would kick off
[00:53:41.920 --> 00:53:48.520]   my script is I would have some entry points, train and infer, and I keep
[00:53:48.520 --> 00:53:51.480]   my code in this, um, source folder.
[00:53:51.480 --> 00:53:56.240]   And then I kick off my train, um, scripts using this shell script.
[00:53:56.240 --> 00:54:00.880]   So I have five different random seeds and you can see, I guess I was
[00:54:00.880 --> 00:54:02.120]   playing around with other seeds.
[00:54:02.560 --> 00:54:04.880]   This is the cool name thing I was talking about.
[00:54:04.880 --> 00:54:09.880]   So it'll give it, it'll generate a nice, a funny name for the group of names.
[00:54:09.880 --> 00:54:13.640]   And then it'll run five folds over these five seeds.
[00:54:13.640 --> 00:54:17.640]   And then you'd end up with 25 runs like this.
[00:54:17.640 --> 00:54:19.440]   So this was pretty cool.
[00:54:19.440 --> 00:54:25.040]   And you know, if I go back here, like go have a look at the project.
[00:54:25.040 --> 00:54:29.240]   So your baseline, uh, I'm just looking at the last curve was around.
[00:54:30.640 --> 00:54:31.800]   I think point three.
[00:54:31.800 --> 00:54:33.160]   Yeah.
[00:54:33.160 --> 00:54:33.440]   Yeah.
[00:54:33.440 --> 00:54:34.280]   Somewhere around that.
[00:54:34.280 --> 00:54:36.800]   So you can see that the loss is very noisy.
[00:54:36.800 --> 00:54:42.800]   The train loss is pretty smooth, but the, um, the validation loss, because
[00:54:42.800 --> 00:54:45.080]   it's quite a small data set, it jumps around quite a bit.
[00:54:45.080 --> 00:54:48.280]   I'll, I'll go, I'll go into that in a second.
[00:54:48.280 --> 00:54:53.240]   Cause, um, yeah, I'll, I'll show you how I found essentially.
[00:54:53.240 --> 00:54:56.560]   You want to try to find the best model in all of this, right?
[00:54:56.560 --> 00:54:57.880]   Yeah.
[00:54:58.400 --> 00:55:01.760]   Um, so it was quite cool, uh, using, oh, here we go.
[00:55:01.760 --> 00:55:01.960]   Yeah.
[00:55:01.960 --> 00:55:07.680]   So I've got it for this, for this, um, competition I did 2300 runs.
[00:55:07.680 --> 00:55:09.080]   That's incredible.
[00:55:09.080 --> 00:55:09.760]   Yeah.
[00:55:09.760 --> 00:55:15.240]   So it just speaks to like, what, how many experiments does it take to get to exactly?
[00:55:15.240 --> 00:55:20.480]   So it comes back to what I was saying earlier, the mantra of, um, test as many
[00:55:20.480 --> 00:55:22.160]   ideas in the shortest amount of time.
[00:55:23.240 --> 00:55:31.680]   Um, so if I go back to, so, so I, I usually have a shell script like this and I can
[00:55:31.680 --> 00:55:33.960]   write another shell script just to line up experiments.
[00:55:33.960 --> 00:55:37.120]   So I just keep running train, train, train, train, train with
[00:55:37.120 --> 00:55:38.720]   different set of hyper parameters.
[00:55:38.720 --> 00:55:41.440]   So I'll have a file here, like hyper parameters.yaml.
[00:55:41.440 --> 00:55:44.880]   And I'll have hyper parameters for all my different models.
[00:55:44.880 --> 00:55:50.160]   And I could just type them in, line up on my experiments and then go meet my
[00:55:50.160 --> 00:55:54.800]   friends and then come back and then my machine's been working at a hundred
[00:55:54.800 --> 00:55:57.040]   percent, but running lots of ideas.
[00:55:57.040 --> 00:55:59.200]   And the room is boiling at boiling temperature.
[00:55:59.200 --> 00:56:06.720]   So the initial, I would say the initial first few hundred runs I did with Roberta
[00:56:06.720 --> 00:56:07.240]   base.
[00:56:07.240 --> 00:56:10.720]   Um, so this was on my machine.
[00:56:10.720 --> 00:56:13.520]   It probably did, took about six minutes per fold.
[00:56:13.520 --> 00:56:19.040]   So I tried, so I tried to, again, coming back to the mantra of test as many ideas
[00:56:19.040 --> 00:56:20.000]   as short as possible.
[00:56:20.000 --> 00:56:23.760]   I want, I managed, I wanted to get my experiment time very short so I can test
[00:56:23.760 --> 00:56:24.560]   lots of ideas.
[00:56:24.560 --> 00:56:30.080]   And because I had to, uh, test across lots of different random seeds, I had to do
[00:56:30.080 --> 00:56:31.400]   25 runs of that.
[00:56:31.400 --> 00:56:32.920]   So 25 times six minutes.
[00:56:32.920 --> 00:56:37.000]   Um, and also to track that as well.
[00:56:37.000 --> 00:56:38.640]   So I used a Google sheet.
[00:56:38.640 --> 00:56:41.280]   So this is what my Google sheet looks like.
[00:56:41.280 --> 00:56:47.200]   So there was actually, if you go into my repository, there's a little Python file
[00:56:47.200 --> 00:56:48.640]   here called Agscores.
[00:56:48.680 --> 00:56:52.520]   And this writes my cross validation scores to this Google sheet.
[00:56:52.520 --> 00:56:57.080]   Um, so you can see that this is the group.
[00:56:57.080 --> 00:57:01.000]   These are the five runs that I did along the five seeds.
[00:57:01.000 --> 00:57:02.720]   And then these are the five folds.
[00:57:02.720 --> 00:57:07.800]   And then I would take the average of these scores in a sort of a pivot table like
[00:57:07.800 --> 00:57:08.280]   this.
[00:57:08.280 --> 00:57:12.520]   And then that, that would be my final cross validation score.
[00:57:15.120 --> 00:57:19.400]   So that's how, that's how I knew if I changed something in the model, if it was
[00:57:19.400 --> 00:57:21.240]   making, making something better or worse.
[00:57:21.240 --> 00:57:25.880]   If I changed any parameters in my attention block, if I was adding any more
[00:57:25.880 --> 00:57:27.560]   features, any things like that.
[00:57:27.560 --> 00:57:33.880]   So I was using these 25 runs and essentially averaging those, um, to
[00:57:33.880 --> 00:57:36.160]   generate my final cross validation score.
[00:57:36.160 --> 00:57:41.080]   I'm also curious, why did you pick Roberta as like the baseline model?
[00:57:41.080 --> 00:57:42.360]   Like what was the intuition there?
[00:57:42.360 --> 00:57:44.000]   So, uh, yeah, good question.
[00:57:44.000 --> 00:57:47.600]   So Roberta is generally a really good, um, all arounder.
[00:57:47.600 --> 00:57:48.800]   It runs fast.
[00:57:48.800 --> 00:57:50.200]   So Roberta base runs fast.
[00:57:50.200 --> 00:57:55.040]   So that, that ticks my box for having something I can iterate ideas fast and it
[00:57:55.040 --> 00:57:56.280]   just works really well.
[00:57:56.280 --> 00:58:05.720]   And so the other thing I did as well, if we go to Hugging Face, um, models, Roberta.
[00:58:05.720 --> 00:58:07.480]   So Roberta works well.
[00:58:07.480 --> 00:58:11.920]   If you go into the paper, there's lots of reasons why it's such a great model.
[00:58:12.560 --> 00:58:16.320]   But one of the reasons is that it's trained on a huge amount of data.
[00:58:16.320 --> 00:58:20.240]   And if you have a look at what it was trained on, I love these little
[00:58:20.240 --> 00:58:22.160]   model, model cards on Hugging Face.
[00:58:22.160 --> 00:58:23.000]   They're really useful.
[00:58:23.000 --> 00:58:28.200]   It was trained on Wikipedia, which is cool because we have lots of
[00:58:28.200 --> 00:58:34.080]   Wikipedia in our data set and something called book corpus, which is interesting
[00:58:34.080 --> 00:58:39.560]   because, um, I think in the common data set, you can see there's some, um, story
[00:58:39.560 --> 00:58:44.120]   book, um, style, um, excerpts from stories.
[00:58:44.120 --> 00:58:47.240]   I think there was something called African story book or something like that.
[00:58:47.240 --> 00:58:49.840]   And then there's another story data set.
[00:58:49.840 --> 00:58:54.720]   So I started with Roberta base because it's super fast to run worked pretty well.
[00:58:54.720 --> 00:58:58.520]   A lot of the public notebooks were getting pretty good scores with that.
[00:58:58.520 --> 00:59:02.480]   Um, and then from that, I sort of branched out.
[00:59:02.480 --> 00:59:06.600]   So if you go back here, Hugging Face has a really handy way of filtering.
[00:59:06.600 --> 00:59:08.080]   Models here.
[00:59:08.080 --> 00:59:12.600]   So if I wanted models that were trained on Wikipedia, I could click on this button
[00:59:12.600 --> 00:59:14.840]   and there's all these other models that are trained in Wikipedia.
[00:59:14.840 --> 00:59:16.880]   And then there's interesting models.
[00:59:16.880 --> 00:59:21.920]   We like, you know, funnel transformer, um, bird Albert and stuff like that.
[00:59:21.920 --> 00:59:23.680]   Did you try any of these as well?
[00:59:23.680 --> 00:59:24.280]   Yeah.
[00:59:24.280 --> 00:59:24.960]   Tried them all.
[00:59:24.960 --> 00:59:25.680]   Tried them all.
[00:59:25.680 --> 00:59:25.880]   Yeah.
[00:59:25.880 --> 00:59:33.160]   So, um, so one of the really cool things is about Hugging Face.
[00:59:33.640 --> 00:59:38.600]   And this, I like this a lot is they have this, these classes called auto models
[00:59:38.600 --> 00:59:41.440]   and they call it the auto classes.
[00:59:41.440 --> 00:59:42.720]   Let's go back to Hugging Face.
[00:59:42.720 --> 00:59:49.560]   Um, so in transformers, okay, they have them.
[00:59:49.560 --> 00:59:50.760]   Auto classes.
[00:59:50.760 --> 00:59:52.920]   So they have all of these things.
[00:59:52.920 --> 00:59:56.360]   So auto config or to tokenize a auto model.
[00:59:56.360 --> 01:00:02.440]   And essentially you could use this class and you, you just have to pass it.
[01:00:02.640 --> 01:00:05.320]   The name of the model you want to do, and you don't have to change any of your code.
[01:00:05.320 --> 01:00:06.520]   You can just switch your model.
[01:00:06.520 --> 01:00:08.160]   So that's what I did.
[01:00:08.160 --> 01:00:08.800]   So if I go back,
[01:00:08.800 --> 01:00:10.720]   You can just add it as a parameter and then
[01:00:10.720 --> 01:00:11.280]   Exactly.
[01:00:11.280 --> 01:00:12.840]   speak that in your bash script.
