
[00:00:00.000 --> 00:00:18.840]   welcome everybody thanks for showing up bright and early this morning we're gonna make your
[01:05:22.400 --> 01:05:28.160]   and interrelations between sections and really large tables and gnarly figures like i think that it has
[01:05:28.160 --> 01:05:32.880]   been a consistent thing that we've been working on and seeing improvements on but there's definitely
[01:05:32.880 --> 01:05:38.960]   still room to grow there um i think another kind of broader change in the rag space that our research
[01:05:38.960 --> 01:05:43.680]   team is very focused on and it hasn't directly translated into our product yet but it's kind of
[01:05:43.680 --> 01:05:51.040]   coming soon is moving away from the more like static rag pipelines that raj like beautifully described in his
[01:05:51.040 --> 01:05:57.360]   presentation toward kind of a fully dynamic flow with you know model routers uh at certain kind of inflection
[01:05:57.360 --> 01:06:03.920]   points deciding which tools to use how many times to retrieve you know how to alter the retrieval config
[01:06:03.920 --> 01:06:10.240]   in order to correctly answer the query so i think those sorts of like dynamic workflows will greatly increase
[01:06:10.240 --> 01:06:18.720]   what you can answer with any rag platform um almost like deep research for rag uh is one way to think about it
[01:06:18.720 --> 01:06:23.600]   and i think that's something that our research team is working very hard on and will be like coming into our
[01:06:23.600 --> 01:06:30.720]   platform in the near-ish future great thanks come back in six months
[01:06:30.720 --> 01:06:39.360]   do you have plans for a public facing like a web search feature particularly one that could be configured
[01:06:39.360 --> 01:06:41.040]   on a company's domain
[01:06:41.040 --> 01:06:48.880]   so are what you are you looking for kind of a general i need to be able to search the internet because like
[01:06:48.880 --> 01:06:54.400]   there's tavilli fire crawl places like that or it's more that companies that have public facing
[01:06:54.400 --> 01:07:01.040]   websites where it makes sense to instead of running rag on your like cms database you're actually just
[01:07:01.040 --> 01:07:06.560]   you want to run it on that live and so john i might pull you in here because i think one of the things
[01:07:06.560 --> 01:07:11.520]   john's worked with quite a bit because a lot of what that requires is the integrations to be able to pull
[01:07:11.520 --> 01:07:16.240]   from that webs from those sources as well and so i know john you've done some of those things for
[01:07:16.240 --> 01:07:21.280]   customers with fire crawling pieces yeah sorry what was the question for me again about ingesting
[01:07:21.280 --> 01:07:26.640]   customer websites and being able to use that in rag oh yeah so um there's a lot of like uh ways that
[01:07:26.640 --> 01:07:31.920]   you can scrape for websites or like directly you're like um kind of set up like an etl pipeline with like
[01:07:31.920 --> 01:07:37.840]   pulling the records from the apis or just pulling the unstructured data from like a data cloud um or blob
[01:07:37.840 --> 01:07:43.040]   storage and then kind of just setting up like an ingestion queue which is what we do on our side for
[01:07:43.040 --> 01:07:47.840]   larger customers um or basically any customer that needs like a kickstart for lots of data coming in
[01:07:47.840 --> 01:07:52.960]   some customers are like super happy to write their own scripts or like their own kind of functions our
[01:07:52.960 --> 01:07:58.640]   daily con jobs to update uh documents but we're also working on like a managed solution on our side so
[01:07:58.640 --> 01:08:02.720]   that you can just give us your credentials and then on our front end and then we'll just start pulling
[01:08:02.720 --> 01:08:06.480]   and syncing all the data on our back end but that's like something coming on the roadmap in like two to
[01:08:06.480 --> 01:08:12.400]   three months and so please if there's pieces like that you see that you want us let us know because
[01:08:12.400 --> 01:08:20.400]   we like to kind of push the product team to kind of make that stuff happen so all right yeah hi hi
[01:08:20.400 --> 01:08:28.480]   how do you deal with uh frequently updated content and document level permissions if not everybody can see
[01:08:28.480 --> 01:08:36.400]   specific documents yes so those are both tricky things one of the things we'll do for frequently um
[01:08:36.400 --> 01:08:41.280]   frequently updated documents is we have a continuous ingestion pipeline john if you can talk to in the
[01:08:41.280 --> 01:08:47.920]   back can talk to you more about that piece as well so that's one piece for the frequently updated for
[01:08:47.920 --> 01:08:53.360]   the other piece is the harder one entitlements how do you deal with all the permissions right like you're
[01:08:53.360 --> 01:08:59.680]   indexing hr rag stuff next to customer support stuff how do you make sure that the person doesn't look
[01:08:59.680 --> 01:09:04.880]   up the salaries of anybody else like that so this is where within our platform one of the things we're
[01:09:04.880 --> 01:09:10.160]   adding is an entitlements layer like that because as we've talked to lots of customers they're like
[01:09:10.160 --> 01:09:15.440]   this is nice when you do it over our customer support but inside of a real enterprise we have
[01:09:15.440 --> 01:09:20.240]   governance we have permissions we have to be able to respect that when we do these types of searches
[01:09:20.240 --> 01:09:25.600]   and so we're adding an entitlements layer on top of ours to be able to handle that so yeah that's an
[01:09:25.600 --> 01:09:31.360]   important piece all right hi uh so my question is regarding uh in last six months what are some of the
[01:09:31.360 --> 01:09:38.240]   major breakthroughs in uh rag area what are the major breakthroughs in the last six months in the rag area
[01:09:38.240 --> 01:09:47.520]   so i think the re-rankers continue to get better i think that's that's an easy place um where we've seen
[01:09:47.520 --> 01:09:52.800]   that i mean i think part of it is just every piece of that has steadily been getting better i think one
[01:09:52.800 --> 01:09:57.360]   of the biggest changes you've seen in the last six months year is the rise of the vision language models
[01:09:57.360 --> 01:10:02.480]   and how strong they are at being able to handle kind of images like that that's that's off the top of
[01:10:02.480 --> 01:10:07.520]   my head i see matthew's busy talking to somebody else otherwise i'd have him weigh in as well does that help
[01:10:07.520 --> 01:10:17.520]   help yes um does the contextual parser module can replace like doc lane or gsp invoice parsers and
[01:10:17.520 --> 01:10:24.640]   things like this and if if it does does it have the ability to parse qr codes and barcodes and instruct
[01:10:24.640 --> 01:10:31.920]   their metadata to kind of read that data as well yes so i think one of the things is there's a lot of
[01:10:31.920 --> 01:10:35.520]   different types of documents out there in terms of document types and there's a lot of different
[01:10:35.520 --> 01:10:39.520]   solutions so i don't we're not going to be able to handle every type of thing perfectly like that i
[01:10:39.520 --> 01:10:44.320]   think there's going to be lots of pieces but this is where we've made those apis so you can try that out
[01:10:44.320 --> 01:10:50.720]   on those piece like we haven't specifically focused on for example that type of document we do have the
[01:10:50.720 --> 01:10:56.400]   image captioning so maybe it would pick them up maybe it wouldn't like that so but the idea here is to go
[01:10:56.400 --> 01:11:01.200]   in that same space where there's a lot of these other companies doing this parsing thing and making sure that
[01:11:01.200 --> 01:11:05.120]   we have a module that you can just stick in and replace and kind of use with ours like that
[01:11:05.120 --> 01:11:14.560]   yes how do you deal with the domain specific language that's a good question how do you deal
[01:11:14.560 --> 01:11:19.360]   with domain specific language and this can get a little tricky and we've seen it for example when
[01:11:19.360 --> 01:11:25.680]   we're working with technical companies that have very specific words that they use inside there where
[01:11:26.240 --> 01:11:33.200]   on one hand you can do things like changing system prompts a little bit for the retriever part but
[01:11:33.200 --> 01:11:37.920]   sometimes what we've done with some of those customers is fine-tune that grounded language model
[01:11:37.920 --> 01:11:44.080]   that's closer to their vocabulary and how they speak and that's been one technique we've used now and this
[01:11:44.080 --> 01:11:49.280]   is where at one point in the platform we had that available to end developers but fine-tuning models can get a
[01:11:49.280 --> 01:11:54.160]   little complex for using for rag so we've kind of put that away now and that's more for kind of our
[01:11:54.160 --> 01:11:58.720]   service-oriented customers that work with our customer machine learning engineers but that's one thing
[01:11:58.720 --> 01:12:04.000]   we've done to if that knowledge is out there and you need to get that into your grounded language model
[01:12:04.000 --> 01:12:11.600]   is to do a kind of a fine-tuning process step go ahead oh i don't know where the mic is we're making them
[01:12:11.600 --> 01:12:23.760]   run getting their steps in today hey um so how about hipaa regulations like uh phi data like this kind of
[01:12:23.760 --> 01:12:31.520]   stuff like how you deal with that should we hash it before go to the platform or the llm can can
[01:12:31.520 --> 01:12:37.360]   understand and deal with that so there's two aspects that one is we just got hipaa certified
[01:12:37.360 --> 01:12:42.080]   that people are going to think i'm paying the audience members out there um like that the second
[01:12:42.080 --> 01:12:47.920]   is is well what do you do in extraction like maybe i have phi data i want you to automatically mask or
[01:12:47.920 --> 01:12:52.080]   filter that so this is one thing that we've been talking with a product team about whether to include
[01:12:52.080 --> 01:12:58.560]   that capability for during that parsing piece um to automatically kind of flag and identify that that
[01:12:58.560 --> 01:13:03.040]   behavior right now we don't kind of have that in the product but again like if that's something you
[01:13:03.040 --> 01:13:08.640]   need or want let us know it's not that hard to kind of build on but you can also do that as a supplement
[01:13:08.640 --> 01:13:14.240]   to the parsing and have a second job that runs and looks for that pii information does that help good
[01:13:14.240 --> 01:13:22.560]   uh i know garbage in garbage out but if we have a document with say two different numbers on a particular
[01:13:22.560 --> 01:13:28.720]   like statistic or fact how does your rag deal with that or how would it answer a question yeah
[01:13:28.720 --> 01:13:34.480]   so what what happens in that case is often the retrieval is going to bring both of those pieces
[01:13:34.480 --> 01:13:40.640]   of information over to the grounded language model and it's going to be up to the language model to use
[01:13:40.640 --> 01:13:47.040]   its reasoning ability to try to reason out the two differences so sometimes if one is for example if it's
[01:13:47.040 --> 01:13:52.960]   obvious that one is not like let's let's let's say it's the size of a mosquito and one of the answers
[01:13:52.960 --> 01:13:58.000]   is 100 feet and the other is right like three millimeters the rat the language model is going to
[01:13:58.000 --> 01:14:03.040]   know like one of these is junk and into ignore it but if they're both close and reasonable yes that and
[01:14:03.040 --> 01:14:10.400]   that can get you in trouble um with with those pieces like that so i assume this is a pain that you're having now
[01:14:11.040 --> 01:14:21.680]   so we're just trying to just trying to see how we can organize that um because a lot of my job right
[01:14:21.680 --> 01:14:28.160]   now is just telling people information that should be in a document but it's not updated so so one thing
[01:14:28.160 --> 01:14:34.320]   that can help with that is taking advantage of metadata and using as much rich information about those
[01:14:34.320 --> 01:14:39.200]   documents so when at retrieval time it can help it kind of figure out like hey these are the two
[01:14:39.200 --> 01:14:43.760]   differences and this is why i should prioritize this answer over another answer like maybe this is the
[01:14:43.760 --> 01:14:49.440]   most recent or this was written by the authoritative person like that like that's like one one thing
[01:14:49.440 --> 01:14:56.880]   that we kind of recommend for those use cases like that thank you all right okay well thank you all for
[01:14:56.880 --> 01:15:03.040]   staying i've loved the kind of the questions like this please use the application will give us feedback
[01:15:03.040 --> 01:15:08.880]   on how you're finding that as well good bad negative happy to take that all like that so thank you
[01:15:08.880 --> 01:15:13.440]   again for kind of spending your morning with us like that anything else we have nina or we good oh
[01:15:13.440 --> 01:15:19.200]   you've got the mic off oh i think i still have my mic uh yeah i've been going around distributing swag
[01:15:19.200 --> 01:15:24.080]   to folks that have asked questions sorry if i missed some of you that were further away i have one more
[01:15:24.080 --> 01:15:34.000]   pair of socks anyone wants them the guy in the back wants the socks all right yeah all right thank you
[01:15:34.000 --> 01:15:42.000]   all we'll be hanging around for a little while if you have that so

