
[00:00:00.040 --> 00:00:09.380]  的话
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.260 --> 00:45:44.260]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.260 --> 00:45:44.260]  , I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:45:44.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.280 --> 00:46:14.280]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:14.320 --> 00:46:44.300]  ,
[00:46:44.300 --> 00:46:44.300]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:44.300 --> 00:46:44.300]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:44.300 --> 00:46:44.300]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:44.300 --> 00:46:44.300]   I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.
[00:46:44.320 --> 00:47:14.320]   Transportation, I'm going to be looking at a fee for service model where you're going to be delivering some form of hourly advice.

