
[00:00:00.160 --> 00:00:04.640]   Capital One might not be the first issuer you think of when it comes to premium rewards,
[00:49:07.440 --> 00:49:11.440]   So if anyone has any experience there, shoot me an email, podcast@allthehacks.com.
[00:49:11.440 --> 00:49:17.440]   I'm really interested in exploring whether I can turn all the medical expenses that insurance normally
[00:49:17.440 --> 00:49:22.880]   covers directly into things I can put on my credit card and then get reimbursed for later.
[00:49:22.880 --> 00:49:27.200]   Obviously, I don't want to do it if I'm not going to get reimbursed, but if I could, that seems pretty
[00:49:27.200 --> 00:49:32.960]   interesting. On most of these offers, there are variable amount ranges from 0.01x miles all the way
[00:49:32.960 --> 00:49:39.840]   up to 87x miles. There are a handful that are just fixed amounts from anywhere from 1,000 to 25,000 miles.
[00:49:39.840 --> 00:49:45.440]   There are so many here that it's a little bit hard to grapple, but I would say worth going in here one
[00:49:45.440 --> 00:49:50.560]   or more times just to see what kind of is in there. Most of the major travel sites are on here for
[00:49:50.560 --> 00:49:56.720]   earning miles like Expedia, Virbo, Marriott, IHG, Hilton, but you really need to be comparing Capital
[00:49:56.720 --> 00:50:02.800]   One offers with Rakuten for a lot of these. So for me, I'll probably use this and go to in-store
[00:50:02.800 --> 00:50:07.520]   to see what's there. But for the most part, I'll probably be comparing Capital One offers
[00:50:07.520 --> 00:50:12.160]   on a site like SaveWise or Cashback Monitor and thinking about it that way.
[00:50:12.160 --> 00:50:16.640]   Then separately, there's Capital One Shopping, which interestingly enough has nothing to do with
[00:50:16.640 --> 00:50:20.240]   being a Capital One cardholder. It is a Rakuten competitor.
[00:50:20.240 --> 00:50:26.400]   You can go on and find offers for lots of different sites that you can earn cash back as long as you
[00:50:26.400 --> 00:50:30.560]   use their browser extension and enable it. So I'm not going to spend much time talking about it here
[00:50:30.560 --> 00:50:34.880]   because it has nothing to do with being a Capital One cardholder, but it does exist and it's part of
[00:50:34.880 --> 00:50:39.600]   Capital One. So I thought I'd at least mention that other than being able to log in with your Capital One
[00:50:39.600 --> 00:50:44.960]   login, there's no real link to your account, your card, your miles or anything like that. It's just a public
[00:50:44.960 --> 00:50:50.880]   shopping portal. That said, keeping that extension on when you're on certain sites is super interesting
[00:50:50.880 --> 00:50:56.400]   because they send these targeted emails. So you might be browsing a hotel at Hilton and then get
[00:50:56.400 --> 00:51:01.200]   an email two days later that says, "Hey, you never made that Hilton checkout. Do you want 30% back on
[00:51:01.200 --> 00:51:05.120]   Hilton?" And some of them can be pretty, pretty extreme. A few other things on Capital One. They
[00:51:05.120 --> 00:51:11.280]   do have referral programs. And so depending on your card, you can usually earn 20 to 25,000 miles for
[00:51:11.280 --> 00:51:17.920]   referring someone. But there is a cap each year of I think it's either 100,000 miles or $1,000. But also
[00:51:17.920 --> 00:51:23.040]   keep in mind that those referrals are taxable. If you refer enough people, you will probably get a 1099 and
[00:51:23.040 --> 00:51:28.640]   you will owe taxes on the paid out amount. I don't remember how they value miles in that case. Probably a
[00:51:28.640 --> 00:51:33.920]   penny a mile, but I'm not sure. But just something to keep in mind. And then last, there is a program called Capital One
[00:51:33.920 --> 00:51:40.640]   Dining, where all US issued Capital One branded cards have access. Debit cards and co-branded cards
[00:51:40.640 --> 00:51:45.280]   are not eligible, but they just have a few restaurants. And by a few, I mean quite a few
[00:51:45.280 --> 00:51:50.560]   in San Francisco that are really good. State Bird Provisions, Mr. Jews, Atelier Crenn, where you get
[00:51:50.560 --> 00:51:55.280]   exclusive reservations and they say a free treat from the restaurant. So I haven't booked a reservation
[00:51:55.280 --> 00:51:59.440]   here. It's on my list of something to test out. But just something if you have a Capital One card and
[00:51:59.440 --> 00:52:03.360]   you haven't played around with Capital One Dining, definitely something worth looking into.
[00:52:03.360 --> 00:52:06.720]   Next, I want to talk about Capital One miles and how to get the most out of them.
[00:52:06.720 --> 00:52:13.120]   So there are a few options for redemptions that I don't ever use, but I'll run through quickly.
[00:52:13.120 --> 00:52:18.160]   You could just take a straight statement credit towards cash at half a cent a point. They have
[00:52:18.160 --> 00:52:24.080]   a gift card marketplace where you can get gift cards for 0.8 cents a point. And then sometimes they
[00:52:24.080 --> 00:52:29.840]   go on sale. So right now, there's a sale on Apple, DoorDash, Uber, Wayfair. And that makes your points
[00:52:29.840 --> 00:52:37.440]   worth 1.07 cents. You can use it to book travel in Capital One Travel or for some cards reimburse
[00:52:37.440 --> 00:52:42.160]   yourself as a statement credit. That's at one cent a point. Now, earlier, I mentioned that the points
[00:52:42.160 --> 00:52:48.400]   guy values Capital One points at 1.85 cents. So obviously, none of these options are ways to redeem
[00:52:48.400 --> 00:52:53.680]   points at that level. The primary way you would want to get outsized value is from the Capital One
[00:52:53.680 --> 00:52:59.040]   Transfer Partners. But there's one little thing that I'll mention. If you like baseball, Capital One has
[00:52:59.040 --> 00:53:05.760]   some interesting cardholder exclusives where they have specific great seats at a handful of stadiums
[00:53:05.760 --> 00:53:10.960]   where when they release seats, you can get amazing seats for 5,000 miles, which is somewhere between
[00:53:10.960 --> 00:53:16.240]   50 and $100, but really, really great seats. I'm not a big baseball fan, so I've never done this.
[00:53:16.240 --> 00:53:21.520]   I'll link to an article from The Frequent Miler about how to take advantage of this because they also will
[00:53:21.520 --> 00:53:25.680]   sell you baseball seats at almost any game for a terrible use of miles. So you want to make sure you're
[00:53:25.680 --> 00:53:29.920]   getting a really great deal here, but that is one way to get outsized value. But the primary way to
[00:53:29.920 --> 00:53:34.720]   get outsized value from your Capital One miles is by transferring them to airlines and hotels.
[00:53:34.720 --> 00:53:39.520]   So I'm going to pull up my transfer partner spreadsheet. There right now are 16 airlines
[00:53:39.520 --> 00:53:44.960]   and three hotels that you can transfer to, and you need a miles card to do those transfers. So a
[00:53:44.960 --> 00:53:51.120]   Venture, a Venture X, a Spark Miles are all options. Now, at 16 airlines where I'll focus first,
[00:53:51.120 --> 00:53:57.760]   that's quite a few. And it's really competitive to Amex, for example. If you compare Capital One to Amex,
[00:53:57.760 --> 00:54:03.280]   you've got all the same partners with a couple exceptions. You're missing out on Delta and ANA,
[00:54:03.280 --> 00:54:09.600]   neither of which I regularly, if ever use. But you get EVA Air, which I love because they have their own
[00:54:09.600 --> 00:54:15.440]   kind of inventory special to their members for business class availability. Turkish, which has a few
[00:54:15.440 --> 00:54:21.040]   sweet spots, and Tap Air Portugal, which I'm not aware of any great uses. So pretty comparable in
[00:54:21.040 --> 00:54:26.880]   terms of Capital One points to Amex points on the airline side. And amongst those, a handful of my
[00:54:26.880 --> 00:54:35.040]   favorites. So Aeroplan in Star Alliance, Avianca in Star Alliance, Avios in One World and Asia Miles in One
[00:54:35.040 --> 00:54:42.240]   World, Flying Blue on the SkyTeam side. I mentioned EVA Air. It's not as good of a transfer ratio as you'd get
[00:54:42.240 --> 00:54:48.160]   from Citi, but might be worth the availability. And then a bunch of others that can be good for
[00:54:48.160 --> 00:54:53.440]   various uses. Qantas, Singapore, Turkish, Virgin Red, Emirates, Etihad. Those are the notable ones.
[00:54:53.440 --> 00:54:57.600]   I just did an episode with Greg from The Frequent Miler, where we talked about all these transfer
[00:54:57.600 --> 00:55:03.600]   partners. So if you're interested, go back and listen to that. Notably, there are not any major US airlines
[00:55:03.600 --> 00:55:08.640]   where there's a lot of opportunity for outsized value, other than possibly JetBlue, where you get a
[00:55:08.640 --> 00:55:13.600]   five to three ratio, which is not nearly as compelling as the ratio you get from Chase,
[00:55:13.600 --> 00:55:19.440]   Amex, or Citi. But at the end of the day, using US carriers is not necessary to get outsized value.
[00:55:19.440 --> 00:55:24.720]   I've done so many bookings from Air Canada Aeroplan to book flights on United, or Avios to book plans
[00:55:24.720 --> 00:55:31.600]   on American, or using Flying Blue to book flights on Delta. So there are ways to fly US-based airlines
[00:55:31.600 --> 00:55:34.960]   and get outsized value. You just don't book through those programs. And we've talked about
[00:55:34.960 --> 00:55:39.600]   that a ton on other episodes that I can link to in the show notes. On the hotel side, there are only
[00:55:39.600 --> 00:55:46.080]   three options. You get Choice Privileges, Accor, and Wyndham. And I'll be honest, not that compelling.
[00:55:46.080 --> 00:55:51.360]   The main one here that's kind of stand out is that Wyndham has an ability to earn outsized value
[00:55:51.360 --> 00:55:55.520]   through booking Vacasa vacation rentals. And so I'll put a link in the show notes if you want to
[00:55:55.520 --> 00:56:01.520]   go deeper on that. On the Accor side, Accor points are kind of fixed in value. So there's not a lot of
[00:56:01.520 --> 00:56:06.640]   opportunity for upside here. And on Choice, you're probably better off cashing out your Capital One
[00:56:06.640 --> 00:56:12.720]   miles for one cent and buying Choice points than transferring just one to one, to be honest,
[00:56:12.720 --> 00:56:17.840]   because they're often on sale for half a cent. I don't mind Choice as a partner, maybe if you have
[00:56:17.840 --> 00:56:24.720]   City or Wells Fargo, where you get two Choice points for every one point you transfer. But with Capital One,
[00:56:24.720 --> 00:56:30.720]   it's one to one. So not really an exciting partner for me. So I would stick to the airline partners.
[00:56:30.720 --> 00:56:36.880]   And as for transfer bonuses, Capital One has some. So in 2023 and 2024, there were six. There have been
[00:56:36.880 --> 00:56:43.920]   four year to date in 2025. Typical things you'd see 20% bonus to Flying Blue, 30% bonus to Virgin,
[00:56:43.920 --> 00:56:51.760]   30-40% to Etihad, maybe 20% to Avios, but we didn't see that every year. It's almost always in the 15%
[00:56:51.760 --> 00:56:57.760]   to 30% range. And it seems like there's one every other month. So while it happens, it doesn't happen
[00:56:57.760 --> 00:57:03.040]   that often, not as much as some other programs. But it doesn't happen enough that I would wait for it.
[00:57:03.040 --> 00:57:07.040]   But it happens frequently enough that maybe you'll get lucky and a trip you're planning happens right
[00:57:07.040 --> 00:57:11.840]   as a bonus hits and you can get a little bit of upside there. Where I think Capital One Miles really,
[00:57:11.840 --> 00:57:18.240]   really shine is that you can combine them across your cards, but you can also combine them between
[00:57:18.240 --> 00:57:23.600]   people. So you can share them to anyone, whether that's your spouse that lives at your same address
[00:57:23.600 --> 00:57:28.800]   or your friend that lives in another state. There's no limits or expirations like City. So I think it's
[00:57:28.800 --> 00:57:35.360]   really, really awesome for the ability to move points between people, pull points for trips
[00:57:35.360 --> 00:57:39.680]   with families, especially if you have a large extended family and you want to all book out of
[00:57:39.680 --> 00:57:44.560]   your account to make it a little easier, or maybe you have status with an airline you're transferring to.
[00:57:44.560 --> 00:57:49.600]   That is one amazing feature of Capital One is the ability to move miles by anyone. Unfortunately,
[00:57:49.600 --> 00:57:53.600]   you have to do it by the phone, but you can do it. And that's awesome. Also, keep in mind,
[00:57:53.600 --> 00:57:57.920]   I mentioned if you have a cash back card, you can move your cash back over to your miles balance,
[00:57:57.920 --> 00:58:02.880]   but it's not reversible. You can't move your miles back to cash back once you've earned them or once
[00:58:02.880 --> 00:58:08.000]   you've transferred them. As for getting Capital One cards, they are stricter with approvals than a lot
[00:58:08.000 --> 00:58:12.480]   of other issuers. I always say if you're looking at getting two cards, get the Capital One card first.
[00:58:12.480 --> 00:58:17.760]   They're really sensitive to recent inquiries. They also tend to only approve you for one card every six
[00:58:17.760 --> 00:58:23.120]   months. And you can only get a welcome offer for a card every 48 months for personal cards.
[00:58:23.120 --> 00:58:28.000]   And if you read around online, people say you can only have two personal cards with Capital One.
[00:58:28.000 --> 00:58:32.960]   And they say it's not always true. It sometimes excludes co-brands. Some say there's a new limit of
[00:58:32.960 --> 00:58:38.720]   five. Some people say, no, it's still two. But you can't open tons and tons of Capital One cards,
[00:58:38.720 --> 00:58:42.720]   especially with one every six months. It's difficult. Also, you can only have one charge card,
[00:58:42.720 --> 00:58:47.200]   as I mentioned earlier. So Spark Cash Plus or VentureX Business. Now you can have a lot more
[00:58:47.200 --> 00:58:51.360]   business cards. I know a few people who have five or six business cards for all their different
[00:58:51.360 --> 00:58:56.800]   businesses, and that is okay. Sometimes you can move credit from one card to an existing card.
[00:58:56.800 --> 00:59:04.640]   Seems like sometimes you can't. And you can't do a credit line increase within a few months of making
[00:59:04.640 --> 00:59:08.640]   any of those credit moves. So keep that in mind. If you're looking to move credit, you might want to
[00:59:08.640 --> 00:59:12.720]   request a credit line increase before you do that. They do have a reconsideration line if you're not
[00:59:12.720 --> 00:59:17.920]   approved immediately and you have questions. And they do allow product changes, but not in any kind
[00:59:17.920 --> 00:59:23.120]   of systematized way. You might not be eligible for something that someone else is. So for me,
[00:59:23.120 --> 00:59:27.360]   if I wanted to product change my VentureX, they said I could move it to a Venture, a VentureOne or a
[00:59:27.360 --> 00:59:32.640]   Quicksilver. But you might ask the same question or try to do that online and find that you don't get the
[00:59:32.640 --> 00:59:37.360]   same options. I looked at the options for my Spark Cash Plus and I didn't see any right now.
[00:59:37.360 --> 00:59:42.000]   That could change if I call. So there is the ability to product change, but there is not as
[00:59:42.000 --> 00:59:47.040]   straightforward of an ability to do it as some other issuers have in terms of what you can do.
[00:59:47.040 --> 00:59:51.840]   That said, they are more generous with limits than some other issuers. I know for me, I was able to get
[00:59:51.840 --> 00:59:57.920]   a $30,000 limit on my VentureX card when I opened it. And I know with some issuers, especially Citi,
[00:59:57.920 --> 01:00:02.480]   when I opened new cards, they were opening much lower limits than that. I love that you can do a
[01:00:02.480 --> 01:00:06.720]   lot of this online. You can upgrade your cards, move your credit lines, request credit line increases.
[01:00:06.720 --> 01:00:10.720]   You've got the virtual cards. Everything online is really great. And your personal and your business
[01:00:10.720 --> 01:00:15.120]   cards are on the same logins, which I can't say about Citi. And with Chase, it's a little bit strange
[01:00:15.120 --> 01:00:21.120]   with how that works. Amex, it's pretty straightforward. So that's basically all of the things you need to
[01:00:21.120 --> 01:00:26.640]   know about Capital One. Let's summarize. So Capital One, what's exciting? Some really good signup
[01:00:26.640 --> 01:00:33.200]   bonuses. Despite not having as many cards as an Amex or a Chase, being able to get 75,000 points on
[01:00:33.200 --> 01:00:39.520]   the Venture and the VentureX, being able to get 150 or $1,000 to $2,000 on some of the business cards,
[01:00:39.520 --> 01:00:44.160]   love having the option to get a bunch of good signup bonuses. For points diversification,
[01:00:44.160 --> 01:00:50.720]   you get a couple of things that you won't get with other programs like Evia Air and Windham. But it also
[01:00:50.720 --> 01:00:57.040]   has the mainstays that I'm often using for flights. Flying Blue, Aeroplan, Avios. Those are probably my
[01:00:57.040 --> 01:01:02.960]   most frequented uses. Like I said, it's missing a lot of the domestic US airlines, no United, American,
[01:01:02.960 --> 01:01:08.160]   or Alaska. And obviously, if they added Hyatt, it would be amazing. And they have not. And I don't
[01:01:08.160 --> 01:01:13.440]   foresee that ever happening. Other big thing to love about Capital One is lower annual fees. So for their
[01:01:13.440 --> 01:01:20.160]   premium cards, you're not looking at these $700 to almost $1,000 annual fees with tons of credits.
[01:01:20.160 --> 01:01:24.320]   That's not a game they've started playing. And I love that it works really well for multiple players,
[01:01:24.320 --> 01:01:28.720]   because you can transfer points between anyone with no expiration like you get with Citi.
[01:01:28.720 --> 01:01:34.000]   But the real reason I love Capital One is that they have uncapped 2x transferable miles cards.
[01:01:34.000 --> 01:01:38.480]   And they'd have it on the business side and the personal side, which is really, really rare.
[01:01:38.480 --> 01:01:42.960]   Even if you're just looking compared to cash back and focusing on the business side,
[01:01:42.960 --> 01:01:48.160]   it's hard to even find 2% cash back for business. Yes, there's the Chase Inc. Premier,
[01:01:48.160 --> 01:01:53.200]   but you can't get points. And it comes with an almost $200 fee. On the Bank of America side,
[01:01:53.200 --> 01:01:57.680]   you can get close to that, but only if you have $100,000 in a business account,
[01:01:57.680 --> 01:02:02.000]   which I have worked to set up, and it is a huge pain. Amex has the Blue Business Plus,
[01:02:02.000 --> 01:02:07.440]   but it has a cap of $50,000 of spend a year. And then there is this Wells Fargo Signify business
[01:02:07.440 --> 01:02:12.560]   cash card, which is a 2% card that may be able to transfer points over to the autograph or the
[01:02:12.560 --> 01:02:17.840]   autograph journey. But Wells Fargo is among the least interesting points currency out there.
[01:02:17.840 --> 01:02:23.040]   So I love that. I also love getting high limits on these cards compared to what you might get
[01:02:23.040 --> 01:02:28.240]   with a 2x card, like the City Double Cash or the Wells Fargo Active Cash, which also, by the way,
[01:02:28.240 --> 01:02:33.760]   requires you to have another card to tie it to. But coming back to my point that this uncapped 2x
[01:02:33.760 --> 01:02:39.120]   points card is interesting, I actually ran the numbers and it is the best single card. If you look
[01:02:39.120 --> 01:02:45.280]   at the Bureau of Labor Statistics data, I applied the average spending patterns for households with,
[01:02:45.280 --> 01:02:51.920]   I think it was a household annual income of $100,000 plus, to every single card. And the
[01:02:51.920 --> 01:02:58.480]   closest runner-ups to earning 2x miles on everything were the Amex Gold, where you get 4x on dining and
[01:02:58.480 --> 01:03:04.080]   grocery and 1x on everything else, and the City Premier, where you get 3x on dining, grocery, gas,
[01:03:04.080 --> 01:03:09.840]   air travel, and hotels, and 1x on everything else. But the average for the average family with the data
[01:03:09.840 --> 01:03:17.280]   I used was earning 1.74 on the Amex Gold and 1.65 on the City Premier. So if you want one single card,
[01:03:17.280 --> 01:03:22.080]   and you don't want to play games, and you just want to maximize your miles and points earning with one
[01:03:22.080 --> 01:03:27.920]   card, being able to do that with Capital One on the Venture, the Venture X, the Venture X Business,
[01:03:27.920 --> 01:03:34.000]   the Spark Miles, there's multiple cards that can do it. Really incredible for getting one card. Now, what's
[01:03:34.000 --> 01:03:40.080]   crazy is that that one card actually does better than the best two card combo from Amex or Chase.
[01:03:40.080 --> 01:03:45.360]   So if you look at the best two card combo from Amex, the average earning is 1.96x. So you're just shy of
[01:03:45.360 --> 01:03:51.280]   earning 2x on everything. And if you look at it on Chase, it's 1.91x. Now, if you want to look at two
[01:03:51.280 --> 01:03:57.680]   card combos from Capital One, you'd be looking at the Venture or the Venture X paired with the Saver
[01:03:57.680 --> 01:04:06.160]   card, and you'd have a $95 annual fee. And I calculated an average earning of 2.26x on everything.
[01:04:06.160 --> 01:04:12.960]   Now, if you compare that to Wells Fargo or Citi, they're slightly better at 2.32x and 2.33x on all
[01:04:12.960 --> 01:04:18.160]   your spending. So I could make a case that the best two card combo probably is the Citi Strata Premier
[01:04:18.160 --> 01:04:24.560]   and the Citi Double Cash. However, I much prefer Capital One as a platform from a technology standpoint.
[01:04:24.560 --> 01:04:30.640]   I much prefer Capital One from a limits on cards standpoint. And even more, that doesn't factor in
[01:04:30.640 --> 01:04:36.160]   how much you'd earn if you booked some of your travel in the Capital One travel portal. Because
[01:04:36.160 --> 01:04:42.240]   part of the reason that those other brands win is that they have 3x on travel or flights or hotels.
[01:04:42.240 --> 01:04:47.200]   If you were booking flights in Capital One travel for 10x or hotels in Capital One travel for 5x with
[01:04:47.200 --> 01:04:52.640]   the Venture X, you would blow that out of the water. So even as a two card combo, I think Capital One stands
[01:04:52.640 --> 01:04:59.440]   up to all the best out there. As a one card combo, it is the best. And the main thing that is less exciting
[01:04:59.440 --> 01:05:04.080]   is that it's harder to get approved, harder to have a lot of cards there. They don't have as many cards
[01:05:04.080 --> 01:05:09.440]   and welcome bonuses as a Chase or Amex, and they don't have any really major unique transfer partner
[01:05:09.440 --> 01:05:16.240]   differentiation like you might get AA from Citi, Hyatt from Chase, or United from Chase. However,
[01:05:16.240 --> 01:05:22.000]   while I would much rather have Chase or Bilt points than Capital One points, I would much rather have
[01:05:22.000 --> 01:05:28.800]   2x Capital One points over 1 to 1.5x Chase or Bilt or Citi or Amex or any other points. So the fact that you
[01:05:28.800 --> 01:05:35.760]   can earn 2x points with the Venture, the Venture X, the Spark Miles cards, I think that makes them the
[01:05:35.760 --> 01:05:40.160]   best catch-all cards out there. And I'm extremely happy that we have one on the personal and one on
[01:05:40.160 --> 01:05:44.720]   the business in our wallets right now. And if you can take advantage of that huge signup bonus on the
[01:05:44.720 --> 01:05:49.280]   Venture X business before it changes, it's an awesome way to boost your Capital One balance,
[01:05:49.280 --> 01:05:55.440]   150,000 points plus the 60,000 points from the spend, getting over 10% back on that spend in terms
[01:05:55.440 --> 01:06:00.560]   of how I value points. If you're going to sign up for anything, reminder that all the links to all
[01:06:00.560 --> 01:06:06.400]   the cards are in the show notes or at allthehacks.com/cards. I really hope this episode was helpful for you.
[01:06:06.960 --> 01:06:13.920]   Feedback is very welcome, podcast@allthehacks.com. I think next I'll be going deep on Bank of America
[01:06:13.920 --> 01:06:18.400]   or maybe Bilt now that they have three cards launching once they've announced that. But on the Bank of
[01:06:18.400 --> 01:06:22.720]   America side, we've gone from having zero to four Bank of America cards in our house and this new
[01:06:22.720 --> 01:06:28.480]   premium Alaska card is interesting and details are just starting to emerge. So stay tuned for those.
[01:06:28.480 --> 01:06:33.280]   That is it for this week. Again, comments, feedback, questions, other episode ideas,
[01:06:33.280 --> 01:06:36.800]   podcast at all the hacks.com is where to send it. I will see you next week.

