
[00:00:00.000 --> 00:00:02.000]   Welcome back
[00:55:13.180 --> 00:55:20.900]   This is just the thing that shows a progress bar so ignore this for X comma Y in my training data loader
[00:55:20.900 --> 00:55:24.260]   calculate the loss
[00:55:24.260 --> 00:55:33.340]   Print out the loss in our in a progress bar call any callbacks you have and at the end
[00:55:35.860 --> 00:55:43.900]   Call the call the metrics on the validation right so this there's just for each epoch go through each mini batch
[00:55:43.900 --> 00:55:48.680]   and do one step of our optimizer step is
[00:55:48.680 --> 00:55:54.580]   Basically going to take advantage of this optimizer, but we're rewriting that from scratch shortly
[00:55:54.580 --> 00:55:58.940]   So this is notice we're not using a learner
[00:55:59.900 --> 00:56:06.420]   Okay, we're just using a pipe watch module so this this fit thing although. It's past it part of fast AI
[00:56:06.420 --> 00:56:11.560]   It's like lower down the layers of abstraction now. This is the thing that takes a
[00:56:11.560 --> 00:56:15.940]   regular pipe torch model, so if you ever want to like
[00:56:15.940 --> 00:56:19.220]   skip as much
[00:56:19.220 --> 00:56:24.580]   Fast AI stuff as possible like you've got some pipe torch model. You've got some code on the internet
[00:56:24.580 --> 00:56:26.060]   You basically want to run it
[00:56:26.060 --> 00:56:30.340]   But you don't want to write your own training loop, then this is this is what you want to do
[00:56:30.340 --> 00:56:34.300]   You want to call fast AI's fit function and so what you'll find is like
[00:56:34.300 --> 00:56:39.140]   The library is designed so that you can kind of dig in at any layer of abstraction
[00:56:39.140 --> 00:56:45.340]   You like right and so at this layer of abstraction. You're not going to get things like
[00:56:45.340 --> 00:56:52.180]   Stochastic gradient descent with restarts you're not going to get like differential learning rates like all that stuff
[00:56:52.180 --> 00:56:56.620]   That's in the learner like you could do it, but you'd have to write it all by by hand yourself
[00:56:56.620 --> 00:57:00.900]   Right and that's the downside of kind of going down to this level of abstraction
[00:57:00.900 --> 00:57:07.060]   The upside is that as you saw the code for this is very simple. It's just a simple training loop
[00:57:07.060 --> 00:57:09.060]   It takes a standard pytorch model
[00:57:09.060 --> 00:57:12.460]   So this is like this is a good thing for us to use here
[00:57:12.460 --> 00:57:18.340]   We can we just call it and it looks exactly like what we're we're used to see right we get our
[00:57:19.540 --> 00:57:23.220]   validation and training loss for the three plus
[00:57:23.220 --> 00:57:26.220]   now you'll notice that
[00:57:26.220 --> 00:57:31.260]   We wanted something around point seven six
[00:57:31.260 --> 00:57:39.620]   So we're not there so in other words the the default fast AI collaborative filtering algorithm is doing something
[00:57:39.620 --> 00:57:44.340]   Smarter than this so we're going to try and do that
[00:57:45.020 --> 00:57:49.780]   One thing that we can do since we're calling our you know this lower level fit function
[00:57:49.780 --> 00:57:54.140]   There's no learning rate and kneeling we could do our own learning rate and kneeling so you can hear it
[00:57:54.140 --> 00:57:57.220]   See here there's a fast AR function called set learning rates
[00:57:57.220 --> 00:58:02.540]   you can pass in a standard pytorch optimizer and pass in your new learning rate and
[00:58:02.540 --> 00:58:09.100]   Then call fit again. And so this is how we can let manually do a learning rate schedule
[00:58:09.100 --> 00:58:11.100]   And so you can see we've got a little bit better
[00:58:11.100 --> 00:58:13.140]   1.13
[00:58:13.140 --> 00:58:15.580]   We still got a long way to go
[00:58:15.580 --> 00:58:20.740]   Okay, so I think what we might do is we might have a
[00:58:20.740 --> 00:58:28.240]   Seven-minute break and then we're going to come back and try and improve this score of it
[00:58:28.240 --> 00:58:40.780]   For those who are interested somebody was asking me at the break for a kind of a quick
[00:58:41.740 --> 00:58:49.060]   Walk through so this is totally optional, but if you go into the fast AI library, there's a model.py file
[00:58:49.060 --> 00:58:53.740]   And
[00:58:53.740 --> 00:58:57.420]   That's where fit is which we're just looking at which goes through
[00:58:57.420 --> 00:59:05.500]   Each epoch in epochs and then goes through each X and Y in the mini batch and then it calls this
[00:59:05.500 --> 00:59:10.000]   Step function so the step function
[00:59:10.000 --> 00:59:12.000]   is
[00:59:12.000 --> 00:59:21.400]   Here and you can see the key thing is it calculates the output from the model the models for N right and so if you remember
[00:59:21.400 --> 00:59:24.320]   our dot product
[00:59:24.320 --> 00:59:31.280]   We didn't actually call model dot forward we just called model parentheses and that's because the
[00:59:31.280 --> 00:59:34.080]   nn dot module
[00:59:34.080 --> 00:59:35.520]   automatically
[00:59:35.520 --> 00:59:39.520]   You know when you call it as if it's a function it passes it along to forward
[00:59:39.640 --> 00:59:46.860]   Okay, so that's that's what that's doing there right and then the rest of this will will learn about shortly. Just basically doing the
[00:59:46.860 --> 00:59:51.920]   The loss function and then the backward pass
[00:59:51.920 --> 00:59:54.200]   Okay, so for those who are interested
[00:59:54.200 --> 00:59:59.160]   That's that's kind of gives you a bit of a sense of how the code is structured if you want to look at it
[00:59:59.160 --> 01:00:04.440]   and as I say like the the fast AI code is designed to
[01:00:04.440 --> 01:00:07.800]   both be world class performance, but also
[01:00:08.680 --> 01:00:13.480]   Pretty easy to read so like feel free like take a look at it
[01:00:13.480 --> 01:00:16.400]   And if you want to know what's going on just ask on the forums
[01:00:16.400 --> 01:00:19.400]   And if you know if you think there's anything that could be
[01:00:19.400 --> 01:00:21.840]   clearer
[01:00:21.840 --> 01:00:23.840]   Let us know
[01:00:23.840 --> 01:00:28.880]   Because yeah, the code is definitely know we're going to be digging into the code more and more
[01:00:28.880 --> 01:00:36.580]   Okay, so let's try and improve this a little bit and let's start off by improving it in Excel
[01:00:38.040 --> 01:00:42.320]   So you might have noticed here that we've kind of got the idea that
[01:00:42.320 --> 01:00:44.880]   User 72
[01:00:44.880 --> 01:00:49.760]   You know like sci-fi modern movies with special effects, you know
[01:00:49.760 --> 01:00:55.520]   Whatever and movie number 27 is sci-fi and has special effects and not much dialogue
[01:00:55.520 --> 01:01:00.480]   but we're missing an important case, which is like
[01:01:01.400 --> 01:01:10.680]   User 72 is pretty enthusiastic on the whole and on average rates things highly highly, you know and movie
[01:01:10.680 --> 01:01:12.080]   27
[01:01:12.080 --> 01:01:14.320]   You know, it's just a popular movie
[01:01:14.320 --> 01:01:17.000]   You know which just on average it's higher
[01:01:17.000 --> 01:01:20.040]   so what we'd really like is to add a
[01:01:20.040 --> 01:01:24.880]   constant for the user and a constant for the movie and
[01:01:24.880 --> 01:01:28.280]   Remember in neural network terms we call that a bias
[01:01:28.880 --> 01:01:35.040]   That's we want to add a bias so we could easily do that and if we go into the bias tab here
[01:01:35.040 --> 01:01:38.560]   We've got the same data as before and we've got the same
[01:01:38.560 --> 01:01:44.000]   Latent factors as before and I've just got one extra
[01:01:44.000 --> 01:01:50.800]   Row here and one extra column here and you won't be surprised here that we now
[01:01:50.800 --> 01:01:55.440]   Take the same matrix multiplication as before and we add in
[01:01:56.160 --> 01:01:59.360]   that and we add in that
[01:01:59.360 --> 01:02:02.640]   Okay, so that's our bias
[01:02:02.640 --> 01:02:07.720]   So other than that we've got exactly the same loss function over here
[01:02:07.720 --> 01:02:16.600]   And so just like before we can now go ahead and solve that and now our changing variables include the
[01:02:16.600 --> 01:02:23.240]   bias and we can say solve and if we leave that for a little while it will come to a
[01:02:24.320 --> 01:02:26.600]   better result than we had before
[01:02:26.600 --> 01:02:35.000]   Okay, so that's the first thing we're going to do to improve our model and there's really very little show
[01:02:35.000 --> 01:02:38.360]   Just to
[01:02:38.360 --> 01:02:40.600]   Make the code a bit shorter
[01:02:40.600 --> 01:02:47.720]   I have to find a function called get embedding which takes a number of inputs and a number of factors
[01:02:47.720 --> 01:02:52.640]   so the number of rows and the embedding matrix and unposted with matrix creates the embedding and
[01:02:53.560 --> 01:02:55.040]   then
[01:02:55.040 --> 01:03:00.440]   Randomly initializes it. I don't know why I'm doing negative to positive here and it's zero last time
[01:03:00.440 --> 01:03:03.280]   Honestly, it doesn't matter much as long as it's in the right ballpark
[01:03:03.280 --> 01:03:06.780]   And then we return that initialized embedding
[01:03:06.780 --> 01:03:14.680]   So now we need not just our users by factors, which I'll chuck into u, our movies by factors
[01:03:14.680 --> 01:03:17.920]   Which I've chuck into m, but we also need users by 1
[01:03:18.440 --> 01:03:24.280]   Which we'll put into ub, user bias, and movies by 1 which we'll put into movie bias
[01:03:24.280 --> 01:03:27.360]   Okay, so this is just doing a list comprehension
[01:03:27.360 --> 01:03:32.800]   Going through each of the tuples creating embedding for each of them and putting them into these things
[01:03:32.800 --> 01:03:38.200]   Okay, so now our forward is exactly the same as before
[01:03:38.200 --> 01:03:47.280]   U times m dot sum and this is actually a little confusing because we're doing it in two two steps
[01:03:47.840 --> 01:03:51.300]   Maybe to make it a bit easier. Let's pull this out
[01:03:51.300 --> 01:03:54.240]   Put it up here
[01:03:54.240 --> 01:03:56.960]   Put this in parentheses
[01:03:56.960 --> 01:04:00.880]   Okay, so maybe that looks a little bit more familiar
[01:04:00.880 --> 01:04:07.840]   All right, u times n dot sum that's the same dot product and then here we're just going to add in our user bias and
[01:04:07.840 --> 01:04:10.040]   our movie bias
[01:04:10.040 --> 01:04:17.120]   Dot squeeze is the PyTorch thing that adds an additional
[01:04:17.480 --> 01:04:19.480]   unit axis on
[01:04:19.480 --> 01:04:23.040]   That's not going to make any sense if you haven't done broadcasting before
[01:04:23.040 --> 01:04:29.980]   I'm not going to do broadcasting in this course because we've already done it and we're doing it in the machine learning course
[01:04:29.980 --> 01:04:32.200]   But basically in short
[01:04:32.200 --> 01:04:37.260]   Broadcasting is what happens when you do something like this where um is a matrix
[01:04:37.260 --> 01:04:39.440]   ub
[01:04:39.440 --> 01:04:42.000]   Self dot ub uses is a is a vector
[01:04:42.000 --> 01:04:46.880]   How do you add a vector to a matrix and basically what it does?
[01:04:46.880 --> 01:04:48.880]   Is it duplicates?
[01:04:48.880 --> 01:04:50.400]   the vector
[01:04:50.400 --> 01:04:57.240]   So that it makes it the same size as the matrix and the particular way whether it duplicates it across columns or down rows
[01:04:57.240 --> 01:05:02.700]   Or how it does it is called broadcasting the broadcasting rules are the same as numpy
[01:05:02.700 --> 01:05:06.100]   PyTorch didn't actually used to support broadcasting
[01:05:06.100 --> 01:05:12.880]   So I was actually the guy who first added broadcasting to PyTorch using an ugly hack and then the PyTorch authors did an awesome job
[01:05:12.880 --> 01:05:15.920]   Of supporting it actually inside the language
[01:05:16.400 --> 01:05:21.000]   So now you can use the same broadcasting operations in PyTorch is numpy
[01:05:21.000 --> 01:05:26.540]   If you haven't dealt with this before it's really important to learn it
[01:05:26.540 --> 01:05:34.760]   Because like it's it's kind of the most important fundamental way to do computations quickly in numpy and PyTorch
[01:05:34.760 --> 01:05:37.100]   It's the thing that lets you not have to do loops
[01:05:37.100 --> 01:05:43.120]   Could you imagine here if I had to loop through every row of this matrix and add each you know?
[01:05:43.120 --> 01:05:47.640]   This back to the every row it would be slow it would be you know a lot more code
[01:05:47.640 --> 01:05:52.840]   And the idea of broadcasting it actually goes all the way back to
[01:05:52.840 --> 01:05:58.120]   APL which is a language designed in the 50s by an extraordinary guy called Ken Iverson
[01:05:58.120 --> 01:06:04.200]   APL was originally a designed or written out as a new type of mathematical notation
[01:06:04.200 --> 01:06:06.640]   He has this great essay called
[01:06:07.480 --> 01:06:14.320]   Notation as a tool for thought and the idea was that like really good notation could actually make you think of better things
[01:06:14.320 --> 01:06:22.960]   And part of that notation is this idea of broadcasting. I'm incredibly enthusiastic about it, and we're going to use it plenty
[01:06:22.960 --> 01:06:25.080]   so
[01:06:25.080 --> 01:06:29.360]   either watch the machine learning lesson or
[01:06:29.360 --> 01:06:32.760]   You know Google numpy broadcasting
[01:06:32.760 --> 01:06:35.360]   for information
[01:06:35.560 --> 01:06:43.160]   Anyway, so basically it works reasonably intuitively we can add on we can add the vectors to the matrix
[01:06:43.160 --> 01:06:47.400]   All right
[01:06:47.400 --> 01:06:55.840]   Having done that we're now going to do one more trick. Which is I think it was your net asked earlier about could we
[01:06:55.840 --> 01:07:00.200]   Squish the ratings to be between 1 and 5
[01:07:00.200 --> 01:07:03.360]   and the answer is
[01:07:03.360 --> 01:07:07.680]   We could right and specifically what we could do is
[01:07:07.680 --> 01:07:10.560]   we could
[01:07:10.560 --> 01:07:12.600]   Put it through a sigmoid function
[01:07:12.600 --> 01:07:17.000]   All right, so to remind you the sigmoid function
[01:07:17.000 --> 01:07:24.200]   Looks like that right and this is that's one
[01:07:24.200 --> 01:07:28.040]   All right, we could put it through a sigmoid function
[01:07:28.040 --> 01:07:34.360]   So we could take like 4.96 and put it through a sigmoid function and like that. You know that's kind of high
[01:07:34.360 --> 01:07:39.400]   So it kind of be over here somewhere right and then we could multiply that
[01:07:39.400 --> 01:07:42.600]   sigmoid like the result of that by 5
[01:07:42.600 --> 01:07:51.080]   For example right and in this case we want it to be between 1 and 5 right so maybe we might multiply it by 4 and
[01:07:51.080 --> 01:07:53.960]   Add 1 instance that's a basic idea
[01:07:54.680 --> 01:07:58.240]   And so here is that trick we take
[01:07:58.240 --> 01:08:05.720]   The result so the result is basically the thing that comes straight out of the dot product plus the addition of the biases
[01:08:05.720 --> 01:08:10.440]   And put it through a sigmoid function now in pytorch
[01:08:10.440 --> 01:08:16.520]   Basically all of the functions you can do the tensors are available
[01:08:16.520 --> 01:08:22.520]   Inside this thing called capital F, and this is like totally standard in pytorch
[01:08:23.040 --> 01:08:26.000]   It's actually called torch dot nn dot functional
[01:08:26.000 --> 01:08:32.220]   But everybody including all of the pytorch docs import torch dot nn dot functional as capital F
[01:08:32.220 --> 01:08:38.360]   Right so capital F dot sigmoid means a function called sigmoid that is coming from
[01:08:38.360 --> 01:08:40.560]   torches
[01:08:40.560 --> 01:08:45.520]   Functional module right and so that's going to apply a sigmoid function to the result
[01:08:45.520 --> 01:08:50.960]   So I've squished them all between 0 and 1 using that nice little shape, and then I can multiply that by
[01:08:52.040 --> 01:08:54.040]   5 minus 1 plus 4
[01:08:54.040 --> 01:08:59.560]   Right and then add on 1 and that's going to give me something between 1 and 5 okay, so
[01:08:59.560 --> 01:09:06.100]   Like there's no need to do this. I could comment it out, and it will still work right
[01:09:06.100 --> 01:09:10.560]   But now it has to come up with a set of calculations that are always between
[01:09:10.560 --> 01:09:15.960]   1 and 5 right where else if I leave this in then it's like makes it really easy
[01:09:15.960 --> 01:09:20.120]   It's basically like oh if you think this is a really good movie just calculate a really high number
[01:09:20.520 --> 01:09:25.140]   It's a really crappy movie cap a really low number, and I'll make sure it's in the right region
[01:09:25.140 --> 01:09:27.160]   So even though this isn't a neural network
[01:09:27.160 --> 01:09:32.100]   It's still a good example of this kind of like if you're doing any kind of parameter fitting
[01:09:32.100 --> 01:09:36.240]   Try and make it so that the thing that you want your function to return
[01:09:36.240 --> 01:09:42.320]   It's like it's easy for it to return that okay, so that's why we do that that function squishing
[01:09:42.320 --> 01:09:46.280]   So we call this embedding dot bias
[01:09:47.280 --> 01:09:50.960]   So we can create that in the same way as before you'll see here
[01:09:50.960 --> 01:09:57.400]   I'm calling dot CUDA to put it on the GPU because we're not using any learner stuff normally that'll happen for you
[01:09:57.400 --> 01:09:59.780]   But we have to manually say put it on the GPU
[01:09:59.780 --> 01:10:02.600]   This is the same as before create our optimizer
[01:10:02.600 --> 01:10:09.720]   Fit exactly the same as before and these numbers are looking good and again. We'll do a little
[01:10:10.760 --> 01:10:17.240]   Change to our learning rate and learning rate schedule, and we're down to 0.8. So we're actually pretty close
[01:10:17.240 --> 01:10:20.480]   pretty close
[01:10:20.480 --> 01:10:24.900]   So that's the key steps
[01:10:24.900 --> 01:10:28.080]   and
[01:10:28.080 --> 01:10:30.080]   This is how
[01:10:30.080 --> 01:10:32.720]   This is how most
[01:10:32.720 --> 01:10:35.360]   Collaborative filtering is done
[01:10:35.520 --> 01:10:40.840]   And you're not reminded me of an important point which is that this is not
[01:10:40.840 --> 01:10:50.200]   strictly speaking a matrix factor ization because strictly speaking a matrix factor ization would take that matrix by
[01:10:50.200 --> 01:10:52.760]   that matrix to create
[01:10:52.760 --> 01:10:55.560]   this matrix and
[01:10:55.560 --> 01:10:58.560]   remembering
[01:10:58.560 --> 01:11:04.360]   Anywhere that this is empty
[01:11:05.040 --> 01:11:07.040]   Like here or here
[01:11:07.040 --> 01:11:10.080]   We're putting in a zero
[01:11:10.080 --> 01:11:14.400]   Right we're saying if the original was empty put in a zero
[01:11:14.400 --> 01:11:16.880]   right now normally
[01:11:16.880 --> 01:11:23.440]   You can't do that with normal matrix factor ization normal matrix factor ization that creates the whole matrix
[01:11:23.440 --> 01:11:25.600]   And so it was a real problem actually
[01:11:25.600 --> 01:11:33.400]   When people used to try and use traditional linear algebra for this because when you have these sparse matrices like in practice
[01:11:33.720 --> 01:11:40.980]   This matrix is not doesn't have many gaps because we picked the users that watch the most movies and the movies that are the most
[01:11:40.980 --> 01:11:46.200]   Watched but if you look at the whole matrix, it's it's mainly empty and so traditional
[01:11:46.200 --> 01:11:52.440]   Techniques treated empty is zero and so like you basically have to predict a zero
[01:11:52.440 --> 01:11:57.740]   As if the fact that I haven't watched a movie means I don't like the movie that gives terrible answers
[01:11:57.740 --> 01:12:02.280]   So this probabilistic matrix factor ization approach
[01:12:02.880 --> 01:12:06.960]   takes advantage of the fact that our data structure
[01:12:06.960 --> 01:12:09.720]   Actually looks like this
[01:12:09.720 --> 01:12:16.000]   Rather than that cross tab right and so it's only calculating the loss for the user ID movie ID
[01:12:16.000 --> 01:12:21.880]   Combinations that actually appear that's exactly like user ID one movie ID one or two nine should be three
[01:12:21.880 --> 01:12:28.240]   It's actually three and a half so our loss is point five like there's nothing here. That's ever going to calculate a
[01:12:29.280 --> 01:12:33.680]   Prediction or a loss for a user movie combination that doesn't appear in this table
[01:12:33.680 --> 01:12:39.720]   By definition the only stuff that we can appear in a mini batch is what's in this table?
[01:12:39.720 --> 01:12:48.660]   And like a lot of this happened interestingly enough actually in the Netflix prize
[01:12:48.660 --> 01:12:52.320]   So before the Netflix prize came along
[01:12:52.320 --> 01:12:59.080]   This probabilistic matrix factor ization it had actually already been invented, but nobody noticed
[01:12:59.440 --> 01:13:01.960]   Alright, and then in the first year of the Netflix prize
[01:13:01.960 --> 01:13:08.040]   Someone wrote this like really really famous blog post where they basically said like hey check this out
[01:13:08.040 --> 01:13:15.560]   Incredibly simple technique works incredibly well and suddenly all the Netflix leaderboard entries work much much better
[01:13:15.560 --> 01:13:19.960]   And so you know that's quite a few years ago now, and this is like now
[01:13:19.960 --> 01:13:28.000]   Every collaborative filtering approach does this not every collaborative filtering approach adds this sigmoid thing by the way. It's not like
[01:13:29.000 --> 01:13:32.760]   Rocket science this is this is not like the NLP thing we saw last week
[01:13:32.760 --> 01:13:37.100]   Which is like hey, this is a new state-of-the-art like this is you know not particularly uncommon
[01:13:37.100 --> 01:13:42.600]   But there are still people that don't do this and it definitely helps a lot right to have this and so
[01:13:42.600 --> 01:13:51.400]   Actually you know what we could do is maybe now's a good time to have a look at the definition of this right so
[01:13:51.400 --> 01:13:54.360]   the column data
[01:13:54.360 --> 01:13:56.040]   module
[01:13:56.040 --> 01:13:58.040]   Contains all these definitions
[01:13:58.040 --> 01:14:04.560]   and we can now compare this to the thing we originally used which was
[01:14:04.560 --> 01:14:10.040]   Whatever came out of collab filter data set all right, so let's go to
[01:14:10.040 --> 01:14:13.560]   collab
[01:14:13.560 --> 01:14:17.640]   Filter data set here. It is and we called
[01:14:17.640 --> 01:14:25.440]   Get learner right so we can go down to get learner and that created a collab filter learner
[01:14:25.800 --> 01:14:33.160]   passing in the model from get model is get model, so it created an embedding bias and
[01:14:33.160 --> 01:14:37.080]   So here is embedding bias and
[01:14:37.080 --> 01:14:43.040]   You can see here here. It is like. It's the same thing. There's the embedding for each of the things
[01:14:43.040 --> 01:14:47.880]   Here's our forward that does the u times I dot sum
[01:14:47.880 --> 01:14:49.960]   plus plus
[01:14:49.960 --> 01:14:51.960]   sigmoid so in fact
[01:14:51.960 --> 01:14:53.960]   We have just actually rebuilt
[01:14:54.680 --> 01:14:56.840]   What's in the fast AI library literally?
[01:14:56.840 --> 01:15:05.240]   It's a little shorter and easier because we're taking advantage of the fact that there's a special
[01:15:05.240 --> 01:15:08.360]   collaborative filtering data set
[01:15:08.360 --> 01:15:14.360]   So we can actually we're getting passed in the users and the items and we don't have to pull them out of cats and cunts
[01:15:14.360 --> 01:15:17.440]   But other than that this is exactly the same
[01:15:17.440 --> 01:15:23.120]   So hopefully you can see like the fast AI library is not some inscrutable code containing concepts
[01:15:23.120 --> 01:15:28.480]   You can never understand. We've actually just built up this entire thing from scratch ourselves
[01:15:28.480 --> 01:15:31.640]   And so why did we get?
[01:15:31.640 --> 01:15:35.720]   0.76 rather than 0.8
[01:15:35.720 --> 01:15:45.160]   You know I think it's simply because we used stochastic gradient descent with restarts and a cycle multiplier and an atom optimizer
[01:15:45.160 --> 01:15:47.160]   You know like a few little
[01:15:47.160 --> 01:15:49.280]   training tricks
[01:15:50.440 --> 01:15:57.800]   So I'm looking at this and thinking that is we could totally improve this model, but maybe
[01:15:57.800 --> 01:16:04.400]   Looking at the date and doing some tricks with the date. Yes, this is kind of a just a regular
[01:16:04.400 --> 01:16:11.760]   Kind of model in a way. Yeah, you can add more features. Yeah, it's actually exactly so like now that you've seen this
[01:16:11.760 --> 01:16:15.320]   You could now you know even if you didn't have
[01:16:16.200 --> 01:16:22.440]   embedding bias in a notebook that you've written yourself some other model that's in fast AI you could look at it in fast AI and
[01:16:22.440 --> 01:16:28.680]   Be like oh that does most of the things that I'd want to do, but it doesn't deal with time and so you could just go
[01:16:28.680 --> 01:16:33.560]   Oh, okay. Let's grab it. Copy it. You know pop it into my notebook and
[01:16:33.560 --> 01:16:36.920]   Let's create you know the better version
[01:16:36.920 --> 01:16:41.920]   Right, and then you can start playing that and you can now create your own
[01:16:41.920 --> 01:16:45.040]   model plus
[01:16:45.040 --> 01:16:48.080]   from the open source code here, and so
[01:16:48.080 --> 01:16:53.980]   Yeah, you're that's mentioning a couple things we could do we could try incorporating time stamps, so we could assume that maybe
[01:16:53.980 --> 01:16:57.000]   Well, maybe there's just like some
[01:16:57.000 --> 01:17:02.640]   For a particular user over time users tend to get more or less positive about movies
[01:17:02.640 --> 01:17:09.600]   Also remember there was the list of genres for each movie. Maybe we could incorporate that
[01:17:09.600 --> 01:17:14.640]   So one problem is it's a little bit difficult to incorporate that stuff
[01:17:15.600 --> 01:17:22.320]   Into this embedding dot bias model because it's kind of it's pretty custom right so what we're going to do next is
[01:17:22.320 --> 01:17:24.320]   we're going to try to create a
[01:17:24.320 --> 01:17:27.840]   neural net version of this
[01:17:27.840 --> 01:17:32.000]   So the basic idea here is
[01:17:32.000 --> 01:17:35.440]   We're going to
[01:17:35.440 --> 01:17:38.720]   Take exactly the same thing as we had before here's our list of users
[01:17:38.720 --> 01:17:41.520]   right and here is
[01:17:41.520 --> 01:17:43.840]   our embeddings
[01:17:43.840 --> 01:17:46.440]   All right, and here's our list of movies and
[01:17:46.440 --> 01:17:49.200]   here is our
[01:17:49.200 --> 01:17:52.600]   Embeddings right and so as you can see I've just kind of transposed
[01:17:52.600 --> 01:17:57.120]   The movie ones so that so that they're all in the same orientation
[01:17:57.120 --> 01:18:00.680]   And here is our user movie rating
[01:18:00.680 --> 01:18:07.360]   But D cross tab okay, so in the original format so each row is a user movie rating
[01:18:07.360 --> 01:18:09.680]   Okay
[01:18:09.680 --> 01:18:13.200]   So the first thing I do is I need to replace
[01:18:14.000 --> 01:18:16.000]   user 14
[01:18:16.000 --> 01:18:18.040]   with that users
[01:18:18.040 --> 01:18:25.400]   Contiguous index right and so I can do that in Excel using this match that basically says
[01:18:25.400 --> 01:18:29.320]   What you know how far down this list you have to go and it said
[01:18:29.320 --> 01:18:32.880]   User 14 was the first thing in that list
[01:18:32.880 --> 01:18:37.920]   Okay user 29 was the second thing that list so forth okay?
[01:18:37.920 --> 01:18:41.400]   So this is the same as that thing that we did
[01:18:42.040 --> 01:18:46.640]   In our Python code where we basically created a dictionary to map this stuff
[01:18:46.640 --> 01:18:51.540]   So now we can for this particular user movie rating
[01:18:51.540 --> 01:18:54.640]   Combination we can look up
[01:18:54.640 --> 01:18:56.960]   the appropriate embedding
[01:18:56.960 --> 01:19:04.000]   Right and so you can see here what it's doing is it saying all right. Let's basically offset
[01:19:04.000 --> 01:19:06.920]   from the start of this list
[01:19:07.720 --> 01:19:12.200]   And the number of rows we're going to go down is equal to the user index and the number of columns
[01:19:12.200 --> 01:19:13.960]   We're going to go across is
[01:19:13.960 --> 01:19:19.960]   One two three four five okay, and so you can see what it does is it creates point one nine point six three point three one
[01:19:19.960 --> 01:19:24.080]   Here it is point one nine, okay, so so this is literally
[01:19:24.080 --> 01:19:27.280]   modern embedding does but remember
[01:19:27.280 --> 01:19:30.120]   This is exactly the same as
[01:19:30.120 --> 01:19:32.200]   doing a
[01:19:32.200 --> 01:19:36.480]   one hot encoding right because if instead this was a
[01:19:37.280 --> 01:19:44.440]   Vector containing one zero zero zero zero zero right, and we multiplied that by this matrix
[01:19:44.440 --> 01:19:49.960]   Then the only row it's going to return would be the first one okay, so
[01:19:49.960 --> 01:19:54.000]   So it's really useful to remember that embedding
[01:19:54.000 --> 01:19:56.680]   Actually just is a matrix product
[01:19:56.680 --> 01:20:03.200]   The only reason it exists the only reason it exists is because this is an optimization
[01:20:03.200 --> 01:20:08.480]   You know this lets PyTorch know like okay. This is just a matrix multiply
[01:20:08.480 --> 01:20:13.360]   But I guarantee you that you know this thing is one hot encoded
[01:20:13.360 --> 01:20:17.540]   Therefore you don't have to actually do the matrix multiply you can just do a direct look up
[01:20:17.540 --> 01:20:22.960]   Okay, so that's literally all an embedding is is it is a computational?
[01:20:22.960 --> 01:20:31.320]   Performance thing for a particular kind of matrix multiply all right so that looks up that uses user
[01:20:31.320 --> 01:20:36.880]   And then we can look up that uses movie all right, so here is movie ID
[01:20:36.880 --> 01:20:39.360]   movie ID
[01:20:39.360 --> 01:20:46.200]   417 which apparently is index number 14 here. It is here, so it should have been point seven five point four seven
[01:20:46.200 --> 01:20:53.120]   Yes, it is point seven five point four seven, okay, so we've now got the user embedding and the movie embedding
[01:20:53.120 --> 01:20:55.800]   and rather than doing a
[01:20:55.800 --> 01:20:58.880]   dot product of
[01:20:59.440 --> 01:21:01.440]   those two
[01:21:01.440 --> 01:21:03.920]   Right which is what we do normally?
[01:21:03.920 --> 01:21:12.660]   Instead what if we can catenate the two together into a single vector of length?
[01:21:12.660 --> 01:21:17.400]   Ten and then feed that into a neural net
[01:21:17.400 --> 01:21:23.280]   Right and so anytime we've got you know a
[01:21:23.280 --> 01:21:28.680]   tensor of input activations or in this case a tensor of
[01:21:29.320 --> 01:21:32.840]   Actually, this is a tensor of output activations. This is coming out of an embedding layer
[01:21:32.840 --> 01:21:39.040]   We can chuck it in a neural net because neural nets we now know can calculate
[01:21:39.040 --> 01:21:44.960]   Anything okay including hopefully collaborative filtering, so let's try that
[01:21:44.960 --> 01:21:48.600]   So here is our embedding net
[01:21:48.600 --> 01:21:51.880]   so
[01:21:51.880 --> 01:21:56.040]   This time I have not bothered to create a separate
[01:21:57.840 --> 01:21:59.520]   bias
[01:21:59.520 --> 01:22:01.760]   because instead the
[01:22:01.760 --> 01:22:08.960]   Linear layer in PyTorch already has a bias in it right so when we go
[01:22:08.960 --> 01:22:11.280]   nn.linear
[01:22:11.280 --> 01:22:13.280]   right
[01:22:13.280 --> 01:22:16.480]   Let's kind of draw this out
[01:22:16.480 --> 01:22:20.520]   So we've got our
[01:22:20.520 --> 01:22:27.320]   U matrix right and this is the number of users and this is the
[01:22:28.040 --> 01:22:29.760]   number of factors
[01:22:29.760 --> 01:22:32.480]   Right and we've got our M matrix
[01:22:32.480 --> 01:22:43.240]   All right, so here's our number of movies and here's our again number of factors all right, and so remember we look up a
[01:22:43.240 --> 01:22:48.440]   Single user
[01:22:48.440 --> 01:22:53.960]   We look up a single movie and let's grab them and concatenate them together
