
[00:00:00.000 --> 00:00:16.480]   Welcome, everyone, to the 83rd edition of Bogleheads on Investing.
[00:59:38.040 --> 00:59:40.040]   Thanks for listening.
[00:59:40.040 --> 00:59:41.040]   Thank you.
[00:59:41.040 --> 00:59:42.040]   Thank you.
[00:59:42.040 --> 00:59:43.040]   Thank you.
[00:59:43.040 --> 00:59:44.040]   Thank you.
[00:59:44.040 --> 00:59:45.040]   Thank you.
[00:59:45.040 --> 00:59:46.040]   Thank you.
[00:59:46.040 --> 00:59:46.540]   you
[00:59:46.540 --> 00:59:47.040]   you
[00:59:47.040 --> 00:59:47.540]   you
[00:59:47.540 --> 00:59:48.040]   you
[00:59:48.040 --> 00:59:48.540]   you

