
[00:00:00.000 --> 00:00:09.340]   i guess not let me also share this on the discord how do we invite folks there's a lot of people
[01:08:04.160 --> 01:08:12.880]   highlighted paper just read it understand it and yeah okay take eugene's time asking about semantic ids
[01:08:15.440 --> 01:08:19.280]   yeah and we can we can also go through more of the paper if you want i know i haven't
[01:08:19.280 --> 01:08:27.760]   gone through as much of it as i should but it's actually the the answer is there and uh the the
[01:08:27.760 --> 01:08:32.400]   results replication is very similar to show you have a hand raised hey eugene uh so while you're
[01:08:32.400 --> 01:08:37.040]   implementing this right uh were there anything was there anything from the paper that you could not
[01:08:37.040 --> 01:08:52.480]   replicate which you had tried uh i think it took me a lot of time to try to train a good rqvae um
[01:08:52.480 --> 01:08:59.360]   then that's why i i spent so much time on it so essentially to train an rqvae you see that i
[01:08:59.360 --> 01:09:06.640]   have so many experiments right gradient i i did crazy things stop gradient to decoder um gradient clipping
[01:09:07.600 --> 01:09:14.720]   and a lot of it failed um i even tried like there was this thing called um exponential moving average
[01:09:14.720 --> 01:09:22.960]   to learn the rqvae code books like it has great uh unique id unique ids right um but it's just
[01:09:22.960 --> 01:09:30.400]   not able to learn you can see that the loss is very bad um and and that was because i was new to this so
[01:09:30.400 --> 01:09:38.080]   you can see that the loss uh actually if we if we zoom in on only those after 2000 you can see that
[01:09:38.080 --> 01:09:44.640]   we see zotero oh shoot you only see zotero oh thank you i should share my desktop thank you for
[01:09:44.640 --> 01:09:50.240]   so you can see i i tried some crazy things like this exponential exponential moving average approach
[01:09:50.240 --> 01:09:55.360]   to update my code books so you can see um this the purple line is the exponential moving
[01:09:55.360 --> 01:10:02.000]   average you can see the loss is very high um and it just doesn't work as well uh like gradient
[01:10:02.000 --> 01:10:06.960]   clipping the rotation trick uh figure out the right batch size is what the what the right weight is what
[01:10:06.960 --> 01:10:13.360]   the clean data is so this took me several experiments and i that was after even deleting the experiments
[01:10:13.360 --> 01:10:19.040]   that just don't make sense to save whereas the recommendation part i just needed two experiments
[01:10:19.040 --> 01:10:26.080]   you can see yes even though that the recommendation loss is uh the hit rate and ndcg is not close to the
[01:10:26.080 --> 01:10:32.880]   sastrack one the intent was never to that the intent was can i can a sastrack actually learn on this
[01:10:32.880 --> 01:10:40.000]   sequence of four tokens and very quickly you find that yes it can learn and then that's when i okay now
[01:10:40.000 --> 01:10:48.960]   let's not train a sastrack from scratch let's train a um let's fine tune a quen model from scratch and
[01:10:48.960 --> 01:10:54.640]   this was not part of the paper this was just uh for my own learning you can see the paper uses all these
[01:10:54.640 --> 01:11:04.720]   uh recommendation models but yeah that's it and uh because i'm also planning to train an rqva is there
[01:11:04.720 --> 01:11:10.240]   some uh good places i can start with i remember this uh there should be some official report for
[01:11:10.240 --> 01:11:17.840]   that on github if i'm not wrong i remember seeing that a while back uh i well i wish there
[01:11:17.840 --> 01:11:27.680]   was but i definitely didn't come across that um but what i would recommend is essentially this is my
[01:11:27.680 --> 01:11:33.520]   recommendation uh is very great for learning especially now with things like clock code
[01:11:33.520 --> 01:11:39.360]   to try to code this out from scratch uh you really learn the nitty-gritty things right about how
[01:11:39.360 --> 01:11:48.000]   that code is actually represented uh s and and yeah you're i think colette was right i was using euclidean
[01:11:48.000 --> 01:11:53.600]   distance uh and this is the distance i was computing so but yeah i don't know maybe there's a better
[01:11:53.600 --> 01:11:59.760]   distance i i certainly haven't gone as far down the road i just took the the default implementation and
[01:11:59.760 --> 01:12:07.440]   just followed it makes sense thanks for answering the questions eugene you're welcome eugene quick
[01:12:07.440 --> 01:12:20.000]   question on your highlighting what does red and green mean um so over here so green means good right like
[01:12:20.000 --> 01:12:25.840]   these are the benefits training allows knowledge sharing atomic item ideas and then red is the
[01:12:25.840 --> 01:12:31.440]   downsides right essentially we are considering a new technique what a downside so with the regular sas
[01:12:31.440 --> 01:12:36.160]   right if i had to train a regular sas right and i had a billion products my embedding table would be a
[01:12:36.160 --> 01:12:45.120]   billion products but if i had two five six with the power of with just a four level code book two five six
[01:12:45.120 --> 01:12:52.800]   four four four levels i can represent four billion products and that's just one oh two four embeddings
[01:12:52.800 --> 01:13:00.000]   right so instead of a billion embeddings i uh yeah yeah a billion level embedding table i just need a
[01:13:00.000 --> 01:13:08.320]   thousand level embedding table and that saves you a lot of uh compute i see thank you thank you you're
[01:13:08.320 --> 01:13:13.120]   welcome kishore has a hand raised i assume kishore has asked his question frankie you have a hand raised
[01:13:13.120 --> 01:13:18.640]   uh yeah so i think it's similar to what you just spoke about i had a question about if you do the two
[01:13:18.640 --> 01:13:23.760]   tower one you have two encoders and they're trying to like create this embedding that approximates whatever
[01:13:23.760 --> 01:13:30.800]   query and item so it creates an embedding and i can't so i think you tried to explain a little bit just
[01:13:30.800 --> 01:13:37.600]   now but i try to understand why is that embedding worse than this one that's creating by you know
[01:13:37.600 --> 01:13:43.680]   whatever your quantization steps right then the betting is not worse i think the embedding is probably
[01:13:43.680 --> 01:13:50.720]   just as good or even better but there will be a lot of those embeddings so imagine if we had a billion
[01:13:50.720 --> 01:13:56.800]   products we will need a billion embeddings one for each product right but with semantic ids
[01:13:57.680 --> 01:14:04.640]   if i have um if i have a four level code book because each code book can represent two five and
[01:14:04.640 --> 01:14:10.480]   assume each code book can represent two five can you see my raycast yes so imagine each code book
[01:14:10.480 --> 01:14:16.160]   can represent two five six right and then the combination all the auto permutations of this
[01:14:16.160 --> 01:14:22.240]   codebook is actually four billion now i don't have a i don't need a billion products i just need
[01:14:23.840 --> 01:14:28.000]   two five six times four i don't need a billion embeddings i just need two five six times four
[01:14:28.000 --> 01:14:36.240]   embeddings so in some sense i kind of think of it as a better encoding of what it is right so you're
[01:14:36.240 --> 01:14:41.120]   saying that i can more economically compress more economically compress yeah i think economically
[01:14:41.120 --> 01:14:48.560]   compress is the right term so and and the reason is because at least in my so in the paper
[01:14:49.920 --> 01:14:56.000]   in the paper they showed that um using their generative retrieval they were able to achieve
[01:14:56.000 --> 01:15:01.840]   better results that's not something that i was able to replicate um and also because their data
[01:15:01.840 --> 01:15:09.040]   sets are actually kind of small the other size is actually very small all right you can see that
[01:15:09.040 --> 01:15:16.640]   their data sets is like very few items um i deliberately chose a data set that was much bigger
[01:15:16.640 --> 01:15:21.120]   and maybe with a bigger this i again i don't know how this would scale with a much bigger data set my
[01:15:21.120 --> 01:15:26.480]   data is at least 4x bigger than their largest data set and actually want to scale this to million level
[01:15:26.480 --> 01:15:32.800]   data sets right uh so i haven't that's one thing i haven't been able to replicate but again you can see
[01:15:32.800 --> 01:15:42.480]   here that um it's it's not stupid this idea is the model even a regular substrat is able to learn
[01:15:42.480 --> 01:15:43.920]   on this sequence of token ids
[01:15:43.920 --> 01:15:57.120]   yeah any other questions uh how are you sorry the hand raising function seems like very me i just asked
[01:15:57.120 --> 01:16:05.440]   directly okay so i'm curious that for the suspect models and the crane model that you fine tuned have
[01:16:05.440 --> 01:16:12.560]   you compared the performance of those in terms of uh next uh cement handy recommendation
[01:16:13.760 --> 01:16:24.080]   so obviously the sasrack model is way better um the the quen model is not as good um but the purpose of
[01:16:24.080 --> 01:16:32.080]   the quen model is not to be better than the sasrack model right the purpose of the quen model is to
[01:16:32.080 --> 01:16:40.160]   train to have this new capability whereby users can
[01:16:40.160 --> 01:16:50.800]   shape their recommendations essentially you can imagine this like chat right let's say okay
[01:16:50.800 --> 01:16:59.520]   it's the convergence of chat it's the convergence of recommendation systems search and chat
[01:16:59.520 --> 01:17:09.920]   that is the intent in the sense that it's have more general interface than than the suspect that
[01:17:09.920 --> 01:17:16.400]   that mostly like the commandless semantic id in this case i think if you will build a chat model
[01:17:16.400 --> 01:17:25.920]   then this cram model could be helpful uh yeah yeah so flow has a great question um what is this model
[01:17:25.920 --> 01:17:31.680]   param size so um let's look at it
[01:17:31.680 --> 01:17:38.080]   do i have logs please tell me i have logs yes i do have logs fantastic
[01:17:39.280 --> 01:17:43.440]   usually you're not sharing your skin again yeah i'm showing my screen now uh okay so you can see
[01:17:43.440 --> 01:17:49.840]   this is the regular sasrack model um you can see we have these users and this is a total parameter
[01:17:49.840 --> 01:17:58.880]   size it's only a one million parameter model right and then when we train it on and then for the larger
[01:17:58.880 --> 01:18:02.880]   sasrack model which is the one with the tokens um
[01:18:08.880 --> 01:18:17.120]   oh it's a seven million parameter model yeah so yeah it's whereas quen is like 8b
[01:18:17.120 --> 01:18:22.880]   so yeah it's a lot smaller but you know for recommendation systems models where you're just
[01:18:22.880 --> 01:18:27.600]   predicting an express token you don't need something so big there's there's no benefit from additional
[01:18:27.600 --> 01:18:29.760]   depth in your transformer model
[01:18:36.960 --> 01:18:41.760]   okay okay i guess the questions are drying up okay so that's it then thank you for staying
[01:18:41.760 --> 01:18:54.800]   oh this is me yes so the semantics id uh is it uh only four uh level four digits
[01:18:54.800 --> 01:19:02.080]   in my use case i only use four digits but you can imagine this to be any you can make it eight levels
[01:19:02.640 --> 01:19:08.400]   at every code book level you can have more code books more code words in my case every couple
[01:19:08.400 --> 01:19:17.520]   levels are in 256 so you can have it as wide and as deep as you want okay and again how to decide that
[01:19:17.520 --> 01:19:24.800]   is very very difficult uh because there is if you know of a way please share me i don't know of a way
[01:19:25.360 --> 01:19:31.680]   that i can assess if my sas track is good or not no i don't know of a way where i can assess if my
[01:19:31.680 --> 01:19:41.520]   model is good or not my rqvae the value of my model is actually the value of what it does downstream
[01:19:43.600 --> 01:19:51.760]   um so that is tricky so i have i have some rqvae run analysis so essentially with all the different
[01:19:51.760 --> 01:19:57.200]   ways like what the different unique ids are so essentially eventually what i did is i prioritize
[01:19:57.200 --> 01:20:03.520]   validation loss and the proportion of unique ids um and also not too many tokens because that makes
[01:20:03.520 --> 01:20:10.480]   real-time generation uh in the chat format if you have like if your if your semantic id is like 32 tokens
[01:20:10.480 --> 01:20:15.600]   long then in order to return the product you need 32 tokens which is not very efficient so i just chose
[01:20:15.600 --> 01:20:25.120]   to have four tokens long uh yeah i think there are other ways uh you know to measure that you mentioned
[01:20:25.120 --> 01:20:35.520]   two of them um but um you can also look at the perplexity or code book like token efficiency
[01:20:37.360 --> 01:20:45.440]   and uh what does that mean like uh how many tokens are needed to achieve uh good performance in your
[01:20:45.440 --> 01:20:53.600]   opinion but but what is the depth measurement of good performance then yes uh you there are some
[01:20:53.600 --> 01:21:06.800]   practical uh characteristics uh like scalability um can you uh add more data and uh you see it's able to
[01:21:06.800 --> 01:21:20.560]   to handle that um and uh how like inference latency how long will it uh take to uh to try um you know
[01:21:20.560 --> 01:21:28.320]   to see what are the recommendations yeah in first latency i think it's a function of the codebook depth
[01:21:28.320 --> 01:21:35.440]   right so with more with more code books more code levels required you have you need more tokens which is
[01:21:35.440 --> 01:21:50.240]   in first latency yeah okay sorry someone else uh it was not a question i remember seeing in a paper where
[01:21:50.240 --> 01:21:56.960]   um they evaluated uh the code words which they learned i think they did something like uh a visualization
[01:21:56.960 --> 01:22:04.880]   where they could get the taxonomy and they showed that uh each taxonomy made sense where each uh the code word
[01:22:04.880 --> 01:22:10.720]   and then below that all the sub code words were i guess something more like categories and subcategories
[01:22:10.720 --> 01:22:15.680]   i don't know if it was the same paper we showed that maybe it's the same paper it's the same paper yeah
[01:22:15.680 --> 01:22:21.920]   they they talk about it um whereby yeah it's over here they what they try to what this visualization shows
[01:22:21.920 --> 01:22:29.440]   is that our semantic ideas have meaning right so it tries to show that okay you know this is how is that
[01:22:29.440 --> 01:22:35.760]   like how do you interpret it etc um but for me i don't really need them to have meaning it's okay to have
[01:22:35.760 --> 01:22:43.440]   a meaning that i don't understand so long as it performs well on my downstream task of blending language
[01:22:43.440 --> 01:22:48.320]   and recommendations together so you can see over here uh this is like the amazing spider-man right
[01:22:48.320 --> 01:22:58.160]   mario like products i guess it equates it to nintendo like products donkey kong zelda donkey kong um yeah
[01:22:58.160 --> 01:23:01.040]   so i don't let me try a playstation
[01:23:01.040 --> 01:23:09.120]   playstation products for spider-man what comes out last of us playstation 3 last of us metal gear solid
[01:23:09.120 --> 01:23:16.160]   position so essentially i think this is what is interesting to me uh evaluating at that level will
[01:23:16.160 --> 01:23:21.600]   kind of act like a unit test for the rqva right because evaluation at this level in the downstream
[01:23:21.600 --> 01:23:28.640]   it could also be that maybe your recommendation model is bad maybe but exactly right exactly yeah so but
[01:23:28.640 --> 01:23:34.480]   the thing is this thing this visualization they had over here is very very difficult to do you have to
[01:23:34.480 --> 01:23:39.360]   to look at it you have to try to find you have to try to find the metadata to map to it and then try
[01:23:39.360 --> 01:23:43.760]   to look at it right but it's very challenging like how do you measure what is a good distribution
[01:23:43.760 --> 01:23:49.200]   i guess you can measure kl divergence or you can measure uh you have good measures of distribution
[01:23:49.200 --> 01:23:55.600]   but it's it's really challenging do you think we could initialize the code word so some categories
[01:23:55.600 --> 01:24:02.080]   you have internally for your own products and use that maybe i don't know i think i honestly i don't
[01:24:02.080 --> 01:24:10.480]   know i think it might be hard yeah vipu you have a question i'm curious in your model if you tried um
[01:24:10.480 --> 01:24:19.280]   instead of passing in semantic ids and uh like natural language query if you pass in just a natural
[01:24:19.280 --> 01:24:25.600]   language question does it predict your semantic ids properly so like if you know you have a query for
[01:24:25.600 --> 01:24:32.000]   zelda um you know if you just ask it like what is a game with a princess and a guy link and this and
[01:24:32.000 --> 01:24:38.000]   that uh can you get it to start outputting semantic ids right as opposed like and let's say like you're
[01:24:38.000 --> 01:24:42.640]   really prompted right like normally you would expect the llm it's still based on llm backbone it would
[01:24:42.640 --> 01:24:48.640]   predict uh the it would just use normal text right like it would say the word the legend of zelda but if
[01:24:48.640 --> 01:24:54.160]   you know if you feel short prompt it and you tell like you know you must answer with a semantic id so
[01:24:54.160 --> 01:25:00.320]   right now it's using i just finished the amazing spider-man recommending our product that's
[01:25:00.320 --> 01:25:05.280]   wow this is this is insane to me it's like
[01:25:05.280 --> 01:25:12.880]   this is really i don't know where the limits of this i think it's not very smart so clearly let's just
[01:25:12.880 --> 01:25:17.840]   say firstly it's not very smart the recommendations are not very good but the fact that you can do this
[01:25:17.840 --> 01:25:20.960]   and it can return you semantic ids that are in your catalog
[01:25:20.960 --> 01:25:30.160]   my god i mean i think there's also like there's the other side of just
[01:25:30.160 --> 01:25:38.080]   naive overfitting right if i do this training if i just have like regular sft and start adding tokens
[01:25:38.080 --> 01:25:43.680]   the model will use them right the value exactly exactly proper embedding understanding what is
[01:25:43.680 --> 01:25:51.120]   the new deal can see mass effect i don't know okay i mean that shows how old i am i just finished um
[01:25:51.120 --> 01:25:56.160]   elden ring oh elden ring okay
[01:25:56.160 --> 01:26:06.640]   i don't know i i honestly don't i honestly i'm not able to so firstly this is a gaming desk i don't know if
[01:26:06.640 --> 01:26:12.160]   this is a good game but at least it's like same level of maturity it's not like i think
[01:26:12.160 --> 01:26:20.000]   the fun little evals you can do here to test if these are learned is like you have expectation
[01:26:20.000 --> 01:26:25.760]   correlation right so like if you finish a souls game will it recommend you the next one right
[01:26:25.760 --> 01:26:30.960]   like before elden ring or if you do like civilization four will it recommend civilization five right
[01:26:33.280 --> 01:26:36.000]   i don't even know if civilization four is in the data
[01:26:36.000 --> 01:26:44.240]   well i actually don't know it sounds sounds bad to me but yeah but it's it's interesting nonetheless
[01:26:44.240 --> 01:26:48.160]   and then i'm curious like can you just use it as a chat model like if you just say like you know
[01:26:48.160 --> 01:27:00.160]   what's the weather in new york and july does it output games
[01:27:00.160 --> 01:27:11.280]   wow uh so firstly hallucination but second it maintains english language and and thirdly the uh the pavement's
[01:27:11.280 --> 01:27:21.440]   it's melting oh yeah i don't know 75 celsius they're so good all right okay now here's a crazy test i like sci-fi
[01:27:23.280 --> 01:27:33.280]   and action games
[01:27:33.280 --> 01:27:45.680]   i am not able to evaluate this because i don't know about this game but fantasy and let's say a cute
[01:27:49.600 --> 01:27:55.280]   sounds bad ask it about like a niche game that not many people have played you know
[01:27:55.280 --> 01:27:58.240]   and then we see if people have played the game
[01:27:58.240 --> 01:28:08.160]   yeah i don't know i like animal crossing again this data set is very old so
[01:28:08.160 --> 01:28:15.680]   but you can see it's like now you can talk to it and you can return you things that are in the catalog
[01:28:16.320 --> 01:28:21.920]   so ted you have a henry i don't think this is important but since you're just playing around
[01:28:21.920 --> 01:28:26.960]   one of the things when i do these kinds of things is i like to take the recommendation and then just
[01:28:26.960 --> 01:28:30.160]   flip it to see whether it sends me back to the
[01:28:30.160 --> 01:28:35.840]   the same right so sometimes you get like a pair that just go back and forth or you get a ring
[01:28:35.840 --> 01:28:41.200]   but if it doesn't if it's just kind of doing a random walk that's usually a bad sign does that make
[01:28:41.200 --> 01:28:45.120]   sense yeah it makes sense let's try this super mario bros recommend me another game
[01:28:45.120 --> 01:28:50.720]   okay user has done super mario bros
[01:28:50.720 --> 01:28:53.840]   let's do this
[01:28:53.840 --> 01:28:56.560]   ghost squad
[01:29:02.000 --> 01:29:03.280]   returns you exactly the same thing
[01:29:03.280 --> 01:29:10.080]   ghost squad is in the tractor yeah it's like a black hole that
[01:29:10.080 --> 01:29:15.440]   i think i like this time but but you can try this
[01:29:15.440 --> 01:29:18.800]   ghost squad to splinter cell and just see if you wow
[01:29:18.800 --> 01:29:22.960]   is ghost squad part of splinter cell
[01:29:26.800 --> 01:29:33.360]   yeah it could be very interesting i actually have no idea how this model is learning
[01:29:33.360 --> 01:29:42.560]   i feel like it would be fun to do one of these and interpret it with
[01:29:42.560 --> 01:29:50.000]   more like familiar categories and so you can see splinter cell to rainbow six yeah and then the next thing is
[01:29:51.200 --> 01:29:53.440]   clearly the obvious next thing to do here is
[01:29:53.440 --> 01:30:01.360]   mac and third thank you once you have a model that you have access to the weights thing but all
[01:30:01.360 --> 01:30:05.280]   right i'll create some binary probes for you for some linear probes for your model
[01:30:05.280 --> 01:30:13.360]   um so i yeah i hope to release this soon like at least the model weights um and then for example it
[01:30:13.360 --> 01:30:19.200]   will be done but it's just a fun idea that i've been brewing for a while thank you everyone
[01:30:19.200 --> 01:30:26.800]   we're half an hour past half an hour past this is very very interesting eugene uh as i said if
[01:30:26.800 --> 01:30:34.000]   there is a chance that we can discuss i have a lot of ideas for the vector quantization and
[01:30:34.000 --> 01:30:42.480]   also thank you some measures of that feel free to put in a just put in the lm paper club chat and
[01:30:42.480 --> 01:30:48.000]   and just pick and just tag me and then we can just chat there okay thank you everyone this was
[01:30:48.000 --> 01:30:53.520]   thank you thank you uh stop the video uh it's the okay the recording issues stop on its own right
[01:30:53.520 --> 01:30:57.120]   it does yep okay i'll stop okay take care
[01:30:57.120 --> 01:31:01.120]   thank you see you guys next week

