
[00:00:00.000 --> 00:00:07.400]   All right. Welcome everyone.
[00:41:42.300 --> 00:41:44.620]   If I'm gonna have to wait that long.
[00:41:44.620 --> 00:41:46.540]   And then if you look to splayed,
[00:41:46.540 --> 00:41:50.180]   so splayed is below Colbert v2 small,
[00:41:50.180 --> 00:41:57.780]   but its latency is a quarter or something of the Colbert v2 small.
[00:41:57.780 --> 00:42:01.380]   So maybe you care more about that and not so much about the success.
[00:42:01.380 --> 00:42:03.780]   And then if you compare these two splayed, right,
[00:42:03.780 --> 00:42:05.540]   they have the same performance.
[00:42:05.540 --> 00:42:09.580]   But if you just jack up the hardware a little bit,
[00:42:09.580 --> 00:42:13.140]   then you get much lower latency.
[00:42:13.140 --> 00:42:16.660]   But look how much the price went up.
[00:42:16.660 --> 00:42:20.420]   It went up for all of them with this heavy duty hardware.
[00:42:20.420 --> 00:42:22.500]   Uh, yeah.
[00:42:22.500 --> 00:42:25.020]   So this is the space that you're actually operating in.
[00:42:25.020 --> 00:42:29.940]   I'll- we'll talk later about how we might more systematically integrate all these scores.
[00:42:29.940 --> 00:42:33.860]   I think this is enough now to get you thinking about all of these dimensions.
[00:42:33.860 --> 00:42:34.180]   And-
[00:42:34.180 --> 00:42:35.980]   [inaudible]
[00:42:35.980 --> 00:42:37.140]   They are the Plaid Colbert.
[00:42:37.140 --> 00:42:38.900]   Yeah. Pretty expensive there.
[00:42:38.900 --> 00:42:40.020]   Luckily, in the paper,
[00:42:40.020 --> 00:42:42.900]   we show that you never need a GPU for Colbert, I believe.
[00:42:42.900 --> 00:42:45.860]   You just- so you can always use cheaper hardware.
[00:42:45.860 --> 00:42:49.300]   Yeah. But those costs do look scary.
[00:42:49.300 --> 00:42:52.180]   [LAUGHTER]
[00:42:52.180 --> 00:42:54.220]   The final section of this is just some datasets.
[00:42:54.220 --> 00:42:56.660]   I think I don't need to go through it because you have it as a resource.
[00:42:56.660 --> 00:42:59.500]   If you want to get started in neural information retrieval,
[00:42:59.500 --> 00:43:02.140]   you've got T-REC, MS Marko,
[00:43:02.140 --> 00:43:04.420]   and then there are a bunch of new benchmarks that are
[00:43:04.420 --> 00:43:07.540]   designed to assess systems out of the box, that is zero-shot.
[00:43:07.540 --> 00:43:11.260]   Beer is great. Latte is great for long-tailed,
[00:43:11.260 --> 00:43:17.140]   topic stratified evaluation, and then this XOR tie-dye is cool because this is multilingual.
[00:43:17.140 --> 00:43:20.060]   And I know you have expressed interest in multilingual stuff.
[00:43:20.060 --> 00:43:24.260]   This could be a great playground for doing that with kind of QA and retrieval,
[00:43:24.260 --> 00:43:26.860]   like open QA as we've been doing it.
[00:43:26.860 --> 00:43:29.140]   Bunch of other topics.
[00:43:29.140 --> 00:43:32.820]   I think the bottom line here is just,
[00:43:32.820 --> 00:43:35.620]   again, this is like a refrain in this class.
[00:43:35.620 --> 00:43:40.340]   NLU and IR are back together again after being apart for so long,
[00:43:40.340 --> 00:43:44.860]   and this is having profound implications for research and technology development.
[00:43:44.860 --> 00:43:50.420]   So this is absolutely a very exciting moment to participate in this research because there is
[00:43:50.420 --> 00:43:54.060]   so much innovation yet to happen and it is having
[00:43:54.060 --> 00:43:59.100]   such an impact on research and also out in the wider world.
[00:43:59.100 --> 00:44:01.540]   Excellent. All right.
[00:44:01.540 --> 00:44:03.260]   Sid, want to take over?
[00:44:03.260 --> 00:44:06.380]   So it's cool. It's like retrieval isn't just hitting NLU,
[00:44:06.380 --> 00:44:10.260]   it's hitting everywhere, like vision and robotics as of like,
[00:44:10.260 --> 00:44:13.660]   this week we're starting to use retrieval methods to do.
[00:44:13.660 --> 00:44:16.820]   What's the best way to figure out how to do a new task?
[00:44:16.820 --> 00:44:20.460]   Maybe retrieve some examples of a robot or a human doing
[00:44:20.460 --> 00:44:23.060]   the same task and then generating your actions.
[00:44:23.060 --> 00:44:27.860]   So cool stuff. Cool. All right.
[00:44:27.860 --> 00:44:30.580]   Let's see if this works.
[00:44:30.580 --> 00:44:39.060]   Yeah. All right. So I'm going to kind of pick up or try to pick up where I left off
[00:44:39.060 --> 00:44:41.820]   last week and kind of give you this evolution,
[00:44:41.820 --> 00:44:45.420]   this history lesson on how we got to the transformer,
[00:44:45.420 --> 00:44:50.620]   and then go from there into tips and tricks for training big models generally,
[00:44:50.620 --> 00:44:53.020]   and then end with like a small little teaser on
[00:44:53.020 --> 00:44:56.060]   fine tuning and parameter efficient tuning.
[00:44:56.060 --> 00:44:58.780]   So you can use that in your projects down the road.
[00:44:58.780 --> 00:45:01.780]   Cool. So just to kind of blaze past things,
[00:45:01.780 --> 00:45:04.980]   I kind of started by talking through
[00:45:04.980 --> 00:45:07.740]   where things were pre-2017 when
[00:45:07.740 --> 00:45:11.340]   the transformer paper came out on both the RNN and the CNN side,
[00:45:11.340 --> 00:45:15.380]   and tied a lot of the innovation around the transformer
[00:45:15.380 --> 00:45:20.500]   to how modern convolutional neural nets,
[00:45:20.500 --> 00:45:22.300]   specifically residual nets were working,
[00:45:22.300 --> 00:45:26.300]   and the connections there were closer than the connections to RNNs.
[00:45:26.300 --> 00:45:31.860]   Kind of walk through how we got to the self-attention block with this fancy code,
[00:45:31.860 --> 00:45:33.580]   which is basically just saying like you're
[00:45:33.580 --> 00:45:36.300]   splitting your heads and you can kind of think of your heads in
[00:45:36.300 --> 00:45:41.460]   a self-attention block as the different kind of kernels or filters in a CNN layer.
[00:45:41.460 --> 00:45:45.860]   Then kind of closing with like this full self-attention block,
[00:45:45.860 --> 00:45:48.500]   where we're actually doing the RNN style attention,
[00:45:48.500 --> 00:45:52.500]   and then this question of this non-linearity that we're adding at the end.
[00:45:52.500 --> 00:45:54.780]   Because without this non-linearity and
[00:45:54.780 --> 00:45:58.180]   this sort of MLP that we're adding to the end of each transformer block,
[00:45:58.180 --> 00:46:02.820]   we're really just doing weighted averages of linear transforms of values.
[00:46:02.820 --> 00:46:09.060]   Okay. So, if we kind of take this as ground truth,
[00:46:09.060 --> 00:46:12.140]   starting point for what a transformer block looks like,
[00:46:12.140 --> 00:46:17.580]   very much inspired by the ideas of CNNs and RNNs with attention at the time.
[00:46:17.580 --> 00:46:20.740]   We have this residual connection here,
[00:46:20.740 --> 00:46:23.380]   which is kind of just adding X over and over
[00:46:23.380 --> 00:46:25.860]   again as we stack more and more layers together.
[00:46:25.860 --> 00:46:30.980]   There's a problem. Can anyone spot the problem in this implementation by itself?
[00:46:31.420 --> 00:46:34.700]   So, the problem is that activations blow up.
[00:46:34.700 --> 00:46:38.980]   We keep adding the same input over and over again as we go deeper.
[00:46:38.980 --> 00:46:43.700]   Eventually, specifically in the RNN attention layer,
[00:46:43.700 --> 00:46:46.460]   when we take this dot product between the queries and the keys,
[00:46:46.460 --> 00:46:48.260]   we're going to get overflow.
[00:46:48.260 --> 00:46:51.020]   So, we need to do something about that.
[00:46:51.020 --> 00:46:53.340]   All right. So, while the first part of
[00:46:53.340 --> 00:46:54.940]   kind of building the transformer layer is very,
[00:46:54.940 --> 00:46:56.680]   very much inspired by history,
[00:46:56.680 --> 00:46:59.620]   the second part is just trying to make sure it doesn't fail,
[00:46:59.620 --> 00:47:02.300]   and doesn't blow up, and doesn't crash when we try training it.
[00:47:02.300 --> 00:47:05.140]   So, what's one thing that we can do to kind of avoid
[00:47:05.140 --> 00:47:09.540]   this sort of blow up of our activations?
[00:47:09.540 --> 00:47:11.260]   So, layer normalization.
[00:47:11.260 --> 00:47:16.180]   So, layer normalization, maybe batch norm and layer norm were covered earlier on,
[00:47:16.180 --> 00:47:17.900]   is a very, very simple idea.
[00:47:17.900 --> 00:47:19.540]   Along each feature dimension,
[00:47:19.540 --> 00:47:23.340]   we're just going to normalize so that each feature has mean zero,
[00:47:23.340 --> 00:47:28.300]   standard deviation one, which means that every time we add a residual connection,
[00:47:28.300 --> 00:47:31.300]   we're going to normalize so that everything comes back to a decent space.
[00:47:31.300 --> 00:47:35.140]   We're still able to learn the kind of same level of expressivity we care about.
[00:47:35.140 --> 00:47:37.900]   We're just not necessarily going to
[00:47:37.900 --> 00:47:41.660]   keep blowing up or growing the magnitude of our activations.
[00:47:41.660 --> 00:47:45.860]   What that looks like is two calls to
[00:47:45.860 --> 00:47:49.660]   NN dot layer norm with the dimensionality of our transformer,
[00:47:49.660 --> 00:47:51.940]   and then adding that into a res block.
[00:47:51.940 --> 00:47:54.300]   We're just going to normalize each X before we pass it
[00:47:54.300 --> 00:47:57.420]   into the attention and the MLP layers respectively.
[00:47:57.420 --> 00:48:00.860]   Now, there's a problem with this that isn't obvious,
[00:48:00.860 --> 00:48:03.580]   and actually wasn't obvious to the people building transformers at the time.
[00:48:03.580 --> 00:48:06.900]   It wasn't really explained kind of till three years later,
[00:48:06.900 --> 00:48:12.340]   which is that you have optimization issues when you do this.
[00:48:12.340 --> 00:48:14.300]   Specifically, if you just try to optimize
[00:48:14.300 --> 00:48:17.420]   the naive transformer with this layer norm in place,
[00:48:17.420 --> 00:48:19.500]   with kind of conventional ML wisdom,
[00:48:19.500 --> 00:48:23.900]   which is like learning rate decay or a constant learning rate,
[00:48:23.900 --> 00:48:25.740]   bad things happen.
[00:48:25.740 --> 00:48:27.980]   Specifically, I'm going to use the hugging face emojis,
[00:48:27.980 --> 00:48:30.180]   my stand in for a transformer.
[00:48:30.180 --> 00:48:33.500]   Stuff happens. The optimization crashes.
[00:48:33.500 --> 00:48:35.300]   It's either exploding gradients,
[00:48:35.300 --> 00:48:36.340]   it's either vanishing gradients.
[00:48:36.340 --> 00:48:38.540]   If you ask someone in 2018 or 2019 or 2020,
[00:48:38.540 --> 00:48:40.740]   they would tell you one or the other is happening,
[00:48:40.740 --> 00:48:42.380]   but there are definitely no gradients that are like
[00:48:42.380 --> 00:48:44.660]   stable throughout the training process.
[00:48:44.660 --> 00:48:47.580]   So, you introduce this kind of weird thing.
[00:48:47.580 --> 00:48:49.540]   It kind of comes out of almost nowhere,
[00:48:49.540 --> 00:48:50.980]   which is like this transform,
[00:48:50.980 --> 00:48:54.100]   this like warm-up schedule that you
[00:48:54.100 --> 00:48:57.020]   see a lot of the time in
[00:48:57.020 --> 00:48:58.500]   like any code for training or
[00:48:58.500 --> 00:49:00.540]   even fine-tuning transformers these days.
[00:49:00.540 --> 00:49:04.060]   Now, this is actually just like fun because I have the time.
[00:49:04.060 --> 00:49:05.660]   I'm going to like go through it.
[00:49:05.660 --> 00:49:07.980]   Who came up with this?
[00:49:07.980 --> 00:49:21.100]   >> I'm thinking, like I think I remember in the [inaudible] paper,
[00:49:21.100 --> 00:49:23.380]   they had like a weird learning rate, but I don't remember.
[00:49:23.380 --> 00:49:26.300]   >> So, it is in the original transformer papers,
[00:49:26.300 --> 00:49:28.980]   like the main thing that they get to get this stable.
[00:49:28.980 --> 00:49:30.940]   So, it's one of the authors that came up with it.
[00:49:30.940 --> 00:49:33.580]   But if you actually run a Git blame
[00:49:33.580 --> 00:49:35.780]   on the first ever transformer code base from Google,
[00:49:35.780 --> 00:49:37.220]   the Tensor2Tensor code base,
[00:49:37.220 --> 00:49:39.100]   like in the very first commit,
[00:49:39.100 --> 00:49:44.340]   in like the R parse like flags for the different optimizers you use,
[00:49:44.340 --> 00:49:47.540]   there's one option just called Gnome, after Gnome Shazier.
[00:49:47.540 --> 00:49:49.460]   And in the annotated transformer,
[00:49:49.460 --> 00:49:50.820]   like the very first like block host,
[00:49:50.820 --> 00:49:52.020]   that's what the optimizer is called.
[00:49:52.020 --> 00:49:54.700]   It's called Gnome Opt in Sasha Rush's code.
[00:49:54.700 --> 00:49:57.620]   And it's called the Gnome Optimizer for a really long time,
[00:49:57.620 --> 00:49:59.580]   until they just decided to call it just like,
[00:49:59.580 --> 00:50:02.460]   you know, linear warmup, cosine decay.
[00:50:02.460 --> 00:50:05.420]   And so, Gnome Shazier kind of came up with it.
[00:50:05.420 --> 00:50:08.340]   And if you were to kind of go back and think about like
[00:50:08.340 --> 00:50:11.820]   the sorts of problems and the papers he was working on at the time,
[00:50:11.820 --> 00:50:13.820]   he was actually doing a lot of stuff with
[00:50:13.820 --> 00:50:19.660]   the different types of like gradient descent optimizers,
[00:50:19.660 --> 00:50:25.060]   like RMSProp, Adafactor came out like a year after the transformer paper came out.
[00:50:25.060 --> 00:50:28.060]   And he was really like interested in like looking at this problem of like,
[00:50:28.060 --> 00:50:30.900]   "Huh, okay, weights seem to be where like if you just
[00:50:30.900 --> 00:50:34.340]   really inspect the gradients early on with like this layer norm thing,
[00:50:34.340 --> 00:50:37.580]   variance seems to be high and you kind of want to burn that in."
[00:50:37.580 --> 00:50:38.900]   And he's seeing this for LSTM,
[00:50:38.900 --> 00:50:42.460]   so he's kind of doing this already for his LSTM work.
[00:50:42.460 --> 00:50:46.020]   And then he just like, "Let's try this."
[00:50:46.020 --> 00:50:48.620]   It worked and no one really questioned it.
[00:50:48.620 --> 00:50:50.940]   It breaks conventional machine learning wisdom,
[00:50:50.940 --> 00:50:53.820]   like why am I warming up my learning rate before I'm bringing it down, right?
[00:50:53.820 --> 00:50:55.420]   Like if I'm optimizing some surface,
[00:50:55.420 --> 00:50:57.660]   I kind of like want to start kind of high,
[00:50:57.660 --> 00:51:01.860]   move in, and then like maybe anneal it as I get closer to my minimum.
[00:51:01.860 --> 00:51:04.900]   But no one is able to explain why,
[00:51:04.900 --> 00:51:09.580]   till three years later, a paper comes out that kind of like steps through
[00:51:09.580 --> 00:51:13.340]   the specifics of training a transformer model on some data,
[00:51:13.340 --> 00:51:16.260]   like synthetic data with the atom optimizer,
[00:51:16.260 --> 00:51:20.060]   and actually tie it to the layer normalization layers that we just added.
[00:51:20.060 --> 00:51:21.860]   We fixed one problem, we added another.
[00:51:21.860 --> 00:51:25.180]   Right. So up top, we have kind of good gradients.
[00:51:25.180 --> 00:51:29.020]   Right. So on the left here is the gradient magnitude and here's the update magnitude.
[00:51:29.020 --> 00:51:30.820]   So the gradients that are computed and
[00:51:30.820 --> 00:51:32.700]   the updates that are actually applied to the weights.
[00:51:32.700 --> 00:51:34.220]   With warm up in blue,
[00:51:34.220 --> 00:51:37.420]   in red, we have the same thing but without warm up.
[00:51:37.420 --> 00:51:41.820]   And what ends up happening is that gradients go to zero somehow as you train.
[00:51:41.820 --> 00:51:45.020]   It's actually a weird graph because like as you're coming forward in time,
[00:51:45.020 --> 00:51:47.180]   it's like as you're training more and more.
[00:51:47.180 --> 00:51:51.620]   So this is kind of like starting out and then like this is kind of, yeah.
[00:51:51.620 --> 00:51:54.420]   And this is kind of like towards the,
[00:51:54.420 --> 00:51:57.380]   you know, wherever training becomes unstable.
[00:51:57.380 --> 00:52:00.860]   And then your updates also become super high variance.
[00:52:00.860 --> 00:52:07.020]   So they do some math and they kind of bound the update as a kind of
[00:52:07.020 --> 00:52:11.540]   like proportional to the dimensionality of the,
[00:52:11.540 --> 00:52:13.780]   or the square root of the dimensionality of your transformer,
[00:52:13.780 --> 00:52:16.100]   over the input norm that's coming in.
[00:52:16.100 --> 00:52:17.460]   So if your input norm,
[00:52:17.460 --> 00:52:21.940]   like if the size of your activation is like sufficiently large,
[00:52:21.940 --> 00:52:28.820]   your layer norm gradient is going to be completely, completely screwed.
[00:52:28.820 --> 00:52:31.780]   So what they end up doing is like, okay,
[00:52:31.780 --> 00:52:35.780]   so warm up is necessary because it helps you get
[00:52:35.780 --> 00:52:40.900]   the atom optimizer to kind of like move slowly enough at the beginning.
[00:52:40.900 --> 00:52:44.940]   So that we're kind of like saturating the gradients, we're like, okay.
[00:52:44.940 --> 00:52:46.700]   And then when we kind of go full throttle,
[00:52:46.700 --> 00:52:48.780]   like things are generally stable.
[00:52:48.780 --> 00:52:53.740]   The activations norms aren't changing all too much.
[00:52:53.740 --> 00:52:56.540]   They're changing in a predictable way and we can kind of start to handle that,
[00:52:56.540 --> 00:53:00.340]   and then conventional ML kicks in. But it's weird.
[00:53:00.340 --> 00:53:02.340]   And it's also weird that it took three years later,
[00:53:02.340 --> 00:53:04.340]   and some people still don't buy this explanation,
[00:53:04.340 --> 00:53:07.220]   but it's the best explanation I've got to why we need that warm up.
[00:53:07.220 --> 00:53:09.700]   So general wisdom,
[00:53:09.700 --> 00:53:11.980]   you're fine tuning or pre-training a transformer,
[00:53:11.980 --> 00:53:14.660]   warm up for at least five percent of your full training,
[00:53:14.660 --> 00:53:17.580]   and then start decaying. It just helps.
[00:53:17.580 --> 00:53:20.660]   >> Can I ask this? I don't know this paper.
[00:53:20.660 --> 00:53:26.220]   So is there some data dependency or some assumption about what the data will be like?
[00:53:26.220 --> 00:53:27.700]   Because it seems like you said,
[00:53:27.700 --> 00:53:29.780]   hey look, after a while we can relax.
[00:53:29.780 --> 00:53:33.140]   These updates are small or reasonable,
[00:53:33.140 --> 00:53:35.100]   but the world could do a lot to you.
[00:53:35.100 --> 00:53:38.100]   And if you shifted genres or data types,
[00:53:38.100 --> 00:53:40.700]   it would go back into being very unstable.
[00:53:40.700 --> 00:53:45.300]   >> Yeah. So I think in this paper they're looking at what I'll call nice datasets.
[00:53:45.300 --> 00:53:48.700]   They're looking at the Wikitext 2s of the world that are somewhat predictable.
[00:53:48.700 --> 00:53:51.100]   It's all Wikipedia homogenized language.
[00:53:51.100 --> 00:53:53.060]   But even when you're training the modern,
[00:53:53.060 --> 00:53:54.980]   like the really big transformer these days,
[00:53:54.980 --> 00:53:56.620]   even after all of these tricks,
[00:53:56.620 --> 00:53:59.060]   you're still going to have bad batches.
[00:53:59.060 --> 00:54:03.660]   Just really, really unpredictable things that are low likelihood under your model,
[00:54:03.660 --> 00:54:05.100]   that are going to cause big updates in the middle of
[00:54:05.100 --> 00:54:07.380]   training that are going to completely crash your run.
[00:54:07.380 --> 00:54:09.020]   So this happened tons of times while we were training
[00:54:09.020 --> 00:54:11.300]   like the 355 million parameter models.
[00:54:11.300 --> 00:54:13.900]   This happened every time you're training
[00:54:13.900 --> 00:54:16.940]   any big model in like the one million plus parameter range.
[00:54:16.940 --> 00:54:18.500]   So the Luther AI folks,
[00:54:18.500 --> 00:54:20.180]   like this happens all of the time.
[00:54:20.180 --> 00:54:24.020]   The T5 models have this thing in like one of
[00:54:24.020 --> 00:54:27.660]   the notes in like the GitHub repository for like training a T5,
[00:54:27.660 --> 00:54:29.940]   which is like, if training fails,
[00:54:29.940 --> 00:54:31.500]   rewind to the latest checkpoint,
[00:54:31.500 --> 00:54:33.820]   re-randomize your data order and then try again,
[00:54:33.820 --> 00:54:35.140]   and it won't crash.
[00:54:35.140 --> 00:54:38.420]   That's kind of how modern ML or
[00:54:38.420 --> 00:54:42.060]   most modern language models are trained right now.
[00:54:42.060 --> 00:54:43.740]   We don't know how to avoid it yet.
[00:54:43.740 --> 00:54:45.940]   We think it's tied to the data, we can't isolate it.
[00:54:45.940 --> 00:54:49.340]   So why not just re-roll and try again?
[00:54:49.340 --> 00:54:51.740]   Eventually, you'll just keep making progress.
[00:54:51.740 --> 00:54:55.980]   Cool. So question.
[00:54:55.980 --> 00:54:57.220]   >> Back to the graphs,
[00:54:57.220 --> 00:55:00.740]   what do the different colors represent in-
[00:55:00.740 --> 00:55:02.220]   >> Yeah. So the question was,
[00:55:02.220 --> 00:55:03.660]   what the different colors represent.
[00:55:03.660 --> 00:55:08.060]   So up top is blue with the traditional transformer learning rate,
[00:55:08.060 --> 00:55:10.780]   so warm up and then go down.
[00:55:10.780 --> 00:55:14.420]   Red is the no warm up,
[00:55:14.420 --> 00:55:16.820]   let's just start the learning rate high and then taper.
[00:55:16.820 --> 00:55:20.060]   So red is bad, blue is good.
[00:55:20.060 --> 00:55:26.660]   >> [inaudible]
[00:55:26.660 --> 00:55:29.020]   >> Yeah. So the way you can interpret this graph,
[00:55:29.020 --> 00:55:31.980]   and the paper's linked in at the bottom of the slide,
[00:55:31.980 --> 00:55:36.820]   but you can think of the furthest back magnitude is like this,
[00:55:36.820 --> 00:55:41.540]   basically plotting the mean standard deviation of the updates across layers.
[00:55:41.540 --> 00:55:44.700]   The furthest back is like batch zero.
[00:55:44.700 --> 00:55:47.300]   As you get further in,
[00:55:47.300 --> 00:55:51.260]   you get to batch 100 or batch 400 or whatever.
[00:55:51.260 --> 00:55:54.580]   Yeah. Question.
[00:55:54.580 --> 00:55:59.620]   >> I wonder to what extent the warm up and the rate.
[00:56:00.060 --> 00:56:05.540]   >> I think I'm relating to the choice of optimizer.
[00:56:05.540 --> 00:56:11.060]   Because I've run into some problems where I found that using
[00:56:11.060 --> 00:56:15.740]   AtomX of the infinity norm will work because I've got this level of dropout or whatever.
[00:56:15.740 --> 00:56:21.580]   Is there any guidance of all these big hyperparameters that go into this tune,
[00:56:21.580 --> 00:56:23.580]   where if I pull one lever,
[00:56:23.580 --> 00:56:26.380]   I should be pushing one down or choose this optimizer,
[00:56:26.380 --> 00:56:28.260]   I should do another because it feels like,
[00:56:28.260 --> 00:56:31.580]   I mean, taking three years,
[00:56:31.580 --> 00:56:34.820]   it feels a little bit like the Wild West, which is what it is.
[00:56:34.820 --> 00:56:38.540]   >> Yeah. So if I were to paraphrase your question,
[00:56:38.540 --> 00:56:42.380]   it's like, if you decide to change anything about the current recipe,
[00:56:42.380 --> 00:56:45.220]   like change your optimizer, change dropout, change your learning rate,
[00:56:45.220 --> 00:56:50.060]   are there rules of thumb for what else you need to change to get things to work?
[00:56:50.060 --> 00:56:54.820]   No. It is.
[00:56:54.820 --> 00:57:00.500]   So part of why I led with how we got to here,
[00:57:00.500 --> 00:57:02.500]   starting from the historical context,
[00:57:02.500 --> 00:57:05.620]   was to unpack a lot of this folk knowledge.
[00:57:05.620 --> 00:57:08.980]   Because it's still at the point where optimizing these models,
[00:57:08.980 --> 00:57:10.660]   especially as we go bigger,
[00:57:10.660 --> 00:57:16.820]   is still concentrated in the minds and experience of a very small number of people.
[00:57:16.820 --> 00:57:19.460]   Because who's trained a seven billion parameter language model,
[00:57:19.460 --> 00:57:21.900]   or who's trained a 100 billion parameter language model?
[00:57:21.900 --> 00:57:23.340]   Where does that skill set come from?
[00:57:23.340 --> 00:57:28.180]   When you're talking about a training run that cost millions of dollars to develop,
[00:57:28.180 --> 00:57:31.340]   plus however much the compute costs,
[00:57:31.340 --> 00:57:34.300]   how many things are you really going to be trying at the end?
[00:57:34.300 --> 00:57:36.740]   What things can you extrapolate from?
[00:57:36.740 --> 00:57:38.740]   So folks at OpenAI have definitely done
[00:57:38.740 --> 00:57:40.500]   like scaling laws research where they're trying
[00:57:40.500 --> 00:57:43.420]   these different things in some bounded search space.
[00:57:43.420 --> 00:57:46.100]   But if you were to invent like a brand new optimizer,
[00:57:46.100 --> 00:57:47.780]   it kind of looks at like maybe second,
[00:57:47.780 --> 00:57:51.300]   third, fourth order moments of your gradients,
[00:57:51.300 --> 00:57:55.860]   maybe do something fancy relative to how things are changing over time.
[00:57:55.860 --> 00:58:00.740]   And you were to just try and apply it to the biggest language model you could train,
[00:58:00.740 --> 00:58:05.100]   I have no idea what I would tell you in terms of like what things you should change,
[00:58:05.100 --> 00:58:06.220]   beyond like some obvious things,
[00:58:06.220 --> 00:58:09.140]   like maybe don't set the learning rate to be ridiculously high.
[00:58:09.140 --> 00:58:10.340]   Starting now.
[00:58:10.340 --> 00:58:16.380]   >> If you have a batch of data that's like,
[00:58:16.380 --> 00:58:20.300]   let's just say during training you come across a bad batch of data that happens to
[00:58:20.300 --> 00:58:23.700]   cause like the destabilization with the gradients.
[00:58:23.700 --> 00:58:28.020]   And then you rewind back to your checkpoint and you take that same exact batch of data,
[00:58:28.020 --> 00:58:32.580]   but instead of running it through training when gradients are enabled,
[00:58:32.580 --> 00:58:34.460]   if you just run it through inference,
[00:58:34.460 --> 00:58:37.500]   will that bad batch of data have caused like
[00:58:37.500 --> 00:58:41.060]   anomalous behavior from the model during inference,
[00:58:41.060 --> 00:58:43.580]   or is it strictly just a back propagation issue?
[00:58:43.580 --> 00:58:47.140]   >> So when we debug or when we debug this,
[00:58:47.140 --> 00:58:50.980]   so we a couple of years ago trained like some,
[00:58:50.980 --> 00:58:52.500]   by today's standards, really,
[00:58:52.500 --> 00:58:53.660]   really small language models,
[00:58:53.660 --> 00:58:56.940]   but like 124 million to 355 million scale.
[00:58:56.940 --> 00:58:59.140]   We were noticing this problem.
[00:58:59.140 --> 00:59:02.140]   The way we debugged it was like looking at the gradients,
[00:59:02.140 --> 00:59:06.140]   which didn't tell us much, but then we just looked at activation norms per layer,
[00:59:06.140 --> 00:59:08.780]   and that's how we actually debug this, right?
[00:59:08.780 --> 00:59:10.300]   So looking at the forward pass,
[00:59:10.300 --> 00:59:12.420]   looking at the magnitudes of each layer,
[00:59:12.420 --> 00:59:16.380]   like where we thought we could possibly be overflowing or underflowing,
[00:59:16.380 --> 00:59:18.980]   that's exactly how we debugged it.
[00:59:18.980 --> 00:59:21.100]   But we didn't debug it at the batch level.
[00:59:21.100 --> 00:59:23.540]   We debugged it as a function of time, right?
[00:59:23.540 --> 00:59:26.260]   Because a single batch isn't going to perturb everything.
[00:59:26.260 --> 00:59:28.060]   A series of batches,
[00:59:28.060 --> 00:59:29.980]   like maybe two, three, who knows how many,
[00:59:29.980 --> 00:59:33.300]   eventually you're going to fall under some trajectory where things get bad,
[00:59:33.300 --> 00:59:34.900]   your activations blow up.
[00:59:34.900 --> 00:59:38.060]   So we would be able to deterministically be running to that checkpoint,
[00:59:38.060 --> 00:59:42.540]   then deterministically step through training and log every activation,
[00:59:42.540 --> 00:59:46.060]   which is expensive, but that's how we were able to get to the bottom of the problem.
[00:59:46.060 --> 00:59:51.100]   But I don't think we have tools for actually figuring out which batch of data was,
[00:59:51.100 --> 00:59:55.860]   or which sequence of batches of data were the actual triggers for that behavior.
[00:59:55.860 --> 01:00:00.020]   >> I guess I was just curious specifically about if the same data that causes
[01:00:00.020 --> 01:00:05.060]   destabilization in training can cause anomalous behavior,
[01:00:05.060 --> 01:00:07.300]   or just like a normal form of pass?
[01:00:07.300 --> 01:00:09.380]   >> It probably would.
[01:00:09.380 --> 01:00:12.860]   There's some more recent work about how to quantize these models,
[01:00:12.860 --> 01:00:17.060]   like how to get a transformer that's trained with like 16-bit precision to
[01:00:17.060 --> 01:00:21.740]   like train or to run with like eight bit precision by like intelligently like
[01:00:21.740 --> 01:00:27.140]   bucketing floats from Tim Detmers who's a PhD student up at UW.
[01:00:27.140 --> 01:00:30.860]   He has this theory on something called outlier features that show up in
[01:00:30.860 --> 01:00:33.420]   these really big models that kind of try and get at this,
[01:00:33.420 --> 01:00:36.980]   but more of an art than a science right now.
[01:00:36.980 --> 01:00:44.260]   Yeah. Okay. So are we done now that we fix this like layer norm stuff,
[01:00:44.260 --> 01:00:45.660]   the learning rate stuff,
[01:00:45.660 --> 01:00:47.660]   all of the stuff to get the transformer to work?
[01:00:47.660 --> 01:00:50.040]   Kind of. Right. So like over the last few years,
[01:00:50.040 --> 01:00:51.420]   like training has been stable,
[01:00:51.420 --> 01:00:54.500]   people want to like milk the most of the transformer,
[01:00:54.500 --> 01:00:57.540]   you know, especially as they scale up.
[01:00:57.540 --> 01:00:59.900]   So they do a couple of things.
[01:00:59.900 --> 01:01:04.460]   So one, when you're training and potentially and you're projecting to queries and
[01:01:04.460 --> 01:01:07.220]   keys at sufficient scale,
[01:01:07.220 --> 01:01:10.580]   the bias term in each like linear layers like WX plus B,
[01:01:10.580 --> 01:01:12.540]   you can get rid of the Bs because like it's not really doing
[01:01:12.540 --> 01:01:14.460]   anything and it saves a little bit of compute.
[01:01:14.460 --> 01:01:17.700]   So let's get rid of them. Like that's like the first thing to throw out.
[01:01:17.700 --> 01:01:21.020]   There are different activations that have been invented and different types
[01:01:21.020 --> 01:01:25.820]   of like cool ways to just better fit your data.
[01:01:25.820 --> 01:01:27.220]   So there's this like swish glue,
