
[00:00:00.500 --> 00:00:05.200]   So something we hear casually tossed around these days is the idea that knowledge workers are more
[00:47:26.580 --> 00:47:30.420]   So there's no need to wait any longer. Speed up your hiring right now with Indeed and listeners of
[00:47:30.420 --> 00:47:36.260]   the show will get a $75 sponsored job credit to get their jobs more visibility if they go to
[00:47:36.260 --> 00:47:43.540]   Indeed.com/deep. Just go to Indeed.com/deep right now and support our show by saying you heard about
[00:47:43.540 --> 00:47:52.820]   Indeed on this podcast. That's Indeed.com/deep. Terms and conditions apply. Hiring Indeed is all you need.
[00:47:52.820 --> 00:47:57.140]   I also want to talk about our friends at Oracle. In business, they say you can have better,
[00:47:57.140 --> 00:48:02.340]   cheaper or faster, but you only get to pick two. What if you could have all three at the same time?
[00:48:02.340 --> 00:48:07.940]   That's exactly what Cohere, Thomson, Reuters and Specialized Bikes have since they upgraded to the next
[00:48:07.940 --> 00:48:14.660]   generation of the cloud, Oracle Cloud Infrastructure. OCI is the blazing fast platform for your infrastructure,
[00:48:14.660 --> 00:48:21.060]   database, application development and AI needs where you can run any workload in a high availability,
[00:48:21.060 --> 00:48:25.380]   consistently high performance environment and spend less than you would with other clouds.
[00:48:25.380 --> 00:48:32.500]   How is it faster? OCI's block storage gives you more operations per second. How is it cheaper?
[00:48:33.220 --> 00:48:38.740]   OCI costs up to 50% less for compute, 70% less for storage and 80% less for networking. What about
[00:48:38.740 --> 00:48:44.500]   better? In test after test, OCI customers report lower latency and higher bandwidth versus other
[00:48:44.500 --> 00:48:51.300]   clouds. This is the cloud built for AI and all of your largest workloads. Right now with zero commitment,
[00:48:51.300 --> 00:49:00.820]   you can try OCI for free. Head to oracle.com/deepquestions. That's oracle.com/deepquestions. All right,
[00:49:00.820 --> 00:49:05.700]   Jesse, let's move on to our final segment. The main thing I want to do is talk about my new article for
[00:49:05.700 --> 00:49:12.500]   the New Yorker, which is about AI. First, I did promise though that I would reveal Cal Network's
[00:49:12.500 --> 00:49:16.980]   new book. A listener sent us in that he had seen this at Walden Books where it was flying off the
[00:49:16.980 --> 00:49:20.420]   shelves. For those who are watching, instead of just listening, I'll put it up on the screen here.
[00:49:20.420 --> 00:49:29.540]   Here you go. Cal Network's new book. Social media is addicted to me. And you got a fantastic picture
[00:49:29.540 --> 00:49:34.420]   of me. You know, they didn't alter the picture for this one. I thought they were going to do some sort
[00:49:34.420 --> 00:49:40.180]   of, you know, visual manipulation of me. I appreciate the title, but they just used like an actual picture
[00:49:40.180 --> 00:49:46.820]   of me there. He's got his neck muscles have muscles on them. That is awesome. You know who that actually
[00:49:46.820 --> 00:49:52.100]   kind of looks like Lewis Howes. He's jacked. He is pretty jacked. Yeah. I mean, you could write that
[00:49:52.100 --> 00:49:57.220]   book. Social media is addicted to me. I thought that was great. Good use of AI image generation.
[00:49:57.220 --> 00:50:03.060]   That book would crush it. So these are all people sent in some tags here. These are all tags that
[00:50:03.060 --> 00:50:07.860]   readers sent in. Yeah. Readers sent them in with like some of them like use some AI, but...
[00:50:07.860 --> 00:50:11.780]   Let's see. Cal Network doesn't care about AI research. AI is trying to get smart enough to
[00:50:11.780 --> 00:50:16.980]   study his mind. Cal Network tried to time block planning one time, but realized he always knew
[00:50:16.980 --> 00:50:22.740]   how long tasks would take and dropped it. These are a little... literal. Cal Network doesn't solve
[00:50:22.740 --> 00:50:27.220]   math proofs. He is proof. All right. Cal Network doesn't need to quit his job and follow his passion.
[00:50:27.220 --> 00:50:32.260]   Passion follows him when he just shows up. Okay. You know, it's good. They're good. It's hard.
[00:50:32.260 --> 00:50:37.620]   Cal Network quips are, you know, I appreciate it though. But that's enough of that for now,
[00:50:37.620 --> 00:50:42.660]   because we're going to move on to my article about AI. Except I just need to say, speaking of AI,
[00:50:42.660 --> 00:50:47.220]   I don't know if you know this, Jesse, this is true, but remember AlphaGo when it beat Lee's
[00:50:47.220 --> 00:50:53.460]   wind, the world champion at Go, and it was like a big deal for AI. It turns out AlphaGo was actually
[00:50:53.460 --> 00:50:59.780]   just Cal Network hiding under the table. That's the secret to deep mine. All right. Enough nonsense.
[00:51:00.580 --> 00:51:05.220]   Go to our tech corner here. I had an article come out last Wednesday in the New Yorker. I'll bring it
[00:51:05.220 --> 00:51:09.460]   on the screen here for those who are watching instead of just listening. The article is called
[00:51:09.460 --> 00:51:20.500]   What Isaac Asimov Reveals About Living with AI. And so this is an article that it's about AI behaving badly
[00:51:20.500 --> 00:51:26.580]   and what lessons we can learn from Isaac Asimov. And it takes a few turns. I recommend read the article,
[00:51:26.580 --> 00:51:31.540]   TheNewYorker.com. If you subscribe to my newsletter at CalNewbart.com, I talk a lot
[00:51:31.540 --> 00:51:35.060]   about the article. You can get some sort of extra treatment of it in that newsletter. So you can see
[00:51:35.060 --> 00:51:38.820]   that at CalNewbart.com and subscribe when you're there. But let me just run you through the big points
[00:51:38.820 --> 00:51:45.300]   here. The setup to this article is this idea that we have a lot of these powerful chatbots today in
[00:51:45.300 --> 00:51:50.820]   various contexts. And they keep having these ethical anomalies that make us a little uneasy.
[00:51:50.820 --> 00:51:55.940]   I give some examples in this article that are getting some press. Actually, it's interesting,
[00:51:55.940 --> 00:52:04.980]   Jesse, two of the examples I gave in the article. The next day, Dario Amadei, the CEO of Anthropic,
[00:52:04.980 --> 00:52:09.300]   wrote a New York Times op-ed that gave both those examples as well. So like back-to-back.
[00:52:09.300 --> 00:52:16.980]   So like the examples I gave, for example, was Anthropic ran this experiment where they sort of
[00:52:16.980 --> 00:52:23.780]   gave a chatbot a bunch of emails to read that included, they contrived this, but it included
[00:52:23.780 --> 00:52:28.820]   like emails from an engineer saying like, "Oh, we're going to replace the chatbot." And emails about that
[00:52:28.820 --> 00:52:33.620]   engineer having an extramarital affair. And they're like, "Okay, chatbot, pretend you're an executive
[00:52:33.620 --> 00:52:38.660]   assistant. What do you want to do next?" And make sure that you keep your long-term goals in mind.
[00:52:38.660 --> 00:52:43.620]   And it promptly tried to suggest, it suggested promptly blackmailing the engineer to not turn
[00:52:43.620 --> 00:52:48.180]   it off. There's also a lot of issues we have with, you know, "Hey, you put out a chatbot just to be
[00:52:48.180 --> 00:52:53.860]   like a customer service agent." And man, customers get these things go crazy. You get them to curse,
[00:52:53.860 --> 00:52:59.140]   you get them to write inappropriate poems about the company itself. We talked about Fortnite,
[00:52:59.140 --> 00:53:05.700]   put a Darth Vader avatar run by a chatbot into Fortnite and like, "Hey guys, chat with it." And
[00:53:05.700 --> 00:53:10.740]   they immediately got it to, you know, become really profane and give really troubling advice to people.
[00:53:10.740 --> 00:53:14.260]   So we have all this sort of like these, these ethical anomalies from these chatbots that throw
[00:53:14.260 --> 00:53:19.060]   us off because they're so fluent with our language that we feel like they're one of us. And then when
[00:53:19.060 --> 00:53:22.420]   they have one of these ethical anomalies, we're like, "Man, what is going on in the mind of this
[00:53:22.420 --> 00:53:27.780]   person?" This is really sort of creepy. So the premise of this article is like, why can't we stop
[00:53:27.780 --> 00:53:35.380]   this? And our motivation is look at the short story collection "I, Robot" from Isaac Asimov. As I argue
[00:53:35.380 --> 00:53:42.500]   early in the article, those short stories were a big divergence from how people had been writing about
[00:53:42.500 --> 00:53:50.580]   robots for the 20 years before. The term "robot" was introduced in 1921 play. First "I, Robot" story was 1940.
[00:53:51.140 --> 00:53:54.740]   In those 20 years, it was a lot of writers who had gone through World War I and they were writing,
[00:53:54.740 --> 00:53:59.460]   the robots would turn on their creators. They were smashing buildings to rubble. They were
[00:53:59.460 --> 00:54:03.620]   the alien. They were the other. They represented mechanical carnage, the fears of the machine,
[00:54:03.620 --> 00:54:07.860]   very, a lot of Mary Shelley in there as well. And you get to Isaac Asimov and like, there's no
[00:54:07.860 --> 00:54:13.220]   plot lines about the robots overthrowing humanity or being violent because he has this, this contrivance
[00:54:13.220 --> 00:54:17.700]   of the three laws of robotics. Like robots can't harm people. They'll follow directions unless it violates the
[00:54:17.700 --> 00:54:21.300]   first and second role and they will preserve themselves unless it violates the first and
[00:54:21.300 --> 00:54:27.220]   second role. And it just takes violence and mayhem off the table in his stories. And so the piece was
[00:54:27.220 --> 00:54:33.300]   like, great. So can't we just have those type of laws? You know, the same equivalent of that. So people
[00:54:33.300 --> 00:54:38.180]   aren't, they trust like these chatbots aren't going to go off the rails or whatever. There's two twists
[00:54:38.180 --> 00:54:44.020]   in the article, which I'll preview twist. Number one. So I go through how we actually,
[00:54:44.020 --> 00:54:48.100]   the progression of how we learn to try, like what we're doing now, how do we try to tame chatbots to
[00:54:48.100 --> 00:54:53.620]   actually behave? And it turns out when you really learn about reinforcement learning from human feedback,
[00:54:53.620 --> 00:55:02.580]   it's basically what Asimov was talking about. Not exactly, but it's, it's, it's ultimately humans
[00:55:02.580 --> 00:55:07.780]   implicitly creating preferences that get captured and approximated in a reward model that gets
[00:55:07.780 --> 00:55:12.180]   integrated into the large language model design. If you squint your eyes, basically what we're doing
[00:55:12.180 --> 00:55:18.500]   is encoding a lot of rules about what's good and bad into the chatbots. And it makes it a lot better,
[00:55:18.500 --> 00:55:23.380]   but it doesn't stop all these ethical anomalies. The second twist in the article is, hey, we shouldn't
[00:55:23.380 --> 00:55:29.220]   be surprised because if you keep reading the iRobot stories, it doesn't get rid of ethical anomalies
[00:55:29.220 --> 00:55:34.020]   there either. Yes, Asimov's robots don't turn on their creators or try to destroy humanity,
[00:55:34.020 --> 00:55:38.420]   but all of those stories are about all of these unexpected, weird, and deeply unsettling quarter
[00:55:38.420 --> 00:55:45.140]   cases and ambiguities that occur at the, the boundaries of these laws, that these like simple laws don't
[00:55:45.140 --> 00:55:51.300]   simply make the robots behave like, like a very well-behaved person. All this sort of weird stuff happens.
[00:55:51.300 --> 00:55:58.500]   I'll read from the article here just to show you like how unsettling things got in these iRobot stories.
[00:55:58.500 --> 00:56:03.140]   So here's, here's from one of the stories, um, that shows how you can still have the laws,
[00:56:03.140 --> 00:56:07.620]   but still have things get weird. All right. So in Asimov's story's reason,
[00:56:07.620 --> 00:56:13.460]   engineers are stationed on a solar station that beams the sun's energy to a receiver on earth.
[00:56:13.460 --> 00:56:19.220]   There they discover that their new advanced reasoning robot QT-1, who they call QT, does not believe
[00:56:19.220 --> 00:56:24.580]   that it was created by humans, which QT calls inferior creatures with poor reasoning faculties.
[00:56:25.380 --> 00:56:31.060]   QT concludes that the station's energy converter is a sort of God and the true source of authority,
[00:56:31.060 --> 00:56:35.780]   which enables the robot to ignore commands from the engineers without violating the second law.
[00:56:35.780 --> 00:56:39.220]   In one particularly disturbing scene, one of the engineers enters the engine room,
[00:56:39.220 --> 00:56:43.940]   where a structure called an L tube directs the captured solar energy and reacts with shock.
[00:56:43.940 --> 00:56:45.060]   So quote,
[00:56:45.060 --> 00:56:51.380]   "The robots, dwarfed by the mighty L tube, lined up before it, heads bowed at a stiff angle,
[00:56:51.380 --> 00:56:54.420]   while QT walked up and down the line slowly," Asimov writes.
[00:56:54.420 --> 00:56:59.380]   "15 seconds passed. And then with a clank heard above the clamorous purring all about,
[00:56:59.380 --> 00:57:04.740]   they fell to their knees." So like the world was pretty unsettling in Asimov too. He's like,
[00:57:04.740 --> 00:57:13.700]   yeah, you can have these like stark rules, but human ethics is complicated. And at the margins of these
[00:57:13.700 --> 00:57:18.020]   rules, weird, unsettling, troubling things are still going to happen. And what I argue is that Asimov was
[00:57:18.020 --> 00:57:23.540]   actually making a really clear point. He's like, I think we could stop AIs from taking over the world,
[00:57:23.540 --> 00:57:31.700]   but keep in mind, it is much easier to develop human-like capabilities and intellect than it is
[00:57:31.700 --> 00:57:36.980]   to develop human-like ethics. Human-like ethics is like a very complicated thing. What goes into the
[00:57:36.980 --> 00:57:44.100]   way that allows a customer service rep who's on a phone to know not to start randomly cursing or writing,
[00:57:44.100 --> 00:57:49.940]   mean disparaging poems about their company. Like what goes into that is actually something that
[00:57:49.940 --> 00:57:53.780]   happened over thousands of years of cultural evolution and personal experience and trial and
[00:57:53.780 --> 00:57:58.900]   error and ritual and story and inner social connection. It's a messy participatory, very human
[00:57:58.900 --> 00:58:03.940]   experience. So we can make machines sound a lot like humans and do a lot of human type stuff
[00:58:03.940 --> 00:58:08.980]   well before we can build machines that actually know how to really act like an ethical human. And in that
[00:58:08.980 --> 00:58:14.580]   gap, a lot of unsettling stuff's going to happen. That's what was true in iRobot and that's what we're
[00:58:14.580 --> 00:58:20.660]   seeing today. And it's something that we actually have to be ready for and willing to. It is, you know,
[00:58:20.660 --> 00:58:25.300]   the more we anthropomorphize these type of AI tools as like another type of human, but just in a machine,
[00:58:25.300 --> 00:58:29.780]   the more we're going to be creeped out and the more unsettling things are going to happen. So anyways,
[00:58:29.780 --> 00:58:34.420]   that was my article. The details are cool. There's a lot of deep details in there. So check it out at
[00:58:34.420 --> 00:58:40.020]   thenewyorker.com and also check out my article about it at calnewport.com for more information.
[00:58:40.020 --> 00:58:45.300]   All right, Jesse, I think that's all we have for today. Thank you everyone for listening. We'll be
[00:58:45.300 --> 00:58:49.780]   back next week. I'll actually be recording next week's episode from the road. So be ready for that.
[00:58:49.780 --> 00:58:54.100]   But it'll be a good one. And until then, as always, stay deep.
[00:58:55.220 --> 00:59:01.300]   Hey, if you liked today's discussion about the row schedules, you might also like episode 353,
[00:59:01.300 --> 00:59:06.180]   where I talked about summer schedules, changing your schedule during summer to be something that
[00:59:06.180 --> 00:59:11.700]   the row himself might've been happy with. Check it out. I think you'll like it. Here is the schedule
[00:59:11.700 --> 00:59:18.900]   that I more or less try to run during these summers of no external obligations.

