
[00:00:00.000 --> 00:00:06.720]   for the vast majority of human existence we've been nomadic and we've done these kind of wider
[01:42:21.360 --> 01:42:28.480]   forever magically but there they still had a conception that it didn't go on forever before
[01:42:28.480 --> 01:42:34.800]   right that there was other civilizations that came before in there and there this is the fourth creation
[01:42:34.800 --> 01:42:39.760]   this is the fourth creation and the gods made everybody the the first ones were made of mud and
[01:42:39.760 --> 01:42:47.440]   they melted the second ones were made of sticks but they were jerks to the animals um the the third ones
[01:42:47.440 --> 01:42:58.560]   were like us but uh but flawed and in some other way and then we're finally made of uh of the blood of the
[01:42:58.560 --> 01:43:05.680]   gods and corn we're made out of corn so we're we're perfect and as the as it explains to us
[01:43:05.680 --> 01:43:13.760]   the the the popol vu does we got it right this time there there is there there's no reason to believe
[01:43:13.760 --> 01:43:22.720]   that this creation has a set duration well one of the weird things is that the aztecs who we talk to a lot at
[01:43:22.720 --> 01:43:28.880]   the other people who have had contact they also had the concept of multiple creations before us but
[01:43:28.880 --> 01:43:36.800]   they were real clear to the spanish that they weren't all the same time element uh some of them were in
[01:43:36.800 --> 01:43:43.440]   the 300s of years some of them were in the 700s of years but they were not the same time period so
[01:43:44.320 --> 01:43:50.960]   our our mathematical logic that if the third creation was 13 this one must be third creation
[01:43:50.960 --> 01:43:58.960]   is in or also be 13 it's in direct opposition to what the aztecs told us about the nature of creations
[01:43:58.960 --> 01:44:04.640]   they're different time periods why do you think there was the myth of the previous creations did they
[01:44:04.640 --> 01:44:15.440]   have some kind of long multi-generational memory of prior civilizations it may have had some echo in the
[01:44:15.440 --> 01:44:22.000]   uh the flood myths right it's the same it's the same kind of major myths carried through long periods of
[01:44:22.000 --> 01:44:28.320]   time there's a lot of different opinions about it and you know they're like if they were all 13
[01:44:29.040 --> 01:44:36.880]   if we have five creations like the aztecs said and they were all 13 they would come up to roughly 25
[01:44:36.880 --> 01:44:42.240]   000 something years which is very close to that processional cycle so some people are like they
[01:44:42.240 --> 01:44:49.440]   designed it all to be one completion of the procession of the equinoxes and i mean that the
[01:44:49.440 --> 01:44:54.240]   that i don't believe that one but that one sure sounds good doesn't it that's that's going to get a lot
[01:44:54.240 --> 01:45:04.400]   of internet hits and one of the things i do obviously uh wonder about is um why the flood
[01:45:04.400 --> 01:45:12.800]   myth is part of like most societies and most religions i think that one's pretty easy it's the end of the
[01:45:12.800 --> 01:45:21.920]   ice age when the bathtub filled back up huh so it's just the ice age it's just it's the seas filling back up
[01:45:24.160 --> 01:45:31.360]   and they without really understanding what happened they just carried that story everybody knows that
[01:45:31.360 --> 01:45:37.120]   everybody's nice coastal village went underwater yeah and they had to they had to seek higher ground
[01:45:37.120 --> 01:45:41.600]   and then just like people like talking about the weather everybody was talking about the weather
[01:45:41.600 --> 01:45:48.240]   for many generations as the sea level was going up and then uh that that myth carried why do we live
[01:45:48.240 --> 01:45:55.440]   here grandpa well we used to live over there but then the water came and then many grandpas later
[01:45:55.440 --> 01:46:02.240]   is just kind of permeates every idea it becomes mythology but global mythology so that one you
[01:46:02.240 --> 01:46:07.360]   know there's a lot of things i don't have a reasonable explanation for but the uh but the flood myth
[01:46:08.320 --> 01:46:15.520]   is almost certainly is almost certainly the the rise in sea level so the this idea that every day represents
[01:46:15.520 --> 01:46:23.920]   uh that carries a spirit uh you know there's modern day astrology you know most people kind of consider
[01:46:23.920 --> 01:46:35.120]   astrology this um maybe a bit unscientific woo-woo type of um uh set of beliefs but do you think there's some wisdom that astrology carries
[01:46:36.560 --> 01:46:42.480]   from your scholarship of the maya calendar do you think if we carry that to the
[01:46:42.480 --> 01:46:46.480]   astrological perspective on the world do you think there's some wisdom there
[01:46:46.480 --> 01:46:56.160]   i don't know you know that i i have a woo-woo part of me i i i would like to believe that stuff but i don't
[01:46:56.160 --> 01:47:06.080]   think as a scientist it makes a i cannot come up with a biological scientific reason why that would be
[01:47:06.080 --> 01:47:16.320]   true and you know when you look at it objectively i mean really is everybody born with the sign scorpio
[01:47:16.320 --> 01:47:26.560]   a a moody person that's just uh that's just objectively not true um but it is funny how oftentimes these
[01:47:26.560 --> 01:47:34.960]   these maya uh horoscopes for lack of a better word do hit the mark there was some student who surveyed like
[01:47:34.960 --> 01:47:41.120]   three hundred people with the app i made and asked them about their greek sign and their maya sign and
[01:47:41.120 --> 01:47:47.920]   his conclusion for his term paper was that the maya one was working way better which that's that's
[01:47:47.920 --> 01:47:53.760]   fascinating at least that's that's fun but no i'm i think i'm too much of a scientist to believe
[01:47:53.760 --> 01:48:00.480]   that i i just don't have a a any foundation in science that would allow us to believe that the uh
[01:48:02.320 --> 01:48:08.240]   the month in which we were born in a cycle sets our personality and destiny
[01:48:08.240 --> 01:48:18.480]   i agree and yet there's so much mystery all around us that uh what i do like is the uh inbuilt humility
[01:48:18.480 --> 01:48:26.320]   to that world view um that there's this whole you can call it a spiritual world but a world that we don't
[01:48:26.320 --> 01:48:33.280]   under quite understand and then you can wonder about what is the wisdom that that world carries
[01:48:33.280 --> 01:48:39.360]   and then you construct all kinds of systems to try to interpret that and then there is where the human
[01:48:39.360 --> 01:48:46.960]   hubris can come in and you know uh but it's good to be humbled by how little we know i suppose i do love
[01:48:46.960 --> 01:48:52.880]   the mysteries of the world and i i i would i would love to find an ancient civilization but i don't
[01:48:52.880 --> 01:48:58.160]   i i don't want to solve the mysteries of the world i think they're one of the things that make world
[01:48:58.160 --> 01:49:06.640]   life worth living that's true that's true um you mentioned the uh maya writing system what are some
[01:49:06.640 --> 01:49:12.560]   interesting aspects of their language that they've used in the written language that they used well you know
[01:49:12.560 --> 01:49:18.560]   one of the things that confound me as a guy who's spent you know better portion of my life studying
[01:49:18.560 --> 01:49:25.040]   it i had the honor of being uh the student of uh linda shealy right here at the university of texas at
[01:49:25.040 --> 01:49:32.560]   austin she got the group together who broke the maya code of hieroglyphics in the 1970s so i learned
[01:49:32.560 --> 01:49:38.160]   from the best and and loved every minute of it i miss linda can you speak to that code actually the
[01:49:38.160 --> 01:49:44.800]   hieroglyphic code and what it takes to break it oh boy i mean what a what a thing we we had kind of a
[01:49:44.800 --> 01:49:54.640]   a rosetta stone we had a page out of diego delanda's book a priest who was converting the maya in yucatan
[01:49:54.640 --> 01:50:03.120]   asked his informants about their writing system and what every sound meant and he was convinced they had a
[01:50:03.120 --> 01:50:09.920]   alphabet like we do so he got this maya guy sat down in spanish and he said okay you're gonna write
[01:50:09.920 --> 01:50:16.480]   all the symbols right here in my book right write an ah here write a bay here write a say here and that
[01:50:16.480 --> 01:50:24.240]   guy just wrote all of the sounds that the priest told him to write they were actually syllables they were
[01:50:24.240 --> 01:50:33.040]   vowel consonant combinations they weren't an alphabet but that turned into our rosetta stone of sorts
[01:50:33.040 --> 01:50:38.800]   the big key is that the maya still speak that same language there are millions of maya people who are
[01:50:38.800 --> 01:50:48.560]   speaking a version of maya now there's there's where i get confused that we've got a single writing
[01:50:48.560 --> 01:50:54.880]   system that is intelligible we've broken the code so we know that it's basically the same writing
[01:50:54.880 --> 01:51:04.800]   system from the top of the yucatan into guatemala and el salvador but we have 33 maya languages today
[01:51:04.800 --> 01:51:12.160]   that are mutually unintelligible and we we backwards project the language of what they spoke back then that
[01:51:12.160 --> 01:51:18.000]   the glyphs are in to something called chole tea which is a combination of chor tea and chole two of those
[01:51:18.000 --> 01:51:25.760]   languages but it doesn't work for me at all how did if there was one language maybe two back then
[01:51:25.760 --> 01:51:37.200]   how did it flower into 33 mutually unintelligible languages in just 500 years during uh culture acculturation
[01:51:37.200 --> 01:51:43.680]   and horrible infectious diseases that killed 90 percent of the population how did that happen
[01:51:43.680 --> 01:51:51.840]   so we're missing something huge here i think it's more like chinese where chinese letters uh uh writing
[01:51:51.840 --> 01:51:58.800]   can be read in multiple languages and still understood i don't know exactly the mechanics of how that would
[01:51:58.800 --> 01:52:05.920]   happen but it just seems impossible that there are more languages not less languages in the maya
[01:52:05.920 --> 01:52:11.520]   area after the last 500 years that they've been through so you think that there's some kind of
[01:52:11.520 --> 01:52:17.920]   process of either rapidly generating dialects or there always has been these dialects or i should say
[01:52:17.920 --> 01:52:24.400]   they're distinct languages even though there's a common writing system there must have been a way that
[01:52:24.400 --> 01:52:32.800]   multiple languages understood the same writing system or maybe there was something like like latin you know how
[01:52:32.800 --> 01:52:40.480]   there was a period in europe where like most people were illiterate and there was this this priesthood
[01:52:40.480 --> 01:52:48.080]   who all understood latin and they wrote in latin yeah maybe the the hieroglyphs represent a kind of
[01:52:48.080 --> 01:52:55.360]   latin in the ancient maya world but we don't really know and there's not clear evidence to fill in the gaps of
[01:52:55.360 --> 01:53:02.480]   how it's possible to have that right but we did realize it was actually a russian scholar named yuri
[01:53:02.480 --> 01:53:11.280]   konorozov who broke the code the americans and the europeans were absolutely sure that the language was
[01:53:11.280 --> 01:53:18.640]   uh that the written language was a dead language but yuri not knowing any of that not being filled with all of
[01:53:18.640 --> 01:53:26.960]   those thoughts from america and europe went about it in the way that he was taught uh in his in his grad
[01:53:26.960 --> 01:53:34.320]   school in moscow and just went to the dictionaries and he looked at yukatek language that they're speaking
[01:53:34.320 --> 01:53:41.680]   today and he applied it to the symbol system and he knew that there were certain sounds he used landa's
[01:53:41.680 --> 01:53:49.760]   alphabet and he found there was the his two key examples were a picture of a dog with a symbol over
[01:53:49.760 --> 01:53:59.600]   it and a picture of a turkey with a symbol over it and the dog uh a dog in yukatek is so he saw
[01:53:59.600 --> 01:54:06.000]   two symbols and he said this one's probably sue and this one's all and then the turkey was coots
[01:54:06.640 --> 01:54:13.040]   so it would be coo ending in sue and he showed how look you know this is suits this is soul
[01:54:13.040 --> 01:54:19.920]   those two things that that should be tsu are the same symbol and that began this process of
[01:54:19.920 --> 01:54:27.200]   unraveling the syllables that we're still working on today that's fascinating just that decoding process
[01:54:27.200 --> 01:54:32.560]   is fascinating like how do you even figure that out and there's probably still is there still are you
[01:54:32.560 --> 01:54:39.440]   aware of any um written languages that haven't been decoded yet yeah yeah there's a number of them
[01:54:39.440 --> 01:54:46.720]   there's uh easter island script i was just talking to uh we've apparently made a few advances there now
[01:54:46.720 --> 01:54:54.720]   it's called rongo rongo and we only have about maybe 25 examples of texts but we're beginning to break that
[01:54:55.280 --> 01:55:03.040]   there's also the the the big one is harapan harapan for a long time we used to say there were there were
[01:55:03.040 --> 01:55:14.400]   five independent scripts on the planet and those were chinese cuneiform which is mesopotamian egyptian
[01:55:14.400 --> 01:55:24.640]   maya and then harapan which is from northern india that's the only one that we've never cracked and now all the
[01:55:24.640 --> 01:55:31.200]   epigraphers the people that's the term for epigraphy is uh translating these languages they're all
[01:55:31.200 --> 01:55:36.480]   ganging up on harapan and want to kick it off the list because we can't break it it had a big enough
[01:55:36.480 --> 01:55:42.320]   symbol set but no one's been able to crack it and now they're saying it's just an elaborate symbol set
[01:55:42.320 --> 01:55:49.760]   and doesn't reflect the the spoken word that's uh that's a hypothesis but it's which is what would
[01:55:49.760 --> 01:55:54.480]   explain why it's so different right right but you know we could just be faced with a quitter generation
[01:55:54.480 --> 01:56:00.080]   maybe somebody will pick up the baton next generation these days with their the other one that fascinates
[01:56:00.080 --> 01:56:07.680]   me is from the americas it's the quipu the the inca had the quipu this knotted string records but it was
[01:56:07.680 --> 01:56:15.920]   definitely encoding more than just math we know the math i know lots i can do the math quipus and figure out
[01:56:16.720 --> 01:56:20.640]   what they're totaling and things yeah there's a quipu right there who are recording devices
[01:56:20.640 --> 01:56:25.760]   fashioned from strings historically used by a number of cultures in the region of andean south america
[01:56:25.760 --> 01:56:30.480]   a quipu usually consists of cotton or cabinet fiber string so there's a set of strings and they're
[01:56:30.480 --> 01:56:35.680]   supposed to what to be saying something there's one long string that the little ones dangle off of
[01:56:35.680 --> 01:56:42.960]   and each one of the the dangling strings have sets of knots on them and the knots some of them are
[01:56:42.960 --> 01:56:47.600]   mathematical keepus and those we can just do the math we can prove that it's math
[01:56:47.600 --> 01:56:54.800]   um they also encoded language in there they had entire libraries in cusco where
[01:56:54.800 --> 01:57:01.120]   spanish conquistadors were brought through and the caretakers of the libraries would just put
[01:57:01.120 --> 01:57:05.280]   they'd say uh pull that one down read that one to me and he'd pull it out and just read
[01:57:05.840 --> 01:57:11.920]   a history of something that happened 200 years earlier so it was definitely writing but in the
[01:57:11.920 --> 01:57:21.040]   1570s one uh one head of the church there had all of the people that could read them called kipu kamax
[01:57:21.040 --> 01:57:29.200]   gathered up had them read all of their kippus and transcribe them into spanish books and then had the
[01:57:29.200 --> 01:57:35.520]   kippus burned and those people murdered okay well there you go and so we can't break the code still
[01:57:35.520 --> 01:57:44.240]   today but we know it was absolutely a written language though it wasn't written it was weaved or knotted
[01:57:44.240 --> 01:57:51.360]   and there's still some keepers available that could be there's i think now we've just crossed the 1000 mark
[01:57:52.480 --> 01:57:59.840]   so we have a thousand kippus there's enough to break the code um and and i think this generation
[01:57:59.840 --> 01:58:06.720]   might be the one that does it it's sad that so fewer have survived yeah i mean a thousand is good but
[01:58:06.720 --> 01:58:14.400]   it's but see there's peru has barely scratched the surface with archaeology there's so much out there
[01:58:14.400 --> 01:58:22.080]   there's there was a priest i read about named diego de porres who was one of the early people in peru
[01:58:22.400 --> 01:58:28.960]   converting communities and his chronicle is real clear that he wanted to teach this community of
[01:58:28.960 --> 01:58:34.800]   three thousand people all the spanish prayers the important ones for them to be converted into
[01:58:34.800 --> 01:58:44.720]   christianity and he had the the community's kipu kamax not kippus for each person that told them that
[01:58:44.720 --> 01:58:50.240]   they could read them out and memorize the prayers and if they were caught without their kipu in town they
[01:58:50.240 --> 01:58:58.480]   were flogged so he had 3 000 of the same kipu made and handed out to this community if we find that
[01:58:58.480 --> 01:59:07.040]   community and find its cemetery there is a rosetta stone you know it is probably the case there is
[01:59:07.040 --> 01:59:13.760]   somebody in peru and maybe a large community that knows this language that understands and like you
[01:59:13.760 --> 01:59:18.960]   just have to show up and ask them and that's it's like they're like oh yeah yeah they there there are some
[01:59:18.960 --> 01:59:23.440]   communities that are using them there's a couple of them that we had high hopes for and then it was
[01:59:23.440 --> 01:59:29.760]   apparent that they were just making up they didn't actually know how to read it they just knew it used
[01:59:29.760 --> 01:59:33.840]   to be read so they like made a bunch of stuff about what it says and they bring it out and they act like
[01:59:33.840 --> 01:59:38.400]   they can read it but then when you ask them the details they don't know yeah but then on a much
[01:59:38.400 --> 01:59:45.920]   simpler level there's uh llama herders who keep a string in their pocket and they've they've got uh
[01:59:45.920 --> 01:59:51.280]   the knots equaling how many llamas they have and then they have subcategories of information like this
[01:59:51.280 --> 01:59:58.720]   one's sick uh we've lost these ones this one's pregnant so they have these more simple and more
[01:59:58.720 --> 02:00:06.400]   mathematical kipus but they're using them to affect as a as a record is it possible through archaeology
[02:00:06.400 --> 02:00:16.240]   to know what you know the social organization of the maya was like what uh maybe if there was a hierarchy
[02:00:16.240 --> 02:00:23.040]   maybe what the political structure was if there was a leader of different roles you know priests or
[02:00:23.040 --> 02:00:28.080]   like who had the power who was powerless who had certain kinds of roles is it possible to know that
[02:00:28.080 --> 02:00:33.040]   actually because of hieroglyphs yeah we know a whole lot there's you know basic things that archaeology
[02:00:33.040 --> 02:00:37.680]   which is a very blunt tool can figure out like this guy lives in a rich house this guy lives in a poor
[02:00:37.680 --> 02:00:46.640]   house but um the hieroglyphs tell us specific stuff about uh who can rule that it was hereditary
[02:00:46.640 --> 02:00:56.000]   that uh that hereditary rule was based on royal blood that could be burned and connect to the
[02:00:56.000 --> 02:01:01.760]   ancestors that lived up in the sky versus the one that's lived in the underworld it also told us things
[02:01:01.760 --> 02:01:10.080]   about hierarchy like that there were councils of lords underneath the king who each represented clans
[02:01:10.080 --> 02:01:18.400]   who had their own neighborhoods and that there were revolving positions of uh authority there was uh the
[02:01:18.400 --> 02:01:26.000]   the site that i mapped for my dissertation and spent years in the jungle there uh palenque had a lord's
[02:01:26.000 --> 02:01:34.560]   title named fire lord that was one of the like generals of their army and we could tell that position
[02:01:34.560 --> 02:01:43.760]   changed over time so there was one guy named chock suits who was the fire lord uh for the early part
[02:01:43.760 --> 02:01:49.840]   of a reign of a king called the kalmonab and then by the time he carves this other panel there's another
[02:01:49.840 --> 02:01:58.800]   guy in the position of kak ahal which was the fire lord and so he had got promoted it was uh well he
[02:01:58.800 --> 02:02:05.440]   could have been killed i mean the case of that but then we have the interesting case of uh in the post
[02:02:05.440 --> 02:02:11.920]   classic they shed the idea of kings they don't like kings anymore that's probably a big part of why the
[02:02:11.920 --> 02:02:17.840]   classic disappearance and the abandonment of all those cities happened people just got sick of kings
[02:02:18.800 --> 02:02:25.280]   and so they turned into this more council system at chichen itza but then when chichen itza falls
[02:02:25.280 --> 02:02:31.680]   there's a new city that's uh that's architecture looks a lot like chichen itza it's called mayapon
[02:02:31.680 --> 02:02:41.840]   but it has uh what is called the league of mayapon and it has a council of representatives from the
[02:02:41.840 --> 02:02:49.440]   communities from all around the yucatan and it is basically a democracy it's a it is a maya democracy
[02:02:49.440 --> 02:02:56.400]   that happens the individuals from all around the yucatan are there they each each family has their own
[02:02:56.400 --> 02:03:02.080]   council house at mayapon though they live back at their place it's kind of like a maya congress
[02:03:02.800 --> 02:03:10.560]   representative democracy it it really was i mean and this happens in uh i guess 1250
[02:03:10.560 --> 02:03:18.640]   a.d that this this maya democracy happens and we know the names of them we know the families and of
[02:03:18.640 --> 02:03:25.120]   course they were humans so eventually they screwed it all up one family murdered another family and the
[02:03:25.120 --> 02:03:30.800]   whole the whole city burned yeah and of course it's probably some fascinating corruption which is hard
[02:03:30.800 --> 02:03:36.080]   to discover through uh part of it was the aztecs screwing things up the aztecs came down with all
[02:03:36.080 --> 02:03:41.760]   sorts of like we'll buy everything you're making and then eventually they were like could we maybe buy some
[02:03:41.760 --> 02:03:46.880]   humans yeah and then one family was like no and the other family was like i don't know they're making
[02:03:46.880 --> 02:03:52.880]   us a lot of money so then you know they they murdered each other and the water supply got
[02:03:52.880 --> 02:04:00.240]   polluted and then the city burned it seems like slavery murder and disease is a large component
[02:04:00.240 --> 02:04:08.320]   of the story of humans um you mentioned different periods in the maya the classic the post classic
[02:04:08.320 --> 02:04:13.040]   the pre-classic the archaic can you just speak to that so archaic is before there was really a
[02:04:13.040 --> 02:04:18.160]   civilization that was uh archaic is pretty much when everybody's hunter gatherers so the classic
[02:04:18.160 --> 02:04:24.320]   period was the golden age and then the pre-classic is the interesting time that we were talking about
[02:04:24.320 --> 02:04:31.360]   and the post-classic is when the democracy came about well midway through it yeah reverted back to
[02:04:31.360 --> 02:04:38.720]   council systems the maya loved to be part of councils so yeah we have pre-classic is like the origins
[02:04:38.720 --> 02:04:44.240]   of civilization they're starting to build cities they're starting to create their calendar they're
[02:04:44.240 --> 02:04:52.000]   starting to create these wonderful works of art and the classic period if you look at at 10 different
[02:04:52.000 --> 02:04:57.680]   textbooks for the maya you'll get 10 different dates that wiggle around in there but basically
[02:04:57.680 --> 02:05:03.360]   that's the that's the age of kings to me that's when these cities decide that they're going to organize
[02:05:03.360 --> 02:05:10.880]   themselves around uh elite royal families that have this magical blood that can contact their ancestors
[02:05:10.880 --> 02:05:18.080]   that are directly in contact with the gods the maya never contact their gods directly they contact
[02:05:18.080 --> 02:05:25.680]   their ancestors who are up there who act like liaisons to the gods and so the maya age of kings has these
[02:05:26.240 --> 02:05:32.400]   dynasties sprouting up where these people have you know basically snowed the rest of the people that
[02:05:32.400 --> 02:05:39.760]   they've got a special quality of their blood and only their offspring can do the same trick and talk
[02:05:39.760 --> 02:05:47.600]   to the gods where everybody every joe maya can let their blood and burn it and contact their ancestor
[02:05:47.600 --> 02:05:54.160]   but joe maya's dad is just a corn farmer who lives down below and he's got no influence over the gods
[02:05:54.800 --> 02:06:02.560]   but the rulers their their spirits go down briefly but then they go up into the heavens and reside
[02:06:02.560 --> 02:06:09.200]   where the gods are and can act as liaisons so that's the validation for this kingship that happens
[02:06:09.200 --> 02:06:18.800]   for about 400 years i know we we say 250 to 900 which is kind of the the encompassing edges of it but it's
[02:06:18.800 --> 02:06:27.760]   interesting that it's actually specifically the ninth bach tune of their history the ninth bach tune begins
[02:06:27.760 --> 02:06:39.120]   in like 4 26 and it ends in like 8 29 so it's a 400 year period of time and before that there were no kings
[02:06:39.120 --> 02:06:43.520]   and after that there really aren't kings they're heads of councils
[02:06:44.720 --> 02:06:49.120]   so it's i i call it the age of kings where everybody's following the directives of
[02:06:49.120 --> 02:06:57.920]   basically a despot and for a while that's great i mean cities build up populations happening uh that's
[02:06:57.920 --> 02:07:04.480]   it's i i see it as kind of a cult of personality moment too strong charismatic leaders inspire people
[02:07:04.480 --> 02:07:10.720]   to do great things together but eventually like happens all the time with power too much power
[02:07:10.720 --> 02:07:18.960]   corrupts all of a sudden there's this unwieldy huge elite class that has to be treated special by
[02:07:18.960 --> 02:07:24.240]   everybody else and uh and they start saying well i think we should fight with those guys and you guys
[02:07:24.240 --> 02:07:30.160]   should go take these things and people eventually get sick of it and they walk away from these cities
[02:07:30.160 --> 02:07:36.320]   and that's how we get the mysterious maya collapse where all these cities are just gone that's one of the
[02:07:36.320 --> 02:07:42.480]   great mysteries of uh the maya civilization is that over a very short period of time what like 100 years
[02:07:42.480 --> 02:07:49.040]   it seems to have declined very rapidly it collapsed what do you think explains that what happened
[02:07:49.040 --> 02:07:58.400]   i think it's a failing of archaeology to properly see what was happening i think that most of those cities
[02:07:59.040 --> 02:08:06.720]   populations moved you know no more than 20 to 40 kilometers out and started their own farm and
[02:08:06.720 --> 02:08:12.720]   they lived in perishable houses and all archaeology signature sees is that nobody lives in the city
[02:08:12.720 --> 02:08:19.040]   center anymore we don't see a bunch of mass bodies there was no there's no evidence of people getting
[02:08:19.040 --> 02:08:26.000]   sick there are certain cities that fought with each other at the end and we see that signature plain as day
[02:08:26.000 --> 02:08:33.040]   we see we know when a city was attacked and burned mostly that didn't happen people moved and migrated
[02:08:33.040 --> 02:08:41.440]   and it seems like right there around like between 800 and 900 a lot of the elites that were on top
[02:08:41.440 --> 02:08:49.040]   in the most of it was in the rainforests of northern guatemala they move they move in two
[02:08:49.040 --> 02:08:55.600]   directions some of them move into the highlands of guatemala and some of them move up into the yucatan
[02:08:55.600 --> 02:09:05.680]   of the city of chichen itza becomes the next big capital in yucatan but the word itza is actually
[02:09:05.680 --> 02:09:14.880]   a word describing the people who lived around lake p10 itza in northern guatemala and all of the maya are
[02:09:14.880 --> 02:09:23.120]   super clear about that that the itza came in as immigrants with these new ideas and created chichen itza so
[02:09:23.120 --> 02:09:30.240]   the the elites who were no longer welcome in their cities just moved and set up shop somewhere else
[02:09:30.240 --> 02:09:36.480]   so why was there a decline what was maybe the catalyst was there specific kind of events that
[02:09:36.480 --> 02:09:42.640]   started this was this an idea that kind of transformed the society we are still debating that we i don't
[02:09:42.640 --> 02:09:48.480]   think there is a single reason i think humans are complicated i think a lot of things led to this
[02:09:49.360 --> 02:09:56.800]   one thing we can see archaeologically is that every one of the cities became overpopulated they were
[02:09:56.800 --> 02:10:03.680]   too popular and we think that they pushed the limits of their capacity to feed and house people
[02:10:03.680 --> 02:10:11.440]   we see it in lots of the cities at the end of the classic period that people are seasonally starving
[02:10:12.640 --> 02:10:20.960]   i remember uh really stark evidence in copan honduras copan was this beautiful city lineage of 17 kings
[02:10:20.960 --> 02:10:26.480]   but the last kings and the last elite burials that we dig from the city center
[02:10:26.480 --> 02:10:33.760]   the teeth are the telling part they get this thing when you when you're growing up and you're not getting
[02:10:33.760 --> 02:10:41.200]   enough food seasonally it shows up in the enamel of your teeth that's called a dental hypoplasia
[02:10:41.200 --> 02:10:49.840]   and if somebody's seasonally starving it gets these lines in their teeth and that last generation of maya
[02:10:49.840 --> 02:10:57.840]   before they left copan even the rich people are seasonally starving so there's a problem there for sure
[02:10:59.040 --> 02:11:05.760]   but i also think it's a it's a weird thing it was not an empire it was a group of independent city
[02:11:05.760 --> 02:11:12.720]   states like greece some of them were allied some of them were enemies there was a huge civil war that
[02:11:12.720 --> 02:11:18.960]   settled out about the end of the classic period so if it was europe you know the victors would have
[02:11:18.960 --> 02:11:25.440]   taken over the losers would have beat it and gone wherever they went but when they abandoned these cities
[02:11:25.440 --> 02:11:31.120]   that were independent still they all left both the guys that won and the guys that lost the war so it
[02:11:31.120 --> 02:11:38.640]   couldn't be just as simple as spoils go to the victor um it's such a wide area not everybody was
[02:11:38.640 --> 02:11:46.640]   starving like the people in the copan valley so i i personally think it was calendrically timed it is
[02:11:46.640 --> 02:11:54.160]   interesting to note that that ninth period that ninth 400 year period ends right then and i think a lot of
[02:11:54.160 --> 02:11:59.920]   people you know i can't prove it archaeologically but i think a lot of people said we're coming to the
[02:11:59.920 --> 02:12:07.200]   end of a great cycle and we need to renew we need to change what we're doing when you talk to the maya
[02:12:07.200 --> 02:12:13.680]   today like at the end of this uh 2012 thing if you actually talk to maya say you know what happens at
[02:12:13.680 --> 02:12:23.280]   the end of a big cycle here they say cycles are a time of renewal and transformation that it is all of our
[02:12:23.280 --> 02:12:29.200]   obligation to change our lives at the end of cycles that change is coming we can either be
[02:12:29.200 --> 02:12:36.160]   part of it or we can get steamrolled by it the aztecs did this neat thing called the new fire ceremony
[02:12:36.160 --> 02:12:43.360]   every 52 years which was the biggest their calendar would go they'd burn down perfectly good temples
[02:12:43.360 --> 02:12:52.880]   and they'd burn down their houses sometimes and they would just everybody in in society would perform this what they call the new fire
[02:12:52.880 --> 02:13:00.160]   ceremony and they would renew the world so i think my personal theory is that the maya
[02:13:00.160 --> 02:13:06.400]   decided at the end of the ninth bach tune that it was time to renew the world i think this theory makes
[02:13:06.400 --> 02:13:10.960]   sense because they really internalized the calendar i mean it was a really big part of their culture
[02:13:10.960 --> 02:13:20.400]   the sense of the cyclical nature of civilization that's what i think i think that uh that they created that
[02:13:20.400 --> 02:13:28.480]   calendar to perceive the cycle and to harmonize with it yeah uh you mentioned aztec what was the origin of
[02:13:28.480 --> 02:13:37.200]   the aztec where did these where do these people come from at what time and how you know almost every
[02:13:37.200 --> 02:13:42.480]   one of the cultures we're talking about now we have two different versions of the answer to that question
[02:13:43.360 --> 02:13:50.800]   we have the archaeology version and we have the aztecs themselves the aztecs have this wonderful
[02:13:50.800 --> 02:14:00.080]   migration story where they say that they came from a place well to the north called aslan and that they
[02:14:00.080 --> 02:14:06.880]   had this migration that went through kind of a hero's journey where they go to this snake mountain place
[02:14:06.880 --> 02:14:14.560]   and they encounter uh the birth of the war god that they'll worship after this and how they stepped
[02:14:14.560 --> 02:14:23.920]   into the valley of mexico as the last the lost brothers of everyone in the valley of mexico they said that they
[02:14:23.920 --> 02:14:34.640]   all came from the north near aslan is a place a cave with seven different passages called uh chiqui mostac and that
[02:14:34.640 --> 02:14:41.440]   all the people who spoke the language nahuatl came from the cave and most of them went early to the valley
[02:14:41.440 --> 02:14:49.440]   of mexico and in the aztecs uh story they were just the lost tribe they were the last brothers to come in
[02:14:50.480 --> 02:14:58.080]   and but then they show up late game and they become mercenaries they just start working for
[02:14:58.080 --> 02:15:02.000]   communities in the valley of mexico and this takes place
[02:15:02.000 --> 02:15:11.440]   in the 1300s so about 200 years before cortez shows up the aztecs show up to the valley of mexico
[02:15:11.440 --> 02:15:18.400]   and they make themselves this uh indispensable group of mercenaries they do the dirty work
[02:15:19.040 --> 02:15:26.880]   the all the all the all the civilized uh communities around lake texcoco which is in the middle of the
[02:15:26.880 --> 02:15:33.680]   which is now mexico city it's all dried up but uh those guys were too civilized to fight with each other
[02:15:33.680 --> 02:15:38.880]   but they could hire the aztecs to do their dirty stuff so the aztecs did that and really changed the
[02:15:38.880 --> 02:15:47.360]   politics in the game of the valley of mexico the dirty stuff does the load of the muscle yeah they'd go in and
[02:15:47.360 --> 02:15:53.280]   and they they'd kill whoever you wanted killed and now you're the king of this area so one of these
