
[00:00:00.000 --> 00:00:02.000]   Welcome back everybody
[00:53:58.740 --> 00:54:03.060]   Right. So here's my sum and here's my multiply
[00:54:03.060 --> 00:54:07.940]   I then take that and I go max of zero comma that and
[00:54:07.940 --> 00:54:12.260]   So that's my rectified linear unit. So it sounds very fancy
[00:54:13.220 --> 00:54:19.540]   Rectified linear unit, but what they actually mean is open up Excel and type equals max zero comma thing. Okay
[00:54:19.540 --> 00:54:26.020]   That's all a red and you'll see people in the biz sort of say real you okay
[00:54:26.020 --> 00:54:33.700]   So really you means rectified linear unit means max zero comma thing and I'm not like simplifying it
[00:54:33.700 --> 00:54:37.780]   I really mean it like when I say like if I'm simplifying always say I'm simplifying
[00:54:38.060 --> 00:54:44.460]   But if I'm not saying I'm simplifying that's the entirety. Okay, so a rectified linear unit in its entirety is this
[00:54:44.460 --> 00:54:50.060]   And a convolution in its entirety is is this
[00:54:50.060 --> 00:54:58.940]   Okay, so a single layer of a convolutional neural network is being implemented in its entirety
[00:54:58.940 --> 00:55:07.900]   Here in Excel, okay, and so you can see what it's done is it's deleted pretty much the vertical edges
[00:55:08.020 --> 00:55:10.580]   And highlighted the horizontal edges
[00:55:10.580 --> 00:55:13.580]   so again, this is assuming that
[00:55:13.580 --> 00:55:15.900]   our network is trained and
[00:55:15.900 --> 00:55:22.020]   That at the end of training it had created a convolutional filter with these specific nine numbers in
[00:55:22.020 --> 00:55:26.860]   And so here is a second convolutional filter
[00:55:26.860 --> 00:55:29.860]   It's just a different nine numbers
[00:55:29.860 --> 00:55:36.000]   Now pie torch doesn't store them as two separate nine digit arrays
[00:55:36.500 --> 00:55:42.660]   It stores it as a tensor. Remember a tensor just means an array with
[00:55:42.660 --> 00:55:48.280]   More dimensions. Okay, you can use the word array as well
[00:55:48.280 --> 00:55:54.700]   It's the same thing but in pytorch. They always use the word tensor. So I'm going to say tensor
[00:55:54.700 --> 00:56:00.180]   Okay, so it's just a tensor with an additional axis which allows us to stack
[00:56:00.180 --> 00:56:02.780]   Each of these filters together
[00:56:02.780 --> 00:56:05.340]   right a filter and kernel
[00:56:06.260 --> 00:56:11.100]   Pretty much mean the same thing. Yeah, right it refers to one of these three by three
[00:56:11.100 --> 00:56:14.340]   Matrices or one of these three by three
[00:56:14.340 --> 00:56:18.380]   slices of a three dimensional tensor
[00:56:18.380 --> 00:56:23.980]   So if I take this one and here I've literally just copied the formulas in Excel from above
[00:56:23.980 --> 00:56:32.820]   Okay, and so you can see this one is now finding a vertical edge as we would expect. Okay, so
[00:56:34.860 --> 00:56:36.860]   We've now created
[00:56:36.860 --> 00:56:39.500]   One
[00:56:39.500 --> 00:56:44.500]   Layer right this here is a layer and specifically we'd say it's a hidden layer
[00:56:44.500 --> 00:56:51.060]   Which is it's not an input layer and it's not an output layer. So everything else is a hidden layer. Okay, and
[00:56:51.060 --> 00:56:55.180]   this particular hidden layer has is
[00:56:55.180 --> 00:57:00.060]   A size 2 on this dimension, right because it has two
[00:57:00.060 --> 00:57:03.220]   Filters
[00:57:03.220 --> 00:57:05.220]   Right two kernels
[00:57:05.220 --> 00:57:08.740]   So what happens next
[00:57:08.740 --> 00:57:11.260]   Well
[00:57:11.260 --> 00:57:12.900]   Let's do another one
[00:57:12.900 --> 00:57:16.340]   Okay, so as we kind of go along things can
[00:57:16.340 --> 00:57:24.060]   Multiply a little bit in complexity right because my next filter is going to have to contain
[00:57:24.060 --> 00:57:30.580]   Two of these three by threes because I'm going to have to say how do I want to bring how do I want to?
[00:57:30.900 --> 00:57:37.220]   Wait these three things and at the same time, how do I want to wait the corresponding three things down here?
[00:57:37.220 --> 00:57:39.260]   But because in PyTorch
[00:57:39.260 --> 00:57:45.900]   This is going to be this whole thing here is going to be stored as a multi-dimensional tensor, right?
[00:57:45.900 --> 00:57:51.660]   So you shouldn't really think of this now as two three by three kernels, but one
[00:57:51.660 --> 00:57:54.980]   two by three by three kernel
[00:57:54.980 --> 00:57:59.460]   Okay, so to calculate this value here
[00:58:00.420 --> 00:58:05.180]   I've got the sum product of all of that plus
[00:58:05.180 --> 00:58:08.260]   the sum product of
[00:58:08.260 --> 00:58:11.940]   Scroll down
[00:58:11.940 --> 00:58:14.420]   All of that
[00:58:14.420 --> 00:58:16.620]   Okay, and
[00:58:16.620 --> 00:58:22.420]   So the top ones are being multiplied by this part of the kernel and the bottom ones are being multiplied by this part of the
[00:58:22.420 --> 00:58:24.420]   kernel and so over time
[00:58:25.060 --> 00:58:31.020]   You want to start to get very comfortable with the idea of these like higher dimensional?
[00:58:31.020 --> 00:58:33.820]   Linear combinations, right?
[00:58:33.820 --> 00:58:39.340]   Like it's it's harder to draw it on the screen like I had to put one above the other
[00:58:39.340 --> 00:58:44.660]   But conceptually just stack it in your mind like this. That's really how you want to think
[00:58:44.660 --> 00:58:47.880]   Right and actually Jeffrey Hinton in his original
[00:58:47.880 --> 00:58:50.740]   2012 neural nets
[00:58:50.860 --> 00:58:57.660]   Coursera class has a tip which is how all computer scientists deal with like very high dimensional spaces
[00:58:57.660 --> 00:59:06.080]   Which is that they basically just visualize the two-dimensional space and then say like 12 dimensions really fast in their head lots of times
[00:59:06.080 --> 00:59:11.620]   So that's it right we can see two dimensions on the screen, and then you just got to try to trust
[00:59:11.620 --> 00:59:17.220]   That you can have more dimensions like the concepts just you know
[00:59:17.220 --> 00:59:20.420]   There's there's nothing different about them, and so you can see in Excel
[00:59:20.420 --> 00:59:26.860]   You know Excel doesn't have the ability to handle three-dimensional tenses, so I had to like say okay take this two-dimensional
[00:59:26.860 --> 00:59:34.460]   Dot product add on this two-dimensional dot product right, but if there was some kind of 3d excel
[00:59:34.460 --> 00:59:36.940]   I could have just done that in a single formula
[00:59:36.940 --> 00:59:45.140]   And then again apply max 0 comma otherwise known as rectified linear unit otherwise known as real you
[00:59:45.460 --> 00:59:51.600]   Okay, so here is my second layer, and so when people create different
[00:59:51.600 --> 00:59:55.140]   architectures right and architecture means
[00:59:55.140 --> 01:00:03.280]   Like how big is your kernel at layer one how many filters are in your kernel at layer one so here?
[01:00:03.280 --> 01:00:05.100]   I've got a 3 by 3
[01:00:05.100 --> 01:00:11.180]   Where's number one and a 3 by 3 there's number two so like this architecture?
[01:00:11.180 --> 01:00:16.900]   I've created starts off with two three by three convolutional kernels and
[01:00:16.900 --> 01:00:19.940]   then my
[01:00:19.940 --> 01:00:25.900]   Second layer has another two kernels of size two by three by three
[01:00:25.900 --> 01:00:32.960]   So there's the first one and then down here. Here's the second two by three by three kernel, okay, and so
[01:00:32.960 --> 01:00:38.500]   Remember one of these specific where any one of these numbers is an activation
[01:00:39.500 --> 01:00:46.460]   Okay, so this activation is being calculated from these three things here and other three things up there
[01:00:46.460 --> 01:00:49.580]   And we're using these this two by three by three
[01:00:49.580 --> 01:00:52.020]   kernel okay
[01:00:52.020 --> 01:00:57.780]   And so what tends to happen is people generally give names to their layers, so I say okay
[01:00:57.780 --> 01:01:02.740]   Let's call this layer here cons one and this layer here
[01:01:02.740 --> 01:01:05.500]   and this and
[01:01:06.860 --> 01:01:11.680]   This layer here con two right so that's you know
[01:01:11.680 --> 01:01:18.840]   Generally, you'll just see that like when you print out a summary of a network every layer will have some kind of name
[01:01:18.840 --> 01:01:22.740]   Okay, and so then what happens next?
[01:01:22.740 --> 01:01:27.940]   Well part of the architecture is like do you have some max pooling?
[01:01:27.940 --> 01:01:33.460]   Whereabouts is that max pooling happens or in this architecture? We're inventing we're going to next step
[01:01:33.980 --> 01:01:38.660]   Is to max pooling okay max pooling is a little hard to?
[01:01:38.660 --> 01:01:41.980]   Kind of show in Excel, but we've got it
[01:01:41.980 --> 01:01:49.980]   So max pooling if I do a two by two max pooling it's going to have the resolution both height and width
[01:01:49.980 --> 01:01:52.660]   So you can see here that I've replaced
[01:01:52.660 --> 01:01:57.340]   These four numbers
[01:01:57.340 --> 01:02:00.100]   with the maximum of those four numbers
[01:02:00.740 --> 01:02:05.980]   Right and so because I'm having the resolution it only makes sense to actually have something every two cells
[01:02:05.980 --> 01:02:11.500]   Okay, so you can see here the way. I've got kind of the same
[01:02:11.500 --> 01:02:17.860]   Looking shape as I had back here, okay, but it's now half the resolution because I've replaced every
[01:02:17.860 --> 01:02:19.860]   two by two
[01:02:19.860 --> 01:02:25.620]   With its max and you'll notice like it's not every possible two by two I skip over from here
[01:02:25.620 --> 01:02:30.220]   So this is like starting at BQ and then the next one starts at
[01:02:31.020 --> 01:02:32.380]   Bs
[01:02:32.380 --> 01:02:36.540]   Right, so they're like non overlapping. That's why it's decreasing the resolution
[01:02:36.540 --> 01:02:40.800]   Okay, so anybody who's comfortable with spreadsheets
[01:02:40.800 --> 01:02:45.860]   You know you can open this and have a look and so after our max pooling
[01:02:45.860 --> 01:02:55.100]   There's a number of different things we could do next and I'm going to show you a kind of
[01:02:56.620 --> 01:03:04.860]   Classic old style approach nowadays in fact what generally happens nowadays is we do a max pool where we kind of like max across the
[01:03:04.860 --> 01:03:06.860]   entire size right
[01:03:06.860 --> 01:03:11.400]   But on older architectures and also on all the structured data stuff we do
[01:03:11.400 --> 01:03:17.100]   We actually do something called a fully connected layer, and so here's a fully connected layer
[01:03:17.100 --> 01:03:23.680]   I'm going to take every single one of these activations, and I'm going to give every single one of them a weight
[01:03:24.980 --> 01:03:28.900]   Right and so then I'm going to take over here
[01:03:28.900 --> 01:03:38.340]   here is the sum product of every one of the activations by every one of the weights for both of the
[01:03:38.340 --> 01:03:41.580]   Two
[01:03:41.580 --> 01:03:48.820]   Levels of my three-dimensional tensor right and so this is called a fully connected layer notice. It's different to a convolution
[01:03:48.820 --> 01:03:50.820]   I'm not going through a few at a time
[01:03:50.860 --> 01:03:58.380]   Right, but I'm creating a really big weight matrix right so rather than having a couple of little three by three kernels
[01:03:58.380 --> 01:04:01.260]   My weight matrix is now as big as the entire input
[01:04:01.260 --> 01:04:04.060]   And so as you can imagine
[01:04:04.060 --> 01:04:11.860]   Architectures that make heavy use of fully convolutional layers can have a lot of weights
[01:04:11.860 --> 01:04:18.700]   Which means they can have trouble with overfitting and they can also be slow and so you're going to see a lot
[01:04:19.420 --> 01:04:25.060]   An architecture called VGG because it was the first kind of successful deeper architecture
[01:04:25.060 --> 01:04:27.660]   It has up to 19 layers and VGG
[01:04:27.660 --> 01:04:33.020]   Actually contains a fully connected layer with 4,096 weights
[01:04:33.020 --> 01:04:38.060]   Connected to at a hidden layer with 4,000 sorry 4,096
[01:04:38.060 --> 01:04:46.260]   activations connected to a hidden layer with 4,096 activations, so you've got like 4,096 by
[01:04:46.900 --> 01:04:53.700]   4,096 multiplied by remember multiplied by the number of kind of kernels that we've calculated
[01:04:53.700 --> 01:04:56.540]   so in VGG
[01:04:56.540 --> 01:04:58.940]   there's
[01:04:58.940 --> 01:05:01.260]   This I think it's like 300 million
[01:05:01.260 --> 01:05:07.740]   Weights of which something like 250 million of them are in these fully connected layers
[01:05:07.740 --> 01:05:15.700]   So we'll learn later on in the course about how we can kind of avoid using these big fully connected layers and behind the scenes
[01:05:15.860 --> 01:05:21.620]   All the stuff that you've seen us using like res net and res next none of them use very large
[01:05:21.620 --> 01:05:24.580]   Fully connected layers you know you had a question
[01:05:24.580 --> 01:05:35.740]   So you tell us more about for example if we had like three channels of the input what would be the
[01:05:35.740 --> 01:05:41.500]   The shape yeah these filters right so that's a great question
[01:05:41.500 --> 01:05:49.740]   So if we had three channels of input it would look exactly like conv1 right conv1 kind of has two channels
[01:05:49.740 --> 01:05:55.820]   Right and so you can see with conv1. We had two channels so therefore our filters
[01:05:55.820 --> 01:06:00.460]   had to have like two channels per filter and so you could like
[01:06:00.460 --> 01:06:08.060]   Imagine that this input didn't exist you know and actually this was the input right so when you have a multi-channel input
[01:06:08.140 --> 01:06:14.480]   It just means that your filters look like this and so images often full color
[01:06:14.480 --> 01:06:19.020]   They have three red green and blue sometimes. They also have an alpha channel
[01:06:19.020 --> 01:06:24.660]   So however many you have that's how many inputs you need and so something which I know
[01:06:24.660 --> 01:06:30.540]   Yannette was playing with recently was like using a full color image net model
[01:06:30.540 --> 01:06:34.860]   In medical imaging for something called bone age calculations
[01:06:34.860 --> 01:06:40.940]   Which has a single channel and so what she did was basically take the the input
[01:06:40.940 --> 01:06:44.820]   The single channel input and make three copies of it
[01:06:44.820 --> 01:06:51.460]   So you end up with basically like one two three versions of the same thing which is like
[01:06:51.460 --> 01:06:58.260]   It's kind of it's not ideal like it's kind of redundant information that we don't quite want
[01:06:58.260 --> 01:07:03.420]   But it does mean that then if you had a something that expected a three channel
[01:07:04.180 --> 01:07:05.460]   convolutional filter
[01:07:05.460 --> 01:07:11.820]   You can use it right and so at the moment. There's a Kaggle competition for iceberg detection
[01:07:11.820 --> 01:07:13.820]   using
[01:07:13.820 --> 01:07:17.980]   Some funky satellite specific data format that has two channels
[01:07:17.980 --> 01:07:21.220]   So here's how you could do that you could
[01:07:21.220 --> 01:07:25.100]   Either copy one of those two channels into the third channel
[01:07:25.100 --> 01:07:29.580]   Or I think what people on Kaggle are doing is to take the average of the two
[01:07:30.420 --> 01:07:34.740]   Again, it's not ideal, but it's a way that you can use pre-trained networks
[01:07:34.740 --> 01:07:38.700]   Yeah, I've done a lot of
[01:07:38.700 --> 01:07:44.340]   fiddling around like that you can also actually I've actually done things where I wanted to use a
[01:07:44.340 --> 01:07:51.460]   Three channel image net network on four channel data. I had a satellite data where the fourth channel was near infrared
[01:07:51.460 --> 01:07:55.340]   And so basically I added an extra
[01:07:57.380 --> 01:07:58.780]   kind of
[01:07:58.780 --> 01:08:06.860]   Level to my convolutional kernels that were all zeros and so basically like started off by ignoring the new infrared band
[01:08:06.860 --> 01:08:11.380]   And so what happens it basically and you'll see this next week is
[01:08:11.380 --> 01:08:18.820]   That rather than having these like carefully trained filters when you're actually training something from scratch
[01:08:18.820 --> 01:08:21.420]   We're actually going to start with random numbers
[01:08:21.420 --> 01:08:24.300]   That's actually what we do we actually start with random numbers
[01:08:24.300 --> 01:08:28.140]   And then we use this thing called stochastic gradient descent which we've kind of seen
[01:08:28.140 --> 01:08:35.460]   Conceptually to slightly improve those random numbers to make them less random and we basically do that again and again and again
[01:08:35.460 --> 01:08:41.820]   Okay, great. Let's take a seven-minute break, and we'll come back at 750
[01:08:41.820 --> 01:08:52.900]   All right, so what happens next so we've got as far as
[01:08:53.260 --> 01:08:55.260]   as
[01:08:55.260 --> 01:08:57.100]   Doing a
[01:08:57.100 --> 01:09:03.420]   Fully connected layer right so we had our the results of our max Pauling layer got fed to a fully connected layer
[01:09:03.420 --> 01:09:10.860]   And you might notice those of you that remember your linear algebra the fully connected layer is actually doing a classic
[01:09:10.860 --> 01:09:13.260]   traditional matrix product
[01:09:13.260 --> 01:09:22.620]   Okay, so it's basically just going through each pair in turn multiplying them together and then adding them up to do a matrix product
[01:09:23.100 --> 01:09:25.100]   now
[01:09:25.100 --> 01:09:36.900]   In practice if we want to calculate which one of the 10 digits we're looking at
[01:09:36.900 --> 01:09:42.900]   This single number we've calculated isn't enough
[01:09:42.900 --> 01:09:46.100]   We would actually calculate
[01:09:46.100 --> 01:09:50.180]   10 numbers so what we would have is rather than just having
[01:09:50.860 --> 01:09:52.860]   one set of
[01:09:52.860 --> 01:09:58.340]   Fully connected weights like this and I say set because remember. There's like a whole
[01:09:58.340 --> 01:10:02.460]   3d kind of tensor of them we would actually need
[01:10:02.460 --> 01:10:05.300]   10 of those
[01:10:05.300 --> 01:10:08.520]   Right so you can see that these tensors start to get a little bit
[01:10:08.520 --> 01:10:14.940]   High dimensional right and so this is where my patience with doing it an Excel ran out
[01:10:15.220 --> 01:10:21.660]   But imagine that I had done this 10 times I could now have 10 different numbers all being calculated here
[01:10:21.660 --> 01:10:25.220]   Using exactly the same process right it just be 10 of these
[01:10:25.220 --> 01:10:28.620]   fully connected
[01:10:28.620 --> 01:10:32.540]   To by and by and
[01:10:32.540 --> 01:10:36.220]   Arrays basically
[01:10:36.220 --> 01:10:37.620]   and
[01:10:37.620 --> 01:10:42.780]   So then we would have 10 numbers being spat out, so what happens next?
[01:10:43.860 --> 01:10:45.580]   So next up
[01:10:45.580 --> 01:10:47.580]   We can open up a different Excel
[01:10:47.580 --> 01:10:49.940]   worksheet
[01:10:49.940 --> 01:10:52.540]   Entropy example that XLS that's got two
[01:10:52.540 --> 01:10:55.020]   different
[01:10:55.020 --> 01:10:57.340]   Worksheets one of them is called softmax
[01:10:57.340 --> 01:11:05.620]   And what happens here? I'm sorry I've changed domains rather than predicting whether it's a number from one not to nine
[01:11:05.620 --> 01:11:13.140]   I'm going to predict whether something is a cat a dog a plane of fish or building okay, so out of our that fully connected layer
[01:11:13.660 --> 01:11:18.340]   We've got in this case. We'd have five numbers and notice at this point
[01:11:18.340 --> 01:11:24.980]   There's no value okay, and then last layer. There's no value okay, so I can have negatives
[01:11:24.980 --> 01:11:30.140]   Okay, so I want to turn these five numbers
[01:11:30.140 --> 01:11:37.380]   Each into a probability I want to turn it into a probability from not to one that it's a cat
[01:11:37.380 --> 01:11:41.620]   That's a dog. There's a plane that it's a fish that it's a building and
[01:11:42.220 --> 01:11:47.860]   I want those probabilities to have a couple of characteristics first is that each of them should be between zero and one and
[01:11:47.860 --> 01:11:54.380]   The second is that they together should add up to one right? It's definitely one of these five things
[01:11:54.380 --> 01:11:59.420]   Okay, so to do that we use a different kind of activation function
[01:11:59.420 --> 01:12:07.380]   What's an activation function an activation function is a function that is applied to activations?
[01:12:07.380 --> 01:12:10.860]   so for example max zero comma
[01:12:11.740 --> 01:12:13.740]   something is a
[01:12:13.740 --> 01:12:16.940]   function that I applied to an activation
[01:12:16.940 --> 01:12:20.420]   So an activation function always takes in
[01:12:20.420 --> 01:12:26.540]   One number and spits out one number so max of zero comma X
[01:12:26.540 --> 01:12:30.900]   Takes in a number X and spits out some different number value of X
[01:12:30.900 --> 01:12:40.620]   That's all an activation function is and if you remember back to that PowerPoint we saw and
[01:12:41.420 --> 01:12:43.420]   Lesson one
[01:12:43.420 --> 01:12:48.020]   Each of our layers
[01:12:48.020 --> 01:12:50.300]   Was just a linear
[01:12:50.300 --> 01:12:53.860]   Function and then after every layer
[01:12:53.860 --> 01:12:56.860]   We said we needed some non-linearity
[01:12:56.860 --> 01:12:59.980]   Right because if you stack a bunch of
[01:12:59.980 --> 01:13:02.780]   linear layers together
[01:13:02.780 --> 01:13:05.260]   Right then all you end up with is a linear layer
[01:13:05.260 --> 01:13:07.260]   right
[01:13:07.260 --> 01:13:11.300]   So if somebody's talking can can you not I'm slightly distracting. Thank you
[01:13:11.300 --> 01:13:15.460]   If you stack a number of linear
[01:13:15.460 --> 01:13:22.540]   Functions together you just end up with a linear function and nobody does any cool deep learning with just linear functions
[01:13:22.540 --> 01:13:24.700]   All right, but remember we also learned
[01:13:24.700 --> 01:13:28.300]   that by stacking linear functions
[01:13:28.300 --> 01:13:35.060]   With in between each one a non-linearity we could create like arbitrarily complex shapes
[01:13:35.060 --> 01:13:42.100]   and so the non-linearity that we're using after every hidden layer is a value rectified linear unit a
[01:13:42.100 --> 01:13:46.180]   non-linearity is an activation function an
[01:13:46.180 --> 01:13:55.140]   Activation function is a non-linearity in in it within deep learning. Obviously, there's lots of other non-linearities in the world, but in deep learning
[01:13:55.140 --> 01:13:57.460]   This is what we mean
[01:13:57.460 --> 01:14:04.940]   So an activation function is any function that takes some activation in that's a single number and spits out some new activation
[01:14:05.220 --> 01:14:07.220]   like max of 0 comma
[01:14:07.220 --> 01:14:12.940]   So I'm now going to tell you about a different activation function. It's slightly more complicated than
[01:14:12.940 --> 01:14:16.660]   Rally-u, but not too much. It's called softmax
[01:14:16.660 --> 01:14:25.140]   softmax only ever occurs in the final layer at the very end and the reason why is that softmax always spits out
[01:14:25.140 --> 01:14:33.300]   Numbers as an activation function that always spits out a number between 0 and 1 and it always spits out a bunch of numbers
[01:14:33.300 --> 01:14:34.540]   That add to one
[01:14:34.540 --> 01:14:37.500]   So a softmax gives us what we want, right?
[01:14:37.500 --> 01:14:40.140]   in theory
[01:14:40.140 --> 01:14:47.260]   This isn't strictly necessary right like we could ask our neural net to learn a set of
[01:14:47.260 --> 01:14:49.220]   kernels
[01:14:49.220 --> 01:14:54.980]   Which have you know, which which give probabilities that line up as closely as possible with what we want
[01:14:54.980 --> 01:15:00.700]   But in general with deep learning if you can construct your architecture so that the desired
[01:15:01.300 --> 01:15:04.420]   characteristics are as easy to express as possible
[01:15:04.420 --> 01:15:09.460]   You'll end up with better models like they'll learn more quickly with less parameters
[01:15:09.460 --> 01:15:14.940]   So in this case, we know that our probabilities should end up being between 0 and 1
[01:15:14.940 --> 01:15:17.780]   We know that they should end up adding to one
[01:15:17.780 --> 01:15:22.140]   So if we construct an activation function, which always has those features
[01:15:22.140 --> 01:15:27.820]   Then we're going to make our neural network do a better job. It's going to make it easier for it
[01:15:27.820 --> 01:15:31.140]   It doesn't have to learn to do those things because it all happened automatically
[01:15:31.140 --> 01:15:35.580]   Okay, so in order to make this work
[01:15:35.580 --> 01:15:39.340]   We first of all have to get rid of all of the negatives
[01:15:39.340 --> 01:15:42.700]   Right, like we can't have negative probabilities
[01:15:42.700 --> 01:15:47.940]   So to make things not be negative one way we could do it is just go into the power of
[01:15:47.940 --> 01:15:52.300]   Right. So here you can see my first step is to go x of
[01:15:52.300 --> 01:15:57.380]   the previous one right and I think I've mentioned this before but
[01:15:57.740 --> 01:16:02.500]   Of all the math that you just need to be super familiar with to do deep learning
[01:16:02.500 --> 01:16:09.500]   The one you really need is logarithms and x's right all of deep learning and all of machine learning
[01:16:09.500 --> 01:16:12.300]   They appear all the time, right? So
[01:16:12.300 --> 01:16:16.100]   For example
[01:16:16.100 --> 01:16:20.500]   You absolutely need to know that
[01:16:20.500 --> 01:16:23.580]   log of
[01:16:23.580 --> 01:16:25.580]   x times y
[01:16:26.140 --> 01:16:28.360]   equals log of x
[01:16:28.360 --> 01:16:31.980]   plus log of y
[01:16:31.980 --> 01:16:38.180]   Right and like not just know that that's a formula that exists but have a sense of like what does that mean?
[01:16:38.180 --> 01:16:46.140]   Why is that interesting? Oh, I can turn multiplications into additions. That could be really handy, right and therefore
[01:16:46.140 --> 01:16:48.860]   log of x over y
[01:16:48.860 --> 01:16:53.780]   equals log of x minus log of y
[01:16:55.260 --> 01:17:00.220]   Again, that's going to come in pretty handy, you know rather than dividing I can just subtract things, right?
[01:17:00.220 --> 01:17:04.140]   And also remember that if I've got log of x
[01:17:04.140 --> 01:17:06.580]   equals y
[01:17:06.580 --> 01:17:08.580]   Then that means a to the y
[01:17:08.580 --> 01:17:11.780]   Equals x in other words log
[01:17:11.780 --> 01:17:17.480]   Log and a to the the inverse of each other
[01:17:18.980 --> 01:17:26.180]   Okay again, you just you need to really really understand these things and like so if you if you haven't spent much time with logs
[01:17:26.180 --> 01:17:28.020]   and x for a while
[01:17:28.020 --> 01:17:34.420]   You try plotting them in Excel or a little notebook have a sense of what shape they are how they combine together
[01:17:34.420 --> 01:17:37.240]   Just make sure you're really comfortable with them. So
[01:17:37.240 --> 01:17:40.620]   We're using it here, right?
[01:17:40.620 --> 01:17:47.340]   We're using it here. So one of the things that we know is a to the power of something is positive
[01:17:47.580 --> 01:17:52.860]   Okay, so that's great. The other thing you'll notice about a to the power of something is because it's a power
[01:17:52.860 --> 01:17:59.260]   Numbers that are slightly bigger than other numbers like 4 is a little bit bigger than 2.8
[01:17:59.260 --> 01:18:03.080]   When you go either the power of it really accentuates that difference
[01:18:03.080 --> 01:18:09.180]   Okay, so we're going to take advantage of both of these features for the purpose of deep learning. Okay, so we take our
[01:18:09.180 --> 01:18:15.820]   The results of this fully connected layer we go a to the power of for each of them
[01:18:16.420 --> 01:18:19.060]   and then we're going to
[01:18:19.060 --> 01:18:25.260]   And then we're going to add them up
[01:18:25.260 --> 01:18:29.540]   Okay, so here is the sum of a to the power of
[01:18:29.540 --> 01:18:32.820]   So then here
[01:18:32.820 --> 01:18:34.460]   We're going to take
[01:18:34.460 --> 01:18:39.300]   a to the power of divided by the sum of a to the power of so if you take
[01:18:40.140 --> 01:18:47.420]   All of these things divided by their sum then by definition all of those things must add up to 1 and
[01:18:47.420 --> 01:18:52.060]   Furthermore since we're dividing by their sum
[01:18:52.060 --> 01:18:57.100]   They must always vary between 0 and 1 because they're always positive
[01:18:57.100 --> 01:19:00.740]   Alright, and that's it. So that's what softmax is
[01:19:00.740 --> 01:19:05.340]   Okay, so I've got this kind of
[01:19:06.020 --> 01:19:11.460]   Doing random numbers each time right and so you can see like as I look through
[01:19:11.460 --> 01:19:19.140]   My softmax generally has quite a few things that are so close to 0 that they round down to 0 and you know
[01:19:19.140 --> 01:19:25.300]   Maybe one thing that's nearly 1 right and the reason for that is what we just talked about that is with the x
[01:19:25.300 --> 01:19:31.780]   Just having one number a bit bigger than the others tends to like push it out further, right?
[01:19:31.780 --> 01:19:36.420]   So even though my inputs here are random numbers between negative 5 and 5
[01:19:36.420 --> 01:19:42.460]   Right my outputs from the softmax don't really look that random at all in the sense that
[01:19:42.460 --> 01:19:47.260]   They tend to have one big number and a bunch of small numbers
[01:19:47.260 --> 01:19:49.460]   and
[01:19:49.460 --> 01:19:51.460]   Now that's what we want
[01:19:51.460 --> 01:19:55.860]   Right. We want to say like in terms of like is this a cat a dog a plane a fish or a building
[01:19:55.860 --> 01:19:59.260]   We really want it to say like it's it's that you know
[01:19:59.260 --> 01:20:04.180]   It's it's a dog or it's a plane not like I don't know
[01:20:04.180 --> 01:20:07.900]   Okay, so softmax has lots of these cool
[01:20:07.900 --> 01:20:15.700]   Properties right it's going to return a probability that adds up to one and it's going to tend to want to pick one thing
[01:20:15.700 --> 01:20:18.660]   particularly strongly
[01:20:18.660 --> 01:20:23.740]   Okay, so that's softmax your net. Could you pass actually bust me up?
[01:20:26.420 --> 01:20:33.460]   we how would we do something that as let's say you have an image and you want to kind of categorize as like cat and
[01:20:33.460 --> 01:20:35.460]   The dog or like as multiple things
[01:20:35.460 --> 01:20:38.540]   What what kind of function would we try to use?
[01:20:38.540 --> 01:20:41.300]   So happens we're going to do that right now
[01:20:41.300 --> 01:20:43.740]   so
[01:20:43.740 --> 01:20:50.060]   So have to think about why we might want to do that and so one reason we might want to do that is to do
[01:20:50.060 --> 01:20:51.460]   multi-label
[01:20:51.460 --> 01:20:57.780]   classification so we're looking now at listen to image models and specifically we're going to take a look at the
[01:20:57.780 --> 01:21:01.260]   planet competition satellite imaging competition
[01:21:01.260 --> 01:21:05.620]   Now the satellite imaging competition has
[01:21:05.620 --> 01:21:15.860]   Some similarities to stuff we've seen before right so before we've seen a cat versus dog and these images are a cat or a dog
[01:21:16.340 --> 01:21:21.860]   They're not neither. They're not both right, but the satellite imaging competition
[01:21:21.860 --> 01:21:29.600]   Has data as images that look like this and in fact every single one of the images is classified by weather
[01:21:29.600 --> 01:21:34.940]   There's four kinds of weather one of which is haze and another of which is clear
[01:21:34.940 --> 01:21:41.860]   In addition to which there is a list of features that may be present including agriculture
[01:21:41.860 --> 01:21:45.400]   Which is like some some cleared area used for agriculture
[01:21:45.980 --> 01:21:53.700]   Primary which means primary rainforest and water which means a river or a creek so here is a clear day
[01:21:53.700 --> 01:22:00.020]   Satellite image showing some agriculture some primary rainforest and some water features
[01:22:00.020 --> 01:22:05.300]   And here's one which is in haze and is entirely primary rainforest
[01:22:05.300 --> 01:22:10.260]   So in this case we're going to want to be able to show
[01:22:11.380 --> 01:22:17.640]   We're going to be able to predict multiple things and so softmax wouldn't be good because softmax doesn't like
[01:22:17.640 --> 01:22:22.340]   Predicting multiple things and like I would definitely recommend
[01:22:22.340 --> 01:22:26.860]   Anthropomorphizing your activation functions right they have personalities
[01:22:26.860 --> 01:22:31.780]   Okay, and the personality of the softmax is it wants to pick a thing
