
[00:00:00.040 --> 00:00:04.960]   all right everybody welcome to the number one podcast in the world here we are on the all in
[00:54:19.280 --> 00:54:25.680]   i think their approach to that is wrong i think that what she's done with the ftc against pharmacy
[00:54:25.680 --> 00:54:31.600]   benefit managers has been good right pharmacy benefit managers are ripping off more companies
[00:54:31.600 --> 00:54:37.680]   and costing and increasing the cost of medications more than anything else that's happening in healthcare
[00:54:37.680 --> 00:54:43.280]   and she's called them on the carpet with a recent report and just sued them i think that's good um
[00:54:43.280 --> 00:54:50.480]   i think in terms of other negatives like kamala harris now i think um the um um filibuster i
[00:54:50.480 --> 00:54:54.720]   think that's a mistake to try to get rid of the filibuster because then somebody else gets rid of it for
[00:54:54.720 --> 00:55:01.200]   something else and it's just cascading problems um on spending we talked about i think he spent too much
[00:55:01.200 --> 00:55:06.560]   so what and what have they done well i think he changed the tone of the country i think that was
[00:55:06.560 --> 00:55:12.480]   really really important no one woke up you know david calls it mean tweets but not waking up concerned
[00:55:12.480 --> 00:55:18.880]   about mean tweets is important not waking up concerned about there being some random um tariff on your
[00:55:18.880 --> 00:55:25.040]   company that you didn't expect not waking up being accused of of doing something i think those were all
[00:55:25.040 --> 00:55:35.440]   huge positives i think um supporting workers i think you know just having just a sensibility of okay we're
[00:55:35.440 --> 00:55:40.880]   not in the middle of everything there just wasn't this uncertainty like every single day that every
[00:55:40.880 --> 00:55:46.880]   business woke up with with trump just removing that was the biggest positive of all so let's look forward
[00:55:46.880 --> 00:55:54.480]   now to akamala harris candidacy for president of the things so we know the donald trump track record
[00:55:54.480 --> 00:55:59.760]   because he gets the credit for the things he got right and he has to take ownership of the things
[00:55:59.760 --> 00:56:05.440]   but how it's been defined i'll use the yeaman example again i'll use the price example on oil again
[00:56:05.440 --> 00:56:12.400]   the you know we have trump nisha right we presume that what he did in terms of the economy and everything
[00:56:12.400 --> 00:56:20.080]   and no wars you know no everything was just rosy under donald trump and i think that's another thing
[00:56:20.080 --> 00:56:24.240]   that's negative i'll be honest i've never heard this specific theory i'll take the time
[00:56:24.240 --> 00:56:28.640]   to look and figure it out for myself and i'll let you but what i'm curious about is that track record
[00:56:28.640 --> 00:56:34.880]   is there now how much of the and do you think it's important for us to give credit for the good
[00:56:34.880 --> 00:56:40.320]   things to kamala and responsibility for the bad things to kamala in that so that you have an equivalent
[00:56:40.320 --> 00:56:45.360]   a b comparison do you think about it that way or not no i don't and i'll tell you why okay i'm assuming
[00:56:45.360 --> 00:56:50.800]   all you guys have had a boss at one point or another yes yeah yeah and do you all agree with
[00:56:50.800 --> 00:56:58.240]   everything that that boss did all the time no no no but you had to do what the boss told you to do
[00:56:58.240 --> 00:57:02.960]   yeah and that's kamala's job but i like i like to take credit for when the boss tells me i'm owning
[00:57:02.960 --> 00:57:09.120]   something and then i do it well but at the same time you get credit for doing it but it doesn't
[00:57:09.120 --> 00:57:13.920]   matter you know if it turns out to be wrong it's still the boss that's on the hook for it what about
[00:57:13.920 --> 00:57:17.680]   the border mark because you made a comment about the border and she was declared the border czar
[00:57:17.680 --> 00:57:24.080]   yeah again that that's branding i mean we play branding games with politics all the time if you
[00:57:24.080 --> 00:57:30.400]   look at what her specific responsibility was i alluded to it earlier her job was to go to central america
[00:57:30.400 --> 00:57:35.600]   and talk to the heads of the countries there and try to reduce the reasons why people were leaving their
[00:57:35.600 --> 00:57:41.600]   countries to go to the united states why do you think they uh open the border so much i'm wondering
[00:57:41.600 --> 00:57:47.520]   mark there is a conspiracy theory or theory um you can you can pick how you want to frame it that this
[00:57:47.520 --> 00:57:52.080]   is to increase the number of democratic voters at the same time we hear that a lot of the folks coming
[00:57:52.080 --> 00:57:56.000]   in who are the working class that the republican party is now the populist party so those votes would
[00:57:56.000 --> 00:58:00.320]   go to the republicans so you know i've heard this argument from both sides what is another there's another
[00:58:00.320 --> 00:58:06.480]   theory an economic theory mark which is that it increases the base of workers when we're at our
[00:58:06.480 --> 00:58:12.000]   lowest unemployment rate in history and inflation is raging so by bringing in low-cost workers
[00:58:12.000 --> 00:58:17.200]   that you're that you're able to get to work at a lower wage rate you actually have a deflationary
[00:58:17.200 --> 00:58:21.120]   effect and a stimulatory effect because then they end up being extended and i get the logic there
[00:58:21.120 --> 00:58:26.400]   i don't think they're i think maybe they might have thought of that earlier and that's why they let too
[00:58:26.400 --> 00:58:31.840]   many people in but i think they realize now that they screwed up and that shouldn't be an executive
[00:58:31.840 --> 00:58:36.160]   authority right i mean that should be like a legislative congressional authority that makes
[00:58:36.160 --> 00:58:40.640]   that decision and that determination on whether to change immigration policy do you think that the
[00:58:40.640 --> 00:58:44.960]   executive branch should be able to unilaterally determine who comes into the country without
[00:58:44.960 --> 00:58:50.320]   following laws no i prefer that congress does it unfortunately that's just not what works look at the
[00:58:50.320 --> 00:58:58.400]   sec with gary gensler the guy's a moron and but you know they here we go we can agree on that actually
[00:58:58.400 --> 00:59:02.640]   yeah so that's an area we can we can agree on but before we get to that so so your claim on board we
[00:59:02.640 --> 00:59:09.200]   finally found ground truth here we go no we can agree on we can agree on that we'll get to that but
[00:59:09.200 --> 00:59:14.560]   but before before we do that i just want to finish up on border here so your claim is that kamala harris
[00:59:14.560 --> 00:59:21.760]   really wanted to seal the border but she was prevented no david you're really good at trying
[00:59:21.760 --> 00:59:27.360]   to position things so you have you know you have talking points to go out with um so i'm just you
[00:59:27.360 --> 00:59:35.040]   said that this is a case of a vp who was thwarted by her boss no that is not what i said okay so you
[00:59:35.040 --> 00:59:39.920]   admit you are the king of virtue signaling david no no no that's not virtue signaling okay so the
[00:59:39.920 --> 00:59:45.760]   truth is she was on board with joe biden's agenda i don't know she's doing what she was told which
[00:59:45.760 --> 00:59:52.400]   one is it there's no you're creating false choices david you're creating false so david if you do the
[00:59:52.400 --> 00:59:59.200]   job your boss told you to do does that do you make a declaration before you do it if i agree or disagree
[00:59:59.200 --> 01:00:03.200]   how do you know she disagreed with joe biden about these policies because i see what she's doing now
[01:00:04.000 --> 01:00:08.160]   well because she changed the policy right she has a different policy election year conversion she
[01:00:08.160 --> 01:00:14.000]   realizes what a disaster it's been so so when trump does it it's brilliant let me give you the proof
[01:00:14.000 --> 01:00:20.960]   okay her own words okay so she flipped her position she called trump's border wall un-american and medieval
[01:00:20.960 --> 01:00:25.840]   and mocked it and this is before she became biden's vice president right around the same time hold on when
[01:00:25.840 --> 01:00:30.320]   she was in the senate and trump was trying to build the wall remember democrats tried to thwart that they
[01:00:30.320 --> 01:00:36.560]   subjected him to years of litigation to prevent him from building that wall and she multiple times was
[01:00:36.560 --> 01:00:43.600]   on record saying the wall was un-american medieval mocked and so forth she also compared ice to the kkk
[01:00:43.600 --> 01:00:49.760]   she said that images of border patrol agents evoke slavery okay this is her rhetoric i don't think joe
[01:00:49.760 --> 01:00:56.000]   biden made her say that she suggested that we abolish ice and start from scratch okay and now
[01:00:56.000 --> 01:01:01.040]   she wants to talk about how tough she is on the border it's ridiculous maybe she talked to jd vance
[01:01:01.040 --> 01:01:07.760]   back then and was taking his positions people change their mind for whatever reason people learn your
[01:01:07.760 --> 01:01:13.520]   positioning as okay so for so hold on so so throughout her whole time in the senate she was arguing against
[01:01:13.520 --> 01:01:18.720]   the border wall okay in the strongest possible language she then becomes border czar or you could call
[01:01:18.720 --> 01:01:25.280]   it point person for the biden administration and for three years they gaslit us that the border was
[01:01:25.280 --> 01:01:30.640]   not a problem that was not an open festering wound like the videos were constantly coming out i remember
[01:01:30.640 --> 01:01:34.800]   on the show we talked about it and i was told when i raised the issue of the border that was a conspiracy
[01:01:34.800 --> 01:01:39.680]   theory that fox news was just cherry picking videos remember that jason in any event yeah well people were
[01:01:39.680 --> 01:01:44.160]   actually it was interesting to bring that up because people were sharing people were sharing videos and
[01:01:44.160 --> 01:01:48.960]   playing them on fox that were from like 10 years ago so there was a lot of misinformation democrats
[01:01:48.960 --> 01:01:54.000]   the whole thing about caravans david all those caravans never made it to the border how many caravans
[01:01:54.000 --> 01:01:59.280]   did we hear about something like 10 over 10 million migrants have entered the country during the biden
[01:01:59.280 --> 01:02:04.400]   harris administration the first thing they did hold on first of all we don't know when biden went by
[01:02:05.040 --> 01:02:11.600]   no no no no we do know those those 10 million are just the border encounters those are the recorded
[01:02:11.600 --> 01:02:16.800]   crossings that they led into the country the number we don't know is whether how many more were not
[01:02:16.800 --> 01:02:22.000]   recorded encounters 20 or 30 million well you can look up on what happened why why did this happen i'll
[01:02:22.000 --> 01:02:27.440]   tell you why when joe biden took office he repealed all of trump's executive orders no he did not
[01:02:27.440 --> 01:02:34.160]   what is it section 42 what's it 90 of them title title 40 and the most around until the end of 23.
[01:02:34.160 --> 01:02:38.720]   and in addition they got rid of trump's remain in mexico policy and they changed the meaning of
[01:02:38.720 --> 01:02:43.200]   asylum so that anyone who went to the border and said that they were suffering economic hardship which
[01:02:43.200 --> 01:02:47.920]   is basically the whole world okay could now qualify for asylum and they were giving they were given
[01:02:47.920 --> 01:02:51.840]   like a ticket to appear in court one day like three years five years and they were ushered into the
[01:02:51.840 --> 01:02:56.000]   country and then there were like non-profits working with the biden administration to put them on
[01:02:56.000 --> 01:02:59.920]   buses david i agreed that they were shipped all over the country i agreed they screwed up on the border
[01:03:02.560 --> 01:03:09.760]   no fine they screwed up but now we are back so yeah but she she changed just like donald
[01:03:09.760 --> 01:03:15.680]   she changed like jd vance jd vance called him hitler jd vance in 2020 and and after diminished
[01:03:15.680 --> 01:03:20.960]   donald trump that was those in private communications in 2016 and jd advance explained including last night
[01:03:20.960 --> 01:03:25.760]   why he changed his mind about right and that's fine so he talked to people so so does she representing the
[01:03:25.760 --> 01:03:30.480]   state of the people this was her position like six months ago and now all of a sudden she's the
[01:03:30.480 --> 01:03:36.640]   nominee so she's no no no no no no you're you're trying you're virtue signaling like a right you're
[01:03:36.640 --> 01:03:42.160]   trying to put you're trying to brand anything you tried to brand anything that you disagree with that
[01:03:42.160 --> 01:03:47.680]   you think is a negative and just put it on her which is politics 101 right but you're not looking at
[01:03:47.680 --> 01:03:52.000]   what she's actually doing what she's actually doing person for the administration okay look
[01:03:52.000 --> 01:03:59.040]   doesn't matter if she was if she was in charge does and she said you know what what you want her to do
[01:03:59.040 --> 01:04:04.560]   is like jd vance said about um abortion right i talked to somebody and you know they proved it
[01:04:04.560 --> 01:04:09.840]   great that was a smart move by him would it be smart for her to say i was wrong now i i've learned more
[01:04:09.840 --> 01:04:15.920]   and i've picked up more information now it's actually a good question for you sax if jd vance can
[01:04:15.920 --> 01:04:21.200]   lobby and want a national abortion ban and then change his mind as the number two for trump
[01:04:21.200 --> 01:04:28.880]   can kamala change her mind when she is he's no longer running for you know the number two seat as
[01:04:28.880 --> 01:04:34.080]   biden well i think i think jd explained why he changed his mind about that he said that there was
[01:04:34.080 --> 01:04:39.520]   a referendum in ohio and his side lost so he can change his mind can kamala and you have the grace
[01:04:39.520 --> 01:04:42.960]   for kamala to change your mind or not hold on a second he's taking a learning from that
[01:04:42.960 --> 01:04:49.280]   kamala harris has never explained why she changed her mind when will the media even ask her this
[01:04:49.280 --> 01:04:55.280]   question she doesn't submit for interviews and certainly the the debate moderators like on abc
[01:04:55.280 --> 01:04:59.280]   never asked her a question mark if she's going to change her mind if she's going to have this
[01:04:59.280 --> 01:05:03.520]   election year conversion why doesn't the media ask her what is the basis of this when did you change
[01:05:03.520 --> 01:05:09.280]   your mind was it five minutes ago why then did you uh support biden throughout your entire
[01:05:09.280 --> 01:05:13.280]   last three and a half years why don't they ask her these questions if you were part of the
[01:05:13.280 --> 01:05:17.280]   biden administration why do you volunteer to be the border czar if you disagree with joe
[01:05:17.280 --> 01:05:21.520]   biden about these policies when exactly did you change your mind those are the questions that she
[01:05:21.520 --> 01:05:26.480]   should be answering why will she those are the questions that you want those are the questions that
[01:05:26.480 --> 01:05:33.040]   you want so that you think you can put her on the defensive and get and have this country to know
[01:05:33.680 --> 01:05:39.200]   no look you want to know but let me just tell you what's important put yourself put yourself in the
[01:05:39.200 --> 01:05:44.880]   shoes let's just call this a business right and the business of this business is getting votes and
[01:05:44.880 --> 01:05:52.080]   winning this election and you came in and the the product that you originally had new coke failed right
[01:05:52.080 --> 01:05:57.360]   biden's new coke in this example and you come in and you say i'm you know i'm bringing it back this is
[01:05:57.360 --> 01:06:03.120]   the new new coke and we're going to test to see if that's working well when you brought in kamala harris
[01:06:03.120 --> 01:06:10.160]   she had no favorable ratings whatsoever she was behind in all polling right where joe biden was
[01:06:10.160 --> 01:06:17.440]   and now she's either even or ahead or a little bit behind in every single poll and why do i bring it up
[01:06:17.440 --> 01:06:22.160]   because it means what she's doing is working you know i think actually we agree i think we actually
[01:06:22.160 --> 01:06:26.160]   have found a point to agree on which is i think kamala harris is just saying whatever it takes
[01:06:26.160 --> 01:06:30.480]   to get elected you can say the same thing about i think her true belief hold on she stated her true
[01:06:30.480 --> 01:06:34.320]   belief years ago and throughout the biden administration which is she never believed the
[01:06:34.320 --> 01:06:38.400]   border was a problem she thought the border wall trump's wall was un-american and medieval
[01:06:38.400 --> 01:06:42.720]   and she thought that ice needed to be abolished i think that was her true belief now if it's not
[01:06:42.720 --> 01:06:47.920]   her true belief i would like her to explain when she changed her belief and why the same way that
[01:06:47.920 --> 01:06:52.240]   jd vance did and i think the american people are entitled to know that and i think if the media was
[01:06:52.240 --> 01:06:57.200]   doing its job they'd be asking her those questions she she's never been asked that stephanie rule
[01:06:57.200 --> 01:07:02.560]   latest interview did not ask that and the debate moderators did not ask that let's just go outside
[01:07:02.560 --> 01:07:08.320]   of america for one second because mark you're jewish you're of jewish heritage i would really like your
[01:07:08.320 --> 01:07:15.680]   opinion on what's happening outside of america there was some crazy pictures over the last few weeks
[01:07:15.680 --> 01:07:21.200]   coming out from the middle east there's still all this complications complicating stuff with china
[01:07:21.200 --> 01:07:30.240]   where do you stand on all of these things where do you stand on the mearsheimer sacks jeffrey sacks
[01:07:30.240 --> 01:07:35.760]   kind of school of logic that there's a military industrial accomplice that tends to just push us
[01:07:35.760 --> 01:07:40.160]   towards these war zones and these forever wars where do you just stand on those issues and how
[01:07:40.160 --> 01:07:45.600]   do you think about that i mean honestly i don't have enough information to give you a qualified response
[01:07:45.600 --> 01:07:52.880]   i'm pro-israel to the core because i'm jewish um i'm anti-hamas to the core i think you know they're
[01:07:52.880 --> 01:07:59.200]   terrorists they are terrorists um i want to see israel to succeed i want to see israel succeed i want to see
[01:07:59.200 --> 01:08:06.800]   the united states support them and help them in that um but you know when israel was going into gaza
[01:08:06.800 --> 01:08:10.880]   i thought it was too blunt an instrument but when they went after hezbollah i thought they did it the
[01:08:10.880 --> 01:08:17.280]   exact right way and so you know i'm i'm always only going to respond you have a nuanced opinion
[01:08:17.280 --> 01:08:23.360]   of this yeah and ukraine yeah um ukraine i don't want to see american blood spilled and as long as there's a
[01:08:23.360 --> 01:08:29.200]   nato and i agreed there should be a nato i'd rather see us spend money than put soldiers in harm's way
[01:08:29.200 --> 01:08:34.800]   and so um does the harris campaign agree on that point or do they have a conversation i haven't had
[01:08:34.800 --> 01:08:41.120]   that conversation with them i don't know let me ask you just a point on arithmetic which i think is the
[01:08:41.120 --> 01:08:46.320]   most important arithmetic we should all be talking about today is the first uh yesterday was the first day
[01:08:46.320 --> 01:08:52.880]   of the uh federal fiscal year fiscal year right and uh here's a little uh image for us to all look at
[01:08:52.880 --> 01:08:57.520]   together as a group an image that everyone should wake up every morning in the united states and look
[01:08:57.520 --> 01:09:00.800]   at the first thing they do instead of looking at twitter they should look at the image that i'm
[01:09:00.800 --> 01:09:06.400]   sharing on the screen right now which is federal debt in the united states i thought it was maybe a
[01:09:06.400 --> 01:09:12.000]   screen of you taking a bath this is the first day on the first day of the new fiscal year federal debt
[01:09:12.000 --> 01:09:19.680]   jumped by 204 billion dollars in one day federal debt now stands at 35.7 trillion dollars and the
[01:09:19.680 --> 01:09:26.160]   biggest challenge we have in the year ahead is that 10 trillion of the outstanding debt comes up for
[01:09:26.160 --> 01:09:31.120]   refinance it's going to refinance at around four percent so we're going to be adding another 300
[01:09:31.120 --> 01:09:38.240]   billion dollars in new interest expense next fiscal year plus the biden administration has proposed a
[01:09:38.240 --> 01:09:44.240]   7.2 trillion dollar budget for next year which will inevitably lead to another 2 trillion dollars of
[01:09:44.240 --> 01:09:52.080]   deficit spending which means that by the end of 2025 we could be staring at 40 trillion dollars of federal
[01:09:52.080 --> 01:09:57.760]   debt and if you do the math on that at four percent interest it's 1.6 trillion a year of interest expense
[01:09:57.760 --> 01:10:04.160]   a year just on interest expense on the outstanding debt which effectively begins to eclipse the entire
[01:10:04.160 --> 01:10:09.680]   federal budget very quickly and gives us no ability to maneuver to meet the needs of all
[01:10:09.680 --> 01:10:14.160]   the policy demands that are being described and shaped in all of these elections and all of these
[01:10:14.160 --> 01:10:20.000]   debates and all the that's going on is really not fundable what does the harris campaign say
[01:10:20.000 --> 01:10:26.400]   about the situation with respect to deficit spending and debt and i don't know how high you can raise taxes
[01:10:27.120 --> 01:10:31.840]   and not cut spending to even make a dent in the challenge ahead without driving
[01:10:31.840 --> 01:10:37.840]   a massive recession what is what do you think like the harris versus the trump campaign's kind of
[01:10:37.840 --> 01:10:43.440]   intentions are as we look at this abyss that we're now kind of jumping again i can't speak for them i can
[01:10:43.440 --> 01:10:47.120]   only tell you the conversations i've had and what they've said to me whether or not they take these
[01:10:47.120 --> 01:10:52.880]   directions is completely up to them and i don't know but i've said the exact same thing they know that
[01:10:52.880 --> 01:11:00.240]   the um the deficit's a problem it won't be a budget by a biden budget there's no biden administration to
[01:11:00.240 --> 01:11:05.760]   happen they've already come you know just the tax rates are completely different than the biden budget
[01:11:05.760 --> 01:11:13.040]   proposals where there's no you know um unrealized capital gains etc they went to 28 and 28 so
[01:11:13.040 --> 01:11:18.640]   it's not going to be what was proposed by biden there's a limit on tax basically right like that that
[01:11:18.640 --> 01:11:22.400]   people yeah there's only there's a point of diminishing returns and raising taxes and they realize it
[01:11:22.400 --> 01:11:26.080]   right so when we talked about unrealized capital gains and i gave them a thousand reasons why not
[01:11:26.080 --> 01:11:30.720]   they're like we already know this um yada yada now to david's point why don't they just come out and
[01:11:30.720 --> 01:11:35.520]   say it because the one percent of high information voters don't know the difference of unrealized
[01:11:35.520 --> 01:11:41.040]   capital gains or not and don't care the 99 want to hear about the things that they're talking about so
[01:11:41.040 --> 01:11:44.880]   that's why people like me can go out there and talk about it but to your point and the bigger point
[01:11:44.880 --> 01:11:51.760]   david um dave that they've realized that there's only a couple ways to reduce the deficit one you get
[01:11:51.760 --> 01:11:56.320]   inflation under control and that reduces interest rates and that's going to work in our favor and i
[01:11:56.320 --> 01:12:01.040]   think that's happening now if it's 1.6 trillion dollars then you know if interest rates go below
[01:12:01.040 --> 01:12:07.200]   four percent that saves a lot of money and probably the most you can save they realized efficiency is an
[01:12:07.200 --> 01:12:12.160]   important element in her last speech in pittsburgh she talked about how long it took it only took one
[01:12:12.160 --> 01:12:17.120]   year to build the empire state building that is crazy there's too much friction in the government to be
[01:12:17.120 --> 01:12:21.920]   able to do building the right way they're going to reduce friction i've had conversations with them
[01:12:21.920 --> 01:12:30.560]   about ai as a service and being able to optimize integrating um artificial intelligence into all
[01:12:30.560 --> 01:12:35.040]   these processes so that they don't have to keep on hiring people i don't think their mindset again i'm
[01:12:35.040 --> 01:12:39.760]   speaking for myself and my perspective of my conversations with them i don't think their mindset
[01:12:39.760 --> 01:12:45.040]   is to just go out there and just cut a ton of people but i do think the mindset is how can we implement
[01:12:45.040 --> 01:12:50.320]   technology to become more efficient so that we can provide more value to the citizens of this country
[01:12:50.320 --> 01:12:57.680]   at less cost i think that's important to them i think um you're going to see a lot of reduction
[01:12:57.680 --> 01:13:04.400]   i'm trying to think the best way to say it she knows that technology is the ultimate driver of
[01:13:04.400 --> 01:13:10.240]   success and if she supports new technologies and you heard that again in pittsburgh she wants she
[01:13:10.240 --> 01:13:15.920]   mentioned blockchain but more importantly she mentioned ai and how ai is key to us being a
[01:13:15.920 --> 01:13:23.040]   dominant military um to having our military be dominant and to have our economy grow because the
[01:13:23.040 --> 01:13:29.280]   other way to get results isn't just a slash and burn like vivek wants to do but to grow the economy
[01:13:29.280 --> 01:13:34.640]   and that there truly are ways to grow the economy without just more spend but do you yeah do you support
[01:13:34.640 --> 01:13:39.600]   elon musk going in like if you're saying shed regulatory burden shed inefficiency improve
[01:13:39.600 --> 01:13:45.680]   productivity don't we need an elon musk style model that you know trump has talked about with elon
[01:13:45.680 --> 01:13:51.200]   send someone in and let's go fix the inefficiency across all of the administrative efforts run by the
[01:13:51.200 --> 01:13:58.240]   federal government one first of all when you just cut when you do a vivek type just cut the department of
[01:13:58.240 --> 01:14:02.080]   education right whatever it is we don't know what elon would actually do well i think that triggers a
[01:14:02.080 --> 01:14:05.360]   recession because then you got a lot of people unemployed right yeah exactly right and there's
[01:14:05.360 --> 01:14:10.080]   contracts and so that means the united states of america is violating all these contracts with
[01:14:10.080 --> 01:14:15.760]   small businesses and medium-sized businesses um and maybe you want to put doge in the the treasury who
[01:14:15.760 --> 01:14:21.040]   knows and that's how we make it all up but but you can't just crap and slash and burn to your point
[01:14:21.040 --> 01:14:27.600]   dave i mean it just won't work and so what you can do though is introduce technology we have yet to
[01:14:27.600 --> 01:14:33.200]   have a president that fully understands technology i'm not here to tell you that kamala harris is a
[01:14:33.200 --> 01:14:39.680]   geek she's not but she understands the impact and she has a lot of people who truly are geeks
[01:14:39.680 --> 01:14:45.440]   around there around her and she truly believes that implementing technology is a way to improve
[01:14:45.440 --> 01:14:50.960]   efficiency but the whole idea is you can't take the libertarian approach that's ideologic you have to
[01:14:50.960 --> 01:14:56.480]   take a problem solving approach how do you look at any specific problem we're trying to solve
[01:14:56.480 --> 01:15:02.240]   how can you apply technology to that i think you will get that from the harris administration as
[01:15:02.240 --> 01:15:08.720]   opposed to donald just talking about the ai and how much energy it consumes mark you you said of all
[01:15:08.720 --> 01:15:14.960]   the rules if there's a harris administration you said you want to run the sec why i was just i was just
[01:15:14.960 --> 01:15:20.560]   trolling gary gansler yeah i was just trolling gary gansler because it's fun to do okay okay so do you
[01:15:20.560 --> 01:15:25.680]   think just you and particularly wise gansler has he done a particularly bad job are you just trolling
[01:15:25.680 --> 01:15:29.280]   are you just trolling are you just trolling david sacks when you say you're trolling me now right
[01:15:29.280 --> 01:15:34.320]   i can't keep up with the troll and i think i need to control the trolling where i agree with mark
[01:15:34.320 --> 01:15:41.840]   mark is actually supporting trump he's just rolling sacks and coming on the show he's been going on for a
[01:15:41.840 --> 01:15:47.440]   week i know he's not supporting trump but but i tell you one uh one republican that as i understand
[01:15:47.440 --> 01:15:52.160]   that you are supporting is john deaton who is running against elizabeth warren in the massachusetts
[01:15:52.160 --> 01:15:57.280]   senate race yep so uh i'm curious about this because i think this is an area we could agree on
[01:15:57.280 --> 01:16:01.920]   you're not sure i mean i didn't know that that's pretty that's pretty interesting yeah i mean i'm
[01:16:01.920 --> 01:16:06.320]   not a fan of elizabeth warren's i've talked to her about crypto i mean i understand her position
[01:16:06.320 --> 01:16:11.520]   her basic position is you know bad nation states use crypto to fund their operations the
[01:16:11.520 --> 01:16:15.760]   bad stuff and she just wants to throw the baby out with the bath water as opposed to
[01:16:15.760 --> 01:16:22.560]   using you know like i proposed a blacklist from ofac that can be implemented in all kinds of i need to
[01:16:22.560 --> 01:16:28.320]   get into the details right but it just it wasn't going to happen and so when john not just being pro
[01:16:28.320 --> 01:16:34.880]   crypto but you know his background his character i thought really was a positive and so even before he
[01:16:34.880 --> 01:16:40.000]   got through his hat in his ring i was talking to him supporting him giving him feedback and helping him so
[01:16:40.000 --> 01:16:45.280]   again i'm not a democrat i have no problem and i think john deedon will be better for the country
[01:16:45.280 --> 01:16:49.840]   better for the citizens of massachusetts than elizabeth warren would be what would be common sense
[01:16:49.840 --> 01:16:56.320]   crypto regulation obviously you don't want people bilking people out of their money yeah so what would
[01:16:56.320 --> 01:17:03.200]   be a way to balance accredited investors versus the populace non-sophisticated investors if that's even a
[01:17:03.200 --> 01:17:07.200]   thing so i've got a company called people running amok you know right so i've got a company called
[01:17:07.200 --> 01:17:13.840]   lazy.com and like if you go to lazy.com m cuban you'll see all my nfts and all it is is a way to
[01:17:13.840 --> 01:17:19.520]   display your nfts it's hardly makes any money but i wanted to see if we could release a token so first
[01:17:19.520 --> 01:17:24.240]   thing i did was i had one of our people call the sec and say hey what steps do we have to take to
[01:17:24.240 --> 01:17:29.760]   release the token they went through this whole rigmarole about getting securities lawyers and this and that
[01:17:29.760 --> 01:17:32.880]   there's no way a company with a hundred thousand dollars in revenue is going to be able to afford
[01:17:32.880 --> 01:17:38.640]   to do that so then i said okay i'm going to go right to the sec.gov and see about reg a and see
[01:17:38.640 --> 01:17:44.080]   if i can just fill out the forms myself and you know just see what so you start filling in name address
[01:17:44.080 --> 01:17:49.600]   and then you get to the type of business and the only category is other and once you follow that other
[01:17:49.600 --> 01:17:57.040]   connection there's just no way to put the um round the just there's no way to make it work you can't you
[01:17:57.040 --> 01:18:02.560]   can't make it work and i actually said that directly to gary gensler and so to answer your question you
[01:18:02.560 --> 01:18:08.880]   have to make it easy to follow the rules and you can't and in terms of everything being a security
[01:18:08.880 --> 01:18:14.720]   gensler says everything applies to howie right there's a how we rule and everything you know
[01:18:14.720 --> 01:18:20.720]   but the reality is there's also a rule that came after really came after um called reeves reeves versus
[01:18:20.720 --> 01:18:26.160]   ernst and young that had to do with interest and if you think about if you guys ever shorted stocks or
[01:18:26.160 --> 01:18:31.360]   done stock loan where you can make some money off a stock loan a borrow yeah yeah so but you know
[01:18:31.360 --> 01:18:35.120]   you can make a share you can make one of your shares of stocks available to the borrower and
[01:18:35.120 --> 01:18:42.640]   get paid a vig right you might get 10 or 12 and so doing that is the exact same thing as loaning out
[01:18:42.640 --> 01:18:48.160]   bitcoin for somebody else to borrow and there's no they don't call that a security so i asked i asked
[01:18:48.160 --> 01:18:56.880]   gary gensler if it's not a security to loan out um a share of stock and why is it you know a security to
[01:18:56.880 --> 01:19:04.640]   loan out a bitcoin to somebody else that didn't have an answer and the point there is he has an approach
[01:19:04.640 --> 01:19:12.160]   that is regulation through litigation he's going to sue you first ask questions later and hope that
[01:19:12.160 --> 01:19:18.720]   the result of that litigation becomes a rule that everybody else has to follow i literally said what's
[01:19:18.720 --> 01:19:24.080]   that well as you say wouldn't a more common sense approach here be to say if we had an accreditation
[01:19:24.080 --> 01:19:28.640]   test a sophisticated investor test we've talked about it here on the program yeah which there is
[01:19:29.440 --> 01:19:34.400]   well there's not one for the populace to take like a driver's license where they could say hey
[01:19:34.400 --> 01:19:40.640]   i've taken this test i understand diversity diversification etc yeah if you're able to register
[01:19:40.640 --> 01:19:46.560]   with securities um an exchange commission for your company for the release of your token then depending
[01:19:46.560 --> 01:19:51.520]   on how many people you're trying to sell it to you would only be able to do that with qualified investors
[01:19:51.520 --> 01:19:58.400]   right but what happens is gary gensler is making it so difficult to register and what he's what he should
[01:19:58.400 --> 01:20:06.160]   be doing is saying here's the bright line regulations if ftx wants to loan out all their ethereum you have
[01:20:06.160 --> 01:20:13.040]   to do what they did in japan you have to have 95 collateral and 95 of anything needs to be put in cold
[01:20:13.040 --> 01:20:18.640]   storage if he had followed the same rules for crypto that japan did ftx would still be in business sam
[01:20:18.640 --> 01:20:25.520]   bakeman free might still be in jail but ftx three arrows capital they'd still be in business because he did the wrong
[01:20:25.520 --> 01:20:31.600]   thing now i've literally talked to kamala harris at lunch about this specific topic of litigate
[01:20:31.600 --> 01:20:36.880]   regulation through litigation and as a lawyer she got it immediately and she knows it's a problem and
[01:20:36.880 --> 01:20:40.720]   they know and she's even mentioned in one of her speeches that that's something that they're going to
