
[00:00:00.000 --> 00:00:08.720]   over lunch this individual told me you know every founder and every vc in china studies the west
[01:01:56.000 --> 01:02:02.560]   we're now being told they can't attend and you and i and everyone have talked about skilled immigration
[01:02:02.560 --> 01:02:09.920]   and how that's been kept flat in the u.s um and now you know at least with regard to china we're starting
[01:02:09.920 --> 01:02:16.720]   to put up blockers and on top of that you've seen these other charts where like 50 percent of the ai
[01:02:16.720 --> 01:02:23.440]   researchers in america are chinese and so that that's something that's super interesting to watch and
[01:02:23.440 --> 01:02:31.600]   this k visa thing which they've never done before says if you are studying um technology you know i
[01:02:31.600 --> 01:02:36.480]   don't know the exact rules you don't even have to have a job so this isn't like a in the u.s you need
[01:02:36.480 --> 01:02:42.720]   a you're welcome to come they're going to give you a visa so china's basically inviting everyone to come
[01:02:42.720 --> 01:02:48.000]   to their university systems from around the globe i don't know how successful they'll be i don't know if
[01:02:48.000 --> 01:02:56.400]   europeans will go there um but it's an interesting thing to see again it's just a reminder to me like
[01:02:56.400 --> 01:03:03.200]   i i continue to think that uh the u.s is in an incredible position on a global basis an incredible
[01:03:03.200 --> 01:03:10.000]   position vis-a-vis china but decisions matter and you know we talked about stapling a green card to every
[01:03:10.000 --> 01:03:17.040]   you know uh every diploma as uh you know the the president did as part of the the the presidential
[01:03:17.040 --> 01:03:25.440]   race um and certainly i think there's ample opportunity uh for upside to accelerate to attract
[01:03:25.440 --> 01:03:32.880]   to build in the u.s and i hope that one of the takeaways of this conversation the many conversations
[01:03:32.880 --> 01:03:38.960]   we ought to have and it's why i think being overly dogmatic leads us astray is we got to reflect on
[01:03:38.960 --> 01:03:43.840]   the things that we can be doing better to run a faster race ourselves right and i've heard you say
[01:03:43.840 --> 01:03:50.000]   this before you know the old quote from the godfather never hate your enemy enemies you know it clouds it
[01:03:50.000 --> 01:03:55.440]   affects your judgment yep and i think there's a lot of that going on in silicon valley and other places
[01:03:55.440 --> 01:04:03.200]   that um you know we're going to be a lot better off if we're very pragmatic about uh there's no slowing
[01:04:03.200 --> 01:04:08.160]   down in china they're going to be there in ai they're going to build chips at huawei they're going
[01:04:08.160 --> 01:04:14.880]   to build models at deep seek and the the way to beat them is not to you you know try to cut them off
[01:04:14.880 --> 01:04:20.320]   at the knees we don't need to make it easy on them but the united states needs to accelerate our race
[01:04:20.320 --> 01:04:26.640]   and i think by if we focus too much on how do we slow down china we take the eye off the ball on how
[01:04:26.640 --> 01:04:32.000]   to accelerate our own race so it's fun spending one of these just digging deep on a on a particular
[01:04:32.000 --> 01:04:38.080]   topic sounds like an incredible trip yeah and i would just echo what you said like like on especially
[01:04:38.080 --> 01:04:44.960]   just on learning like my my main point to anyone that's interested in this topic would be just make
[01:04:44.960 --> 01:04:52.640]   sure you have the exact right information as you then go to make decisions especially around policy
[01:04:52.640 --> 01:05:00.640]   um and you know talk read read what these uh global uh car ceos are telling you they've been over there
[01:05:00.640 --> 01:05:05.440]   they're seeing it with their own eyes they they don't they don't have a reason to be as candid as
[01:05:05.440 --> 01:05:11.200]   they're being necessarily but they are um and then read dan wang's book i think it's fabulous like
[01:05:11.200 --> 01:05:17.040]   tyler kyle said it might be one it might be the best book of the year it's very well written and
[01:05:17.040 --> 01:05:22.560]   and a joy to read and i would uh encourage everyone to go pick it up it's called breakneck i think it's
[01:05:22.560 --> 01:05:31.600]   out now today now you literally can go on chat gpt and just ask it you know uh what your favorite ceo
[01:05:31.600 --> 01:05:36.880]   you know what's jensen wang think about uh the level of competition in china what's tim cook think
[01:05:36.880 --> 01:05:42.880]   what's elon musk think um the reality is the people who spend the most time on the ground in china
[01:05:42.880 --> 01:05:50.720]   have the most respect for you know the innate uh you know capabilities and ongoing competition that
[01:05:50.720 --> 01:05:57.120]   we're going to see with china and you know and and i thought that dan had a really balanced view at the
[01:05:57.120 --> 01:06:02.560]   end which is you know we shouldn't go out of our way to make it really easy on china but at the same
[01:06:02.560 --> 01:06:08.400]   time we got to engage we got to be you know pragmatic we can't stick our head in the sand
[01:06:08.400 --> 01:06:13.520]   and we have to know that we got to reform ourselves we got to run a faster race ourselves bill it's great
[01:06:13.520 --> 01:06:18.560]   seeing you i'm glad we're kind of getting back in the swing of things and uh look forward to uh
[01:06:18.560 --> 01:06:31.760]   continuing the conversation as a reminder to everybody just our opinions not investment advice

