
[00:00:00.960 --> 00:00:06.640]   Yeah, okay. So, hello everyone. This is the Quint image paper, or technical report rather.
[00:48:39.360 --> 00:48:51.840]   Uh, uh, I mean, actually, I tested, like, I tested some other prompts with the, I didn't text,
[00:48:51.840 --> 00:48:54.080]   or test any, like, non-English or Chinese languages.
[00:48:54.880 --> 00:48:58.800]   Yeah, I mean, like, Quen, I tested them in Sora, like, Quen and Sora.
[00:48:58.800 --> 00:49:01.280]   And like, actually, I think the quality was, like, pretty similar.
[00:49:01.280 --> 00:49:06.080]   Or Quen's, like, Quen's text generation was, like, uh, it was a little more clear.
[00:49:06.080 --> 00:49:07.760]   Like, the characters were a lot clearer.
[00:49:07.760 --> 00:49:08.720]   You could kind of see them.
[00:49:08.720 --> 00:49:11.360]   It was a lot easier to look at them and just, like, see the background,
[00:49:11.360 --> 00:49:13.920]   or, like, distinguish between the characters and the background.
[00:49:13.920 --> 00:49:16.400]   But, yeah.
[00:49:16.400 --> 00:49:22.800]   Live coding, I'm testing it in Spanish.
[00:49:24.560 --> 00:49:25.520]   Yeah, I should've.
[00:49:25.520 --> 00:49:32.640]   Should we do a different language?
[00:49:32.640 --> 00:49:34.480]   Like, should we do Korean?
[00:49:34.480 --> 00:49:36.480]   Let's see.
[00:49:36.480 --> 00:49:40.080]   Yeah, maybe something that's not Latin.
[00:49:40.080 --> 00:49:41.600]   Yeah.
[00:49:41.600 --> 00:49:43.040]   Arabic.
[00:49:43.040 --> 00:49:44.000]   I don't know.
[00:49:44.000 --> 00:49:46.640]   I don't know if we would even be able to evaluate it.
[00:49:50.640 --> 00:49:51.520]   I can try that.
[00:49:51.520 --> 00:49:52.000]   May I have?
[00:49:52.000 --> 00:50:03.840]   Let's see.
[00:50:03.840 --> 00:50:06.560]   I just shut off a generation.
[00:50:06.560 --> 00:50:07.760]   We'll see what it outputs.
[00:50:07.760 --> 00:50:08.240]   Oh, shit.
[00:50:08.240 --> 00:50:14.240]   It's not correct, but it has Korean-looking stuff.
[00:50:15.680 --> 00:50:16.640]   Wait, what's your prompt?
[00:50:16.640 --> 00:50:19.760]   Uh, literally in Korean.
[00:50:22.080 --> 00:50:26.800]   I went to Google Translate, and I translated the sentence.
[00:50:26.800 --> 00:50:29.280]   Yeah.
[00:50:29.280 --> 00:50:30.160]   You might want to-
[00:50:30.160 --> 00:50:32.480]   You want to share the images I shared in Zoom chat?
[00:50:32.480 --> 00:50:35.120]   Yeah.
[00:50:35.120 --> 00:50:35.200]   Yeah.
[00:50:35.200 --> 00:50:37.200]   Maybe just change it.
[00:50:37.200 --> 00:50:40.160]   Well, I mean, it's off, but it does look a little more Korean.
[00:50:40.160 --> 00:50:40.480]   Wow.
[00:50:40.480 --> 00:50:41.840]   Why did you say it's not correct?
[00:50:41.840 --> 00:50:44.720]   Because look at the-
[00:50:44.720 --> 00:50:46.880]   Look at what it's supposed to write.
[00:50:46.880 --> 00:50:47.920]   The first character, right?
[00:50:47.920 --> 00:50:50.160]   Uh, actually-
[00:50:50.160 --> 00:50:51.760]   Maybe it fixed it.
[00:50:51.760 --> 00:50:52.640]   I actually don't know.
[00:50:52.640 --> 00:50:54.640]   Wow, this is really-
[00:50:54.640 --> 00:50:56.480]   Oh, I guess the second line is kind of there.
[00:50:56.480 --> 00:50:57.440]   Yeah.
[00:50:57.440 --> 00:50:58.560]   Maybe the first line actually-
[00:50:58.560 --> 00:50:59.120]   I actually don't know.
[00:50:59.120 --> 00:50:59.840]   Maybe it's a ha-ha.
[00:50:59.840 --> 00:51:00.160]   Kind of there.
[00:51:00.160 --> 00:51:00.720]   Kind of there.
[00:51:00.720 --> 00:51:02.000]   And they actually-
[00:51:02.000 --> 00:51:02.880]   They actually fixed it?
[00:51:02.880 --> 00:51:06.640]   Oh, it's actually coffee.
[00:51:06.640 --> 00:51:08.160]   Oh, okay.
[00:51:09.600 --> 00:51:11.360]   But okay, it does something.
[00:51:11.360 --> 00:51:16.880]   Wow, this is actually pretty good.
[00:51:16.880 --> 00:51:27.520]   Yeah, I don't know if that's right or not.
[00:51:27.520 --> 00:51:28.880]   I don't see Korean.
[00:51:28.880 --> 00:51:30.080]   It looks similar, actually.
[00:51:30.080 --> 00:51:32.000]   Oh my god, it does Korean work.
[00:51:32.000 --> 00:51:34.480]   Okay, I'll do another one.
[00:51:39.040 --> 00:51:45.680]   I'm now trying to translate the text it generated.
[00:51:45.680 --> 00:51:48.480]   I showed another image if you want to swap to it.
[00:51:48.480 --> 00:51:51.120]   Yeah.
[00:51:51.120 --> 00:51:55.440]   And then I'm translating this with Korean model.
[00:51:55.440 --> 00:52:01.360]   And see if it's coherent or if it's just random stuff.
[00:52:01.360 --> 00:52:07.840]   Yep, so it put Korean on the board.
[00:52:07.840 --> 00:52:09.360]   I'm trying to have it.
[00:52:09.360 --> 00:52:11.840]   Oh my god.
[00:52:11.840 --> 00:52:13.040]   Translate this Korean.
[00:52:13.040 --> 00:52:13.760]   It's struggling.
[00:52:13.760 --> 00:52:16.480]   Okay, I think this is enough live coding.
[00:52:28.480 --> 00:52:31.680]   Oh yeah, as long as the fuzzy background characters don't look Korean.
[00:52:31.680 --> 00:52:36.320]   I mean, it could also just be style, right?
[00:52:36.320 --> 00:52:37.680]   Like it is also a monkey.
[00:52:37.680 --> 00:52:40.640]   That's true.
[00:52:40.640 --> 00:52:41.120]   I guess.
[00:52:41.120 --> 00:52:48.560]   So the second image is nonsense, gibberish, according to translations.
[00:52:48.560 --> 00:52:56.720]   I guess I did ask it for random text.
[00:52:56.720 --> 00:53:00.880]   Yeah, but the font of the main text and the background text do look different.
[00:53:01.440 --> 00:53:02.000]   But oh well.
[00:53:02.000 --> 00:53:07.120]   Yeah, it's cooked.
[00:53:07.120 --> 00:53:12.560]   Oh well, they tried.
[00:53:15.040 --> 00:53:16.240]   I'm doing another.
[00:53:16.240 --> 00:53:16.880]   Alright, cool.
[00:53:16.880 --> 00:53:21.280]   I think next week we have, was it Venki again?
[00:53:21.280 --> 00:53:23.760]   Yeah, Venki will talk us through GLM.
[00:53:23.760 --> 00:53:30.480]   Wow, this chalk text actually looks so much like chalk.
[00:53:30.480 --> 00:53:32.720]   I'm actually impressed.
[00:53:32.720 --> 00:53:34.800]   But I don't deal with a lot of image.
[00:53:37.200 --> 00:53:38.640]   I thought the chalk was mid.
[00:53:38.640 --> 00:53:44.160]   No, the one that Steve just posted.
[00:53:44.160 --> 00:53:45.120]   At least the first character.
[00:53:45.120 --> 00:53:47.360]   Yeah, it's pretty good.
[00:53:47.360 --> 00:53:47.920]   It's pretty good.
[00:53:47.920 --> 00:53:49.680]   I mean, it's trained specifically on this.
[00:53:49.680 --> 00:53:52.080]   I'm impressed for the first character at least.
[00:53:54.480 --> 00:53:58.560]   Yeah, so sorry.
[00:53:58.560 --> 00:54:00.080]   Maybe a late question here.
[00:54:00.080 --> 00:54:06.640]   I was going over that the flow and diffusion model that they had in 4.1.
[00:54:06.640 --> 00:54:09.920]   And I just want to make sure that I understand.
[00:54:09.920 --> 00:54:15.760]   So I think that they have a joint latent space of image and text, correct?
[00:54:15.760 --> 00:54:22.480]   And so they're applying a noise model on top of that space, right?
[00:54:23.760 --> 00:54:30.000]   And I was wondering, typically when you add noise to say latent space of text,
[00:54:30.000 --> 00:54:31.040]   it doesn't work very well.
[00:54:31.040 --> 00:54:34.160]   That's why we don't have very good diffusion models for text.
[00:54:34.160 --> 00:54:38.000]   So I'm kind of surprised that this kind of works.
[00:54:38.000 --> 00:54:40.560]   So I'm not sure what you guys feel about that.
[00:54:40.560 --> 00:54:46.480]   So what I'm saying is that their latent space is kind of like a multimodal one, right?
[00:54:46.480 --> 00:54:51.200]   It contains both image and text related stuff together.
[00:54:51.200 --> 00:54:58.080]   And typically diffusion, as you have here, which is adding noise to that, normally doesn't work well
[00:54:58.080 --> 00:55:01.360]   on text-based latent space.
[00:55:01.360 --> 00:55:05.120]   So I was wondering why this would do any better.
[00:55:08.160 --> 00:55:15.680]   So one thing that I noticed was that if you look at the architectural diagram, the noise is only added on the image side.
[00:55:15.680 --> 00:55:17.440]   Oh, okay.
[00:55:17.440 --> 00:55:24.400]   So if you scroll up to the architectural diagram, I might be wrong about that.
[00:55:24.400 --> 00:55:28.720]   It's just from memory, but I think that's what I saw.
[00:55:28.720 --> 00:55:29.040]   Yeah.
[00:55:29.040 --> 00:55:32.240]   So the noise is only added on the image side.
[00:55:32.240 --> 00:55:38.400]   And then you have this cross entropy thing that combines them.
[00:55:38.400 --> 00:55:51.360]   So it looks like it's more like conditioning on the text, building the common latent space inside of the transformer blocks.
[00:55:51.360 --> 00:55:52.880]   Okay.
[00:55:52.880 --> 00:55:54.640]   So it's like normal diffusion then, right?
[00:55:54.640 --> 00:55:56.080]   Like normal image diffusion?
[00:55:56.080 --> 00:55:57.440]   Yeah, it seems like.
[00:55:57.440 --> 00:55:58.480]   Yeah.
[00:55:58.480 --> 00:55:59.280]   Okay.
[00:55:59.280 --> 00:56:07.520]   I also think it's because the resulting product of the model will be an image, which is continuous in diffusion space.
[00:56:07.520 --> 00:56:15.200]   If the resulting product of the model would be text or something, or something that's inherently discrete, then I feel it could be a lot different.
[00:56:15.200 --> 00:56:18.400]   Like you might have to use a decoder or something.
[00:56:18.400 --> 00:56:25.760]   But like, yeah, like with the prompt and the image, both of those get like injected into latent space.
[00:56:25.760 --> 00:56:27.840]   And then you can like perform diffusion on that.
[00:56:27.840 --> 00:56:30.080]   And like the resulting process will be an image.
[00:56:30.080 --> 00:56:37.120]   Well, I think RJ said that it doesn't get injected right on the combined embedding.
[00:56:37.120 --> 00:56:38.800]   It's just on the image embedding.
[00:56:38.800 --> 00:56:40.880]   It gets added like on this figure.
[00:56:42.400 --> 00:56:47.760]   The noise only added to the image and image latent space, not to the prompt.
[00:56:47.760 --> 00:56:52.800]   They get combined later, but the noise is only added to the image side.
[00:56:52.800 --> 00:56:53.680]   Oh, yeah.
[00:56:53.680 --> 00:56:54.400]   Oh, yeah, yeah, yeah.
[00:56:54.400 --> 00:56:54.720]   You're right.
[00:56:54.720 --> 00:56:55.360]   You're right.
[00:56:55.360 --> 00:56:56.640]   Yeah.
[00:56:56.640 --> 00:56:57.520]   Okay, cool.
[00:56:57.520 --> 00:56:58.080]   Sorry.
[00:56:58.080 --> 00:56:58.640]   Thanks, RJ.
[00:56:58.640 --> 00:57:03.760]   Yeah, cool.
[00:57:03.760 --> 00:57:06.320]   So, oh, it's 402 right now.
[00:57:06.320 --> 00:57:08.480]   So is that it?
[00:57:08.480 --> 00:57:09.200]   Yeah, yeah.
[00:57:09.200 --> 00:57:09.760]   Awesome.
[00:57:09.760 --> 00:57:12.400]   Thanks for guiding us through it.
[00:57:12.400 --> 00:57:15.680]   Next week, we have another volunteer.
[00:57:15.680 --> 00:57:17.280]   We'll share the Luma and stuff.
[00:57:17.280 --> 00:57:17.920]   But cool.
[00:57:17.920 --> 00:57:19.120]   Thanks so much for watching.
[00:57:19.120 --> 00:57:22.800]   Yeah, I tested in Arabic as you requested.
[00:57:22.800 --> 00:57:26.880]   So, yeah, of course, it's not right.
[00:57:26.880 --> 00:57:34.080]   But there is like the same number of letters and going from right to left.
[00:57:34.880 --> 00:57:37.280]   But it's missing a lot.
[00:57:37.280 --> 00:57:39.280]   So, completely rubbish.
[00:57:39.280 --> 00:57:41.920]   Awesome.
[00:57:41.920 --> 00:57:43.760]   Well, I guess it's English and Chinese then.
[00:57:43.760 --> 00:57:44.400]   Cool, guys.
[00:57:44.400 --> 00:57:44.800]   Take care.
[00:57:44.800 --> 00:57:45.520]   See you guys next week.
[00:57:45.520 --> 00:57:46.720]   Okay, bye.
[00:57:46.720 --> 00:57:47.600]   Bye.
[00:57:47.600 --> 00:57:48.160]   Cool.
[00:57:48.160 --> 00:57:48.240]   Bye.
[00:57:48.240 --> 00:57:48.320]   Bye.
[00:57:48.320 --> 00:57:48.820]   Bye.
[00:57:48.820 --> 00:57:52.460]   Any questions, Mr. Calder?

