
[00:00:00.000 --> 00:00:06.540]   [ Applause ]
[00:34:52.380 --> 00:34:54.160]   adjusted spending at that amount.
[00:34:54.160 --> 00:34:57.580]   If the portfolio is growing so that 3.59% of what's left
[00:34:57.580 --> 00:34:59.620]   is more, you get to spend more.
[00:34:59.620 --> 00:35:02.460]   So it's basically unlimited upside on spending,
[00:35:02.460 --> 00:35:04.700]   but you're still putting in that floor.
[00:35:04.700 --> 00:35:06.140]   The spending guardrail rule, that's
[00:35:06.140 --> 00:35:07.820]   kind of like what Jonathan Guyton talks
[00:35:07.820 --> 00:35:09.100]   about with his decision rules.
[00:35:09.100 --> 00:35:10.860]   You've got the prosperity rule.
[00:35:10.860 --> 00:35:13.260]   You've got the capital preservation rule.
[00:35:13.260 --> 00:35:15.340]   How the spending guardrail rule works
[00:35:15.340 --> 00:35:19.300]   is you could take 4.53% of your initial balance,
[00:35:19.300 --> 00:35:21.340]   increase that for inflation.
[00:35:21.340 --> 00:35:25.240]   But the prosperity rule says that if your portfolio is
[00:35:25.240 --> 00:35:28.140]   growing, that spending amount is going
[00:35:28.140 --> 00:35:30.700]   to be a smaller percentage of what's left.
[00:35:30.700 --> 00:35:32.300]   The prosperity rule says you're never
[00:35:32.300 --> 00:35:34.600]   going to spend less than a certain percentage of what's
[00:35:34.600 --> 00:35:37.900]   left so that your spending can grow more than inflation
[00:35:37.900 --> 00:35:38.900]   adjusted.
[00:35:38.900 --> 00:35:41.980]   If your portfolio is doing well, the capital preservation rule
[00:35:41.980 --> 00:35:43.420]   goes in the other direction.
[00:35:43.420 --> 00:35:45.080]   You're spending that amount every year,
[00:35:45.080 --> 00:35:46.540]   but if your portfolio is declining,
[00:35:46.540 --> 00:35:49.140]   eventually your withdrawal rate based on what's left
[00:35:49.140 --> 00:35:51.580]   is getting too high, so you apply this rule.
[00:35:51.580 --> 00:35:53.940]   I'm not going to spend more than this percent of what's
[00:35:53.940 --> 00:35:55.980]   left in my portfolio.
[00:35:55.980 --> 00:35:59.720]   The inflation rule is, it's like that glide path idea
[00:35:59.720 --> 00:36:01.260]   that Dana was talking about yesterday,
[00:36:01.260 --> 00:36:04.260]   but if you have more wealth than the glide path,
[00:36:04.260 --> 00:36:06.140]   you take the inflation adjustment.
[00:36:06.140 --> 00:36:08.300]   If your wealth has fallen below the glide path,
[00:36:08.300 --> 00:36:10.220]   you don't take the inflation adjustment.
[00:36:10.220 --> 00:36:12.540]   And so that allows for a dramatically higher initial
[00:36:12.540 --> 00:36:14.540]   spending rate, but with this built-in ability
[00:36:14.540 --> 00:36:16.660]   that your spending may decline over time.
[00:36:16.660 --> 00:36:20.620]   And then the modified R&D rule is, take the R&D tables,
[00:36:20.620 --> 00:36:23.620]   multiply them by the factor that will calibrate that downside
[00:36:23.620 --> 00:36:30.700]   risk measure, which leads to at age 65, or I think age 65--
[00:36:30.700 --> 00:36:33.260]   this is not the R&D factor that you get from that age,
[00:36:33.260 --> 00:36:36.060]   but when you multiply it by, in this case, 1.56,
[00:36:36.060 --> 00:36:40.260]   you could start with a 4.25% withdrawal rate,
[00:36:40.260 --> 00:36:44.220]   and then it's calibrated to the R&D. So as you age,
[00:36:44.220 --> 00:36:47.220]   you can spend an increasing percentage of what's left.
[00:36:47.220 --> 00:36:50.620]   And in terms of just what do we get with that,
[00:36:50.620 --> 00:36:53.000]   I think that table, when you start looking at the numbers,
[00:36:53.000 --> 00:36:54.460]   it's going to become pretty apparent
[00:36:54.460 --> 00:36:56.780]   that you have a lot of flexibility about which way
[00:36:56.780 --> 00:36:58.600]   to go, but you probably don't want
[00:36:58.600 --> 00:37:01.180]   to use the inflation-adjusted spending amount strategy.
[00:37:01.180 --> 00:37:04.040]   It starts at a much lower level of spending,
[00:37:04.040 --> 00:37:06.200]   and it really doesn't have a whole lot going for it,
[00:37:06.200 --> 00:37:08.580]   other than because you usually underspend with it,
[00:37:08.580 --> 00:37:09.900]   you might leave a lot of legacy.
[00:37:09.900 --> 00:37:13.260]   So if you really value legacy, inflation-adjusted amounts
[00:37:13.260 --> 00:37:15.100]   might be an option.
[00:37:15.100 --> 00:37:17.740]   The fixed-percentage rule, start with a much higher
[00:37:17.740 --> 00:37:19.740]   initial spending, but you can really
[00:37:19.740 --> 00:37:23.000]   expect your spending to decrease over time.
[00:37:23.000 --> 00:37:25.200]   And it's really efficient at spending on your assets,
[00:37:25.200 --> 00:37:28.300]   so you're not going to be leaving as much legacy.
[00:37:28.300 --> 00:37:30.100]   The dollar-floor-ceiling rule is one
[00:37:30.100 --> 00:37:31.900]   of my personal favorites of these.
[00:37:31.900 --> 00:37:34.780]   It's a nice compromise about get a higher initial spending
[00:37:34.780 --> 00:37:38.500]   rate, and your spending stays in a more steady range.
[00:37:38.500 --> 00:37:41.620]   The ratcheting rule, it's just pretty much--
[00:37:41.620 --> 00:37:44.040]   the ratcheting rule, although the initial withdrawal rate
[00:37:44.040 --> 00:37:47.140]   was slightly less than constant inflation-adjusted amounts,
[00:37:47.140 --> 00:37:49.580]   I'd almost say that it stochastically
[00:37:49.580 --> 00:37:52.360]   dominates constant inflation-adjusted spending.
[00:37:52.360 --> 00:37:54.340]   You're pretty much the same or better off
[00:37:54.340 --> 00:37:55.400]   with the ratcheting rule.
[00:37:55.400 --> 00:37:57.900]   So if anything, use the ratcheting rule instead
[00:37:57.900 --> 00:38:00.220]   of inflation-adjusted spending.
[00:38:00.220 --> 00:38:01.340]   The ceiling doesn't matter.
[00:38:01.340 --> 00:38:03.540]   It's the floor that matters.
[00:38:03.540 --> 00:38:06.300]   And that's having that floor, but then
[00:38:06.300 --> 00:38:07.820]   being able to go above the floor.
[00:38:07.820 --> 00:38:09.820]   It's just, why not do that?
[00:38:09.820 --> 00:38:13.140]   Compared to the 4% rule concept of always increasing
[00:38:13.140 --> 00:38:14.780]   spending for inflation.
[00:38:14.780 --> 00:38:17.100]   Spending guardrails is harder to implement in practice,
[00:38:17.100 --> 00:38:19.020]   and I don't think that's fully appreciated.
[00:38:19.020 --> 00:38:21.720]   The Jonathan Geichen spending guardrail rules
[00:38:21.720 --> 00:38:24.660]   are probably the hardest of any of these rules to actually use.
[00:38:24.660 --> 00:38:26.420]   They do allow for higher initial spending,
[00:38:26.420 --> 00:38:28.220]   and if you like building spreadsheets,
[00:38:28.220 --> 00:38:30.060]   could be the right one for you.
[00:38:30.060 --> 00:38:32.100]   The inflation rule does provide guidance.
[00:38:32.100 --> 00:38:33.060]   A lot of times, you have the question,
[00:38:33.060 --> 00:38:34.580]   when should I cut my spending?
[00:38:34.580 --> 00:38:36.660]   What has to happen to make a cut?
[00:38:36.660 --> 00:38:38.740]   Well, here, it's a nice kind of rule
[00:38:38.740 --> 00:38:43.740]   around when I should not increase for inflation.
[00:38:43.740 --> 00:38:46.940]   And then the modified R&D rules, though it's not
[00:38:46.940 --> 00:38:49.060]   the true academically optimal, because you really
[00:38:49.060 --> 00:38:50.340]   need to go a little bit deeper.
[00:38:50.340 --> 00:38:53.020]   But it's closer to the idea that as you age,
[00:38:53.020 --> 00:38:56.020]   you should spend an increasing percentage of what's left.
[00:38:56.020 --> 00:38:59.380]   And so if you don't have big legacy concerns,
[00:38:59.380 --> 00:39:01.300]   something like a modified R&D rule,
[00:39:01.300 --> 00:39:03.220]   it's going to give you more variable spending,
[00:39:03.220 --> 00:39:05.940]   but it's closer to the, quote unquote,
[00:39:05.940 --> 00:39:08.820]   most efficient way to spend on your assets and retirement.
[00:39:08.820 --> 00:39:11.060]   So if your mom comes to you and asks you, which of these
[00:39:11.060 --> 00:39:13.220]   should I use, what's your answer?
[00:39:13.220 --> 00:39:14.940]   Well, and then in the real world,
[00:39:14.940 --> 00:39:16.900]   is you just spend what you need to spend,
[00:39:16.900 --> 00:39:21.220]   and it's not going to match any of these rules precisely.
[00:39:21.220 --> 00:39:23.540]   That sounds like the Taylor-Laramore adjust
[00:39:23.540 --> 00:39:25.060]   as you go rule.
[00:39:25.060 --> 00:39:26.560]   Right.
[00:39:26.560 --> 00:39:27.060]   All right.
[00:39:27.060 --> 00:39:28.980]   In the interest of time, I want to skip ahead
[00:39:28.980 --> 00:39:30.860]   to one of the controversial topics.
[00:39:30.860 --> 00:39:34.460]   Let's talk for a minute about annuities.
[00:39:34.460 --> 00:39:36.900]   And I want to talk a little bit about what annuities maybe
[00:39:36.900 --> 00:39:40.900]   people should consider, but also a question from the audience
[00:39:40.900 --> 00:39:43.300]   about SPIAs, which I'm sure you'll mention,
[00:39:43.300 --> 00:39:46.480]   a single premium immediate annuity,
[00:39:46.480 --> 00:39:48.220]   that for a very long-term retirement,
[00:39:48.220 --> 00:39:51.580]   how do you best mitigate the impact of inflation
[00:39:51.580 --> 00:39:54.420]   on the SPIA, if you can cover that as well.
[00:39:54.420 --> 00:39:55.860]   Yeah, absolutely.
[00:39:55.860 --> 00:39:57.500]   OK, yeah, let's go ahead and get to it.
[00:39:57.500 --> 00:40:00.060]   So who might consider an annuity?
[00:40:00.060 --> 00:40:01.940]   And then we'll talk about inflation, too.
[00:40:01.940 --> 00:40:06.100]   So who might consider an annuity?
[00:40:06.100 --> 00:40:08.820]   If your retirement income style is either income protection
[00:40:08.820 --> 00:40:11.860]   or risk-wrap, that's going to be something that's
[00:40:11.860 --> 00:40:13.220]   on the plate at that point.
[00:40:13.220 --> 00:40:16.220]   If you're total returns, you're not even
[00:40:16.220 --> 00:40:17.260]   thinking about annuities.
[00:40:17.260 --> 00:40:19.820]   That's where a lot of the opposition to annuities--
[00:40:19.820 --> 00:40:23.180]   I think some of the most vocal members at the forums,
[00:40:23.180 --> 00:40:26.180]   I would call total returns absolutists.
[00:40:26.180 --> 00:40:27.720]   And they don't need an annuity.
[00:40:27.720 --> 00:40:28.540]   It's not for them.
[00:40:28.540 --> 00:40:29.980]   It's not part of their style.
[00:40:29.980 --> 00:40:32.020]   It's not part of their preferences.
[00:40:32.020 --> 00:40:34.300]   But if your style is income protection or risk-wrap,
[00:40:34.300 --> 00:40:36.340]   it might be something to consider.
[00:40:36.340 --> 00:40:38.300]   Also, do you have an income gap?
[00:40:38.300 --> 00:40:42.060]   So step one is always delay Social Security.
[00:40:42.060 --> 00:40:44.180]   The delay credits on Social Security
[00:40:44.180 --> 00:40:46.940]   are much better than any sort of commercial annuity.
[00:40:46.940 --> 00:40:49.060]   So delay Social Security to age 70.
[00:40:49.060 --> 00:40:52.020]   Get your inflation-adjusted lifetime spending
[00:40:52.020 --> 00:40:54.440]   from Social Security with a survivor benefit.
[00:40:54.440 --> 00:40:56.900]   If you have other pensions, other reliable income--
[00:40:56.900 --> 00:40:58.940]   and then it's only if there's a gap where you really
[00:40:58.940 --> 00:41:01.460]   would like to have more reliable income than is already
[00:41:01.460 --> 00:41:03.540]   available to you, you might be thinking
[00:41:03.540 --> 00:41:06.260]   about filling that gap with an income annuity.
[00:41:06.260 --> 00:41:08.140]   Then you can feel more comfortable investing
[00:41:08.140 --> 00:41:10.660]   on top of that for discretionary goals.
[00:41:10.660 --> 00:41:12.300]   If you have a low risk tolerance--
[00:41:12.300 --> 00:41:14.460]   and this becomes a big issue.
[00:41:14.460 --> 00:41:18.060]   I never talk about annuities as a stock replacement.
[00:41:18.060 --> 00:41:19.900]   They're a bond replacement.
[00:41:19.900 --> 00:41:22.860]   So to the extent that you're not going to have stocks anyway,
[00:41:22.860 --> 00:41:25.380]   if you're very risk-averse, the case
[00:41:25.380 --> 00:41:27.340]   becomes stronger and stronger for the annuity
[00:41:27.340 --> 00:41:29.180]   because bonds aren't doing anything for you.
[00:41:29.180 --> 00:41:31.540]   It's really the challenges you want
[00:41:31.540 --> 00:41:33.460]   risk pulling through the annuity or the risk premium
[00:41:33.460 --> 00:41:34.460]   through the stock market.
[00:41:34.460 --> 00:41:35.920]   Well, if you're not going for the risk premium
[00:41:35.920 --> 00:41:37.660]   through the stock market, then you've
[00:41:37.660 --> 00:41:40.540]   got a stronger case for annuities.
[00:41:40.540 --> 00:41:43.220]   If you're more worried about outliving your money, what
[00:41:43.220 --> 00:41:45.780]   that means in this context, in an investments-only world,
[00:41:45.780 --> 00:41:47.900]   it means you're going to be worried about spending.
[00:41:47.900 --> 00:41:49.620]   So you're going to spend less and less.
[00:41:49.620 --> 00:41:52.660]   This gets into the idea of the annuity provides you
[00:41:52.660 --> 00:41:54.780]   permission to spend because you're not worried
[00:41:54.780 --> 00:41:56.460]   about outliving that asset.
[00:41:56.460 --> 00:41:58.140]   So to the extent that you're more
[00:41:58.140 --> 00:41:59.740]   worried about outliving your money,
[00:41:59.740 --> 00:42:01.980]   the case becomes stronger for the annuity.
[00:42:01.980 --> 00:42:04.100]   Again, emphasize this important point.
[00:42:04.100 --> 00:42:05.540]   If you're willing to view annuities
[00:42:05.540 --> 00:42:07.500]   as a bond replacement, which means
[00:42:07.500 --> 00:42:09.100]   for your remaining investments, you'll
[00:42:09.100 --> 00:42:11.580]   then have a higher stock allocation.
[00:42:11.580 --> 00:42:14.340]   That's an important aspect of at least getting the math
[00:42:14.340 --> 00:42:17.660]   to work out that this is a good way to approach things.
[00:42:17.660 --> 00:42:19.900]   If you like that idea of the commitment and the dementia
[00:42:19.900 --> 00:42:21.860]   insurance aspect of this is going
[00:42:21.860 --> 00:42:24.100]   to protect me from making mistakes later in life,
[00:42:24.100 --> 00:42:25.940]   this is going to be more helpful in preventing
[00:42:25.940 --> 00:42:28.300]   against financial fraud or elderly abuse
[00:42:28.300 --> 00:42:30.780]   because I don't have this big lump sum there that somebody
[00:42:30.780 --> 00:42:31.460]   can go after.
[00:42:31.460 --> 00:42:34.540]   I've got a monthly income coming in.
[00:42:34.540 --> 00:42:37.260]   Of course, you can still have fraud on a monthly paycheck,
[00:42:37.260 --> 00:42:40.340]   but it's harder to do that on a systematic basis
[00:42:40.340 --> 00:42:42.140]   than to go after one big lump sum.
[00:42:42.140 --> 00:42:44.420]   And then also, you do need to make sure to take the time
[00:42:44.420 --> 00:42:46.380]   to understand how annuities work.
[00:42:46.380 --> 00:42:50.180]   OK, now the inflation question is an important one.
[00:42:50.180 --> 00:42:52.020]   So you do get inflation-adjusted income
[00:42:52.020 --> 00:42:53.820]   through Social Security.
[00:42:53.820 --> 00:42:56.300]   You're not going to look to the annuity for inflation
[00:42:56.300 --> 00:42:58.420]   protection.
[00:42:58.420 --> 00:42:59.620]   That's not what it does.
[00:42:59.620 --> 00:43:02.900]   Your inflation protection can be through the TIPS.
[00:43:02.900 --> 00:43:05.000]   It can be through stocks.
[00:43:05.000 --> 00:43:06.740]   You mentioned real estate, which I usually
[00:43:06.740 --> 00:43:07.740]   didn't think to mention.
[00:43:07.740 --> 00:43:10.020]   But maybe real estate is another option.
[00:43:10.020 --> 00:43:11.220]   It's not the annuity.
[00:43:11.220 --> 00:43:17.180]   But what the annuity does as a bond replacement is--
[00:43:17.180 --> 00:43:18.500]   so TIPS is another option.
[00:43:18.500 --> 00:43:21.100]   But if we're just setting TIPS aside for the moment
[00:43:21.100 --> 00:43:23.220]   because it's like, do I want traditional treasuries
[00:43:23.220 --> 00:43:25.820]   or annuities, what annuities do relative
[00:43:25.820 --> 00:43:30.300]   to traditional treasuries is, over time, as you live longer,
[00:43:30.300 --> 00:43:32.900]   they meet more and more of your spending need
[00:43:32.900 --> 00:43:35.260]   so that you can take less distributions
[00:43:35.260 --> 00:43:37.520]   from your other assets.
[00:43:37.520 --> 00:43:40.460]   And a big way to manage sequence risk
[00:43:40.460 --> 00:43:42.500]   is to reduce the spending.
[00:43:42.500 --> 00:43:44.060]   Now, what you're doing there is you're
[00:43:44.060 --> 00:43:46.820]   reducing the spending from the investments
[00:43:46.820 --> 00:43:50.180]   because your annuity is covering more of that income over time.
[00:43:50.180 --> 00:43:52.100]   That makes it easier for your stocks
[00:43:52.100 --> 00:43:55.540]   to grow if you're taking less distributions from the stocks.
[00:43:55.540 --> 00:43:59.340]   So the annuity itself does not provide inflation protection.
[00:43:59.340 --> 00:44:02.780]   But it makes it easier for your other investments
[00:44:02.780 --> 00:44:05.780]   to not be as burdened by distributions
[00:44:05.780 --> 00:44:08.340]   to allow them to be the source of inflation protection.
[00:44:08.340 --> 00:44:09.960]   Now, they do have the responsibility.
[00:44:09.960 --> 00:44:12.340]   If you need the inflation growth,
[00:44:12.340 --> 00:44:14.100]   that's coming from the investment side.
[00:44:14.100 --> 00:44:17.220]   So your investments will be more burdened over time.
[00:44:17.220 --> 00:44:21.220]   But this is back to when I do simulations around this,
[00:44:21.220 --> 00:44:22.980]   usually by having a lower distribution
[00:44:22.980 --> 00:44:24.260]   need from the investments.
[00:44:24.260 --> 00:44:27.020]   You're building the framework for them
[00:44:27.020 --> 00:44:30.380]   to grow so that they can be that source of inflation
[00:44:30.380 --> 00:44:32.420]   more effectively in the future.
[00:44:32.420 --> 00:44:34.660]   So it's not that the annuity by itself
[00:44:34.660 --> 00:44:37.260]   provides any sort of inflation protection.
[00:44:37.260 --> 00:44:39.700]   What it does is it makes it easier for your investment
[00:44:39.700 --> 00:44:42.820]   portfolio to not be as burdened by distributions
[00:44:42.820 --> 00:44:44.860]   and therefore make it easier for them to provide
[00:44:44.860 --> 00:44:47.540]   the inflation protection.
[00:44:47.540 --> 00:44:50.380]   Let's talk about the controversial buffer assets.
[00:44:50.380 --> 00:44:53.220]   The first one, few people dislike
[00:44:53.220 --> 00:44:57.420]   how whole life insurance is sold more than I do,
[00:44:57.420 --> 00:45:00.140]   although I recognize there are times when it can be useful.
[00:45:00.140 --> 00:45:03.220]   Do you think a typical investor, maybe even a typical Vogel
[00:45:03.220 --> 00:45:06.660]   head in this room, should consider purchasing a policy
[00:45:06.660 --> 00:45:09.820]   to help pay for their retirement?
[00:45:09.820 --> 00:45:13.060]   Yeah, the answer to that is probably not.
[00:45:13.060 --> 00:45:15.860]   And I somehow have been labeled as this life insurance guy,
[00:45:15.860 --> 00:45:19.860]   which I did a couple of studies about it in the past.
[00:45:19.860 --> 00:45:22.740]   I'm not living my life thinking about life insurance every day.
[00:45:22.740 --> 00:45:24.940]   But I did.
[00:45:24.940 --> 00:45:26.180]   I became convinced enough--
[00:45:26.180 --> 00:45:28.560]   I'm still a little bit young to be purchasing annuities,
[00:45:28.560 --> 00:45:30.620]   but I did get a whole life policy
[00:45:30.620 --> 00:45:32.300]   after doing that research.
[00:45:32.300 --> 00:45:33.860]   Because my bonds are--
[00:45:33.860 --> 00:45:35.260]   I don't have a lot of bonds.
[00:45:35.260 --> 00:45:37.460]   I don't really want a high bond allocation right now.
[00:45:37.460 --> 00:45:39.140]   I've got some high bonds, and then I
[00:45:39.140 --> 00:45:40.780]   have my whole life policy.
[00:45:40.780 --> 00:45:41.980]   I don't have any other bonds.
[00:45:41.980 --> 00:45:45.300]   I'm comfortable thinking of that as my bond allocation.
[00:45:45.300 --> 00:45:48.540]   Now, after the tax deferral, I don't
[00:45:48.540 --> 00:45:50.940]   spend a lot of time thinking about bonds more generally.
[00:45:50.940 --> 00:45:54.380]   So I don't know if it's the best way to invest in bonds or not.
[00:45:54.380 --> 00:45:57.860]   I think the case is there that I can be comfortable,
[00:45:57.860 --> 00:45:59.980]   assuming I'm not being ripped off by treating it
[00:45:59.980 --> 00:46:02.460]   as my bond allocation.
[00:46:02.460 --> 00:46:04.460]   But that's not going to be for everyone.
[00:46:04.460 --> 00:46:08.380]   And in particular, it requires a very strong commitment
[00:46:08.380 --> 00:46:09.020]   orientation.
[00:46:09.020 --> 00:46:11.580]   You're really making a lifetime commitment
[00:46:11.580 --> 00:46:13.260]   to a whole life insurance policy.
[00:46:13.260 --> 00:46:16.380]   You don't want to necessarily lapse on that in the future.
[00:46:16.380 --> 00:46:19.140]   I feel like I could make that lifetime commitment to it.
[00:46:19.140 --> 00:46:22.900]   So I feel like it's OK for me in that context.
[00:46:22.900 --> 00:46:25.540]   And then, as part of retirement income, well,
[00:46:25.540 --> 00:46:27.300]   then how do you use it?
[00:46:27.300 --> 00:46:30.260]   Of course, the idea behind buy term and invest a difference,
[00:46:30.260 --> 00:46:32.300]   you don't need life insurance in retirement.
[00:46:32.300 --> 00:46:34.620]   You only need it to protect your family while you're working.
[00:46:34.620 --> 00:46:36.060]   So if you're not working, you don't
[00:46:36.060 --> 00:46:37.480]   have any human capital to protect.
[00:46:37.480 --> 00:46:39.260]   You don't need life insurance anymore.
[00:46:39.260 --> 00:46:43.300]   Well, if you have a legacy goal in mind,
[00:46:43.300 --> 00:46:45.620]   rather than trying to spend less from your investments,
[00:46:45.620 --> 00:46:48.180]   because you want to make sure you preserve that legacy goal,
[00:46:48.180 --> 00:46:51.260]   it can work to just earmark some of your potential investments
[00:46:51.260 --> 00:46:53.940]   to that life insurance policy instead to earmark,
[00:46:53.940 --> 00:46:54.820]   here's the legacy.
[00:46:54.820 --> 00:46:56.660]   And the cost of that legacy was the premiums
[00:46:56.660 --> 00:46:58.700]   on the life insurance, not I just
[00:46:58.700 --> 00:47:01.060]   have to manage my investments more carefully
[00:47:01.060 --> 00:47:02.700]   to preserve the legacy.
[00:47:02.700 --> 00:47:05.700]   Or this idea of, if you're income protection,
[00:47:05.700 --> 00:47:08.700]   it can be hard to purchase an income annuity.
[00:47:08.700 --> 00:47:11.420]   And in particular, if you're in a couple,
[00:47:11.420 --> 00:47:14.500]   you get a joint life or a single life that would pay more.
[00:47:14.500 --> 00:47:16.160]   Well, the idea behind the life insurance
[00:47:16.160 --> 00:47:20.140]   there is, if I have a life insurance policy,
[00:47:20.140 --> 00:47:22.500]   I could buy a life only income annuity, which
[00:47:22.500 --> 00:47:25.300]   is the highest paying possible income annuity,
[00:47:25.300 --> 00:47:28.260]   up to the amount of the death benefit on the life insurance.
[00:47:28.260 --> 00:47:30.000]   Because I know that when I pass away,
[00:47:30.000 --> 00:47:32.220]   the life insurance death benefit replaces
[00:47:32.220 --> 00:47:33.860]   that asset for the household.
[00:47:33.860 --> 00:47:36.700]   And then if there is a surviving spouse at that point,
[00:47:36.700 --> 00:47:39.460]   they could use the death benefit to buy an annuity
[00:47:39.460 --> 00:47:41.340]   or whatever they want to do at that point.
[00:47:41.340 --> 00:47:42.940]   But that's one way to think about it.
[00:47:42.940 --> 00:47:45.580]   The other is this buffer asset idea
[00:47:45.580 --> 00:47:47.580]   that it's worth getting into a little deeper.
[00:47:47.580 --> 00:47:49.580]   Because this is also the--
[00:47:49.580 --> 00:47:52.100]   when I was learning about this stuff,
[00:47:52.100 --> 00:47:53.940]   there's a parallel conversation that
[00:47:53.940 --> 00:47:55.900]   was happening in the life insurance world
[00:47:55.900 --> 00:47:57.540]   and the reverse mortgage world.
[00:47:57.540 --> 00:48:00.740]   This idea of this thing, this loan
[00:48:00.740 --> 00:48:03.260]   from something that doesn't decline in value
[00:48:03.260 --> 00:48:04.420]   is a buffer asset.
[00:48:04.420 --> 00:48:07.060]   So it's worth talking about that a little bit more detail
[00:48:07.060 --> 00:48:08.740]   with another slide.
[00:48:08.740 --> 00:48:11.340]   Another important aspect of this, like I was saying,
[00:48:11.340 --> 00:48:13.740]   this is not a replacement for your stock investments.
[00:48:13.740 --> 00:48:15.780]   And I think a lot of the opposition to whole life
[00:48:15.780 --> 00:48:18.940]   is, you'd be better off in the stock market.
[00:48:18.940 --> 00:48:21.540]   I'm really thinking of this as a bond replacement, not
[00:48:21.540 --> 00:48:23.060]   a stock replacement.
[00:48:23.060 --> 00:48:25.780]   And also, if you're going to face higher tax
[00:48:25.780 --> 00:48:30.100]   rates in retirement, when the policy is structured properly,
[00:48:30.100 --> 00:48:33.260]   this can be a way to have, just like a Roth IRA,
[00:48:33.260 --> 00:48:35.780]   a source of spending power that does not
[00:48:35.780 --> 00:48:37.900]   add to your adjusted gross income
[00:48:37.900 --> 00:48:39.900]   and does not cause all the other problems.
[00:48:39.900 --> 00:48:42.700]   So if you were at the session yesterday,
[00:48:42.700 --> 00:48:45.980]   it's worth just reviewing this idea real quick.
[00:48:45.980 --> 00:48:48.580]   Are you going to be in a high tax bracket in retirement?
[00:48:48.580 --> 00:48:51.120]   Well, that question doesn't just mean the federal income tax
[00:48:51.120 --> 00:48:51.620]   bracket.
[00:48:51.620 --> 00:48:53.820]   It means all these other non-linear aspects
[00:48:53.820 --> 00:48:55.300]   of the tax code.
[00:48:55.300 --> 00:48:58.020]   So there's no state income tax on this.
[00:48:58.020 --> 00:49:00.580]   This is purely federal considerations.
[00:49:00.580 --> 00:49:03.540]   If you're married, filing jointly in 2023,
[00:49:03.540 --> 00:49:07.260]   and at this point, the couple has $52,200 in Social Security,
[00:49:07.260 --> 00:49:08.340]   seems like a weird number.
[00:49:08.340 --> 00:49:11.660]   It's basically a $2,500 primary insurance amount linked
[00:49:11.660 --> 00:49:14.940]   to a worker claiming at 70, and then also their spouse
[00:49:14.940 --> 00:49:17.820]   getting 50% of their full retirement amount.
[00:49:17.820 --> 00:49:20.420]   And then preferential income of $20,000,
[00:49:20.420 --> 00:49:23.340]   that's qualified dividends, long-term capital gains
[00:49:23.340 --> 00:49:25.260]   that they're taking out of the portfolio.
[00:49:25.260 --> 00:49:27.100]   Then we're going to look at the relationship
[00:49:27.100 --> 00:49:31.180]   between ordinary income, whether that's wages,
[00:49:31.180 --> 00:49:33.460]   whether that's an IRA distribution needed
[00:49:33.460 --> 00:49:37.020]   for spending, whether that's a Roth conversion.
[00:49:37.020 --> 00:49:38.980]   But what happens to my taxes as I
[00:49:38.980 --> 00:49:41.540]   generate more ordinary income?
[00:49:41.540 --> 00:49:42.940]   Oh, are we at time?
[00:49:42.940 --> 00:49:44.100]   We're getting pretty close.
[00:49:44.100 --> 00:49:44.600]   OK.
[00:49:44.600 --> 00:49:45.820]   Sorry.
[00:49:45.820 --> 00:49:47.140]   I was really wordy.
[00:49:47.140 --> 00:49:49.820]   So it's basically then--
[00:49:49.820 --> 00:49:52.060]   what you're seeing here-- let me just explain this map,
[00:49:52.060 --> 00:49:54.360]   and then we can pretty much wrap up.
[00:49:54.360 --> 00:49:56.940]   So it's jumping to 18 and 1/2% because you're
[00:49:56.940 --> 00:49:59.980]   in the 10% bracket at a point where you're then--
[00:49:59.980 --> 00:50:03.900]   each dollar is causing $0.85 of Social Security to be taxed.
[00:50:03.900 --> 00:50:07.820]   Then you jump to 22.2% because you're in the 12% bracket.
[00:50:07.820 --> 00:50:11.700]   Each dollar is causing $0.85 of Social Security to be taxed.
[00:50:11.700 --> 00:50:15.060]   Then once you get the full 85% of your Social Security is taxed,
[00:50:15.060 --> 00:50:17.420]   you drop back down to 12% for a while.
[00:50:17.420 --> 00:50:20.060]   Then you jump up to 27% because that's
[00:50:20.060 --> 00:50:23.500]   where you're now pushing income from the long-term gains
[00:50:23.500 --> 00:50:25.620]   from 0% to 15%.
[00:50:25.620 --> 00:50:28.100]   So you're riding along 27%.
[00:50:28.100 --> 00:50:33.300]   Then for $200, you drop back down to the 22% bracket--
[00:50:33.300 --> 00:50:34.840]   no, I'm sorry, 12% bracket.
[00:50:34.840 --> 00:50:36.740]   Then you're going to 22%.
[00:50:36.740 --> 00:50:39.220]   Then you start getting hit by the IRMA thresholds.
[00:50:39.220 --> 00:50:42.740]   And then also the 3.8% net investment income tax
[00:50:42.740 --> 00:50:48.300]   as you get closer to that $250,000 of taxable income.
[00:50:48.300 --> 00:50:49.380]   That's close enough.
[00:50:49.380 --> 00:50:50.780]   And so that's what you're needing
[00:50:50.780 --> 00:50:53.140]   to manage in retirement, not just federal income tax
[00:50:53.140 --> 00:50:55.140]   brackets.
[00:50:55.140 --> 00:50:58.820]   All right, let's take maybe one minute
[00:50:58.820 --> 00:51:02.340]   and just talk about that other controversial buffer
[00:51:02.340 --> 00:51:04.060]   asset of reverse mortgages.
[00:51:04.060 --> 00:51:06.660]   I mean, I've got some neighbors who ran out of assets.
