
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:52:19.000 --> 00:52:36.000]   The only kind of in-between stage that's difficult is from about one year to say, you know, two and a half where you're dealing with a child that is old enough to run around, walk around, but is too young to really be engaged by mental entertainment like reading stories, things like that.
[00:52:36.000 --> 00:52:41.000]   And what we do is usually just make up toys on the spot because you don't need much.
[00:52:41.000 --> 00:52:50.000]   You can grab a water bottle somewhere, you poke some fabric in it or put some paper and just make stuff up and find something or buy a couple of toys here and there along the way.
[00:52:50.000 --> 00:52:55.000]   But beyond that, I can't think – what am I missing?
[00:52:55.000 --> 00:52:59.000]   You tell me, what am I missing in terms of things that fill up a bag?
[00:52:59.000 --> 00:53:03.000]   I guess what about the sleeping situations?
[00:53:03.000 --> 00:53:04.000]   Ah, good point.
[00:53:04.000 --> 00:53:05.000]   Especially the smaller kids.
[00:53:05.000 --> 00:53:06.000]   Yeah.
[00:53:06.000 --> 00:53:08.000]   So we've done a couple of different things.
[00:53:08.000 --> 00:53:11.000]   So the first thing is – I don't know what you call it.
[00:53:11.000 --> 00:53:18.000]   They sell these little fold-up things that you see them advertised for the beach.
[00:53:18.000 --> 00:53:20.000]   I don't know what to actually call them.
[00:53:20.000 --> 00:53:22.000]   I would have to ask my wife.
[00:53:22.000 --> 00:53:25.000]   But they sell them for the beach and they're like a little tent.
[00:53:25.000 --> 00:53:28.000]   And they fold with an internal structure.
[00:53:28.000 --> 00:53:40.000]   They're just a very thin piece of nylon and they fold with an internal structure that allows you to – kind of like the sunshades that you fold up into a small circle.
[00:53:40.000 --> 00:53:47.000]   And the nice thing about it is they provide you with an enclosed place where the baby can be.
[00:53:47.000 --> 00:53:54.000]   And so we've traveled with one of those and I think my wife has one of those for this trip for our baby that's similar age of what you're describing.
[00:53:54.000 --> 00:53:57.000]   And so I think we're going to be traveling with one of those.
[00:53:57.000 --> 00:54:04.000]   And the nice thing about it is it allows you to – basically what we do is just stick the baby on the floor that comes with a pad that goes into it.
[00:54:04.000 --> 00:54:12.000]   And then if we're in a hotel or something, we'll take a blanket, fold it up, put it down for some padding or a pair of towels or something and just set it down.
[00:54:12.000 --> 00:54:13.000]   And the baby can be in that.
[00:54:13.000 --> 00:54:15.000]   And it's zipped up so you know where he is.
[00:54:15.000 --> 00:54:19.000]   If he starts rolling around or something, that's trouble.
[00:54:19.000 --> 00:54:24.000]   But little ones – when a baby is small, they're defeated by the zipper.
[00:54:24.000 --> 00:54:31.000]   And when the baby is old enough to defeat the zipper or roll around, then you can train the baby not to move and just to put his head down and go to sleep.
[00:54:31.000 --> 00:54:33.000]   And so that's the thing that we travel with.
[00:54:33.000 --> 00:54:35.000]   That fits in an underseat bag.
[00:54:35.000 --> 00:54:41.000]   It folds up to about the size of – I would say maybe 12 inches across and 2 inches thick.
[00:54:41.000 --> 00:54:43.000]   So that's not too bad.
[00:54:43.000 --> 00:54:46.000]   And then also you can get cribs along the way.
[00:54:46.000 --> 00:54:55.000]   And so if you are staying in hotels, even Airbnbs, many places, you can just order a crib.
[00:54:55.000 --> 00:54:58.000]   And that certainly is the most relaxing thing.
[00:54:58.000 --> 00:55:02.000]   And then from time to time, I mean, frankly, just stick the baby on the bed and pay attention to him.
[00:55:02.000 --> 00:55:08.000]   And again, it goes back to the pain of carrying stuff with you is not free.
[00:55:08.000 --> 00:55:18.000]   So if I'm taking a car trip to see my friends in another state, then I'll take along a portable crib, absolutely, because I can just toss it in the back of the car, etc.
[00:55:18.000 --> 00:55:24.000]   But if I'm going on an airplane trip, I'm not schlepping a bunch of gear from one side of the world to another.
[00:55:24.000 --> 00:55:30.000]   I'm going to make sure that I have – that I just have the bare basics.
[00:55:30.000 --> 00:55:37.000]   And if that means that at some point the baby sleeps on the floor somewhere and I got to pay attention, as long as I'm thoughtful –
[00:55:37.000 --> 00:55:42.000]   again, we don't want to be reckless, but so what if the baby gets up and crawls off of his blanket?
[00:55:42.000 --> 00:55:50.000]   As long as I lock the door and there's no stairs and there's no everything like that, I make sure I take precautions, then I'll hear him and I'll wake up.
[00:55:50.000 --> 00:55:59.000]   And then what you probably haven't experienced yet as a parent is it's just a natural thing that your brain tunes in to what you need to pay attention to.
[00:55:59.000 --> 00:56:08.000]   So prior to the birth of your first baby, you probably have been in situations where you've slept through a thunderstorm or slept through something like that.
[00:56:08.000 --> 00:56:14.000]   Have you experienced that where you don't wake up when you think, "Man, how did I miss that?" Have you experienced that?
[00:56:14.000 --> 00:56:15.000]   Yes.
[00:56:15.000 --> 00:56:24.000]   Okay. So here's what I tell you is that when you have a baby and when you are on duty, your brain knows it's on duty and it will wake you up.
[00:56:24.000 --> 00:56:27.000]   What's funny is that your brain will still filter stuff out.
[00:56:27.000 --> 00:56:38.000]   There was a time when my wife and I had our second child and we had a young baby – a young child and we had a baby.
[00:56:38.000 --> 00:56:47.000]   And so both of us were on duty and basically the way that we kind of set things up is that my wife deals with the baby during the night.
[00:56:47.000 --> 00:56:51.000]   I take the baby in the morning so she can hopefully get a couple extra hours of sleep.
[00:56:51.000 --> 00:56:54.000]   But at least I need to get a decent night's sleep.
[00:56:54.000 --> 00:56:57.000]   So she gets up with the baby, feeds the baby. I can't do much in the night anyway.
[00:56:57.000 --> 00:56:59.000]   So there's kind of no point in it.
[00:56:59.000 --> 00:57:04.000]   So we would have this baby in our room that would wake up, cry, want to nurse, etc.
[00:57:04.000 --> 00:57:07.000]   I never ever heard that child.
[00:57:07.000 --> 00:57:12.000]   I just slept right through the feedings because my brain knows I'm not on duty, she's on duty.
[00:57:12.000 --> 00:57:19.000]   But our older child who was still a toddler was sleeping in the next room and that was my responsibility.
[00:57:19.000 --> 00:57:26.000]   So if he woke up or cried in the night or something like that, my brain was instantly on and she never heard that child.
[00:57:26.000 --> 00:57:30.000]   I'd say in the morning, "Oh, did you not hear that our older child did such and such?"
[00:57:30.000 --> 00:57:32.000]   She's like, "I had no idea."
[00:57:32.000 --> 00:57:38.000]   And my brain would filter out the baby because I knew I wasn't on duty and her brain would filter out the older child because it knew she wasn't on duty.
[00:57:38.000 --> 00:57:49.000]   And so if we're in a hotel room and let's say you put the baby down on a blanket on the floor and then you wake up to sounds of little feet and knees going across the floor,
[00:57:49.000 --> 00:57:55.000]   your brain wakes you up because you know I'm in a strange place, I locked the door so the baby wouldn't fall down the stairs,
[00:57:55.000 --> 00:57:59.000]   he can't get out but still he should be on his blanket asleep not crawling across the floor.
[00:57:59.000 --> 00:58:03.000]   And you'll instantly wake up, you'll instantly deal with it, etc.
[00:58:03.000 --> 00:58:09.000]   I'm not advocating for carelessness or stupidity on behalf of parents but I am saying that you can trust your body.
[00:58:09.000 --> 00:58:15.000]   Your body knows what is needed and you'll work it out pretty easily.
[00:58:15.000 --> 00:58:16.000]   Okay.
[00:58:16.000 --> 00:58:17.000]   Well, I think that makes a lot of sense.
[00:58:17.000 --> 00:58:22.000]   I think some of the ideas you gave are similar to my own thoughts so that helps a lot.
[00:58:22.000 --> 00:58:23.000]   Well, thank you very much.
[00:58:23.000 --> 00:58:24.000]   Yeah.
[00:58:24.000 --> 00:58:32.000]   And one final comment is just that having less luggage is not like a sign of superiority or something like that.
[00:58:32.000 --> 00:58:42.000]   And so if it fits your trip that you're just going to one or two places, man, bring a big suitcase loaded up with the stuff that makes your life easy,
[00:58:42.000 --> 00:58:45.000]   check it through to your destination and be done.
[00:58:45.000 --> 00:58:53.000]   The reason you travel light if you're going to travel light is because that enhances your capabilities.
[00:58:53.000 --> 00:58:56.000]   It allows you to go more places, do more things, etc.
[00:58:56.000 --> 00:59:06.000]   And so for example, in our trip with what I described, because we have so many young children and they're not all capable of having suitcases and caring for suitcases,
[00:59:06.000 --> 00:59:09.000]   we have to be super, super light.
[00:59:09.000 --> 00:59:17.000]   And because we're on and off trains, planes, automobiles all across the board, I need to be light in order to cover as much ground as we're going to cover.
[00:59:17.000 --> 00:59:21.000]   But recognize that's a self-imposed limitation.
[00:59:21.000 --> 00:59:29.000]   And so what I'd encourage you is don't try to plan a cross-continental, multi-country tour when you're getting started.
[00:59:29.000 --> 00:59:30.000]   Plan something relaxing.
[00:59:30.000 --> 00:59:36.000]   You're going to an Airbnb for a couple of weeks, check a bag, go through to that, and then pare it down over time.
[00:59:36.000 --> 00:59:38.000]   See what works, see what doesn't work.
[00:59:38.000 --> 00:59:42.000]   And then embrace the times in a child's life in which it's easier to travel.
[00:59:42.000 --> 00:59:47.000]   And don't feel like the goal of traveling is not to make your friends jealous on Instagram.
[00:59:47.000 --> 00:59:54.000]   So it's a skill that builds over time, and I can't – those are the best solutions.
[00:59:54.000 --> 01:00:02.000]   I've just found that most of it, though, is mental, that once you get used to the fact that the whole world lives where it is.
[01:00:02.000 --> 01:00:04.000]   And so if you need something, you can go buy it.
[01:00:04.000 --> 01:00:05.000]   If you need deodorant, you go buy it.
[01:00:05.000 --> 01:00:07.000]   If you need a Band-Aid, generally you can go buy it.
[01:00:07.000 --> 01:00:10.000]   If you need a fresh shirt, you can go buy it.
[01:00:10.000 --> 01:00:19.000]   And so it's not that difficult to just get the stuff that you need, and that gives me the mental freedom to travel a little bit lighter.
[01:00:19.000 --> 01:00:21.000]   Okay, another good point.
[01:00:21.000 --> 01:00:22.000]   Thank you.
[01:00:22.000 --> 01:00:23.000]   My pleasure.
[01:00:23.000 --> 01:00:27.000]   And with that, we move to – I have a couple of written-in questions here, at least one.
[01:00:27.000 --> 01:00:31.000]   So I wasn't able to stay on the line, but Artem writes in and says, "Hi, Joshua.
[01:00:31.000 --> 01:00:39.000]   Could you paint a picture of how losses in a business can offset taxable W-2 or business distributions income in another profitable business?
[01:00:39.000 --> 01:00:44.000]   What structure does the business with expected losses have to have for this to work?
[01:00:44.000 --> 01:00:49.000]   I'm considering a new software as a service business, which will likely have net operating losses in the first year or two.
[01:00:49.000 --> 01:00:53.000]   Is this the type of business that can be good for offsetting other income?"
[01:00:53.000 --> 01:00:55.000]   So the short answer is yes, it can be.
[01:00:55.000 --> 01:01:02.000]   So losses and the deductibility of losses depends upon the structure of the business.
[01:01:02.000 --> 01:01:10.000]   So from the perspective of capturing full losses, the best kind of business structure to have is simply a sole proprietorship.
[01:01:10.000 --> 01:01:13.000]   No corporation, no LLC, just a sole proprietorship.
[01:01:13.000 --> 01:01:25.000]   You file a Schedule C on your American tax return, and the reason is that losses from a sole proprietorship can be deducted against your active earned income without limit.
[01:01:25.000 --> 01:01:37.000]   So let's say that you earn $100,000 from your day job as a W-2 employee, and you start a side business as a sole proprietorship, and that side business loses in the first year $10,000.
[01:01:37.000 --> 01:01:43.000]   That full $10,000 can be deducted over against your W-2 income in full.
[01:01:43.000 --> 01:01:48.000]   So your taxable income would decrease from $100,000 to $90,000.
[01:01:48.000 --> 01:02:04.000]   If you bring in some kind of corporation, then now, generally speaking, your losses are deductible based upon the limits of how much your contributions were to that company and/or your profits of that company.
[01:02:04.000 --> 01:02:12.000]   And so if you know you're going to have a business with heavy losses tax-wise, it's superior for that to be structured as a sole proprietorship.
[01:02:12.000 --> 01:02:17.000]   Now clearly, there are many good reasons not to structure a business as a sole proprietorship.
[01:02:17.000 --> 01:02:28.000]   Things like liability protections, things like taking investors, all the reasons that we have corporations.
[01:02:28.000 --> 01:02:39.000]   But if you know there's a business that you're going to be running that's going to have losses and you don't need a corporation, always run it as a sole proprietorship, because from a tax loss perspective, that will be your best option.
[01:02:39.000 --> 01:02:44.000]   What I would say though, if you have – so that's if you have W-2 income.
[01:02:44.000 --> 01:02:56.000]   Now, if you have W-2 income and you're trying to start a business and you know you're going to have losses but you need a corporation, then your losses are going to be deductible according to the S-Corp and the C-Corp rules based upon your contributions and your profits.
[01:02:56.000 --> 01:02:58.000]   So it's not as superior, but they're still there.
[01:02:58.000 --> 01:03:06.000]   And then if you – depending on your activity, whether you're an active participant, passive participant, how much your income is, you can take losses for a very long period of time.
[01:03:06.000 --> 01:03:09.000]   Again, I think the current number is still $3,000.
[01:03:09.000 --> 01:03:11.000]   I think I had to check the tax charts on that.
[01:03:11.000 --> 01:03:17.000]   But you can deduct $3,000 of your losses for a very long period of time, but you're just limited on those corporate structures.
[01:03:17.000 --> 01:03:30.000]   If you have some other kind of business, then I would just say that it would in many cases be best just to go ahead and start your new endeavor within the context of your other business.
[01:03:30.000 --> 01:03:37.000]   So let me clear up something that usually surprises people for when you talk about losses.
[01:03:37.000 --> 01:03:50.000]   The biggest concern, which is a genuine concern and it's also often a misplaced concern among people when you start talking about losses, have to do with what are called the hobby loss rules.
[01:03:50.000 --> 01:03:59.000]   And the idea that the IRS says is that when you have losses, you can only deduct losses that are connected to an actual business.
[01:03:59.000 --> 01:04:03.000]   You can't deduct losses that are associated with a hobby.
[01:04:03.000 --> 01:04:17.000]   And so in order for you to avoid – in order for you to be able to deduct your losses, you have to be able to demonstrate that your losses are due to your having a business that's losing money, not a hobby that's losing money.
[01:04:17.000 --> 01:04:22.000]   So does that mean that a business actually has to make money?
[01:04:22.000 --> 01:04:23.000]   Well, that's the big misconception.
[01:04:23.000 --> 01:04:24.000]   The answer is no.
[01:04:24.000 --> 01:04:32.000]   You could start a business and that business could lose money every single year for 25 years.
[01:04:32.000 --> 01:04:50.000]   And all of those losses could be completely deductible as losses against your other sources of income as long as those expenses meet all of the other IRS rules such as their expenses that are ordinary and necessary for the business.
[01:04:50.000 --> 01:05:01.000]   They're properly documented, of course, and that you can demonstrate that you are doing the kinds of things that a wise businessman would do with an attempt to make a profit.
[01:05:01.000 --> 01:05:04.000]   The key thing is you must be trying to make a profit.
[01:05:04.000 --> 01:05:10.000]   You cannot be engaging in tax games where you just made up something to spend money on the business ledger.
[01:05:10.000 --> 01:05:13.000]   You have to actually be trying to make a profit.
[01:05:13.000 --> 01:05:19.000]   So that's the thing that you're trying to prove to the IRS is that I'm trying to make a profit.
[01:05:19.000 --> 01:05:24.000]   But the key to the hobby loss rules is actually the opposite.
[01:05:24.000 --> 01:05:27.000]   So what the hobby loss rules say – the opposite of what many people think.
[01:05:27.000 --> 01:05:37.000]   What the hobby loss rules say is that if you've made a profit in two out of five years or if it's an equestrian business two out of seven years, then you're automatically deemed to be operating a business.
[01:05:37.000 --> 01:05:51.000]   And so rather than the two out of five-year rules being perceived as people think they are, that you have to make money in order to be able to deduct your other losses, think of it the opposite, that if you make money, you automatically have a business.
[01:05:51.000 --> 01:05:54.000]   So if your business makes profit, you're good to go.
[01:05:54.000 --> 01:06:04.000]   So now if you consider this, let's say that you have one line of business within your corporation and this line of business has $100,000 of net profit.
[01:06:04.000 --> 01:06:08.000]   And you are thinking about adding in another line of business.
[01:06:08.000 --> 01:06:21.000]   Well, if you go and you start another company, a completely separate independent company, now you have a whole set of rules of what you can deduct in that company based upon your contributions to that company.
[01:06:21.000 --> 01:06:43.000]   But if you start that new venture within your current company, even if that new venture winds up being expensive and let's say you have $50,000 of losses from the new venture, because you have a profit within the company, you're pretty well protected from any kind of trouble with the IRS to be able to deduct those expenses.
[01:06:43.000 --> 01:06:49.000]   And the net effect is basically the same because you're deducting the expenses over against your income.
[01:06:49.000 --> 01:06:52.000]   And this is really powerful.
[01:06:52.000 --> 01:06:56.000]   Now, again, to emphasize the point that you have to follow all of the other rules.
[01:06:56.000 --> 01:07:00.000]   So these need to be ordinary and necessary business expenses.
[01:07:00.000 --> 01:07:06.000]   You need to be systematically trying to make this work, making wise decisions, having a business plan.
[01:07:06.000 --> 01:07:10.000]   If you lose money, trying to stop losing money, all that stuff applies.
[01:07:10.000 --> 01:07:25.000]   But if your business activity fits underneath the umbrella of one of your existing companies, then you'll have much greater freedom with your ability to deduct those expenses in your existing company because of those hobby loss rules.
[01:07:25.000 --> 01:07:27.000]   So that would be my thoughts.
[01:07:27.000 --> 01:07:31.000]   And I believe that I've answered that completely.
[01:07:31.000 --> 01:07:42.000]   So if you have losses in the first year or two, then probably look at having that as a sole proprietorship, especially in something like a software or service business where you should have minimal liability.
[01:07:42.000 --> 01:07:44.000]   Just start as a sole proprietorship.
[01:07:44.000 --> 01:07:54.000]   And then this is a good reason that also as your business becomes more sophisticated, you can go ahead and operate as a sole proprietorship for a couple of years, take your tax losses fully.
[01:07:54.000 --> 01:08:02.000]   Then you can go ahead and establish an LLC, elect some form of corporate taxation if you desire it, and you can just steadily become more sophisticated.
[01:08:02.000 --> 01:08:04.000]   That's the best general way to start.
[01:08:04.000 --> 01:08:12.000]   And then if you have some kind of existing business already, then consider starting this with underneath the umbrella of that business.
[01:08:12.000 --> 01:08:15.000]   And with that, we conclude all of the callers.
[01:08:15.000 --> 01:08:17.000]   Let me double check my notes.
[01:08:17.000 --> 01:08:18.000]   That's it.
[01:08:18.000 --> 01:08:20.000]   So thank you all so much for listening to today's Q&A show.
[01:08:20.000 --> 01:08:25.000]   I remind you as we go that if you'd like to join me next week, go to patreon.com/radicalpersonalfinance.
[01:08:25.000 --> 01:08:27.000]   Patreon.com/radicalpersonalfinance.
[01:08:27.000 --> 01:08:30.000]   That will gain access for you to this Friday Q&A show.
[01:08:30.000 --> 01:08:35.000]   I also remind you my consulting season is closed, so that's gone.
[01:08:35.000 --> 01:08:40.000]   But I would love for you to come and hang out with me in Panama in January.
[01:08:40.000 --> 01:08:45.000]   I am co-hosting a Panama investment tour in January.
[01:08:45.000 --> 01:08:50.000]   So please go to expatmoney.com/radical, expatmoney.com/radical.
[01:08:50.000 --> 01:08:51.000]   Check out that opportunity.
[01:08:51.000 --> 01:08:58.000]   It's going to be a great week for you to come hang out with me for a week, hang out with several -- it's just going to be a great time.
[01:08:58.000 --> 01:09:00.000]   Great, fair price.
[01:09:00.000 --> 01:09:01.000]   Everything is taken care of for you.
[01:09:01.000 --> 01:09:05.000]   expatmoney.com/radical for that, and I'll be back with you very soon.
[01:09:05.000 --> 01:09:16.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[01:09:16.000 --> 01:09:21.000]   A historic main street charms you.
[01:09:21.000 --> 01:09:27.000]   And every day brings a new adventure.
[01:09:27.000 --> 01:09:33.000]   Welcome to Park City, Utah, naturally winter's favorite town.
[01:09:33.000 --> 01:09:36.000]   Join the experience at visitparkcity.com.
[01:09:37.000 --> 01:09:42.000]   The holidays start here at Ralph's, with a variety of options to celebrate traditions old and new.
[01:09:42.000 --> 01:09:47.000]   You could do a classic herb roasted turkey, or spice it up and make turkey tacos.
[01:09:47.000 --> 01:09:53.000]   Serve up a go-to shrimp cocktail, or use Simple Truth wild-caught shrimp for your first Cajun risotto.
[01:09:53.000 --> 01:09:59.000]   Make creamy mac and cheese, or a spinach artichoke fondue from our selection of Murray's cheese.
[01:09:59.000 --> 01:10:04.000]   No matter how you shop, Ralph's has all the freshest ingredients to embrace all your holiday traditions.
[01:10:04.000 --> 01:10:06.520]   Ralph's, fresh for everyone.

