
[00:00:00.000 --> 00:00:02.000]   quiet quitting.
[00:38:17.500 --> 00:38:19.800]   I'm going to try to convince you of in this piece and now
[00:38:19.800 --> 00:38:22.700]   you suddenly understand what that example that you just
[00:38:22.700 --> 00:38:23.400]   read was about.
[00:38:23.400 --> 00:38:25.300]   So you create a little bit of narrative tension which you
[00:38:25.300 --> 00:38:28.600]   relieve partially with the revelation of your thesis.
[00:38:28.600 --> 00:38:30.100]   Then you go into elaboration.
[00:38:30.100 --> 00:38:32.600]   All right, let me work through this connection idea.
[00:38:32.600 --> 00:38:35.100]   Let me support it give you the necessary caveats.
[00:38:35.100 --> 00:38:37.300]   Now, they have a complete understanding of the idea.
[00:38:37.300 --> 00:38:40.200]   The narrative tension has been fully released and then
[00:38:40.200 --> 00:38:45.500]   your conclusion should pull back have a call back to what
[00:38:45.500 --> 00:38:47.800]   you open with and then there's a sense of completion.
[00:38:47.800 --> 00:38:51.000]   So like that standard idea writing 101 you build up narrative
[00:38:51.000 --> 00:38:54.000]   tension and then the release of the tension pulls the reader
[00:38:54.000 --> 00:38:56.300]   through the article towards the end and the call back gives
[00:38:56.300 --> 00:38:59.300]   them this sort of satisfying sense of completion to the to
[00:38:59.300 --> 00:38:59.900]   the whole story.
[00:38:59.900 --> 00:39:02.700]   They just went through similar things happen.
[00:39:02.700 --> 00:39:07.700]   If you study, you know, Aristotle's poetics and storytelling
[00:39:07.700 --> 00:39:12.400]   similar types of structures and goes back a long way three
[00:39:12.400 --> 00:39:16.200]   show don't tell one of the big differentiators these type
[00:39:16.200 --> 00:39:19.500]   of articles between amateur and professional writing is
[00:39:19.500 --> 00:39:23.200]   to professional writings a lot denser by which I mean, it's
[00:39:23.200 --> 00:39:28.400]   points are established with quotes citations of specific
[00:39:28.400 --> 00:39:29.100]   examples.
[00:39:29.100 --> 00:39:30.200]   So it's denser.
[00:39:30.200 --> 00:39:32.400]   There's a there's a density of citation.
[00:39:32.400 --> 00:39:34.200]   I don't mean formal, you know, you're doing some sort of
[00:39:34.200 --> 00:39:37.000]   AP style citation, but it's you're showing don't telling
[00:39:37.000 --> 00:39:40.200]   such and such said this such and such example went for
[00:39:40.200 --> 00:39:41.100]   14 years.
[00:39:41.100 --> 00:39:45.600]   Does this car in 1950 at on average this miles per gallon
[00:39:45.600 --> 00:39:48.600]   and now by 1990 was this me miles per hour and show don't
[00:39:48.600 --> 00:39:53.400]   tell related piece of advice number four be wary of the
[00:39:53.400 --> 00:39:54.700]   conversational voice.
[00:39:54.700 --> 00:39:56.500]   All right.
[00:39:56.500 --> 00:39:57.700]   It's a real temptation.
[00:39:57.700 --> 00:39:59.600]   I think when people are new to this type of article writing
[00:39:59.600 --> 00:40:03.500]   to ask rhetorical questions and have more colloquial asides
[00:40:03.500 --> 00:40:05.800]   of you would think this is the case, but it's not really
[00:40:05.800 --> 00:40:09.700]   what would you do if you were suddenly faced with 10 million
[00:40:09.700 --> 00:40:11.900]   dollars? Maybe not what you would think if you blah blah
[00:40:11.900 --> 00:40:16.900]   blah the conversational tone reads amateur it that's more
[00:40:16.900 --> 00:40:18.600]   that's more acceptable.
[00:40:18.600 --> 00:40:21.600]   I think in a sort of personalized blogging world, but
[00:40:21.600 --> 00:40:23.800]   you want to avoid the conversational tone.
[00:40:23.800 --> 00:40:27.000]   So they're like colloquial idiomatic expressions really
[00:40:27.000 --> 00:40:29.700]   avoid rhetorical questions except for maybe occasionally
[00:40:29.700 --> 00:40:31.400]   and this is my bugaboo.
[00:40:31.400 --> 00:40:34.500]   I think rhetorical questions and idea writing is you know,
[00:40:34.500 --> 00:40:36.900]   it's my version of using cliches.
[00:40:36.900 --> 00:40:39.300]   It's I think it's weak writing.
[00:40:39.500 --> 00:40:40.900]   Don't ask rhetorical question show.
[00:40:40.900 --> 00:40:41.400]   Don't tell show.
[00:40:41.400 --> 00:40:42.700]   Don't tell move it forward.
[00:40:42.700 --> 00:40:46.200]   And then finally don't write for the sake of writing.
[00:40:46.200 --> 00:40:49.400]   It really comes through an article writing as well as book
[00:40:49.400 --> 00:40:50.000]   chapter writing.
[00:40:50.000 --> 00:40:52.100]   You see this a lot when people are writing books that maybe
[00:40:52.100 --> 00:40:52.900]   they're not writers.
[00:40:52.900 --> 00:40:55.600]   It's a it's based on their expertise is you're like man.
[00:40:55.600 --> 00:40:58.300]   I know that you know how many words this chapter needs to
[00:40:58.300 --> 00:41:03.400]   be and you are trying to get to that word count that comes
[00:41:03.400 --> 00:41:04.300]   through really clearly.
[00:41:04.300 --> 00:41:06.100]   That's what I call writing for the sake of writing.
[00:41:06.100 --> 00:41:08.700]   Like there's no real reason for the last two paragraphs to
[00:41:08.700 --> 00:41:10.800]   be here other than you're trying to get to 2,000 words.
[00:41:10.800 --> 00:41:15.900]   Professional writers look to pull the ripcord on whatever
[00:41:15.900 --> 00:41:18.800]   passage idea or paragraph they're working on as soon as
[00:41:18.800 --> 00:41:19.400]   possible.
[00:41:19.400 --> 00:41:22.700]   The sooner I can get out of this the more comfortable I am
[00:41:22.700 --> 00:41:23.000]   with this.
[00:41:23.000 --> 00:41:26.500]   So go back and read, you know, some New Yorker articles and
[00:41:26.500 --> 00:41:30.000]   you'll see this they're they're out of the they're out of
[00:41:30.000 --> 00:41:33.100]   each argument as quickly as they can like what's the essence
[00:41:33.100 --> 00:41:34.300]   of what I'm trying to say here.
[00:41:34.300 --> 00:41:36.900]   You know, we psyched us is different than this.
[00:41:37.600 --> 00:41:39.000]   We also see it here ripcord.
[00:41:39.000 --> 00:41:42.600]   I'm out next thing you don't see this dragging out of like,
[00:41:42.600 --> 00:41:45.400]   you know, and maybe this and maybe that and let me rhetorical
[00:41:45.400 --> 00:41:49.700]   question here and and let's go back and summarize and so
[00:41:49.700 --> 00:41:53.600]   when you're writing record, I actually in the slow productivity
[00:41:53.600 --> 00:41:53.800]   book.
[00:41:53.800 --> 00:41:56.100]   I'm writing now my the voice.
[00:41:56.100 --> 00:42:00.900]   I'm using that book is is it's I don't know the right way
[00:42:00.900 --> 00:42:05.200]   to describe it, but I'm really trying to non over elaborate
[00:42:05.200 --> 00:42:05.400]   things.
[00:42:05.400 --> 00:42:08.400]   I guess it's a little bit more not enigmatic but a little
[00:42:08.400 --> 00:42:11.400]   bit more declarative because it's it's it's supposed to have
[00:42:11.400 --> 00:42:12.900]   a sense of some timeless wisdom.
[00:42:12.900 --> 00:42:16.200]   I literally on multiple occasions when I'm editing something
[00:42:16.200 --> 00:42:20.600]   have written ripcord ripcord ripcord as a reminder to myself
[00:42:20.600 --> 00:42:22.600]   like get out get out get the point get out get the point
[00:42:22.600 --> 00:42:24.600]   get out the reader smart to fill in the details.
[00:42:24.600 --> 00:42:25.900]   Don't over explain.
[00:42:25.900 --> 00:42:27.100]   All right.
[00:42:27.100 --> 00:42:28.400]   So those are my tips.
[00:42:28.400 --> 00:42:33.300]   I guess I gave one two, three, four five ideas here for making
[00:42:33.300 --> 00:42:37.600]   those articles really look a lot better and then my or just
[00:42:37.600 --> 00:42:39.500]   to reiterate my original point.
[00:42:39.500 --> 00:42:41.300]   Also, you will get better with time.
[00:42:41.300 --> 00:42:44.800]   So don't compare yourself to your very favorite writers and
[00:42:44.800 --> 00:42:45.900]   say why am I not there yet?
[00:42:45.900 --> 00:42:47.900]   You want to be better than you were with the last article
[00:42:47.900 --> 00:42:50.300]   you wrote and so hopefully these tips will help.
[00:42:50.300 --> 00:42:53.200]   So what the example then the nut what's the nut again?
[00:42:53.200 --> 00:42:55.500]   So that's where you actually lay out like what the big idea
[00:42:55.500 --> 00:42:56.600]   is going to be in the article.
[00:42:56.600 --> 00:42:57.300]   Okay, right.
[00:42:57.300 --> 00:43:01.300]   So like imagine something I was right.
[00:43:01.400 --> 00:43:03.800]   Let me let me draw a quick example from writing.
[00:43:03.800 --> 00:43:04.800]   I've been doing this week.
[00:43:04.800 --> 00:43:07.600]   So, you know, I opened a section of a chapter.
[00:43:07.600 --> 00:43:12.400]   I'm talking about Georgia O'Keeffe and I was talking about
[00:43:12.400 --> 00:43:13.800]   how busy her early career is.
[00:43:13.800 --> 00:43:15.500]   I think I talked about this on the show last week.
[00:43:15.500 --> 00:43:16.500]   This is the example though.
[00:43:16.500 --> 00:43:19.200]   So I'm telling the story about Georgia O'Keeffe and how
[00:43:19.200 --> 00:43:23.400]   how many different jobs she had all over the country and
[00:43:23.400 --> 00:43:25.600]   she and in the summer she would come back East and go West
[00:43:25.600 --> 00:43:28.300]   and it's just as really busy life and she really was trying
[00:43:28.300 --> 00:43:30.900]   to study painting and but would have to take these long
[00:43:30.900 --> 00:43:34.200]   breaks and she needed to really uncover potential is going
[00:43:34.200 --> 00:43:37.100]   to need something more that that more came when she started
[00:43:37.100 --> 00:43:39.200]   getting involved with Alfre Stieglitz and their family on
[00:43:39.200 --> 00:43:42.700]   this land by Lake George and and she started going up there
[00:43:42.700 --> 00:43:46.800]   with him and became unlocked the most prolific period of
[00:43:46.800 --> 00:43:47.200]   her career.
[00:43:47.200 --> 00:43:49.200]   So kind of hearing the story like this is interesting.
[00:43:49.200 --> 00:43:56.000]   The nut there is then pointing out.
[00:43:56.000 --> 00:43:59.500]   So this particular section seasonality.
[00:44:00.200 --> 00:44:03.600]   This is what Georgia O'Keeffe was demonstrating seasonality
[00:44:03.600 --> 00:44:04.600]   different times of the year.
[00:44:04.600 --> 00:44:06.600]   You're working on different things with different intensities
[00:44:06.600 --> 00:44:11.100]   is something that we we've sort of lost track of but it's
[00:44:11.100 --> 00:44:13.500]   actually really key to the human experience and something
[00:44:13.500 --> 00:44:14.600]   that we should try to get back.
[00:44:14.600 --> 00:44:15.500]   There we go.
[00:44:15.500 --> 00:44:16.900]   So you have this opening story like what's this?
[00:44:16.900 --> 00:44:17.700]   Why this is interesting.
[00:44:17.700 --> 00:44:20.500]   What's it all about that nut graph explains it but you still
[00:44:20.500 --> 00:44:23.000]   have narrative tension because you want to say well, why
[00:44:23.000 --> 00:44:23.600]   is that true?
[00:44:23.600 --> 00:44:25.800]   You know, why is seasonality important?
[00:44:25.800 --> 00:44:26.800]   Can we really get it back?
[00:44:26.800 --> 00:44:27.500]   What happened to it?
[00:44:27.500 --> 00:44:29.300]   Now you want to have that be resolved.
[00:44:29.300 --> 00:44:31.900]   That's the rest of that chapter then resolves those questions.
[00:44:31.900 --> 00:44:34.000]   So that's an example there.
[00:44:34.000 --> 00:44:34.700]   Got it.
[00:44:34.700 --> 00:44:37.300]   The alternative would be you could just come right in and
[00:44:37.300 --> 00:44:39.900]   say seasonality is very important.
[00:44:39.900 --> 00:44:41.500]   Here's the definition of seasonality.
[00:44:41.500 --> 00:44:47.000]   I will now give five reasons why and that's fine, but it
[00:44:47.000 --> 00:44:49.100]   this is the difference between having narrative tension and
[00:44:49.100 --> 00:44:49.900]   not. Yeah.
[00:44:49.900 --> 00:44:52.600]   Yeah, it's textbook versus like, okay, I want to see what
[00:44:52.600 --> 00:44:53.300]   happens next.
[00:44:53.300 --> 00:44:55.600]   All right, what do we got speaking of next?
[00:44:55.600 --> 00:44:56.700]   What do we have as our next question?
[00:44:57.800 --> 00:44:59.600]   My next question is from Joe.
[00:44:59.600 --> 00:45:02.300]   He's a software engineer from Minneapolis.
[00:45:02.300 --> 00:45:06.100]   Do you use anything like a someday maybe list?
[00:45:06.100 --> 00:45:07.700]   And if so, how do you manage it?
[00:45:07.700 --> 00:45:09.300]   All right.
[00:45:09.300 --> 00:45:11.800]   So someday maybe for those who don't know that's a getting
[00:45:11.800 --> 00:45:13.700]   things done a GTD reference.
[00:45:13.700 --> 00:45:18.100]   So in his book getting things done David Allen recommends
[00:45:18.100 --> 00:45:19.600]   keeping a someday maybe list.
[00:45:19.600 --> 00:45:22.400]   So it's projects that you're not actually actively working
[00:45:22.400 --> 00:45:27.700]   on now, but you might one day the point is in Allen's book.
[00:45:27.800 --> 00:45:30.200]   It's you don't want this rattling around in your head.
[00:45:30.200 --> 00:45:32.200]   You don't want this idea you have for something you might
[00:45:32.200 --> 00:45:35.300]   want to do one day having to be maintained just in your
[00:45:35.300 --> 00:45:38.000]   brain because anything you have to maintain just in your
[00:45:38.000 --> 00:45:39.900]   brain can become a source of stress.
[00:45:39.900 --> 00:45:41.800]   You can become a source of anxiety.
[00:45:41.800 --> 00:45:46.000]   You want it in a written down somewhere where you trust it
[00:45:46.000 --> 00:45:47.000]   won't be forgotten.
[00:45:47.000 --> 00:45:48.500]   And so he says just have this one list.
[00:45:48.500 --> 00:45:49.400]   I think it's a good idea.
[00:45:49.400 --> 00:45:52.200]   It's something like that is a good idea.
[00:45:52.200 --> 00:45:56.600]   You need a place or places where potential ideas are
[00:45:56.600 --> 00:46:00.800]   captured that you trust they will not be forgotten.
[00:46:00.800 --> 00:46:04.500]   Now, I actually think this is a piece of my system my personal
[00:46:04.500 --> 00:46:06.100]   system that I need to improve.
[00:46:06.100 --> 00:46:11.300]   My someday maybe storage right now is distributed among
[00:46:11.300 --> 00:46:16.800]   multiple different role specific systems, which is probably
[00:46:16.800 --> 00:46:18.000]   not optimal.
[00:46:18.000 --> 00:46:22.600]   So for example, I have role specific Trello boards where
[00:46:22.600 --> 00:46:26.200]   I keep track of tasks and related obligations.
[00:46:26.200 --> 00:46:27.900]   We've talked about this a lot of other episodes.
[00:46:27.900 --> 00:46:31.700]   Each of those boards has a column labeled back burner.
[00:46:31.700 --> 00:46:35.600]   That's one place that certain things go but these tend to
[00:46:35.600 --> 00:46:40.000]   be the things I put on a back burner list don't tend to be
[00:46:40.000 --> 00:46:42.000]   grandiose ideas.
[00:46:42.000 --> 00:46:46.600]   It's more, you know, we need to someday probably update our
[00:46:46.600 --> 00:46:48.100]   such-and-such software.
[00:46:48.100 --> 00:46:49.700]   I don't want to do this now.
[00:46:49.700 --> 00:46:52.200]   What's something we should probably do we should think
[00:46:52.200 --> 00:46:55.900]   about, you know, improving our setup for having calls on
[00:46:55.900 --> 00:46:57.700]   the podcast like something just I talked about that's like
[00:46:57.700 --> 00:47:00.000]   on a back burner list where I'm not working on it now, maybe
[00:47:00.000 --> 00:47:01.500]   but it's on a back burner list.
[00:47:01.500 --> 00:47:06.100]   So those are there then in my online note taking and right
[00:47:06.100 --> 00:47:08.300]   now use obsidian which we have a question about coming up.
[00:47:08.300 --> 00:47:10.200]   There's places in there.
[00:47:10.200 --> 00:47:14.600]   So I have a document in there for my academic research and
[00:47:14.600 --> 00:47:18.200]   in particular my academic research on impact of technology
[00:47:18.200 --> 00:47:19.900]   on society and digital ethics something.
[00:47:19.900 --> 00:47:22.700]   I'm just starting to do some more work on there's a page
[00:47:22.700 --> 00:47:29.300]   in my online note taking for that for the podcast and media
[00:47:29.300 --> 00:47:30.000]   company.
[00:47:30.000 --> 00:47:32.300]   There's another place where I keep track of visions for
[00:47:32.300 --> 00:47:32.800]   the future.
[00:47:32.800 --> 00:47:33.900]   That's too many places.
[00:47:33.900 --> 00:47:37.800]   So core idea one is yes, Alan is right.
[00:47:37.800 --> 00:47:40.300]   You need place or places you trust to keep ideas to the
[00:47:40.300 --> 00:47:45.100]   not going around your head to I have a system right now
[00:47:45.100 --> 00:47:47.800]   that is too distributed.
[00:47:47.800 --> 00:47:48.900]   So I want to fix it.
[00:47:48.900 --> 00:47:50.500]   What am I probably thinking about doing?
[00:47:50.500 --> 00:47:53.400]   I'm thinking about having some sort of rooted someday maybe
[00:47:53.400 --> 00:47:57.200]   set up where there's a core route to where all these ideas
[00:47:57.200 --> 00:48:00.000]   are stored like that's all I have to remember is the root
[00:48:00.000 --> 00:48:03.400]   that this is my someday maybe document in my online note
[00:48:03.400 --> 00:48:08.100]   taking software or my someday maybe directory in my Google
[00:48:08.100 --> 00:48:12.300]   Drive and then from there I can link out or spread out to
[00:48:12.300 --> 00:48:14.100]   here's stuff for this part of my life.
[00:48:14.100 --> 00:48:15.200]   Here's ideas for this part of my life.
[00:48:15.200 --> 00:48:17.800]   So I'm going to do something like that and I'm going to
[00:48:17.800 --> 00:48:20.000]   root my system, but it's a good question because I think
[00:48:20.000 --> 00:48:24.200]   it's a it's an important piece of organizing and intellectual
[00:48:24.200 --> 00:48:27.200]   life that we haven't talked much about you're going to put
[00:48:27.200 --> 00:48:27.900]   that on your someday.
[00:48:27.900 --> 00:48:28.600]   Maybe list.
[00:48:28.600 --> 00:48:33.100]   It's a circular irony improve your someday.
[00:48:33.100 --> 00:48:36.500]   Maybe list you put that on your I need to start a someday
[00:48:36.500 --> 00:48:39.300]   maybe list and I need to put that on my someday.
[00:48:39.300 --> 00:48:39.700]   Maybe list.
[00:48:39.700 --> 00:48:42.200]   I think this is the productivity nerd version of if a tree
[00:48:42.200 --> 00:48:44.300]   falls in the forest and no one's there to hear it.
[00:48:44.300 --> 00:48:46.700]   Well enough of that nonsense.
[00:48:46.700 --> 00:48:47.400]   All right, what do we got?
[00:48:47.400 --> 00:48:48.500]   Let's keep rolling.
[00:48:48.500 --> 00:48:49.700]   See I'm getting quicker now, Jesse.
[00:48:50.200 --> 00:48:51.500]   Okay picking up the pace.
[00:48:51.500 --> 00:48:53.900]   So next question is from Sam.
[00:48:53.900 --> 00:48:59.300]   He's a 28 year old PhD student and he says I found the 500
[00:48:59.300 --> 00:49:02.700]   words a day formula for slow productivity be to be a useful
[00:49:02.700 --> 00:49:03.300]   frame.
[00:49:03.300 --> 00:49:06.400]   However, as a PhD student in computer science a lot of my
[00:49:06.400 --> 00:49:08.000]   work doesn't involve much writing.
[00:49:08.000 --> 00:49:12.300]   How would I adapt the 500 words a day target for my research?
[00:49:12.300 --> 00:49:18.200]   So the context of the 500 words a day reference there from
[00:49:18.200 --> 00:49:20.000]   Sam is at some point.
[00:49:20.000 --> 00:49:22.100]   I don't know maybe a few months ago.
[00:49:22.100 --> 00:49:23.800]   We on the podcast.
[00:49:23.800 --> 00:49:28.500]   I talked about John McPhee and I think I was probably talking
[00:49:28.500 --> 00:49:29.100]   about an essay.
[00:49:29.100 --> 00:49:31.300]   I wrote for my newsletter, whatever.
[00:49:31.300 --> 00:49:36.300]   The point is I was emphasizing that John McPhee is seen in
[00:49:36.300 --> 00:49:39.800]   the context of his entire career as being very productive.
[00:49:39.800 --> 00:49:41.000]   He's written all these books.
[00:49:41.000 --> 00:49:41.900]   He has the Pulitzer's.
[00:49:41.900 --> 00:49:47.200]   He has the National Book Award and a huge bibliography, but
[00:49:48.100 --> 00:49:52.100]   he doesn't actually work that much on any given day.
[00:49:52.100 --> 00:49:54.700]   In fact, his target is he admits just to write 500 words a
[00:49:54.700 --> 00:49:58.100]   day. So this was a classic example of slow productivity.
[00:49:58.100 --> 00:50:01.600]   This working at this natural sustainable pace over time can
[00:50:01.600 --> 00:50:03.200]   produce great stuff.
[00:50:03.200 --> 00:50:06.600]   So if we expand the timeline at which we are evaluating
[00:50:06.600 --> 00:50:10.800]   productivity to be a career or the last 10 years as opposed
[00:50:10.800 --> 00:50:14.600]   to having a narrow timeline of today or the last week you get
[00:50:14.600 --> 00:50:16.800]   this much more sustainable rhythm of work.
[00:50:16.800 --> 00:50:19.100]   You don't have to be busy or killing yourself every day with
[00:50:19.100 --> 00:50:20.900]   work to produce stuff that you're proud of.
[00:50:20.900 --> 00:50:21.300]   Okay.
[00:50:21.300 --> 00:50:25.700]   So Sam is saying what is the equivalent of 500 words a day
[00:50:25.700 --> 00:50:26.600]   if you're not a writer?
[00:50:26.600 --> 00:50:30.300]   And I think that's a that's a good good question.
[00:50:30.300 --> 00:50:32.600]   So we could we could address this first of all just specifically
[00:50:32.600 --> 00:50:37.000]   in terms of Sam's particular context, which is a PhD student
[00:50:37.000 --> 00:50:39.600]   and you look I see that I feel your pain there Sam.
[00:50:39.600 --> 00:50:45.000]   I used to do a lot of appearances at boot camps graduate
[00:50:45.000 --> 00:50:47.600]   student dissertation boot camps that you see this at Georgetown.
[00:50:47.600 --> 00:50:51.000]   I would also do it at nearby Catholic University when I knew
[00:50:51.000 --> 00:50:52.000]   some professors over there.
[00:50:52.000 --> 00:50:55.800]   It's very common that you would do these once a year gatherings
[00:50:55.800 --> 00:50:58.000]   are called dissertation boot camps where grad students get
[00:50:58.000 --> 00:51:01.800]   together to hear talks and motivate each other to work on
[00:51:01.800 --> 00:51:05.800]   their dissertations and I was a broken record at these boot
[00:51:05.800 --> 00:51:11.000]   camps because all of the advice was always centered on right
[00:51:11.000 --> 00:51:12.900]   every day get your writing done.
[00:51:12.900 --> 00:51:16.700]   Don't forget to write because in a lot of disciplines writing
[00:51:16.700 --> 00:51:21.100]   is the actual primary activity that pushes a thesis forward
[00:51:21.100 --> 00:51:25.200]   not the case of mathematics not the case in computer science.
[00:51:25.200 --> 00:51:29.000]   You write papers eventually but research is not writing.
[00:51:29.000 --> 00:51:32.800]   It's solving math equations trying to figure out theorems
[00:51:32.800 --> 00:51:33.600]   running experiments.
[00:51:33.600 --> 00:51:36.200]   And so I used to come to these boot camps and I was a broken
[00:51:36.200 --> 00:51:36.700]   record.
[00:51:36.700 --> 00:51:39.800]   I would say stop saying writing is your generic verb for
[00:51:39.800 --> 00:51:42.000]   working for a lot of people.
[00:51:42.000 --> 00:51:43.600]   The core of their work has nothing to do with actually
[00:51:43.600 --> 00:51:44.000]   writing.
[00:51:44.000 --> 00:51:48.600]   So I feel your pain Sam writing is should not be seen as a
[00:51:48.600 --> 00:51:52.100]   universal verb for doing deep work in graduate school.
[00:51:52.100 --> 00:51:54.800]   But what I want to do here is generalize out and answer this
[00:51:54.800 --> 00:51:56.200]   for people in general.
[00:51:56.200 --> 00:51:58.800]   I don't want to get too academia specific.
[00:51:58.800 --> 00:52:00.200]   So let's just be in general.
[00:52:00.200 --> 00:52:05.300]   How do we translate this general philosophy of 500 words a
[00:52:05.300 --> 00:52:08.100]   day to other types of work?
[00:52:09.000 --> 00:52:15.800]   What I think is key here is this notion of slow and steady
[00:52:15.800 --> 00:52:17.200]   and timeline expansion.
[00:52:17.200 --> 00:52:21.400]   If you expand your timeline on which you are evaluating your
[00:52:21.400 --> 00:52:26.700]   productivity to something at the scale of years, then often
[00:52:26.700 --> 00:52:30.500]   a varied slow and steady approach is going to work quite
[00:52:30.500 --> 00:52:31.000]   well.
[00:52:31.000 --> 00:52:34.800]   And when you're evaluating your production on what you really
[00:52:34.800 --> 00:52:37.900]   care about at that type of expanded timeline, you begin to
[00:52:37.900 --> 00:52:45.100]   see the futility or the performative on necessity of really
[00:52:45.100 --> 00:52:45.900]   hard days.
[00:52:45.900 --> 00:52:49.600]   You know, I'm just burning the midnight oil.
[00:52:49.600 --> 00:52:50.500]   I've been writing all day.
[00:52:50.500 --> 00:52:53.100]   I'm going to write till midnight tonight and wake up really
[00:52:53.100 --> 00:52:55.800]   early to write you could do that and maybe in the moment,
[00:52:55.800 --> 00:52:56.300]   you'll be like man.
[00:52:56.300 --> 00:52:58.200]   I know I'm being productive because look how hard I'm working.
[00:52:58.200 --> 00:52:59.900]   But when you're talking about what do I produce over the
[00:52:59.900 --> 00:53:00.800]   next five years?
[00:53:00.800 --> 00:53:02.200]   That's not sustainable.
[00:53:02.200 --> 00:53:07.800]   It also doesn't really matter working quality work again
[00:53:07.800 --> 00:53:11.300]   and again in the right setting giving the work to respect
[00:53:11.300 --> 00:53:12.900]   and the support it needs to be good.
[00:53:12.900 --> 00:53:16.200]   Going up and down and intensely, you know what I'm taking
[00:53:16.200 --> 00:53:16.800]   a week off.
[00:53:16.800 --> 00:53:17.600]   I didn't get there tomorrow.
[00:53:17.600 --> 00:53:18.100]   I was sick today.
[00:53:18.100 --> 00:53:19.000]   I didn't write who cares.
[00:53:19.000 --> 00:53:20.600]   We're talking about the end of this year.
[00:53:20.600 --> 00:53:23.300]   Did you produce something that you're proud of and that is
[00:53:23.300 --> 00:53:25.800]   going to be best served by slow steady quality.
[00:53:25.800 --> 00:53:29.600]   So I think that's how we generalize John McPhee is 500 words
[00:53:29.600 --> 00:53:35.300]   a day is you don't have to be exhausted or frantic.
[00:53:36.400 --> 00:53:41.300]   Today to having ended up produce something great next year.
[00:53:41.300 --> 00:53:47.100]   You need to slowly accrete good quality work at a reasonable
[00:53:47.100 --> 00:53:49.800]   rate and that also happens to be a much more sustainable
[00:53:49.800 --> 00:53:51.000]   way to live and work.
[00:53:51.000 --> 00:53:54.500]   So, you know, that's what I would say slow steady.
[00:53:54.500 --> 00:53:59.400]   Don't not work but don't be so proud of yourself for you
[00:53:59.400 --> 00:54:01.000]   know, staying up real late.
[00:54:01.000 --> 00:54:05.300]   That just means you forgot a deadline and you will guaranteed
[00:54:05.300 --> 00:54:06.800]   win a Pulitzer Prize like John McPhee.
[00:54:06.800 --> 00:54:09.300]   All right, Jesse.
[00:54:09.300 --> 00:54:09.800]   What we got?
[00:54:09.800 --> 00:54:11.300]   All right.
[00:54:11.300 --> 00:54:13.200]   Next question is from Will.
[00:54:13.200 --> 00:54:15.300]   He's an economist from Tacoma Park.
[00:54:15.300 --> 00:54:17.600]   We won't be able to meet him at Republic.
[00:54:17.600 --> 00:54:21.900]   Did you say and he has to say did you say you are using Obsidian
[00:54:21.900 --> 00:54:22.300]   now?
[00:54:22.300 --> 00:54:23.800]   Why the switch from Rome?
[00:54:23.800 --> 00:54:25.700]   That's what yeah.
[00:54:25.700 --> 00:54:28.200]   Well, first of all, maybe it's what we should do with the
[00:54:28.200 --> 00:54:31.300]   Republic space is because I learned from Obsidian from another
[00:54:31.300 --> 00:54:32.600]   friend of mine in Tacoma Park.
[00:54:33.100 --> 00:54:33.900]   He's a big booster.
[00:54:33.900 --> 00:54:35.900]   So shout out to Scott.
[00:54:35.900 --> 00:54:40.400]   So me and Scott and will we could just create Republic into
[00:54:40.400 --> 00:54:45.300]   a space where people gather to geek out in incredible detail
[00:54:45.300 --> 00:54:50.400]   about various Zettelkasten inspired electronic note-taking
[00:54:50.400 --> 00:54:50.900]   systems.
[00:54:50.900 --> 00:54:52.200]   All right.
[00:54:52.200 --> 00:54:56.800]   Well, I did I am using Obsidian now for nerdish reasons.
[00:54:56.800 --> 00:55:02.900]   And just to give the the really high-level explanation Rome
[00:55:03.100 --> 00:55:07.100]   well, I like Rome to actually Rome has Rome has its uses.
[00:55:07.100 --> 00:55:13.100]   Well Rome is a nice interface Obsidian is based off of text
[00:55:13.100 --> 00:55:13.500]   files.
[00:55:13.500 --> 00:55:17.400]   So when you're taking notes in Obsidian, yeah, you have this
[00:55:17.400 --> 00:55:19.300]   interface or taking notes.
[00:55:19.300 --> 00:55:20.300]   You can link the notes together.
[00:55:20.300 --> 00:55:22.900]   But what you're doing is actually writing in what's known as
[00:55:22.900 --> 00:55:23.600]   markup.
[00:55:23.600 --> 00:55:28.500]   So just a generic markup language in text files and what the
[00:55:28.500 --> 00:55:31.600]   Obsidian interface is doing is just reading these text files
[00:55:31.600 --> 00:55:34.800]   that sit in a directory on your computer where you pointed it
[00:55:34.800 --> 00:55:37.900]   and it's just reading those text files and it's you can go in
[00:55:37.900 --> 00:55:38.300]   there and read them.
[00:55:38.300 --> 00:55:41.600]   It's just plain text with markup markup symbols around it to
[00:55:41.600 --> 00:55:42.600]   indicate this is bold.
[00:55:42.600 --> 00:55:43.200]   This is a list.
[00:55:43.200 --> 00:55:46.400]   This is a link and let's say if this links to something else
[00:55:46.400 --> 00:55:50.100]   and you know, it just the other document is just there in the
[00:55:50.100 --> 00:55:50.700]   markup.
[00:55:50.700 --> 00:55:53.300]   And so when you go through your notes and Obsidian, it's a
[00:55:53.300 --> 00:55:53.900]   nice interface.
[00:55:53.900 --> 00:55:56.000]   You can click around and format and do these type of things,
[00:55:56.000 --> 00:55:57.600]   but nothing lives in the cloud.
[00:55:58.800 --> 00:56:02.400]   There's not some proprietary format that's on a AWS instance
[00:56:02.400 --> 00:56:02.800]   somewhere.
