
[00:00:00.000 --> 00:00:04.120]   All the people who sold the war in Iraq, they lied us into war after a war.
[01:38:42.540 --> 01:39:05.280]   It is the case that America has fought many wars over the last seven years with Israel playing a very influential role in us fighting those wars. And, you know, these were, uh, this was like a scheme that was cooked up by the neoconservatives and the Likudniks in Israel that we would go through this path.
[01:39:05.280 --> 01:39:18.660]   But there's been confirmed by four star general Wesley Clark. He literally said it was a study paid for by the Israelis that we were going to topple seven countries in five years and we didn't get there in five years, but we've been made attempts to topple all of those countries since then.
[01:39:18.880 --> 01:39:44.840]   You know, you see Trump's bombing the Houthis because they're pissed off about Israel's treatment of the Palestinians. And so they're trying to shut down their straits or whatever. And it's like, so we're just bombing another group on behalf of Israel. And if you really are concerned about the rise of Jew hatred, I would say like, look, it's much like, you know, sometimes people argue where, you know, the thing I said in the beginning about the terrorists don't hate us for our freedom. They hate us because we're over there.
[01:39:44.840 --> 01:39:53.120]   And people would say, that's just what Osama bin Laden says. He just says he hates us for our military, but he really just hates us because he's an Islamist and we're free people or whatever.
[01:39:53.120 --> 01:40:00.380]   And he'd be like, okay, well, even if that's what's in his heart, that sure is his recruiting shtick. That sure is how he gets other people to blow themselves up.
[01:40:00.640 --> 01:40:15.820]   And so even if you want to say, which is, which might very well be the case that some of these people just hate Jews and it wouldn't matter if Israel was at war with Gaza or not. It's like, okay, but that sure is their recruiting shtick. That sure is how they get other people to go look at what these Jews are doing in our foreign policy.
[01:40:15.820 --> 01:40:40.620]   So I would, I don't know. There's a lot going on. Um, I do think, I think racialism of all different forms is stupid and wrong. It always just leads to sloppy thinking and bad results. It's always kind of ugly. And then weirdly, it also always ends up hurting the person. Like it's not good for you. It's not good for your soul. Um, so I don't like seeing that stuff.
[01:40:40.820 --> 01:41:09.900]   But then I also think, you know, like I was saying before about there's like this hierarchy of outrages that you got to have in order to think and act, you have to kind of put these together. And, you know, I just hear a little bit. It's something that, um, you know, despite being described as a self hating Jew, I am really not. I love Jewish people. I love Jewish culture. I've benefited a lot from it. It's, it's, uh, in many ways made me the person I am. And I think made, um, I think it's influenced some of the best parts of me.
[01:41:09.900 --> 01:41:28.060]   But there is like a whininess and a hysteria about this stuff that I think is just like, not healthy. I think it's not good. I've told many Jewish friends and family this privately, but it's like the way I look at it is like, I'm an American.
[01:41:28.300 --> 01:41:52.460]   This has been a wonderful country to be Jewish. Jews are doing exceptionally well in this country. We are 2% of the population or so, and we are thriving by any metric. And if mean stuff on Twitter is our great burden to bear, I don't think we should be talking about it. Like we're in the middle of Nazi Germany or something like that. So I do think people get hysterical about it.
[01:41:52.460 --> 01:42:03.840]   In a way that's completely not productive. But to me, I think, I think of the Jew hating, uh, nerds and trolls on Twitter is just the other side of the woke.
[01:42:03.840 --> 01:42:05.620]   I kind of get that. Yeah.
[01:42:05.740 --> 01:42:21.760]   It's almost like a response. Like you were saying, it's just that the woke weren't censored and the response to the woke was censored. And now that on X they're less censored or not censored, you just get to see it. And they're both annoying.
[01:42:22.300 --> 01:42:24.100]   I agree with that.
[01:42:24.100 --> 01:42:45.200]   They don't really help the discussion on Israel. They don't help the discussion on anything. In fact, I, um, one of the reasons I stay away from that discussion of Israel, which I think is nuanced and really complicated in the way that we've been discussing in order to have an intellectual, like exploration of ideas, you have to be able to misstep and try ideas for size.
[01:42:45.300 --> 01:43:03.300]   And if I'm going to be punished severely by these, I'm okay being criticized, but, but when there's like low brain takes that are just lying about me on mass, like he gets a huge amount of engagement just because you're like thinking out loud and reading history.
[01:43:03.300 --> 01:43:20.620]   And yeah, it's just annoying. And by the way, I'm really interested about world war two, probably in the way that Dan Carlin and Daryl Cooper are interested because it's such an interesting stage on which human nature was explored and all its forms, the geopolitics of it.
[01:43:20.620 --> 01:43:32.440]   Everybody on that stage was complicated. There's a lot of, also there's a lot of fascinating military taxes and strategy and military technology, plus the nuclear bomb, all of that.
[01:43:32.440 --> 01:43:47.580]   That's like a moment in human history. Listen, I love Genghis Khan, Roman Empire, Alexander the Great. Those are all interesting studies of human history of military tactics, of, of brutality of human nature, all of that. That's why I want to be able to discuss that.
[01:43:47.580 --> 01:44:00.960]   It's fascinating, like that humans are able to do that kind of thing. What causes them to do it? What were the dynamics involved? The propaganda on all sides could have, could it have been avoided or not?
[01:44:01.580 --> 01:44:20.920]   You know, plus Stalin is part of this picture. Yeah. It's like, what the fuck? What? Like you don't get characters. This is, you don't get care after the nuclear bomb. You're just not going to get characters like that. You're not going to get a global war of that kind. It might be a different one, maybe a cyber war or maybe a war in space, but we're not going to get this kind of war ever again.
[01:44:20.920 --> 01:44:39.400]   That was the last, the biggest and the last global war we're going to get. So I want to be able to like mouth off and explore and yeah, argue with Daryl Cooper bought Churchill and say stupid shit in the process. And Daryl says stupid shit in the process too. And like together come up to the, so anyway, the, the trolls on the left and the right just make everything worse.
[01:44:39.400 --> 01:44:53.400]   No, I agree with that. And I'm sure like, I'm, I'm sure I'm not without my own bias in this because I like, but from my own like self-interested perspective,
[01:44:53.400 --> 01:45:09.860]   I'm not saying like this is the main reason to be annoyed with them or anything like that, but I, what I personally get is all types of like self-hating Jew, Nazi apologists, all this literally just because I criticize the way Israel's conducting this war.
[01:45:09.860 --> 01:45:23.080]   So I think that's like insane, but then I also feel like, and I'm not, Liz, I'd want to be clear and disclaim this. I'm not saying this is the worst thing about people who are Jew haters on Twitter, but just from a personal perspective, I'm like,
[01:45:23.160 --> 01:45:32.140]   guys, you are not helping me, man. Like, it's like, I'll get people in my comments who I think are trying to like catch my back who just don't know I'm Jewish.
[01:45:32.140 --> 01:45:52.920]   And they're like, I'll say something critical of Israel. And then someone will argue with me and they'll be like, oh, look, a Jew came in here to defend Israel. And I'm like, dude, first of all, do you, you're like, literally, you might as well be working for Mossad. You literally make the entire, you make the movement who's criticizing Israel look terrible, dude. Like the,
[01:45:52.920 --> 01:46:10.780]   you are literally the enemy that they would like to have. And so it's, it, there's a very weird dynamic in the Israel Palestine conflict where all of there's so many of the loons on both sides who almost seem like they're secretly working for the other side.
[01:46:10.900 --> 01:46:32.880]   Like if you, when you see the Palestinian protests and they're chanting death to America and all this stuff, you're like, what are you, what are you doing? Are you trying to make people more sympathetic to Israel? Cause that's the, if, if Rabbi Shmuley was working for Adolf Hitler or something like that, it would all make perfect sense. You were like, oh, I get it.
[01:46:32.880 --> 01:46:54.900]   You sent this guy out to make everyone hate Jewish people. And then like, it's just, there's just a very, and then with the, um, with the, the Jew hating post too, it's just, yeah, it's, it just feeds right into the, the opposition side of how to caricature, you know, it's like, oh, so their game is they'll smear everybody. Who's a critic of Israel is, as being a Jew hater.
[01:46:54.900 --> 01:47:00.000]   So your answer is to just really be a Jew hater. Like, all right, I don't think that's helping.
[01:47:00.000 --> 01:47:22.160]   Uh, so maybe this is a good time to ask for your advice because these folks are the reason why I'm hesitant. Uh, so I've interviewed several world leaders recently. Uh, it's looking likely that I'll interview Vladimir Putin and several other similar level, major world leaders.
[01:47:23.320 --> 01:47:37.860]   I've previously interviewed Benjamin Netanyahu for an hour. One of the biggest regrets I have about that interview is it was only an hour. I realized that, uh, I mean, I learned a lot, but I think he's a really important historical figure.
[01:47:38.480 --> 01:47:52.520]   And I think it's impossible to have a, an effective conversation with him that's shorter than three hours. So, uh, it looks like he's interested now to do round two with me for three or more hours.
[01:47:53.320 --> 01:48:02.340]   And I've personally, uh, so this is a bit of a therapy session, but I've personally been leaning against doing it.
[01:48:02.340 --> 01:48:16.160]   And I hate that I'm leaning against doing it because the reason I'm leaning against doing it is because the very people you're talking about, because I just don't want them to, on either side, pro Israel, pro pro, it doesn't really matter.
[01:48:16.160 --> 01:48:23.520]   But the chanting sheep of animal farm, Jew hating or otherwise just make your life.
[01:48:23.520 --> 01:48:29.740]   They follow you around everywhere on online and make it, uh, difficult to think.
[01:48:30.120 --> 01:48:47.480]   I think whenever I come across these crowds, the woke left or the, whatever you call the Jew haters, the woke right, let's call them, uh, they just like decrease the quality of my thoughts for the rest of the day.
[01:48:47.600 --> 01:48:48.920]   Like I feel dumber.
[01:48:48.920 --> 01:48:53.960]   It's like Rogan talks about when he hears a bad comedian, he feels like nothing is funny anymore.
[01:48:53.960 --> 01:48:56.860]   This is what I feel like when I read their thoughts.
[01:48:56.860 --> 01:49:00.200]   It's like, I can't, I'm going to go read a book now.
[01:49:00.200 --> 01:49:10.940]   Cause I need to like recover my brain dangerous kind of poison to let in your mind, because then you're like, it's like, Hey, I can't be thinking about you when I'm doing what I want to do.
[01:49:10.940 --> 01:49:25.820]   Like, I can't be thinking about what your reaction to this is going to be the way I always thought about it was like, when I get like, you know, hate online, which I'm, you know, always get, um, it's always just kind of like, I look at it like this.
[01:49:25.820 --> 01:49:34.240]   Like I got, um, I got a great family and a great career and I really love what I do.
[01:49:34.240 --> 01:49:36.900]   I make really good money at what I do.
[01:49:36.900 --> 01:49:39.360]   And I go, I do shows all the time.
[01:49:39.360 --> 01:49:41.480]   I get crowds of people who love what I do.
[01:49:41.480 --> 01:49:44.500]   I got a lot of people who listen to my podcast who love what I do.
[01:49:44.500 --> 01:49:50.940]   And it's like, so if I get all that and then the price that comes along with that, is there some people who are talk shit online?
[01:49:50.940 --> 01:49:55.660]   It's like, that's a very, that's a very good price to pay for all of this.
[01:49:55.660 --> 01:50:02.960]   Like, it's just, and I just like, I just kind of made a decision at a certain point that it's like, I'm just going to accept that that's the price of business here.
[01:50:02.960 --> 01:50:04.260]   That's what it costs.
[01:50:04.260 --> 01:50:05.980]   And then, okay, fine.
[01:50:06.060 --> 01:50:10.540]   And then sometimes I try to have fun with it or mock them or whatever to go back.
[01:50:10.540 --> 01:50:18.260]   But to me now, again, I, I can never tell you what to do because this is a, it's a very personal price that you have to pay.
[01:50:18.260 --> 01:50:21.280]   And it's a very weird psychological dynamic.
[01:50:21.280 --> 01:50:27.740]   I mean, it's just not, it's almost something like that we, we were not evolved to deal with and is very artificial.
[01:50:27.740 --> 01:50:38.920]   And it's very, you know, like if you're, if there's a group of like thousands of people who hate your guts and are furious at you, we're almost like hardwired to be like, well, I'm going to be killed now.
[01:50:38.920 --> 01:51:02.960]   Like that's the next thing that happens, you know, you, you're not supposed to get to know what just someone in Arkansas thinks about you right now, you know, but so that's a very personal like decision to make, but I kind of feel like guys like me and you have already made the decision that we're in the arena and we're going to deal with that, that price.
[01:51:03.140 --> 01:51:10.040]   And so I just, from my perspective, I'm like, yeah, but how could you turn down getting three hours with Netanyahu?
[01:51:10.040 --> 01:51:11.620]   Like that would just be so interesting.
[01:51:11.620 --> 01:51:16.260]   And I'm not even saying, you know, like I hate the guy, but I'm not saying you should interview him.
[01:51:16.260 --> 01:51:19.260]   Like you hate the guy, or I'm not saying you even have to like grill it.
[01:51:19.260 --> 01:51:24.900]   But just if you get three hours with somebody, something interesting is going to be revealed there.
[01:51:24.900 --> 01:51:26.600]   There'll be a benefit to that.
[01:51:26.600 --> 01:51:29.220]   It'll be interesting to just see him talk that way.
[01:51:29.220 --> 01:51:49.500]   There's also something about, as we kind of saw with, with Trump doing the podcasts and even with JD Vance doing some of the podcasts, there is something really interesting about this format, the long form podcast, where it just gets people to let down their guard and reveal themselves a little bit more.
[01:51:49.500 --> 01:51:51.720]   Like it is, it's not just the time factor.
[01:51:51.720 --> 01:51:52.860]   Like that's a big one.
[01:51:52.860 --> 01:51:54.660]   It's a huge, huge one.
[01:51:54.660 --> 01:51:58.300]   But it's like, there's something about like, if me and you were just like.
[01:51:58.300 --> 01:52:08.260]   If you, we were having this conversation right now, but in back of us was like a cable news, you know, background of red and blue and sparks and a ticker at the bottom of the show.
[01:52:08.260 --> 01:52:10.160]   And then you just start interviewing someone.
[01:52:10.160 --> 01:52:12.280]   It's just a different thing.
[01:52:12.280 --> 01:52:16.520]   Whereas this, you just kind of like fall into conversation mode.
[01:52:16.520 --> 01:52:19.420]   And I'd be interested to see him fall into that.
[01:52:19.420 --> 01:52:20.100]   Putin too.
[01:52:20.100 --> 01:52:21.940]   Like, I just think it's great.
[01:52:22.660 --> 01:52:24.420]   First of all, thank you for the encouragement.
[01:52:24.420 --> 01:52:33.820]   But to push back on the complexity of a little bit, I think everything you said about your life is also true about my life, except family.
[01:52:33.820 --> 01:52:34.760]   I want to have a family.
[01:52:34.760 --> 01:52:36.200]   You son of a bitch, you bragging.
[01:52:36.200 --> 01:52:41.100]   On the podcast side, I can have a lot of incredible conversations.
[01:52:41.100 --> 01:52:52.880]   Some of my favorites is talking to programmers or video game designers or to you about Netanyahu versus talking to a world leader, the very specific thing.
[01:52:52.880 --> 01:52:56.660]   And people don't understand that, for example, you and I can mouth off.
[01:52:56.660 --> 01:53:02.300]   We can be super supportive of Netanyahu, super critical in a way that you can't do in front of the guy.
[01:53:02.300 --> 01:53:03.380]   Yeah, that's true.
[01:53:03.380 --> 01:53:09.140]   If you want to reveal something about that person, there's a different skill involved there.
[01:53:09.140 --> 01:53:22.180]   In order to reveal how they think, who they are as a human being, you have to, just like we said with Dara Cooper, you have to humanize the person to a degree in order to let their mind flourish in front of you.
[01:53:22.180 --> 01:53:34.920]   In order for them to break, to let, let down the barriers that they've put up and Benjamin Netanyahu has put up a lot of barriers that internally in Israel, he gets attacked insanely.
[01:53:34.920 --> 01:53:41.260]   There's, there's a game of thrones constantly going on and this guy has maintained power for a very long time.
[01:53:41.260 --> 01:53:43.200]   So he's very good at putting up those barriers.
[01:53:43.200 --> 01:53:46.240]   Plus, you know, globally gets attacked a lot.
[01:53:46.240 --> 01:53:48.080]   So the task there is difficult.
[01:53:48.200 --> 01:53:52.000]   And so each one is a puzzle and you have to make a decision.
[01:53:52.000 --> 01:54:01.320]   Do you want to take this on as a project, which might become a lifelong project because of the consequences and you don't need to.
[01:54:01.320 --> 01:54:03.240]   It's, it's, there's a calculation there.
[01:54:03.240 --> 01:54:07.560]   I'm not saying it's not so like self evident that there is a correct and incorrect answer.
[01:54:07.560 --> 01:54:17.200]   Um, and I do think that we've probably all had things like certain type of ventures in life where you're like, all right, no, I don't want to do that.
[01:54:17.200 --> 01:54:19.480]   But then you have to have a moment and be like, well, why is it?
[01:54:19.480 --> 01:54:19.920]   You don't want it.
[01:54:19.920 --> 01:54:21.460]   Oh, is it just because it's going to be a lot of work?
[01:54:21.460 --> 01:54:23.180]   Is it just because you're scared of it?
[01:54:23.180 --> 01:54:28.580]   Is it just because this, and those typically are not good reasons to not do something like, you know what I mean?
[01:54:28.580 --> 01:54:38.440]   And then now there might be, there is a reasonable, I think, point that you made in there where it's like, when it is a different game to interview a world leader, that is a very different thing.
[01:54:38.440 --> 01:54:48.980]   Like talking to some, uh, comedian about his thoughts on all this stuff is a very different thing than talking to a world leader and especially one who's conducting a brutal war as you're talking to them.
[01:54:48.980 --> 01:54:53.100]   You know, like that's a, and I don't know exactly what the way to navigate that is.
[01:54:53.100 --> 01:54:53.840]   I agree with you.
[01:54:53.900 --> 01:54:58.040]   It's not just to be like hostile and be like, I've got you here for three hours.
[01:54:58.040 --> 01:54:59.140]   I'm going to grill the shit.
[01:54:59.140 --> 01:55:02.260]   It's like, yeah, probably not the best way to do it.
[01:55:02.260 --> 01:55:11.960]   There's probably to like, have a conversation to talk to the guy, probably try to get some important questions in, but also give him a chance to breathe and be a person.
[01:55:12.240 --> 01:55:17.260]   Um, I just, from my perspective, but again, it's a very personal thing for me.
[01:55:17.260 --> 01:55:20.760]   I just do think that I like, I'm going, I hope you do it.
[01:55:20.760 --> 01:55:22.220]   Cause I'd love to see that podcast.
[01:55:22.220 --> 01:55:34.500]   Well, see, this is why it's part of the reason I asked you is cause I get a Dave Smith endorsement on the, um, on, so that when this completely ruined, at least there's another guy who thought there's a chance.
[01:55:34.500 --> 01:55:35.540]   There might be a good idea.
[01:55:35.540 --> 01:55:36.840]   Cause I don't know.
[01:55:36.840 --> 01:55:37.200]   I see.
[01:55:37.200 --> 01:55:39.120]   That's the cool thing about the things we do.
[01:55:39.120 --> 01:55:41.460]   You've been through a lot of battles.
[01:55:41.460 --> 01:55:48.020]   You, you walked into a lot of tough debates and it's like, you don't know, this could be the conversation that like ends you.
[01:55:48.020 --> 01:55:48.860]   I know.
[01:55:48.860 --> 01:55:53.440]   I, well, I'll say that's, I think that's one of the things that I love about doing debates.
[01:55:53.440 --> 01:56:02.780]   Um, and there is something about that where it's, I, I do kind of feel this, like I'm a little bit of, of like an adrenaline junkie.
[01:56:02.780 --> 01:56:10.220]   I mean, not like really, you know, I don't like skydive or do stuff like that, but like doing standup is kind of like, you know, there's always something about that.
[01:56:10.220 --> 01:56:12.780]   That's like, you're risking a lot by doing it.
[01:56:12.780 --> 01:56:18.580]   You're like, you feel alive, you know, like not, and not like the way you do when you first start, but there is something about that.
[01:56:18.660 --> 01:56:23.120]   And there's something about, well, first of all, I just kind of, I feel there's kind of two things.
[01:56:23.120 --> 01:56:30.300]   Like number one, I feel like I'm obligated and I wouldn't say this for you, but I think this is true for me.
[01:56:30.900 --> 01:56:34.620]   I think I'm obligated to do like at least several debates a year.
[01:56:35.100 --> 01:56:44.560]   Um, and I think that, I think that if I'm going to go on shows like your show and Rogan show and, and Tucker's show and, you know, Candace or whoever else, you know, Patrick, but David and Tim pool.
[01:56:44.560 --> 01:56:51.660]   And I go on these big shows for long form things and I'm sitting there and I'm being like, okay, it's like this, like, and this is, and I think it's like this.
[01:56:51.660 --> 01:56:59.540]   And then if I'm going to do that, I kind of have an obligation to like test myself against someone being like, no, it's not like that.
[01:56:59.540 --> 01:57:05.680]   And then, you know, like showing that I think I can stand up to these, these kinds of challenges.
[01:57:05.680 --> 01:57:13.600]   So I feel like I'm kind of obligated, but then I do like, there is a feeling to it where you're like, Hey man, like, this is not, my career is not a joke.
[01:57:13.600 --> 01:57:14.820]   Like I got little kids.
[01:57:14.820 --> 01:57:16.680]   This is how I support them, you know?
[01:57:16.680 --> 01:57:22.560]   And like, I am kind of taking my career in my hands every time I go do one of these debates.
[01:57:22.560 --> 01:57:28.620]   Like if I just get smoked and this guy's just totally beats me up, it's like, I don't know.
[01:57:28.620 --> 01:57:29.220]   I don't know.
[01:57:29.220 --> 01:57:29.720]   How are you?
[01:57:29.720 --> 01:57:31.700]   How's anyone going to look at me again after that?
[01:57:31.700 --> 01:57:34.720]   You'd be like, oh, you, you acted like you had such a good point.
[01:57:34.720 --> 01:57:36.840]   And then this guy just totally destroyed your point.
[01:57:36.840 --> 01:57:44.640]   So, but that then kind of motivates me to be like, okay, I got to really be on point.
[01:57:44.640 --> 01:57:46.480]   I got to really make sure I've done my homework.
[01:57:46.480 --> 01:57:48.480]   I got to make sure my arguments really tight.
[01:57:48.480 --> 01:57:50.540]   I got to think about this thing from all ends.
[01:57:50.540 --> 01:57:56.760]   And then on the other level, it's like, if someone can do that to me, then kind of, that's the way the movie is supposed to end.
[01:57:56.760 --> 01:58:08.500]   You know, like if you, if I, if there is some hole in my argument that I'm just not thinking of, and then someone else can point it out to me and I got no response to it, then I kind of deserve to be humiliated publicly for that.
[01:58:08.500 --> 01:58:09.720]   So, all right.
[01:58:09.720 --> 01:58:10.780]   I don't know.
[01:58:10.780 --> 01:58:12.240]   That's, it's kind of exciting in a way.
[01:58:12.240 --> 01:58:13.840]   Cause the movie ends at some point.
[01:58:13.840 --> 01:58:15.100]   Well, that's true.
[01:58:15.780 --> 01:58:19.980]   Unless you and your genius friends can figure out how to, you know, give us eternal life or something.
[01:58:19.980 --> 01:58:20.960]   I don't think I want to live.
[01:58:20.960 --> 01:58:22.960]   I don't think I want to live forever.
[01:58:22.960 --> 01:58:28.140]   I think, I think flirting with that idea too much is dangerous.
[01:58:28.340 --> 01:58:31.660]   This kind of, uh, transhumanism kind of idea.
[01:58:31.660 --> 01:58:32.200]   Yeah.
[01:58:32.200 --> 01:58:35.140]   It's, it's, it's, it's, it's not a good way of thinking.
[01:58:35.140 --> 01:58:43.580]   Now, of course I do, um, want to heal diseases and extend human life, especially high quality of human life.
[01:58:43.580 --> 01:58:44.100]   But yeah.
[01:58:44.380 --> 01:58:52.920]   If we could live, if we could be in like much better shape and much healthier and like extend life by a few decades, I think that would be great.
[01:58:52.920 --> 01:58:56.400]   But I agree with you, I think there's supposed to be an expiration date on it.
[01:58:56.400 --> 01:59:05.960]   I think we're supposed to, we're supposed to, um, there's something about like, uh, scarcity being a necessary component in a lot of different fields.
[01:59:06.040 --> 01:59:06.640]   You know what I mean?
[01:59:06.640 --> 01:59:15.120]   Where it's like, uh, the life itself, having a finite amount of time on it, I think makes it more precious.
[01:59:15.120 --> 01:59:15.640]   Yeah.
[01:59:15.640 --> 01:59:16.820]   At the individual level.
[01:59:16.820 --> 01:59:23.060]   And then at the societal level, it just does seem like death is the way you get new ideas.
[01:59:23.060 --> 01:59:28.180]   It's like people kind of solidify their ideas and are unwilling to change their mind.
[01:59:28.180 --> 01:59:30.720]   And the only way you get new ideas, right?
[01:59:30.720 --> 01:59:32.580]   The next generation has to take them over.
[01:59:32.580 --> 01:59:32.800]   Yeah.
[01:59:32.800 --> 01:59:33.960]   You have to keep churning.
[01:59:34.920 --> 01:59:35.460]   All right.
[01:59:35.460 --> 01:59:39.840]   Speaking of the trolls and, uh, Israel, I got to ask you about this.
[01:59:39.840 --> 01:59:41.100]   Let's talk about Jeffrey Epstein.
[01:59:41.100 --> 01:59:42.080]   Hmm.
[01:59:42.080 --> 01:59:49.160]   I recently got attacked, uh, because of conversation, a couple of conversations I had with Tim Dillon three and four years ago.
[01:59:49.160 --> 01:59:50.380]   I love Tim Dillon.
[01:59:50.380 --> 01:59:51.920]   He's hilarious.
[01:59:51.920 --> 01:59:52.920]   I love Tim too.
[01:59:52.920 --> 01:59:55.420]   I've known, I've known Tim for many years.
[01:59:55.420 --> 01:59:56.420]   Love that guy.
[01:59:56.420 --> 01:59:57.200]   Yeah.
[01:59:57.200 --> 02:00:04.260]   So we, I bring up Jeffrey Epstein often cause, uh, there's a, there's a fascinating study of evil to me.
[02:00:04.260 --> 02:00:07.200]   Uh, whichever angle you, you take on it.
[02:00:07.200 --> 02:00:15.740]   And I think they're partially the talk shit, but, uh, I showed some skepticism that he's connected to Mossad.
[02:00:16.860 --> 02:00:21.400]   Uh, so to me, there's three and I've evolved on that since then.
[02:00:21.400 --> 02:00:24.820]   Uh, by the way, I'm not actually sure it's Mossad.
[02:00:24.820 --> 02:00:26.320]   It could be any intelligence agencies.
[02:00:26.320 --> 02:00:29.240]   It could be CIA, but I was wondering if you could educate me.
[02:00:29.240 --> 02:00:30.900]   I did a little research on this last night.
[02:00:30.940 --> 02:00:34.100]   I looked into it a little more and then I saw that you said he's definitely Mossad.
[02:00:34.100 --> 02:00:37.220]   Well, I don't know if I'd say, I didn't say he was definitely Mossad.
[02:00:37.220 --> 02:00:45.380]   I don't know my, my exact, I mean, I made one kind of jokey post as is the case with almost any, um, intelligence.
[02:00:45.880 --> 02:00:57.360]   Operation it look, I don't want to like poopoo anybody's hopes here because I guess like the JFK files, uh, just got released and supposedly the rest of the Epstein files are coming out.
[02:00:57.360 --> 02:01:12.080]   And there's a lot of, um, there's a, a major yearning right now to get to the end of the movie where we find out everything that happened, you know, and that I think it's great that people have that desire and I hope more and more does come out.
[02:01:12.080 --> 02:01:19.960]   I think the truth is that with any intelligence operations, we're probably never going to know all of the details of exactly what happened.
[02:01:19.960 --> 02:01:27.900]   The funny thing about intelligence agencies, and I've been a regularly accused of being CIA, FSB or Mossad, depending on the group that's attacking me.
[02:01:27.900 --> 02:01:44.920]   Uh, but I think it's a fascinating topic and it's very difficult to know somebody's intelligence, but if you have any nuance, I want to discuss the nuances, then the, the, the, the, the comment is going to be that guy for sure is if we're talking about Mossad or so on.
[02:01:44.980 --> 02:01:47.060]   But yeah, I, that's one of the things I didn't know.
[02:01:47.060 --> 02:01:48.500]   And I saw the, what is it?
[02:01:48.500 --> 02:01:54.300]   Alex Acosta said that, uh, basically mentioned that Epstein is intelligence.
[02:01:54.300 --> 02:01:57.400]   That to me is like, okay, that's a piece of evidence.
[02:01:57.400 --> 02:02:00.360]   That's a really valuable piece of evidence that he's intelligence.
[02:02:00.360 --> 02:02:03.320]   And that was very, uh, not just intelligent, but Mossad.
[02:02:03.320 --> 02:02:06.680]   Because that, before that I thought it might be CIA.
[02:02:06.680 --> 02:02:08.260]   Cause that's, I kind of heard.
[02:02:08.260 --> 02:02:11.680]   And it's, I think it's quite possible that he was working with elements of both.
[02:02:11.680 --> 02:02:16.640]   I mean, as I think is, is often the case, I also think that's something that people get a little bit wrong.
[02:02:16.640 --> 02:02:20.720]   Like when they think like, okay, this guy was CIA or this guy was Mossad.
[02:02:20.720 --> 02:02:26.060]   And then there's also, I think there's the possibility that there are rogue elements within those organizations.
[02:02:26.060 --> 02:02:41.860]   Like this is not necessarily coming from the director or, or what, you know, I don't know, but you look at the guy, the way his, his career trajectory tracks is like completely unexplainable outside of being connected to intelligence.
[02:02:41.860 --> 02:02:45.160]   Like, it's not just like the one or two people saying that he's intelligence.
[02:02:45.160 --> 02:02:55.500]   It's like the, dude, the idea that you're just like, you have no experience and you're a teacher at Dalton, which is like this incredibly elite, uh, New York city private school.
[02:02:55.500 --> 02:03:05.820]   And then all of a sudden you're at Bayer Sterns and like within two years, you've like made partner and you've made you're worth hundreds of millions of dollars and nobody knows where you made your money for this just doesn't happen.
[02:03:05.820 --> 02:03:13.860]   And then you're just in, you're just inserted into this world with all of the most like highest level political leaders and cultural figures and stuff.
[02:03:13.860 --> 02:03:25.760]   But the thing that's amazing about the Jeffrey Epstein story is that it's like the level of evil and the level of corruption that it exposes no matter what the answer is.
[02:03:25.760 --> 02:03:54.500]   Like, no matter what the answer is, it's, you're gonna, you're gonna tell me that there was a pedophile ring in our country that involved, I mean, listen, dude, if you had said this shit before it came out, this would have been the wildest conspiracy theories, but a pedophile ring that involves the most powerful people in the United States of America and in the, the world to some degree, touching the Royal family, the Clintons, like all these people.
[02:03:54.620 --> 02:04:00.340]   And that this was known and covered up and then allowed to continue.
[02:04:00.340 --> 02:04:08.640]   I mean, like the, there's a blackmail operation that relies on raping American children.
[02:04:08.640 --> 02:04:20.840]   And, and like, if this is, uh, you know, whether it's CIA or Mossad doesn't make one less, you know, it's equally horrible, but then there's like these elements where like, you're like, okay.
[02:04:20.840 --> 02:04:29.900]   So when it, when he first got arrested and then he was given a slap on the wrist, a slap on the wrist.
[02:04:29.900 --> 02:04:35.600]   And then the prosecutor says, well, I was told by the intelligence community that he's intelligence and to go easy on him.
[02:04:35.600 --> 02:04:36.600]   It's like, oh, okay.
[02:04:36.680 --> 02:04:40.560]   And, and you didn't resign in disgust that day.
[02:04:40.560 --> 02:04:41.600]   You know what I mean?
[02:04:41.600 --> 02:04:43.500]   Like, I don't think that's too much to ask for.
[02:04:43.500 --> 02:04:47.560]   You know, there was the, um, the ABC reporter who said that she had the whole story.
[02:04:47.560 --> 02:04:49.560]   She was on the hot mic saying she had the whole story.
[02:04:49.640 --> 02:04:51.500]   And then the network told her to squash it.
[02:04:51.500 --> 02:04:53.660]   It's like, and you stayed working there.
[02:04:53.660 --> 02:04:55.300]   Like that's, I'm sorry.
[02:04:55.300 --> 02:05:07.980]   Like, I'm not asking for, I'm not saying like, we're all imperfect and none of us are heroes, but like you're in a news network and you uncovered a child raping ring that implicated the most powerful people in our society.
[02:05:07.980 --> 02:05:14.760]   And your news network told you, we will not run this story because of our relationship with the Royal family.
[02:05:14.760 --> 02:05:24.060]   And you did not resign in disgust that day and take this story to every single independent, independent, you know, outlet that would maybe publish it.
[02:05:24.060 --> 02:05:24.920]   I'm sorry.
[02:05:24.920 --> 02:05:35.340]   It's like the thing it's so damning to the entire apparatus that we did not see at the very least see mass resignations of this.
[02:05:35.640 --> 02:05:39.180]   Forget even like, at the very least expect that it would have been prosecuted and shut down.
