
[00:00:00.000 --> 00:00:13.000]   Carlos Esteban:
[00:53:06.420 --> 00:53:11.420]   And then how does it impact my scores relative to the cost maybe that I'm incurring to do that?
[00:53:11.420 --> 00:53:13.420]   So run that experiment.
[00:53:13.420 --> 00:53:16.420]   Again, now I can track these things over time.
[00:53:16.420 --> 00:53:28.420]   Maybe really quickly as sort of a bonus to this, going a little bit off-grid here, just because I've actually heard this numerous times at this conference.
[00:53:28.420 --> 00:53:30.420]   And I just had a question over here.
[00:53:30.420 --> 00:53:32.420]   How can we automatically optimize prompts?
[00:53:32.420 --> 00:53:35.420]   This is something that we are thinking about internally.
[00:53:35.420 --> 00:53:39.420]   And hopefully within a couple weeks or so, we can release this feature to our customers.
[00:53:39.420 --> 00:53:46.420]   But this loop here allows you to either optimize prompts or generate net new dataset rows.
[00:53:46.420 --> 00:53:51.420]   And then the kind of unique thing here is that it has all of the context of this playground.
[00:53:51.420 --> 00:53:55.420]   What are the evaluation results the last time it ran?
[00:53:55.420 --> 00:53:59.420]   How can we change this prompt to ensure we beat those results?
[00:53:59.420 --> 00:54:04.420]   And so you can see it's -- I'm guessing most of you all are familiar with something like cursor.
[00:54:04.420 --> 00:54:06.420]   So sort of a similar type of interface here.
[00:54:06.420 --> 00:54:10.420]   But it will actually, again, use those results, start to change the prompt.
[00:54:10.420 --> 00:54:13.420]   Pretty soon it will give me like a diff here.
[00:54:13.420 --> 00:54:16.420]   Here is maybe a better prompt that we can accept.
[00:54:16.420 --> 00:54:21.420]   And then it will, again, it will run those scores for that new task.
[00:54:21.420 --> 00:54:27.420]   And it will give us a sense for whether or not we are better or worse because of that.
[00:54:27.420 --> 00:54:33.420]   But now this becomes a little bit easier to do that iteration when we have sort of AI layered here in the mix.
[00:54:33.420 --> 00:54:40.420]   And another question that we got in the previous workshop is are we using brain trust to actually evaluate this?
[00:54:40.420 --> 00:54:41.420]   And we certainly are.
[00:54:41.420 --> 00:54:47.420]   Yeah, this is really cool.
[00:54:47.420 --> 00:54:50.420]   This can also improve the data set, right?
[00:54:50.420 --> 00:55:01.420]   You could ask it to enhance the data set, add another row, maybe even highlight some of the data set rows and be like can you improve the prompt based on these specific scores?
[00:55:01.420 --> 00:55:02.420]   Yep, absolutely.
[00:55:02.420 --> 00:55:03.420]   Yeah.
[00:55:03.420 --> 00:55:04.420]   Pretty cool.
[00:55:04.420 --> 00:55:05.420]   Any questions that you guys may have?
[00:55:05.420 --> 00:55:06.420]   Yeah, we can open it up.
[00:55:06.420 --> 00:55:07.420]   Yeah.
[00:55:07.420 --> 00:55:10.420]   How do we add, let's say if we have a home grown model, how do we add it in the list?
[00:55:10.420 --> 00:55:19.420]   Yeah, that's a good question.
[00:55:19.420 --> 00:55:26.420]   There's some custom AI models being used in brain trust.
[00:55:26.420 --> 00:55:32.420]   In the settings here, in the AI providers, you can add your own custom model.
[00:55:32.420 --> 00:55:39.420]   So if it speaks open AI, you should be able to add it in here or choose whichever one you want.
[00:55:39.420 --> 00:55:41.420]   If you have it in inference.
[00:55:41.420 --> 00:55:42.420]   Yeah?
[00:55:42.420 --> 00:55:55.420]   What if your score does not have like upper bound that you can convert into percentages?
[00:55:55.420 --> 00:55:59.420]   So how do you calculate score then?
[00:55:59.420 --> 00:56:02.420]   So what kind of score would you be thinking about here?
[00:56:02.420 --> 00:56:07.420]   So for example, I'm building finance ticker, right?
[00:56:07.420 --> 00:56:10.420]   Offering like buy some kind of stocks.
[00:56:10.420 --> 00:56:13.420]   And I use score as how much money I made.
[00:56:13.420 --> 00:56:17.420]   So that could range, you know, from $10 to like $10,000, right?
[00:56:17.420 --> 00:56:21.420]   How can I convert this like percentage score?
[00:56:21.420 --> 00:56:25.420]   Is that value relative to something that's expected though?
[00:56:25.420 --> 00:56:28.420]   Like you're talking about like an unbounded range.
[00:56:28.420 --> 00:56:32.420]   That's not necessarily what I think these scores are designed to do.
[00:56:32.420 --> 00:56:39.420]   Right, but I can engineer my prompt and try to maximize some kind of score that I can get, right?
[00:56:39.420 --> 00:56:43.420]   But that does not mean that I have a range in which I try to operate.
[00:56:43.420 --> 00:56:50.420]   I'm just trying to optimize a function, some generic that I'm, you know, define my score.
[00:56:50.420 --> 00:56:54.420]   Yeah, it's definitely something we've heard before.
[00:56:54.420 --> 00:56:59.420]   I think that's part of the struggle of writing scores is trying to normalize them
[00:56:59.420 --> 00:57:01.420]   and bring them into that range of zero to one.
[00:57:01.420 --> 00:57:05.420]   So up to you of what you decide the floor and ceiling are.
[00:57:05.420 --> 00:57:06.420]   Yeah.
[00:57:06.420 --> 00:57:11.420]   Do you have anything for evaluating multi-turn conversations?
[00:57:11.420 --> 00:57:19.420]   And as part of that, would you be able to review the agent's features?
[00:57:19.420 --> 00:57:21.420]   I think you kind of went through that earlier, right?
[00:57:21.420 --> 00:57:31.420]   Yeah, in the playground we can just-- so here at the bottom you can add more messages.
[00:57:31.420 --> 00:57:36.420]   So the idea is that you could provide a whole back and forth in context
[00:57:36.420 --> 00:57:39.420]   and then evaluate that multi-turn conversation at once.
[00:57:39.420 --> 00:57:41.420]   You could do it as well in the SDK.
[00:57:41.420 --> 00:57:52.420]   And then for the agents here, the idea is that you can chain multiple prompts together.
[00:57:52.420 --> 00:57:54.420]   So here we could just grab the two.
[00:57:54.420 --> 00:57:59.420]   But the idea is that the output of the initial prompt will become the input of the next and so on.
[00:57:59.420 --> 00:58:02.420]   And then you can evaluate them as a unit, right?
[00:58:02.420 --> 00:58:07.420]   And as opposed to the multi-turn, right, you're providing all the context at once.
[00:58:07.420 --> 00:58:11.420]   Whereas here it's, you know, making multiple LLM calls.
[00:58:11.420 --> 00:58:19.420]   And just piggybacking on this question, for a multi-turn scenario, do we score each turn versus the entire conversation?
[00:58:19.420 --> 00:58:25.420]   Also, how about if the conversation has, let's say, 100 messages in between the agent and the user?
[00:58:25.420 --> 00:58:27.420]   What about the memory?
[00:58:27.420 --> 00:58:33.420]   Do we contain the context for the message one versus the message 90th message?
[00:58:33.420 --> 00:58:34.420]   How does this all play out?
[00:58:34.420 --> 00:58:38.420]   Do we score the entire conversation versus each turn?
[00:58:38.420 --> 00:58:44.420]   With the multi-turn extra messages approach, you're providing everything at once to the LLM.
[00:58:44.420 --> 00:58:45.420]   So it's one LLM call.
[00:58:45.420 --> 00:58:49.420]   So yeah, you would need to comply with the context window of the model that you're working with.
[00:58:49.420 --> 00:58:54.420]   The agent feature, though, each prompt is its own LLM call.
[00:58:54.420 --> 00:58:59.420]   I think maybe just speaking also more generally, if I come back over here.
[00:58:59.420 --> 00:59:03.420]   I just wanted to highlight something because I think it's relevant to the question.
[00:59:03.420 --> 00:59:09.420]   Do you evaluate sort of like the individual turns?
[00:59:09.420 --> 00:59:12.420]   To me, like, it's always like somewhat dependent.
[00:59:12.420 --> 00:59:24.420]   But if I look at these logs here, this is sort of like this application where there's multiple steps that have to be taken for the user to get the output that it needs.
[00:59:24.420 --> 00:59:29.420]   So you can see here that the first step is actually rephrasing a question, right?
[00:59:29.420 --> 00:59:33.420]   So there's actually this chat history that is needed and then the most recent input.
[00:59:33.420 --> 00:59:37.420]   And we need to be able to rephrase that question into something that the user actually means.
[00:59:37.420 --> 00:59:46.420]   And if the rephrase here, the task that we have for this, falls down, it means the rest of the application is going to fall down.
[00:59:46.420 --> 00:59:53.420]   So I think one of the things that becomes really powerful here is the ability to actually score these individual calls as they're happening.
[00:59:53.420 --> 00:59:55.420]   So I have a rephrased question.
[00:59:55.420 --> 00:59:57.420]   From there, I'm going to determine the intent.
[00:59:57.420 --> 01:00:02.420]   But if I scroll down a little bit further, I can actually create scores for those individual spans.
[01:00:02.420 --> 01:00:07.420]   So I can understand the, like, the application has all of these different steps.
[01:00:07.420 --> 01:00:16.420]   I want to make sure that, like, if something does not work, if the output doesn't match what I would expect, I need to be able to go back through there and figure out where it fell down.
[01:00:16.420 --> 01:00:18.420]   I don't know if that helps at all, but--
[01:00:18.420 --> 01:00:19.420]   Almost like a session trace there, right?
[01:00:19.420 --> 01:00:23.420]   You're going back to the session and seeing what happened and whether that fell through the tracks.
[01:00:23.420 --> 01:00:24.420]   Yeah, yeah.
[01:00:24.420 --> 01:00:28.420]   And then you're able to configure scores for these individual spans that are created.
[01:00:28.420 --> 01:00:45.420]   Does BrainQ support evaluating speech-to-speech models for real-time or Gemini multimodal evaluations of voice, et cetera?
[01:00:45.420 --> 01:00:46.420]   Yeah, that's a good question.
[01:00:46.420 --> 01:00:51.420]   We have a cookbook about evaluating a voice agent that you should check out.
[01:00:51.420 --> 01:00:52.420]   It would be through the SDK.
[01:00:52.420 --> 01:00:53.420]   Yeah.
[01:00:53.420 --> 01:00:54.420]   Yeah.
[01:00:54.420 --> 01:00:55.420]   Any questions?
[01:00:55.420 --> 01:00:56.420]   Cool.
[01:00:56.420 --> 01:00:57.420]   Are you guys able to follow along in the activity?
[01:00:57.420 --> 01:00:58.420]   Like, the internet's working, everything's okay?
[01:00:58.420 --> 01:00:59.420]   Sort of, kinda.
[01:00:59.420 --> 01:01:00.420]   Sort of.
[01:01:00.420 --> 01:01:01.420]   Yeah.
[01:01:01.420 --> 01:01:02.420]   Do you guys offer brain trust for on-prem installation?
[01:01:02.420 --> 01:01:03.420]   We have a hybrid deployment.
[01:01:03.420 --> 01:01:04.420]   So we would manage the control plane.
[01:01:04.420 --> 01:01:05.420]   You would manage the data plane.
[01:01:05.420 --> 01:01:06.420]   Everything meets in the browser.
[01:01:06.420 --> 01:01:06.420]   Similar to the Databricks model.
[01:01:06.420 --> 01:01:06.420]   Similar to the Databricks model.
[01:01:06.420 --> 01:01:06.420]   So yes.
[01:01:06.420 --> 01:01:06.420]   Our response is, you would have the data fully in your VPC.
[01:01:06.420 --> 01:01:07.420]   Yeah.
[01:01:07.420 --> 01:01:07.420]   Yeah.
[01:01:07.420 --> 01:01:07.420]   Yeah.
[01:01:07.420 --> 01:01:08.420]   Yeah.
[01:01:08.420 --> 01:01:09.420]   Yeah.
[01:01:09.420 --> 01:01:10.420]   Yeah.
[01:01:10.420 --> 01:01:10.420]   Yeah.
[01:01:10.420 --> 01:01:11.420]   Yeah.
[01:01:11.420 --> 01:01:12.420]   Yeah.
[01:01:12.420 --> 01:01:17.420]   Do you guys offer brain trust for on-prem installation?
[01:01:17.420 --> 01:01:19.420]   We have a hybrid deployment.
[01:01:19.420 --> 01:01:21.420]   So we would manage the control plane.
[01:01:21.420 --> 01:01:23.420]   You would manage the data plane.
[01:01:23.420 --> 01:01:25.420]   Everything meets in the browser.
[01:01:25.420 --> 01:01:26.420]   Similar to the Databricks model.
[01:01:26.420 --> 01:01:28.420]   So, yes.
[01:01:28.420 --> 01:01:44.420]   My response is, you would have the data fully in your VPC.
[01:01:44.420 --> 01:01:45.420]   Yes.
[01:01:45.420 --> 01:01:46.420]   Question over here.
[01:01:46.420 --> 01:01:56.420]   There's a lot of similarities with Langsmith.
[01:01:56.420 --> 01:01:57.420]   Yeah.
[01:01:57.420 --> 01:01:58.420]   That's a good question.
[01:01:58.420 --> 01:02:04.420]   So the question is, how do we compare it to Langsmith since we're both in the eval space?
[01:02:04.420 --> 01:02:09.420]   And, you know, I think you're right in that we do very similar things.
[01:02:09.420 --> 01:02:12.420]   And maybe if you're looking from a distance, it looks like it's the same.
[01:02:12.420 --> 01:02:19.420]   But up close, what we hear is that our UI/UX is more intuitive, cleaner, easier to work with.
[01:02:19.420 --> 01:02:26.420]   And crucially, the performance and scale of brain trust is unmatched due to our underlying infrastructure.
[01:02:26.420 --> 01:02:30.420]   BrainStore was actually developed in-house.
[01:02:30.420 --> 01:02:42.420]   And it was only possible because of the technical team, especially Anker and the founding engineers that have deep database knowledge from working at single store MemSQL and having built many databases before.
[01:02:42.420 --> 01:02:54.420]   So they were able to increase the full text search capabilities and, yeah.
[01:02:54.420 --> 01:02:55.420]   Cool.
[01:02:55.420 --> 01:02:56.420]   So, finished with activity one.
[01:02:56.420 --> 01:03:00.420]   Again, this will be available for you guys to do at your own pace at home whenever you want.
[01:03:00.420 --> 01:03:04.420]   There's also a free tier available for brain trust.
[01:03:04.420 --> 01:03:07.420]   So, you have still a bunch of credits to use.
[01:03:07.420 --> 01:03:10.420]   So, moving into the second lecture.
[01:03:10.420 --> 01:03:14.420]   So, now doing the same thing that we did via the SDK.
[01:03:14.420 --> 01:03:17.420]   So, we got to see a little bit of the code, right?
[01:03:17.420 --> 01:03:18.420]   We cloned the repo.
[01:03:18.420 --> 01:03:26.420]   We pushed the prompts, the scores into the brain trust so we could use them in the playground.
[01:03:26.420 --> 01:03:29.420]   But here, we'll actually do an experiment via code.
[01:03:29.420 --> 01:03:34.420]   So, just wanted to quickly go over high level how this works.
[01:03:34.420 --> 01:03:38.420]   So, you know, the top row we went through.
[01:03:38.420 --> 01:03:41.420]   You didn't really get to see the assets defined in code.
[01:03:41.420 --> 01:03:46.420]   But we talked through the brain trust push and then how they ended up in the brain trust library.
[01:03:46.420 --> 01:03:51.420]   So, the second row is what we'll go over now where you're defining the evals in the code.
[01:03:51.420 --> 01:03:54.420]   You're running a brain trust eval command.
[01:03:54.420 --> 01:03:57.420]   This can occur via the CLI or in a CI pipeline.
[01:03:57.420 --> 01:03:58.420]   That's very common, right?
[01:03:58.420 --> 01:04:05.420]   So, when you're trying to open a PR and merge it into main, you would trigger this eval process.
[01:04:05.420 --> 01:04:09.420]   And then all the experiments would appear in brain trust.
[01:04:09.420 --> 01:04:15.420]   And, you know, Sarah was mentioning that they have their own process that looks at those experiment scores.
[01:04:15.420 --> 01:04:18.420]   Summarizes them with an LLM and then writes a report.
[01:04:18.420 --> 01:04:21.420]   So, you can get creative with this pipeline.
[01:04:21.420 --> 01:04:26.420]   So, pushing the brain trust, very similar, right?
[01:04:26.420 --> 01:04:29.420]   The key here is defining the assets as code.
[01:04:29.420 --> 01:04:32.420]   So, you would just follow the pattern to the right here.
[01:04:32.420 --> 01:04:37.420]   Projects.prompts.create or it would be project.scores.create.
[01:04:37.420 --> 01:04:41.420]   And then you would just define what would appear in brain trust.
[01:04:41.420 --> 01:04:43.420]   And this could be used in production.
[01:04:43.420 --> 01:04:49.420]   You know, a lot of people will either push their prompts into brain trust or pull them.
[01:04:49.420 --> 01:04:52.420]   Really, the prompt management style is up to you.
[01:04:52.420 --> 01:04:58.420]   But it is really helpful to have that source controlled prompt versioning in place.
[01:04:58.420 --> 01:05:01.420]   Depends if you want to go push or pull.
[01:05:01.420 --> 01:05:10.420]   So, running an eval via SDK is very similar to what we saw in the UI.
[01:05:10.420 --> 01:05:11.420]   You need the three things again, right?
[01:05:11.420 --> 01:05:15.420]   So, you need a task, a data set, and one or more scores.
[01:05:15.420 --> 01:05:19.420]   So, we'll show you what that looks like in the actual code.
[01:05:19.420 --> 01:05:24.420]   And then we'll run the command and we'll see what that looks like in the UI.
[01:05:24.420 --> 01:05:30.420]   And then we'll come back and do some of the logging day two, moving into production stuff.
[01:05:34.420 --> 01:05:35.420]   Cool.
[01:05:35.420 --> 01:05:37.420]   Back to the guide here.
[01:05:37.420 --> 01:05:39.420]   If you're looking on activity two.
[01:05:39.420 --> 01:05:42.420]   We'll start again with just kind of understanding what we have within the code base.
[01:05:42.420 --> 01:05:44.420]   And then we'll actually run some evals.
[01:05:44.420 --> 01:05:49.420]   You'll again, like Carlos mentioned, you'll see some similarities with what we did within the platform.
[01:05:49.420 --> 01:05:51.420]   But now we're just kind of strictly within the code.
[01:05:51.420 --> 01:05:53.420]   Again, just trying to like hammer home here.
[01:05:53.420 --> 01:05:57.420]   There's like multiple ways to actually interact with the Braintrust platform.
[01:05:57.420 --> 01:06:00.420]   Trying to meet you all where you want to be.
[01:06:00.420 --> 01:06:03.420]   But if I come over to the code base.
[01:06:03.420 --> 01:06:06.420]   Again, this is where the resources.ts.
[01:06:06.420 --> 01:06:08.420]   This is where all of this will be defined.
[01:06:08.420 --> 01:06:11.420]   All of our prompts, scores, and such.
[01:06:11.420 --> 01:06:14.420]   I have this eval folder.
[01:06:14.420 --> 01:06:17.420]   I'm going to open up my changelog.eval.ts.
[01:06:17.420 --> 01:06:20.420]   One thing to kind of highlight here.
[01:06:20.420 --> 01:06:26.420]   If you name your files with that .eval.ts, and then you pass just a folder.
[01:06:26.420 --> 01:06:30.420]   We can pick up all of those evals and run those within the platform.
[01:06:30.420 --> 01:06:34.420]   But let me open this up a little bit.
[01:06:34.420 --> 01:06:36.420]   So this is really all we're doing.
[01:06:36.420 --> 01:06:37.420]   Right?
[01:06:37.420 --> 01:06:40.420]   So we have this eval, which was just coming from the Braintrust SDK.
[01:06:40.420 --> 01:06:43.420]   Here's our data set that we've created.
[01:06:43.420 --> 01:06:50.420]   The task that, you know, that lives over here from Braintrust.
[01:06:50.420 --> 01:06:56.420]   And this is really like, again, all we're doing from the repo side to run evals within the platform.
[01:06:56.420 --> 01:07:02.420]   So I'll clear this and then run pnpm eval.
[01:07:02.420 --> 01:07:06.420]   This is, again, just another command that is unique to this repo.
[01:07:06.420 --> 01:07:11.420]   All we're doing under the hood is running this Braintrust eval and then giving it the name of this file.
[01:07:11.420 --> 01:07:16.420]   But you can actually see the experiments running right now within the platform.
[01:07:16.420 --> 01:07:19.420]   Here is the link that you can go out to.
[01:07:19.420 --> 01:07:25.420]   And this should look very similar to what you just saw when we ran the experiments within the UI specifically.
[01:07:25.420 --> 01:07:35.420]   But now, again, this becomes part of the history of our experiments for this particular feature and can track this over time.
[01:07:35.420 --> 01:07:47.420]   But now we are kind of strictly within the code while we are running this.
[01:07:47.420 --> 01:07:59.420]   Maybe just another thing to kind of highlight, I think I did last time, but I didn't really pull anything in here, is different ways in which we can start to compare this.
[01:07:59.420 --> 01:08:08.420]   So maybe we're really worried about sort of like the duration or we are worried about sort of the number of completion tokens.
[01:08:08.420 --> 01:08:12.420]   There are different ways in which we can start to view the data here.
[01:08:12.420 --> 01:08:15.420]   Again, I didn't change -- actually, I did change the model, right?
[01:08:15.420 --> 01:08:21.420]   This is another way in which we can start to understand the scores for the particular model.
[01:08:21.420 --> 01:08:24.420]   But again, like, this all just happened via code.
[01:08:24.420 --> 01:08:30.420]   Some simple commands that we just wrote on our command line and pushed that into the Braintrust platform.
[01:08:30.420 --> 01:08:31.420]   Cool.
[01:08:31.420 --> 01:08:46.420]   Any questions about running evals with the SDK and that eval class that we showed and the Braintrust eval command?
[01:08:46.420 --> 01:08:47.420]   Yeah?
[01:08:47.420 --> 01:08:54.420]   I just wanted to inform you, like, there is image, like, like, vision models and stuff.
[01:08:54.420 --> 01:08:56.420]   Does that work with the UI?
[01:08:56.420 --> 01:08:58.420]   Or is that only SDK?
[01:08:58.420 --> 01:09:01.420]   Yeah, that should work with the UI images, yeah.
[01:09:01.420 --> 01:09:04.420]   Can I do non-LLM, like, models?
[01:09:04.420 --> 01:09:10.420]   Like, if I had, like, a -- like, a grounding model as part of my pipeline?
[01:09:10.420 --> 01:09:13.420]   Yeah, that's a good question.
[01:09:13.420 --> 01:09:18.420]   I'm not sure if it will let you add it as a custom model.
[01:09:18.420 --> 01:09:23.420]   Yeah, I can't -- I would say go try it and see.
[01:09:23.420 --> 01:09:28.420]   And if there's any issues, we have a Discord channel and, you know, we can add it to see
[01:09:28.420 --> 01:09:30.420]   if more people want that feature.
[01:09:30.420 --> 01:09:31.420]   Yeah.
[01:09:31.420 --> 01:09:32.420]   Thank you.
[01:09:32.420 --> 01:09:37.420]   Yes?
[01:09:37.420 --> 01:09:38.420]   Python-based SDK?
[01:09:38.420 --> 01:09:41.420]   Yeah, we have Python and TypeScript-based SDK.
[01:09:41.420 --> 01:09:51.420]   And then we have some additional ones in other languages, like Java or Kotlin, that -- Ruby, that are created with stainless.
[01:09:51.420 --> 01:09:53.420]   So they're just wrappers of the API.
[01:09:53.420 --> 01:10:03.420]   We're creating a Go SDK as well.
[01:10:03.420 --> 01:10:04.420]   Great.
[01:10:04.420 --> 01:10:05.420]   Any other questions about Activity 2?
[01:10:05.420 --> 01:10:10.420]   Ready to move into production and we can talk about logging?
[01:10:10.420 --> 01:10:15.420]   All right, let's do it.
[01:10:15.420 --> 01:10:18.420]   So why should you even set up logging?
[01:10:18.420 --> 01:10:20.420]   Well, you know, there's a few reasons here.
[01:10:20.420 --> 01:10:23.420]   The main reason is to measure the quality of your live traffic.
[01:10:23.420 --> 01:10:29.420]   So this will allow you to set up alerts, if you'd like, of when it starts to dip, right?
[01:10:29.420 --> 01:10:46.420]   If you're putting out less than your best work and users are noticing, maybe they're providing feedback or, you know, maybe they -- you know, the scores that you have on those specific logs are just dipping, you can notify the right teams.
[01:10:46.420 --> 01:10:55.420]   You can debug, troubleshoot a lot faster by having that visibility into all of the functions that are running, all of the LLM calls going back and forth.
[01:10:55.420 --> 01:10:58.420]   And crucially, you can close the feedback loop.
[01:10:58.420 --> 01:11:00.420]   So you can capture the feedback.
[01:11:00.420 --> 01:11:07.420]   And, you know, we hear a lot of customers that are doing that, but they're not implementing it into their iteration process.
[01:11:07.420 --> 01:11:12.420]   They're not changing the prompts or adding it to data sets and closing that loop.
[01:11:12.420 --> 01:11:14.420]   So this can really help you do that.
[01:11:14.420 --> 01:11:20.420]   So what does logging into Braintrust look like?
[01:11:20.420 --> 01:11:24.420]   We have a very easy path, which is wrapping your LLM client.
[01:11:24.420 --> 01:11:31.420]   So if you're using OpenAI, you can just use the wrap OpenAI function around it.
[01:11:31.420 --> 01:11:34.420]   If you're using the Vercel AI SDK, we have a very similar thing.
[01:11:34.420 --> 01:11:47.420]   So this is essentially like one line of code, and then now everything is getting tracked, all your metrics, right, the amount of tokens, your latency, all the cost, all of that is getting populated in Braintrust.
[01:11:47.420 --> 01:11:50.420]   You can also trace arbitrary functions.
[01:11:50.420 --> 01:11:59.420]   We have the same sort of wrapping approach where you use a trace decorator or a wrap trace, and it will track everything occurring within that function.
[01:11:59.420 --> 01:12:04.420]   If you want to be more specific or more granular or have more flexibility, you can also do that.
[01:12:04.420 --> 01:12:16.420]   We integrate with Otel, and we have a span.log support, which can allow you to add any additional information metadata that you want to track and add it to that interaction.
[01:12:16.420 --> 01:12:23.420]   And initializing the logger, right, that's important because it tracks which project you want this to be synced to, and it authenticates you into Braintrust.
[01:12:23.420 --> 01:12:42.420]   So that's part of the process, and in the code repo that you clone, you'll see that if you go to the generate/root.ts, you'll be able to see all of these steps in the code and understand what's needed to get it into Braintrust.
[01:12:42.420 --> 01:12:55.420]   So now that you have the logging and real user traffic entering Braintrust, you want to have that assurance of quality, or you want to have that visibility into quality of responses.
[01:12:55.420 --> 01:12:58.420]   And a great way of doing that is through online scoring.
[01:12:58.420 --> 01:13:14.420]   So this is going to use the scores from your playground or from your experiments, right, from your offline evals, and bringing them into that production environment, into that live traffic, and giving you scores that you can then use to filter down the logs,
[01:13:14.420 --> 01:13:21.420]   grab the, you know, underperforming use cases, and add them to a dataset, keep iterating, keep improving.
[01:13:21.420 --> 01:13:34.420]   You can also do some A/B testing, right, you tag certain logs in different ways, and you can compare the online scores for each one of those.
[01:13:34.420 --> 01:13:45.420]   So we'll show you in the activity how you can set up online scoring rules, and which spans you can enforce them to be on, and the sample size.
[01:13:45.420 --> 01:13:52.420]   So you could choose to online score 100% of the logs, or 1%, it's up to you.
[01:13:52.420 --> 01:13:59.420]   We do recommend for you to start with a low sampling rate, and then work your way up as you trust the metrics more and more.
[01:13:59.420 --> 01:14:07.420]   So this is a bit of the process, and then Doug here will show you in the platform how you can go about creating the rule.
[01:14:07.420 --> 01:14:20.420]   So once you have online scoring set up, it's really helpful to have one-click lenses of what matters to you or to your team.
[01:14:20.420 --> 01:14:26.420]   So you can think, you know, if you've used Notion, you've probably realized that they have views, right?
[01:14:26.420 --> 01:14:29.420]   You can customize the filter, save it to a view.
[01:14:29.420 --> 01:14:30.420]   Same idea in Braintrust.
[01:14:30.420 --> 01:14:34.420]   You can filter, sort, do whatever you want, save it to the view.
[01:14:34.420 --> 01:14:39.420]   It'll retain those settings, and then your team can just use that.
[01:14:39.420 --> 01:14:44.420]   So it's a great way of moving quickly, defining the filters that matter to you.
[01:14:44.420 --> 01:14:53.420]   Great, so now back to the platform, back to the repo, and go over logging and online scoring.
[01:14:53.420 --> 01:14:54.420]   Awesome.
[01:14:54.420 --> 01:14:57.420]   Let's configure some online scoring.
[01:14:57.420 --> 01:15:01.420]   All right.
[01:15:01.420 --> 01:15:06.420]   Before we do that, obviously we need to, like, get some logs into our Braintrust project.
[01:15:06.420 --> 01:15:10.420]   To do that, we'll come back to our application, and we're going to spin this up.
[01:15:10.420 --> 01:15:15.420]   So I'm going to run pnpm dev, and this is going to run this localhost 3000.
[01:15:15.420 --> 01:15:20.420]   So again, the use case that we're building for is that change log generator.
[01:15:20.420 --> 01:15:23.420]   The idea here is you provided that GitHub URL.
[01:15:23.420 --> 01:15:30.420]   We're going to give you, you know, the LLM will give you the summary of those commits, and then maybe categorize them into different categories.
[01:15:30.420 --> 01:15:32.420]   So I'll click that.
[01:15:32.420 --> 01:15:34.420]   This should go through the process.
[01:15:34.420 --> 01:15:39.420]   Actually, while it does that, let me come back here just to kind of highlight where this is all happening.
[01:15:39.420 --> 01:15:46.420]   So just kind of connecting what Carlos was talking about, like how we can start to instrument our application.
[01:15:46.420 --> 01:15:48.420]   There's a few different things here, right?
[01:15:48.420 --> 01:15:55.420]   We have our Braintrust SDK for TypeScript, obviously, and we're going to wrap the AI SDK model.
[01:15:55.420 --> 01:16:02.420]   So this is really going to give us a lot of goodness out of the box, being able to understand, like, the metrics, right?
[01:16:02.420 --> 01:16:03.420]   What are the completion tokens?
[01:16:03.420 --> 01:16:04.420]   What is the cost?
[01:16:04.420 --> 01:16:10.420]   All of that stuff happens simply by just wrapping the LLM client with that.
[01:16:10.420 --> 01:16:13.420]   That's, again, like really the easy way to do it.
[01:16:13.420 --> 01:16:19.420]   Then there's being able to, like, you know, instrument your application with a little bit more granularity.
[01:16:19.420 --> 01:16:28.420]   And so maybe you want to use this trace function from the logger to actually be able to specify what that input is, what that output should be, and then add some metadata.
[01:16:28.420 --> 01:16:33.420]   The reason you might want to do something like this is now this maps to the data structure, right?
[01:16:33.420 --> 01:16:37.420]   That becomes really powerful to set up those scores against, right?
[01:16:37.420 --> 01:16:54.420]   So we start with something that's very basic where we get something very easy out of the box, and then we can go down to the actual, like, you know, the individual tool calls, if you will, and then actually create the inputs and outputs for that so that we can then create scores on top of those.
[01:16:54.420 --> 01:16:56.420]   Back to the application here, right?
[01:16:56.420 --> 01:17:00.420]   Here's the, you know, essentially the response from the large language model.
[01:17:00.420 --> 01:17:06.420]   Coming back into Braintrust, we should now see a log.
[01:17:06.420 --> 01:17:09.420]   And then this is essentially what just happened, right?
[01:17:09.420 --> 01:17:15.420]   Because of what we configured with that WRAP-AI SDK, as well as the different logs that we had set up, right?
[01:17:15.420 --> 01:17:24.420]   So there's this top level, think of this as a trace, and all of these sort of under the hood or underneath it are the individual spans that we actually want to understand.
[01:17:24.420 --> 01:17:37.420]   This allows us the visibility into the multiple steps that the application will take, and allows us, like I showed you in that previous example, to create scores for these individual spans as well.
[01:17:37.420 --> 01:17:40.420]   But you can see here, right, the top level generate request.
[01:17:40.420 --> 01:17:42.420]   Here is my input, right?
[01:17:42.420 --> 01:17:43.420]   What are my commits for this repo?
[01:17:43.420 --> 01:17:46.420]   Here's the URL, and then here is the output.
[01:17:46.420 --> 01:17:49.420]   But then being able to drill down into these individual things, right?
[01:17:49.420 --> 01:17:50.420]   So what are my commits?
[01:17:50.420 --> 01:17:53.420]   What are my, what is my latest, excuse me, release?
[01:17:53.420 --> 01:18:03.420]   And then again, being able to drill down into these becomes really beneficial as we start to need to understand how our application is performing.
[01:18:03.420 --> 01:18:08.420]   So from there, right, just going to come back here, we now want to maybe set up some online scoring.
