
[00:00:00.000 --> 00:00:04.320]   Thank you, Sammy.
[00:51:45.280 --> 00:51:52.840]   So it looks like this is something that should be done for RL.
[00:51:52.840 --> 00:51:57.160]   And in fact, we have a paper on something like this for
[00:51:57.160 --> 00:51:58.000]   a sequence prediction.
[00:52:00.560 --> 00:52:04.840]   This is the kind of work which is at the intersection of dealing with structured
[00:52:04.840 --> 00:52:07.440]   outputs, reinforcement learning, and supervised learning.
[00:52:07.440 --> 00:52:10.960]   So I think there's a lot of potential benefit of
[00:52:10.960 --> 00:52:17.360]   changing the frame of thinking that people in RL have had.
[00:52:17.360 --> 00:52:22.320]   For many decades, people in RL have been not thinking about the world
[00:52:22.320 --> 00:52:24.400]   with the same eyes as people doing neural nets.
[00:52:24.400 --> 00:52:28.880]   They've been thinking about the world in terms of discrete states that
[00:52:28.880 --> 00:52:35.240]   could be enumerated and proving theorems about these algorithms that depend on
[00:52:35.240 --> 00:52:39.000]   essentially collecting enough data to fill all the possible configurations of
[00:52:39.000 --> 00:52:44.000]   the state and their corresponding effects on the reward.
[00:52:44.000 --> 00:52:47.400]   When you start thinking in terms of neural nets and
[00:52:47.400 --> 00:52:50.360]   deep learning, the way to approach problems is very, very different.
[00:52:50.360 --> 00:52:55.760]   Okay, let me continue about unsupervised learning and
[00:52:55.760 --> 00:52:57.160]   why this is so important.
[00:52:58.160 --> 00:53:03.240]   If you look at the kinds of mistakes that our current machine learning algorithms
[00:53:03.240 --> 00:53:08.920]   make, you find that our neural nets are just cheating.
[00:53:08.920 --> 00:53:14.320]   They're using the wrong cues to try to produce the answers.
[00:53:14.320 --> 00:53:15.960]   And sometimes it works, sometimes it doesn't work.
[00:53:15.960 --> 00:53:25.440]   So how can we make our models be smarter, make less mistakes?
[00:53:25.440 --> 00:53:31.760]   Well, The only solution is to make sure that those models
[00:53:31.760 --> 00:53:38.120]   really understand how the world works, at least at the level of humans,
[00:53:38.120 --> 00:53:40.440]   to get human level accuracy, human level performance.
[00:53:40.440 --> 00:53:46.160]   It may be not necessary to do this for a particular problem you're trying to solve.
[00:53:46.160 --> 00:53:50.720]   So maybe we can get away with doing speech recognition without really
[00:53:50.720 --> 00:53:53.360]   understanding the meaning of the words.
[00:53:53.360 --> 00:53:54.560]   Probably that's gonna be okay.
[00:53:55.560 --> 00:54:01.320]   But for other tasks, especially those involving language, I think having
[00:54:01.320 --> 00:54:04.640]   models that actually understand how the world ticks is gonna be very, very important.
[00:54:04.640 --> 00:54:12.720]   So how can we have machines that understand how the world works?
[00:54:12.720 --> 00:54:18.280]   Well, one of the ideas that I've been talking a lot about in the last decade
[00:54:18.280 --> 00:54:22.120]   is that of disentangling factors of variation.
[00:54:22.120 --> 00:54:25.160]   This is related to a very old idea in pattern recognition,
[00:54:25.160 --> 00:54:27.720]   computer vision, called invariance.
[00:54:27.720 --> 00:54:31.760]   The idea of invariance was that we would like to compute or
[00:54:31.760 --> 00:54:35.280]   design, initially design and now learn features, say,
[00:54:35.280 --> 00:54:39.160]   of the image that are invariant to the things we don't care about.
[00:54:39.160 --> 00:54:43.960]   Maybe we wanna do object recognition, so we don't care about position or orientation.
[00:54:43.960 --> 00:54:46.520]   So we would like to have features that are translation invariant,
[00:54:46.520 --> 00:54:49.480]   rotation invariant, scaling invariant, whatever.
[00:54:49.480 --> 00:54:50.880]   So this is what invariance is about.
[00:54:50.880 --> 00:54:53.800]   But when you're in the business of doing unsupervised learning,
[00:54:53.800 --> 00:54:55.880]   of trying to figure out how the world works,
[00:54:55.880 --> 00:54:59.160]   it's not good enough to extract invariant features.
[00:54:59.160 --> 00:55:04.160]   What we actually wanna do is to extract all of the factors that explain the data.
[00:55:04.160 --> 00:55:09.280]   So if we're doing speech recognition, we want not only to extract the phonemes,
[00:55:09.280 --> 00:55:12.600]   but we also want to figure out what kind of voice is that?
[00:55:12.600 --> 00:55:14.120]   Maybe who is it?
[00:55:14.120 --> 00:55:17.960]   What kind of recording conditions or what kind of microphone?
[00:55:17.960 --> 00:55:18.880]   Is it in a car?
[00:55:18.880 --> 00:55:20.320]   Is it outside?
[00:55:20.320 --> 00:55:23.720]   All of that information which you're trying to get rid of normally,
[00:55:23.720 --> 00:55:28.400]   you actually want to learn about, so
[00:55:28.400 --> 00:55:31.440]   that you'll be able to generalize even to new tasks, for example.
[00:55:31.440 --> 00:55:33.880]   Maybe the next day I'm not gonna ask you to recognize phonemes, but
[00:55:33.880 --> 00:55:35.120]   recognize who's speaking.
[00:55:35.120 --> 00:55:41.160]   More generally, if we're able to disentangle these factors that explain
[00:55:41.160 --> 00:55:43.920]   how the data varies, everything becomes easy.
[00:55:43.920 --> 00:55:50.120]   Especially if those factors now can be generated in an independent way,
[00:55:50.120 --> 00:55:51.240]   we can to generate the data.
[00:55:51.240 --> 00:56:00.360]   For example, we can learn to answer a question that only depends on one or
[00:56:00.360 --> 00:56:02.880]   two factors, and basically we have eliminated all the other ones because we
[00:56:02.880 --> 00:56:03.520]   have separated them.
[00:56:03.520 --> 00:56:06.400]   So a lot of things become much easier.
[00:56:06.400 --> 00:56:09.560]   So that's one notion, right?
[00:56:09.560 --> 00:56:10.760]   We can disentangle factors.
[00:56:10.760 --> 00:56:14.760]   There's another notion, which is the notion of multiple levels of abstraction,
[00:56:14.760 --> 00:56:18.040]   which is of course at the heart of what we're trying to do with deep learning.
[00:56:19.040 --> 00:56:25.040]   And the idea is that we can have representations of the world,
[00:56:25.040 --> 00:56:32.320]   representation of the data as a description that involves factors,
[00:56:32.320 --> 00:56:39.880]   or features, and we can do that at multiple levels.
[00:56:39.880 --> 00:56:44.600]   And there are more abstract levels.
[00:56:44.600 --> 00:56:49.000]   So if I'm looking at a document, there's the level of the pixels,
[00:56:49.000 --> 00:56:53.240]   the level of the strokes, the level of the characters, the level of the words,
[00:56:53.240 --> 00:56:55.640]   and maybe the level of the meaning of individual words.
[00:56:55.640 --> 00:56:59.720]   And we actually have systems that will recognize from a scanned document
[00:56:59.720 --> 00:57:00.640]   all of these levels.
[00:57:00.640 --> 00:57:04.360]   When we go higher up, we're not sure what the right levels are, but
[00:57:04.360 --> 00:57:07.760]   clearly there must be representations of the meaning, not just of single words,
[00:57:07.760 --> 00:57:10.480]   but of sequences of words and the whole paragraph.
[00:57:10.480 --> 00:57:11.960]   What's the story?
[00:57:11.960 --> 00:57:14.320]   And why is it important to represent things in that way?
[00:57:15.320 --> 00:57:21.520]   Because higher levels of abstraction are representations
[00:57:21.520 --> 00:57:26.360]   from which it is much easier to do things, to answer questions.
[00:57:26.360 --> 00:57:31.000]   So the more semantic levels mean basically we can
[00:57:31.000 --> 00:57:34.080]   very easily act on the information when it's represented that way.
[00:57:34.080 --> 00:57:38.680]   If we think about the level of words, it's much easier to check whether a particular
[00:57:38.680 --> 00:57:42.080]   word is in the document if I have the words extracted than if I have to do it
[00:57:42.080 --> 00:57:42.600]   from the pixels.
[00:57:44.160 --> 00:57:49.080]   And if I have to answer a complicated question about the intention of the person,
[00:57:49.080 --> 00:57:51.800]   working at level of words is not high enough, it's not abstract enough.
[00:57:51.800 --> 00:57:56.880]   I need to work at a more abstract level in which maybe the same
[00:57:56.880 --> 00:58:01.080]   notion could be represented with many different types of words,
[00:58:01.080 --> 00:58:03.920]   where many different sentences could express the same meaning, and
[00:58:03.920 --> 00:58:05.800]   I wanna be able to capture that meaning.
[00:58:05.800 --> 00:58:13.920]   So the last slide I have is something that I've been working on in
[00:58:13.920 --> 00:58:21.640]   the last couple of years, which is connected to unsupervised learning,
[00:58:21.640 --> 00:58:27.360]   but more generally to the relationship between how
[00:58:27.360 --> 00:58:33.320]   we can build intelligent machines and the intelligence of humans or animals.
[00:58:33.320 --> 00:58:37.840]   And as you may know, this was one of the key
[00:58:37.840 --> 00:58:40.480]   motivations for doing neural nets in the first place.
[00:58:41.720 --> 00:58:49.080]   The intuition is this, that we are hoping that there are a few simple
[00:58:49.080 --> 00:58:55.720]   key principles that explain what allows us to be intelligent.
[00:58:55.720 --> 00:58:59.360]   And that if we can discover these principles,
[00:58:59.360 --> 00:59:02.000]   of course, we can also build machines that are intelligent.
[00:59:02.000 --> 00:59:09.080]   That's why the neural nets were inspired by things we know from the brain in
[00:59:09.080 --> 00:59:09.760]   the first place.
[00:59:10.760 --> 00:59:18.280]   We don't know if this is true, but if it is, then it's great.
[00:59:18.280 --> 00:59:22.320]   And I mean, this would make it much easier to understand how brains work,
[00:59:22.320 --> 00:59:23.400]   as well as building AI.
[00:59:23.400 --> 00:59:30.600]   So in trying to bridge this gap, because right now,
[00:59:30.600 --> 00:59:34.560]   our best neural nets are very, very different from what's going on in brains,
[00:59:34.560 --> 00:59:37.960]   as far as we can tell by talking to neuroscientists.
[00:59:39.640 --> 00:59:45.960]   In particular, backprop, although it's
[00:59:45.960 --> 00:59:50.480]   kicking ass from a machine learning point of view, it's not clear at all how
[00:59:50.480 --> 00:59:52.680]   something like this would be implemented in brains.
[00:59:52.680 --> 00:59:59.480]   So I've been trying to explore that, and also trying to see how we could
[00:59:59.480 --> 01:00:03.680]   generalize those credit assignment principles that would come out
[01:00:03.680 --> 01:00:07.560]   in order to also do unsupervised learning.
[01:00:08.880 --> 01:00:13.240]   So we've made a little bit of progress.
[01:00:13.240 --> 01:00:17.440]   A couple of years ago, I came up with an idea called target prop,
[01:00:17.440 --> 01:00:23.440]   which is a way of generalizing backprop to
[01:00:23.440 --> 01:00:28.080]   propagating targets for each layer.
[01:00:28.080 --> 01:00:31.760]   Of course, this idea has a long history.
[01:00:34.040 --> 01:00:39.800]   More recently, we've been looking at ways to
[01:00:39.800 --> 01:00:44.840]   implement gradient estimation in deep recurrent networks
[01:00:44.840 --> 01:00:52.320]   that perform some computation that turn out to end up with
[01:00:52.320 --> 01:00:56.840]   parameter updates corresponding to gradient descent in the prediction error
[01:00:56.840 --> 01:01:01.840]   that look like something that neuroscientists have been observing and
[01:01:01.840 --> 01:01:05.440]   don't completely understand called STDP, spike timing dependent plasticity.
[01:01:05.440 --> 01:01:12.200]   So I don't really have time to go into this, but I think this whole area
[01:01:12.200 --> 01:01:18.400]   of reconnecting neuroscience with machine learning and neural nets is
[01:01:18.400 --> 01:01:22.480]   something that has been kind of forgotten by the machine learning community because
[01:01:22.480 --> 01:01:24.640]   we're all so busy building self-driving cars.
[01:01:24.640 --> 01:01:29.680]   >> [LAUGH] >> But I think over the long term,
[01:01:29.680 --> 01:01:34.840]   it's a very exciting prospect.
[01:01:34.840 --> 01:01:35.480]   Thank you very much.
[01:01:35.480 --> 01:01:45.480]   >> [APPLAUSE]
[01:01:45.480 --> 01:01:50.200]   >> Yes, questions?
[01:01:50.200 --> 01:01:50.700]   Yeah?
[01:01:50.700 --> 01:02:01.540]   >> To begin with, great talk.
[01:02:01.540 --> 01:02:06.300]   My question is regarding the lack of interlap between the results in
[01:02:06.300 --> 01:02:11.340]   the study of complex networks, like when they study the brain networks, right?
[01:02:11.340 --> 01:02:16.180]   There are a lot of publications that talk about the emergence of hubs, and
[01:02:16.180 --> 01:02:19.660]   especially a lot of publications on the degree distribution of
[01:02:19.660 --> 01:02:21.020]   the interneuron network.
[01:02:21.020 --> 01:02:21.940]   >> Right, right.
[01:02:21.940 --> 01:02:26.740]   >> But then when you look at the degree distribution of the so-called neurons in
[01:02:26.740 --> 01:02:30.940]   deep nets, you don't get to see the emergence of the hub behavior.
[01:02:30.940 --> 01:02:36.100]   So why do you think that there's such lack of overlap between the results?
[01:02:36.100 --> 01:02:41.620]   >> Because I think the hub story is maybe not that important.
[01:02:41.620 --> 01:02:47.460]   First of all, I really think that in order to understand the brain,
[01:02:47.460 --> 01:02:49.660]   you have to understand learning in the brain.
[01:02:49.660 --> 01:02:55.580]   And if we look at our experience in machine learning and deep learning,
[01:02:55.580 --> 01:03:00.940]   although the architecture does matter, what matters even more
[01:03:00.940 --> 01:03:04.220]   is the general principles that allow us to train these things.
[01:03:04.220 --> 01:03:11.140]   So I think the study of the connectivity makes sense.
[01:03:11.140 --> 01:03:13.420]   You can't have a fully connected thing and
[01:03:14.620 --> 01:03:18.540]   adding a way to have a short number of hubs to go from anywhere to anywhere is
[01:03:18.540 --> 01:03:26.060]   a reasonable idea, but I don't think it really explains that much.
[01:03:26.060 --> 01:03:30.500]   The central question is, how does the brain learn complicated things?
[01:03:30.500 --> 01:03:35.820]   And it does it better than our current machines,
[01:03:35.820 --> 01:03:41.220]   yet we don't know even a simple way of training
[01:03:42.660 --> 01:03:45.740]   brains that at least fits the biology reasonably.
[01:03:45.740 --> 01:03:48.820]   Yeah?
[01:03:48.820 --> 01:03:52.900]   >> There any cases of real world examples where the curse of
[01:03:52.900 --> 01:03:55.140]   dimensionality is still a problem for neural nets?
[01:03:55.140 --> 01:03:58.940]   >> Yeah, anytime it doesn't work.
[01:03:58.940 --> 01:04:01.100]   >> [LAUGH] >> I mean,
[01:04:01.100 --> 01:04:02.820]   from a generalization point of view.
[01:04:02.820 --> 01:04:11.260]   So Andrew told us yesterday that we can just add more data and
[01:04:11.260 --> 01:04:14.580]   computing power and for some problems this may work.
[01:04:14.580 --> 01:04:19.620]   But sometimes the amount of data you would need is just too large
[01:04:19.620 --> 01:04:21.700]   with our current techniques.
[01:04:21.700 --> 01:04:29.300]   And we'll need also to develop, how did you call it, the Hail Mary.
[01:04:29.300 --> 01:04:30.540]   All right?
[01:04:30.540 --> 01:04:33.500]   We also need to do some research on the algorithms and
[01:04:33.500 --> 01:04:40.140]   the architectures to be able to learn about how the world is organized so
[01:04:40.140 --> 01:04:43.220]   that we can generalize in much more powerful ways.
[01:04:43.220 --> 01:04:51.060]   And that is needed because the kind of task we want to solve involve many,
[01:04:51.060 --> 01:04:54.820]   many variables that have an exponentially large number of possible values.
[01:04:54.820 --> 01:04:57.300]   And that's the curse of dimensionality essentially.
[01:04:57.300 --> 01:05:02.020]   So it's facing pretty much all of the AI problems around us.
[01:05:02.020 --> 01:05:08.380]   >> Hi, I have a question on multi-agent reinforcement learning.
[01:05:08.380 --> 01:05:09.100]   >> Yeah.
[01:05:09.100 --> 01:05:15.140]   >> If you assume all cars can never predict all possible potential accidents,
[01:05:15.140 --> 01:05:19.940]   what about the potential for transfer learning and things like that?
[01:05:19.940 --> 01:05:25.220]   >> Yeah, so I was giving an example of a single human learning how to drive.
[01:05:25.220 --> 01:05:31.460]   We might be able to use the millions of people using self-driving cars,
[01:05:31.460 --> 01:05:35.220]   correcting, and some of them making accidents to actually make some progress
[01:05:35.220 --> 01:05:37.660]   without actually solving the hard problems.
[01:05:37.660 --> 01:05:40.020]   And this is probably what you're going to be doing for a while.
[01:05:40.020 --> 01:05:42.940]   But, and we should do it.
[01:05:42.940 --> 01:05:45.140]   We should definitely use all the data we have.
[01:05:45.140 --> 01:05:47.300]   Currently, if you look at the amount of data we're using for
[01:05:47.300 --> 01:05:49.460]   speech recognition or language modeling,
[01:05:49.460 --> 01:05:54.660]   it's hugely more than what any human actually sees in their lifetime.
[01:05:54.660 --> 01:05:57.180]   So we're doing something wrong.
[01:05:57.180 --> 01:06:01.780]   And we could do better with less data.
[01:06:01.780 --> 01:06:04.940]   And babies and kids can do it.
[01:06:04.940 --> 01:06:10.820]   >> [COUGH]
[01:06:10.820 --> 01:06:11.820]   >> Yes.
[01:06:11.820 --> 01:06:15.180]   >> Well, so one thing that strikes me is that most of this training,
[01:06:15.180 --> 01:06:18.900]   like for images, it's done on static images.
[01:06:18.900 --> 01:06:21.500]   >> Well, there's quite a bit of work on video these days.
[01:06:21.500 --> 01:06:22.180]   >> Okay.
[01:06:22.180 --> 01:06:24.220]   >> It's mostly a computational bottleneck.
[01:06:24.220 --> 01:06:29.540]   >> I mean, I've seen dogs generated by GANs, right?
[01:06:29.540 --> 01:06:30.460]   >> Yeah.
[01:06:30.460 --> 01:06:33.100]   Well, keep in mind we were doing MNIST just a couple of years ago.
[01:06:33.100 --> 01:06:39.020]   >> Yeah, but if you see a dog [INAUDIBLE]
[01:06:39.020 --> 01:06:40.540]   >> Yeah, absolutely.
[01:06:40.540 --> 01:06:44.140]   Yeah, I don't think it's a fundamental issue.
[01:06:44.140 --> 01:06:48.500]   If we're able to do it well on static images,
[01:06:48.500 --> 01:06:52.140]   the same principles will allow us to do sequences.
[01:06:52.140 --> 01:06:55.260]   We're already doing sequential things.
[01:06:55.260 --> 01:07:01.780]   For example, an interesting project is speech synthesis with recurrent nets and
[01:07:01.780 --> 01:07:04.180]   stuff like that, or convolutional nets, whatever.
[01:07:04.180 --> 01:07:10.260]   So it's more like we're not sure how to train them well and
[01:07:10.260 --> 01:07:13.980]   how to discover these explanatory factors and so on.
[01:07:13.980 --> 01:07:14.660]   That's my view.
[01:07:14.660 --> 01:07:18.340]   Yeah? >> I have a question,
[01:07:18.340 --> 01:07:19.580]   maybe non-technical.
[01:07:19.580 --> 01:07:25.220]   So we have seen the human error rates versus our algorithms error rates for
[01:07:25.220 --> 01:07:29.260]   things that we are used to, like image recognition, speech recognition.
[01:07:29.260 --> 01:07:29.860]   >> Right, right.
[01:07:29.860 --> 01:07:33.980]   >> So has there ever been an experiment where we try to train humans for
[01:07:33.980 --> 01:07:35.620]   things that we are not used to?
[01:07:35.620 --> 01:07:37.660]   >> Right. >> And not train the machine at
[01:07:37.660 --> 01:07:39.380]   the same time and see.
[01:07:39.380 --> 01:07:41.540]   >> Right. >> So how capable are algorithms?
[01:07:41.540 --> 01:07:43.340]   >> You're asking if these experiments have been done?
[01:07:43.340 --> 01:07:45.140]   >> Yeah, yeah.
[01:07:45.140 --> 01:07:49.340]   >> I don't know, but I'm sure the humans would beat the hell out of the machines,
[01:07:49.340 --> 01:07:49.840]   for now.
[01:07:49.840 --> 01:07:55.340]   For this kind of thing, humans are able to learn a new task or
[01:07:55.340 --> 01:07:58.020]   new concepts from very few examples.
[01:07:58.020 --> 01:08:01.420]   And we know that in order for machines to do as well,
[01:08:01.420 --> 01:08:04.660]   they just need more sort of common sense, right?
[01:08:04.660 --> 01:08:06.220]   More general knowledge of the world.
[01:08:06.220 --> 01:08:09.620]   This is what allows humans to learn so quickly on a few examples.
[01:08:09.620 --> 01:08:12.260]   Yeah?
[01:08:12.260 --> 01:08:15.980]   >> You presented experimental data where you showed that lots of local minima for
[01:08:15.980 --> 01:08:18.220]   these parameters, or maybe saddle points.
[01:08:18.220 --> 01:08:19.220]   >> Saddle points.
[01:08:19.220 --> 01:08:20.820]   >> Have similar performance.
[01:08:20.820 --> 01:08:22.260]   >> Yeah. >> Are these saddle points-
[01:08:22.260 --> 01:08:23.260]   >> Well, no, the local minima,
[01:08:23.260 --> 01:08:24.660]   that's the local minima, yeah.
[01:08:24.700 --> 01:08:29.860]   >> Are these local minima separated widely in parameter space, or are they close by?
[01:08:29.860 --> 01:08:31.620]   >> That's a good question, I could- >> And
[01:08:31.620 --> 01:08:34.060]   I guess a related question is, once you've trained the network,
[01:08:34.060 --> 01:08:38.900]   if there are lots of local minima, does that suggest that you could compress
[01:08:38.900 --> 01:08:41.420]   the network and represent it with far fewer parameters?
[01:08:41.420 --> 01:08:47.100]   >> Maybe.
[01:08:47.100 --> 01:08:51.940]   So for your first question, we have some experiments dating from 2009,
[01:08:51.940 --> 01:08:58.420]   where we try to visualize in 2D the trajectories of training.
[01:08:58.420 --> 01:09:03.820]   So this is a paper, first author is Dmitri Aron, former PhD students with me,
[01:09:03.820 --> 01:09:09.260]   where we wanted to see how, depending on where you start,
[01:09:09.260 --> 01:09:12.100]   where do you end up?
[01:09:12.100 --> 01:09:15.660]   Do different trajectories end up in the same place?
[01:09:15.660 --> 01:09:16.940]   Or do they all go in a different place?
[01:09:16.940 --> 01:09:19.260]   Turns out they all go in a different place.
[01:09:19.260 --> 01:09:22.780]   And so the number of local minima is much larger than the number of trajectories
[01:09:22.780 --> 01:09:26.340]   that we tried, like 500 or 1,000.
[01:09:26.340 --> 01:09:32.460]   It's so much larger that no two random initial Cs end up near each other.
[01:09:32.460 --> 01:09:35.580]   So it looks like there's a huge number of local minima,
[01:09:35.580 --> 01:09:39.100]   which is in agreement with the theory that there's an exponential number of them.
[01:09:39.100 --> 01:09:42.340]   But the good news is they're all kind of equivalent in terms of cost,
[01:09:42.340 --> 01:09:43.580]   if you have a large network.
[01:09:44.580 --> 01:09:52.100]   >> Is that just compressibility at all, or how can you?
[01:09:52.100 --> 01:09:53.380]   >> I'm not sure.
[01:09:53.380 --> 01:09:56.540]   I'm sure there are many ways to compress these networks.
[01:09:56.540 --> 01:09:58.460]   There's a lot of redundancy in many ways.
[01:09:58.460 --> 01:10:05.140]   There are redundancies due to the numbering.
[01:10:05.140 --> 01:10:11.180]   Like you could flip all, take that unit, put it here, take that unit, put it here,
[01:10:11.180 --> 01:10:11.680]   and so on.
[01:10:13.540 --> 01:10:15.420]   But I don't think you're going to gain a lot of bits from that.
[01:10:15.420 --> 01:10:22.580]   >> So we've talked about that one of the main advantages of deep learning is that
[01:10:22.580 --> 01:10:25.260]   it can work with lots of data.
[01:10:25.260 --> 01:10:29.460]   But you were mentioning before that we need also to
[01:10:29.460 --> 01:10:33.060]   capture the ability of humans of working with fewer data.
[01:10:33.060 --> 01:10:37.780]   >> Yeah, but the reason we're able to work with fewer data is because we have first
[01:10:37.780 --> 01:10:43.260]   learned from a lot of data about the general knowledge of the world.
[01:10:43.260 --> 01:10:48.660]   >> Right, so how can we adapt neural networks to
[01:10:48.660 --> 01:10:51.660]   bring us to this new few data paradigm?
[01:10:51.660 --> 01:10:57.140]   >> We have to do a lot better at unsupervised learning, and
[01:10:57.140 --> 01:11:01.020]   of the kind that really discovers sort of explanations about the world.
[01:11:01.020 --> 01:11:01.580]   That's what I think.
[01:11:01.580 --> 01:11:09.260]   >> Okay, let's thank Yeshua again.
[01:11:09.260 --> 01:11:14.860]   >> [APPLAUSE]
[01:11:14.860 --> 01:11:18.300]   >> So before we stop this workshop,
[01:11:18.300 --> 01:11:23.820]   first an announcement you might remember yesterday,
[01:11:23.820 --> 01:11:28.220]   Carl invited all the women here for an informal dinner.
[01:11:28.220 --> 01:11:33.340]   It's going to be right outside right now after we close.
[01:11:33.340 --> 01:11:38.500]   So before we close, actually, I'd like to thank all the speakers today and yesterday.
[01:11:38.500 --> 01:11:43.260]   I think everybody appreciated their talk, so thanks again, all of you.
[01:11:43.260 --> 01:11:50.020]   >> [APPLAUSE]
[01:11:50.020 --> 01:11:51.980]   >> And thanks to all the attendants,
[01:11:51.980 --> 01:11:54.100]   I think it was a very nice weekend.
[01:11:54.100 --> 01:11:54.780]   Hope you enjoyed.
[01:11:54.780 --> 01:11:59.540]   >> [APPLAUSE]

