
[00:00:00.940 --> 00:00:02.680]   - Well, welcome gentlemen.
[00:36:36.700 --> 00:36:40.140]   We've been meeting for about something like 11 years.
[00:36:40.140 --> 00:36:43.340]   We've seen something like 20 people.
[00:36:43.340 --> 00:36:46.460]   We took stock this week to try to think through.
[00:36:46.460 --> 00:36:48.220]   When you get this kind of word,
[00:36:48.220 --> 00:36:51.900]   you will become a theologian, one way or another.
[00:36:51.900 --> 00:36:56.900]   You will either be a theologian that is solidly biblical
[00:36:56.900 --> 00:37:00.060]   and right and good, or you'll be a bad theologian.
[00:37:00.060 --> 00:37:01.140]   You'll be blaming God.
[00:37:01.140 --> 00:37:02.740]   One way or another.
[00:37:02.740 --> 00:37:07.460]   So, focusing on truth is sometimes extremely important.
[00:37:07.460 --> 00:37:10.240]   We've looked at the reality of aging.
[00:37:10.240 --> 00:37:14.180]   This last time we met, we looked at the importance
[00:37:14.180 --> 00:37:17.060]   of being created in the image of God, the imago dei.
[00:37:17.060 --> 00:37:20.980]   How is it that we treat the individual,
[00:37:20.980 --> 00:37:22.380]   the family who's going through that?
[00:37:22.380 --> 00:37:25.100]   We remember that they are in the image of God.
[00:37:25.100 --> 00:37:27.320]   We remember the reality of the fall.
[00:37:28.300 --> 00:37:30.580]   Truth helps.
[00:37:30.580 --> 00:37:33.740]   Sometimes it's the only help that you're going to have
[00:37:33.740 --> 00:37:36.280]   when you're going through that crisis.
[00:37:36.280 --> 00:37:38.820]   Next question, pastor.
[00:37:38.820 --> 00:37:41.900]   And this is actually a pastor who's giving the question.
[00:37:41.900 --> 00:37:45.540]   I've given everything I've had, I could,
[00:37:45.540 --> 00:37:47.780]   to the sermon I just preached.
[00:37:47.780 --> 00:37:51.360]   Time away from my family, time away from my kids.
[00:37:51.360 --> 00:37:53.320]   I worked hard into the evening.
[00:37:54.260 --> 00:37:58.860]   I poured out my heart, and I go into the office
[00:37:58.860 --> 00:38:02.960]   on Monday morning, and I've got half a dozen emails
[00:38:02.960 --> 00:38:04.380]   from people who listen to me,
[00:38:04.380 --> 00:38:06.200]   and they're just ripping me apart.
[00:38:06.200 --> 00:38:10.040]   Or you could change the scenario and say,
[00:38:10.040 --> 00:38:12.320]   I've been counseling this couple
[00:38:12.320 --> 00:38:14.160]   for the longest period of time.
[00:38:14.160 --> 00:38:19.200]   Now I open up the newspaper, or I turn on the internet,
[00:38:19.200 --> 00:38:22.100]   and I see my name being just ripped to shreds.
[00:38:22.100 --> 00:38:23.300]   Never thought of that.
[00:38:23.300 --> 00:38:24.420]   Never thought of that.
[00:38:24.420 --> 00:38:29.260]   How does truth triumph?
[00:38:29.260 --> 00:38:32.220]   How does truth help you to cope in that?
[00:38:32.220 --> 00:38:33.040]   Tom.
[00:38:33.040 --> 00:38:39.000]   - I'm gonna do something a little bit different here.
[00:38:39.000 --> 00:38:41.380]   I, not that I don't know the answer,
[00:38:41.380 --> 00:38:42.780]   'cause I'm just gonna do what Carl says and be silent.
[00:38:42.780 --> 00:38:43.980]   - Giving Bill time to think.
[00:38:43.980 --> 00:38:45.340]   - No, no, no, no.
[00:38:45.340 --> 00:38:47.300]   - I don't know the answer, Tom, so please.
[00:38:47.300 --> 00:38:50.500]   - I would, I really want to, I'm not trying to forgo it,
[00:38:50.500 --> 00:38:52.740]   but I think we only have like 20 something minutes.
[00:38:52.740 --> 00:38:54.260]   I want to hear from you guys.
[00:38:54.260 --> 00:38:55.660]   I want to hear questions that you have,
[00:38:55.660 --> 00:38:57.860]   and if that's your question, I'd love to answer it,
[00:38:57.860 --> 00:39:00.180]   but I'd love to know what's on your all's hearts, too.
[00:39:00.180 --> 00:39:01.740]   So when you come for a question and answer,
[00:39:01.740 --> 00:39:04.800]   I want it to be at least partially towards you as well.
[00:39:04.800 --> 00:39:05.660]   Is that okay?
[00:39:05.660 --> 00:39:06.860]   So do you have a question?
[00:39:06.860 --> 00:39:08.100]   If you could walk up to the mics
[00:39:08.100 --> 00:39:10.640]   and ask something for us for the last 20 minutes
[00:39:10.640 --> 00:39:13.900]   so that we can, I want to know what's on your heart,
[00:39:13.900 --> 00:39:16.220]   and if your heart is about those emails,
[00:39:16.220 --> 00:39:19.820]   then I'd just say be silent, be kind.
[00:39:19.820 --> 00:39:21.800]   The longer the email, the shorter the response.
[00:39:21.800 --> 00:39:22.640]   That's what I say.
[00:39:22.640 --> 00:39:24.380]   - All right, so we've got an answer.
[00:39:24.380 --> 00:39:26.860]   I was gonna overrule the brother.
[00:39:26.860 --> 00:39:27.700]   - That's the answer.
[00:39:27.700 --> 00:39:29.100]   - All right. - There you go.
[00:39:29.100 --> 00:39:30.980]   - Committed to Christ.
[00:39:30.980 --> 00:39:31.860]   - All right.
[00:39:31.860 --> 00:39:32.700]   - Thank you.
[00:39:32.700 --> 00:39:34.340]   - I wanted to know how Grace Church
[00:39:34.340 --> 00:39:38.740]   handles a divisive person, or identifies a divisive person
[00:39:38.740 --> 00:39:40.740]   versus somebody that's hard to handle.
[00:39:40.740 --> 00:39:43.700]   And especially, too, if they want to come back
[00:39:43.700 --> 00:39:47.100]   to your church, is there a re-matriculation?
[00:39:49.660 --> 00:39:53.480]   And as far as the, when they first come to Grace Church,
[00:39:53.480 --> 00:39:57.320]   I've heard good that they don't have to subscribe
[00:39:57.320 --> 00:39:59.920]   to everything in the doctrinal statement perfectly,
[00:39:59.920 --> 00:40:01.280]   'cause you want to give people
[00:40:01.280 --> 00:40:03.640]   that are new to the scripture more time.
[00:40:03.640 --> 00:40:05.080]   This church is by me in New York,
[00:40:05.080 --> 00:40:06.960]   where they have the 1689 Confession,
[00:40:06.960 --> 00:40:08.840]   and you gotta subscribe to it
[00:40:08.840 --> 00:40:10.080]   as soon as you come to the church.
[00:40:10.080 --> 00:40:12.420]   So speak to those issues for me.
[00:40:12.420 --> 00:40:13.260]   - Gentleman?
[00:40:13.260 --> 00:40:15.880]   - I think for the divisive person, if I may speak to that,
[00:40:15.880 --> 00:40:19.560]   I mean, Titus 3.10, they would be put out of the church.
[00:40:19.560 --> 00:40:20.540]   - Some of the characteristics?
[00:40:20.540 --> 00:40:23.580]   - Yeah, that person who is divisive, you know, divisive.
[00:40:23.580 --> 00:40:25.340]   What is a divisive person?
[00:40:25.340 --> 00:40:26.980]   They would be calling up others
[00:40:26.980 --> 00:40:28.380]   and saying the pastor did this,
[00:40:28.380 --> 00:40:29.780]   or the pastor's wife did this,
[00:40:29.780 --> 00:40:32.260]   or they're talking about the doctrine then.
[00:40:32.260 --> 00:40:34.340]   They could be divisive with the doctrine.
[00:40:34.340 --> 00:40:37.180]   Those kinds of things, they should be put out of the church.
[00:40:37.180 --> 00:40:39.640]   Matter of fact, we did it in one week once,
[00:40:39.640 --> 00:40:41.300]   where the fellow said that on a Sunday,
[00:40:41.300 --> 00:40:42.980]   and next Sunday he was gone.
[00:40:42.980 --> 00:40:45.660]   Because you don't want the church to be divided.
[00:40:45.660 --> 00:40:46.580]   That's one thing.
[00:40:46.580 --> 00:40:48.100]   How do you get 'em back?
[00:40:48.100 --> 00:40:49.180]   How do you get 'em back?
[00:40:49.180 --> 00:40:51.380]   That's gonna take some time.
[00:40:51.380 --> 00:40:53.420]   The elders are gonna have to sit down with him
[00:40:53.420 --> 00:40:56.580]   and talk with him, or her, and work through the issues.
[00:40:56.580 --> 00:40:59.740]   It's not just one sitting that you spend 15, 20,
[00:40:59.740 --> 00:41:02.100]   an hour minute, an hour with them.
[00:41:02.100 --> 00:41:04.560]   You need to spend time, because you wanna make sure
[00:41:04.560 --> 00:41:06.180]   the person that's coming back
[00:41:06.180 --> 00:41:08.260]   actually knows what they did wrong-going.
[00:41:08.260 --> 00:41:12.620]   And some of 'em don't understand that sometimes.
[00:41:12.620 --> 00:41:14.260]   They can have doctrinal differences.
[00:41:14.260 --> 00:41:17.560]   You know, if you wanna believe in certain things,
[00:41:17.560 --> 00:41:21.460]   that's okay, there are certain key doctrines
[00:41:21.460 --> 00:41:23.060]   that they must believe.
[00:41:23.060 --> 00:41:25.940]   It's like, I had this couple for counseling once,
[00:41:25.940 --> 00:41:27.500]   and I asked for their testimony.
[00:41:27.500 --> 00:41:28.820]   He's like, "Al, give me your testimony."
[00:41:28.820 --> 00:41:30.860]   And I'm in my mind going, "I don't know."
[00:41:30.860 --> 00:41:32.540]   The guy gave me his testimony, and they said,
[00:41:32.540 --> 00:41:34.660]   "But I don't believe that Jesus is God."
[00:41:34.660 --> 00:41:37.180]   I said, "You just made that easy for me.
[00:41:37.180 --> 00:41:39.460]   "You're not a Christian."
[00:41:39.460 --> 00:41:40.860]   I mean, I did that immediately.
[00:41:40.860 --> 00:41:42.940]   He said, "You're not a," he started arguing.
[00:41:42.940 --> 00:41:46.020]   I said, "We'll get to that, okay, we'll get to that.
[00:41:46.020 --> 00:41:47.360]   "We'll talk about that."
[00:41:47.360 --> 00:41:50.020]   But you obviously have a terrible marriage.
[00:41:50.020 --> 00:41:51.420]   Let's work on that a little bit.
[00:41:51.420 --> 00:41:53.220]   But let's get that.
[00:41:53.220 --> 00:41:55.100]   You understand, you're not a Christian.
[00:41:55.100 --> 00:41:56.740]   So I think those are the kinds of things.
[00:41:56.740 --> 00:41:57.580]   - Guys, wanna add to anything?
[00:41:57.580 --> 00:42:00.780]   - Well, you asked a question about re-matriculation.
[00:42:00.780 --> 00:42:03.700]   If they're repentant, sure.
[00:42:03.700 --> 00:42:06.420]   But what Bill is saying, observation based on
[00:42:06.420 --> 00:42:11.420]   the gravity of why they left, and that may take longer,
[00:42:11.420 --> 00:42:14.780]   could be a shorter period of time,
[00:42:14.780 --> 00:42:16.740]   based on how repentant they are.
[00:42:16.740 --> 00:42:19.400]   We wanna restore, Galatians, we wanna restore.
[00:42:19.400 --> 00:42:21.680]   We wanna set the bone in order again.
[00:42:21.680 --> 00:42:24.720]   But we have to look out for the flock.
[00:42:24.720 --> 00:42:27.000]   - Factious and divisive conduct, by the way,
[00:42:27.000 --> 00:42:28.840]   is recognized as a public sin.
[00:42:28.840 --> 00:42:33.840]   Calvin points this out, that will require quicker action
[00:42:33.840 --> 00:42:36.440]   to protect the flock on the part of the elders.
[00:42:36.440 --> 00:42:39.160]   - A lady once said to me that she didn't believe
[00:42:39.160 --> 00:42:40.280]   although we believe the grace.
[00:42:40.280 --> 00:42:42.120]   I said, "What do you believe that we don't?"
[00:42:42.120 --> 00:42:44.760]   She said, "Speaking in tongues."
[00:42:44.760 --> 00:42:47.340]   I said, "Well, you can become a member still."
[00:42:47.340 --> 00:42:48.460]   She wanted to become a member.
[00:42:48.460 --> 00:42:52.300]   "But you just don't go around professing that as doctrine."
[00:42:52.300 --> 00:42:53.780]   Three years later, she walks up to me,
[00:42:53.780 --> 00:42:54.940]   she says, "Well, I believe like you do."
[00:42:54.940 --> 00:42:57.660]   I said, "Can you please tell me what I believe?"
[00:42:57.660 --> 00:42:59.740]   I want you to tell me and articulate that.
[00:42:59.740 --> 00:43:02.500]   And she said, "Well, I realize speaking in tongues
[00:43:02.500 --> 00:43:03.820]   "is not something for today."
[00:43:03.820 --> 00:43:06.240]   - Sure, if we can make the distinction,
[00:43:06.240 --> 00:43:08.340]   we believe that if you're part of the body of Christ,
[00:43:08.340 --> 00:43:11.580]   you, at least in theory, should be able to be a part
[00:43:11.580 --> 00:43:13.660]   of our church, a member of our church.
[00:43:13.660 --> 00:43:15.840]   That does not mean that you're going to be asked
[00:43:15.840 --> 00:43:20.680]   to teach a Bible study or lead a fellowship group.
[00:43:20.680 --> 00:43:21.520]   - Yeah. - Okay.
[00:43:21.520 --> 00:43:22.340]   - All right, thank you.
[00:43:22.340 --> 00:43:24.020]   Over here, Chris. - Over here, Chris.
[00:43:24.020 --> 00:43:24.860]   - Hi, thank you.
[00:43:24.860 --> 00:43:27.620]   - There we go.
[00:43:27.620 --> 00:43:30.180]   - Hi, I had a question in...
[00:43:30.180 --> 00:43:33.740]   - Okay. - Okay.
[00:43:33.740 --> 00:43:36.060]   - In a conference about truth triumphs,
[00:43:36.060 --> 00:43:38.540]   there's definitely big theological differences
[00:43:38.540 --> 00:43:40.500]   between John MacArthur and John Piper.
[00:43:40.500 --> 00:43:42.540]   So, and then you have another category
[00:43:42.540 --> 00:43:44.900]   of like Romans 14 issues of conscience issues.
[00:43:44.900 --> 00:43:47.980]   So, how do you stand for the truth dogmatically,
[00:43:47.980 --> 00:43:51.740]   but also leave the door open for disagreements
[00:43:51.740 --> 00:43:54.740]   on other matters and then disagreements on conscience issues?
[00:43:54.740 --> 00:43:57.600]   - Well, something that it's kind of alluded to
[00:43:57.600 --> 00:44:00.300]   by the first man's question as well is,
[00:44:00.300 --> 00:44:03.300]   we have a statement here that's been very specifically
[00:44:03.300 --> 00:44:07.360]   called what we teach, not what we believe,
[00:44:07.360 --> 00:44:09.660]   because we have thousands of people here
[00:44:09.660 --> 00:44:11.580]   that might believe different things.
[00:44:11.580 --> 00:44:13.420]   But this is what we teach from the pulpit.
[00:44:13.420 --> 00:44:15.860]   So, that's a very important distinction right off the bat.
[00:44:15.860 --> 00:44:17.460]   So, yes, there's differences
[00:44:17.460 --> 00:44:20.760]   between John MacArthur and John Piper.
[00:44:20.760 --> 00:44:22.620]   And we used to joke about the fact
[00:44:22.620 --> 00:44:24.260]   when R.C. would come here and preach
[00:44:24.260 --> 00:44:26.640]   that we'd love to have him come here and preach,
[00:44:26.640 --> 00:44:28.860]   but he wouldn't join the church
[00:44:28.860 --> 00:44:31.060]   because he wouldn't want to join our church
[00:44:31.060 --> 00:44:33.220]   because we wouldn't let him teach.
[00:44:33.220 --> 00:44:36.220]   So... (audience laughing)
[00:44:36.220 --> 00:44:39.460]   And he wouldn't want to
[00:44:39.460 --> 00:44:41.260]   'cause there's no way he'd wanna join a church
[00:44:41.260 --> 00:44:42.980]   that wasn't a preterist.
[00:44:42.980 --> 00:44:45.840]   Anyway, so, but the point being is,
[00:44:45.840 --> 00:44:49.600]   so we can, as Bill said, as Carl has alluded to as well,
[00:44:49.600 --> 00:44:52.860]   you can come here and believe our soteriology,
[00:44:52.860 --> 00:44:54.380]   you can believe different aspects
[00:44:54.380 --> 00:44:58.220]   of the doctrine of sin, et cetera,
[00:44:58.220 --> 00:44:59.300]   but when it comes to some things,
[00:44:59.300 --> 00:45:01.740]   and it's always eschatology and it's always the gifts,
[00:45:01.740 --> 00:45:03.260]   that's what it boils down to.
[00:45:03.260 --> 00:45:04.940]   Sometimes it has to do, lately,
[00:45:04.940 --> 00:45:06.980]   with some aspects of the atonement,
[00:45:06.980 --> 00:45:08.460]   but usually it's those two things.
[00:45:08.460 --> 00:45:13.460]   Then we try to say we're all in process of learning.
[00:45:13.460 --> 00:45:15.520]   If you have a teachable spirit,
[00:45:15.520 --> 00:45:17.980]   I think this might be what you're asking, I'm not sure,
[00:45:17.980 --> 00:45:20.140]   then you can, of course, be here
[00:45:20.140 --> 00:45:21.420]   and we wanna come alongside.
[00:45:21.420 --> 00:45:22.700]   If you become divisive
[00:45:22.700 --> 00:45:25.340]   or you wanna teach a Bible study, like we said,
[00:45:25.340 --> 00:45:28.660]   or you want to make your stand,
[00:45:28.660 --> 00:45:30.740]   then you're not gonna be happy here.
[00:45:30.740 --> 00:45:31.580]   Why would you be here?
[00:45:31.580 --> 00:45:32.700]   You wanna go someplace else.
[00:45:32.700 --> 00:45:34.620]   People go, well, you're the only Reformed church
[00:45:34.620 --> 00:45:37.460]   that's in the neighborhood or in the area, maybe the state,
[00:45:37.460 --> 00:45:40.820]   and we're sitting there saying, well, that might be true,
[00:45:40.820 --> 00:45:43.180]   but can we just agree, while you're here,
[00:45:43.180 --> 00:45:46.020]   on those things, like the deity of Jesus,
[00:45:46.020 --> 00:45:49.060]   like the doctrine of atonement,
[00:45:49.060 --> 00:45:52.420]   and not major on those things that are secondary
[00:45:52.420 --> 00:45:54.340]   until they become primary in your mind
[00:45:54.340 --> 00:45:56.140]   and then we have to address them.
[00:45:56.140 --> 00:45:58.700]   And that takes a lot of sensitivity
[00:45:58.700 --> 00:46:00.060]   to the nuances of that.
[00:46:00.060 --> 00:46:01.920]   That's not a hard and fast thing.
[00:46:01.920 --> 00:46:05.020]   That's through hours of counseling and talking to people
[00:46:05.020 --> 00:46:06.720]   and trying to be sensitive to that.
[00:46:06.720 --> 00:46:11.560]   - 1 Corinthians 15 talks about matters of first importance.
[00:46:11.560 --> 00:46:13.180]   And you mentioned Romans 14,
[00:46:13.180 --> 00:46:16.100]   and you can see some of the matters outlined there
[00:46:16.100 --> 00:46:18.180]   that we would probably not consider
[00:46:18.180 --> 00:46:21.100]   to be of first or primary importance.
[00:46:21.100 --> 00:46:22.620]   Next question, over here.
[00:46:22.620 --> 00:46:26.020]   - Yeah, I would love to know from each one of you,
[00:46:26.020 --> 00:46:27.980]   just like, y'all have been doing pastoral ministry
[00:46:27.980 --> 00:46:31.980]   for so long, and I'm pretty young, I'm 24,
[00:46:31.980 --> 00:46:35.200]   and I'm just curious why each one of you
[00:46:35.200 --> 00:46:36.660]   has done pastoral ministry
[00:46:36.660 --> 00:46:40.700]   and why you have chosen to stay in it for so long.
[00:46:40.700 --> 00:46:45.380]   - Oh, well, that's fairly simple in one sense.
[00:46:45.380 --> 00:46:46.300]   It's a calling.
[00:46:46.300 --> 00:46:48.700]   It's a calling.
[00:46:48.700 --> 00:46:51.300]   My life was on a very different pathway
[00:46:51.300 --> 00:46:55.020]   when I was in college, and the Lord saved me
[00:46:55.020 --> 00:46:57.500]   and totally changed my career thought,
[00:46:57.500 --> 00:47:02.140]   things that I was gearing to do since I was about so tall,
[00:47:02.140 --> 00:47:04.580]   and I could not ignore it.
[00:47:04.580 --> 00:47:09.420]   And so it sought me out, and then what happened in life
[00:47:09.420 --> 00:47:14.340]   is that there was a transference of what I was desiring
[00:47:14.340 --> 00:47:16.620]   into now what I desired.
[00:47:16.620 --> 00:47:21.620]   And that desire now overwhelms me, and it keeps me.
[00:47:21.620 --> 00:47:24.580]   And as Paul would say,
[00:47:24.580 --> 00:47:27.540]   "The love of Christ controls him."
[00:47:27.540 --> 00:47:31.260]   So now, because it's been shed abroad in our hearts
[00:47:31.260 --> 00:47:33.140]   and shed abroad in my heart,
[00:47:33.140 --> 00:47:36.660]   now I am, like Paul would say to Timothy,
[00:47:36.660 --> 00:47:41.020]   "No soldier in active service entangles himself
[00:47:41.020 --> 00:47:43.040]   "in the affairs of everyday life
[00:47:43.040 --> 00:47:46.900]   "so that he may please the one who enlisted him."
[00:47:46.900 --> 00:47:49.340]   So now that I've been enlisted as a new soldier,
[00:47:49.340 --> 00:47:51.180]   because that's what I wanted to do,
[00:47:51.180 --> 00:47:52.580]   make a career in the military,
[00:47:52.580 --> 00:47:54.540]   and I was headed down that path,
[00:47:54.540 --> 00:47:59.000]   the Lord says, "No, you will fight another type of battle."
[00:47:59.000 --> 00:48:00.220]   So why do I remain?
[00:48:00.220 --> 00:48:02.100]   Because I'm still enlisted.
[00:48:02.100 --> 00:48:04.220]   (audience laughing)
[00:48:04.220 --> 00:48:05.940]   And the problem with the soldier,
[00:48:05.940 --> 00:48:07.740]   there's something that's called AWOL.
[00:48:07.740 --> 00:48:14.260]   You cannot go AWOL, which means you're away without leave.
[00:48:14.260 --> 00:48:17.280]   And the only leave that I'll get is heaven.
[00:48:17.280 --> 00:48:20.900]   So that's it, I'll do this as long as I can.
[00:48:20.900 --> 00:48:24.660]   It may not be in the same capacity, but I'll still do it.
[00:48:24.660 --> 00:48:26.380]   - Have any former Marines in here?
[00:48:26.380 --> 00:48:29.040]   Marine Corps motto?
[00:48:29.040 --> 00:48:30.980]   - Simplify. - Simplify.
[00:48:30.980 --> 00:48:32.640]   - What's it mean?
[00:48:32.640 --> 00:48:33.820]   - Always faithful. - Always faithful.
[00:48:33.820 --> 00:48:35.260]   - That's right. - Yes.
[00:48:35.260 --> 00:48:38.420]   - Okay. - For myself in 1982,
[00:48:38.420 --> 00:48:42.220]   I got saved to Montreal, Canada on a business trip.
[00:48:42.220 --> 00:48:44.800]   And I had no idea what that meant, getting saved.
[00:48:44.800 --> 00:48:47.140]   I mean, I had no idea what it meant, reading a Bible.
[00:48:47.140 --> 00:48:48.940]   I had never seen one before.
[00:48:48.940 --> 00:48:50.240]   All of those kinds of things.
[00:48:50.240 --> 00:48:52.380]   And instead of divorcing my wife
[00:48:52.380 --> 00:48:54.500]   when I was coming back home to California,
[00:48:54.500 --> 00:48:56.500]   which I was going to do,
[00:48:56.500 --> 00:48:58.780]   so I gotta find out how to be a husband.
[00:48:58.780 --> 00:49:02.120]   I gotta find out how to be a father.
[00:49:02.120 --> 00:49:04.220]   I gotta learn how to do all these things.
[00:49:04.220 --> 00:49:07.300]   So I got somebody to start speaking into my life,
[00:49:07.300 --> 00:49:09.460]   right here at Grace Community Church.
[00:49:09.460 --> 00:49:13.620]   By the way, the lady in Canada's pointed me to this church.
[00:49:13.620 --> 00:49:15.260]   So that's what I did.
[00:49:15.260 --> 00:49:17.780]   And when I was meeting with this man,
[00:49:17.780 --> 00:49:19.460]   he poured his life into me.
[00:49:19.460 --> 00:49:21.740]   He taught me these things.
[00:49:21.740 --> 00:49:25.540]   And so when these master seminaries started,
[00:49:25.540 --> 00:49:29.780]   I said to my wife, "I think I've been called."
[00:49:29.780 --> 00:49:32.340]   She says, "I don't know how to play the piano."
[00:49:32.340 --> 00:49:34.660]   (congregation laughing)
[00:49:34.660 --> 00:49:36.380]   I said, "Don't worry about the piano."
[00:49:36.380 --> 00:49:38.000]   She said, "But I don't have a flower dress."
[00:49:38.000 --> 00:49:38.840]   - We'll get you lessons.
[00:49:38.840 --> 00:49:40.980]   (congregation laughing)
[00:49:40.980 --> 00:49:42.740]   - And she said, "I don't have a flower dress."
[00:49:42.740 --> 00:49:44.500]   I said, "I can take care of that."
[00:49:44.500 --> 00:49:47.260]   But that's what, and why do I stay?
[00:49:47.260 --> 00:49:50.980]   I stay because I see God's people being helped.
[00:49:50.980 --> 00:49:52.980]   I see people getting saved.
[00:49:52.980 --> 00:49:56.380]   Stop from getting a divorce, stop from doing sin.
[00:49:56.380 --> 00:49:58.040]   I love to see that.
[00:49:58.040 --> 00:50:01.780]   And my wife and I rejoice with that regularly in our home
[00:50:01.780 --> 00:50:04.140]   on a Sunday afternoon when we have people over.
[00:50:04.140 --> 00:50:07.180]   - Tom?
[00:50:07.180 --> 00:50:08.580]   - Well, first of all, what a great question
[00:50:08.580 --> 00:50:10.540]   from a 24-year-old. - Yeah, that's right.
[00:50:10.540 --> 00:50:12.260]   - And I pray that that's on your heart.
[00:50:12.260 --> 00:50:14.620]   I'm sure that's why you're asking the question.
[00:50:14.620 --> 00:50:18.300]   I wanted to be a pastor when I was five years old.
[00:50:18.300 --> 00:50:20.540]   The only problem was I wasn't saved till I was 30.
[00:50:20.540 --> 00:50:23.960]   (congregation laughing)
[00:50:23.960 --> 00:50:30.620]   So I think for me it's been trying to catch up
[00:50:30.620 --> 00:50:32.740]   for lost time. - Sure.
[00:50:32.740 --> 00:50:35.460]   - But honestly, if you have a heart for people,
[00:50:35.460 --> 00:50:37.940]   you're gonna be, just to be full disclosure,
[00:50:37.940 --> 00:50:40.060]   you're gonna be hurt, you're gonna be wounded.
[00:50:40.060 --> 00:50:41.740]   There's a lot of disappointment.
[00:50:41.740 --> 00:50:44.500]   In fact, I'd say the closer sometimes you feel
[00:50:44.500 --> 00:50:47.360]   that you're getting to a breakthrough with someone,
[00:50:47.360 --> 00:50:50.360]   the quicker you can find out that they will malign you,
[00:50:50.360 --> 00:50:52.460]   turn from you, and then-- - Sure.
[00:50:52.460 --> 00:50:54.260]   - It's very painful at times.
[00:50:54.260 --> 00:50:58.420]   But there are those moments where God supports you
[00:50:58.420 --> 00:51:00.500]   in your own soul and in prayer,
[00:51:00.500 --> 00:51:03.440]   and also from others coming alongside from time to time.
[00:51:03.440 --> 00:51:06.660]   In fact, just real quick, I was just getting my coffee.
[00:51:06.660 --> 00:51:07.820]   This is such a funny thing.
[00:51:07.820 --> 00:51:11.580]   And this young man comes up to me, he says, "Pastor Tom."
[00:51:11.580 --> 00:51:12.940]   And I said, "Yes," he goes.
[00:51:12.940 --> 00:51:15.820]   He goes, "Well, time has certainly been hard on you
[00:51:15.820 --> 00:51:18.820]   "the last 10 years." (congregation laughing)
[00:51:18.820 --> 00:51:21.380]   I said, you know, "Bless you, brother.
[00:51:21.380 --> 00:51:23.320]   (congregation laughing)
[00:51:23.320 --> 00:51:25.060]   "Be warm and be filled and get out of my way."
[00:51:25.060 --> 00:51:27.380]   No, I didn't say that. (congregation laughing)
[00:51:27.380 --> 00:51:29.180]   And it kind of threw me,
[00:51:29.180 --> 00:51:31.020]   'cause I've never had that compliment.
[00:51:31.020 --> 00:51:36.020]   And he said, "I was in your preaching lab 10 years ago,
[00:51:36.020 --> 00:51:40.000]   "and when I came up to preach, you told me to sit down
[00:51:40.000 --> 00:51:42.380]   "and come back only when I was prepared."
[00:51:42.380 --> 00:51:44.220]   And I'm thinking, that's why he said that.
[00:51:44.220 --> 00:51:45.060]   (congregation laughing)
[00:51:45.060 --> 00:51:47.640]   And then he said, "Thank you so much for telling me that,
[00:51:47.640 --> 00:51:48.980]   "because I wasn't ready."
[00:51:48.980 --> 00:51:51.540]   So sometimes it takes a while for that to come,
[00:51:51.540 --> 00:51:54.060]   and that encouraged, 10 years for me.
[00:51:54.060 --> 00:51:56.860]   Of course, by God's grace, I didn't remember who he was,
[00:51:56.860 --> 00:51:58.720]   'cause I blocked those things out.
[00:51:58.720 --> 00:51:59.780]   (congregation laughing)
[00:51:59.780 --> 00:52:01.660]   But so-- - And Tom, you still don't.
[00:52:01.660 --> 00:52:04.300]   - Yeah, but what an encouragement,
[00:52:04.300 --> 00:52:06.620]   and I pray for your encouragement.
[00:52:06.620 --> 00:52:10.380]   - I was in college, and I distinctly remember the evening.
[00:52:10.380 --> 00:52:14.940]   Somehow or other, one evening, the passage, John 21,
[00:52:14.940 --> 00:52:16.420]   "Feed my sheep."
[00:52:16.420 --> 00:52:20.340]   You know, the three times repeated phrase,
[00:52:20.340 --> 00:52:22.380]   just began to drum itself into my mind,
[00:52:22.380 --> 00:52:27.020]   and I have never fully been able to get that out of my mind.
[00:52:27.020 --> 00:52:30.740]   And that, I think God used to start pointing me
[00:52:30.740 --> 00:52:31.820]   in the direction.
[00:52:31.820 --> 00:52:35.760]   I'd been a preacher's kid, and yet, at that point in time,
[00:52:35.760 --> 00:52:38.260]   it started moving me in the direction.
[00:52:38.260 --> 00:52:39.740]   It takes a while to be able to see
[00:52:39.740 --> 00:52:43.980]   how it all gets implemented, but that passion is there,
[00:52:43.980 --> 00:52:48.000]   that realization, Acts 20, the Holy Spirit,
[00:52:48.000 --> 00:52:50.140]   despite the fact that some men connive themselves
[00:52:50.140 --> 00:52:54.740]   into the position, the Holy Spirit makes men elders.
[00:52:54.740 --> 00:52:57.980]   And when we are put in that position, we stay at our post.
[00:52:57.980 --> 00:52:58.820]   Semper fi.
[00:52:58.820 --> 00:53:01.340]   - One last thought, real quick, though, before he leaves.
[00:53:01.340 --> 00:53:03.300]   Spurgeon's lecture to my students--
[00:53:03.300 --> 00:53:04.300]   - I just bought it today.
[00:53:04.300 --> 00:53:06.340]   - Okay, on calling.
[00:53:06.340 --> 00:53:08.140]   He has a great section on calling.
[00:53:08.140 --> 00:53:10.260]   - And I'll tell you what else, since about calling,
[00:53:10.260 --> 00:53:12.260]   something that impacted me when I first came
[00:53:12.260 --> 00:53:17.020]   to the seminary, Albert Martin, the call to the ministry.
[00:53:17.020 --> 00:53:21.180]   Wow, every man should listen to that.
[00:53:21.180 --> 00:53:23.220]   The call to the ministry, Albert Martin.
[00:53:23.220 --> 00:53:25.060]   - And if you start listening to Albert Martin,
