
[00:00:00.000 --> 00:00:03.880]   Kids don't get scored.
[00:47:21.320 --> 00:47:29.660]   And Tianhao at the time in my lab had the most impressive and relevant project breakthrough.
[00:47:29.660 --> 00:47:33.640]   And so we also went to talk to Tianhao, we're like, "Tianhao, what do you think?"
[00:47:33.640 --> 00:47:36.440]   He was a few months into his PhD.
[00:47:36.440 --> 00:47:44.440]   He was not planning, I think, to do that short a stint as a PhD student or to go do something
[00:47:44.440 --> 00:47:45.440]   else.
[00:47:45.440 --> 00:47:49.720]   But once we talked with him, he got really excited and yeah, the four of us took it from
[00:47:49.720 --> 00:47:50.720]   there.
[00:47:50.720 --> 00:47:51.720]   That's cool.
[00:47:51.720 --> 00:47:57.520]   One more question that I really wanted to make sure I got to is from an interview that
[00:47:57.520 --> 00:48:04.040]   I found earlier where you talked about how Andrew Ng, your advisor, told you to take
[00:48:04.040 --> 00:48:07.280]   a class on communication or improve your communication skills.
[00:48:07.280 --> 00:48:11.360]   And then you talked about how you think you're more of a communicator than anything else.
[00:48:11.360 --> 00:48:17.000]   And I guess I was curious, I have noticed that your communication skills are very good
[00:48:17.000 --> 00:48:20.800]   and do seem to be improved since I first knew you.
[00:48:20.800 --> 00:48:24.760]   Do you feel like there's been little tricks that you've learned that have made you a better
[00:48:24.760 --> 00:48:25.760]   communicator?
[00:48:25.760 --> 00:48:26.760]   Or is it really just practice?
[00:48:26.760 --> 00:48:31.520]   Or do you have any advice to people wanting to become better communicators?
[00:48:31.520 --> 00:48:32.520]   Yeah.
[00:48:32.520 --> 00:48:35.600]   So there's different kinds of communication, of course.
[00:48:35.600 --> 00:48:40.240]   And one of them is written and the other one is verbal, at least the two main ones for
[00:48:40.240 --> 00:48:41.240]   me.
[00:48:41.240 --> 00:48:48.520]   For writing, actually, here's how the story goes.
[00:48:48.520 --> 00:48:56.120]   So I'm a PhD student and I try to write my papers and I bring my copies of my drafts
[00:48:56.120 --> 00:49:00.840]   to Andrew Ng and he's my PhD advisor and he just looks at them and he said, "Oh, take
[00:49:00.840 --> 00:49:01.840]   a look."
[00:49:01.840 --> 00:49:08.080]   And then he gets back to me later and Andrew says, "Yeah, really good draft, great shape.
[00:49:08.080 --> 00:49:11.080]   I just left a few comments."
[00:49:11.080 --> 00:49:16.920]   And I go get my copy back and the copy is more red than black.
[00:49:16.920 --> 00:49:21.200]   And I'm like, "Okay, that's what Andrew calls just a few comments.
[00:49:21.200 --> 00:49:24.680]   I'm just already in great shape."
[00:49:24.680 --> 00:49:28.200]   And I look at all his comments and I'm just like, "Okay, these comments are great.
[00:49:28.200 --> 00:49:29.520]   I mean, these are no brainers.
[00:49:29.520 --> 00:49:31.660]   I should just incorporate all these comments.
[00:49:31.660 --> 00:49:33.160]   He just knows better.
[00:49:33.160 --> 00:49:36.240]   This is how I should be doing it."
[00:49:36.240 --> 00:49:41.080]   But I had a hard time seeing the pattern in terms of how to do it myself.
[00:49:41.080 --> 00:49:45.800]   And so I'm looking at him like, "Yes, Andrew's feedback is always making it better and I
[00:49:45.800 --> 00:49:50.720]   can easily tell it's making it better, but I don't know how to generate that."
[00:49:50.720 --> 00:49:55.320]   And then actually I was a student at Stanford at the time and I go to Stanford bookstore
[00:49:55.320 --> 00:50:01.800]   and I browse all the writing classes, books that the professors for writing classes were
[00:50:01.800 --> 00:50:03.740]   recommending students buy.
[00:50:03.740 --> 00:50:07.760]   And I browse essentially all of them in the bookstore, not reading, but kind of quick
[00:50:07.760 --> 00:50:08.760]   browsing.
[00:50:08.760 --> 00:50:13.760]   And then I took three of them home and I read them quite thoroughly and some of them had
[00:50:13.760 --> 00:50:16.280]   exercises and I worked on it quite thoroughly.
[00:50:16.280 --> 00:50:22.040]   And there's one by Williams called Writing Lessons in Clarity and Grace.
[00:50:22.040 --> 00:50:27.080]   And that one, when I started working through that one, it was just like everything made
[00:50:27.080 --> 00:50:28.080]   sense.
[00:50:28.080 --> 00:50:35.800]   Like every comment Andrew had left on my paper draft, it was just a thing they explained.
[00:50:35.800 --> 00:50:38.260]   Like this is something you want to pay attention to in writing.
[00:50:38.260 --> 00:50:42.340]   This is the way you want to structure your sentence or your paragraph or a sequence of
[00:50:42.340 --> 00:50:43.340]   sentences and all that stuff.
[00:50:43.340 --> 00:50:47.980]   And I was just like, all of a sudden, I think I can do this now.
[00:50:47.980 --> 00:50:52.260]   And so that book was really eyeopening.
[00:50:52.260 --> 00:50:57.320]   Verbal communication, let's see.
[00:50:57.320 --> 00:51:01.340]   One part of it is just, I mean, the nature of my job is a lot of practice.
[00:51:01.340 --> 00:51:02.340]   That's for sure.
[00:51:02.340 --> 00:51:06.860]   And same for writing, of course.
[00:51:06.860 --> 00:51:12.760]   Let's see.
[00:51:12.760 --> 00:51:16.700]   I think maybe kind of there is even in verbal communication, there's different things.
[00:51:16.700 --> 00:51:20.020]   There's one-on-one communication and there is kind of group communication.
[00:51:20.020 --> 00:51:28.120]   I think one-on-one is usually easier for most people just because, well, it's a conversation
[00:51:28.120 --> 00:51:30.660]   back and forth.
[00:51:30.660 --> 00:51:35.920]   In terms of group communication, I think that the main thing I've learned to pay attention
[00:51:35.920 --> 00:51:42.240]   to, and it's a very simple thing, but it helps a lot, is just if anybody hasn't spoken up
[00:51:42.240 --> 00:51:46.400]   in a meeting and just checking in with them.
[00:51:46.400 --> 00:51:50.600]   I mean, obviously not blatantly putting them on the spot and making them feel awkward if
[00:51:50.600 --> 00:51:56.720]   they have nothing they want to say, but finding ways to make sure people who are not speaking
[00:51:56.720 --> 00:52:02.160]   up maybe wanted to speak up, but just feel like they didn't get the opportunity.
[00:52:02.160 --> 00:52:08.160]   I think that's just a really helpful thing to get many more ideas to surface in any meeting.
[00:52:08.160 --> 00:52:09.160]   Cool.
[00:52:09.160 --> 00:52:10.160]   Thank you.
[00:52:10.160 --> 00:52:13.040]   That's super useful.
[00:52:13.040 --> 00:52:19.000]   We always end with two questions and the second to last one we always end with is, what's
[00:52:19.000 --> 00:52:23.640]   a topic in machine learning that you think doesn't get the attention that it deserves?
[00:52:23.640 --> 00:52:31.080]   Like a topic you would work on if you had a little bit of extra time to explore something.
[00:52:31.080 --> 00:52:40.560]   So I would argue as a professor with that hat on at Berkeley, there is always opportunity
[00:52:40.560 --> 00:52:44.480]   to explore new things because new students come in all the time asking for projects.
[00:52:44.480 --> 00:52:48.440]   So it's not like there's projects that are just kind of sitting there waiting because
[00:52:48.440 --> 00:52:50.520]   there's always new students who want to work on things.
[00:52:50.520 --> 00:52:54.200]   But so maybe I'll twist the question a little bit and I'll say some of the recent things
[00:52:54.200 --> 00:52:58.920]   I'm most excited about that we've started working on.
[00:52:58.920 --> 00:53:04.560]   One of them is play or kind of formalizing how kids play in reinforcement learning.
[00:53:04.560 --> 00:53:09.200]   This notion that kids don't get scored, there's no reward, no feedback most of the time.
[00:53:09.200 --> 00:53:11.280]   They just play.
[00:53:11.280 --> 00:53:14.400]   And can our agents or our robots do the same thing?
[00:53:14.400 --> 00:53:16.480]   Just play around in the environment?
[00:53:16.480 --> 00:53:20.680]   And essentially that is the reinforced learning equivalent of pre-training.
[00:53:20.680 --> 00:53:25.480]   And we know in computer vision, natural language processing, unsupervised pre-training is what
[00:53:25.480 --> 00:53:28.220]   powers all the latest and greatest models.
[00:53:28.220 --> 00:53:29.720]   So can we do the same thing in RL?
[00:53:29.720 --> 00:53:33.360]   Well, that means it has to be reward free, some kind of play.
[00:53:33.360 --> 00:53:37.280]   And so I think that's a really exciting area.
[00:53:37.280 --> 00:53:42.680]   The other area I'm really excited about, and for me was sometimes the most surprising result
[00:53:42.680 --> 00:53:49.580]   this past year in my own research was the kind of pre-trained transformers as universal
[00:53:49.580 --> 00:53:54.680]   competition engines paper that was led by Kevin Liu.
[00:53:54.680 --> 00:54:01.400]   And the idea there was that, hey, transformers are so good at being pre-trained language
[00:54:01.400 --> 00:54:03.040]   models.
[00:54:03.040 --> 00:54:04.840]   What if we just take a pre-trained language model?
[00:54:04.840 --> 00:54:09.240]   We put one linear layer in front, one linear layer in the back, but now the input is going
[00:54:09.240 --> 00:54:12.000]   to be an image and the output is going to be a classification of an image, or the input
[00:54:12.000 --> 00:54:15.480]   is going to be a protein sequence, the output is going to be some property of the protein
[00:54:15.480 --> 00:54:16.480]   sequence.
[00:54:16.480 --> 00:54:22.200]   And it actually kind of worked, which is really surprising to me because it means that somehow
[00:54:22.200 --> 00:54:29.400]   all these pre-trained layers, which were frozen for that new modality, somehow, well, we don't
[00:54:29.400 --> 00:54:33.200]   really understand it, but what in my mind is happening is something where it has a general
[00:54:33.200 --> 00:54:40.320]   compute pattern, a general pattern recognition in it that generalizes across different sensory
[00:54:40.320 --> 00:54:42.680]   modalities, which is really, really cool.
[00:54:42.680 --> 00:54:49.080]   I mean, of course it's better to train the whole network on the specific modality, but
[00:54:49.080 --> 00:54:54.120]   the fact that it already does quite well when it's a frozen pre-trained transformer and
[00:54:54.120 --> 00:55:00.880]   a different modality really surprised me and is something that I'm excited to keep digging
[00:55:00.880 --> 00:55:01.880]   into.
[00:55:01.880 --> 00:55:03.600]   That really is amazing and evocative.
[00:55:03.600 --> 00:55:08.240]   I can see why you're excited about that.
[00:55:08.240 --> 00:55:13.520]   And then finally, what in your experience has been the hardest parts of getting machine
[00:55:13.520 --> 00:55:15.840]   learning models to actually work in the real world?
[00:55:15.840 --> 00:55:19.160]   You've done it now at several different companies.
[00:55:19.160 --> 00:55:23.320]   What are the surprising pitfalls when you take a model that you've trained that seems
[00:55:23.320 --> 00:55:28.960]   to be working and then you try to build an actual useful thing around it?
[00:55:28.960 --> 00:55:30.160]   Yeah.
[00:55:30.160 --> 00:55:33.160]   So it varies a lot.
[00:55:33.160 --> 00:55:37.720]   So the cases I know best are of course, Gradescope and Covariant.
[00:55:37.720 --> 00:55:46.960]   So at Gradescope, essentially the way we did it is we build really good user interfaces
[00:55:46.960 --> 00:55:47.960]   around the model.
[00:55:47.960 --> 00:55:54.080]   So train models to effectively automate grading, but we knew in the beginning they're never
[00:55:54.080 --> 00:55:56.080]   going to work that well.
[00:55:56.080 --> 00:56:00.800]   Maybe not 99.99% performance, but much lower than that.
[00:56:00.800 --> 00:56:09.920]   And so we spend so much time on the UI of have it proposing things to the grader and
[00:56:09.920 --> 00:56:14.200]   then the grader can correct it and be really, really fast at getting through things.
[00:56:14.200 --> 00:56:20.000]   But this kind of human interface to supervise all the decisions was where I would say at
[00:56:20.000 --> 00:56:25.040]   least as much effort went into that and making that really good as went into the machine
[00:56:25.040 --> 00:56:27.200]   learning models behind it.
[00:56:27.200 --> 00:56:34.160]   I would say at Covariant it's in some sense very similar, but also a bit different.
[00:56:34.160 --> 00:56:37.480]   You can't just say, "Oh, we're going to put a great UI on it."
[00:56:37.480 --> 00:56:41.960]   Even when it's just in its beginning reliabilities, it already has to be very high reliability.
[00:56:41.960 --> 00:56:49.280]   So there, I think what's been interesting is for me that I've never in any other capacity
[00:56:49.280 --> 00:56:53.240]   chased multiple nines of reliability on any problem.
[00:56:53.240 --> 00:56:59.960]   And just that notion is just so different and it's been so interesting to go after that.
[00:56:59.960 --> 00:57:00.960]   Awesome.
[00:57:00.960 --> 00:57:02.460]   Well, thank you very much.
[00:57:02.460 --> 00:57:03.720]   This is super fun.
[00:57:03.720 --> 00:57:05.520]   Yeah, same here, Lucas.
[00:57:05.520 --> 00:57:07.480]   Thanks for having me.
[00:57:07.480 --> 00:57:11.880]   If you're enjoying these interviews and you want to learn more, please click on the link
[00:57:11.880 --> 00:57:16.600]   to the show notes in the description where you can find links to all the papers that
[00:57:16.600 --> 00:57:20.760]   are mentioned, supplemental material, and a transcription that we worked really hard
[00:57:20.760 --> 00:57:21.760]   to produce.
[00:57:21.760 --> 00:57:22.760]   Check it out.
[00:57:23.160 --> 00:57:25.240]   you

