
[00:00:00.040 --> 00:00:07.060]   Escape all about
[00:54:26.140 --> 00:54:56.060]  , how they could prove what he's doing.
[00:54:56.080 --> 00:55:26.080]  , how they could prove what he's doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.080 --> 00:55:26.080]   So, I'm trying to figure out what the government is doing.
[00:55:26.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:55:56.100]   So, I'm trying to figure out what the government is doing.
[00:55:56.100 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.120 --> 00:56:26.120]   So, I'm trying to figure out what the government is doing.
[00:56:26.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.140 --> 00:56:56.140]   I'm trying to figure out what the government is doing.
[00:56:56.280 --> 00:57:26.160]   I'm trying to figure out what the government is doing.
[00:57:26.160 --> 00:57:26.160]   I'm trying to figure out what the government is doing.
[00:57:26.160 --> 00:57:26.160]   I'm trying to figure out what the government is doing.
[00:57:26.160 --> 00:57:26.160]   I'm trying to figure out what the government is doing.
[00:57:26.160 --> 00:57:26.160]   I'm trying to figure out what the government is doing.
[00:57:26.160 --> 00:57:26.160]   I'm trying to figure out what the government is doing.
[00:57:26.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:56.180 --> 00:57:56.180]   I'm trying to figure out what the government is doing.
[00:57:57.160 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.200 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.200 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.200 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.200 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.200 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.200 --> 00:58:26.200]   I'm trying to figure out what the government is doing.
[00:58:26.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:58:56.220]   You can always take a check that's issued by a bank.
[00:58:56.220 --> 00:59:26.240]   You can always take a check that's issued by a bank.
[00:59:26.240 --> 00:59:26.240]   You can always take a check that's issued by a bank.
[00:59:26.240 --> 00:59:26.240]   You can always take a check that's issued by a bank.
[00:59:26.240 --> 00:59:26.240]   You can always take a check that's issued by a bank.
[00:59:26.240 --> 00:59:26.240]   You can always take a check that's issued by a bank.
[00:59:26.240 --> 00:59:26.240]   You can always take a check that's issued by a bank.
[00:59:26.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 00:59:56.260]   You can always take a check that's issued by a bank.
[00:59:56.260 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.280 --> 01:00:26.280]   You can always take a check that's issued by a bank.
[01:00:26.320 --> 01:00:56.300]  ру
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.300 --> 01:00:56.300]   You can always take a check that's issued by a bank.
[01:00:56.320 --> 01:01:26.320]   I don't see how a person who is running any kind of normal-sized financial life. If I were 16 years old and just taking care of myself and living on a small financial life, yeah, I could do it with cash. I don't see how any of us though that are running a normal-sized financial life can do it, let alone get into dealing with the police and the government and the government.
[01:01:26.320 --> 01:01:26.320]   I don't see how a person who is running any kind of normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:26.320 --> 01:01:26.320]   I don't see how a person who is running any kind of normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:26.320 --> 01:01:26.320]   I don't see how a person who is running a normal-sized financial life can do it can do it.
[01:01:26.360 --> 01:01:56.340]  ,
[01:01:56.340 --> 01:01:56.340]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:56.340 --> 01:01:56.340]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:56.340 --> 01:01:56.340]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:56.340 --> 01:01:56.340]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:56.340 --> 01:01:56.340]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:56.340 --> 01:01:56.340]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:01:56.360 --> 01:02:26.360]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:26.360 --> 01:02:26.360]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:26.360 --> 01:02:26.360]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:26.360 --> 01:02:26.360]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:26.360 --> 01:02:26.360]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:26.360 --> 01:02:26.360]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:56.380 --> 01:02:56.380]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:56.380 --> 01:02:56.380]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:56.380 --> 01:02:56.380]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:02:56.380 --> 01:02:56.380]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.400 --> 01:03:26.400]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.400 --> 01:03:26.400]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.400 --> 01:03:26.400]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.400 --> 01:03:26.400]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.400 --> 01:03:26.400]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.400 --> 01:03:26.400]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:26.420 --> 01:03:56.420]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:56.420 --> 01:03:56.420]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:56.420 --> 01:03:56.420]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:56.420 --> 01:03:56.420]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:56.420 --> 01:03:56.420]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:03:56.420 --> 01:04:26.440]  ,
[01:04:26.440 --> 01:04:26.440]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:26.440 --> 01:04:26.440]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:26.440 --> 01:04:26.440]  , let alone get into dealing with the police and the government.
[01:04:26.460 --> 01:04:56.460]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:56.460 --> 01:04:56.460]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:56.460 --> 01:04:56.460]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:56.460 --> 01:04:56.460]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:56.460 --> 01:04:56.460]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:56.460 --> 01:04:56.460]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:04:56.480 --> 01:05:26.480]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:26.480 --> 01:05:26.480]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:26.480 --> 01:05:26.480]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:26.480 --> 01:05:26.480]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:26.480 --> 01:05:26.480]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:26.480 --> 01:05:26.480]  , let alone get into dealing with the police and the government.
[01:05:26.480 --> 01:05:56.500]  , let alone get into dealing with the police and the government.
[01:05:56.500 --> 01:05:56.500]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:56.500 --> 01:05:56.500]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:56.500 --> 01:05:56.500]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:56.500 --> 01:05:56.500]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:05:56.520 --> 01:06:26.520]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:26.520 --> 01:06:26.520]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:26.520 --> 01:06:26.520]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:26.520 --> 01:06:26.520]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:26.520 --> 01:06:26.520]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:26.520 --> 01:06:26.520]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:26.560 --> 01:06:56.540]  ,
[01:06:56.540 --> 01:06:56.540]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:56.540 --> 01:06:56.540]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:56.540 --> 01:06:56.540]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:06:56.540 --> 01:06:56.540]  , let alone get into dealing with the police and the government.
[01:06:56.560 --> 01:07:26.560]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:26.560 --> 01:07:26.560]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:26.560 --> 01:07:26.560]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:26.560 --> 01:07:26.560]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:26.560 --> 01:07:26.560]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:26.560 --> 01:07:26.560]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:26.560 --> 01:07:56.580]   as well as getting a job.
[01:07:56.580 --> 01:07:56.580]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:56.580 --> 01:07:56.580]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:56.580 --> 01:07:56.580]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:56.580 --> 01:07:56.580]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:56.580 --> 01:07:56.580]   I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.
[01:07:56.620 --> 01:08:26.600]  告诉我, I don't see how a person who is running a normal-sized financial life can do it, let alone get into dealing with the police and the government.

