
[00:00:00.000 --> 00:00:05.000]   Should be fine.
[00:42:24.680 --> 00:42:30.640]   these separate sentences, oh, so to combine Flickr, RefCocoa and like all of these datasets,
[00:42:30.640 --> 00:42:36.080]   what we did was if the sentence only has one box for the entire text, where we can see
[00:42:36.080 --> 00:42:41.480]   that there are more, you know, objects that could be referred to in the sentence, then
[00:42:41.480 --> 00:42:43.560]   we extract the root of the sentence.
[00:42:43.560 --> 00:42:47.560]   This is not optimal, obviously, because like, this is just because we had to like combine
[00:42:47.560 --> 00:42:49.200]   multiple datasets.
[00:42:49.200 --> 00:42:55.480]   But what we do is like use like a spacey parser and just say, what is the root of the sentence?
[00:42:55.480 --> 00:42:56.920]   It's the person in the gray shirt.
[00:42:56.920 --> 00:43:01.480]   So basically we just use that as the annotation, which is why you have this, the person as
[00:43:01.480 --> 00:43:04.400]   the only thing that's mapped to this entire sentence.
[00:43:04.400 --> 00:43:12.000]   So now another important point is for 200,000 images, we have many texts.
[00:43:12.000 --> 00:43:14.720]   Does it make sense to just have one image in one text?
[00:43:14.720 --> 00:43:19.080]   Like, and just like, you know, repeat the same image and have the different text each
[00:43:19.080 --> 00:43:20.080]   time.
[00:43:20.080 --> 00:43:24.360]   Instead of doing that, we realized that our soft token prediction loss, if we were just
[00:43:24.360 --> 00:43:27.760]   using the root would be utterly useless.
[00:43:27.760 --> 00:43:32.360]   For example, here, like the person in the gray shirt with a watch on their wrist, the
[00:43:32.360 --> 00:43:38.560]   like, the root would be the person and it's like, kind of trivial to always just predict
[00:43:38.560 --> 00:43:39.560]   the root, right?
[00:43:39.560 --> 00:43:43.680]   So then you're not doing anything about the positional information, like it's not helping
[00:43:43.680 --> 00:43:44.680]   you.
[00:43:44.680 --> 00:43:48.800]   On the other hand, if we like combine multiple sentences where the rest of the sentence has
[00:43:48.800 --> 00:43:52.920]   the other person wearing a blue sweater, the third person in a gray coat and scarf.
[00:43:52.920 --> 00:43:58.780]   Now to like make, to figure out if the box corresponds to which part of the sentence
[00:43:58.780 --> 00:44:04.040]   or like the root of which part of the sentence, it really needs to like reason about giving
[00:44:04.040 --> 00:44:08.200]   the token positions to like the person from the first sentence or the other person from
[00:44:08.200 --> 00:44:10.020]   the second sentence, et cetera.
[00:44:10.020 --> 00:44:15.860]   So this density increase of like information is extremely important to make the soft token
[00:44:15.860 --> 00:44:17.060]   prediction useful.
[00:44:17.060 --> 00:44:21.020]   And also like for the contrast of alignment, because the annotation would be the same,
[00:44:21.020 --> 00:44:22.020]   right?
[00:44:22.020 --> 00:44:26.260]   So yeah, that, that was like the thought behind the different stages that we went through
[00:44:26.260 --> 00:44:28.580]   for our data collection and combination.
[00:44:28.580 --> 00:44:32.540]   Like initially we were like, yeah, let's just like combine the data, but then, you know,
[00:44:32.540 --> 00:44:38.460]   it really makes a difference if some of the data has only like the whole sentence for
[00:44:38.460 --> 00:44:39.460]   one box.
[00:44:39.460 --> 00:44:44.500]   So we also went through a phase where we were trying to have a unlikelihood loss kind of
[00:44:44.500 --> 00:44:50.460]   thing where we were like avoiding penalizing for finding boxes that in sentences where
[00:44:50.460 --> 00:44:53.380]   there are other entities, but we don't have annotations for.
[00:44:53.380 --> 00:44:57.860]   So it got really messy and we were like, okay, let's not go down this like messy road and
[00:44:57.860 --> 00:44:59.360]   we'll just like extract the root.
[00:44:59.360 --> 00:45:00.360]   So yeah.
[00:45:00.360 --> 00:45:01.580]   No, that makes sense.
[00:45:01.580 --> 00:45:05.980]   I guess for someone like me, I'll be very honest, like, cause I'm not like, I've been
[00:45:05.980 --> 00:45:09.580]   part of the computer vision side of things, but not so much on the multimodal side of
[00:45:09.580 --> 00:45:10.580]   things.
[00:45:10.580 --> 00:45:15.140]   And then until I hit MDTR or started reading about it, that's when it struck me, like the
[00:45:15.140 --> 00:45:18.980]   amount of detail that goes into getting a model to train.
[00:45:18.980 --> 00:45:25.660]   So tell me like when you were first experimenting with MDTR, were there lots of field experiments?
[00:45:25.660 --> 00:45:30.620]   And cause I don't think the model would have just started to train and like match the,
[00:45:30.620 --> 00:45:31.900]   and that's when you would go back and forth.
[00:45:31.900 --> 00:45:35.300]   It's like, do we change the pre-training and then you come back and you train your model
[00:45:35.300 --> 00:45:36.300]   and things like that.
[00:45:36.300 --> 00:45:42.660]   It was even crazier because so I did my internship in summer where I was doing a bunch of experiments,
[00:45:42.660 --> 00:45:46.740]   but this pivot towards modulated detection happened much later.
[00:45:46.740 --> 00:45:50.820]   And I didn't have compute to do these large scale experiments anymore.
[00:45:50.820 --> 00:45:56.700]   So most of our loss designing and all of this stuff happened on Clever because that's the
[00:45:56.700 --> 00:45:59.500]   only thing we could run on NYU compute.
[00:45:59.500 --> 00:46:05.500]   So at some point we started collaborating with Gab and Gabrielle and Ishan and Manat
[00:46:05.500 --> 00:46:10.260]   and they also started pitching in, in like running experiments and like helping us with
[00:46:10.260 --> 00:46:13.100]   infrastructure side of things.
[00:46:13.100 --> 00:46:16.180]   And that made it easier to like run more large scale experiments.
[00:46:16.180 --> 00:46:20.900]   But I'll tell you that for pre-training, it was like one shot.
[00:46:20.900 --> 00:46:26.580]   Like we didn't, we didn't have multiple chances because like we were in a, we had a pretty
[00:46:26.580 --> 00:46:31.580]   good preliminary results and on Flickr even without pre-training, like we'll see in the
[00:46:31.580 --> 00:46:36.140]   table that, you know, we had like a eight or nine point increase on the best state of
[00:46:36.140 --> 00:46:38.580]   the art on Flickr entities without pre-training.
[00:46:38.580 --> 00:46:42.780]   So we were like convinced that this would work with pre-training as well.
[00:46:42.780 --> 00:46:49.860]   So we basically just had one shot before the ICV deadline and we just ran it for one week,
[00:46:49.860 --> 00:46:52.300]   the pre-training and then like ran the downstream.
[00:46:52.300 --> 00:46:57.380]   So yeah, we didn't have much space because of the time constraints as well for the deadlines.
[00:46:57.380 --> 00:47:01.540]   But yeah, a lot of experimentation happened on Clever.
[00:47:01.540 --> 00:47:03.140]   So that's what I'd say.
[00:47:03.140 --> 00:47:06.380]   I think that's also a good point that you make.
[00:47:06.380 --> 00:47:10.500]   Like again, this is something we could take from the paper as well.
[00:47:10.500 --> 00:47:14.460]   Like the experimentation, even though it was done on a smaller subset, it kind of generalizes
[00:47:14.460 --> 00:47:16.980]   to a bigger, but then also there's this.
[00:47:16.980 --> 00:47:19.980]   I don't know if that always happens.
[00:47:19.980 --> 00:47:24.780]   I remember like some of the people from our team were like very wary of like spending
[00:47:24.780 --> 00:47:28.260]   too much time on Clever because they were like, yeah, you know, I've done this before.
[00:47:28.260 --> 00:47:31.900]   I spent a whole summer doing Clever stuff, assuming it will generalize to real data and
[00:47:31.900 --> 00:47:33.900]   then nothing worked.
[00:47:33.900 --> 00:47:38.260]   So we were like biting our nails when we ran the pre-training, but thankfully it worked
[00:47:38.260 --> 00:47:39.260]   out.
[00:47:39.260 --> 00:47:40.980]   How many days of that nail biting was it?
[00:47:40.980 --> 00:47:43.540]   I think it was like, I don't know, nine days.
[00:47:43.540 --> 00:47:45.380]   That would have been tough.
[00:47:45.380 --> 00:47:47.860]   Tough nine days, I guess.
[00:47:47.860 --> 00:47:48.860]   Exciting.
[00:47:48.860 --> 00:47:52.140]   That's really, I guess this is really good to see.
[00:47:52.140 --> 00:47:54.860]   Like when you read the paper, these are the stories you miss.
[00:47:54.860 --> 00:47:58.980]   Like, oh, this is like how much effort or there's like, because in the real world, when
[00:47:58.980 --> 00:48:02.780]   we, when the paper hits us, when we're reading the paper, we don't really see, oh, the paper
[00:48:02.780 --> 00:48:06.780]   was written within a deadline and they were like these compute resources or the person
[00:48:06.780 --> 00:48:10.740]   was actually living a life and real human being who's writing this paper.
[00:48:10.740 --> 00:48:13.140]   So there's like all of these constraints that come into it.
[00:48:13.140 --> 00:48:17.100]   And it's really good to see those stories and hear those stories.
[00:48:17.100 --> 00:48:21.420]   And of course, like as PhD students, you want like, you know, papers, you want to like get
[00:48:21.420 --> 00:48:26.300]   to the deadline because like, yeah, you know, it, it feels good when you like submit a paper.
[00:48:26.300 --> 00:48:31.340]   So every, of course, like it would not have been possible, like without Nikola's help,
[00:48:31.340 --> 00:48:36.500]   basically we like stayed up and like worked on it like crazy for like the, you know, month
[00:48:36.500 --> 00:48:38.180]   or and a half before the deadline.
[00:48:38.180 --> 00:48:39.940]   And it would have been impossible without his help.
[00:48:39.940 --> 00:48:41.700]   He's also a really good software engineer.
[00:48:41.700 --> 00:48:45.540]   So that like, I don't have that much software engineering experience.
[00:48:45.540 --> 00:48:50.820]   So like I can, you know, write a reasonably fast code, but like to make it actually work
[00:48:50.820 --> 00:48:54.020]   and performant, like he helped a lot with all of this stuff.
[00:48:54.020 --> 00:48:55.020]   Yeah.
[00:48:55.020 --> 00:48:59.980]   And I think that experience from Bita in the past would come in really handy when, when
[00:48:59.980 --> 00:49:00.980]   we're doing this.
[00:49:00.980 --> 00:49:01.980]   So that's really exciting to hear.
[00:49:01.980 --> 00:49:07.620]   So I guess in terms of the pre-training, this, the Roberta model was just straight from Hugging
[00:49:07.620 --> 00:49:08.620]   Face.
[00:49:08.620 --> 00:49:09.620]   Yeah.
[00:49:09.620 --> 00:49:10.860]   It's a, thanks to Hugging Face.
[00:49:10.860 --> 00:49:15.100]   So shout out to them for like making everything so easy to use.
[00:49:15.100 --> 00:49:16.100]   Amazing.
[00:49:16.100 --> 00:49:17.100]   That's great.
[00:49:17.100 --> 00:49:21.460]   And I guess the, then the last thing that I, in this section, I was really excited to
[00:49:21.460 --> 00:49:23.420]   see was the Tim library.
[00:49:23.420 --> 00:49:30.460]   So someone who's been involved in Tim for quite some time and to see Ross and then that library.
[00:49:30.460 --> 00:49:32.340]   The backbones as well then are customizable.
[00:49:32.340 --> 00:49:36.420]   So you could use any backbone that offers feature extraction from Tim.
[00:49:36.420 --> 00:49:37.420]   Is that correct?
[00:49:37.420 --> 00:49:38.420]   Exactly.
[00:49:38.420 --> 00:49:39.420]   Yeah.
[00:49:39.420 --> 00:49:42.300]   And this is very different from all of the other multi-modal approaches because they've
[00:49:42.300 --> 00:49:46.980]   been using like, you know, the same bottom up, top down extractor from like whichever
[00:49:46.980 --> 00:49:49.140]   2017, which was trained once on VG.
[00:49:49.140 --> 00:49:53.060]   And basically like there's a Docker, which everybody uses to extract images and nobody
[00:49:53.060 --> 00:49:54.980]   ever thought of like improving the detector.
[00:49:54.980 --> 00:50:00.260]   I mean, Vinville did of course, they, you know, applied, they used a lot more detection
[00:50:00.260 --> 00:50:01.260]   data sets.
[00:50:01.260 --> 00:50:03.620]   I don't, I don't think they like improve their detector as such.
[00:50:03.620 --> 00:50:09.620]   They just like use more data, but I'm just saying that like nobody else has like, I guess
[00:50:09.620 --> 00:50:16.980]   made the effort or like try to plug in, you know, better and yeah, just better backbones.
[00:50:16.980 --> 00:50:18.700]   And there's no reason not to, right.
[00:50:18.700 --> 00:50:24.380]   And Dieter made that like extremely easy for us because they had like a very smooth pipeline
[00:50:24.380 --> 00:50:27.780]   for just like plugging in anything, any pipeline and any backbone.
[00:50:27.780 --> 00:50:31.260]   And we're like, yeah, we're not efficient at B3, B5.
[00:50:31.260 --> 00:50:32.260]   Yeah.
[00:50:32.260 --> 00:50:33.260]   Yeah.
[00:50:33.260 --> 00:50:34.580]   Let's keep trying and let's keep doing that.
[00:50:34.580 --> 00:50:36.980]   And then I see you use the noisy students.
[00:50:36.980 --> 00:50:41.620]   I think that would help as well for the backbone because we want to extract really good features
[00:50:41.620 --> 00:50:42.620]   from the image itself.
[00:50:42.620 --> 00:50:43.620]   And then when there's like.
[00:50:43.620 --> 00:50:46.020]   We don't have to use this stuff, right?
[00:50:46.020 --> 00:50:50.460]   Like it's like somebody just mentioned that using bottom up, top down detector is such
[00:50:50.460 --> 00:50:51.460]   a pain.
[00:50:51.460 --> 00:50:52.460]   Yeah.
[00:50:52.460 --> 00:50:55.180]   Because like you have to like extract the features, dump them and then like do all of
[00:50:55.180 --> 00:50:56.180]   this stuff.
[00:50:56.180 --> 00:50:59.660]   And then just part of your model, you train everything end to end and it's just like clean.
[00:50:59.660 --> 00:51:00.660]   So yeah.
[00:51:00.660 --> 00:51:02.780]   No, that's the benefit of it.
[00:51:02.780 --> 00:51:03.780]   And that's what we see.
[00:51:03.780 --> 00:51:08.020]   Like if Robot is trained on like so many million tokens, then there's no reason not to have
[00:51:08.020 --> 00:51:10.740]   the vision backbones be trained on that.
[00:51:10.740 --> 00:51:11.740]   Yeah, exactly.
[00:51:11.740 --> 00:51:13.620]   Why only do the index.
[00:51:13.620 --> 00:51:14.620]   Yeah, exactly.
[00:51:14.620 --> 00:51:15.620]   That's wonderful to hear.
[00:51:15.620 --> 00:51:17.860]   So I guess now we're just down to the last sections.
[00:51:17.860 --> 00:51:19.580]   I'm also conscious of time.
[00:51:19.580 --> 00:51:24.220]   So maybe we'll go through the, maybe Aishwarya you could just quickly go through the downstream
[00:51:24.220 --> 00:51:29.260]   tasks and if you have some show reasons you want to share with us about any of the downstream
[00:51:29.260 --> 00:51:30.260]   fine tuning.
[00:51:30.260 --> 00:51:31.260]   Yeah.
[00:51:31.260 --> 00:51:37.220]   So, so for phrase grounding, basically because our data and our pre-training task was exactly
[00:51:37.220 --> 00:51:40.660]   just phrase grounding, we didn't fine tune any further.
[00:51:40.660 --> 00:51:46.540]   We just use our pre-trained model after 40 epochs that trained for about a week on 32
[00:51:46.540 --> 00:51:50.500]   GPUs and just evaluated it on the Flickr dataset.
[00:51:50.500 --> 00:51:58.540]   So there's, it's the one below the, sorry, the table is the one below, not the, yeah.
[00:51:58.540 --> 00:51:59.540]   This one?
[00:51:59.540 --> 00:52:00.540]   Yeah.
[00:52:00.540 --> 00:52:01.540]   So there's two protocols.
[00:52:01.540 --> 00:52:02.540]   This is a bit weird.
[00:52:02.540 --> 00:52:06.820]   We had to report on two different protocols because we actually spent quite a bit of time
[00:52:06.820 --> 00:52:10.700]   trying to make sure we're evaluating it in the right way, because there seems to be like
[00:52:10.700 --> 00:52:16.220]   two line of work, like the ones in the bottom half of the table don't cite the ones in the
[00:52:16.220 --> 00:52:18.980]   top and vice versa for some reason.
[00:52:18.980 --> 00:52:22.300]   So the one in the top are like the image tags, multimodal stuff.
[00:52:22.300 --> 00:52:26.540]   And the one in the bottom are more pure vision where they just like condition on the text
[00:52:26.540 --> 00:52:30.580]   and try to do detection, but they don't really do anything other than just like detecting
[00:52:30.580 --> 00:52:31.580]   the box.
[00:52:31.580 --> 00:52:32.580]   Right.
[00:52:32.580 --> 00:52:38.620]   So most box protocol just means that if there is one text, which refers to multiple boxes,
[00:52:38.620 --> 00:52:41.820]   then you have to like merge all the ground truth.
[00:52:41.820 --> 00:52:48.420]   Now this is problematic if you think about it, because if you pre-extract faster R-CNN
[00:52:48.420 --> 00:52:53.820]   boxes and try to like rank them using like, you know, whatever, how other people do it,
[00:52:53.820 --> 00:52:57.700]   you're not going to have boxes that are merged because the object detector boxes are supposed
[00:52:57.700 --> 00:53:00.860]   to be like separate boxes for each thing in the image.
[00:53:00.860 --> 00:53:07.260]   So yeah, that's why like these approaches like only cite among themselves, I guess.
[00:53:07.260 --> 00:53:10.940]   On the other hand, any box protocol does not mess with the ground truth.
[00:53:10.940 --> 00:53:13.340]   They say like, yeah, you have separate boxes.
[00:53:13.340 --> 00:53:19.580]   So if you just count it as a positive or like a correct thing, if you have more than 0.5
[00:53:19.580 --> 00:53:22.300]   IOU with any of the boxes.
[00:53:22.300 --> 00:53:24.020]   So that's why we call it any box protocol.
[00:53:24.020 --> 00:53:28.620]   So just to be clear about like what these two things are, but yeah, on both of these,
[00:53:28.620 --> 00:53:35.820]   basically we have like, yeah, we went from 71.3 to 83 and this was like with pre-training,
[00:53:35.820 --> 00:53:39.580]   but you can see the one without pre-training before that on Val, because we didn't like
[00:53:39.580 --> 00:53:40.580]   test it.
[00:53:40.580 --> 00:53:42.840]   It went from 70 to 78.
[00:53:42.840 --> 00:53:48.580]   So yeah, there was a huge boost in performance on this task and we were like super excited.
[00:53:48.580 --> 00:53:52.980]   And this is what gave us the confidence to run the large pre-training run and like get
[00:53:52.980 --> 00:53:54.540]   results on that.
[00:53:54.540 --> 00:54:00.460]   And then the table above is the referring expressions comprehension.
[00:54:00.460 --> 00:54:01.460]   Can you go up a bit, please?
[00:54:01.460 --> 00:54:02.460]   Yeah, one second.
[00:54:02.460 --> 00:54:03.460]   There we go.
[00:54:03.460 --> 00:54:04.460]   Yeah.
[00:54:04.460 --> 00:54:11.380]   So this one is, it seems like more papers report on this task.
[00:54:11.380 --> 00:54:13.980]   It's more popular than the Flickr.
[00:54:13.980 --> 00:54:20.960]   But the main idea here is that you have an image which has like multiple objects, which
[00:54:20.960 --> 00:54:25.620]   are often of the same class, but there will be a text which distinguishes the two.
[00:54:25.620 --> 00:54:29.660]   So like there'll be a man in a red shirt, for example, where there'll be like two men
[00:54:29.660 --> 00:54:30.660]   in the image.
[00:54:30.660 --> 00:54:33.880]   So you need to like take the context and figure out which of the two you need to put a box
[00:54:33.880 --> 00:54:34.880]   around.
[00:54:34.880 --> 00:54:35.880]   Like the pink elephant.
[00:54:35.880 --> 00:54:36.880]   Yeah, the pink elephant.
[00:54:36.880 --> 00:54:42.860]   Yeah, so the RefCoco, RefCoco+ and RefCocoG are three of these.
[00:54:42.860 --> 00:54:47.640]   RefCocoG is, I think, the hardest of these three because it has much longer sentences
[00:54:47.640 --> 00:54:53.600]   and like they're not allowed to use like just, like the RefCoco is pretty silly sometimes
[00:54:53.600 --> 00:54:58.320]   actually because it'll be like left or man right or something like that.
[00:54:58.320 --> 00:55:02.760]   Like the sentence is extremely short and not very interesting, but RefCocoG is like much
[00:55:02.760 --> 00:55:07.160]   more flowery language because these datasets were collected like one after the other with
[00:55:07.160 --> 00:55:11.440]   like refinement and how the process was used to like collect.
[00:55:11.440 --> 00:55:16.880]   In terms of results, you can see on RefCocoG, we have like a good five points increase also
[00:55:16.880 --> 00:55:20.360]   on this, on this, on this task.
[00:55:20.360 --> 00:55:21.360]   So that's really exciting.
[00:55:21.360 --> 00:55:28.980]   Vila is a paper which does like adversarial learning on top of really good image text
[00:55:28.980 --> 00:55:30.360]   models that already exist.
[00:55:30.360 --> 00:55:32.240]   And it's, I think, from NeurIPS last year.
[00:55:32.240 --> 00:55:34.680]   So it was pretty recent when we submitted this.
[00:55:34.680 --> 00:55:38.040]   So we were really excited when we saw that, you know, our results are like substantially
[00:55:38.040 --> 00:55:42.920]   better than all of the baselines, even though they like train on like what 4.6 million images
[00:55:42.920 --> 00:55:44.360]   and stuff like that.
[00:55:44.360 --> 00:55:50.520]   So yeah, this was, I think this is just like a consequence of the fact that our pre-training
[00:55:50.520 --> 00:55:55.640]   is basically doing the right kind of learning for this kind of task.
[00:55:55.640 --> 00:56:02.000]   Like, you know, all these other papers, they take faster CNN boxes and then kind of rank
[00:56:02.000 --> 00:56:04.240]   the boxes according to the text.
[00:56:04.240 --> 00:56:06.120]   They don't actually predict the box.
[00:56:06.120 --> 00:56:11.120]   So their performance is kind of upper bounded by the boxes that they have, which might not
[00:56:11.120 --> 00:56:12.440]   be good in the first place.
[00:56:12.440 --> 00:56:17.320]   So yeah, I think like the way we do it is like kind of pushing people to like change
[00:56:17.320 --> 00:56:19.160]   the way that they approach these tasks.
[00:56:19.160 --> 00:56:20.160]   And that's important.
[00:56:20.160 --> 00:56:21.160]   Yeah.
[00:56:21.160 --> 00:56:23.440]   No, I think that's a really, really good point.
[00:56:23.440 --> 00:56:31.440]   And having this end to end MD that makes things, I guess, makes things so easy instead of having
[00:56:31.440 --> 00:56:35.160]   like that two stage approach, because then you can have reason and you can match all
[00:56:35.160 --> 00:56:37.360]   of these different bounding boxes to one another.
[00:56:37.360 --> 00:56:39.680]   And that's really exciting to hear.
[00:56:39.680 --> 00:56:43.240]   So I guess that's in terms of the downstream tasks.
[00:56:43.240 --> 00:56:47.800]   There's also like a couple more, which maybe we can go over very quickly.
[00:56:47.800 --> 00:56:49.480]   Which is the segmentation?
[00:56:49.480 --> 00:56:54.280]   Yeah, there's GQA, which is question answering, which I guess is like a really popular data
[00:56:54.280 --> 00:57:00.120]   set because it's a bit cooler than VQA in my, yeah, you can put this on.
[00:57:00.120 --> 00:57:02.480]   I was going to put this on because I think this is important.
[00:57:02.480 --> 00:57:06.760]   I was going to ask question about the QA specific queries and how that's different.
[00:57:06.760 --> 00:57:09.440]   Thanks for bringing this up.
[00:57:09.440 --> 00:57:14.960]   So for question answering, the main difference is apart from just detecting the boxes and
[00:57:14.960 --> 00:57:19.200]   knowing which box corresponds to which part of the text, you also have to give an answer.
[00:57:19.200 --> 00:57:24.200]   So we had to fine tune on the GQA data set.
[00:57:24.200 --> 00:57:27.280]   In addition to the existing architecture, which, you know, everything would have been
[00:57:27.280 --> 00:57:32.080]   the same as like for pre-training, except for these QA specific queries, like you just
[00:57:32.080 --> 00:57:33.440]   pointed out.
[00:57:33.440 --> 00:57:36.160]   So this is just like something we call it.
[00:57:36.160 --> 00:57:39.600]   It's just a few more object queries.
[00:57:39.600 --> 00:57:40.600]   Nothing special about them.
[00:57:40.600 --> 00:57:45.160]   All of these things at the bottom of the decoder are just like learnable embeddings.
[00:57:45.160 --> 00:57:47.360]   So they're just initialized from scratch.
[00:57:47.360 --> 00:57:51.600]   During pre-training, obviously we don't have this QA specific query.
[00:57:51.600 --> 00:57:56.480]   So yeah, during the fine tuning, we initialize from scratch and the output of these is used
[00:57:56.480 --> 00:58:01.280]   to predict first the question type, where in GQA, we just like divide it by semantic
[00:58:01.280 --> 00:58:02.600]   types.
[00:58:02.600 --> 00:58:09.240]   And then according to like which type it is, you'll have like a softmax over the answers
[00:58:09.240 --> 00:58:10.560]   for that type of question.
[00:58:10.560 --> 00:58:16.120]   So if it's like, you know, very, like for clever, like it's like count questions, you'll
[00:58:16.120 --> 00:58:17.760]   have like numbers or whatever.
[00:58:17.760 --> 00:58:18.760]   So yeah, it's a...
[00:58:18.760 --> 00:58:20.440]   That makes sense.
[00:58:20.440 --> 00:58:24.600]   It's very similar to the existing pre-training model.
[00:58:24.600 --> 00:58:29.240]   So that makes like the new components of the model that need to be trained are basically
[00:58:29.240 --> 00:58:34.440]   just these heads on top of the queries, QA specific queries.
[00:58:34.440 --> 00:58:37.880]   I missed the details, but in terms of like then QA specific, do you remember off the
[00:58:37.880 --> 00:58:39.360]   top of your head, like how many queries?
[00:58:39.360 --> 00:58:43.040]   Because I think Dita had a hundred object queries as a standard.
[00:58:43.040 --> 00:58:45.920]   So in GQA, I think there's five answer types.
[00:58:45.920 --> 00:58:50.840]   So basically we'll have, you know, six of them because like one to predict the type
[00:58:50.840 --> 00:58:54.000]   and the five, which are the actual going to predict the answer.
[00:58:54.000 --> 00:58:55.000]   Right.
[00:58:55.000 --> 00:58:58.920]   So then I guess then when we're doing the fine tuning, you just add those six to the,
[00:58:58.920 --> 00:59:02.520]   instead of like initializing the embedding as a hundred, you just initialize it as a
[00:59:02.520 --> 00:59:05.600]   hundred and six, which is the difference here.
[00:59:05.600 --> 00:59:06.600]   Okay.
[00:59:06.600 --> 00:59:09.600]   That makes, that's really good to hear.
[00:59:09.600 --> 00:59:13.760]   So I guess then we just found at the conclusion, which is MDTR.
[00:59:13.760 --> 00:59:14.760]   I am so...
[00:59:14.760 --> 00:59:17.880]   If we look at the image once before we go to that, like I...
[00:59:17.880 --> 00:59:18.880]   Oh, I'm so sorry.
[00:59:18.880 --> 00:59:19.880]   The segmentation?
[00:59:19.880 --> 00:59:20.880]   No, no.
[00:59:20.880 --> 00:59:23.400]   This example of the question answering.
[00:59:23.400 --> 00:59:24.400]   Oh yes.
[00:59:24.400 --> 00:59:25.400]   Yeah.
[00:59:25.400 --> 00:59:30.680]   So yeah, I guess another cool thing that I want to point out about like MDTR is basically,
[00:59:30.680 --> 00:59:37.320]   you know, you, because you have such dense grounding, you can really figure out what
[00:59:37.320 --> 00:59:40.920]   it's looking at or what it's reasoning using.
[00:59:40.920 --> 00:59:46.040]   So what is on the table here, it has a box around the laptop for the word what, and you
[00:59:46.040 --> 00:59:47.920]   know, a box on the table for table.
[00:59:47.920 --> 00:59:51.280]   So it gives you a lot of like interpretability for question answering.
[00:59:51.280 --> 00:59:56.720]   And it's really exciting that we can like actually tell you exactly what it's looking
[00:59:56.720 --> 01:00:01.440]   at or like, sure, we used to have attention maps, but they were never like very clean,
[01:00:01.440 --> 01:00:02.440]   right.
[01:00:02.440 --> 01:00:07.600]   It's very different from having like explicit boxes, which are clean and like, you know,
[01:00:07.600 --> 01:00:09.680]   very tight around the object.
[01:00:09.680 --> 01:00:10.680]   So yeah.
[01:00:10.680 --> 01:00:11.680]   Yeah.
[01:00:11.680 --> 01:00:16.080]   And we'll go back to segmentation as well, because now I realized that I skipped segmentation.
[01:00:16.080 --> 01:00:21.640]   I think there was an image somewhere about, is it in this version of the paper, Aishwarya?
[01:00:21.640 --> 01:00:26.360]   I think we don't have a, yeah, model thing, but we can look at it in the colab once we're
[01:00:26.360 --> 01:00:27.360]   done with the paper.
[01:00:27.360 --> 01:00:28.360]   Oh, I know that.
[01:00:28.360 --> 01:00:30.720]   I know a really good place to find that.
[01:00:30.720 --> 01:00:31.720]   It's your GitHub repository.
[01:00:31.720 --> 01:00:34.480]   There's this link to the website.
[01:00:34.480 --> 01:00:39.520]   And I think there was a, I'll just go to the segmentation part, because I think that's
[01:00:39.520 --> 01:00:40.960]   really cool to see as well.
[01:00:40.960 --> 01:00:43.040]   Like that's just another, oh, there it is.
[01:00:43.040 --> 01:00:45.760]   Like referring this street lamp, which MDTR can do.
[01:00:45.760 --> 01:00:49.120]   Yeah, it's pretty cool because you know, that street lamp is kind of odd looking and
[01:00:49.120 --> 01:00:53.320]   it's far away in the background, but we still able to like give a very tight mask around
[01:00:53.320 --> 01:00:54.320]   it.
[01:00:54.320 --> 01:00:58.560]   Even the next one, like major league logo, that seems like not a very straightforward
[01:00:58.560 --> 01:00:59.560]   thing to like find.
[01:00:59.560 --> 01:01:01.080]   And it does a very good job at it.
[01:01:01.080 --> 01:01:02.080]   So yeah.
[01:01:02.080 --> 01:01:04.200]   I mean, of course we have, it's not perfect, right?
[01:01:04.200 --> 01:01:08.120]   Like these are like good examples that work well.
[01:01:08.120 --> 01:01:12.440]   It's not like we have a hundred percent accuracy on this, but it's exciting to see that it
[01:01:12.440 --> 01:01:15.680]   can do really well on a lot of images.
[01:01:15.680 --> 01:01:19.560]   Well the fact that you have examples to cherry pick, I think that's an accomplishment in
[01:01:19.560 --> 01:01:20.560]   itself.
[01:01:20.560 --> 01:01:23.640]   So you have examples of major league logo that can do this.
[01:01:23.640 --> 01:01:25.640]   I think that's quite a good accomplishment.
[01:01:25.640 --> 01:01:32.920]   I just feel like it's important to also like state your limitations, not be like, you know,
[01:01:32.920 --> 01:01:35.520]   this is the best thing which can like solve every task.
[01:01:35.520 --> 01:01:36.520]   Yeah.
[01:01:36.520 --> 01:01:39.800]   I mean, there's still more work to be done, but yeah.
[01:01:39.800 --> 01:01:40.800]   Absolutely.
[01:01:40.800 --> 01:01:41.800]   Thanks, Aras.
[01:01:41.800 --> 01:01:46.720]   So in terms of, I guess we'll head to the EMA section now then, is there anything else
[01:01:46.720 --> 01:01:51.400]   you want to add about the paper or you could for the EMA section, Aishwarya?
[01:01:51.400 --> 01:01:52.400]   Yeah, no.
[01:01:52.400 --> 01:01:55.680]   I was just sending somebody the GitHub link, but yeah.
[01:01:55.680 --> 01:02:01.680]   Yeah, no, I just want to say that overall, like this was a really fun project and, you
[01:02:01.680 --> 01:02:08.600]   know, I hope the code is like easy to use and we made sure to like release the code
[01:02:08.600 --> 01:02:15.000]   and release like colabs so you can also like try and set up like add URLs or any images
[01:02:15.000 --> 01:02:19.320]   from the web and like try to do face detection, try to do segmentation, try to do question
