
[00:00:00.000 --> 00:00:04.080]   Welcome to lesson 12.
[00:47:57.560 --> 00:48:00.040]   I just keep on running out of memory in time.
[00:48:00.040 --> 00:48:04.280]   And Inception ResNet version 2 is really, really fiddly and also really, really slow.
[00:48:04.280 --> 00:48:12.720]   So we've now got, you know, this beautiful nice ResNet, XResNet 50 model, which, you
[00:48:12.720 --> 00:48:19.160]   know, is built in this very first principles common sense way and gets astonishingly great
[00:48:19.160 --> 00:48:20.240]   results.
[00:48:20.240 --> 00:48:27.680]   So I really don't think we all need to be running to neural architecture search and
[00:48:27.680 --> 00:48:29.960]   hyperparameter optimization and blah, blah, blah.
[00:48:29.960 --> 00:48:34.260]   We just need to use, you know, good common sense thinking.
[00:48:34.260 --> 00:48:41.420]   So I'm super excited to see how well that worked out.
[00:48:41.420 --> 00:48:45.700]   So now that we have a nice model, we want to be able to do transfer learning.
[00:48:45.700 --> 00:48:48.120]   So how do we do transfer learning?
[00:48:48.120 --> 00:48:52.540]   I mean, you all know how to do transfer learning, but let's do it from scratch.
[00:48:52.540 --> 00:48:58.140]   So what I'm going to do is I'm going to transfer learn from ImageWolf to the pets data set
[00:48:58.140 --> 00:49:01.260]   that we used in lesson one.
[00:49:01.260 --> 00:49:02.600]   That's our goal.
[00:49:02.600 --> 00:49:04.600]   So we start by grabbing ImageWolf.
[00:49:04.600 --> 00:49:09.000]   We do the standard data block stuff.
[00:49:09.000 --> 00:49:10.840]   Let's use label-smoothing cross-entropy.
[00:49:10.840 --> 00:49:12.320]   Notice how we're using all the stuff we've built.
[00:49:12.320 --> 00:49:13.720]   This is our atom optimizer.
[00:49:13.720 --> 00:49:15.320]   This is our label-smoothing cross-entropy.
[00:49:15.320 --> 00:49:17.440]   This is the data block API we wrote.
[00:49:17.440 --> 00:49:22.320]   So we're still not using anything from fast AI v1.
[00:49:22.320 --> 00:49:26.240]   This is all stuff that if you want to know what's going on, you can go back to that previous
[00:49:26.240 --> 00:49:31.160]   lesson and see what did we build and how did we build it and step through the code.
[00:49:31.160 --> 00:49:36.260]   There's a CNN learner that we just built in the last notebook.
[00:49:36.260 --> 00:49:40.300]   These five lines of code I got sick of typing, so let's dump them into a single function
[00:49:40.300 --> 00:49:41.300]   called schedule1cycle.
[00:49:41.300 --> 00:49:44.780]   It's going to create our phases.
[00:49:44.780 --> 00:49:49.000]   It's going to create our momentum annealing and our learning rate annealing and create
[00:49:49.000 --> 00:49:50.500]   our schedulers.
[00:49:50.500 --> 00:49:54.700]   So now with that we can just say schedule1cycle with a learning rate, what percentage of
[00:49:54.700 --> 00:49:58.820]   the epochs are at the start, batches I should say at the start, and we could go ahead and
[00:49:58.820 --> 00:49:59.820]   fit.
[00:49:59.820 --> 00:50:00.820]   Okay.
[00:50:00.820 --> 00:50:03.660]   For transfer learning we should try and fit a decent model.
[00:50:03.660 --> 00:50:09.480]   So I did 40 epochs at 11 seconds per epoch on a 1080ti.
[00:50:09.480 --> 00:50:18.380]   So a few minutes later we've got 79.6% accuracy, which is pretty good, you know, training from
[00:50:18.380 --> 00:50:23.060]   scratch for 10 different dog breeds with a ResNet 18.
[00:50:23.060 --> 00:50:29.620]   So let's try and use this to create a good pets model that's going to be a little bit
[00:50:29.620 --> 00:50:34.700]   tricky because the pets dataset has cats as well, and this model's never seen cats.
[00:50:34.700 --> 00:50:39.860]   And also this model has only been trained on I think less than 10,000 images, so it's
[00:50:39.860 --> 00:50:44.500]   kind of unusually small thing that we're trying to do here, so it's an interesting experiment
[00:50:44.500 --> 00:50:46.220]   to see if this works.
[00:50:46.220 --> 00:50:49.700]   So the first thing we have to do is we have to save the model so that we can load it into
[00:50:49.700 --> 00:50:51.480]   a pets model.
[00:50:51.480 --> 00:50:57.740]   So when we save a model, what we do is we grab its state dict.
[00:50:57.740 --> 00:51:00.700]   Now we actually haven't written this, but it would be like three lines of code if you
[00:51:00.700 --> 00:51:04.800]   want to write it yourself, because all it does is it literally creates a dictionary,
[00:51:04.800 --> 00:51:09.980]   an order dict is just a Python standard library dictionary that has an order, where the keys
[00:51:09.980 --> 00:51:15.260]   are just the names of all the layers, and for sequential the index of each one, and
[00:51:15.260 --> 00:51:20.100]   then you can look up, say, 10.bias, and it just returns the weights.
[00:51:20.100 --> 00:51:21.100]   Okay.
[00:51:21.100 --> 00:51:26.840]   So you can easily turn a module into a dictionary, and so then we can create somewhere to save
[00:51:26.840 --> 00:51:30.860]   our model, and torch.save will save that dictionary.
[00:51:30.860 --> 00:51:35.540]   You can actually just use pickle here, works fine, and actually behind the scenes, torch.save
[00:51:35.540 --> 00:51:41.700]   is using pickle, but they kind of like add some header to it to say like it's basically
[00:51:41.700 --> 00:51:45.820]   a magic number that when they read it back, they make sure it is a PyTorch model file
[00:51:45.820 --> 00:51:51.540]   and that it's the right version and stuff like that, but you can totally use pickle.
[00:51:51.540 --> 00:51:56.660]   And so the nice thing is now that we know that the thing we've saved is just a dictionary.
[00:51:56.660 --> 00:52:01.980]   So you can fiddle with it, but if you have trouble loading something in the future, just
[00:52:01.980 --> 00:52:05.860]   open up, just go torch.load, put it into a dictionary, and look at the keys and look
[00:52:05.860 --> 00:52:08.380]   at the values and see what's going on.
[00:52:08.380 --> 00:52:10.780]   So let's try and use this for pets.
[00:52:10.780 --> 00:52:15.620]   So we've seen pets before, so the nice thing is that we've never used pets in part two,
[00:52:15.620 --> 00:52:19.180]   but our data blocks API totally works.
[00:52:19.180 --> 00:52:25.260]   And in this case, there's one images directory that contains all the images, and there isn't
[00:52:25.260 --> 00:52:32.060]   a separate validation set directory, so we can't use that label with -- sorry, yeah,
[00:52:32.060 --> 00:52:37.460]   label with -- sorry, split with grandparent thing, so we're going to have to split it
[00:52:37.460 --> 00:52:38.460]   randomly.
[00:52:38.460 --> 00:52:41.340]   But remember how we've already created split by func?
[00:52:41.340 --> 00:52:47.340]   So let's just write a function that returns true or false, depending on whether some random
[00:52:47.340 --> 00:52:51.060]   number is large or small.
[00:52:51.060 --> 00:52:57.940]   And so now, we can just pass that to our split by func, and we're done.
[00:52:57.940 --> 00:53:02.660]   So the nice thing is, when you kind of understand what's going on behind the scenes, it's super
[00:53:02.660 --> 00:53:05.940]   easy for you to customize things.
[00:53:05.940 --> 00:53:06.940]   And fast.i.v.
[00:53:06.940 --> 00:53:12.920]   1 is basically identical, there's a split by func that you do the same thing for.
[00:53:12.920 --> 00:53:19.460]   So now that's split into training and validation, and you can see how nice it is that we created
[00:53:19.460 --> 00:53:23.900]   that dunder repress so that we can print things out so easily to see what's going on.
[00:53:23.900 --> 00:53:29.220]   So if something doesn't have a nice representation, you should monkey-patch in a dunder repress
[00:53:29.220 --> 00:53:31.300]   so you can print out what's going on.
[00:53:31.300 --> 00:53:33.540]   Now we have to label it.
[00:53:33.540 --> 00:53:36.580]   So we can't label it by folder, because they're not put into folders.
[00:53:36.580 --> 00:53:39.560]   Instead, we have to look at the file name.
[00:53:39.560 --> 00:53:41.480]   So let's grab one file name.
[00:53:41.480 --> 00:53:45.260]   So I need to build all this stuff in a Jupyter notebook just interactively to see what's
[00:53:45.260 --> 00:53:48.980]   going on.
[00:53:48.980 --> 00:53:54.660]   So in this case, we'll grab one name, and then let's try to construct a regular expression
[00:53:54.660 --> 00:53:58.500]   that grabs just the doggy's name from that.
[00:53:58.500 --> 00:54:01.900]   And once we've got it, we can now turn that into a function.
[00:54:01.900 --> 00:54:06.740]   And we can now go ahead and use that category processor we built last week to label it.
[00:54:06.740 --> 00:54:07.740]   And there we go.
[00:54:07.740 --> 00:54:08.740]   There's all the kinds of doggy we have.
[00:54:08.740 --> 00:54:13.020]   We're not just doggies now, doggies and kitties.
[00:54:13.020 --> 00:54:15.020]   Okay.
[00:54:15.020 --> 00:54:21.860]   So now we can train from scratch pets, 37%, not great.
[00:54:21.860 --> 00:54:25.860]   So maybe with transfer learning, we can do better.
[00:54:25.860 --> 00:54:34.660]   So transfer learning, we can read in that imagewoof model, and then we will customize
[00:54:34.660 --> 00:54:37.980]   it for pets.
[00:54:37.980 --> 00:54:41.220]   So let's create a CNN for pets.
[00:54:41.220 --> 00:54:45.580]   This is now the pet's data bunch.
[00:54:45.580 --> 00:54:53.100]   But let's tell it to create a model with ten filters out, ten activations at the end.
[00:54:53.100 --> 00:54:56.980]   Because remember, imagewoof has ten types of dog, ten breeds.
[00:54:56.980 --> 00:55:02.460]   So to load in the pre-trained model, we're going to need to ask for a learner with ten
[00:55:02.460 --> 00:55:03.980]   activations.
[00:55:03.980 --> 00:55:09.820]   So that is something we can now grab our state dictionary that we saved earlier, and we can
[00:55:09.820 --> 00:55:14.220]   load it into our model.
[00:55:14.220 --> 00:55:18.220]   So this is now an imagewoof model.
[00:55:18.220 --> 00:55:24.120]   But the learner for it is pointing at the pet's data bunch.
[00:55:24.120 --> 00:55:30.060]   So what we now have to do is remove the final linear layer and replace it with one that
[00:55:30.060 --> 00:55:39.300]   has the right number of activations to handle all these, which I think is 37 pet breeds.
[00:55:39.300 --> 00:55:44.300]   So what we do is we look through all the children of the model, and we try to find the adaptive
[00:55:44.300 --> 00:55:48.640]   average pooling layer, because that's that kind of penultimate bit, and we grab the index
[00:55:48.640 --> 00:55:54.360]   of that, and then let's create a new model that has everything up to but not including
[00:55:54.360 --> 00:55:55.360]   that bit.
[00:55:55.360 --> 00:55:58.940]   So this is everything before the adaptive average pooling.
[00:55:58.940 --> 00:56:01.820]   So this is the body.
[00:56:01.820 --> 00:56:08.180]   So now we need to attach a new head to this body, which is going to have 37 activations
[00:56:08.180 --> 00:56:14.140]   in the linear layer instead of 10, which is a bit tricky because we need to know how many
[00:56:14.140 --> 00:56:18.180]   inputs are going to be required in this new linear layer.
[00:56:18.180 --> 00:56:23.820]   And the number of inputs will be however many outputs come out of this.
[00:56:23.820 --> 00:56:32.940]   So in other words, just before the average pooling happens in the x res net, how many
[00:56:32.940 --> 00:56:35.020]   activations are there?
[00:56:35.020 --> 00:56:36.020]   How many channels?
[00:56:36.020 --> 00:56:39.660]   Well, there's an easy way to find out.
[00:56:39.660 --> 00:56:45.860]   Grab a batch of data, put it through a cut down model, and look at the shape.
[00:56:45.860 --> 00:56:47.860]   And the answer is, there's 512.
[00:56:47.860 --> 00:56:48.860]   Okay?
[00:56:48.860 --> 00:56:55.620]   So we've got a 128 mini batch of 512 4x4 activations.
[00:56:55.620 --> 00:57:00.400]   So that pred dot shape one is the number of inputs to our head.
[00:57:00.400 --> 00:57:02.980]   And so we can now create our head.
[00:57:02.980 --> 00:57:06.020]   This is basically it here, our linear layer.
[00:57:06.020 --> 00:57:11.980]   But remember, we tend to not just use a max pool or just an average pool.
[00:57:11.980 --> 00:57:18.460]   We tend to do both and concatenate them together, which is something we've been doing in this
[00:57:18.460 --> 00:57:19.460]   course forever.
[00:57:19.460 --> 00:57:22.500]   But a couple of years, somebody finally did actually write a paper about it.
[00:57:22.500 --> 00:57:25.480]   So I think this is actually an official thing now.
[00:57:25.480 --> 00:57:28.740]   And it generally gives a nice little boost.
[00:57:28.740 --> 00:57:35.420]   So our linear layer needs twice as many inputs because we've got two sets of pooling we did.
[00:57:35.420 --> 00:57:42.940]   So our new model contains the whole head, plus a adaptive concat pooling, platen, and
[00:57:42.940 --> 00:57:44.420]   our linear.
[00:57:44.420 --> 00:57:49.380]   And so let's replace the model with that new model we created and fit.
[00:57:49.380 --> 00:57:57.600]   And look at that, 71% by fine tuning versus 37% training from scratch.
[00:57:57.600 --> 00:57:59.380]   So that looks good.
[00:57:59.380 --> 00:58:06.100]   So we have a simple transfer learning working.
[00:58:06.100 --> 00:58:13.660]   So what I did then, I do this in Jupyter all the time, I basically grabbed all the cells.
[00:58:13.660 --> 00:58:16.780]   I hit C to copy, and then I hit V to paste.
[00:58:16.780 --> 00:58:21.620]   And then I grabbed them all, and I hit shift M to merge, and chucked a function header
[00:58:21.620 --> 00:58:22.620]   on top.
[00:58:22.620 --> 00:58:26.460]   So now I've got a function that does all the-- so these are all the lines you saw just before.
[00:58:26.460 --> 00:58:29.180]   And I've just stuck them all together into a function.
[00:58:29.180 --> 00:58:30.580]   I call it adapt model.
[00:58:30.580 --> 00:58:34.940]   It's going to take a learner and adapt it for the new data.
[00:58:34.940 --> 00:58:37.140]   So these are all the lines of code you've already seen.
[00:58:37.140 --> 00:58:44.700]   And so now we can just go CNN learner, load the state dict, adapt the model, and then
[00:58:44.700 --> 00:58:46.020]   we can start training.
[00:58:46.020 --> 00:58:52.420]   But of course, what we really like to do is to first of all train only the head.
[00:58:52.420 --> 00:58:56.060]   So let's grab all the parameters in the body.
[00:58:56.060 --> 00:59:02.520]   And remember, when we did that nn.sequential, the body is just the first thing.
[00:59:02.520 --> 00:59:05.100]   That's the whole ResNet body.
[00:59:05.100 --> 00:59:13.500]   So let's grab all the parameters in the body and set them to requires grad equals false.
[00:59:13.500 --> 00:59:15.420]   So it's frozen.
[00:59:15.420 --> 00:59:20.520]   And so now we can train just the head, and we get 54%, which is great.
[00:59:20.520 --> 00:59:26.700]   So now we, as you know, unfreeze and train some more.
[00:59:26.700 --> 00:59:28.420]   Uh-oh.
[00:59:28.420 --> 00:59:41.700]   So it's better than not fine tuning, but interestingly, it's worse-- 71 versus 56-- it's worse than
[00:59:41.700 --> 00:59:46.080]   the kind of naive fine tuning, where we didn't do any freezing.
[00:59:46.080 --> 00:59:49.220]   So what's going on there?
[00:59:49.220 --> 00:59:52.420]   Anytime something weird happens in your neural net, it's almost certainly because of batch
[00:59:52.420 --> 00:59:55.700]   norm, because batch norm makes everything weird.
[00:59:55.700 --> 00:59:57.580]   And that's true here, too.
[00:59:57.580 --> 01:00:06.380]   What happened was our frozen part of our model, which was designed for ImageWolf, those layers
[01:00:06.380 --> 01:00:13.740]   were tuned for some particular set of mean and standard deviations, because remember,
[01:00:13.740 --> 01:00:20.580]   the batch norm is going to subtract the mean and divide by the standard deviation.
[01:00:20.580 --> 01:00:26.580]   But the PETS data set has different means and standard deviations, not for the input,
[01:00:26.580 --> 01:00:29.080]   but inside the model.
[01:00:29.080 --> 01:00:37.100]   So then when we unfroze this, it basically said this final layer was getting trained
[01:00:37.100 --> 01:00:42.780]   for everything being frozen, but that was for a different set of batch norm statistics.
[01:00:42.780 --> 01:00:50.180]   So then when we unfroze it, everything tried to catch up, and it would be very interesting
[01:00:50.180 --> 01:00:55.020]   to look at the histograms and stuff that we did earlier in the course and see what's really
[01:00:55.020 --> 01:01:00.720]   going on, because I haven't really seen anybody-- I haven't really seen a paper about this.
[01:01:00.720 --> 01:01:05.020]   Something we've been doing in FastAI for a few years now, but I think this is the first
[01:01:05.020 --> 01:01:10.180]   course where we've actually drawn attention to it.
[01:01:10.180 --> 01:01:12.580]   That's something that's been hidden away in the library before.
[01:01:12.580 --> 01:01:18.940]   But as you can see, it's a huge difference, the difference between 56 versus 71.
[01:01:18.940 --> 01:01:22.580]   So the good news is it's easily fixed.
[01:01:22.580 --> 01:01:29.860]   And the trick is to not freeze all of the body parameters, but freeze all of the body
[01:01:29.860 --> 01:01:33.940]   parameters that aren't in the batch norm layers.
[01:01:33.940 --> 01:01:38.660]   And that way, when we fine-tune the final layer, we're also fine-tuning all of the batch
[01:01:38.660 --> 01:01:41.140]   norm layers' weights and biases.
[01:01:41.140 --> 01:01:47.080]   So we can create, just like before, adapt the model, and let's create something called
[01:01:47.080 --> 01:01:51.980]   setGradient, which says, oh, if it's a linear layer at the end or a batch norm layer in
[01:01:51.980 --> 01:01:53.820]   the middle, return.
[01:01:53.820 --> 01:01:55.020]   Don't change the gradient.
[01:01:55.020 --> 01:02:00.180]   Otherwise, if it's got weights, set requires grad2, whatever you asked for, which we're
[01:02:00.180 --> 01:02:04.060]   going to start false.
[01:02:04.060 --> 01:02:09.740]   Here's a little convenient function that will apply any function you pass to it recursively
[01:02:09.740 --> 01:02:11.820]   to all of the children of a model.
[01:02:11.820 --> 01:02:17.860]   So now that we have apply to a model, or apply to a module, I guess, we can just pass in
[01:02:17.860 --> 01:02:22.220]   a module, and that will be applied throughout.
[01:02:22.220 --> 01:02:30.000]   So this way, we freeze just the non-batch norm layers, and of course, not the last layer.
[01:02:30.000 --> 01:02:35.320]   And so actually, fine-tuning immediately is a bit better, goes from 54 to 58.
[01:02:35.320 --> 01:02:42.500]   But more importantly, then when we unfreeze, we're back into the 70s again.
[01:02:42.500 --> 01:02:46.460]   So this is just a super important thing to remember, if you're doing fine-tuning.
[01:02:46.460 --> 01:02:51.260]   And I don't think there's any library other than fast.ai that does this, weirdly enough.
[01:02:51.260 --> 01:02:56.360]   So if you're using TensorFlow or something, you'll have to write this yourself to make
[01:02:56.360 --> 01:03:02.300]   sure that you don't freeze ever, don't ever freeze the weights in the batch norm layers
[01:03:02.300 --> 01:03:05.940]   any time you're doing partial layer training.
[01:03:05.940 --> 01:03:10.620]   Oh, by the way, that apply mod, I only wrote it because we're not allowed to use stuff
[01:03:10.620 --> 01:03:14.580]   in PyTorch, but actually PyTorch has its own, it's called model.apply.
[01:03:14.580 --> 01:03:18.940]   So you can use that now, it's the same thing.
[01:03:18.940 --> 01:03:26.380]   Okay, so finally, for this half of the course, we're going to look at discriminative learning
[01:03:26.380 --> 01:03:27.880]   rates.
[01:03:27.880 --> 01:03:31.660]   So for discriminative learning rates, there's a few things we can do with them.
[01:03:31.660 --> 01:03:37.100]   One is it's a simple way to do layer freezing without actually worrying about setting requires
[01:03:37.100 --> 01:03:38.100]   grad.
[01:03:38.100 --> 01:03:40.820]   We could just set the learning rate to zero for some layers.
[01:03:40.820 --> 01:03:43.460]   So let's start by doing that.
[01:03:43.460 --> 01:03:51.100]   So what we're going to do is we're going to split our parameters into two or more groups
[01:03:51.100 --> 01:03:52.100]   with a function.
[01:03:52.100 --> 01:04:01.400]   Here's our function, it's called bnsplitter, it's going to create two groups of parameters
[01:04:01.400 --> 01:04:07.580]   and it's going to pass the body to underscore bnsplitter, which will recursively look for
[01:04:07.580 --> 01:04:12.500]   batch norm layers and put them in the second group or anything else with a weight goes
[01:04:12.500 --> 01:04:16.240]   in the first group and then do it recursively.
[01:04:16.240 --> 01:04:20.060]   And then also the second group will add everything after the head.
[01:04:20.060 --> 01:04:24.620]   So this is basically doing something where we're putting all our parameters into the
[01:04:24.620 --> 01:04:28.060]   two groups we want to treat differently.
[01:04:28.060 --> 01:04:32.860]   So we can check, for example, that when we do bnsplitter on a model that the number of
[01:04:32.860 --> 01:04:38.580]   parameters in the two halves is equal to the total number of parameters in the model.
[01:04:38.580 --> 01:04:41.180]   And so now I want to check this works, right?
[01:04:41.180 --> 01:04:46.340]   I want to make sure that if I pass this, because we now have a splitter function in the learner,
[01:04:46.340 --> 01:04:52.060]   and that's another thing I added this week, that when you start training, it's literally
[01:04:52.060 --> 01:04:53.180]   just this.
[01:04:53.180 --> 01:04:59.580]   When we create an optimizer, it passes the model to self.splitter, which by default does
[01:04:59.580 --> 01:05:01.660]   nothing at all.
[01:05:01.660 --> 01:05:06.660]   And so we're going to be using our bnsplitter to split it into multiple parameter groups.
[01:05:06.660 --> 01:05:07.700]   And so how do we debug that?
[01:05:07.700 --> 01:05:08.700]   How do we make sure it's working?
[01:05:08.700 --> 01:05:13.500]   Because this is one of these things that if I screw it up, I probably won't get an error,
[01:05:13.500 --> 01:05:17.580]   but instead it probably won't train my last layer, or it'll train all the layers at the
[01:05:17.580 --> 01:05:22.460]   same learning rate, or it would be hard to know if the model was bad because I screwed
[01:05:22.460 --> 01:05:23.580]   up my code or not.
[01:05:23.580 --> 01:05:26.960]   So we need a way to debug it.
[01:05:26.960 --> 01:05:31.740]   We can't just look inside and make sure it's working, because what we're going to be doing
[01:05:31.740 --> 01:05:42.700]   is we're going to be passing it, let's see this one, we're going to be passing it to
[01:05:42.700 --> 01:05:46.220]   the splitter parameter when we create the learner, right?
[01:05:46.220 --> 01:05:51.420]   So after this, it set the splitter parameter, and then when we start training, we're hoping
[01:05:51.420 --> 01:05:53.300]   that it's going to create these two layer groups.
[01:05:53.300 --> 01:05:56.180]   So we need some way to look inside the model.
[01:05:56.180 --> 01:05:58.460]   So of course, we're going to use a callback.
[01:05:58.460 --> 01:05:59.620]   And this is something that's super cool.
[01:05:59.620 --> 01:06:05.220]   Do you remember how I told you that you can actually override dundercall itself?
[01:06:05.220 --> 01:06:07.900]   You don't just have to override a specific callback?
[01:06:07.900 --> 01:06:13.860]   And by overriding dundercall itself, we can actually say, which callback do we want to
[01:06:13.860 --> 01:06:15.620]   debug?
[01:06:15.620 --> 01:06:19.540]   And when we hit that callback, please run this function.
[01:06:19.540 --> 01:06:23.180]   And if you don't pass in a function, it just jumps into the debugger as soon as that callback
[01:06:23.180 --> 01:06:25.860]   is hit, otherwise call the function.
[01:06:25.860 --> 01:06:27.380]   So this is super handy, right?
[01:06:27.380 --> 01:06:32.040]   Because now I can create a function called print details that just prints out how many
[01:06:32.040 --> 01:06:36.180]   parameter groups there are and what the hyperparameters there are, and then immediately raises the
[01:06:36.180 --> 01:06:39.140]   cancel train exception to stop.
[01:06:39.140 --> 01:06:45.780]   And so then I can fit with my discriminative LR scheduler and my debug callback, and my
[01:06:45.780 --> 01:06:50.380]   discriminative LR scheduler is something that now doesn't just take a learning rate, but
[01:06:50.380 --> 01:06:55.220]   an array of learning rates and creates a scheduler for every learning rate.
[01:06:55.220 --> 01:07:00.620]   And so I can pass that in, so I'm going to use 0 and 0.02.
[01:07:00.620 --> 01:07:11.480]   So in other words, no training for the body and 0.03 for the head and the batch norm.
[01:07:11.480 --> 01:07:17.100]   And so as soon as I fit, it immediately stops because the cancel train exception was raised,
[01:07:17.100 --> 01:07:21.460]   and it prints out and says there's two parameter groups, which is what we want, and the first
[01:07:21.460 --> 01:07:27.420]   parameter group has a learning rate of 0, which is what we want, and the second is 0.003,
[01:07:27.420 --> 01:07:34.120]   which is right because it's 0.03, and we're using the learning rate scheduler so it starts
[01:07:34.120 --> 01:07:36.180]   out 10 times smaller.
[01:07:36.180 --> 01:07:41.940]   So this is just a way of saying if you're anything like me, every time you write code,
[01:07:41.940 --> 01:07:47.380]   it will always be wrong, and for this kind of code, you won't know it's wrong, and you
[01:07:47.380 --> 01:07:52.940]   could be writing a paper or doing a project at work or whatever in which you're not using
[01:07:52.940 --> 01:07:56.580]   discriminative learning rates at all because of some bug because you didn't know how to
[01:07:56.580 --> 01:07:57.580]   check.
[01:07:57.580 --> 01:08:03.420]   So make sure you can check and always assume that you screw up everything.
[01:08:03.420 --> 01:08:13.300]   Okay, so now we can train with zero learning rate on the first layer group, and then we
[01:08:13.300 --> 01:08:16.620]   can use discriminative learning rates with 1 and a 3 and 1 and a 2 and train a little
[01:08:16.620 --> 01:08:20.020]   bit more, and that all works.
[01:08:20.020 --> 01:08:24.680]   Okay, so that's all the tweaks we have.
[01:08:24.680 --> 01:08:25.680]   Any questions, Rachel?
[01:08:25.680 --> 01:08:28.140]   A bit too tangential questions come up.
[01:08:28.140 --> 01:08:30.300]   They're my favorite.
[01:08:30.300 --> 01:08:35.360]   The first is we heard that you're against cross-validation for deep learning.
[01:08:35.360 --> 01:08:39.260]   We heard that you're against cross-validation for deep learning and wanted to know why that
[01:08:39.260 --> 01:08:40.780]   is.
[01:08:40.780 --> 01:08:41.780]   And the second question...
[01:08:41.780 --> 01:08:43.780]   Let's do it one at a time.
[01:08:43.780 --> 01:08:44.780]   Okay.
[01:08:44.780 --> 01:08:45.780]   Okay.
[01:08:45.780 --> 01:08:50.900]   So cross-validation is a very useful technique for getting a reasonably sized validation
[01:08:50.900 --> 01:08:56.380]   set if you don't have enough data to otherwise create a reasonably sized validation set.
[01:08:56.380 --> 01:09:02.740]   So it was particularly popular in the days when most studies were like 50 or 60 rows.
[01:09:02.740 --> 01:09:06.580]   If you've got a few thousand rows, it's just pointless, right?
[01:09:06.580 --> 01:09:10.220]   Like the kind of statistical significance is going to be there regardless.
[01:09:10.220 --> 01:09:15.100]   So I wouldn't say I'm against it, just most of the time you don't need it because if you've
[01:09:15.100 --> 01:09:18.820]   got a thousand things in the validation set and you only care whether it's like plus or
[01:09:18.820 --> 01:09:22.780]   minus 1%, it's totally pointless.
[01:09:22.780 --> 01:09:27.100]   So yeah, have a look and see how much your validation set accuracy is varying from run
[01:09:27.100 --> 01:09:28.100]   to run.
[01:09:28.100 --> 01:09:33.020]   And if it's too much that you can't make the decisions you need to make, then you can add
[01:09:33.020 --> 01:09:37.420]   cross-validation.
[01:09:37.420 --> 01:09:45.080]   And what are your best tips for debugging deep learning?
[01:09:45.080 --> 01:09:48.780]   So Chris Latner asked me this today as well, actually.
[01:09:48.780 --> 01:09:57.180]   So I'll answer the same answer to him, which is don't make mistakes in the first place.
[01:09:57.180 --> 01:10:02.100]   And the only way to do that is to make your code so simple that it can't possibly have
[01:10:02.100 --> 01:10:07.700]   a mistake and to check every single intermediate result along the way to make sure it doesn't
[01:10:07.700 --> 01:10:09.260]   have a mistake.
[01:10:09.260 --> 01:10:13.300]   Otherwise, your last month might have been like my last month.
[01:10:13.300 --> 01:10:15.060]   What happened in my last month?
[01:10:15.060 --> 01:10:23.460]   Well, a month ago, I got 94.1% accuracy on ImageNet, and I was very happy.
[01:10:23.460 --> 01:10:27.340]   And then I started a couple of weeks ago trying various tweaks.
[01:10:27.340 --> 01:10:29.860]   And none of the tweaks seemed to help.
[01:10:29.860 --> 01:10:33.020]   And after a while, I got so frustrated, I thought I'd just repeat the previous training
[01:10:33.020 --> 01:10:36.020]   to see if it was like what was going on with the Fluke.
[01:10:36.020 --> 01:10:37.180]   And I couldn't repeat it.
[01:10:37.180 --> 01:10:42.360]   I was now getting 93.5 instead of 94.1.
[01:10:42.360 --> 01:10:43.900]   And I trained it like a bunch of times.
[01:10:43.900 --> 01:10:49.060]   And every time I trained it, it was costing me $150 of AWS credits.
[01:10:49.060 --> 01:10:50.860]   So I wasn't thrilled about this.
[01:10:50.860 --> 01:10:56.300]   And it was six hours of waiting.
[01:10:56.300 --> 01:10:59.020]   So that was quite a process to even realize like it's broken.
[01:10:59.020 --> 01:11:00.020]   This is the kind of thing.
[01:11:00.020 --> 01:11:04.320]   Like when something, when you've written that kind of code wrong, it gets broken in ways
[01:11:04.320 --> 01:11:05.320]   you don't even notice.
[01:11:05.320 --> 01:11:08.460]   It was broken for weeks in fast AI.
[01:11:08.460 --> 01:11:10.900]   And nobody noticed.
[01:11:10.900 --> 01:11:16.940]   So eventually, I realized, yeah, I mean, so the first thing I'll say is, you've got to
[01:11:16.940 --> 01:11:20.300]   be a great scientist, which means you need a journal notebook, right?
[01:11:20.300 --> 01:11:23.540]   You need to keep track of your journal results.
[01:11:23.540 --> 01:11:28.980]   So I had a good journal, I pasted everything that was going on, all my models into a file.
[01:11:28.980 --> 01:11:33.020]   So I went back, I confirmed it really was 94.1.
[01:11:33.020 --> 01:11:35.580]   I could see exactly when it was.
[01:11:35.580 --> 01:11:40.940]   And so then I could revert to the exact commit that was in fast AI at that time.
[01:11:40.940 --> 01:11:44.540]   And I reran it, and I got 94.1.
[01:11:44.540 --> 01:11:51.720]   So I now had to figure out which change in the previous month of the entire fast AI code
[01:11:51.720 --> 01:11:54.260]   base caused this to break.
[01:11:54.260 --> 01:11:57.740]   So the first thing I tried to do was try to find a way to quickly figure out whether something
[01:11:57.740 --> 01:11:58.900]   was broken.
[01:11:58.900 --> 01:12:04.740]   But after doing a few runs and plotting them in Excel, it was very clear that the training
[01:12:04.740 --> 01:12:08.220]   was identical until epoch 50.
[01:12:08.220 --> 01:12:10.540]   So until epoch 50 out of 60.
[01:12:10.540 --> 01:12:13.140]   So there was no shortcut.
[01:12:13.140 --> 01:12:18.740]   And so I did a bisection search one module at a time, looking through the 15 modules
[01:12:18.740 --> 01:12:22.980]   that had changed in that diff until eventually I find it was in the mixed precision module.
