
[00:00:00.040 --> 00:00:22.240]   so thank you everyone we have a very full room today so we'll get started with the repo here in
[00:51:00.380 --> 00:51:06.380]   So all this does is it basically caches this parameter for this specific customer ID.
[00:51:06.380 --> 00:51:09.380]   So I can use that in later query calls.
[00:51:09.380 --> 00:51:11.380]   So I'm going to go ahead and put that in.
[00:51:11.380 --> 00:51:18.380]   And then I am going to take this query here.
[00:51:18.380 --> 00:51:24.380]   And basically what this query is just going to do is tell me the history of this specific customer,
[00:51:24.380 --> 00:51:25.380]   their purchase history.
[00:51:25.380 --> 00:51:27.380]   So I'm going to go back here.
[00:51:27.380 --> 00:51:30.380]   And I'm going to say, hey, get me the customer with that ID.
[00:51:30.380 --> 00:51:33.380]   And then get me all the things that they purchased.
[00:51:33.380 --> 00:51:36.380]   And then all of the product categories that those were in basically.
[00:51:36.380 --> 00:51:39.380]   And just return some metadata about that.
[00:51:39.380 --> 00:51:41.380]   So I'm going to go ahead and give that a run.
[00:51:41.380 --> 00:51:45.380]   And it will tell me this person purchased the specific product names right here.
[00:51:45.380 --> 00:51:48.380]   The product type that they belong to, et cetera.
[00:51:48.380 --> 00:51:50.380]   And the description of those products.
[00:51:50.380 --> 00:51:57.380]   And then the cool part about graph is I can basically start taking.
[00:51:57.380 --> 00:51:59.380]   I can pull the latest purchase history.
[00:51:59.380 --> 00:52:03.380]   And then I can start making recommendations off of that latest purchase history.
[00:52:03.380 --> 00:52:06.380]   So there's lots of more complicated and fancy ways to do this.
[00:52:06.380 --> 00:52:13.380]   But the basic idea here, right, is that if I go with this, I can pull the latest purchases.
[00:52:13.380 --> 00:52:14.380]   So similar to what we did before.
[00:52:14.380 --> 00:52:16.380]   Just say, hey, take this customer.
[00:52:16.380 --> 00:52:18.380]   Get everything they purchased.
[00:52:18.380 --> 00:52:21.380]   Get sort of the max date as the latest purchases.
[00:52:21.380 --> 00:52:23.380]   And then I'm going to do this long query here.
[00:52:23.380 --> 00:52:29.380]   And basically what this long match statement is saying is say, hey, take this customer.
[00:52:29.380 --> 00:52:33.380]   Take their latest purchases, right?
[00:52:33.380 --> 00:52:36.380]   Look at other customers that purchased the same thing.
[00:52:36.380 --> 00:52:38.380]   And then look at what they purchased, right?
[00:52:38.380 --> 00:52:39.380]   That's what it's saying.
[00:52:39.380 --> 00:52:47.380]   So it's like, right, if ABK, if I buy the same things as ABK does, I can say, right, which, okay, thumbs up, right?
[00:52:47.380 --> 00:52:52.380]   Okay, and then I can basically say, well, for me, look at what ABK has purchased
[00:52:52.380 --> 00:52:54.380]   and a few other people that have similar purchasing behaviors.
[00:52:54.380 --> 00:52:57.380]   And is there anything there that I haven't bought yet?
[00:52:57.380 --> 00:52:59.380]   That's basically what this query is doing.
[00:52:59.380 --> 00:53:04.380]   So when you run this query, what you'll see is you'll start to get these different sweaters and everything.
[00:53:04.380 --> 00:53:06.380]   And this will change for every customer.
[00:53:06.380 --> 00:53:13.380]   And so the idea here is that this structured data that can feed us this, you see here,
[00:53:13.380 --> 00:53:15.380]   you have these common purchase scores.
[00:53:15.380 --> 00:53:22.380]   This is basically scoring the amount of times that you had common purchases between customers
[00:53:22.380 --> 00:53:24.380]   and then like sort of the next thing that they buy.
[00:53:24.380 --> 00:53:31.380]   So for example, eight other, there's been eight other common purchases between people that have bought this
[00:53:31.380 --> 00:53:33.380]   and between something that this particular customer has bought.
[00:53:33.380 --> 00:53:37.380]   And so these top, go ahead.
[00:53:37.380 --> 00:53:39.380]   You can imagine this as your peer group, right?
[00:53:39.380 --> 00:53:43.380]   So the people that are like you, that buy the same stuff or interested in the same stuff.
[00:53:43.380 --> 00:53:44.380]   So that's your peer group.
[00:53:44.380 --> 00:53:48.380]   You just look what else has your peer group bought that you haven't bought yet, right?
[00:53:48.380 --> 00:53:50.380]   So that's kind of what is behind that.
[00:53:50.380 --> 00:53:51.380]   Yes, exactly.
[00:53:51.380 --> 00:53:54.380]   And these are the top ring things in the peer group.
[00:53:54.380 --> 00:53:57.380]   So this specific sweater, this T-shirt.
[00:53:57.380 --> 00:54:03.380]   Say slowly again what the common purchase score means in plain language.
[00:54:03.380 --> 00:54:04.380]   Yep.
[00:54:04.380 --> 00:54:09.380]   And let me look at it again just to make sure I have it right here.
[00:54:09.380 --> 00:54:18.380]   So we're basically counting the number of paths between the number of co-purchase paths.
[00:54:18.380 --> 00:54:24.380]   So basically this customer, when we go out and look at what other people have bought in that peer group basically,
[00:54:24.380 --> 00:54:27.380]   how many times has that item been bought in that peer group?
[00:54:27.380 --> 00:54:28.380]   Does that make sense?
[00:54:28.380 --> 00:54:31.380]   Okay, so it's the score attached to an item.
[00:54:31.380 --> 00:54:32.380]   Yes.
[00:54:32.380 --> 00:54:34.380]   It says high score means lots of people have bought it.
[00:54:34.380 --> 00:54:35.380]   Yes, exactly.
[00:54:35.380 --> 00:54:36.380]   Thank you.
[00:54:36.380 --> 00:54:37.380]   Yep.
[00:54:37.380 --> 00:54:39.380]   Is that clear for everyone?
[00:54:39.380 --> 00:54:44.380]   How does it, sorry, how does it know it's a peer group?
[00:54:44.380 --> 00:54:47.380]   Peer group being that it's sort of the local graph structure.
[00:54:47.380 --> 00:55:00.380]   So what I'm doing right is I'm basically, if I look at this graph, I'm basically going like I'm starting at a specific customer.
[00:55:00.380 --> 00:55:02.380]   Then I'm looking at the article.
[00:55:02.380 --> 00:55:04.380]   And then I'm looking at everyone that bought this.
[00:55:04.380 --> 00:55:07.380]   And then I'm going out one more hop, right, to see everything they bought.
[00:55:07.380 --> 00:55:11.380]   And then I'm going to count up how many times those purchases appear.
[00:55:11.380 --> 00:55:21.380]   And the more purchases there are, the more likely it is, right, that that individual customer is likely to like that product just based on the common purchase behaviors in the graph.
[00:55:21.380 --> 00:55:22.380]   Does that make sense?
[00:55:22.380 --> 00:55:32.380]   So in this case then, the customer that you were just pointing out, the, well, yeah, before you scrolled away.
[00:55:32.380 --> 00:55:33.380]   Oh, sorry.
[00:55:33.380 --> 00:55:35.380]   I'm just, I want to make sure I understand the graph.
[00:55:35.380 --> 00:55:44.380]   So you picked that one random customer and you said you go one hop away from, so yeah, so assuming that person.
[00:55:44.380 --> 00:55:49.380]   Then that blue product, I guess, so that's the one they bought.
[00:55:49.380 --> 00:55:58.380]   And then the one to your left, I suppose, that would, or I guess right, whatever, the next, the closest blue dot, that's another product.
[00:55:58.380 --> 00:55:59.380]   Yep.
[00:55:59.380 --> 00:56:03.380]   Because there are links between, oh my goodness.
[00:56:03.380 --> 00:56:04.380]   Yes.
[00:56:04.380 --> 00:56:05.380]   There's lots of products, right?
[00:56:05.380 --> 00:56:12.380]   So it's basically going bought this, this person bought that, and then for all of, see, and there's a lot of interconnected relationships too.
[00:56:12.380 --> 00:56:17.380]   And then it, and then yes, for all of that, and then go out one more purchase relationship.
[00:56:17.380 --> 00:56:23.380]   So you're basically going out and then you're saying, okay, how many times do these other blue nodes show up?
[00:56:23.380 --> 00:56:24.380]   Right.
[00:56:24.380 --> 00:56:25.380]   Okay.
[00:56:25.380 --> 00:56:30.380]   And the more that they show up inside of that graph, the more shared purchasing behavior you have.
[00:56:30.380 --> 00:56:31.380]   Yeah.
[00:56:31.380 --> 00:56:32.380]   Yeah.
[00:56:32.380 --> 00:56:33.380]   So it's basically just counting that.
[00:56:33.380 --> 00:56:36.380]   You could write the query to go out further if you wanted to.
[00:56:36.380 --> 00:56:37.380]   You could.
[00:56:37.380 --> 00:56:38.380]   You could build it.
[00:56:38.380 --> 00:56:39.380]   Yeah.
[00:56:39.380 --> 00:56:42.380]   And, and part of the machine learning piece does that automatically.
[00:56:42.380 --> 00:56:44.380]   So, but yes.
[00:56:44.380 --> 00:56:45.380]   Can I ask a question about time window?
[00:56:45.380 --> 00:56:57.380]   So, for example, here you are considering like, you know, the person, no matter if it's one month or one year, that's one transaction.
[00:56:57.380 --> 00:56:59.380]   Versus if I'm considering window, right?
[00:56:59.380 --> 00:57:02.380]   One month versus one year versus one way.
[00:57:02.380 --> 00:57:05.380]   Is there a way like, you know, to make this?
[00:57:05.380 --> 00:57:06.380]   Yeah.
[00:57:06.380 --> 00:57:10.380]   So you notice, let me get out of this view.
[00:57:10.380 --> 00:57:16.380]   If I go up to the query that I just made here and maybe I went through this a little bit too fast.
[00:57:16.380 --> 00:57:22.380]   But you should see in here I'm saying, I'm just going on max date.
[00:57:22.380 --> 00:57:27.380]   But you could filter the date to say like TDAT, which is the purchase date variable.
[00:57:27.380 --> 00:57:38.380]   You could say, do that for only the last week or only the last two weeks or whatever filter was relevant for that.
[00:57:38.380 --> 00:57:49.380]   And so that's basically the idea that we're going to use to provide additional, we're actually going to do a graph post filtering pattern with vector search.
[00:57:49.380 --> 00:57:55.380]   So what we're going to do is if you, if you come back to the notebook and you go down and run.
[00:57:55.380 --> 00:57:57.380]   So this is, here's the query, right?
[00:57:57.380 --> 00:58:02.380]   So basically what we're doing is we're going to instantiate another vector store.
[00:58:02.380 --> 00:58:08.380]   Except here what we're going to do is we're going to say, we're going to put a retrieval query at the end.
[00:58:08.380 --> 00:58:12.380]   So what this is going to do is it's going to do vector search like before.
[00:58:12.380 --> 00:58:16.380]   But then after it does the vector search, it's going to try to match for that customer.
[00:58:16.380 --> 00:58:20.380]   It's going to create that sort of peer group, that local graph.
[00:58:20.380 --> 00:58:25.380]   And then it's going to score, well, how many times does that product show up?
[00:58:25.380 --> 00:58:29.380]   So this matches maybe almost backwards, making it probably a little bit hard to read, right?
[00:58:29.380 --> 00:58:37.380]   But it's the same query that we have before where we take the customer ID and then we go sort of one or I guess two hops.
[00:58:37.380 --> 00:58:41.380]   But really we're saying, okay, get me that peer group where we go to the article.
[00:58:41.380 --> 00:58:48.380]   We look at all the purchases, the common purchases between customers and then we compute that same score.
[00:58:48.380 --> 00:58:56.380]   And there's some multiplication here that I do basically to combine the vector search score with the, what we're calling the purchase or the co-purchase score here.
[00:58:56.380 --> 00:59:05.380]   But basically what this does is it now allows me to pass a customer ID into the search result.
[00:59:05.380 --> 00:59:15.380]   And then when I do similarity search with that, it will start sorting things by basically this purchase score.
[00:59:15.380 --> 00:59:19.380]   So now instead of getting, because denim jeans is like this really generic thing, right?
[00:59:19.380 --> 00:59:27.380]   So different customers, and we'll see when we run the app later, if you plug in different customer IDs, this result is going to be different.
[00:59:27.380 --> 00:59:29.380]   It's personalized now to this customer.
[00:59:29.380 --> 00:59:34.380]   So basically with vector search, we're now using this post-filtering pattern in the graph.
[00:59:34.380 --> 00:59:36.380]   And we can also do a pre-filtering pattern.
[00:59:36.380 --> 00:59:41.380]   but we're using a filtering pattern, right, to now rescore these things.
[00:59:41.380 --> 00:59:49.380]   So now, okay, we're just returning, for example, these different denim items, which are much more relevant for this specific customer.
[00:59:49.380 --> 00:59:54.380]   Yes.
[00:59:54.380 --> 00:59:57.380]   Can you explain the difference between search score and purchase score?
[00:59:57.380 --> 00:59:58.380]   Yes.
[00:59:58.380 --> 01:00:00.380]   Let me see what I did here.
[01:00:00.380 --> 01:00:05.380]   So search score is basically just the vector score that came back from the cosine similarity.
[01:00:05.380 --> 01:00:11.380]   So when you're doing similarity between two vectors, right, for the text description, that's going to be your search score.
[01:00:11.380 --> 01:00:17.380]   Purchase score is going to be what we were showing before, which is showing the popularity inside of the peer group.
[01:00:17.380 --> 01:00:23.380]   And then I'm just multiplying them together to create a combined score here, but there's different ways that you can do that.
[01:00:23.380 --> 01:00:30.380]   So are you going to use this product as a way of ranking those results?
[01:00:30.380 --> 01:00:31.380]   Yes.
[01:00:31.380 --> 01:00:36.380]   So if you look down here, these results are now ranked differently, and it's actually different from the query we ran before.
[01:00:36.380 --> 01:00:39.380]   So we ran the same search prompt with denim jeans.
[01:00:39.380 --> 01:00:43.380]   But here you can see we get like Rachel HW denim.
[01:00:43.380 --> 01:00:46.380]   We get Jade HW damn skinny and all this sort of stuff.
[01:00:46.380 --> 01:01:03.380]   If you look at what we ran before, if I were to scroll up to the top here, this one, you'll see that these are different.
[01:01:03.380 --> 01:01:05.380]   These are actually different.
[01:01:05.380 --> 01:01:06.380]   These are different.
[01:01:06.380 --> 01:01:07.380]   It's a different ordering.
[01:01:07.380 --> 01:01:08.380]   There's some similarities here.
[01:01:08.380 --> 01:01:11.380]   Like this is number three where it was number one below.
[01:01:11.380 --> 01:01:17.380]   But the idea is that you're sort of re-ranking this right now that you're personalizing it to this specific customer.
[01:01:17.380 --> 01:01:24.380]   And this gets really powerful as you get more and more structured co-purchasing data, right?
[01:01:24.380 --> 01:01:25.380]   Yes.
[01:01:25.380 --> 01:01:28.380]   Why are there a bunch of purchase scores zeroes?
[01:01:28.380 --> 01:01:32.380]   Because there's going to be, if you, it's an optional match.
[01:01:32.380 --> 01:01:40.380]   So if you notice, the sort of literal reason is that this is an optional match.
[01:01:40.380 --> 01:01:48.380]   But the other reason too is that there could be a situation where they're searching for something that isn't bought in their peer group yet.
[01:01:48.380 --> 01:01:53.380]   So this is just organized so that even if you didn't catch anything in the graph structure,
[01:01:53.380 --> 01:01:57.380]   you would still have a way to return results based on the vector scoring.
[01:01:57.380 --> 01:01:59.380]   Yeah.
[01:01:59.380 --> 01:02:00.380]   Yes.
[01:02:00.380 --> 01:02:23.380]   And it will, and it will try to see if there are, if anyone else has bought anything of that nature.
[01:02:23.380 --> 01:02:24.380]   Right?
[01:02:24.380 --> 01:02:25.380]   And if they have, then it will, it will help reorder the ranking.
[01:02:25.380 --> 01:02:26.380]   Yeah.
[01:02:26.380 --> 01:02:43.380]   And you could do it the other way around too where basically, and we have another app and I might take it to our booth where you could do the graph traversal first.
[01:02:43.380 --> 01:02:44.380]   Right?
[01:02:44.380 --> 01:02:48.380]   So like if you, if you had a scale problem that was, you know, very large.
[01:02:48.380 --> 01:02:53.380]   So one of the, one of the ways we can scale is through basically, hey, I would do the graph search first.
[01:02:53.380 --> 01:02:56.380]   And then after that, I can do the, the vector search.
[01:02:56.380 --> 01:03:09.380]   So, whatever you are getting in this, how is that different from like, like, the recommendations for products that you may have to say?
[01:03:09.380 --> 01:03:13.380]   You have a separate system competing with batch recommendations for you.
[01:03:13.380 --> 01:03:28.380]   Oh, people can't hear.
[01:03:28.380 --> 01:03:34.380]   So the question, the question was, why can't you use like an external batch recommendation?
[01:03:34.380 --> 01:03:37.380]   So you potentially could.
[01:03:37.380 --> 01:03:42.380]   What you're getting here is basically as this data is updated in real time in a transactional store.
[01:03:42.380 --> 01:03:43.380]   Right?
[01:03:43.380 --> 01:03:45.380]   You're going to be able to re-query it.
[01:03:45.380 --> 01:03:48.380]   So you're getting everything kind of in real time.
[01:03:48.380 --> 01:03:49.380]   Right?
[01:03:49.380 --> 01:03:54.380]   So if you're doing rag and you want answers to be, you know, adjusted for what people had just purchased.
[01:03:54.380 --> 01:03:55.380]   Right?
[01:03:55.380 --> 01:03:58.380]   This would be a way to accomplish that inside of a graph database.
[01:03:58.380 --> 01:04:00.380]   And then there's a lot of flexibility.
[01:04:00.380 --> 01:04:04.380]   You can change the way this query is, you know, you can shorten the time period.
[01:04:04.380 --> 01:04:09.380]   You could create a different type of traversal to go more than one hop out, et cetera.
[01:04:09.380 --> 01:04:10.380]   And I don't know.
[01:04:10.380 --> 01:04:12.380]   There's just so many of you who have a question.
[01:04:12.380 --> 01:04:13.380]   Oh, okay.
[01:04:13.380 --> 01:04:14.380]   Go ahead.
[01:04:14.380 --> 01:04:15.380]   Okay.
[01:04:15.380 --> 01:04:16.380]   Sorry.
[01:04:16.380 --> 01:04:18.380]   I'm hiding in the corner over here.
[01:04:18.380 --> 01:04:21.380]   I was wondering if you could speak more about combining the scores.
[01:04:21.380 --> 01:04:26.380]   It seems like just multiplying them together is a good way to get started.
[01:04:26.380 --> 01:04:28.380]   But is there a better theory there?
[01:04:28.380 --> 01:04:33.380]   Or it seems like something that have pitfalls, you know, to just multiply the two scores together.
[01:04:33.380 --> 01:04:34.380]   You don't know.
[01:04:34.380 --> 01:04:35.380]   Are they normalized?
[01:04:35.380 --> 01:04:36.380]   What's the distribution between them?
[01:04:36.380 --> 01:04:38.380]   Like how are you going to achieve the results?
[01:04:38.380 --> 01:04:39.380]   Yeah.
[01:04:39.380 --> 01:04:40.380]   That's true.
[01:04:40.380 --> 01:04:41.380]   Yeah.
[01:04:41.380 --> 01:04:43.380]   So again, this is just an example to get you started.
[01:04:43.380 --> 01:04:52.380]   I suppose like you could maintain a rank ordering where you say, hey, rank by like the search
[01:04:52.380 --> 01:04:57.380]   score first and then rank by the vector score, which would be kind of independent of scale.
[01:04:57.380 --> 01:05:01.380]   But yeah, there's a few different ways you can do it.
[01:05:01.380 --> 01:05:05.380]   This was just a quick way for me to put it together and I could probably do it better.
[01:05:05.380 --> 01:05:08.380]   But yes.
[01:05:08.380 --> 01:05:13.380]   And you know, with these systems, it's always good to have labeled data and sort of figure out how you can fine tune things.
[01:05:13.380 --> 01:05:20.380]   So like, you know, in a production system, you would have recommendations and whether or not those recommendations were successful.
[01:05:20.380 --> 01:05:24.380]   And then you can try different methodologies and see which ones get the best historic score too.
[01:05:24.380 --> 01:05:25.380]   For normalization.
[01:05:25.380 --> 01:05:26.380]   Just one second.
[01:05:26.380 --> 01:05:27.380]   One second.
[01:05:27.380 --> 01:05:28.380]   One second.
[01:05:28.380 --> 01:05:29.380]   One second.
[01:05:29.380 --> 01:05:30.380]   One second.
[01:05:30.380 --> 01:05:31.380]   You gotta .
[01:05:31.380 --> 01:05:32.380]   Thank you.
[01:05:32.380 --> 01:05:33.380]   Yes.
[01:05:33.380 --> 01:05:34.380]   Please.
[01:05:34.380 --> 01:05:35.380]   Maybe a follow up.
[01:05:35.380 --> 01:05:36.380]   Right?
[01:05:36.380 --> 01:05:37.380]   If I thought of...
[01:05:37.380 --> 01:05:41.380]   If I had this problem in front the first time, I would probably gone filtering.
[01:05:41.380 --> 01:05:50.380]   So filtering on the graph relations and then filtering on a fixed threshold on the semantic matching.
[01:05:50.380 --> 01:05:59.380]   Can you speak to how you would think about doing it my way versus computing scores like this and multiplying them?
[01:05:59.380 --> 01:06:00.380]   Yeah.
[01:06:00.380 --> 01:06:02.380]   So you're saying filtering.
[01:06:02.380 --> 01:06:04.380]   So basically you would do the graph pattern first.
[01:06:04.380 --> 01:06:05.380]   Excuse me.
[01:06:05.380 --> 01:06:06.380]   Yeah.
[01:06:06.380 --> 01:06:10.380]   I would restrict the graph to only the subgraph that matches these patterns.
[01:06:10.380 --> 01:06:11.380]   Yes.
[01:06:11.380 --> 01:06:18.380]   And then they're filtered to only the articles that have a similarity score of all threshold.
[01:06:18.380 --> 01:06:19.380]   Yep.
[01:06:19.380 --> 01:06:20.380]   Returned out.
[01:06:20.380 --> 01:06:21.380]   Yep.
[01:06:21.380 --> 01:06:24.380]   You could do it that way.
[01:06:24.380 --> 01:06:30.380]   And in fact, we have a demo of exactly, I think, something very close to what you're describing.
[01:06:30.380 --> 01:06:36.380]   The issue is for this course, like if there's a chance that whatever you put inside of the graph,
[01:06:36.380 --> 01:06:42.380]   inside of that local graph could have a cold start problem, right, where it might not very well match the vector search.
[01:06:42.380 --> 01:06:45.380]   So it is a way of doing it.
[01:06:45.380 --> 01:06:51.380]   It just might end up that you could be over restricting, right, to a local area of the graph that might not have,
[01:06:51.380 --> 01:06:53.380]   in this case, good denim jeans, for example.
[01:06:53.380 --> 01:06:55.380]   But you could do it that way.
[01:06:55.380 --> 01:07:00.380]   You could also do a filtering where, like you said, for example, give me...
[01:07:00.380 --> 01:07:05.380]   I guess you could do vector search filtering first and then filter down to the graph.
[01:07:05.380 --> 01:07:10.380]   And then if there was nothing in the graph, default to the vector search, right, results in the scores there.
[01:07:10.380 --> 01:07:12.380]   So you could do it that way too.
[01:07:12.380 --> 01:07:16.380]   Any intuition on to, you know, what you expect to work best?
[01:07:16.380 --> 01:07:20.380]   These filtering steps or multiplying into one score?
[01:07:20.380 --> 01:07:24.380]   I think multiplying into one score is a good way to...
[01:07:24.380 --> 01:07:26.380]   It's just a way for me to get started.
[01:07:26.380 --> 01:07:29.380]   And some of it will depend on the scale of your graph, right?
[01:07:29.380 --> 01:07:30.380]   So if you...
[01:07:30.380 --> 01:07:36.380]   The more sort of purchase transactions you have, the more well-connected the graph is going to be.
[01:07:36.380 --> 01:07:41.380]   And the better you're going to be able to, you know, sort of match things almost like with a pre-filtering pattern,
[01:07:41.380 --> 01:07:44.380]   where you just restrict to that area of the graph first.
[01:07:44.380 --> 01:07:49.380]   When it's a little bit more sparse, then you're going to probably not have that same reliability.
[01:07:49.380 --> 01:07:59.380]   And you're going to need to either do an optional match or some post-filtering pattern where you make sure not to over-filter things.
[01:07:59.380 --> 01:08:00.380]   Yep.
[01:08:00.380 --> 01:08:01.380]   Just two real quick.
[01:08:01.380 --> 01:08:05.380]   I wasn't going to ask you about scoring, but since there's been a couple.
[01:08:05.380 --> 01:08:09.380]   Normalization, a typical way to do it is reciprocal ring fusion.
[01:08:09.380 --> 01:08:11.380]   Is that available here?
[01:08:11.380 --> 01:08:15.380]   Not that specific one, no.
[01:08:15.380 --> 01:08:18.380]   We have some normalization.
[01:08:18.380 --> 01:08:19.380]   We have...
[01:08:19.380 --> 01:08:20.380]   It's the graph data science library.
[01:08:20.380 --> 01:08:26.380]   There are some normalization functions, but they're not going to normalize things at query time in the way you're thinking.
[01:08:26.380 --> 01:08:27.380]   Okay, yeah.
[01:08:27.380 --> 01:08:28.380]   Yeah.
[01:08:28.380 --> 01:08:34.380]   Okay, and then the other one is just, and if I'm getting ahead of myself, just tell me and I'll be quiet.
[01:08:34.380 --> 01:08:41.380]   But everything we've done so far, it seems like creating the peer group, you can do that with a graph database, right?
[01:08:41.380 --> 01:08:43.380]   Infer relationships.
[01:08:43.380 --> 01:08:52.380]   But what part of this is actually the knowledge graph part of it, which is infer unknown relationships based on unsupervised understandings?
[01:08:52.380 --> 01:08:53.380]   Have we gotten to that yet?
[01:08:53.380 --> 01:08:55.380]   Yeah, so we'll get to some of that in a little bit.
[01:08:55.380 --> 01:08:56.380]   Yes.
[01:08:56.380 --> 01:08:58.380]   So I will, we'll get through, we'll get through to that.
[01:08:58.380 --> 01:09:03.380]   By the way, there are also some empty chairs here if someone wants to sit down.
[01:09:03.380 --> 01:09:04.380]   Thanks.
[01:09:04.380 --> 01:09:04.380]   Any other questions?
[01:09:04.380 --> 01:09:04.380]   Otherwise, you probably need to progress.
[01:09:04.380 --> 01:09:16.380]   By the way, we also have a really big booth with really comfy chairs over there.
[01:09:16.380 --> 01:09:24.380]   So you can always come the next two days and ask Zach and Andreas and Tomas and me many more questions.
[01:09:24.380 --> 01:09:25.380]   Right, so.
[01:09:25.380 --> 01:09:29.380]   And we have swag at the store's booth as well, so.
[01:09:29.380 --> 01:09:30.380]   Awesome.
[01:09:30.380 --> 01:09:31.380]   Thank you, Michael.
[01:09:31.380 --> 01:09:32.380]   Alrighty.
[01:09:32.380 --> 01:09:42.380]   So now we're going to start augmenting semantic search for knowledge graph inference.
[01:09:42.380 --> 01:09:45.380]   So this will get a little bit into what you were talking about.
[01:09:45.380 --> 01:09:54.380]   There's a lot more, so I didn't like, we have a whole knowledge graph builder where we build relationships from unstructured data that we're not doing in this course.
[01:09:54.380 --> 01:09:58.380]   But we do have it at our booth.
[01:09:58.380 --> 01:10:07.380]   So basically, this is where we're going to start using the graph data science portion of Neo4j.
[01:10:07.380 --> 01:10:14.380]   So, we have this thing called graph data science inside of our product.
[01:10:14.380 --> 01:10:21.380]   And basically, what it does is it offers various graph algorithms to you and this special workspace and data representation.
[01:10:21.380 --> 01:10:28.380]   So you can effectively create a projection of part of your graph in sort of this sparse matrix representation.
[01:10:28.380 --> 01:10:31.380]   And that allows you to run a lot of algorithms very efficiently.
[01:10:31.380 --> 01:10:37.380]   So things like path finding, centrality, community detection, different machine learning algorithms,
[01:10:37.380 --> 01:10:43.380]   and of course embeddings and K&N similarity, which is what we're going to talk about here.
[01:10:43.380 --> 01:10:47.380]   With a lot of focus on this graph embedding piece.
[01:10:47.380 --> 01:10:55.380]   This is a customer who created a very nice sort of periodic table of all of our algorithms for reference.
[01:10:55.380 --> 01:10:57.380]   But there's a lot of different areas, right?
[01:10:57.380 --> 01:11:00.380]   So there's a lot of things that we aren't going to get to talk about here.
[01:11:00.380 --> 01:11:10.380]   So things like community detection, path finding, centrality, topological link prediction, and directed acyclical graph algorithms.
[01:11:10.380 --> 01:11:13.380]   But we are going to talk about similarity in embeddings.
[01:11:13.380 --> 01:11:24.380]   So basically, a node embedding works just like any other embedding except it's for a graph where the things you're embedding are nodes in a graph.
[01:11:24.380 --> 01:11:28.380]   So this is a picture of a very small graph.
[01:11:28.380 --> 01:11:31.380]   I think it's Zach's Karate Club is the name of the graph.
[01:11:31.380 --> 01:11:35.380]   And it's basically the relationships between different people in a karate club.
[01:11:35.380 --> 01:11:41.380]   But the idea is that I can take this graph and I can turn it into a set of vectors.
[01:11:41.380 --> 01:11:44.380]   And in this case, it's a 2D vector, which is a 2D representation.
[01:11:44.380 --> 01:11:47.380]   We're going to create longer vectors for the notebook.
[01:11:47.380 --> 01:11:55.380]   But the idea here, right, is that the yellow nodes that are similar in the graph in the sense that they're really close in the graph
[01:11:55.380 --> 01:12:00.380]   are going to be really close in the embedding space and the orange nodes and the green nodes and the blue nodes, etc.
[01:12:00.380 --> 01:12:02.380]   So that's the idea of what we're doing.
[01:12:02.380 --> 01:12:09.380]   We're basically embedding what we call homophily, which is basically this fancy term for like the locality inside of the graph structure.
[01:12:09.380 --> 01:12:15.380]   And once we do that embedding, what we're going to be able to do is start inferring relationships.
[01:12:15.380 --> 01:12:23.380]   So someone mentioned being able to do sort of inference beforehand so calculations are available at query time.
[01:12:23.380 --> 01:12:26.380]   And we're going to use k-nearest-neighbor for this.
[01:12:26.380 --> 01:12:30.380]   So basically this is happening outside of an index.
[01:12:30.380 --> 01:12:36.380]   What we're going to be doing is creating graph embeddings, specifically on the articles.
[01:12:36.380 --> 01:12:44.380]   And then we're going to be inferring these k-nearest neighbors between them based on k and n, which is this semi-supervised or unsupervised algorithm.
[01:12:44.380 --> 01:12:46.380]   And you can do this for a lot of different things.
[01:12:46.380 --> 01:12:52.380]   We are going to use co-purchase relationships for this and kind of scale that process for multiple hops.
[01:12:52.380 --> 01:12:55.380]   But you could do this for other forms of link prediction.
[01:12:55.380 --> 01:13:06.380]   For example, things like entity resolution or if you're trying to resolve, you know, maybe you have people and locations in the same graph and you're trying to resolve whether or not a person is in a specific location.
[01:13:06.380 --> 01:13:16.380]   You can use these sorts of models to start making those knowledge graph analytics and drawing those relationships.
[01:13:16.380 --> 01:13:19.380]   So let's dive into the notebook to see how that works.
[01:13:19.380 --> 01:13:20.380]   Question?
[01:13:20.380 --> 01:13:21.380]   Yes.
[01:13:21.380 --> 01:13:22.380]   You mentioned you're embedding the nodes.
[01:13:22.380 --> 01:13:25.380]   Are we essentially throwing away the edges?
[01:13:25.380 --> 01:13:27.380]   We're not embedding the edges?
[01:13:27.380 --> 01:13:34.380]   So we're doing a node embedding which is specifically focused on nodes.
[01:13:34.380 --> 01:13:43.380]   We could do different types of knowledge graph embeddings which embed like the edge and like, right, it embeds the, what is it, the head and the edge to the tail.
[01:13:43.380 --> 01:13:44.380]   Right?
[01:13:44.380 --> 01:13:48.380]   So there are those types of embeddings and there's different types of subgraph embeddings.
[01:13:48.380 --> 01:13:54.380]   For today, we are, the relationships are used to understand where nodes fit inside of that vector space.
[01:13:54.380 --> 01:13:55.380]   Right?
[01:13:55.380 --> 01:13:59.380]   In terms of clustering of, in this case, what's going to be co-purchase behavior.
[01:13:59.380 --> 01:14:00.380]   So we're not throwing them away.
[01:14:00.380 --> 01:14:01.380]   They're going to be used.
[01:14:01.380 --> 01:14:06.380]   But we, and we'll use the, yeah, you'll see as we go along.
