
[00:00:00.000 --> 00:00:00.760]   You know who drank?
[01:15:04.880 --> 01:15:05.880]   Yeah.
[01:15:05.880 --> 01:15:06.880]   And you're, and you're sweating and you're having a hard time.
[01:15:06.880 --> 01:15:07.880]   Yeah.
[01:15:07.880 --> 01:15:08.880]   And you're, and you're sweating and you're having a hard time.
[01:15:08.880 --> 01:15:09.880]   Yeah.
[01:15:09.880 --> 01:15:10.880]   And you're, and you're sweating and you're having a hard time.
[01:15:10.880 --> 01:15:11.880]   Yeah.
[01:15:11.880 --> 01:15:12.880]   And you're, and you're sweating and you're having a hard time.
[01:15:12.880 --> 01:15:13.880]   Yeah.
[01:15:13.880 --> 01:15:14.880]   And you're, and you're sweating and you're having a hard time.
[01:15:14.880 --> 01:15:15.880]   Yeah.
[01:15:15.880 --> 01:15:16.880]   And you're, and you're sweating and you're having a hard time.
[01:15:16.880 --> 01:15:17.880]   Yeah.
[01:15:17.880 --> 01:15:18.880]   And you're, and you're sweating and you're having a hard time.
[01:15:18.880 --> 01:15:19.880]   Yeah.
[01:15:19.880 --> 01:15:20.880]   And you're, and you're sweating and you're having a hard time.
[01:15:20.880 --> 01:15:21.880]   Yeah.
[01:15:21.880 --> 01:15:22.880]   And you're, and you're sweating and you're having a hard time.
[01:15:22.880 --> 01:15:23.880]   Yeah.
[01:15:23.880 --> 01:15:24.880]   And you're, and you're sweating and you're having a hard time.
[01:15:24.880 --> 01:15:25.880]   Yeah.
[01:15:25.880 --> 01:15:26.880]   And you're, and you're sweating and you're having a hard time.
[01:15:26.880 --> 01:15:27.880]   Yeah.
[01:15:27.880 --> 01:15:28.880]   And you're, and you're sweating and you're having a hard time.
[01:15:28.880 --> 01:15:29.880]   Yeah.
[01:15:29.880 --> 01:15:30.880]   And you're, and you're sweating and you're having a hard time.
[01:15:30.880 --> 01:15:31.880]   Yeah.
[01:15:31.880 --> 01:15:32.880]   And you're, and you're sweating and you're having a hard time.
[01:15:32.880 --> 01:15:33.880]   Yeah.
[01:15:33.880 --> 01:15:34.880]   And you're, and you're sweating and you're having a hard time.
[01:15:34.880 --> 01:15:35.880]   Yeah.
[01:15:35.880 --> 01:15:36.880]   And you're, and you're sweating and you're having a hard time.
[01:15:36.880 --> 01:15:37.880]   Yeah.
[01:15:37.880 --> 01:15:38.880]   And you're, and you're sweating and you're having a hard time.
[01:15:38.880 --> 01:15:39.880]   Yeah.
[01:15:39.880 --> 01:15:40.880]   And you're, and you're sweating and you're having a hard time.
[01:15:40.880 --> 01:15:41.880]   Yeah.
[01:15:41.880 --> 01:15:42.880]   And you're, and you're sweating and you're having a hard time.
[01:15:42.880 --> 01:15:43.880]   Yeah.
[01:15:43.880 --> 01:15:44.880]   And you're, and you're sweating and you're having a hard time.
[01:15:44.880 --> 01:15:45.880]   Yeah.
[01:15:45.880 --> 01:15:46.880]   And you're, and you're sweating and you're having a hard time.
[01:15:46.880 --> 01:15:47.880]   Yeah.
[01:15:47.880 --> 01:15:48.880]   And you're, and you're sweating and you're having a hard time.
[01:15:48.880 --> 01:15:49.880]   Yeah.
[01:15:49.880 --> 01:15:50.880]   And you're, and you're sweating and you're having a hard time.
[01:15:50.880 --> 01:15:51.880]   Yeah.
[01:15:51.880 --> 01:15:52.880]   And you're, and you're sweating and you're having a hard time.
[01:15:52.880 --> 01:15:53.880]   Yeah.
[01:15:53.880 --> 01:15:54.880]   And you're, and you're sweating and you're having a hard time.
[01:15:54.880 --> 01:15:55.880]   Yeah.
[01:15:55.880 --> 01:15:56.880]   And you're, and you're sweating and you're having a hard time.
[01:15:56.880 --> 01:15:57.880]   Yeah.
[01:15:57.880 --> 01:15:58.880]   And you're, and you're sweating and you're having a hard time.
[01:15:58.880 --> 01:15:59.880]   Yeah.
[01:15:59.880 --> 01:16:00.880]   And you're, and you're sweating and you're having a hard time.
[01:16:00.880 --> 01:16:01.880]   Yeah.
[01:16:01.880 --> 01:16:02.880]   And you're, and you're sweating and you're having a hard time.
[01:16:02.880 --> 01:16:03.880]   Yeah.
[01:16:03.880 --> 01:16:04.880]   And you're, and you're sweating and you're having a hard time.
[01:16:04.880 --> 01:16:05.880]   Yeah.
[01:16:05.880 --> 01:16:06.880]   And you're, and you're sweating and you're having a hard time.
[01:16:06.880 --> 01:16:07.880]   Yeah.
[01:16:07.880 --> 01:16:08.880]   And you're, and you're sweating and you're having a hard time.
[01:16:08.880 --> 01:16:09.880]   Yeah.
[01:16:09.880 --> 01:16:10.880]   And you're, and you're sweating and you're having a hard time.
[01:16:10.880 --> 01:16:11.880]   Yeah.
[01:16:11.880 --> 01:16:12.880]   And you're, and you're sweating and you're having a hard time.
[01:16:12.880 --> 01:16:13.880]   Yeah.
[01:16:13.880 --> 01:16:14.880]   And you're, and you're sweating and you're having a hard time.
[01:16:14.880 --> 01:16:15.880]   Yeah.
[01:16:15.880 --> 01:16:16.880]   And you're, and you're sweating and you're having a hard time.
[01:16:16.880 --> 01:16:17.880]   Yeah.
[01:16:17.880 --> 01:16:18.880]   And you're, and you're sweating and you're having a hard time.
[01:16:18.880 --> 01:16:19.880]   Yeah.
[01:16:19.880 --> 01:16:20.880]   And you're, and you're sweating and you're having a hard time.
[01:16:20.880 --> 01:16:21.880]   Yeah.
[01:16:21.880 --> 01:16:22.880]   And you're, and you're sweating and you're having a hard time.
[01:16:22.880 --> 01:16:23.880]   Yeah.
[01:16:23.880 --> 01:16:24.880]   And you're, and you're sweating and you're having a hard time.
[01:16:24.880 --> 01:16:25.880]   Yeah.
[01:16:25.880 --> 01:16:26.880]   And you're, and you're sweating and you're having a hard time.
[01:16:26.880 --> 01:16:27.880]   Yeah.
[01:16:27.880 --> 01:16:28.880]   And you're, and you're sweating and you're having a hard time.
[01:16:28.880 --> 01:16:29.880]   Yeah.
[01:16:29.880 --> 01:16:30.880]   And you're, and you're sweating and you're having a hard time.
[01:16:30.880 --> 01:16:31.880]   Yeah.
[01:16:31.880 --> 01:16:32.880]   And you're, and you're sweating and you're having a hard time.
[01:16:32.880 --> 01:16:33.880]   Yeah.
[01:16:33.880 --> 01:16:34.880]   And you're, and you're sweating and you're having a hard time.
[01:16:34.880 --> 01:16:35.880]   Yeah.
[01:16:35.880 --> 01:16:36.880]   And you're, and you're sweating and you're having a hard time.
[01:16:36.880 --> 01:16:37.880]   Yeah.
[01:16:37.880 --> 01:16:38.880]   And you're, and you're sweating and you're having a hard time.
[01:16:38.880 --> 01:16:39.880]   Yeah.
[01:16:39.880 --> 01:16:40.880]   And you're, and you're sweating and you're having a hard time.
[01:16:40.880 --> 01:16:41.880]   Yeah.
[01:16:41.880 --> 01:16:42.880]   And you're, and you're sweating and you're having a hard time.
[01:16:42.880 --> 01:16:43.880]   Yeah.
[01:16:43.880 --> 01:16:44.880]   And you're, and you're sweating and you're having a hard time.
[01:16:44.880 --> 01:16:45.880]   Yeah.
[01:16:45.880 --> 01:16:46.880]   And you're, and you're sweating and you're having a hard time.
[01:16:46.880 --> 01:16:47.880]   Yeah.
[01:16:47.880 --> 01:16:48.880]   And you're, and you're sweating and you're having a hard time.
[01:16:48.880 --> 01:16:49.880]   Yeah.
[01:16:49.880 --> 01:16:50.880]   And you're, and you're sweating and you're having a hard time.
[01:16:50.880 --> 01:16:51.880]   Yeah.
[01:16:51.880 --> 01:16:52.880]   And you're, and you're sweating and you're having a hard time.
[01:16:52.880 --> 01:16:53.880]   Yeah.
[01:16:53.880 --> 01:16:54.880]   And you're, and you're sweating and you're having a hard time.
[01:16:54.880 --> 01:16:55.880]   Yeah.
[01:16:55.880 --> 01:16:56.880]   And you're, and you're sweating and you're having a hard time.
[01:16:56.880 --> 01:16:57.880]   Yeah.
[01:16:57.880 --> 01:16:58.880]   And you're, and you're sweating and you're having a hard time.
[01:16:58.880 --> 01:16:59.880]   Yeah.
[01:16:59.880 --> 01:17:00.880]   And you're, and you're sweating and you're having a hard time.
[01:17:00.880 --> 01:17:01.880]   Yeah.
[01:17:01.880 --> 01:17:02.880]   And you're, and you're sweating and you're having a hard time.
[01:17:02.880 --> 01:17:03.880]   Yeah.
[01:17:03.880 --> 01:17:04.880]   And you're, and you're sweating and you're having a hard time.
[01:17:04.880 --> 01:17:05.880]   Yeah.
[01:17:05.880 --> 01:17:06.880]   And you're, and you're sweating and you're having a hard time.
[01:17:06.880 --> 01:17:07.880]   Yeah.
[01:17:07.880 --> 01:17:08.880]   And you're, and you're sweating and you're having a hard time.
[01:17:08.880 --> 01:17:09.880]   Yeah.
[01:17:09.880 --> 01:17:10.880]   And you're, and you're sweating and you're having a hard time.
[01:17:10.880 --> 01:17:11.880]   Yeah.
[01:17:11.880 --> 01:17:12.880]   And you're, and you're sweating and you're having a hard time.
[01:17:12.880 --> 01:17:13.880]   Yeah.
[01:17:13.880 --> 01:17:14.880]   And you're, and you're sweating and you're having a hard time.
[01:17:14.880 --> 01:17:15.880]   Yeah.
[01:17:15.880 --> 01:17:16.880]   And you're, and you're sweating and you're having a hard time.
[01:17:16.880 --> 01:17:17.880]   Yeah.
[01:17:17.880 --> 01:17:18.880]   And you're, and you're sweating and you're having a hard time.
[01:17:18.880 --> 01:17:19.880]   Yeah.
[01:17:19.880 --> 01:17:20.880]   And you're, and you're sweating and you're having a hard time.
[01:17:20.880 --> 01:17:21.880]   Yeah.
[01:17:21.880 --> 01:17:22.880]   And you're, and you're sweating and you're having a hard time.
[01:17:22.880 --> 01:17:23.880]   Yeah.
[01:17:23.880 --> 01:17:24.880]   And you're, and you're sweating and you're having a hard time.
[01:17:24.880 --> 01:17:25.880]   Yeah.
[01:17:25.880 --> 01:17:26.880]   And you're, and you're sweating and you're having a hard time.
[01:17:26.880 --> 01:17:27.880]   Yeah.
[01:17:27.880 --> 01:17:28.880]   And you're, and you're sweating and you're having a hard time.
[01:17:28.880 --> 01:17:29.880]   Yeah.
[01:17:29.880 --> 01:17:30.880]   And you're, and you're sweating and you're having a hard time.
[01:17:30.880 --> 01:17:31.880]   Yeah.
[01:17:31.880 --> 01:17:32.880]   And you're, and you're sweating and you're having a hard time.
[01:17:32.880 --> 01:17:33.880]   Yeah.
[01:17:33.880 --> 01:17:34.880]   And you're, and you're sweating and you're having a hard time.
[01:17:34.880 --> 01:17:35.880]   Yeah.
[01:17:35.880 --> 01:17:36.880]   And you're, and you're sweating and you're having a hard time.
[01:17:36.880 --> 01:17:37.880]   Yeah.
[01:17:37.880 --> 01:17:38.880]   And you're, and you're sweating and you're having a hard time.
[01:17:38.880 --> 01:17:39.880]   Yeah.
[01:17:39.880 --> 01:17:40.880]   And you're, and you're sweating and you're having a hard time.
[01:17:40.880 --> 01:17:41.880]   Yeah.
[01:17:41.880 --> 01:17:42.880]   And you're, and you're sweating and you're having a hard time.
[01:17:42.880 --> 01:17:43.880]   Yeah.
[01:17:43.880 --> 01:17:44.880]   And you're, and you're sweating and you're having a hard time.
[01:17:44.880 --> 01:17:45.880]   Yeah.
[01:17:45.880 --> 01:17:46.880]   And you're, and you're sweating and you're having a hard time.
[01:17:46.880 --> 01:17:47.880]   Yeah.
[01:17:47.880 --> 01:17:48.880]   And you're, and you're sweating and you're having a hard time.
[01:17:48.880 --> 01:17:49.880]   Yeah.
[01:17:49.880 --> 01:17:50.880]   And you're, and you're sweating and you're having a hard time.
[01:17:50.880 --> 01:17:51.880]   Yeah.
[01:17:51.880 --> 01:17:52.880]   And you're, and you're sweating and you're having a hard time.
[01:17:52.880 --> 01:17:53.880]   Yeah.
[01:17:53.880 --> 01:17:54.880]   And you're, and you're sweating and you're having a hard time.
[01:17:54.880 --> 01:17:55.880]   Yeah.
[01:17:55.880 --> 01:17:56.880]   And you're, and you're sweating and you're having a hard time.
[01:17:56.880 --> 01:17:57.880]   Yeah.
[01:17:57.880 --> 01:17:58.880]   And you're, and you're sweating and you're having a hard time.
[01:17:58.880 --> 01:17:59.880]   Yeah.
[01:17:59.880 --> 01:18:00.880]   And you're, and you're sweating and you're having a hard time.
[01:18:00.880 --> 01:18:01.880]   Yeah.
[01:18:01.880 --> 01:18:02.880]   And you're, and you're sweating and you're having a hard time.
[01:18:02.880 --> 01:18:03.880]   Yeah.
[01:18:03.880 --> 01:18:04.880]   And you're, and you're sweating and you're having a hard time.
[01:18:04.880 --> 01:18:05.880]   Yeah.
[01:18:05.880 --> 01:18:06.880]   And you're, and you're sweating and you're having a hard time.
[01:18:06.880 --> 01:18:07.880]   Yeah.
[01:18:07.880 --> 01:18:08.880]   And you're, and you're sweating and you're having a hard time.
[01:18:08.880 --> 01:18:09.880]   Yeah.
[01:18:09.880 --> 01:18:10.880]   And you're, and you're sweating and you're having a hard time.
[01:18:10.880 --> 01:18:11.880]   Yeah.
[01:18:11.880 --> 01:18:12.880]   And you're, and you're sweating and you're having a hard time.
[01:18:12.880 --> 01:18:13.880]   Yeah.
[01:18:13.880 --> 01:18:14.880]   And you're, and you're sweating and you're having a hard time.
[01:18:14.880 --> 01:18:15.880]   Yeah.
[01:18:15.880 --> 01:18:16.880]   And you're, and you're sweating and you're having a hard time.
[01:18:16.880 --> 01:18:17.880]   Yeah.
[01:18:17.880 --> 01:18:18.880]   And you're, and you're sweating and you're having a hard time.
[01:18:18.880 --> 01:18:19.880]   Yeah.
[01:18:19.880 --> 01:18:20.880]   And you're, and you're sweating and you're having a hard time.
[01:18:20.880 --> 01:18:21.880]   Yeah.
[01:18:21.880 --> 01:18:22.880]   And you're, and you're sweating and you're having a hard time.
[01:18:22.880 --> 01:18:23.880]   Yeah.
[01:18:23.880 --> 01:18:24.880]   And you're, and you're sweating and you're having a hard time.
[01:18:24.880 --> 01:18:25.880]   Yeah.
[01:18:25.880 --> 01:18:26.880]   And you're, and you're sweating and you're having a hard time.
[01:18:26.880 --> 01:18:27.880]   Yeah.
[01:18:27.880 --> 01:18:28.880]   And you're, and you're sweating and you're having a hard time.
[01:18:28.880 --> 01:18:29.880]   Yeah.
[01:18:29.880 --> 01:18:30.880]   And you're, and you're sweating and you're having a hard time.
[01:18:30.880 --> 01:18:31.880]   Yeah.
[01:18:31.880 --> 01:18:32.880]   And you're, and you're sweating and you're having a hard time.
[01:18:32.880 --> 01:18:33.880]   Yeah.
[01:18:33.880 --> 01:18:34.880]   And you're, and you're sweating and you're having a hard time.
[01:18:34.880 --> 01:18:35.880]   Yeah.
[01:18:35.880 --> 01:18:36.880]   And you're, and you're sweating and you're having a hard time.
[01:18:36.880 --> 01:18:37.880]   Yeah.
[01:18:37.880 --> 01:18:38.880]   And you're, and you're sweating and you're having a hard time.
[01:18:38.880 --> 01:18:39.880]   Yeah.
[01:18:39.880 --> 01:18:40.880]   And you're, and you're sweating and you're having a hard time.
[01:18:40.880 --> 01:18:41.880]   Yeah.
[01:18:41.880 --> 01:18:42.880]   And you're, and you're sweating and you're having a hard time.
[01:18:42.880 --> 01:18:43.880]   Yeah.
[01:18:43.880 --> 01:18:44.880]   And you're, and you're sweating and you're having a hard time.
[01:18:44.880 --> 01:18:45.880]   Yeah.
[01:18:45.880 --> 01:18:46.880]   And you're, and you're sweating and you're having a hard time.
[01:18:46.880 --> 01:18:47.880]   Yeah.
[01:18:47.880 --> 01:18:48.880]   And you're, and you're sweating and you're having a hard time.
[01:18:48.880 --> 01:18:49.880]   Yeah.
[01:18:49.880 --> 01:18:50.880]   And you're, and you're sweating and you're having a hard time.
[01:18:50.880 --> 01:18:51.880]   Yeah.
[01:18:51.880 --> 01:18:52.880]   And you're, and you're sweating and you're having a hard time.
[01:18:52.880 --> 01:18:53.880]   Yeah.
[01:18:53.880 --> 01:18:54.880]   And you're, and you're sweating and you're having a hard time.
[01:18:54.880 --> 01:18:55.880]   Yeah.
[01:18:55.880 --> 01:18:56.880]   And you're, and you're sweating and you're having a hard time.
[01:18:56.880 --> 01:18:57.880]   Yeah.
[01:18:57.880 --> 01:18:58.880]   And you're, and you're sweating and you're having a hard time.
[01:18:58.880 --> 01:18:59.880]   Yeah.
[01:18:59.880 --> 01:19:00.880]   And you're, and you're sweating and you're having a hard time.
[01:19:00.880 --> 01:19:01.880]   Yeah.
[01:19:01.880 --> 01:19:02.880]   And you're, and you're sweating and you're having a hard time.
[01:19:02.880 --> 01:19:03.880]   Yeah.
[01:19:03.880 --> 01:19:04.880]   And you're, and you're sweating and you're having a hard time.
[01:19:04.880 --> 01:19:05.880]   Yeah.
[01:19:05.880 --> 01:19:06.880]   And you're, and you're sweating and you're having a hard time.
[01:19:06.880 --> 01:19:07.880]   Yeah.
[01:19:07.880 --> 01:19:08.880]   And you're, and you're sweating and you're having a hard time.
[01:19:08.880 --> 01:19:09.880]   Yeah.
[01:19:09.880 --> 01:19:10.880]   And you're, and you're sweating and you're having a hard time.
[01:19:10.880 --> 01:19:11.880]   Yeah.
[01:19:11.880 --> 01:19:12.880]   And you're, and you're sweating and you're having a hard time.
[01:19:12.880 --> 01:19:13.880]   Yeah.
[01:19:13.880 --> 01:19:14.880]   And you're, and you're sweating and you're having a hard time.
[01:19:14.880 --> 01:19:15.880]   Yeah.
[01:19:15.880 --> 01:19:16.880]   And you're, and you're sweating and you're having a hard time.
[01:19:16.880 --> 01:19:17.880]   Yeah.
[01:19:17.880 --> 01:19:18.880]   And you're, and you're sweating and you're having a hard time.
[01:19:18.880 --> 01:19:19.880]   Yeah.
[01:19:19.880 --> 01:19:20.880]   And you're, and you're sweating and you're having a hard time.
[01:19:20.880 --> 01:19:21.880]   Yeah.
[01:19:21.880 --> 01:19:22.880]   And you're, and you're sweating and you're having a hard time.
[01:19:22.880 --> 01:19:23.880]   Yeah.
[01:19:23.880 --> 01:19:24.880]   And you're, and you're sweating and you're having a hard time.
[01:19:24.880 --> 01:19:25.880]   Yeah.
[01:19:25.880 --> 01:19:26.880]   And you're, and you're sweating and you're having a hard time.
[01:19:26.880 --> 01:19:27.880]   Yeah.
[01:19:27.880 --> 01:19:28.880]   And you're, and you're sweating and you're having a hard time.
[01:19:28.880 --> 01:19:29.880]   Yeah.
[01:19:29.880 --> 01:19:30.880]   And you're, and you're sweating and you're having a hard time.
[01:19:30.880 --> 01:19:31.880]   Yeah.
[01:19:31.880 --> 01:19:32.880]   And you're, and you're sweating and you're having a hard time.
[01:19:32.880 --> 01:19:33.880]   Yeah.
[01:19:33.880 --> 01:19:34.880]   And you're, and you're sweating and you're having a hard time.
[01:19:34.880 --> 01:19:35.880]   Yeah.
[01:19:35.880 --> 01:19:36.880]   And you're, and you're sweating and you're having a hard time.
[01:19:36.880 --> 01:19:37.880]   Yeah.
[01:19:37.880 --> 01:19:38.880]   And you're, and you're sweating and you're having a hard time.
[01:19:38.880 --> 01:19:39.880]   Yeah.
[01:19:39.880 --> 01:19:40.880]   And you're, and you're sweating and you're having a hard time.
[01:19:40.880 --> 01:19:41.880]   Yeah.
[01:19:41.880 --> 01:19:42.880]   And you're, and you're sweating and you're having a hard time.
[01:19:42.880 --> 01:19:43.880]   Yeah.
[01:19:43.880 --> 01:19:44.880]   And you're, and you're sweating and you're having a hard time.
[01:19:44.880 --> 01:19:45.880]   Yeah.
[01:19:45.880 --> 01:19:46.880]   And you're, and you're sweating and you're having a hard time.
[01:19:46.880 --> 01:19:47.880]   Yeah.
[01:19:47.880 --> 01:19:48.880]   And you're, and you're sweating and you're having a hard time.
[01:19:48.880 --> 01:19:49.880]   Yeah.
[01:19:49.880 --> 01:19:50.880]   And you're, and you're sweating and you're having a hard time.
[01:19:50.880 --> 01:19:51.880]   Yeah.
[01:19:51.880 --> 01:19:52.880]   And you're, and you're sweating and you're having a hard time.
[01:19:52.880 --> 01:19:53.880]   Yeah.
[01:19:53.880 --> 01:19:54.880]   And you're, and you're sweating and you're having a hard time.
[01:19:54.880 --> 01:19:55.880]   Yeah.
[01:19:55.880 --> 01:19:56.880]   And you're, and you're sweating and you're having a hard time.
[01:19:56.880 --> 01:19:57.880]   Yeah.
[01:19:57.880 --> 01:19:58.880]   And you're, and you're sweating and you're having a hard time.
[01:19:58.880 --> 01:19:59.880]   Yeah.
[01:19:59.880 --> 01:20:00.880]   And you're, and you're sweating and you're having a hard time.
[01:20:00.880 --> 01:20:01.880]   Yeah.
[01:20:01.880 --> 01:20:02.880]   And you're, and you're sweating and you're having a hard time.
[01:20:02.880 --> 01:20:03.880]   Yeah.
[01:20:03.880 --> 01:20:04.880]   And you're, and you're sweating and you're having a hard time.
[01:20:04.880 --> 01:20:05.880]   Yeah.
[01:20:05.880 --> 01:20:06.880]   And you're, and you're sweating and you're having a hard time.
[01:20:06.880 --> 01:20:07.880]   Yeah.
[01:20:07.880 --> 01:20:08.880]   And you're, and you're sweating and you're having a hard time.
[01:20:08.880 --> 01:20:09.880]   Yeah.
[01:20:09.880 --> 01:20:10.880]   And you're, and you're sweating and you're having a hard time.
[01:20:10.880 --> 01:20:11.880]   Yeah.
[01:20:11.880 --> 01:20:12.880]   And you're, and you're sweating and you're having a hard time.
[01:20:12.880 --> 01:20:13.880]   Yeah.
[01:20:13.880 --> 01:20:14.880]   And you're, and you're sweating and you're having a hard time.
[01:20:14.880 --> 01:20:15.880]   Yeah.
[01:20:15.880 --> 01:20:16.880]   And you're, and you're sweating and you're having a hard time.
[01:20:16.880 --> 01:20:17.880]   Yeah.
[01:20:17.880 --> 01:20:18.880]   And you're, and you're sweating and you're having a hard time.
[01:20:18.880 --> 01:20:19.880]   Yeah.
[01:20:19.880 --> 01:20:20.880]   And you're, and you're sweating and you're having a hard time.
[01:20:20.880 --> 01:20:21.880]   Yeah.
[01:20:21.880 --> 01:20:22.880]   And you're, and you're sweating and you're having a hard time.
[01:20:22.880 --> 01:20:23.880]   Yeah.
[01:20:23.880 --> 01:20:24.880]   And you're, and you're sweating and you're having a hard time.
[01:20:24.880 --> 01:20:25.880]   Yeah.
[01:20:25.880 --> 01:20:26.880]   And you're, and you're sweating and you're having a hard time.
[01:20:26.880 --> 01:20:27.880]   Yeah.
[01:20:27.880 --> 01:20:28.880]   And you're, and you're sweating and you're having a hard time.
[01:20:28.880 --> 01:20:29.880]   Yeah.
[01:20:29.880 --> 01:20:30.880]   And you're, and you're sweating and you're having a hard time.
[01:20:30.880 --> 01:20:31.880]   Yeah.
[01:20:31.880 --> 01:20:32.880]   And you're, and you're sweating and you're having a hard time.
[01:20:32.880 --> 01:20:33.880]   Yeah.
[01:20:33.880 --> 01:20:34.880]   And you're, and you're sweating and you're having a hard time.
[01:20:34.880 --> 01:20:35.880]   Yeah.
[01:20:35.880 --> 01:20:36.880]   And you're, and you're sweating and you're having a hard time.
[01:20:36.880 --> 01:20:37.880]   Yeah.
[01:20:37.880 --> 01:20:38.880]   And you're, and you're sweating and you're having a hard time.
[01:20:38.880 --> 01:20:39.880]   Yeah.
[01:20:39.880 --> 01:20:40.880]   And you're, and you're sweating and you're having a hard time.
[01:20:40.880 --> 01:20:41.880]   Yeah.
[01:20:41.880 --> 01:20:42.880]   And you're, and you're sweating and you're having a hard time.
[01:20:42.880 --> 01:20:43.880]   Yeah.
[01:20:43.880 --> 01:20:44.880]   And you're, and you're sweating and you're having a hard time.
[01:20:44.880 --> 01:20:45.880]   Yeah.
[01:20:45.880 --> 01:20:46.880]   And you're, and you're sweating and you're having a hard time.
[01:20:46.880 --> 01:20:47.880]   Yeah.
[01:20:47.880 --> 01:20:48.880]   And you're, and you're sweating and you're having a hard time.
[01:20:48.880 --> 01:20:49.880]   Yeah.
[01:20:49.880 --> 01:20:50.880]   And you're, and you're sweating and you're having a hard time.
[01:20:50.880 --> 01:20:51.880]   Yeah.
[01:20:51.880 --> 01:20:52.880]   And you're, and you're sweating and you're having a hard time.
[01:20:52.880 --> 01:20:53.880]   Yeah.
[01:20:53.880 --> 01:20:56.860]   And you're just like, yeah, baby, I'm back.
[01:20:56.860 --> 01:20:58.380]   And then she's like, you want another one?
[01:20:58.380 --> 01:20:59.380]   I'm like, fuck yeah.
[01:20:59.380 --> 01:21:01.040]   And then we have another one.
[01:21:01.040 --> 01:21:07.700]   And then, and that beer buzz is especially an afternoon beer buzz is just so pretty.
[01:21:07.700 --> 01:21:08.700]   It's different than a night beer buzz.
[01:21:08.700 --> 01:21:11.700]   A night beer buzz is like, oh, I guess we'll have a beer and then I'll have a couple.
[01:21:11.700 --> 01:21:12.700]   I gotta go to work tomorrow.
[01:21:12.700 --> 01:21:13.700]   All right.
[01:21:13.700 --> 01:21:15.640]   But that afternoon irresponsible beer buzz.
[01:21:15.640 --> 01:21:16.640]   Yeah.
[01:21:16.640 --> 01:21:17.640]   Pilsner.
[01:21:17.640 --> 01:21:18.640]   Pilsner.
[01:21:18.640 --> 01:21:22.860]   There's, I don't mind an IPA, but it's gotta be at a, it's gotta, I gotta be at somewhere.
[01:21:22.860 --> 01:21:24.700]   I gotta be at somewhere.
[01:21:24.700 --> 01:21:26.740]   They gotta have an IPA, like I like a local IPA.
[01:21:26.740 --> 01:21:27.740]   Mm-hmm.
[01:21:27.740 --> 01:21:29.060]   And it's gotta be food involved.
[01:21:29.060 --> 01:21:31.060]   And then I'm enjoying an IPA.
[01:21:31.060 --> 01:21:36.860]   I threw up an IPA in a bathtub in Salt Lake City one time.
[01:21:36.860 --> 01:21:37.860]   It was bad.
[01:21:37.860 --> 01:21:38.860]   What do you mean?
[01:21:38.860 --> 01:21:39.860]   Oh, you threw up in the bathtub.
[01:21:39.860 --> 01:21:40.860]   Okay.
[01:21:40.860 --> 01:21:41.860]   No, no, no.
[01:21:41.860 --> 01:21:42.860]   I was drinking in the bathtub.
[01:21:42.860 --> 01:21:44.360]   Like bathtub with some water in it or?
[01:21:44.360 --> 01:21:45.360]   No, no, no, no, no.
[01:21:45.360 --> 01:21:46.360]   You're sitting in the bathtub.
[01:21:46.360 --> 01:21:47.360]   No, I'm getting ready to take a shower.
[01:21:47.360 --> 01:21:48.360]   Right.
[01:21:48.360 --> 01:21:49.360]   And I had a growler of IPA.
[01:21:49.360 --> 01:21:50.360]   Yeah.
[01:21:50.360 --> 01:21:50.840]   It's about six in the morning.
[01:21:50.840 --> 01:21:52.840]   Yeah.
[01:21:52.840 --> 01:21:54.220]   And I'm in Vegas to jump off the stratosphere.
[01:21:54.220 --> 01:21:55.220]   Yeah.
[01:21:55.220 --> 01:21:58.600]   All I need is a little bit of a buzz to get myself on this fucking plane.
[01:21:58.600 --> 01:21:59.600]   Yeah.
[01:21:59.600 --> 01:22:02.600]   I've anxiety going through my fucking head cuz I'm jump, I'm gonna be the first person
[01:22:02.600 --> 01:22:04.440]   to jump off the stratosphere.
[01:22:04.440 --> 01:22:10.100]   And so I'm drinking an IPA out of a growler in a bathtub at six in the morning and it
[01:22:10.100 --> 01:22:11.820]   just didn't sit right.
[01:22:11.820 --> 01:22:15.520]   And I threw it up and I was off IPAs for like 10 fucking years.
[01:22:15.520 --> 01:22:16.520]   Yeah.
[01:22:16.520 --> 01:22:21.320]   I didn't have another IPA until I was like 46 cuz I was like, all I could think about
[01:22:21.320 --> 01:22:22.820]   was throwing up that IPA.
[01:22:22.820 --> 01:22:23.820]   I was like, I'm gonna throw up thinking about it.
[01:22:23.820 --> 01:22:24.820]   I was like, I'm gonna throw up thinking about it.
[01:22:24.820 --> 01:22:25.820]   But yeah, I don't, I didn't fuck with IPAs for a while.
[01:22:25.820 --> 01:22:26.820]   And then during the pandemic, I got it.
[01:22:26.820 --> 01:22:27.820]   I got back into IPAs.
[01:22:27.820 --> 01:22:28.820]   I was that way with Jack and Coke, Jack Daniels and Coke.
[01:22:28.820 --> 01:22:29.820]   Really?
[01:22:29.820 --> 01:22:30.820]   Got so drunk many, many years ago that just couldn't look at it for a few years.
[01:22:30.820 --> 01:22:31.820]   I can't touch, I can't touch, uh, uh, what's Janis Joplin's drink?
[01:22:31.820 --> 01:22:32.820]   Southern Comfort.
[01:22:32.820 --> 01:22:33.820]   I can't touch Southern Comfort.
