
[00:00:00.040 --> 00:00:09.260]   alkal
[00:46:21.760 --> 00:46:22.040]  ...................は.ire. okay . about the whole her bought a Br wür treat the all the survive the test. guess. or talk and a asked the previous even дом an stra工作 Hyun the Maz Young Turtle X. like a세 remain the push theown the уGood Estarda tha khi Jö for the wouldn't the work guy is the III's as aissement the finds a sur segunda intend the bisa CIAs, and the
[00:49:11.640 --> 00:49:35.860]  . But it was expensive and what I couldn't get done in my business and the so that was the problem so I've learned that. I need to be more stable in order for me to get more work done which is important for me at this point in time so it's not going to happen I'm not going to go back to RVing in the next couple of years until I can get my business more systematized
[00:50:03.460 --> 00:50:31.120]  .
[00:50:31.120 --> 00:50:31.420]   I've basically broke even on all of my RV adventures and there's a bunch of vehicles tone thrown in a bunch of trailer motor home and I've come to trust myself and my ability to buy and sell.
[00:50:31.420 --> 00:50:31.420]   I've basically broken even on all of my RV adventures and there's a bunch of vehicles thrown in a bunch of trailer motor home and I've come to trust myself and my ability to buy and sell.
[00:50:31.420 --> 00:50:31.420]   I've basically broken even on all of my RV adventures and there's a bunch of vehicles thrown in a trailer motor home and I've come to trust myself and my ability to buy and sell.
[00:50:31.420 --> 00:51:00.420]  , I've made a profit on some transactions I've only lost money on a handful of transactions but overall that's really helped my personal confidence and the neat thing about it from a financial perspective is it opens up opportunities.
[00:51:00.420 --> 00:51:01.420]   I've made a profit on some transactions I've only lost money on a handful of transactions but overall that's really helped my personal confidence and the neat thing about it from a financial perspective is it opens up opportunities.
[00:51:01.460 --> 00:51:12.160]   sound
[00:51:12.160 --> 00:51:12.780]   in still муж
[00:51:12.780 --> 00:51:24.340]   sound, ,,,,. me bend their어�
[00:51:24.340 --> 00:51:29.120]   but
[00:51:31.400 --> 00:51:41.040]  ero
[00:51:41.040 --> 00:51:45.600]   of aan
[00:51:45.600 --> 00:51:58.320]  , I, I, head,,,,,,, money but Я시간�they independwhe't Lon À 천 detail gown that go Gab headphonesera i program He sentiment l staff, theBy Det, the ay, and, but, and, and, and, and, and, and,aurus, and, and, and, CD, notice the, X,怎麼, Ly, relates, счит, SCH,,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, WH can,li.. or my're going to have the I'm got a count the'e.
[00:51:58.320 --> 00:51:58.500]   exists the rather the's у didnר the
[00:51:58.500 --> 00:51:59.700]  win a
[00:54:25.760 --> 00:54:36.900]   happy
[00:54:36.900 --> 00:54:37.360]   but our "� over, .,,,,rell day vie office overour •T,". I was right in the black zone and I was in the solar eclipse and I war and I was in the sign a tight e
[00:54:37.360 --> 00:54:54.820]   And I was in the
[00:54:54.880 --> 00:54:56.900]   And I was in the sign a tight e
[00:54:56.900 --> 00:54:57.900]   And I was in the sign a tight e
[00:54:57.900 --> 00:54:58.900]   And I was in the sign a tight e
[00:54:58.900 --> 00:54:59.900]   And I was in the sign a tight e
[00:54:59.900 --> 00:55:00.900]   And I was in the sign a tight e
[00:55:00.900 --> 00:55:01.900]   And I was in the sign a tight e
[00:55:01.900 --> 00:55:02.900]   And I was in the sign a tight e
[00:55:02.900 --> 00:55:03.900]   And I was in the sign a tight e
[00:55:03.900 --> 00:55:04.900]   And I was in the sign a tight e
[00:55:04.900 --> 00:55:05.900]   And I was in the sign a tight e
[00:55:05.900 --> 00:55:06.900]   And I was in the sign a tight e
[00:55:06.900 --> 00:55:07.900]   And I was in the sign a tight e
[00:55:07.900 --> 00:55:08.900]   And I was in the sign a tight e
[00:55:08.900 --> 00:55:09.900]   And I was in the sign a tight e
[00:55:09.900 --> 00:55:10.900]   And I was in the sign a tight e
[00:55:10.900 --> 00:55:11.900]   And I was in the sign a tight e
[00:55:11.900 --> 00:55:12.900]   And I was in the sign a tight e
[00:55:12.900 --> 00:55:13.900]   And I was in the sign a tight e
[00:55:13.900 --> 00:55:14.900]   And I was in the sign a tight e
[00:55:14.940 --> 00:55:20.560]   la
[00:55:20.560 --> 00:55:43.640]  amin,,,,
[00:59:35.940 --> 00:59:45.760]   in
[00:59:45.760 --> 01:00:03.460]   c see,,,,
[01:02:24.020 --> 01:02:33.980]   but
[01:02:33.980 --> 01:02:34.100]   light. I don transform정
[01:02:34.100 --> 01:02:51.860]   is a sa tigerłe�​​avil資 that I was as a touch the " . . . . . . . . . . . ,BO A dont Д место
[01:02:51.860 --> 01:02:52.460]   but I want to
[01:02:52.900 --> 01:02:59.480]   I basically came to the point where I said, "No, I got to build something bigger."
[01:02:59.480 --> 01:03:13.680]   So in the coming decade, I'm going to build a much bigger business, hire more people to work with me, to expand my ability to keep me working in my unique ability and to expand out or to deliver more excellence.
[01:03:13.680 --> 01:03:16.800]   I want people to get results faster.
[01:03:16.800 --> 01:03:19.980]   I want to get better results and I can't do it by myself.
[01:03:19.980 --> 01:03:21.780]   So that's
[01:03:21.780 --> 01:03:50.680]  ,
[01:03:50.680 --> 01:03:50.680]   I'm going to get better results and I can't do it by myself.
[01:03:50.680 --> 01:03:50.680]   I want people to get better results and I can't do it by myself.
[01:03:50.680 --> 01:03:50.680]   I want people to get better results and I can't do it by myself.
[01:03:50.680 --> 01:03:50.680]   I want people to get better results and I can't do it by myself.
[01:03:50.680 --> 01:03:50.740]   I want people to get better results and I can't do it by myself.
[01:03:50.740 --> 01:03:50.780]   I want people to get better results and I can't do it by myself.
[01:03:50.780 --> 01:03:50.820]   I want people to get better results and I can't do it by myself.
[01:03:50.820 --> 01:03:50.880]   I want people to get better results and I can't do it by myself.
[01:03:50.880 --> 01:03:50.920]   I want people to get better results and I can't do it by myself.
[01:03:50.920 --> 01:03:50.980]   I want people to get better results and I can't do it by myself.
[01:03:50.980 --> 01:03:50.980]   I want people to get better results and I can't do it by myself.
[01:03:50.980 --> 01:03:51.020]   I want people to get better results and I can't do it by myself.
[01:03:51.060 --> 01:04:15.340]   talk
[01:07:33.940 --> 01:07:48.060]   as much as I can to serve as many people as I'm capable of.
[01:07:48.060 --> 01:07:53.560]   I'm not going to play small. I am devoted to doing as much as I can to serve as many people as I'm capable of. Just with the skills and abilities that I have.
[01:07:53.560 --> 01:08:03.920]   I still struggle to figure out the progression of how to do those things. I don't want to...
[01:08:17.420 --> 01:08:30.180]   I've learned as I get older, I'm learning to be more careful with the words that come out of my mouth. The classic entrepreneur problem is having a billion ideas and not being able to execute on them. And that's been always the challenge of my life is so many ideas. And then I struggle to execute, mostly because I haven't built the right team that helps me to execute on them. And I get embarrassed when I say, "Hey, look, here's this great idea. Here's this thing I'm going to do." And then I don't execute on it. So I'm going to...
[01:08:30.180 --> 01:08:33.940]   I was going to talk about kind of what I was doing.
[01:08:33.940 --> 01:08:33.960]   And then I was going to talk about what I was doing. And then I don't execute on it. So I'm going to...
[01:08:33.960 --> 01:09:04.000]  , I'm going to do over the next years, but I'm just going to be quiet on that for now and work a focus on executing and not talking about stuff. So we'll see. I don't, if I think about a decade, I don't think I actually, I don't think I'll be doing radical personal finance a decade from now. I just don't think I will. My goal is to do is to create something and I'm still a year, probably a year away from my thousandth episode. But my goal is to create something
[01:09:04.000 --> 01:09:04.000]   I'm still a year, probably a year away from my thousandth episode. But my goal is to create something and I'm still a year away from my thousandth episode. But my goal is to create something and I'm still a year away from my thousandth episode. And I'm still a year away from my thousandth episode. And I'm still a year away from my thousandth episode. And I'm still a year away from my thousandth episode.
[01:09:04.040 --> 01:09:14.260]  ,
[01:09:14.260 --> 01:09:14.760]   valor em now,,,,
[01:09:14.760 --> 01:09:27.640]  's the side of the table. It's not a means that it's not don
[01:09:27.640 --> 01:09:31.540]   cum
[01:09:31.540 --> 01:09:33.920]   Mat,
[01:09:34.060 --> 01:09:41.540]   looked
[01:09:41.540 --> 01:09:58.280]   work,72
[01:10:02.800 --> 01:10:12.540]   work,72
[01:10:31.580 --> 01:10:41.800]   talk
[01:10:41.800 --> 01:10:47.500]   your in in bellGA为 grew veces, and, and, and, and, and,,,,.,., "G.G.G. cerca Greginfl right but no d but my or i is a smart buy the big in the of the Bra, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,,, the,,,,,.,.,.,.,.,.,.,.,., into, reminded hope . Whether to be .
[01:10:47.500 --> 01:10:59.740]   skipped like by 199actor� elector gener � P flo fa해�ed to set어나enders אבל Hana ez traveled ehink why no hol
[01:10:59.760 --> 01:11:02.740]   just doing everything online and
[01:11:02.740 --> 01:11:02.740]   just doing everything online and
[01:11:02.740 --> 01:11:04.740]   just doing everything online and
[01:11:04.740 --> 01:11:06.740]   maybe we'll dig into that some other
[01:11:06.740 --> 01:11:06.740]   maybe we'll dig into that some other
[01:11:06.740 --> 01:11:08.740]   maybe we'll dig into that some other time
[01:11:08.740 --> 01:11:08.740]   time
[01:11:08.740 --> 01:11:10.740]   time i think i've shared with you most of
[01:11:10.740 --> 01:11:10.740]   i think i've shared with you most of
[01:11:10.740 --> 01:11:12.340]   i think i've shared with you most of what i intended to share it's been an
[01:11:12.340 --> 01:11:12.340]   what i intended to share it's been an
[01:11:12.340 --> 01:11:13.540]   what i intended to share it's been an awesome decade for me
[01:11:13.540 --> 01:11:13.540]   awesome decade for me
[01:11:13.540 --> 01:11:16.740]   awesome decade for me um i'm excited and i guess probably
[01:11:16.740 --> 01:11:16.740]   um i'm excited and i guess probably
[01:11:16.740 --> 01:11:17.860]   um i'm excited and i guess probably the most important thing
[01:11:17.860 --> 01:11:17.860]   the most important thing
[01:11:17.860 --> 01:11:20.100]   the most important thing would be maybe this is common to all
[01:11:20.100 --> 01:11:20.100]   would be maybe this is common to all
[01:11:20.100 --> 01:11:21.620]   would be maybe this is common to all people i don't know i've never been
[01:11:22.380 --> 01:11:45.580]   people i don't know i've never been
[01:11:45.580 --> 01:11:48.780]   people i don't know i've never been this age before but i do know this i feel
[01:11:48.780 --> 01:11:48.780]   this age before but i do know this i feel
[01:11:48.780 --> 01:11:50.620]   this age before but i do know this i feel like i'm hitting my stride and that's
[01:11:50.620 --> 01:11:50.620]   like i'm hitting my stride and that's
[01:11:50.620 --> 01:11:51.580]   like i'm hitting my stride and that's really really a great feeling it having
[01:11:51.580 --> 01:11:51.580]   really really a great feeling it having
[01:11:51.580 --> 01:11:51.580]   really really a great feeling it having lacked self confidence so much in the past
[01:11:51.580 --> 01:11:51.580]   lacked self confidence so much in the past and having felt like i was in these places that i wasn't a good fit for etc
[01:11:51.580 --> 01:11:51.580]   felt like i wasn't a good fit for etc it feels really good to feel like i'm hitting my stride and to feel confident in my skill my ability and my clarity of thought etc
[01:11:51.580 --> 01:11:51.580]   and clarity of clarity of thought etc
[01:11:51.600 --> 01:11:55.380]   and clarity of clarity of thought etc that's really gratifying and so
[01:11:55.380 --> 01:11:55.380]   that's really gratifying and so
[01:11:55.380 --> 01:11:57.460]   that's really gratifying and so i that's a place of confidence i think we all
[01:11:57.460 --> 01:11:57.460]   i that's a place of confidence i think we all
[01:11:57.460 --> 01:11:59.940]   i that's a place of confidence i think we all should operate from as much as possible
[01:11:59.940 --> 01:11:59.940]   should operate from as much as possible
[01:11:59.940 --> 01:12:01.700]   should operate from as much as possible and it just leads to a totally different
[01:12:01.700 --> 01:12:01.700]   and it just leads to a totally different
[01:12:01.700 --> 01:12:03.460]   and it just leads to a totally different set of experiences and i must say that
[01:12:03.460 --> 01:12:03.460]   set of experiences and i must say that
[01:12:03.460 --> 01:12:04.980]   set of experiences and i must say that you can't mess it all up obviously you
[01:12:04.980 --> 01:12:04.980]   you can't mess it all up obviously you can't
[01:12:04.980 --> 01:12:07.540]   you can't mess it all up obviously you can't but uh i solved most of those
[01:12:07.540 --> 01:12:07.540]   but uh i solved most of those
[01:12:07.540 --> 01:12:10.100]   but uh i solved most of those problems with uh good financial
[01:12:10.120 --> 01:12:30.780]   problems with uh good financial
[01:12:30.780 --> 01:12:33.500]   problems with uh good financial planning so
[01:12:33.500 --> 01:12:33.500]   planning so
[01:12:33.500 --> 01:12:35.900]   planning so it's just really exciting to feel that
[01:12:35.900 --> 01:12:35.900]   it's just really exciting to feel that
[01:12:35.900 --> 01:12:37.500]   it's just really exciting to feel that way and when i think about the phase that
[01:12:37.500 --> 01:12:37.500]   way and when i think about the phase that
[01:12:37.500 --> 01:12:38.940]   way and when i think about the phase that my family is at i think about the phase that
[01:12:38.940 --> 01:12:38.940]   my family is at i think about the phase that
[01:12:38.940 --> 01:12:40.060]   my family is at i think about the phase that i'm at it's exciting to me and i'm i'm
[01:12:40.100 --> 01:12:50.300]  ild
[01:12:50.300 --> 01:13:08.320]   good, I,
[01:13:37.940 --> 01:13:37.940]   and
[01:13:37.940 --> 01:13:37.940]   and
[01:13:37.940 --> 01:13:38.040]   and
[01:13:38.360 --> 01:13:38.780]   I think. And yet, in the middle of that, there's never been a time that I've seen more opportunity for individuals. As noisy as the world is, and as many things pull at you, it's never been easier to be free, to live freely, as far as I can see. I'm anticipating here in the beginning of January, I'm going to lead the year off with this series called Seven Rings of Freedom.
[01:13:38.780 --> 01:13:38.780]   I'm anticipating here in the beginning of January, I'm going to lead the year off with this series called Seven Rings of Freedom.
[01:13:38.780 --> 01:13:38.780]   I'm anticipating here in the beginning of January, I'm going to lead the year off with this series called Seven Rings of Freedom.
[01:13:38.780 --> 01:13:38.800]   I'm anticipating here in the beginning of January, I'm going to lead the year off with this series called Seven Rings of Freedom.
[01:14:08.580 --> 01:14:08.580]  ,
[01:14:08.580 --> 01:14:08.580]  ,
[01:14:08.580 --> 01:14:08.580]  ,
[01:14:08.580 --> 01:14:08.820]  ,
[01:14:08.860 --> 01:14:11.640]  ,
[01:14:11.640 --> 01:14:36.380]   sub.coat
[01:14:36.380 --> 01:14:37.440]   or their а par
[01:15:06.940 --> 01:15:06.940]   and so on.
[01:15:36.040 --> 01:16:06.020]   underway.
[01:16:06.060 --> 01:16:16.300]  投
[01:16:16.300 --> 01:16:19.980]   his, my, cor,
[01:16:19.980 --> 01:16:35.080]  �ioè minimize SE F N F Mar project embroidery

