
[00:00:00.000 --> 00:00:02.040]   And we are live.
[00:37:34.960 --> 00:37:39.080]   So I can effectively apply 10 networks to 10 data points
[00:37:39.080 --> 00:37:42.480]   and get a hundred outputs with just the same function
[00:37:42.480 --> 00:37:44.520]   that I can use for normal forward prop.
[00:37:44.520 --> 00:37:45.840]   So Jack's is pretty great,
[00:37:45.840 --> 00:37:47.480]   is one thing I learned in the process
[00:37:47.480 --> 00:37:49.080]   of building this example.
[00:37:49.080 --> 00:37:52.880]   So the reason why I wanted to do this simple setting,
[00:37:52.880 --> 00:37:54.200]   and one of the things that makes this
[00:37:54.200 --> 00:37:56.040]   a really powerful example,
[00:37:56.040 --> 00:37:59.440]   is because it's so simple that we can actually see
[00:37:59.440 --> 00:38:01.560]   everything that we normally can't see
[00:38:01.560 --> 00:38:04.480]   when we're doing deep learning, for real,
[00:38:04.480 --> 00:38:08.480]   when we're doing it on images with thousands of pixels
[00:38:08.480 --> 00:38:11.560]   in them and trying to predict one of thousands of classes
[00:38:11.560 --> 00:38:14.240]   at the end, the dimension of everything is so big,
[00:38:14.240 --> 00:38:15.440]   the dimension of that input X,
[00:38:15.440 --> 00:38:18.800]   the dimension of the hidden of the parameters theta,
[00:38:18.800 --> 00:38:20.960]   these things are in the thousands, in the millions,
[00:38:20.960 --> 00:38:22.920]   in the billions nowadays.
[00:38:22.920 --> 00:38:26.720]   And so you're hosed for trying to think about that spatially
[00:38:26.720 --> 00:38:28.800]   and for trying to visualize it.
[00:38:28.800 --> 00:38:30.120]   But if we, in this case,
[00:38:30.120 --> 00:38:33.360]   choose the number of hidden layers
[00:38:34.200 --> 00:38:37.480]   to be one, so there's one hidden layer,
[00:38:37.480 --> 00:38:41.760]   and then one output layer, and so two layers total,
[00:38:41.760 --> 00:38:44.520]   then we've reduced this down so much
[00:38:44.520 --> 00:38:47.080]   that now there's only essentially two dimensions,
[00:38:47.080 --> 00:38:49.520]   two parameter dimensions to think about.
[00:38:49.520 --> 00:38:51.520]   And so anything that has to do with the parameters,
[00:38:51.520 --> 00:38:54.920]   we can visualize,
[00:38:54.920 --> 00:38:56.760]   'cause we have two dimensions for the parameters
[00:38:56.760 --> 00:38:58.480]   and then one dimension for whatever it is
[00:38:58.480 --> 00:38:59.680]   we're trying to measure.
[00:39:01.800 --> 00:39:04.000]   So for example, we can look at the network's output
[00:39:04.000 --> 00:39:05.680]   as a function of the parameters here.
[00:39:05.680 --> 00:39:08.640]   So this is a surface here.
[00:39:08.640 --> 00:39:12.600]   So the values there, it gets red as the value gets higher
[00:39:12.600 --> 00:39:14.560]   and it gets blue as the value goes lower
[00:39:14.560 --> 00:39:17.080]   and then in between it is gray.
[00:39:17.080 --> 00:39:20.520]   And that Z axis, which is also the color axis,
[00:39:20.520 --> 00:39:23.440]   is the output of the network on the number one.
[00:39:23.440 --> 00:39:25.840]   So if I put in the number one to this network,
[00:39:25.840 --> 00:39:27.520]   what do the outputs look like?
[00:39:27.520 --> 00:39:31.320]   And it looks like the outputs get big as the parameters get,
[00:39:31.320 --> 00:39:33.200]   as the parameters have the same sign.
[00:39:33.200 --> 00:39:36.760]   So as we go to two, two in the upper right quadrant,
[00:39:36.760 --> 00:39:39.800]   and it gets, and similarly,
[00:39:39.800 --> 00:39:42.160]   the output gets big if both inputs,
[00:39:42.160 --> 00:39:44.960]   if both parameters are negative and large,
[00:39:44.960 --> 00:39:48.080]   that the bottom left corner, which is also red.
[00:39:48.080 --> 00:39:55.720]   So the, in order to finally get a loss function
[00:39:55.720 --> 00:39:57.640]   and get ourselves to the point where we're looking
[00:39:57.640 --> 00:39:59.440]   at a neural network optimization problem,
[00:39:59.440 --> 00:40:02.040]   we just need to choose that difference there,
[00:40:02.040 --> 00:40:05.840]   that D function that compares the inputs to the outputs.
[00:40:05.840 --> 00:40:08.640]   And so if we choose the squared error,
[00:40:08.640 --> 00:40:11.360]   then the loss function is just the squared difference
[00:40:11.360 --> 00:40:12.560]   between the inputs and the outputs,
[00:40:12.560 --> 00:40:14.640]   averaged over a batch.
[00:40:14.640 --> 00:40:16.000]   That's easy to code up.
[00:40:16.000 --> 00:40:20.480]   We just apply the mean of the squared error function
[00:40:20.480 --> 00:40:21.320]   like that.
[00:40:21.320 --> 00:40:24.760]   And that loss is actually simple enough
[00:40:24.760 --> 00:40:27.840]   that it's something we can write out explicitly.
[00:40:27.840 --> 00:40:29.160]   So if we just say, all right,
[00:40:29.160 --> 00:40:32.640]   let's say that our only input is the number one,
[00:40:32.640 --> 00:40:34.480]   there's only one data point.
[00:40:34.480 --> 00:40:37.560]   Then if we look at that as a function of theta,
[00:40:37.560 --> 00:40:39.680]   let's see what the loss looks like.
[00:40:39.680 --> 00:40:44.480]   So first, theta one times theta zero times one
[00:40:44.480 --> 00:40:48.440]   is what F of theta colon one is up there,
[00:40:48.440 --> 00:40:51.120]   theta semicolon one up there is.
[00:40:51.120 --> 00:40:53.120]   That's the definition of what our network does
[00:40:53.120 --> 00:40:54.160]   to its inputs.
[00:40:54.160 --> 00:40:56.320]   So that simplifies things.
[00:40:56.320 --> 00:40:58.800]   And then we can take that and write it out,
[00:40:58.800 --> 00:41:00.640]   it sort of expanded out if we'd like,
[00:41:00.640 --> 00:41:03.280]   it makes it a little bit easier to do other manipulations.
[00:41:03.280 --> 00:41:07.160]   And it's very clear now that this is just a polynomial.
[00:41:07.160 --> 00:41:08.200]   And that's helpful,
[00:41:08.200 --> 00:41:10.680]   especially if you have a bit more of a math background
[00:41:10.680 --> 00:41:12.760]   to recognize something that you may have seen
[00:41:12.760 --> 00:41:15.120]   in other places in mathematics,
[00:41:15.120 --> 00:41:17.040]   in other problems that you've run into,
[00:41:17.040 --> 00:41:20.800]   you've probably run into polynomials before.
[00:41:20.800 --> 00:41:25.720]   Whereas neural networks are maybe a new and curious thing.
[00:41:25.720 --> 00:41:26.560]   On the other hand,
[00:41:26.560 --> 00:41:28.200]   maybe if you know a little bit less about math
[00:41:28.200 --> 00:41:30.280]   and are a little bit less comfortable with polynomials,
[00:41:30.280 --> 00:41:33.040]   it's interesting to see that the simplest version
[00:41:33.040 --> 00:41:37.400]   of a neural network ends up being a polynomial
[00:41:37.400 --> 00:41:39.600]   in terms of its loss function.
[00:41:39.600 --> 00:41:43.080]   So not only can we write it out explicitly,
[00:41:43.080 --> 00:41:44.920]   we can also sort of look at it.
[00:41:44.920 --> 00:41:46.200]   We can directly look at it,
[00:41:46.200 --> 00:41:48.600]   we can visualize this loss function.
[00:41:48.600 --> 00:41:51.560]   So this is the thing that we are moving on
[00:41:51.560 --> 00:41:52.760]   when we do gradient descent.
[00:41:52.760 --> 00:41:54.600]   This is the thing that we are,
[00:41:54.600 --> 00:41:58.520]   because it's in 2D with this one extra dimension,
[00:41:58.520 --> 00:42:00.080]   it's sort of a lot more physical.
[00:42:00.080 --> 00:42:01.120]   It looks a little bit,
[00:42:01.120 --> 00:42:03.640]   if you look at it like a mountain range.
[00:42:03.640 --> 00:42:04.720]   There's two of those,
[00:42:04.720 --> 00:42:07.680]   those two big red mountains coming up off the side,
[00:42:07.680 --> 00:42:09.520]   a nice big valley in the middle.
[00:42:09.520 --> 00:42:14.800]   It's a little bit more physical
[00:42:14.800 --> 00:42:15.880]   and we can think about it
[00:42:15.880 --> 00:42:19.560]   in these sort of more physical terms.
[00:42:19.680 --> 00:42:23.480]   And this, in a way that we couldn't,
[00:42:23.480 --> 00:42:25.520]   if we were looking at a neural network problem
[00:42:25.520 --> 00:42:28.000]   where this is tens of thousands of dimensions.
[00:42:28.000 --> 00:42:31.560]   And even more so,
[00:42:31.560 --> 00:42:32.760]   we can also combine that
[00:42:32.760 --> 00:42:35.240]   with by hand mathematical calculations
[00:42:35.240 --> 00:42:37.280]   to get the values of the gradient.
[00:42:37.280 --> 00:42:39.080]   So if you sort of,
[00:42:39.080 --> 00:42:41.680]   if you crank through that polynomial
[00:42:41.680 --> 00:42:42.920]   that we had previously,
[00:42:42.920 --> 00:42:45.320]   you can calculate the gradient by hand,
[00:42:45.320 --> 00:42:47.840]   uses only the rules of the gradient calculus
[00:42:47.840 --> 00:42:51.320]   or polynomials, which are on the easier side of calculus
[00:42:51.320 --> 00:42:53.800]   when it comes to doing calculus.
[00:42:53.800 --> 00:42:56.120]   And you can actually get an explicit expression
[00:42:56.120 --> 00:42:57.160]   for the gradient.
[00:42:57.160 --> 00:42:59.680]   Of course, in Python,
[00:42:59.680 --> 00:43:01.640]   we rely on automatic differentiation,
[00:43:01.640 --> 00:43:02.600]   but it's helpful,
[00:43:02.600 --> 00:43:04.840]   especially in cases where we use automation
[00:43:04.840 --> 00:43:06.720]   to take some of the difficulty out
[00:43:06.720 --> 00:43:08.720]   of the actual problems we wanna work on
[00:43:08.720 --> 00:43:11.320]   to be able to go back to a simple problem like this one
[00:43:11.320 --> 00:43:13.320]   and actually crank it out,
[00:43:13.320 --> 00:43:15.120]   work on it step-by-step
[00:43:15.120 --> 00:43:18.360]   and see what exactly is being automated away.
[00:43:18.360 --> 00:43:21.720]   And the utility here is that we can actually then look
[00:43:21.720 --> 00:43:22.800]   at not just the loss,
[00:43:22.800 --> 00:43:26.240]   but also the gradient as an overall vector field.
[00:43:26.240 --> 00:43:29.160]   We can look at what the gradient is at every single point
[00:43:29.160 --> 00:43:32.680]   and get a better sense maybe
[00:43:32.680 --> 00:43:35.720]   for how gradient descent is going to behave.
[00:43:35.720 --> 00:43:36.560]   So you can see,
[00:43:36.560 --> 00:43:39.000]   if you take a look at this gradient field
[00:43:39.000 --> 00:43:40.800]   a little bit more closely,
[00:43:40.800 --> 00:43:44.560]   the highest values are very far away from the center.
[00:43:44.560 --> 00:43:46.760]   And then the values drop precipitously.
[00:43:46.760 --> 00:43:50.320]   So these little tiny arrows represent the gradient
[00:43:50.320 --> 00:43:52.320]   at each point they point in the direction
[00:43:52.320 --> 00:43:53.560]   gradient descent would go.
[00:43:53.560 --> 00:43:55.920]   So it's the negative gradient.
[00:43:55.920 --> 00:44:00.640]   And you can see that they're much, much tinier
[00:44:00.640 --> 00:44:03.200]   as we get down to the bottom here.
[00:44:03.200 --> 00:44:05.360]   So the scale of the gradient,
[00:44:05.360 --> 00:44:06.640]   it gets really, really big
[00:44:06.640 --> 00:44:08.240]   when you're far away from a solution.
[00:44:08.240 --> 00:44:10.920]   And then once you get even a little bit close to it,
[00:44:10.920 --> 00:44:12.480]   it shrinks back down.
[00:44:12.480 --> 00:44:14.520]   So this is something that's gonna generally be the case
[00:44:14.520 --> 00:44:15.520]   with neural networks.
[00:44:15.520 --> 00:44:17.680]   And this is one of the reasons why your loss goes down
[00:44:17.680 --> 00:44:19.920]   really, really quickly when you first start,
[00:44:19.920 --> 00:44:21.600]   'cause you tend to start in some area
[00:44:21.600 --> 00:44:24.000]   where you're not doing so well.
[00:44:24.000 --> 00:44:26.040]   And there's obvious big gradients
[00:44:26.040 --> 00:44:28.280]   that help you improve really, really quickly.
[00:44:28.280 --> 00:44:31.560]   So gradient descent is the method
[00:44:31.560 --> 00:44:33.440]   that gets used to optimize neural networks.
[00:44:33.440 --> 00:44:35.520]   We take that gradient and we apply it,
[00:44:35.520 --> 00:44:38.600]   we calculate it, scale it,
[00:44:38.600 --> 00:44:41.000]   flip it around and add it to the value of the parameters.
[00:44:41.000 --> 00:44:43.320]   So we follow those arrows there
[00:44:43.320 --> 00:44:45.800]   that I was showing on the surface.
[00:44:45.800 --> 00:44:50.440]   And so that looks like in Python code,
[00:44:50.440 --> 00:44:53.920]   it's theta minus eta times the gradient.
[00:44:53.920 --> 00:44:56.320]   And I grabbed, it took Jax here,
[00:44:56.320 --> 00:44:58.200]   and I actually vectorized that function,
[00:44:58.200 --> 00:45:00.360]   which gives you the ability to run gradient descent
[00:45:00.360 --> 00:45:03.760]   on multiple networks across batches at the same time,
[00:45:03.760 --> 00:45:06.320]   all with the same function that you would use to train one.
[00:45:06.320 --> 00:45:09.440]   Again, Jax has some pretty cool stuff in it.
[00:45:09.440 --> 00:45:11.400]   Though I feel obligated to point out
[00:45:11.400 --> 00:45:13.840]   that some things are a little bit harder in Jax,
[00:45:13.840 --> 00:45:17.240]   namely that if you wanna try and update the values
[00:45:17.240 --> 00:45:19.120]   of the matrix, say pre-allocate memory
[00:45:19.120 --> 00:45:20.720]   and then touch it later,
[00:45:20.720 --> 00:45:22.880]   Jax makes that a little bit harder.
[00:45:22.880 --> 00:45:26.400]   So I felt like I couldn't be completely positive
[00:45:26.400 --> 00:45:29.560]   without pointing out the one place I ran into some trouble.
[00:45:29.560 --> 00:45:33.160]   But that tiny bit of trouble aside,
[00:45:33.160 --> 00:45:37.560]   that little detail avoided,
[00:45:37.560 --> 00:45:39.920]   it was straightforward to set up
[00:45:39.920 --> 00:45:41.800]   this nice batch gradient descent.
[00:45:41.800 --> 00:45:45.360]   So to run gradient descent for a couple of hundred steps
[00:45:45.360 --> 00:45:47.960]   from a couple of hundred different positions
[00:45:47.960 --> 00:45:50.040]   was pretty fast.
[00:45:50.040 --> 00:45:55.040]   And that gave me this visualization here on this one.
[00:45:55.040 --> 00:45:59.080]   And you can see a large number of the trajectories
[00:45:59.080 --> 00:46:01.640]   are getting sucked towards the center there.
[00:46:01.640 --> 00:46:04.720]   So they're getting sucked towards the value zero, zero,
[00:46:04.720 --> 00:46:07.120]   right in the middle at the origin.
[00:46:07.120 --> 00:46:09.840]   So multiplying the inputs by zero
[00:46:09.840 --> 00:46:13.280]   and that's not what we wanted to do, right?
[00:46:13.280 --> 00:46:14.600]   We wanted to get a solution
[00:46:14.600 --> 00:46:17.000]   where we multiply the inputs by one.
[00:46:17.000 --> 00:46:20.160]   We want the inputs and the outputs to match one another.
[00:46:20.160 --> 00:46:22.680]   And so just looking at this one,
[00:46:22.680 --> 00:46:24.320]   it would look like, okay, well, there's,
[00:46:24.320 --> 00:46:26.080]   sometimes when I do gradient descent,
[00:46:26.080 --> 00:46:27.520]   it's gonna fail on this problem
[00:46:27.520 --> 00:46:31.220]   and sometimes it's gonna succeed.
[00:46:31.220 --> 00:46:35.800]   And so we can see that if we take a look
[00:46:35.800 --> 00:46:37.600]   at the losses over time.
[00:46:37.600 --> 00:46:40.080]   Losses is the kind of plot that you're maybe
[00:46:40.080 --> 00:46:42.480]   actually able to do when you're doing
[00:46:42.480 --> 00:46:44.360]   machine learning at scale.
[00:46:44.360 --> 00:46:46.120]   You can just plot the loss
[00:46:46.120 --> 00:46:48.440]   that you calculate through training.
[00:46:48.440 --> 00:46:50.880]   And so this looks actually quite different
[00:46:50.880 --> 00:46:52.360]   from what you would see during training
[00:46:52.360 --> 00:46:55.360]   in that there are all these traces
[00:46:55.360 --> 00:47:01.840]   that are not converging down to the lowest values.
[00:47:01.840 --> 00:47:05.240]   And this is just across different initializations.
[00:47:05.240 --> 00:47:07.000]   But when we work with typical neural networks,
[00:47:07.000 --> 00:47:09.680]   we use random normalized starting positions, right?
[00:47:09.680 --> 00:47:13.880]   We don't start on these special grid positions.
[00:47:13.880 --> 00:47:17.720]   So we need to randomly initialize things.
[00:47:17.720 --> 00:47:19.280]   And just for fun here,
[00:47:19.280 --> 00:47:21.080]   randomly doing things in JAX
[00:47:21.080 --> 00:47:24.120]   is actually quite a bit more challenging
[00:47:24.120 --> 00:47:27.840]   than it is in other frameworks.
[00:47:27.840 --> 00:47:29.020]   You have to be very explicit
[00:47:29.020 --> 00:47:31.520]   about where you're being random and non-random.
[00:47:31.520 --> 00:47:34.520]   But once I did that,
[00:47:34.520 --> 00:47:36.320]   it was pretty straightforward to do some,
[00:47:36.320 --> 00:47:37.520]   once I figured out how to do that,
[00:47:37.520 --> 00:47:40.640]   it was pretty straightforward to do random initializations.
[00:47:40.640 --> 00:47:43.000]   And things look actually quite a bit different.
[00:47:43.000 --> 00:47:44.040]   So this is, I think,
[00:47:44.040 --> 00:47:47.440]   the same number of initial trajectories,
[00:47:47.440 --> 00:47:48.920]   or at least the same number as the number
[00:47:48.920 --> 00:47:51.680]   that I plotted the loss of before.
[00:47:51.680 --> 00:47:53.480]   But now we can see that actually,
[00:47:53.480 --> 00:47:56.080]   none of them are going towards that center value.
[00:47:56.080 --> 00:47:59.960]   And all of them are actually starting off at lower levels
[00:47:59.960 --> 00:48:02.960]   and going down to at about the same height.
[00:48:02.960 --> 00:48:04.560]   So this is also something that we see
[00:48:04.560 --> 00:48:07.760]   in other neural networks, in bigger neural networks,
[00:48:07.760 --> 00:48:10.200]   so long as we're careful to randomly initialize
[00:48:10.200 --> 00:48:13.520]   and we're careful to set that scale in a thoughtful way.
[00:48:13.520 --> 00:48:15.400]   So to make sure that things are not just random,
[00:48:15.400 --> 00:48:16.560]   but also normalized.
[00:48:16.560 --> 00:48:18.960]   If you look at the starting positions of those,
[00:48:18.960 --> 00:48:22.440]   you'll see they form a nice circle in the XY plane.
[00:48:22.440 --> 00:48:25.560]   And training looks much better.
[00:48:25.560 --> 00:48:26.400]   It looks, you know,
[00:48:26.400 --> 00:48:27.480]   they all seem to be going down
[00:48:27.480 --> 00:48:28.920]   to the same value of the loss.
[00:48:28.920 --> 00:48:30.800]   Perfect score of zero.
[00:48:30.800 --> 00:48:33.500]   Seems like things are going in that direction.
[00:48:33.500 --> 00:48:36.240]   And with the, and one interesting thing here,
[00:48:36.240 --> 00:48:38.960]   so you can see one gets a little bit stuck.
[00:48:38.960 --> 00:48:41.640]   So it heads towards that center there, actually.
[00:48:41.640 --> 00:48:43.720]   Maybe if we head back a slide,
[00:48:43.720 --> 00:48:46.040]   you can see that a couple of these trajectories
[00:48:46.040 --> 00:48:49.260]   head towards the center of the,
[00:48:49.260 --> 00:48:54.720]   they head towards the center of the parameter area.
[00:48:54.720 --> 00:48:57.380]   And they, before heading down
[00:48:57.380 --> 00:48:59.040]   and joining the rest of the trajectories
[00:48:59.040 --> 00:49:01.120]   that are going to the correct solution.
[00:49:02.240 --> 00:49:04.680]   So that's what this trace here represents.
[00:49:04.680 --> 00:49:06.400]   That's one of those examples.
[00:49:06.400 --> 00:49:11.940]   And the, this is something that we do also sometimes see
[00:49:11.940 --> 00:49:13.260]   when we're doing,
[00:49:13.260 --> 00:49:16.200]   when we're applying neural networks at scale.
[00:49:16.200 --> 00:49:19.460]   We see sometimes there are trajectories
[00:49:19.460 --> 00:49:22.800]   which get stuck for a while before jumping off of a cliff.
[00:49:22.800 --> 00:49:27.080]   So it seems like they're probably doing something
[00:49:27.080 --> 00:49:29.040]   kind of similar to what's happening in this problem,
[00:49:29.040 --> 00:49:33.040]   where there's a solution that is close to the,
[00:49:33.040 --> 00:49:36.220]   that is, that looks kind of like this one,
[00:49:36.220 --> 00:49:37.900]   that has this kind of Pringle shape,
[00:49:37.900 --> 00:49:40.620]   where in one direction, the values, the loss goes up,
[00:49:40.620 --> 00:49:42.840]   and in one direction, the value goes down.
[00:49:42.840 --> 00:49:45.300]   If you'll give me just one second,
[00:49:45.300 --> 00:49:48.400]   I'm gonna try and get rid of this
[00:49:48.400 --> 00:49:51.120]   little pop-up thing down here.
[00:49:51.120 --> 00:49:52.120]   Sorry about that.
[00:49:52.960 --> 00:49:55.200]   (whistles)
[00:49:55.200 --> 00:50:03.220]   All right, well, that did not fix it,
[00:50:03.220 --> 00:50:04.760]   so I'm just gonna keep going.
[00:50:04.760 --> 00:50:09.560]   Okay, so that's another little phenomenon
[00:50:09.560 --> 00:50:11.520]   that we can see in this simple problem.
[00:50:11.520 --> 00:50:16.640]   So due to the simplicity of this loss,
[00:50:16.640 --> 00:50:19.880]   we can actually also calculate all the possible solutions.
[00:50:19.880 --> 00:50:21.520]   So at all of the solutions,
[00:50:21.520 --> 00:50:24.280]   it will be the case that the gradient is zero, right?
[00:50:24.280 --> 00:50:26.320]   So we want the gradient to go down over time
[00:50:26.320 --> 00:50:30.300]   as we're optimizing, and that when the gradient is zero,
[00:50:30.300 --> 00:50:32.160]   that could be because we're at a solution.
[00:50:32.160 --> 00:50:35.320]   At least all solutions will have gradient zero.
[00:50:35.320 --> 00:50:38.080]   So let's check what are some values
[00:50:38.080 --> 00:50:39.780]   that'll give us gradient zero.
[00:50:39.780 --> 00:50:44.780]   Well, we'll apply it to the value of the gradient,
[00:50:44.780 --> 00:50:47.000]   which we can calculate by hand.
[00:50:47.000 --> 00:50:48.320]   It's relatively straightforward.
[00:50:48.320 --> 00:50:49.840]   I've skipped the math here
[00:50:49.840 --> 00:50:52.800]   just to keep things going forward.
[00:50:52.800 --> 00:50:55.000]   And unsurprisingly, it's gonna happen
[00:50:55.000 --> 00:50:57.160]   when theta one and theta two
[00:50:57.160 --> 00:50:59.680]   are multiplied together equal one.
[00:50:59.680 --> 00:51:01.800]   So that means that if we multiply the input
[00:51:01.800 --> 00:51:04.140]   by those values, we'll get one.
[00:51:04.140 --> 00:51:08.920]   We'll get the same value out as in,
[00:51:08.920 --> 00:51:11.000]   and so those are our solutions.
[00:51:11.000 --> 00:51:12.920]   And we can actually calculate those,
[00:51:12.920 --> 00:51:17.480]   and the code there at the bottom now shows
[00:51:17.480 --> 00:51:22.480]   the, how you would calculate the positions
[00:51:22.480 --> 00:51:26.520]   of all of those, of all of those solutions,
[00:51:26.520 --> 00:51:31.160]   x and one over x for positive values of x
[00:51:31.160 --> 00:51:33.160]   and for negative values of x.
[00:51:33.160 --> 00:51:39.920]   And now we can actually visualize that solution set.
[00:51:39.920 --> 00:51:42.760]   So we can see that what's happening
[00:51:42.760 --> 00:51:46.520]   is that gradient set is taking us towards that solution
[00:51:46.520 --> 00:51:49.640]   and not towards that, the value in the center
[00:51:49.640 --> 00:51:54.640]   where both of the parameters are zero.
[00:51:54.640 --> 00:51:57.320]   So we can see that they're landing at different points
[00:51:57.320 --> 00:51:58.200]   on that solution set.
[00:51:58.200 --> 00:52:00.560]   And interestingly, they're landing on both the values
[00:52:00.560 --> 00:52:02.840]   that are positive and the values that are negative,
[00:52:02.840 --> 00:52:06.040]   depending on where they were initialized to.
[00:52:06.040 --> 00:52:08.120]   So the interesting thing about that solution set
[00:52:08.120 --> 00:52:10.960]   is basically one corresponds to flipping the value
[00:52:10.960 --> 00:52:13.480]   and then flipping it back to multiply by one.
[00:52:13.480 --> 00:52:15.400]   And one corresponds to just, you know,
[00:52:15.400 --> 00:52:17.960]   multiplying it by two positive numbers,
[00:52:17.960 --> 00:52:19.560]   not flipping the sign.
[00:52:19.560 --> 00:52:21.080]   And so what's interesting about that,
[00:52:21.080 --> 00:52:23.040]   there's a couple of interesting sort of,
[00:52:23.040 --> 00:52:25.920]   I don't know, takeaways I see.
[00:52:25.920 --> 00:52:28.680]   One is that the only one of those solutions
[00:52:28.680 --> 00:52:30.600]   is one that a human would have thought of.
[00:52:30.600 --> 00:52:33.160]   I wouldn't think, I've been given two numbers
[00:52:33.160 --> 00:52:35.120]   to multiply by to get one.
[00:52:35.120 --> 00:52:37.200]   I wouldn't think of using,
[00:52:37.200 --> 00:52:40.520]   I wouldn't think of using two negative numbers to do that.
[00:52:40.520 --> 00:52:42.120]   That wouldn't have immediately jumped out at me.
[00:52:42.120 --> 00:52:43.880]   But neural networks can find solutions
[00:52:43.880 --> 00:52:46.120]   that are very unintuitive to humans.
[00:52:46.120 --> 00:52:52.800]   And the other side of that is also that
[00:52:52.800 --> 00:52:57.440]   neural networks don't tend to find the simplest solution
[00:52:57.440 --> 00:53:00.040]   that maybe humans would immediately jump for,
[00:53:00.040 --> 00:53:02.640]   which is to make both of those values equal to one,
[00:53:02.640 --> 00:53:05.760]   to make, you know, theta one and theta two
[00:53:05.760 --> 00:53:06.600]   both equal to one.
[00:53:06.600 --> 00:53:08.760]   So you're just multiplying by one the entire time.
[00:53:08.760 --> 00:53:10.560]   That's not something,
[00:53:10.560 --> 00:53:13.200]   there's no obvious reason for neural networks to do things
[00:53:13.200 --> 00:53:14.520]   the simple way.
[00:53:14.520 --> 00:53:16.840]   And so if they can avoid doing things the simple way,
[00:53:16.840 --> 00:53:17.680]   they'll do it.
[00:53:17.680 --> 00:53:19.720]   So I think that's another nice lesson
[00:53:19.720 --> 00:53:23.400]   about the way neural networks and machine learning work
[00:53:23.400 --> 00:53:26.440]   that you can take from this simple example.
[00:53:26.440 --> 00:53:28.880]   The other kind of fun thing about this
[00:53:28.880 --> 00:53:31.640]   is if you look at those, they've got this nice shape.
[00:53:31.640 --> 00:53:34.200]   They've got this nice hyperboloid shape,
[00:53:34.200 --> 00:53:37.160]   those solution values in green in that chart.
[00:53:37.160 --> 00:53:41.880]   And that is, you know, it's not a coincidence.
[00:53:41.880 --> 00:53:43.640]   I can take any solution.
[00:53:43.640 --> 00:53:48.240]   I can get another solution by multiplying one weight
[00:53:48.240 --> 00:53:52.400]   by a value A and the other weight by a value one over A.
[00:53:52.400 --> 00:53:55.440]   So that allows me to move along that curve there
[00:53:55.440 --> 00:53:58.800]   or to switch sides if I use a negative sign.
[00:53:58.800 --> 00:54:01.680]   And so I can, there's a very clear algebraic
[00:54:01.680 --> 00:54:06.520]   and geometric structure to this set of solutions.
[00:54:06.520 --> 00:54:08.720]   And that's something that generalizes
[00:54:08.720 --> 00:54:10.680]   to more realistic settings as well.
[00:54:10.680 --> 00:54:12.560]   So for rectified linear networks,
[00:54:12.560 --> 00:54:13.840]   if you make them big enough,
[00:54:13.840 --> 00:54:16.000]   they actually have that same algebraic structure.
[00:54:16.000 --> 00:54:17.920]   It's called a lead group.
[00:54:17.920 --> 00:54:21.680]   And it's in fact a lead group based off of the linear group.
[00:54:21.680 --> 00:54:23.800]   And so, you know, so long as your network
[00:54:23.800 --> 00:54:27.520]   is really, really big and uses rectified linear units,
[00:54:27.520 --> 00:54:28.800]   then it will have something like that.
[00:54:28.800 --> 00:54:30.400]   You can do the same thing where you switch
[00:54:30.400 --> 00:54:34.160]   between the possible solutions in that fashion.
[00:54:34.160 --> 00:54:35.920]   The other thing is that those were two,
[00:54:35.920 --> 00:54:37.600]   essentially two separate basins.
[00:54:37.600 --> 00:54:40.560]   So what I mean by basin is if you look at those two sets
[00:54:40.560 --> 00:54:43.480]   of solutions, they're separated by a hump in the middle.
[00:54:43.480 --> 00:54:44.760]   The hump isn't that high,
[00:54:44.760 --> 00:54:47.160]   especially relative to the really high values of the loss,
[00:54:47.160 --> 00:54:48.760]   but there is this nice hump there
[00:54:48.760 --> 00:54:51.400]   that would be hard to get over with gradient descent.
[00:54:51.400 --> 00:54:56.440]   And so solutions in different basins can indeed
[00:54:56.440 --> 00:55:00.480]   have very different representations and sort of performance
[00:55:00.480 --> 00:55:03.040]   even when they're separated by only a small barrier.
[00:55:03.040 --> 00:55:04.600]   So this is something that people have found
[00:55:04.600 --> 00:55:07.120]   by looking very closely at ensembles
[00:55:07.120 --> 00:55:10.400]   or at least smartly ensemble neural networks.
[00:55:10.400 --> 00:55:13.760]   And then also I used a sort of high dimensional version
[00:55:13.760 --> 00:55:15.920]   of this same problem to improve techniques
[00:55:15.920 --> 00:55:18.480]   for finding zero gradient points of neural networks.
[00:55:18.480 --> 00:55:20.920]   So finding all the places where the gradient is zero,
[00:55:20.920 --> 00:55:23.840]   they're called critical points of the loss.
[00:55:23.840 --> 00:55:25.200]   And it's something that's really useful
[00:55:25.200 --> 00:55:27.000]   for understanding optimization.
[00:55:27.000 --> 00:55:29.800]   I used this multiplying by one example
[00:55:29.800 --> 00:55:32.760]   and it's higher dimensional analogs to understand
[00:55:32.760 --> 00:55:35.200]   the problem of finding critical points better
[00:55:35.200 --> 00:55:37.480]   and to develop better solutions.
[00:55:37.480 --> 00:55:41.160]   So in general, the takeaway here to remind
[00:55:41.160 --> 00:55:43.640]   is that you can use simple problems like this one
[00:55:43.640 --> 00:55:45.400]   to build your understanding
[00:55:45.400 --> 00:55:48.760]   of how a complicated thing works.
