
[00:00:00.000 --> 00:00:01.440]   Take Tiablo Canyon.
[00:36:02.700 --> 00:36:05.500]   - And so anyway, and there's a fourth country
[00:36:05.500 --> 00:36:06.420]   we should talk about.
[00:36:06.420 --> 00:36:08.100]   So you already mentioned China.
[00:36:08.100 --> 00:36:09.220]   - Yeah.
[00:36:09.220 --> 00:36:12.980]   - One of the amazing, well, let me dive deep on China
[00:36:12.980 --> 00:36:14.460]   and then I'll mention the fourth country.
[00:36:14.460 --> 00:36:18.780]   So this is publicly available data so people can go get it.
[00:36:18.780 --> 00:36:22.500]   We recently brought on two new plants in the U.S.,
[00:36:22.500 --> 00:36:25.140]   Vogel 3 and 4 in Georgia.
[00:36:25.140 --> 00:36:28.340]   And the total cost of that was about 30 billion
[00:36:28.340 --> 00:36:29.940]   for 2.2 gigawatts.
[00:36:29.940 --> 00:36:33.940]   It turns out over $13 billion per gigawatt.
[00:36:33.940 --> 00:36:37.180]   The plants in China that are the equivalent
[00:36:37.180 --> 00:36:39.300]   level three fission plants right now
[00:36:39.300 --> 00:36:43.340]   are coming on board at 2.5 billion per gigawatt.
[00:36:43.340 --> 00:36:44.180]   - Right.
[00:36:44.180 --> 00:36:46.020]   - So 13 to 2.5.
[00:36:46.020 --> 00:36:47.060]   - Right, right.
[00:36:47.060 --> 00:36:49.300]   - And that's a shocking delta.
[00:36:49.300 --> 00:36:50.140]   - Yes.
[00:36:50.140 --> 00:36:54.540]   - And one of, I would say the single most surprising thing
[00:36:54.540 --> 00:36:57.420]   to me of all the discussions I've had in the past two weeks
[00:36:57.420 --> 00:36:59.380]   with everyone that's in this industry
[00:36:59.380 --> 00:37:02.180]   is how few people are shocked by that.
[00:37:02.180 --> 00:37:04.300]   - Right, well, let's talk about that a little bit.
[00:37:04.300 --> 00:37:06.940]   When you look at the cost differential,
[00:37:06.940 --> 00:37:10.060]   which I think is one of the biggest problems today
[00:37:10.060 --> 00:37:13.420]   with U.S. nuclear, and I wanna decompose
[00:37:13.420 --> 00:37:15.860]   as to why you think there's such a delta,
[00:37:15.860 --> 00:37:17.660]   but let's just talk about what it is.
[00:37:18.860 --> 00:37:21.500]   Vogel had a bunch of stuff as they were going through COVID,
[00:37:21.500 --> 00:37:23.660]   so let's say that that is more expensive
[00:37:23.660 --> 00:37:26.140]   than what a run rate AP-1000.
[00:37:26.140 --> 00:37:29.780]   This is the type of gen three nuclear reactor
[00:37:29.780 --> 00:37:32.180]   that they're building in South Korea, in China,
[00:37:32.180 --> 00:37:34.060]   and at Vogel, right?
[00:37:34.060 --> 00:37:36.060]   - Since you mentioned Korea, that's the fourth country,
[00:37:36.060 --> 00:37:38.500]   so let me just real quickly go there.
[00:37:38.500 --> 00:37:41.740]   So Korea, so a lot of people look at the China data
[00:37:41.740 --> 00:37:43.300]   and they go, "Oh, that's China."
[00:37:43.300 --> 00:37:45.620]   You know, authoritarian government,
[00:37:45.620 --> 00:37:49.380]   and they're able to dismiss it because it's different.
[00:37:49.380 --> 00:37:54.380]   South Korea is a democracy, a friend of the United States.
[00:37:54.380 --> 00:37:58.180]   They're at the same delivered price point as China,
[00:37:58.180 --> 00:38:00.220]   and they're doing it at scale,
[00:38:00.220 --> 00:38:04.260]   and they're starting to export their technology.
[00:38:04.260 --> 00:38:07.540]   So in some ways, just because I think it's easier
[00:38:07.540 --> 00:38:12.540]   for Americans to wrap their head around it as a data point,
[00:38:12.940 --> 00:38:15.620]   the South Korea data is more interesting than the China.
[00:38:15.620 --> 00:38:17.220]   - Right, so let's talk about it.
[00:38:17.220 --> 00:38:18.940]   Let's break this down a little bit,
[00:38:18.940 --> 00:38:23.940]   because both the South Koreans and the Chinese, right,
[00:38:23.940 --> 00:38:28.100]   are building on technology that they procured
[00:38:28.100 --> 00:38:31.220]   from the United States, from Westinghouse,
[00:38:31.220 --> 00:38:34.940]   under tech transfer licenses over the course of the past,
[00:38:34.940 --> 00:38:37.260]   you know, 20 or 30 years, okay?
[00:38:37.260 --> 00:38:39.740]   Now they're building a lot of indigenous technologies
[00:38:39.740 --> 00:38:42.500]   on the back of that technology,
[00:38:42.500 --> 00:38:46.140]   and yet building the exact same technology,
[00:38:46.140 --> 00:38:48.740]   even though it was invented here,
[00:38:48.740 --> 00:38:51.740]   it costs us, give or take, four times as much
[00:38:51.740 --> 00:38:54.980]   as what they're spending to build in South Korea or China.
[00:38:54.980 --> 00:38:59.020]   So give us your best guess.
[00:38:59.020 --> 00:39:02.380]   What are the big buckets that are costing, you know,
[00:39:02.380 --> 00:39:04.980]   this cost differential in the United States,
[00:39:04.980 --> 00:39:07.620]   and whether or not there's anything that we can do about it?
[00:39:07.620 --> 00:39:09.700]   - And I wanna come back to later.
[00:39:09.700 --> 00:39:10.580]   I'll answer your question,
[00:39:10.580 --> 00:39:14.660]   but I wanna come back to the built on our technology thing,
[00:39:14.660 --> 00:39:16.380]   'cause I think there's some important things
[00:39:16.380 --> 00:39:17.500]   to talk about there.
[00:39:17.500 --> 00:39:20.860]   So I went out and talked to a whole bunch of people,
[00:39:20.860 --> 00:39:23.380]   and I was able to talk to one individual
[00:39:23.380 --> 00:39:25.780]   who had worked both in the regulatory part
[00:39:25.780 --> 00:39:30.060]   of our government and at a producer
[00:39:30.060 --> 00:39:33.220]   who I think had a really good lens on all this,
[00:39:33.220 --> 00:39:35.380]   and I'm gonna leave him anonymous,
[00:39:35.380 --> 00:39:38.660]   but he brought up four things.
[00:39:38.660 --> 00:39:41.300]   So the first was regulatory.
[00:39:41.300 --> 00:39:43.620]   So the separate federal and state
[00:39:43.620 --> 00:39:45.980]   environmental permitting processes in the U.S.
[00:39:45.980 --> 00:39:48.660]   is onerous, lengthy, probably 10 years
[00:39:48.660 --> 00:39:52.580]   for a nuclear power plant, expensive.
[00:39:52.580 --> 00:39:53.780]   Most people don't know this.
[00:39:53.780 --> 00:39:55.180]   They have no reason to know this,
[00:39:55.180 --> 00:39:58.500]   but the NRC is a fee-based regulatory.
[00:39:58.500 --> 00:40:00.420]   So you literally pay per hour
[00:40:00.420 --> 00:40:02.580]   to have 'em come regulate you.
[00:40:02.580 --> 00:40:06.180]   And so those costs are extremely high.
[00:40:06.180 --> 00:40:07.660]   The second thing is litigation.
[00:40:07.660 --> 00:40:09.860]   So multiple special interest groups,
[00:40:09.860 --> 00:40:11.460]   particularly environmental groups,
[00:40:11.460 --> 00:40:14.540]   will sue to stop any development whatsoever.
[00:40:14.540 --> 00:40:16.900]   So there's no chance of a deployment
[00:40:16.900 --> 00:40:20.860]   or an attempted deployment without fending off
[00:40:20.860 --> 00:40:24.980]   inbound litigation that you have to deal with in the U.S.
[00:40:24.980 --> 00:40:31.540]   The third is passage of time without us doing anything.
[00:40:31.540 --> 00:40:34.780]   And so everyone talks about learning curves.
[00:40:34.780 --> 00:40:36.860]   We're so far off the learning curve
[00:40:36.860 --> 00:40:40.340]   'cause these two new plants were the first in 30 years.
[00:40:40.340 --> 00:40:42.860]   So there's no repeatable process,
[00:40:42.860 --> 00:40:46.580]   which you now have in China and there.
[00:40:46.580 --> 00:40:50.260]   And then that's all before you look at other things.
[00:40:50.260 --> 00:40:53.300]   I would say labor, cost of steel, cement,
[00:40:53.300 --> 00:40:55.980]   those things can be higher here than there.
[00:40:55.980 --> 00:40:59.860]   And so it's a whole big litany of stuff added up
[00:40:59.860 --> 00:41:02.380]   and none of those factors apply in China.
[00:41:02.380 --> 00:41:03.220]   - Right, right.
[00:41:03.220 --> 00:41:04.980]   If we could boil that down,
[00:41:04.980 --> 00:41:08.900]   the way I kind of got my head around it is,
[00:41:08.900 --> 00:41:11.780]   one, if you just look at the length of time.
[00:41:11.780 --> 00:41:14.340]   So now they're building these AP 1000s
[00:41:14.340 --> 00:41:17.380]   in South Korea and in China in about seven to eight years.
[00:41:17.380 --> 00:41:19.380]   And in the United States- - Six, I think six even.
[00:41:19.380 --> 00:41:20.780]   - Maybe as fast as six.
[00:41:20.780 --> 00:41:23.300]   In the United States, it's not 10.
[00:41:23.300 --> 00:41:25.740]   It's more like 12 to 15, okay?
[00:41:25.740 --> 00:41:28.180]   So it's taking us twice as long
[00:41:28.180 --> 00:41:30.300]   to bring one of these plants online.
[00:41:30.300 --> 00:41:31.860]   Time equals money.
[00:41:31.860 --> 00:41:33.780]   - And you and I talked about this,
[00:41:33.780 --> 00:41:38.780]   but a modern, large, multi-gigawatt vision facility
[00:41:38.780 --> 00:41:43.100]   is a large piece of infrastructure.
[00:41:43.100 --> 00:41:43.940]   - Exactly.
[00:41:43.940 --> 00:41:47.220]   - It's not like you're building even a rocket engine.
[00:41:47.220 --> 00:41:48.140]   It's more than that.
[00:41:48.140 --> 00:41:48.980]   It's this big facility.
[00:41:48.980 --> 00:41:50.700]   - You look at the South Koreans or the Chinese
[00:41:50.700 --> 00:41:55.020]   building a highway, an airport, a hospital, a school.
[00:41:55.020 --> 00:41:56.500]   - A subway station. - A subway station.
[00:41:56.500 --> 00:41:57.860]   - Have you seen these videos?
[00:41:57.860 --> 00:42:00.460]   Go on, if you haven't, go on YouTube
[00:42:00.460 --> 00:42:02.860]   and look at China's new subway station.
[00:42:02.860 --> 00:42:03.700]   Unbelievable.
[00:42:03.700 --> 00:42:08.700]   And so the US, the first thing is just
[00:42:08.700 --> 00:42:11.900]   our regulatory environment causes it
[00:42:11.900 --> 00:42:15.380]   to take a much longer period of time, and time is money.
[00:42:15.380 --> 00:42:18.780]   Secondly then, we don't have a scale up
[00:42:18.780 --> 00:42:21.900]   or scale out operation going on, right?
[00:42:21.900 --> 00:42:24.820]   Two facilities over the course of the last 20 years
[00:42:24.820 --> 00:42:26.940]   compared to six to eight of these
[00:42:26.940 --> 00:42:29.700]   in a repeatable process coming online in China.
[00:42:29.700 --> 00:42:31.220]   That means supply chain.
[00:42:31.220 --> 00:42:32.940]   That means talent chain.
[00:42:32.940 --> 00:42:36.020]   That means that regulators are constantly talking
[00:42:36.020 --> 00:42:37.340]   with the operators.
[00:42:37.340 --> 00:42:40.180]   You just have the type of system
[00:42:40.180 --> 00:42:41.780]   that you need to drive down costs.
[00:42:41.780 --> 00:42:44.460]   And in fact, if you look at these gen three
[00:42:44.460 --> 00:42:46.700]   and gen four reactors coming online,
[00:42:46.700 --> 00:42:47.980]   even in the United States,
[00:42:47.980 --> 00:42:51.260]   they always cost more in that first plant.
[00:42:51.260 --> 00:42:53.860]   But by plant five, it was cut in half.
[00:42:53.860 --> 00:42:56.860]   By plant 10, it was cut by 70%, right?
[00:42:56.860 --> 00:43:00.140]   So cost comes down as you ramp up scale production.
[00:43:00.140 --> 00:43:03.300]   Think about the Roadster was a lot more expensive
[00:43:03.300 --> 00:43:05.260]   for Tesla to build, right?
[00:43:05.260 --> 00:43:06.940]   Than the model three,
[00:43:06.940 --> 00:43:09.260]   once you are producing a million of these cars.
[00:43:09.260 --> 00:43:11.700]   So we need to get to a place
[00:43:11.700 --> 00:43:13.380]   where we also have scale production.
[00:43:13.380 --> 00:43:16.220]   And then the third, what everybody tends to focus on
[00:43:16.220 --> 00:43:18.500]   is kind of this labor differential.
[00:43:18.500 --> 00:43:20.380]   I would put that in the third bucket,
[00:43:20.380 --> 00:43:22.900]   but it's like a third, a third, a third, and this adds up.
[00:43:22.900 --> 00:43:26.460]   It seems to me the first two, right?
[00:43:26.460 --> 00:43:28.540]   We can tackle, right?
[00:43:28.540 --> 00:43:31.300]   You can consolidate the regulatory environment
[00:43:31.300 --> 00:43:33.460]   in the United States so that you reduce the time
[00:43:33.460 --> 00:43:35.420]   to bring one of these things online.
[00:43:35.420 --> 00:43:38.660]   And I also think that if you clustered some of these,
[00:43:38.660 --> 00:43:41.980]   if we wanted to get back to building more of these reactors,
[00:43:41.980 --> 00:43:43.220]   there's no reason to think
[00:43:43.220 --> 00:43:46.180]   that if we had a scaled cluster of reactors,
[00:43:46.180 --> 00:43:48.420]   five to 10 reactors that you wanted to bring on
[00:43:48.420 --> 00:43:50.020]   over a 10 year period of time,
[00:43:50.020 --> 00:43:52.460]   that you wouldn't drive down the overall cost of the reactor.
[00:43:52.460 --> 00:43:53.300]   - Perhaps.
[00:43:53.300 --> 00:43:57.340]   There's not a lot of proof points of us building
[00:43:58.300 --> 00:44:00.700]   either at a federal or state level,
[00:44:00.700 --> 00:44:04.980]   big projects at very low cost in modern history.
[00:44:04.980 --> 00:44:08.060]   There were some, there's famous things.
[00:44:08.060 --> 00:44:09.300]   - But if you think about infrastructure,
[00:44:09.300 --> 00:44:11.260]   most of it is one-off, right?
[00:44:11.260 --> 00:44:13.300]   You build a bridge somewhere,
[00:44:13.300 --> 00:44:15.340]   then you build a bridge in a different city.
[00:44:15.340 --> 00:44:17.980]   And it seems like the other issue is
[00:44:17.980 --> 00:44:20.820]   the South Koreans are not only building them for themselves,
[00:44:20.820 --> 00:44:23.100]   they're building them for export, right?
[00:44:23.100 --> 00:44:26.860]   And again, that just gets back to this scale mentality
[00:44:26.860 --> 00:44:28.340]   of building these plants.
[00:44:28.340 --> 00:44:32.140]   But to be clear, the idea that we're gonna bring the cost
[00:44:32.140 --> 00:44:35.500]   of building one of these things down by 70%,
[00:44:35.500 --> 00:44:38.900]   which is kind of the target needed to make this competitive
[00:44:38.900 --> 00:44:41.420]   in the open market with gas and everything else,
[00:44:41.420 --> 00:44:43.340]   I think is very, it's hard to see.
[00:44:43.340 --> 00:44:44.420]   - And this is a good point.
[00:44:44.420 --> 00:44:47.820]   The landed price points in Korea and China
[00:44:47.820 --> 00:44:50.940]   are very similar to the landed price points
[00:44:50.940 --> 00:44:55.660]   of other renewables and things, just on a CapEx bill.
[00:44:55.660 --> 00:44:59.140]   But ours isn't because ours is three or four X,
[00:44:59.140 --> 00:45:01.660]   the global best.
[00:45:01.660 --> 00:45:04.740]   I wanna talk, I'm gonna go back to the South Korea thing
[00:45:04.740 --> 00:45:06.820]   because you brought up the IP issue.
[00:45:06.820 --> 00:45:11.500]   I'm not convinced that it's helping us any
[00:45:11.500 --> 00:45:14.780]   to sit around and cry about whether China
[00:45:14.780 --> 00:45:16.860]   or South Korea used our IP.
[00:45:16.860 --> 00:45:19.020]   And if anything, I think,
[00:45:19.020 --> 00:45:21.180]   and I've mentioned this on the pod before,
[00:45:21.180 --> 00:45:26.020]   I think this anti-Chinese mentality is a little nuts
[00:45:26.020 --> 00:45:28.660]   because if you look at low-cost EVs,
[00:45:28.660 --> 00:45:30.380]   if you look at their subway stations,
[00:45:30.380 --> 00:45:34.980]   if you look at, they're leading us in many areas.
[00:45:34.980 --> 00:45:38.260]   And we have this holier-than-thou, you know,
[00:45:38.260 --> 00:45:43.060]   attitude that America's the best and that we're the leader
[00:45:43.060 --> 00:45:44.540]   and we're being passed.
[00:45:44.540 --> 00:45:47.980]   Like, I would say landed cost of energy
[00:45:47.980 --> 00:45:50.860]   is the data point you should measure most.
[00:45:50.860 --> 00:45:52.980]   And if they're four X where we are,
[00:45:52.980 --> 00:45:55.940]   I would say we should have the alarm bells ring
[00:45:55.940 --> 00:45:57.820]   going, what the hell is going on?
[00:45:57.820 --> 00:45:59.460]   Why are we so far behind?
[00:45:59.460 --> 00:46:01.860]   And I think it's a little bit of a crutch to lean on
[00:46:01.860 --> 00:46:04.220]   and say, oh, they built it on our technology.
[00:46:04.220 --> 00:46:08.140]   One of the things I learned about the Korea situation,
[00:46:08.140 --> 00:46:10.180]   so they're trying to export it.
[00:46:10.180 --> 00:46:12.780]   Westinghouse, who was the company
[00:46:12.780 --> 00:46:16.620]   that originally designed Level 3 fission in the US
[00:46:16.620 --> 00:46:18.820]   is suing to try and prevent them
[00:46:18.820 --> 00:46:21.340]   from delivering to Czechoslovakia.
[00:46:21.340 --> 00:46:24.300]   And, you know, we talked to Maureen
[00:46:24.300 --> 00:46:29.100]   about how the different nuclear plant operators all share
[00:46:29.100 --> 00:46:32.020]   and that we're kind of all in this together, right?
[00:46:32.020 --> 00:46:34.820]   And if climate change is a global problem
[00:46:34.820 --> 00:46:36.460]   and we all want it solved,
[00:46:36.460 --> 00:46:39.340]   like, we should want everyone to win.
[00:46:39.340 --> 00:46:42.660]   Like, we shouldn't be jealous that China's doing that.
[00:46:42.660 --> 00:46:46.820]   And so for me, you know, I ask all the AI bots,
[00:46:46.820 --> 00:46:48.460]   you know, do you think there's any chance
[00:46:48.460 --> 00:46:51.740]   we would license something from South Korea?
[00:46:51.740 --> 00:46:54.220]   They all said, no, there's no chance we would do that.
[00:46:54.220 --> 00:46:55.860]   And that's the kind of a middle blocker,
[00:46:55.860 --> 00:46:58.180]   like Trump derangement syndrome or something.
[00:46:58.180 --> 00:47:01.980]   Like, if Korea could help us deliver a planet,
[00:47:01.980 --> 00:47:05.820]   2.5 billion per gigawatt, why wouldn't we want that?
[00:47:05.820 --> 00:47:06.740]   And so I just-
[00:47:06.740 --> 00:47:08.780]   - I mean, we invited TSMC into Arizona
[00:47:08.780 --> 00:47:09.860]   to help us build chips.
[00:47:09.860 --> 00:47:11.860]   - I know, but if you have this attitude,
[00:47:11.860 --> 00:47:12.860]   they took it from us,
[00:47:12.860 --> 00:47:15.060]   then you don't get into that right mindset.
[00:47:15.060 --> 00:47:17.780]   So I just think that's an important kind of thing
[00:47:17.780 --> 00:47:18.620]   to think about.
[00:47:18.620 --> 00:47:21.620]   We would all be better off if nuclear energy were cheaper
[00:47:21.620 --> 00:47:22.860]   for everyone on the planet.
[00:47:22.860 --> 00:47:23.700]   - Right.
[00:47:23.700 --> 00:47:28.700]   - And a lot of the political disagreements that lead to war,
[00:47:28.700 --> 00:47:32.180]   a lot of people believe are tied to energy costs
[00:47:32.180 --> 00:47:33.420]   and energy availability.
[00:47:33.420 --> 00:47:35.940]   So you might reduce that as well.
[00:47:35.940 --> 00:47:40.620]   - I think one of the reasons we're so focused on China
[00:47:40.620 --> 00:47:46.020]   is what started this conversation for you and I
[00:47:46.020 --> 00:47:50.580]   was when you model out the need for data center capacity
[00:47:50.580 --> 00:47:53.100]   over the course of the next five to 10 years,
[00:47:53.100 --> 00:47:57.100]   you realize for the first time in really two decades,
[00:47:57.100 --> 00:48:01.620]   the US's need to grow its baseload power generation
[00:48:01.620 --> 00:48:04.100]   is going to go up significantly,
[00:48:04.100 --> 00:48:06.060]   significantly faster than it has
[00:48:06.060 --> 00:48:07.500]   over the course of the last two decades.
[00:48:07.500 --> 00:48:11.060]   - And this has become a standard topic of discussion
[00:48:11.060 --> 00:48:11.940]   in Wall Street.
[00:48:11.940 --> 00:48:13.140]   Everyone's talking about this.
[00:48:13.140 --> 00:48:17.660]   - Energy, reliable, always on energy, right?
[00:48:17.660 --> 00:48:21.100]   In fact, most data centers wanna build right next
[00:48:21.100 --> 00:48:23.020]   to the source of energy.
[00:48:23.020 --> 00:48:23.940]   - Right.
[00:48:23.940 --> 00:48:25.820]   - That is the primitive to AI.
[00:48:25.820 --> 00:48:30.500]   And we do believe that AI supremacy
[00:48:30.500 --> 00:48:32.660]   really goes to national security.
[00:48:32.660 --> 00:48:36.780]   So the reason I believe that we're seeing finally
[00:48:36.780 --> 00:48:40.500]   some bipartisan movement in Washington
[00:48:40.500 --> 00:48:42.980]   and around the country, frankly, on this issue,
[00:48:42.980 --> 00:48:45.740]   is people realize how inextricably
[00:48:45.740 --> 00:48:47.380]   these things are tied together.
[00:48:47.380 --> 00:48:49.780]   So the reason I'm worried about China
[00:48:49.780 --> 00:48:50.980]   taking the lead in nuclear
[00:48:50.980 --> 00:48:54.380]   is not just that they have more nuclear power plants
[00:48:54.380 --> 00:48:55.220]   in the United States,
[00:48:55.220 --> 00:48:58.540]   but what it enables them to do down the line
[00:48:58.540 --> 00:49:00.260]   around AI and everything else.
[00:49:00.260 --> 00:49:03.340]   Because if you are the low cost power provider
[00:49:03.340 --> 00:49:05.140]   in the world, right?
[00:49:05.140 --> 00:49:07.500]   Then you're going to be able to build bigger data centers
[00:49:07.500 --> 00:49:09.980]   that power bigger AI clusters, et cetera.
[00:49:09.980 --> 00:49:12.900]   And I'm not certain that that leads to better AI,
[00:49:12.900 --> 00:49:14.580]   but there's a reasonable enough chance
[00:49:14.580 --> 00:49:18.260]   that you don't wanna give them that unilateral option.
[00:49:18.260 --> 00:49:22.500]   - I think even if you don't take that lens,
[00:49:22.500 --> 00:49:26.300]   you say to yourself, if we can't fix this problem,
[00:49:26.300 --> 00:49:28.260]   but other countries can,
[00:49:28.260 --> 00:49:32.300]   you may be through being imported by South Korea,
[00:49:32.300 --> 00:49:35.300]   then it becomes a competitive weapon for those countries.
[00:49:35.300 --> 00:49:39.980]   And just as you might put a manufacturing plant
[00:49:39.980 --> 00:49:43.900]   in Mexico or Vietnam or Czechoslovakia,
[00:49:43.900 --> 00:49:45.700]   there's no reason why a data center
[00:49:45.700 --> 00:49:47.260]   can't live there as well.
[00:49:47.260 --> 00:49:51.940]   And quite frankly, it's easier to drop a fiber optic cable
[00:49:51.940 --> 00:49:56.940]   from Mexico to America than it is to move goods by truck.
[00:49:56.940 --> 00:49:58.820]   - So should we be trying to build,
[00:49:58.820 --> 00:50:02.820]   cooperate with the Mexican government
[00:50:02.820 --> 00:50:05.860]   and build AP 1000s just over the border in Mexico?
[00:50:05.860 --> 00:50:07.660]   - I think we should be open-minded
[00:50:07.660 --> 00:50:11.620]   to the fact that the world needs this technology
[00:50:11.620 --> 00:50:15.100]   and that if they get it, it's good too.
[00:50:15.100 --> 00:50:17.660]   If Czechoslovakia gets it, it's good too.
[00:50:17.660 --> 00:50:19.540]   This was my main point about like,
[00:50:19.540 --> 00:50:22.020]   I just don't think having an attitude that,
[00:50:22.020 --> 00:50:25.780]   oh, that's ours or I don't even don't love the,
[00:50:25.780 --> 00:50:27.260]   it's a race and they're winning.
[00:50:27.260 --> 00:50:30.460]   I think everyone should be winning in this area.
[00:50:30.460 --> 00:50:34.300]   Like once again, if you care about global climate change,
[00:50:34.300 --> 00:50:36.300]   like it's a global problem, everyone should.
[00:50:36.300 --> 00:50:38.540]   I mean, it wasn't that long ago
[00:50:38.540 --> 00:50:41.860]   that with this same kind of anti-China attitude,
[00:50:41.860 --> 00:50:43.300]   we sat here and said,
[00:50:43.300 --> 00:50:45.660]   oh, we're gonna clean up our pollution,
[00:50:45.660 --> 00:50:48.260]   but look at those guys and we're pointing our finger.
[00:50:48.260 --> 00:50:50.700]   Now we wake up and they're landed costs
[00:50:50.700 --> 00:50:53.020]   of nuclear energy is one fourth of ours.
[00:50:53.020 --> 00:50:54.900]   And like, who are we pointing a finger at?
[00:50:54.900 --> 00:50:55.980]   Like, you know.
[00:50:55.980 --> 00:51:00.580]   - Yeah, I think there is, I was reading,
[00:51:00.580 --> 00:51:02.100]   I think I got the name correct.
[00:51:02.100 --> 00:51:05.060]   Professor Brunjerno from MIT is the director
[00:51:05.060 --> 00:51:08.220]   for the Center of Advanced Nuclear Energy Systems.
[00:51:08.220 --> 00:51:10.580]   You know, he said, China's now the de facto world leader
[00:51:10.580 --> 00:51:12.860]   in nuclear technology, right?
[00:51:12.860 --> 00:51:15.020]   And it's not because they're smarter, they're better,
[00:51:15.020 --> 00:51:19.020]   but it's simply because they made it a national priority,
[00:51:19.020 --> 00:51:22.100]   right, that they were going to build these plants.
[00:51:22.100 --> 00:51:26.060]   And when you do that, you innovate, right?
[00:51:26.060 --> 00:51:28.980]   And when I look at the moratorium that has largely existed
[00:51:28.980 --> 00:51:31.260]   in the United States over the last two decades,
[00:51:31.260 --> 00:51:35.020]   you tell me, if you had the Elon Musk of the United States
[00:51:35.020 --> 00:51:37.540]   working on fission over the course
[00:51:37.540 --> 00:51:39.500]   of the last two decades, right,
[00:51:39.500 --> 00:51:41.940]   we would be light years ahead of where we are
[00:51:41.940 --> 00:51:44.220]   from an innovation perspective.
[00:51:44.220 --> 00:51:48.060]   And maybe that's a decent segue to talk about, you know,
[00:51:48.060 --> 00:51:51.820]   what some of these gen four advanced nuclear reactors
[00:51:51.820 --> 00:51:53.780]   look like, because you and I, again,
[00:51:53.780 --> 00:51:55.980]   are talking about generation three
[00:51:55.980 --> 00:51:58.420]   or generation three plus reactors.
[00:51:58.420 --> 00:52:01.540]   The AP-1000 is kind of the standard reactor
[00:52:01.540 --> 00:52:05.380]   that's, you know, that's being built today.
[00:52:05.380 --> 00:52:07.540]   But whether you're talking about TerraPower,
[00:52:07.540 --> 00:52:10.740]   these alternative sources of cooling that are being built,
[00:52:10.740 --> 00:52:13.860]   I think we have five or six or seven of these
[00:52:13.860 --> 00:52:18.100]   that are authorized under kind of the developmental,
[00:52:18.100 --> 00:52:19.860]   you know, regime in the United States
[00:52:19.860 --> 00:52:21.740]   that are hoping to come online over the course
[00:52:21.740 --> 00:52:24.020]   of the next five to seven years.
[00:52:24.020 --> 00:52:25.780]   For the first time in four decades,
[00:52:25.780 --> 00:52:28.780]   an American company broke ground on a next-generation
[00:52:28.780 --> 00:52:31.300]   nuclear power plant in the US.
[00:52:31.300 --> 00:52:34.540]   The company behind the new technology is TerraPower,
[00:52:34.540 --> 00:52:37.540]   and it's backed by billionaire Bill Gates.
[00:52:37.540 --> 00:52:39.500]   Nuclear power is carbon-free,
[00:52:39.500 --> 00:52:42.220]   which means it doesn't emit the greenhouse gases
[00:52:42.220 --> 00:52:44.380]   scientists link to climate change.
[00:52:44.380 --> 00:52:46.620]   And Gates is building a plant in Wyoming
[00:52:46.620 --> 00:52:50.660]   at a cost he estimates will be $10 billion.
[00:52:50.660 --> 00:52:53.740]   TerraPower's new reactor uses liquid sodium
[00:52:53.740 --> 00:52:55.140]   rather than water for cooling,
[00:52:55.140 --> 00:52:57.900]   which the company says makes nuclear power
[00:52:57.900 --> 00:53:00.540]   cheaper, safer, and more efficient.
[00:53:00.540 --> 00:53:02.940]   If we all agree that the 94 reactors
[00:53:02.940 --> 00:53:05.980]   that we have currently online, we should keep online.
[00:53:05.980 --> 00:53:09.420]   The question I have, Bill, is should we be looking
[00:53:09.420 --> 00:53:13.620]   to build more of the Gen 3 fission reactors,
[00:53:13.620 --> 00:53:15.900]   or should we leapfrog and be, you know,
[00:53:15.900 --> 00:53:17.180]   there seems to be a lot of energy,
[00:53:17.180 --> 00:53:19.380]   at least in Silicon Valley and, you know,
[00:53:19.380 --> 00:53:23.340]   in Washington, Bill Gates, behind these Gen 4 reactors,
[00:53:23.340 --> 00:53:24.620]   where would you spend your time and energy?
[00:53:24.620 --> 00:53:27.740]   - Yeah, so, I mean, my first reaction would be
[00:53:27.740 --> 00:53:30.780]   it shouldn't be an either/or, like we should be doing both.
[00:53:30.780 --> 00:53:33.260]   And I think that's what's happening, so that's fine.
[00:53:33.260 --> 00:53:37.660]   I would also say if, one of the big issues
[00:53:37.660 --> 00:53:40.340]   for both level three and four,
[00:53:40.340 --> 00:53:43.340]   what we could call the futures technologies,
[00:53:43.340 --> 00:53:47.580]   is utilities having the gumption
[00:53:47.580 --> 00:53:51.140]   to put the CapEx and invest.
[00:53:51.140 --> 00:53:53.660]   If you start, and I heard this from multiple people
[00:53:53.660 --> 00:53:58.660]   that I talked to, utilities are inherently conservative.
[00:53:58.660 --> 00:53:59.700]   - Yes.
[00:53:59.700 --> 00:54:02.140]   - Like Wall Street investors think of them
[00:54:02.140 --> 00:54:06.820]   as these stable things you buy that don't move around a lot,
[00:54:06.820 --> 00:54:07.660]   but just have a stick.
[00:54:07.660 --> 00:54:09.700]   - I think the CEO of PG&E recently said,
[00:54:09.700 --> 00:54:12.620]   who owns Diablo, recently said on a podcast
[00:54:12.620 --> 00:54:15.340]   they have no interest in investing in SMRs.
[00:54:15.340 --> 00:54:17.740]   They said, "We're gonna let risk capital invest
[00:54:17.740 --> 00:54:21.180]   "in small nuclear reactors, and if they work, right,
[00:54:21.180 --> 00:54:22.060]   "then we'll consider it,
