
[00:00:00.000 --> 00:00:08.060]   They end up chanting in front of him, Viva la muerte. Long live death. They have their
[01:28:30.020 --> 01:28:38.820]   Um, but yes, it's, it's a densely populated area and it's an incredibly difficult place for the train of
[01:28:38.820 --> 01:28:45.380]   war because of one thing in particular, which is that Hamas goes back a bit to our conversation earlier, but this
[01:28:45.380 --> 01:28:52.260]   is a much more extreme example. I mean, Hamas really don't play by the rules. In fact, they, they use the rules of
[01:28:52.260 --> 01:28:58.980]   war, the laws of war completely to their own advantage. You know, it has to be reiterated.
[01:28:58.980 --> 01:29:10.340]   You are not meant to, uh, disguise your army as civilians. You're not meant to use places of, uh,
[01:29:10.340 --> 01:29:18.020]   care like hospitals as bases for your military operations. You're not meant to use schools
[01:29:18.900 --> 01:29:27.060]   and places of worship as operating centers of war. And Hamas does all of these things
[01:29:27.060 --> 01:29:36.020]   and has always done so. And it does so with the very obvious reason that for them, the whole thing is a
[01:29:36.020 --> 01:29:44.900]   two for one offer. You, you, you get to operate everywhere. And if the Israelis operate anywhere, you claim that
[01:29:46.020 --> 01:29:53.620]   this is a war crime because how could they attack this group of civilians, these people who are dressed
[01:29:53.620 --> 01:30:02.420]   as civilians, these people merely fighting from a mosque and so on. And that's why, that's why
[01:30:02.420 --> 01:30:07.620]   everybody who's been to Gaza, who's seen the fighting knows the same thing, which is, this is just
[01:30:08.420 --> 01:30:17.140]   incredibly difficult, difficult warfare of a kind that, that American troops have seen in the last 20
[01:30:17.140 --> 01:30:26.180]   years in Fallujah and elsewhere, uh, Kurdish, uh, militia, the Peshmerga saw when they were fighting as our
[01:30:26.180 --> 01:30:32.740]   frontline troops in the war against ISIS, similar house to house, but by no means with the same entrenched,
[01:30:33.620 --> 01:30:40.340]   uh, uh, uh, bases. Uh, you know, again, it can't be stressed enough that Hamas has used the years
[01:30:40.340 --> 01:30:49.380]   since he's ready withdrawal from 2005 to build this vast underground tunnel network. And again, it's obvious,
[01:30:49.380 --> 01:30:55.700]   but it has to be remembered when is, and I quote one of the Hamas leaders in the book saying this
[01:30:55.700 --> 01:31:01.460]   in an interview, when they build their tunnels, they do so in order that their tunnels are used
[01:31:01.460 --> 01:31:09.700]   by them Hamas to store their weaponry, to secure their fighters and to hold hostages.
[01:31:09.700 --> 01:31:16.900]   They do not build their underground tunnel networks for the safety of Gaza and civilians, avoiding aerial
[01:31:16.900 --> 01:31:27.380]   bombardment. And, you know, the, uh, every difference in the world seems to me to exist between a country
[01:31:27.380 --> 01:31:36.740]   which does build, uh, bomb shelters for its citizens and, um, a government which builds bomb shelters for its bombs.
[01:31:36.740 --> 01:31:45.380]   Can you discuss the flow of money here? So how does Hamas, how does Hamas the leadership
[01:31:45.380 --> 01:31:50.740]   use the money? So you started to talk about the tunnels, but how much corruption is there? Can you
[01:31:50.740 --> 01:31:56.340]   just lay it all out? Uh, because I think that's an, that's an important part of the picture here.
[01:31:56.340 --> 01:32:05.700]   It's totally corrupt. Every Hamas leader who's, uh, now dead died a billionaire.
[01:32:05.700 --> 01:32:17.060]   With a B. With a B. To say that they used Gaza's resources or the, the, the resources that came into
[01:32:17.060 --> 01:32:24.180]   Gaza for their own ends is to just vastly understate matters. Um,
[01:32:24.180 --> 01:32:33.700]   Hamas used everything that came in to build the infrastructure of terror that allowed them to do
[01:32:33.700 --> 01:32:44.580]   the seventh and everything since. Um, they militarized the whole of the Gaza. They, um, by the estimations
[01:32:44.580 --> 01:32:52.340]   of troops I've been with there, they, every second to third house had weaponry stashed there, bombs,
[01:32:52.340 --> 01:33:03.300]   RPGs, Krasnikov's rockets, tunnel entrances, uh, the network that they just embedded
[01:33:03.300 --> 01:33:11.060]   all these years was, was total. They, they, they, you know, one of the many, many tragedies of this
[01:33:11.060 --> 01:33:18.420]   is that whatever you're reading of the rights and wrongs of the Israeli withdrawal in 2005,
[01:33:20.420 --> 01:33:28.020]   it was an opportunity for the Gaza to become something else. It could have become a thriving
[01:33:28.020 --> 01:33:33.540]   statelet. It could have been a thriving Palestinian state. It's just that Hamas,
[01:33:34.900 --> 01:33:42.500]   the PLO before them decided that they wanted to destroy Israel more than they wanted to create
[01:33:42.500 --> 01:33:49.540]   a Palestinian state. And that is to the great, great detriment of the Palestinians of Gaza,
[01:33:49.540 --> 01:33:50.820]   to put it at its mildest.
[01:33:50.820 --> 01:33:57.220]   So just to outline here, leadership of Hamas are stealing the money to get sent by Qatar, by everybody.
[01:33:58.260 --> 01:34:02.660]   So they're putting in their pocket and then the American taxpayer and by the European taxpayer as
[01:34:02.660 --> 01:34:06.820]   well. Yeah. Yeah. Well, yeah, but I mean, it's not just about the stealing of money. It's,
[01:34:06.820 --> 01:34:12.500]   it's about using the money and the infrastructure to annihilate your neighbor. I mean, that's those,
[01:34:12.500 --> 01:34:17.540]   those two things, but the corruption is, uh, a signal from an economic perspective,
[01:34:17.540 --> 01:34:26.740]   but it's also a signal of deep moral corruption because they're screwing over the Palestinian people.
[01:34:26.740 --> 01:34:31.700]   Yeah. It's a cynicism, certainly. Yeah. Okay. And then with the money they do spend
[01:34:31.700 --> 01:34:37.140]   on the Palestinian cause, they're not doing that to, uh, build up
[01:34:37.140 --> 01:34:46.020]   Gaza. They're doing it to, uh, strengthen the militaristic capabilities of the terrorist organization
[01:34:46.020 --> 01:34:55.620]   of Hamas. You have, maybe you can correct me on this, um, have said that
[01:34:55.620 --> 01:35:03.140]   the people of Gaza have some significant responsibility for the actions of Hamas.
[01:35:03.140 --> 01:35:07.220]   Yes. Because they've elected them. They elected them. The what ifs are endless, but
[01:35:07.220 --> 01:35:15.700]   very unwise of the George W. Bush administration to push for elections in Gaza, um, after 05. But
[01:35:16.740 --> 01:35:26.100]   Hamas were elected and they then 2007 killed the other Palestinian faction that was their main
[01:35:26.100 --> 01:35:32.180]   challenger, Fatah, uh, killed them, threw them off rooftops, dragged their bodies behind motorbikes
[01:35:32.180 --> 01:35:39.620]   through the Gaza. And from that point, they had total control. And you know, this is difficult because
[01:35:40.500 --> 01:35:46.900]   you, you, you can get into the realm of being accused of advocating or in any way, justifying
[01:35:46.900 --> 01:35:53.060]   collective punishment. Uh, if you talk about this, but it should be born in mind that,
[01:35:53.060 --> 01:36:07.060]   you know, Hamas had effectively 18 years to run the Gaza. And that's, that's the time that it takes from
[01:36:07.060 --> 01:36:14.900]   the birth of a child to the end of their formal education. And in 18 years, they could have presided
[01:36:14.900 --> 01:36:26.340]   over and produced a generation of young Gazans who were productive, productive for their people,
[01:36:26.340 --> 01:36:31.620]   for their society, for their neighbors, for the rest of the world. And they didn't,
[01:36:32.820 --> 01:36:41.860]   they spent 18 years indoctrinating the children of Gaza into a death cult and into a genocidal hatred,
[01:36:41.860 --> 01:36:53.220]   which obviously is, was most dangerous to the Israelis, but it was obviously disastrous
[01:36:53.780 --> 01:37:01.380]   for the people of Gaza. And, you know, there is, um, there's just, if you speak to soldiers who were
[01:37:01.380 --> 01:37:11.620]   there in 2014, when Hamas started a war again, um, one of a set of rounds of war since 2005. If you speak
[01:37:11.620 --> 01:37:17.060]   to the soldiers who were there in 2014, going house to house, and who were also involved in the war since
[01:37:17.060 --> 01:37:24.820]   2003, they all say the same thing, which is the marked radicalization of the Gazan population.
[01:37:24.820 --> 01:37:32.500]   The marked increase in just, I mean, the most, I mean, it's so banal in a way to even cite, you know,
[01:37:32.500 --> 01:37:39.780]   like the numbers of copies of Mein Kampf in Arabic in an average Gazan household, the protocols of the
[01:37:39.780 --> 01:37:45.460]   learned elders of Zion. There are so many what ifs and other paths that Hamas could have taken,
[01:37:45.460 --> 01:37:51.620]   but that was the one they took. They decided to take the path of using their time and power
[01:37:51.620 --> 01:37:58.980]   to build up their infrastructure, radicalize the population, and encourage them to believe that they
[01:37:58.980 --> 01:38:05.220]   could destroy the state of Israel. And then on October the 7th, they gave it their best shot.
[01:38:06.260 --> 01:38:13.380]   And by the way, there is no organized collective punishment of the citizens of Gaza. Collective
[01:38:13.380 --> 01:38:19.860]   punishment would just be dropping bombs with no purpose across civilian areas, carpet bombing,
[01:38:19.860 --> 01:38:24.580]   this sort of thing. This is simply not what the IAF and the IDF have done since the 7th.
[01:38:24.580 --> 01:38:34.100]   They have been fighting a house-to-house war against this terrorist group. They do do aerial strikes.
[01:38:34.740 --> 01:38:43.460]   Gaza is very, very badly beaten up as the buildings, I mean, the infrastructure that existed.
[01:38:43.460 --> 01:38:56.260]   There aren't many buildings standing. But this is not the result of just wild and imprecise bombing by
[01:38:56.260 --> 01:39:05.140]   the Israelis. It's been extremely concerted. It's extremely difficult. But when people say,
[01:39:05.140 --> 01:39:08.580]   well, this must be collective punishment, I think that the people who say that,
[01:39:08.580 --> 01:39:13.540]   simultaneously, that's not true. And also,
[01:39:15.540 --> 01:39:24.660]   you know, there is not a hostage who's come out, who Donald Trump made this, President Trump made this
[01:39:24.660 --> 01:39:32.980]   point recently. There is not a hostage who's come out who I've spoken with, who found any Ghazan,
[01:39:32.980 --> 01:39:43.300]   Palestinian, who expressed even the slightest human kindness to them. If you, if you look at the footage
[01:39:43.300 --> 01:39:49.380]   from the 7th that Hamas recorded themselves of them taking young Jewish women into Gaza and so on,
[01:39:49.380 --> 01:39:59.540]   you will notice that the trucks and the motorbikes and so on are not stopped by horrified Ghazan
[01:39:59.540 --> 01:40:05.540]   the civilians and so on. And the civilians saying, why have you got this Israeli girl whose tendons you've
[01:40:05.540 --> 01:40:13.940]   cut and why are you bringing her here? It's all celebration. It's all celebration. And it's the same
[01:40:13.940 --> 01:40:20.420]   with those couple of cases of hostages who managed to escape from the civilian houses they were being held
[01:40:20.420 --> 01:40:24.340]   in who were immediately returned by the citizens they met.
[01:40:24.340 --> 01:40:32.580]   Yeah, the celebration, I do wonder what percent of the population they represent, but there's something
[01:40:32.580 --> 01:40:39.380]   really dark. There's several ways to explain the celebration. It could be that there's a deep
[01:40:39.380 --> 01:40:45.620]   indoctrination where you do legitimately hate Jews. And there also could be a place of just
[01:40:46.340 --> 01:40:53.940]   deep desperation. And it's a kind of relief that you have to convince yourself that you're
[01:40:53.940 --> 01:40:57.460]   on the side of fighting for freedom
[01:40:57.460 --> 01:41:05.060]   in order to justify to yourself that this is the right way to fight out of desperation
[01:41:05.060 --> 01:41:11.620]   out of extremely harsh conditions. Because the way we're kind of speaking about this with the celebration,
[01:41:11.620 --> 01:41:21.940]   it's very easy to project a kind of evil on the populace that I just am very hesitant to project,
[01:41:21.940 --> 01:41:23.300]   especially on the general populace.
[01:41:23.300 --> 01:41:27.060]   You don't have to project it onto them. You can just listen to their own words.
[01:41:27.060 --> 01:41:34.900]   I'm sure you've heard one of many audio recordings you hear from the morning, but I'm sure you've heard
[01:41:34.900 --> 01:41:41.220]   the audio recording of the young man who ends up in one of the communities in the south of Israel and
[01:41:41.220 --> 01:41:45.220]   calls back home. Have you heard that?
[01:41:45.220 --> 01:41:54.660]   I quoted it in the first chapter of the book. He calls back home and he says to his father who picks
[01:41:54.660 --> 01:41:59.460]   up. It's on WhatsApp. I think he's on the phone. He's saying, "Turn onto WhatsApp because I can show
[01:41:59.460 --> 01:42:06.660]   you." He says, "I've killed 10 Jews with my own hands. O father, your son has killed 10 Jews." And his
[01:42:06.660 --> 01:42:11.620]   father is saying, "Where are you? Where are you?" He goes, "I want to show you, Dad. I want to show you. I've killed
[01:42:11.620 --> 01:42:18.180]   Jews with my own hands. Your son." Put mother on the phone. Mother comes on the phone. The brother
[01:42:18.180 --> 01:42:36.020]   comes on the phone. This is one of many, many stories from the day that suggest something which I would say
[01:42:36.020 --> 01:42:42.420]   is not just indoctrination, but yes, evil. First of all, those phone calls are somehow
[01:42:42.420 --> 01:42:51.220]   uniquely horrific. But I've also heard recordings of phone calls made by Ukrainian soldiers to their
[01:42:51.220 --> 01:42:58.580]   parents and Russian soldiers to their parents. And they have not as intense and not as horrific,
[01:42:58.580 --> 01:43:06.100]   but they have a similar nature to them. There's an aspect of war where you
[01:43:06.100 --> 01:43:17.060]   dehumanize the other side in order to fight that war. So we have to remember that that element is
[01:43:17.060 --> 01:43:20.100]   going to be there in a time of war, in a time of desperation.
[01:43:20.100 --> 01:43:32.020]   It would be a strange type of simple sort of, I don't know, pride in war to go into an 80-year-old
[01:43:32.020 --> 01:43:44.580]   woman's house and kill her on her floor and then film her dead body and her body in its final
[01:43:44.580 --> 01:43:50.260]   moments and send it round to all of that woman's friends on her phone on her Instagram account.
[01:43:50.260 --> 01:44:00.660]   You may have heard different things from me, but I mean, I would be surprised if there were
[01:44:00.660 --> 01:44:08.260]   even the most vociferous of Russian soldiers phoning back home to Moscow and saying, "Mom, you won't believe
[01:44:08.260 --> 01:44:17.540]   my luck. I managed to rape and kill this 80-year-old woman." That's quite unusual, even in warfare.
[01:44:17.540 --> 01:44:27.780]   And that's one of the things about Hamas and what I describe as the death cult types,
[01:44:27.780 --> 01:44:30.660]   which makes them different from other people.
[01:44:30.660 --> 01:44:38.420]   But that's the channeling of evil and hatred and anger in the human spirit, but that doesn't make
[01:44:38.420 --> 01:44:39.620]   that person evil.
[01:44:39.620 --> 01:44:40.900]   No, I disagree.
[01:44:40.900 --> 01:44:43.060]   You commit that once.
[01:44:43.060 --> 01:44:49.380]   I think that there is such a force as evil in the world, and I think it can descend and it can be used.
[01:44:49.380 --> 01:44:56.660]   And it's very hard to find a non-theological way to talk about this. But of everything I've seen,
[01:44:58.260 --> 01:45:06.020]   there are actions that people like Hamas committed on the 7th that cannot be described as anything other
[01:45:06.020 --> 01:45:14.420]   than evil. The things that happened at the Nova party were especially appalling. I mean, it was all
[01:45:14.420 --> 01:45:19.700]   appalling, but it was especially appalling because, first of all, it's the sort of party which people
[01:45:19.700 --> 01:45:25.300]   like you and I, or at least you and I when we were younger, might have been at. And so everyone knows
[01:45:26.900 --> 01:45:34.260]   the world of a dance party in all night, you know, rave in the desert to commune with nature and the
[01:45:34.260 --> 01:45:41.700]   universe and to take some psychedelics and to, you know, expand your consciousness and your love and
[01:45:41.700 --> 01:45:52.020]   all of that sort of thing. The fact that people doing that at 6:30 in the morning then encountered
[01:45:52.660 --> 01:46:02.420]   people coming in to the party on trucks and military vehicles and just massacring them and raping them.
[01:46:02.420 --> 01:46:07.380]   And I mean, I give examples of the first-hand accounts of people who survived, but I mean, it's
[01:46:08.660 --> 01:46:18.740]   beyond belief of almost anything else I've covered in war. And it's because it seems so...
[01:46:18.740 --> 01:46:30.180]   I mean, an army facing another army is one thing. A terrorist group in civilian clothing
[01:46:30.180 --> 01:46:49.380]   facing a group of young people at a dance, unarmed, and doing what they did is pretty hard to comprehend
[01:46:49.380 --> 01:47:00.580]   unless you use the lexicon of evil somewhere. So that stated, can you empathize with the suffering of
[01:47:00.580 --> 01:47:05.780]   Palestinians in Gaza with the destruction that resulted as a response?
[01:47:05.780 --> 01:47:14.740]   Yes. What has happened in response is terrible, terrible for the citizens of Gaza. I was there
[01:47:14.740 --> 01:47:25.620]   on the first time a couple of days early and into the ground invasion when the citizens of Gaza were
[01:47:25.620 --> 01:47:32.660]   coming south. I was in the middle of the strip and the humanitarian corridor had been set up to try to
[01:47:32.660 --> 01:47:39.780]   stop the hostages being taken south, deeper into Gaza, and to try to stop Hamaz's leadership from
[01:47:39.780 --> 01:47:46.900]   making it south. It actually didn't really work because they'd already got a lot of the hostages south.
[01:47:46.900 --> 01:47:54.260]   It was an attempt to keep Hamaz there and fight them in the north so as not to be dragged all the way in,
[01:47:54.260 --> 01:48:01.220]   in the end, dragged all the way in anyway. But yes, I mean, watching the citizens of Gaza moving
[01:48:01.220 --> 01:48:08.100]   through the humanitarian corridor and everyone was being checked for bombs, suicide vests,
[01:48:08.100 --> 01:48:11.380]   checked for particularly young men of military age.
[01:48:11.380 --> 01:48:21.460]   I mean, you look at this tide of human misery and you think this is terrible, but this is a terrible
[01:48:21.460 --> 01:48:26.660]   thing that had been brought upon them by the people who had been misgoverning the place
[01:48:27.300 --> 01:48:36.100]   that they lived in. And of course, on a human level, you feel terrible that these people are going
[01:48:36.100 --> 01:48:47.220]   through this. At the same time, human empathy for them can coexist beside an unspeakable anger
[01:48:48.820 --> 01:48:55.940]   that they had come to this point because of the fact that they had elected a terror group to run
[01:48:55.940 --> 01:49:01.300]   their territory. And one of the things obviously is that, you know, a lot of people like to say,
[01:49:01.300 --> 01:49:07.380]   and it's true of course, that, you know, this didn't all start on October the 7th. Absolutely true.
[01:49:08.260 --> 01:49:13.620]   And this particular round, this particularly intense round of war started on October the 7th,
[01:49:13.620 --> 01:49:20.820]   without doubt. Hamas did not have to attack on October the 7th. It wasn't like they were forced to
[01:49:20.820 --> 01:49:25.460]   liberate themselves or something, as some of the defenders of Hamas claim.
[01:49:28.180 --> 01:49:35.700]   But the conflict of course goes back a lot earlier, but you will have to always keep on contending with
[01:49:35.700 --> 01:49:44.500]   this fact that there is one central issue to the paradigm of that conflict, what used to be called
[01:49:44.500 --> 01:49:50.900]   the Arab-Israeli conflict, and now has become interestingly rebranded the Israeli-Palestinian
[01:49:50.900 --> 01:49:57.140]   conflict. But there is one absolutely essential issue to this, which cannot be forgotten, which is
[01:49:57.140 --> 01:50:06.420]   is, do the Palestinians want a state, or do they want to destroy the Jewish state?
[01:50:06.420 --> 01:50:14.660]   And if they want to destroy the Jewish state, as they've tried many times, it's a disaster for them.
[01:50:14.660 --> 01:50:22.100]   It's a total disaster for them. If they want to create their own state, they've already had several
[01:50:22.100 --> 01:50:31.220]   very good shots at it, one of which is Gaza post 2005. But they've never shown in their leadership
[01:50:31.220 --> 01:50:39.860]   the desire to live with a Jewish state. And that's a catastrophe for the Palestinians.
[01:50:39.860 --> 01:50:46.820]   Can you still imagine the case of the lived experience of Palestinians and pro-Palestinian voices that
[01:50:46.820 --> 01:50:55.460]   describe the Gaza situation as an occupation? The West Bank too, and in the case of Gaza, open-air prison?
[01:50:55.460 --> 01:51:02.660]   The, to take them in order, there's nothing about Gaza that was an open-air prison.
[01:51:02.660 --> 01:51:09.620]   They had ability to trade, they had the ability to move in and out in increasing numbers.
[01:51:10.580 --> 01:51:17.780]   Egypt wasn't so keen on allowing Palestinians from Gaza into Egypt, still isn't. But at the time of the
[01:51:17.780 --> 01:51:22.260]   7th, there was actually an interesting, one of the things the international community was pushing for
[01:51:22.260 --> 01:51:28.020]   was for more Palestinians to be coming into Israel every day through the Eretz crossing and others to
[01:51:28.020 --> 01:51:32.100]   work in Israel, because they can make a better living in Israel than they can in Gaza.
[01:51:33.540 --> 01:51:41.220]   And this, the, as it were, normalization route was slowly being attempted, it was being pushed on
[01:51:41.220 --> 01:51:46.100]   Israel by the international community a little bit too fast for Israel's comfort, but it happened.
[01:51:46.100 --> 01:51:54.420]   That completely came to an end, and that dream is done, gone, since the 7th of October.
[01:51:54.420 --> 01:51:56.340]   Can you clarify the dream, the normalization?
[01:51:56.340 --> 01:51:57.460]   The normalization dream.
[01:51:57.460 --> 01:51:58.820]   Between Gaza and Israel.
[01:51:58.820 --> 01:51:59.460]   Israel.
[01:51:59.460 --> 01:51:59.460]   Gone.
[01:51:59.460 --> 01:52:05.540]   There will be, yeah, no normalization. No, not after that. And one of the reasons is
[01:52:05.540 --> 01:52:12.420]   the number of people, again, who I've spoken with who employed Palestinians, worked with Palestinians,
[01:52:12.420 --> 01:52:18.180]   worked alongside Palestinians, encouraged more Palestinians to be coming from Gaza in order to
[01:52:18.180 --> 01:52:21.300]   work in Israel, and these were their brothers and sisters and so on and so forth.
[01:52:21.300 --> 01:52:26.340]   One of the reasons why the massacres of the 7th were so successful in the Kibbutz Sim,
[01:52:26.340 --> 01:52:32.980]   the communities in the South, was because of the number of the terrorists who came in with detailed
[01:52:32.980 --> 01:52:44.260]   house-to-house maps of those communities. I spoke with one man who, his community, they had a security
[01:52:44.260 --> 01:52:51.060]   officer, chief, and Hamas came in. They knew to go and kill him and his family first, and then which
[01:52:51.060 --> 01:53:00.740]   families. I've seen the maps myself. They came in with incredibly accurate information about these
[01:53:00.740 --> 01:53:06.260]   communities. How did they have them? Because it was given to them by the brothers, by the workers,
[01:53:06.260 --> 01:53:12.740]   by the people of Gaza who were coming in and out. So there is nobody that will trust that ever again.
[01:53:12.740 --> 01:53:17.220]   There's a lot of Palestinians that have lived and flourished inside Israel.
[01:53:17.220 --> 01:53:26.580]   What are they saying? What are they feeling? And what are the Israelis feeling about them? Is there still
[01:53:26.580 --> 01:53:31.220]   camaraderie to some degree, or is it completely destroyed?
[01:53:31.220 --> 01:53:41.380]   My observation at the beginning was that everyone was extremely wary. I mean, if you've worked beside
[01:53:41.380 --> 01:53:48.420]   somebody and then found out they sold out your family, you will never trust again. And that,
[01:53:48.420 --> 01:53:52.580]   particularly in a small country like Israel, the word of that happening goes out very fast.
[01:53:53.860 --> 01:54:00.100]   The very beginning there was intense, intense fear about that, including of the, you know,
[01:54:00.100 --> 01:54:09.060]   20% or so of the population who are Arab Israelis. I actually think one of the few sort of positive
[01:54:09.060 --> 01:54:19.060]   news stories of the period is that that population within Israel has, by and large, held. There hasn't
[01:54:19.060 --> 01:54:29.140]   been an intifada. One of the reasons why there hasn't been more activity, terrorist activity in
[01:54:29.140 --> 01:54:33.780]   the West Bank in Judea and Samaria is because the Israelis have been very careful, along with the
[01:54:33.780 --> 01:54:40.980]   Palestinian Authority, to some extent cooperating to keep that down. But, you know, there wasn't a war on,
[01:54:40.980 --> 01:54:44.980]   a full war on three fronts, for instance, which was at risk of happening.
[01:54:47.460 --> 01:54:53.140]   So I think that the sort of coexistence within Israel has pretty much held. There are some
[01:54:53.140 --> 01:55:02.820]   terrible examples, far too regular, but not as regular as it could happen, of Muslim Arab Israelis
[01:55:02.820 --> 01:55:09.300]   carrying out acts of terror in, as it were, sympathy with Hamas. I was in the middle of one such attack
[01:55:09.300 --> 01:55:19.060]   myself, uh, uh, late last year, um, and, uh, in a town called Hedera. And those things have happened,
[01:55:19.060 --> 01:55:24.820]   but they, it's, it's not, that, that particular catastrophe has not occurred.
[01:55:24.820 --> 01:55:31.940]   Can we talk about, uh, Benjamin Netanyahu? For a lot of people who spoke of evil,
[01:55:31.940 --> 01:55:38.260]   they refer to him as evil. On the spectrum between good and evil, as a leader, where does Netanyahu fall?
[01:55:38.260 --> 01:55:45.620]   Well, he's certainly not evil. Uh, interesting if people, uh, looking at this conflict were to be
[01:55:45.620 --> 01:55:50.820]   reluctant to use the word evil of Hamas and eager to use it of the Israeli prime minister,
[01:55:50.820 --> 01:55:55.300]   it would be sort of, uh, telling, I would say. Can we just actually linger on that point?
[01:55:55.300 --> 01:56:02.500]   There is a point you've made, uh, multiple times, which is we're more eager to, to criticize and maybe
[01:56:02.500 --> 01:56:08.820]   even, uh, over-exaggerate the criticism of democratically elected leaders.
[01:56:08.820 --> 01:56:09.860]   Yes.
[01:56:09.860 --> 01:56:18.020]   It's a dark, weird, other quality of, uh, discourse at parties, aforementioned parties.
[01:56:18.020 --> 01:56:22.580]   Well, isn't it also, I mean, not to be flippant for a moment, it's a little bit like,
[01:56:23.940 --> 01:56:29.140]   who do you show your worst sides to? The people you love.
[01:56:29.140 --> 01:56:38.740]   You, it's like, you know, my intense irritability is something that tends to be felt most by people
[01:56:38.740 --> 01:56:44.900]   who are closest to me because I, um, um, if I express it to absolutely everybody I met at the
[01:56:44.900 --> 01:56:50.180]   party or a social setting, it would be, it'd be hard. I mean, there's a tendency to lean heavily on
[01:56:50.180 --> 01:56:59.220]   the people who are closest to you, the people who will put up with it. Um, and something similar
[01:56:59.220 --> 01:57:06.740]   happens in international politics. You, you pressure the people who will listen. I mean, it's, it's one
[01:57:06.740 --> 01:57:12.100]   of the, I mean, one of the things you hear a lot in the last years, you know, people sort of ignoramuses
[01:57:12.100 --> 01:57:18.260]   in the governments in places like Britain, you know, will say we need to put more pressure on the
[01:57:18.260 --> 01:57:28.420]   Israelis to do X. And you go, well, you know, in part, that's because they will listen. If you go,
[01:57:28.420 --> 01:57:34.420]   we need to put more pressure on the Ayatollahs in Iran to, to persuade them that Hamas are really bad
[01:57:34.420 --> 01:57:38.580]   and they shouldn't be doing this. Right. What the hell do you think they're going to do? They're
[01:57:38.580 --> 01:57:43.780]   going to listen to you. They're going to give a damn. You're talking totally different worlds,
[01:57:43.780 --> 01:57:47.460]   not just a different language, it's a different world. And by the way, that happens in Israel.
[01:57:47.460 --> 01:57:53.220]   I mentioned it earlier, but it happens in Israel. When the hostage families forum
[01:57:53.220 --> 01:57:57.700]   came about, uh, I spent a lot of time there, a lot, got to know a lot of the families and, um,
[01:57:57.700 --> 01:58:02.100]   they're remarkable. But one of the things you did notice from them as well was that
[01:58:02.980 --> 01:58:10.660]   a lot of them, oh, they protest outside Netanyahu's house. They use klaxon horns and make sure he doesn't
[01:58:10.660 --> 01:58:16.820]   can never sleep. They, uh, will, you know, put up great big posters by his house of him with bloodied
[01:58:16.820 --> 01:58:25.620]   hands and, and so on. And I have, you know, I think as much sympathy as you can for these families,
[01:58:26.740 --> 01:58:35.220]   the plight of knowing that your child is sitting in a tunnel in Gaza for a year, a day, an hour is
[01:58:35.220 --> 01:58:46.820]   intolerable, but there's a reason why the families protested Netanyahu. And that's because Sinhua didn't
[01:58:46.820 --> 01:58:57.460]   care. That wouldn't work. If you said, are you, you know, understand my plight? I'm a Jewish mother
[01:58:57.460 --> 01:59:05.700]   and my daughter is thing. You think Sinhua and the heads of Hamas care? You think the leaders in Qatar
[01:59:05.700 --> 01:59:15.780]   who host them care? The Qatari Amir's mother, when Sinhua was killed, praised Sinhua. You couldn't talk
[01:59:15.780 --> 01:59:20.420]   that language to these people, but you can talk that language to the elected prime minister of Israel
[01:59:20.420 --> 01:59:27.860]   because that, first of all, he's somebody who might listen to your pressure, could be pressured.
[01:59:27.860 --> 01:59:32.980]   And secondly, it's simply the only person you can pressure. There's no one else. Hamas doesn't care.
[01:59:32.980 --> 01:59:36.660]   Hezbollah doesn't care. The Iranian revolutionary government doesn't care.
[01:59:36.660 --> 01:59:43.860]   Yeah. So let's just sort of say once again, the, uh, the obvious thing that, uh, what, while it is
[01:59:43.860 --> 01:59:53.220]   possible to discuss, uh, Hamas, uh, soldiers as freedom fighters, I'm not one of the folks that
[01:59:53.220 --> 01:59:57.620]   can take that perspective. It's a tough one to take. I don't see how you can call them freedom fighters.
[01:59:57.620 --> 02:00:02.980]   So this goes to the man from the land of peace and the man from the land of war.
[02:00:02.980 --> 02:00:09.220]   There is a lived experience of what it means to grow up in Gaza. And if you fully load that into your brain
[02:00:10.180 --> 02:00:17.700]   in a, uh, in a real way, not in, not using the words of good and evil, but in a, in a very deep human sense,
[02:00:17.700 --> 02:00:24.180]   from that place, from that place of desperation, from your home and your family's destroyed,
[02:00:24.180 --> 02:00:30.820]   doesn't matter why, doesn't matter if there's evil all around you that caused it, doesn't matter. The, the facts are the facts.
[02:00:30.820 --> 02:00:39.540]   And from that place, somebody who's fighting for you can feel like a freedom fighter.
[02:00:39.540 --> 02:00:45.380]   I think it should be called out that, yes, it can feel that way from the lived experience.
[02:00:45.380 --> 02:00:52.660]   But Hamas is very clearly, since we're talking about Netanyahu, Hamas is evil.
[02:00:53.780 --> 02:01:02.100]   Okay. Now you can still, in that context, discuss the degree to which Netanyahu is the right leader for
[02:01:02.100 --> 02:01:11.140]   this moment. And whether he goes too far, whether he's too politically selfish in the decisions he makes,
[02:01:11.140 --> 02:01:19.700]   whether he's too much a warmonger, whether he's utilizing the war, uh, for his own political gains,
[02:01:20.260 --> 02:01:28.980]   and is, uh, not caring about the death of civilians in Gaza, for example, but more caring about his own
[02:01:28.980 --> 02:01:35.700]   political, uh, maintaining power. That's a perspective that I could steal, man. And that's a perspective
[02:01:35.700 --> 02:01:40.980]   worth discussing. And that's the perspective many in Israel hold when they criticize Netanyahu. He's
