
[00:00:00.000 --> 00:00:02.120]   of Intermediate Biblical Counseling.
[00:44:38.100 --> 00:44:40.620]   And as a bridegroom rejoices over the bride,
[00:44:40.620 --> 00:44:45.020]   so shall your God rejoice over you.
[00:44:45.020 --> 00:44:46.100]   Just think about that.
[00:44:46.100 --> 00:44:47.460]   Every time you go to a wedding,
[00:44:47.460 --> 00:44:52.460]   you see the groom's face light up with excitement
[00:44:52.460 --> 00:44:55.780]   as his bride walks down the aisle.
[00:44:55.780 --> 00:44:58.140]   So the Lord says, that is the description
[00:44:58.140 --> 00:45:02.780]   of my joy over my people.
[00:45:02.780 --> 00:45:06.460]   Just amazing description of the emotions
[00:45:06.460 --> 00:45:08.820]   of the Lord, Zephaniah three verse 17.
[00:45:08.820 --> 00:45:10.820]   The Lord your God is in your midst,
[00:45:10.820 --> 00:45:13.420]   a mighty one who will save.
[00:45:13.420 --> 00:45:17.460]   He will rejoice over you with gladness.
[00:45:17.460 --> 00:45:19.500]   He will quiet you by his love.
[00:45:19.500 --> 00:45:22.720]   He will exalt over you with loud singing.
[00:45:22.720 --> 00:45:26.620]   The Lord is challenging me in his word,
[00:45:26.620 --> 00:45:30.940]   and I believe he would challenge all of us as well,
[00:45:30.940 --> 00:45:32.880]   because I think my default understanding
[00:45:32.880 --> 00:45:36.900]   of my relationship with the Lord is sort of that,
[00:45:36.900 --> 00:45:41.900]   because of Jesus, he kind of barely tolerates me.
[00:45:41.900 --> 00:45:46.700]   He won't cast me out, but when I come to him,
[00:45:46.700 --> 00:45:50.540]   he says, okay, you can have a relationship with me,
[00:45:50.540 --> 00:45:54.620]   but a sort of like a displeased father
[00:45:54.620 --> 00:45:58.540]   who allows his son into the home,
[00:45:58.540 --> 00:46:00.820]   but does not have the warm embrace
[00:46:00.820 --> 00:46:03.660]   that's being described in these texts.
[00:46:03.660 --> 00:46:05.060]   And the Lord has been challenging me
[00:46:05.060 --> 00:46:09.800]   that that is not how he relates to his people,
[00:46:09.800 --> 00:46:16.140]   that he is filled with compassion and mercy,
[00:46:16.140 --> 00:46:20.620]   and he rejoices over his people.
[00:46:20.620 --> 00:46:22.460]   And that's the Old Testament description
[00:46:22.460 --> 00:46:25.360]   of the emotions of the Lord.
[00:46:25.360 --> 00:46:26.680]   You get to the gospel records,
[00:46:26.680 --> 00:46:29.980]   you see the full emotional life of Christ.
[00:46:29.980 --> 00:46:32.620]   We don't have time to fully develop this,
[00:46:32.620 --> 00:46:36.420]   but perfect humanity, perfect deity joined in one person,
[00:46:36.420 --> 00:46:37.860]   the Lord Jesus Christ.
[00:46:37.860 --> 00:46:41.180]   And you see the emotions of Christ
[00:46:41.180 --> 00:46:42.520]   in his earthly incarnation,
[00:46:42.520 --> 00:46:44.660]   that he was grieved at the hardness of the heart
[00:46:44.660 --> 00:46:46.900]   of the people in Mark 3, verse 5.
[00:46:46.900 --> 00:46:51.900]   He had compassion upon the crowd in Mark 6, verse 34.
[00:46:51.900 --> 00:46:56.700]   We see the emotions of the Holy Spirit
[00:46:56.700 --> 00:46:58.900]   in Ephesians 4, verse 30.
[00:46:58.900 --> 00:47:01.520]   Do not grieve the Holy Spirit of God
[00:47:01.520 --> 00:47:04.800]   by whom you were sealed for the day of redemption.
[00:47:04.800 --> 00:47:07.580]   So the issue is that some have said
[00:47:07.580 --> 00:47:09.700]   that these portrayals of the emotions of God
[00:47:09.700 --> 00:47:12.360]   are merely anthropomorphisms.
[00:47:12.360 --> 00:47:16.900]   The term anthropomorphic simply means language
[00:47:16.900 --> 00:47:19.180]   which describes God in human terms.
[00:47:19.180 --> 00:47:21.860]   So for example, in the Old Testament,
[00:47:21.860 --> 00:47:25.100]   the scriptures describe the Lord having hands,
[00:47:25.100 --> 00:47:27.380]   eyes, ears, and mouth,
[00:47:27.380 --> 00:47:31.100]   and that is before the incarnation of Christ.
[00:47:31.100 --> 00:47:35.060]   So those descriptions cannot refer to God's physical body.
[00:47:35.060 --> 00:47:39.320]   God is spirit, John 4, verse 24 says.
[00:47:39.320 --> 00:47:44.080]   And so the Lord does not literally have hands, eyes, ears,
[00:47:44.080 --> 00:47:48.480]   and a mouth, but that language describes God in human terms.
[00:47:48.480 --> 00:47:51.360]   They are anthropomorphisms.
[00:47:51.360 --> 00:47:53.280]   They describe God in human terms
[00:47:53.280 --> 00:47:55.500]   so that we might better understand him.
[00:47:55.500 --> 00:47:58.400]   And some have said that these descriptions
[00:47:58.400 --> 00:48:03.400]   of the emotions of God are merely anthropomorphisms,
[00:48:03.400 --> 00:48:05.920]   that God doesn't really have emotions,
[00:48:05.920 --> 00:48:10.920]   but this is just language that helps us understand God.
[00:48:10.920 --> 00:48:13.820]   And again, Bruce Ware's article
[00:48:13.820 --> 00:48:18.820]   in the Journal of Evangelical Theology Society,
[00:48:18.820 --> 00:48:24.480]   Theological Society, does an academic treatment of the fact
[00:48:25.600 --> 00:48:28.880]   that these texts really should be taken at face value
[00:48:28.880 --> 00:48:33.100]   when they describe genuine emotions.
[00:48:33.100 --> 00:48:35.820]   Brian Borgman has said this,
[00:48:35.820 --> 00:48:38.520]   that the unambiguous biblical portrayal of God
[00:48:38.520 --> 00:48:42.220]   is that he has absolute capacity to feel
[00:48:42.220 --> 00:48:45.020]   and has perfectly holy emotions.
[00:48:45.020 --> 00:48:47.860]   In the history of systematic theology,
[00:48:47.860 --> 00:48:50.440]   the mind and will of God have often been the focus,
[00:48:50.440 --> 00:48:52.640]   but the Bible speaks of God's heart,
[00:48:52.640 --> 00:48:54.960]   his emotions and feelings.
[00:48:54.960 --> 00:48:58.760]   Some circles deny that God actually has emotions.
[00:48:58.760 --> 00:49:02.000]   This is called the doctrine of divine impassibility.
[00:49:02.000 --> 00:49:04.360]   However, the sheer weight of biblical evidence
[00:49:04.360 --> 00:49:06.680]   demands that we see God as a being
[00:49:06.680 --> 00:49:11.000]   who has real emotions and feels intensely.
[00:49:11.000 --> 00:49:13.820]   So Borgman as well does not affirm
[00:49:13.820 --> 00:49:16.900]   the teaching of impassibility,
[00:49:16.900 --> 00:49:20.820]   neither does Grudem and neither do I.
[00:49:22.120 --> 00:49:27.100]   God has real emotions, perfectly holy.
[00:49:27.100 --> 00:49:33.340]   When the Lord feels jealousy, it is holy emotion.
[00:49:33.340 --> 00:49:36.980]   When the Lord feels joy, it is holy joy.
[00:49:36.980 --> 00:49:41.540]   As I mentioned, because of our sin,
[00:49:41.540 --> 00:49:46.140]   we rejoice in things we have no business rejoicing over.
[00:49:46.140 --> 00:49:51.160]   We celebrate the things that we ought to grieve in
[00:49:52.160 --> 00:49:55.320]   We find trivial things to be fascinating
[00:49:55.320 --> 00:50:00.320]   and we find ultimate and glorious things to be quite boring.
[00:50:00.320 --> 00:50:05.600]   That is because of the effect of sin on our emotions
[00:50:05.600 --> 00:50:08.080]   and these things ought not to be so,
[00:50:08.080 --> 00:50:14.240]   but God always has perfectly holy emotions.
[00:50:14.240 --> 00:50:16.240]   Just one quote there by Greg Nichols.
[00:50:16.240 --> 00:50:21.240]   He has an article that is posted on the blog there,
[00:50:21.240 --> 00:50:27.080]   but he is quoted by Borgman in the work "Feelings and Faith".
[00:50:27.080 --> 00:50:30.120]   And he says that God's emotivity,
[00:50:30.120 --> 00:50:31.760]   which is just a noun meaning
[00:50:31.760 --> 00:50:34.220]   the capacity of having emotions.
[00:50:34.220 --> 00:50:36.980]   God's emotivity is his supreme capacity
[00:50:36.980 --> 00:50:39.840]   to act responsibly and cessationally
[00:50:39.840 --> 00:50:43.520]   to feel pure and principled affections of love and hate,
[00:50:43.520 --> 00:50:46.520]   joy and grief, pleasure and anger and peace
[00:50:46.520 --> 00:50:50.480]   in accord with his supreme spiritual and simple being
[00:50:50.480 --> 00:50:53.140]   and impeccable virtue.
[00:50:53.140 --> 00:50:56.680]   And there's some other statements there
[00:50:56.680 --> 00:50:58.200]   that I will commend to you.
[00:50:58.200 --> 00:51:03.200]   Let me move to page number four for the sake of time here,
[00:51:03.200 --> 00:51:07.800]   letter B, as we have covered that God is a personal being
[00:51:07.800 --> 00:51:11.720]   with emotions, we also see here that man is made
[00:51:11.720 --> 00:51:13.620]   in the image of God.
[00:51:13.620 --> 00:51:18.960]   Four key passages there, Genesis 1, 27,
[00:51:18.960 --> 00:51:23.960]   also Genesis 5 and Genesis 9 and James chapter 3.
[00:51:23.960 --> 00:51:27.760]   But those passages teach us that man is made
[00:51:27.760 --> 00:51:29.040]   in the likeness of God.
[00:51:29.040 --> 00:51:33.120]   So if God is a personal being with genuine emotions,
[00:51:33.120 --> 00:51:35.400]   we are made in the image and likeness of God,
[00:51:35.400 --> 00:51:40.400]   therefore we are emotional beings as well.
[00:51:41.320 --> 00:51:46.320]   And there is nothing intrinsically wrong with our emotions.
[00:51:46.320 --> 00:51:52.240]   So we make the note there that stoicism
[00:51:52.240 --> 00:51:56.120]   is not the highest ideal for a Christian.
[00:51:56.120 --> 00:52:00.680]   Stoicism is the idea that the highest good is seen
[00:52:00.680 --> 00:52:02.560]   in the endurance of pain and hardship
[00:52:02.560 --> 00:52:05.700]   without a display of emotions.
[00:52:05.700 --> 00:52:09.040]   We want to just make the biblical statement here
[00:52:09.040 --> 00:52:14.040]   that for the Christian stoicism is not the highest ideal.
[00:52:14.040 --> 00:52:19.580]   John MacArthur talks about this,
[00:52:19.580 --> 00:52:21.720]   I believe in one of his blog posts,
[00:52:21.720 --> 00:52:26.120]   but he talks about the idea that stoicism teaches
[00:52:26.120 --> 00:52:29.040]   that you wanna come to the point of total indifference.
[00:52:29.040 --> 00:52:32.760]   You just basically wanna say, I don't care about anything.
[00:52:32.760 --> 00:52:35.960]   You just go through your life saying,
[00:52:35.960 --> 00:52:37.720]   I don't care about this, I don't care about that,
[00:52:37.720 --> 00:52:40.960]   you're just unmoved with emotion.
[00:52:40.960 --> 00:52:45.960]   And we believe that stoicism is not the ideal.
[00:52:45.960 --> 00:52:53.120]   Man and his capacity for emotions was declared
[00:52:53.120 --> 00:52:58.120]   to be very good in Genesis chapter one.
[00:52:58.120 --> 00:53:03.840]   And the richness of biblical language testifies
[00:53:03.840 --> 00:53:06.080]   to the central place emotions have
[00:53:06.080 --> 00:53:09.540]   in a person's spiritual life.
[00:53:09.540 --> 00:53:15.160]   Just a note here on skipping the Lamentations passage
[00:53:15.160 --> 00:53:16.980]   for a moment at the bottom of your handout there.
[00:53:16.980 --> 00:53:18.180]   It's almost a shame to do that,
[00:53:18.180 --> 00:53:22.880]   but I'm gonna be pressed for time here.
[00:53:22.880 --> 00:53:28.200]   Skipping to 2 Corinthians 11 verse two on your handout,
[00:53:28.200 --> 00:53:31.980]   and just noting Paul's emotions
[00:53:31.980 --> 00:53:34.460]   for the people he ministered to.
[00:53:34.460 --> 00:53:35.820]   Don't be afraid of this.
[00:53:35.820 --> 00:53:38.820]   As a counselor, you will have genuine emotions
[00:53:38.820 --> 00:53:40.540]   for the people you counsel.
[00:53:40.540 --> 00:53:42.860]   And don't be afraid of that.
[00:53:42.860 --> 00:53:44.380]   2 Corinthians 11 verse two.
[00:53:44.380 --> 00:53:49.020]   I feel a divine jealousy for you
[00:53:49.020 --> 00:53:52.020]   since I betrothed you to one husband
[00:53:52.020 --> 00:53:55.100]   to present you as a pure virgin to Christ.
[00:53:55.100 --> 00:54:00.580]   Don't be afraid of the words to feel.
[00:54:00.580 --> 00:54:04.880]   Those are biblical words as you see in this text.
[00:54:04.880 --> 00:54:09.540]   Don't be afraid to feel that in your heart,
[00:54:09.540 --> 00:54:12.580]   how you want this person you're walking with
[00:54:12.580 --> 00:54:14.140]   to overcome their sin.
[00:54:14.140 --> 00:54:15.720]   You want them to be holy.
[00:54:15.720 --> 00:54:19.100]   You want them to love Christ.
[00:54:19.100 --> 00:54:21.760]   Don't be afraid to express that
[00:54:21.760 --> 00:54:24.180]   to the people you minister to.
[00:54:24.180 --> 00:54:26.300]   And when believers went astray,
[00:54:26.300 --> 00:54:27.960]   Paul felt that in his heart.
[00:54:27.960 --> 00:54:31.040]   You hear him say in the book of Galatians,
[00:54:31.040 --> 00:54:33.440]   so foolish Galatians, who has bewitched you.
[00:54:33.440 --> 00:54:36.360]   You even hear him say in that epistle
[00:54:36.360 --> 00:54:38.380]   that I'm perplexed about you.
[00:54:38.380 --> 00:54:42.940]   That he felt emotions that were appropriate
[00:54:42.940 --> 00:54:46.520]   to the situation that the people going astray
[00:54:46.520 --> 00:54:51.520]   from fidelity to Christ was met with genuine emotion
[00:54:51.520 --> 00:54:54.600]   from the apostle Paul.
[00:54:56.700 --> 00:55:00.660]   And as I mentioned, I feel some of that
[00:55:00.660 --> 00:55:03.660]   and I have to as a pastor.
[00:55:03.660 --> 00:55:08.180]   Just joy whenever you hear somebody grow
[00:55:08.180 --> 00:55:11.900]   that this person grew or this person came to Christ
[00:55:11.900 --> 00:55:17.820]   and then perplexity, pain over hearing of someone
[00:55:17.820 --> 00:55:23.120]   go astray or maybe a marriage that is,
[00:55:23.120 --> 00:55:27.280]   needs reconciliation or a child who is rebellious.
[00:55:27.280 --> 00:55:30.660]   I think that's just New Testament ministry.
[00:55:30.660 --> 00:55:34.260]   Let me move to page five of your handout.
[00:55:34.260 --> 00:55:36.940]   Letter C, and this is again under the category
[00:55:36.940 --> 00:55:39.540]   of a biblical theology of emotions.
[00:55:39.540 --> 00:55:43.440]   We note that the image of God was distorted at the fall.
[00:55:43.440 --> 00:55:46.540]   So the bottom line is this.
[00:55:46.540 --> 00:55:49.180]   I'll get right to the chase here.
[00:55:49.180 --> 00:55:52.380]   The fall of man into sin in Genesis chapter three
[00:55:52.380 --> 00:55:57.000]   does not remove our capacity to feel emotion.
[00:55:57.000 --> 00:55:59.220]   We're still emotional beings.
[00:55:59.220 --> 00:56:02.340]   It does not erase the image of God,
[00:56:02.340 --> 00:56:04.040]   which is stamped on our souls.
[00:56:04.040 --> 00:56:07.940]   What the fall of man into sin did
[00:56:07.940 --> 00:56:10.480]   is not remove the image of God in us,
[00:56:10.480 --> 00:56:13.660]   but the fall distorted that image.
[00:56:13.660 --> 00:56:18.580]   We still have emotion, but our emotional life is twisted.
[00:56:18.580 --> 00:56:20.580]   Our emotions are misplaced.
[00:56:20.580 --> 00:56:24.920]   Our emotions do not rightly correspond to the context
[00:56:24.920 --> 00:56:28.020]   that we are in due to our sin.
[00:56:28.020 --> 00:56:31.020]   We get really excited about a piece of chicken
[00:56:31.020 --> 00:56:32.700]   at a restaurant.
[00:56:32.700 --> 00:56:35.100]   Oh, this chicken is so good.
[00:56:35.100 --> 00:56:36.940]   It's so glorious.
[00:56:36.940 --> 00:56:39.620]   And we are emotionally disengaged
[00:56:39.620 --> 00:56:42.820]   when it comes to the glories of God in Christ
[00:56:42.820 --> 00:56:45.960]   as found in the scriptures.
[00:56:47.900 --> 00:56:52.900]   That is the distortion of the image of God in us.
[00:56:52.900 --> 00:56:54.480]   We still have emotions,
[00:56:54.480 --> 00:56:59.480]   but those emotions register in all the wrong ways.
[00:56:59.480 --> 00:57:04.260]   As Jeff Forey has written immediately
[00:57:04.260 --> 00:57:05.780]   upon eating the forbidden fruit,
[00:57:05.780 --> 00:57:09.460]   Adam and Eve experienced the fallout of disobedience,
[00:57:09.460 --> 00:57:12.980]   embarrassment, shame, vulnerability, fear,
[00:57:12.980 --> 00:57:14.540]   even a form of irritation.
[00:57:14.540 --> 00:57:15.780]   God's design remains,
[00:57:15.780 --> 00:57:19.820]   but it is experienced in a twisted and painful way,
[00:57:19.820 --> 00:57:22.740]   which is conveyed by the new emotional experiences
[00:57:22.740 --> 00:57:26.240]   Adam and Eve had after their sin.
[00:57:26.240 --> 00:57:27.380]   Before the fall,
[00:57:27.380 --> 00:57:29.020]   emotions would have functioned in ways
[00:57:29.020 --> 00:57:30.920]   that supported God honoring living.
[00:57:30.920 --> 00:57:32.960]   Since the fall, they have functioned in ways
[00:57:32.960 --> 00:57:37.500]   that reflect sinner's desire to be independent of God.
[00:57:37.500 --> 00:57:41.260]   The Puritan Thomas Boston put it even more plainly.
[00:57:41.260 --> 00:57:44.140]   He said the natural man's affections
[00:57:44.140 --> 00:57:46.340]   are wretchedly misplaced.
[00:57:46.340 --> 00:57:49.700]   He is a spiritual monster.
[00:57:49.700 --> 00:57:52.500]   His heart is where his feet should be fixed on the earth.
[00:57:52.500 --> 00:57:55.720]   His heels are lifted up against heaven,
[00:57:55.720 --> 00:57:58.420]   which his heart should be set on.
[00:57:58.420 --> 00:58:01.740]   His face is towards hell, his back towards heaven,
[00:58:01.740 --> 00:58:03.420]   and therefore God calls him to turn.
[00:58:03.420 --> 00:58:05.020]   And here it is.
[00:58:05.020 --> 00:58:08.420]   Friends, this is the description of America today.
[00:58:08.420 --> 00:58:12.100]   Boston says he loves what he should hate
[00:58:13.460 --> 00:58:16.360]   and hates what he should love.
[00:58:16.360 --> 00:58:21.180]   Joys in what he ought to mourn for
[00:58:21.180 --> 00:58:24.380]   and mourns for what he should rejoice in.
[00:58:24.380 --> 00:58:29.780]   Glories in his shame and is ashamed of his glory,
[00:58:29.780 --> 00:58:32.300]   abhors what he should desire
[00:58:32.300 --> 00:58:36.320]   and desires what he should abhor.
[00:58:36.320 --> 00:58:43.440]   That is most of cable TV today, I'm afraid to say.
[00:58:43.920 --> 00:58:48.920]   And that's many commercials at the very least.
[00:58:48.920 --> 00:58:53.440]   You know what they say, buy this car,
[00:58:53.440 --> 00:58:55.520]   use the shampoo, go to this restaurant,
[00:58:55.520 --> 00:58:58.900]   and you will experience ultimate joy and satisfaction.
[00:58:58.900 --> 00:59:06.360]   When the truth is that only Christ
[00:59:06.360 --> 00:59:11.160]   will give that type of joy and satisfaction.
[00:59:12.840 --> 00:59:14.320]   We love what we should hate.
[00:59:14.320 --> 00:59:16.000]   We hate what we should love.
[00:59:16.000 --> 00:59:20.680]   We find ultimate joy over things of limited value,
[00:59:20.680 --> 00:59:22.600]   or we seek that ultimate joy,
[00:59:22.600 --> 00:59:24.660]   and we find ourselves to be disappointed.
[00:59:24.660 --> 00:59:28.680]   Borgman says, like a Picasso painting,
[00:59:28.680 --> 00:59:31.700]   all our parts are distorted out of place,
[00:59:31.700 --> 00:59:33.680]   backwards and usually dark.
[00:59:33.680 --> 00:59:35.920]   The biblical portrait of us
[00:59:35.920 --> 00:59:38.020]   and our fallen state is unflattering.
[00:59:38.020 --> 00:59:40.040]   The proper relationship of the emotions,
[00:59:40.040 --> 00:59:42.400]   the will into the mind is twisted.
[00:59:42.400 --> 00:59:44.620]   It is out of order and out of proportion.
[00:59:44.620 --> 00:59:47.500]   We resemble a circuit board that at one time
[00:59:47.500 --> 00:59:49.560]   functioned properly and reliably
[00:59:49.560 --> 00:59:52.140]   with all the components perfectly integrated.
[00:59:52.140 --> 00:59:56.360]   But since the fall, instead of our charges
[00:59:56.360 --> 00:59:57.420]   following the right paths,
[00:59:57.420 --> 00:59:58.680]   they deviate because of sin
[00:59:58.680 --> 01:00:00.600]   and cause serious malfunctions.
[01:00:00.600 --> 01:00:03.960]   The sad reality is that we are serious train wrecks.
[01:00:03.960 --> 01:00:07.960]   Our emotions can be downright toxic.
[01:00:12.120 --> 01:00:15.160]   I think of several times when I've done marital counseling.
[01:00:15.160 --> 01:00:19.960]   The wife is there in tears,
[01:00:19.960 --> 01:00:24.160]   weeping over the hurt and over the pain
[01:00:24.160 --> 01:00:27.820]   that's been experienced in the marriage.
[01:00:27.820 --> 01:00:33.760]   The husband is there emotionally unmoved, callous
[01:00:33.760 --> 01:00:37.400]   for the pain of his wife.
[01:00:37.400 --> 01:00:41.800]   And I just wanna see, don't you see your wife?
[01:00:41.800 --> 01:00:46.240]   Don't you see her in tears here?
[01:00:46.240 --> 01:00:49.300]   I'm not saying who's right, I'm not saying who's wrong,
[01:00:49.300 --> 01:00:52.820]   but can't you just start by acknowledging her pain?
[01:00:52.820 --> 01:00:59.040]   But you see friends, sin blinds the mind.
[01:00:59.040 --> 01:01:04.240]   Sin distorts the emotions.
[01:01:04.240 --> 01:01:08.320]   It is sin that causes that husband to be so wrapped up
[01:01:08.320 --> 01:01:13.200]   in his own thoughts, in his own world,
[01:01:13.200 --> 01:01:16.080]   that he cannot register the proper emotions
[01:01:16.080 --> 01:01:20.160]   that are appropriate to his wife being in so much pain.
[01:01:20.160 --> 01:01:24.620]   That husband ought to feel something and he feels nothing.
[01:01:24.620 --> 01:01:32.040]   And so that is the effect of sin upon our emotions,
[01:01:32.040 --> 01:01:35.960]   that the image of God was distorted at the fall.
[01:01:35.960 --> 01:01:37.460]   We're still emotional beings,
[01:01:37.460 --> 01:01:41.960]   but we do not feel as we ought to feel.
[01:01:41.960 --> 01:01:44.440]   So what is the hope for fallen individuals?
[01:01:44.440 --> 01:01:49.440]   Well, letter D is that in Christ, we are as Forrey writes,
[01:01:49.440 --> 01:01:55.160]   redeemed emotional beings who can pursue
[01:01:55.160 --> 01:01:57.320]   and cultivate godly emotions.
[01:01:57.320 --> 01:01:59.400]   Praise the Lord for that.
[01:01:59.400 --> 01:02:04.840]   We are saved through the blood of Christ and in Christ,
[01:02:04.840 --> 01:02:07.280]   through his life, death and resurrection,
[01:02:07.280 --> 01:02:10.280]   the image of God is being restored in us.
[01:02:10.280 --> 01:02:11.860]   We are progressively being conformed
[01:02:11.860 --> 01:02:14.180]   to the likeness of Christ.
[01:02:14.180 --> 01:02:16.420]   And as we become more like Christ,
[01:02:16.420 --> 01:02:19.800]   our emotional lives are transformed.
[01:02:19.800 --> 01:02:25.080]   We begin to experience godly emotion.
[01:02:25.080 --> 01:02:29.980]   Emotions can be classified as righteous
[01:02:29.980 --> 01:02:31.960]   or unrighteous in scripture.
[01:02:31.960 --> 01:02:35.580]   Joy is commanded as a righteous emotion
[01:02:35.580 --> 01:02:38.560]   in Philippians 4, verse four, but joy is unrighteous
[01:02:38.560 --> 01:02:42.840]   when you rejoice in evil, 1 Corinthians 13, verse six.
[01:02:42.840 --> 01:02:47.820]   Sorrow is righteous when we grieve over sin,
[01:02:47.820 --> 01:02:49.460]   James 4, verse nine.
[01:02:49.460 --> 01:02:53.220]   However, sorrow is not righteous when we grieve
[01:02:53.220 --> 01:02:57.980]   as those who have no hope, 1 Thessalonians 4, verse 13.
[01:02:57.980 --> 01:03:03.540]   Believers are commanded to have compassion
[01:03:03.540 --> 01:03:06.100]   toward one another, Colossians 3, verse 12.
[01:03:06.100 --> 01:03:11.680]   We are called to move with feeling
[01:03:11.680 --> 01:03:14.960]   toward others in the body of Christ.
[01:03:14.960 --> 01:03:18.160]   And to close one's heart to another believer
[01:03:18.160 --> 01:03:21.420]   is unrighteous and outside the will of God.
[01:03:21.420 --> 01:03:25.220]   So we are redeemed emotional beings
[01:03:25.220 --> 01:03:27.720]   who can pursue and cultivate godly emotions,
[01:03:27.720 --> 01:03:31.880]   joy, sorrow, jealousy, fear, hope, compassion,
[01:03:31.880 --> 01:03:36.880]   grief, and pain, all of these emotions are restored in us
[01:03:36.880 --> 01:03:40.760]   and they register rightly and appropriately
[01:03:40.760 --> 01:03:44.540]   as we are made to be more like Christ.
[01:03:44.540 --> 01:03:52.360]   So let me end on the last page here
[01:03:52.360 --> 01:03:56.920]   with some practical applications for counseling.
[01:03:56.920 --> 01:04:01.520]   And I'm just gonna take five minutes and walk through this.
[01:04:01.520 --> 01:04:03.960]   This is just fresh for my own thinking.
[01:04:03.960 --> 01:04:05.800]   I just reflected on this topic
[01:04:05.800 --> 01:04:10.120]   and just want to continue to learn and grow
[01:04:10.120 --> 01:04:13.680]   and become a better Christian, become a better counselor,
[01:04:13.680 --> 01:04:17.320]   but just some practical ways that we can apply this teaching
[01:04:17.320 --> 01:04:18.800]   in our lives and ministry.
[01:04:18.800 --> 01:04:20.240]   I would encourage you, first of all,
[01:04:20.240 --> 01:04:23.380]   to become emotionally wise.
[01:04:23.380 --> 01:04:26.940]   Ask God for wisdom.
[01:04:29.040 --> 01:04:31.280]   Develop a robust understanding
[01:04:31.280 --> 01:04:33.680]   of the biblical teaching on emotions
[01:04:33.680 --> 01:04:38.080]   and then ask God for wisdom and applying that
[01:04:38.080 --> 01:04:40.060]   to your ministry with people.
[01:04:40.060 --> 01:04:45.680]   Sometimes you really have to be discerning
[01:04:45.680 --> 01:04:48.880]   and just understanding what is this counseling going through
[01:04:48.880 --> 01:04:53.920]   and what are the emotions that this person is experiencing.
[01:04:53.920 --> 01:04:57.600]   Just being sensitive to that is helpful
[01:04:57.600 --> 01:05:00.040]   in counseling ministry.
[01:05:00.040 --> 01:05:05.280]   Number two, grow in your ability to rejoice
[01:05:05.280 --> 01:05:07.840]   with those who rejoice and weep with those who weep.
[01:05:07.840 --> 01:05:10.980]   I understand that's easier for some than for others.
[01:05:10.980 --> 01:05:17.320]   I understand that some of us are just more wired
[01:05:17.320 --> 01:05:21.480]   to be compassionate and to experience emotions with others
[01:05:21.480 --> 01:05:24.600]   and others of us are just more emotionally reserved,
[01:05:24.600 --> 01:05:27.240]   but ultimately I would just plead with all of us
[01:05:27.240 --> 01:05:30.640]   that learning to enter into the emotional life
[01:05:30.640 --> 01:05:34.580]   of other people is a matter of being more like Christ.
[01:05:34.580 --> 01:05:38.480]   It is not whether you have a certain personality
[01:05:38.480 --> 01:05:40.520]   or you have another personality.
[01:05:40.520 --> 01:05:43.800]   Being compassionate is becoming more like Christ.
[01:05:43.800 --> 01:05:46.620]   Being merciful is being like Christ.
[01:05:46.620 --> 01:05:51.720]   And so let Christ-likeness be the standard
[01:05:51.720 --> 01:05:56.720]   and wherever you are in terms of how God has made you,
[01:05:56.800 --> 01:05:59.600]   ask God to help you to become more like Christ.
[01:05:59.600 --> 01:06:03.300]   I've prayed this in my own life as a counselor.
[01:06:03.300 --> 01:06:09.520]   Lord, I should be feeling sorrow and I'm not, help me.
[01:06:09.520 --> 01:06:15.040]   Give me emotions that are appropriate to this person's pain
[01:06:15.040 --> 01:06:17.600]   or I ought to be feeling joy and I'm not.
[01:06:17.600 --> 01:06:20.400]   Help me, give me emotions
[01:06:20.400 --> 01:06:23.300]   that are appropriate to this situation.
[01:06:23.300 --> 01:06:26.900]   Number three, as Milton Vincent has said,
[01:06:26.900 --> 01:06:29.460]   embrace the emotional rollercoaster.
[01:06:29.460 --> 01:06:31.900]   It is the stuff of life.
[01:06:31.900 --> 01:06:35.000]   You are most alive, you're most fully alive
[01:06:35.000 --> 01:06:40.000]   when you are engaged in the joys and the sorrows of others.
[01:06:40.000 --> 01:06:43.520]   And so don't be afraid of this.
[01:06:43.520 --> 01:06:47.940]   It's New Testament ministry.
[01:06:47.940 --> 01:06:51.020]   Number four, take special care in developing
[01:06:51.020 --> 01:06:54.260]   a biblical understanding of grieving and sorrow.
[01:06:54.260 --> 01:06:58.760]   I just wanna plead with this in the church.
[01:06:58.760 --> 01:07:02.700]   Don't be in a hurry to move people past their sorrow.
[01:07:02.700 --> 01:07:06.380]   Seasons of sorrow can be long and it is true.
[01:07:06.380 --> 01:07:07.500]   There's a balance to this.
[01:07:07.500 --> 01:07:09.900]   We are not to grieve as those who have no hope,
[01:07:09.900 --> 01:07:14.900]   but there is an appropriate emotion of sorrow.
[01:07:14.900 --> 01:07:19.060]   And so learn the language of lament
[01:07:19.060 --> 01:07:21.620]   as taught and modeled in the Psalms.
[01:07:21.620 --> 01:07:23.500]   I think of Proverbs 25, verse 20,
[01:07:23.500 --> 01:07:26.300]   which says whoever sings songs to a heavy heart
[01:07:26.300 --> 01:07:28.940]   is like one who takes off a garment on a cold day
[01:07:28.940 --> 01:07:30.860]   and like vinegar on soda.
[01:07:30.860 --> 01:07:37.420]   Counseling comes to you and pours out his or her heart
[01:07:37.420 --> 01:07:41.200]   and just going through a very difficult and distressing time
[01:07:41.200 --> 01:07:42.580]   and the only thing you give them
