
[00:00:00.040 --> 00:00:09.600]   пять
[00:56:11.660 --> 00:56:11.660]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:11.660 --> 00:56:11.660]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:11.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:56:41.680]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:56:41.680 --> 00:57:11.700]   the only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.700 --> 00:57:11.700]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:11.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.720 --> 00:57:41.720]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:57:41.760 --> 00:58:11.740]  ,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.740 --> 00:58:11.740]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:11.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.760 --> 00:58:41.760]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:58:41.800 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.780 --> 00:59:11.780]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:11.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.800 --> 00:59:41.800]   The only thing is, it's kind of hard to catch this sort of in the air,
[00:59:41.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.820 --> 01:00:11.820]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:11.860 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.840 --> 01:00:41.840]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:00:41.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.860 --> 01:01:11.860]   The only thing is, it's kind of hard to catch this sort of in the air,
[01:01:11.900 --> 01:01:41.880]  ,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.880 --> 01:01:41.880]   And the other thing is, it's kind of hard to catch this sort of in the air,
[01:01:41.900 --> 01:01:50.180]   Yeah.
[01:01:50.180 --> 01:01:51.220]   Which is a set of questions.
[01:01:51.220 --> 01:01:55.020]   Maybe you can elaborate on what the perfect rhetorical fortress is.
[01:01:55.020 --> 01:01:55.380]   Yeah.
[01:01:55.380 --> 01:02:01.560]   So the perfect rhetorical fortress is the way that's been developed on the left
[01:02:01.560 --> 01:02:04.380]   to not ever get to someone's actual argument.
[01:02:04.380 --> 01:02:07.500]   I want to make a chart, like a flow chart of this,
[01:02:07.500 --> 01:02:08.580]   about like, here's the argument,
[01:02:08.580 --> 01:02:11.900]   and here is this perfect fortress that will deflect you every time you say it.
[01:02:11.900 --> 01:02:11.900]   I want to make a chart, like a flow chart of this,
[01:02:11.900 --> 01:02:11.900]   Here's the argument, and here is this perfect fortress that will deflect you every time you say it.
[01:02:11.900 --> 01:02:11.900]   I want to make a chart, like a flow chart of this,
[01:02:11.900 --> 01:02:11.900]   about like, here's the argument,
[01:02:11.900 --> 01:02:11.900]   and here is this perfect fortress that will deflect you every time you say it.
[01:02:11.900 --> 01:02:11.900]   I want to make a chart, like a flow chart of this,
[01:02:11.900 --> 01:02:11.900]  ,
[01:02:11.900 --> 01:02:41.920]  .
[01:02:41.920 --> 01:02:41.920]   It's the only way you can get the argument.
[01:02:41.920 --> 01:02:41.920]   It's the only way you can get the argument.
[01:02:41.920 --> 01:02:41.920]   It's the only way you can get the argument.
[01:02:41.920 --> 01:02:41.920]   And I started to notice this certainly when I was in law school,
[01:02:41.920 --> 01:02:41.920]   And I started to notice this certainly when I was in law school,
[01:02:41.920 --> 01:02:41.920]   And I started to notice this certainly when I was in law school,
[01:02:41.920 --> 01:02:41.920]   And I started to notice this certainly when I was in law school,
[01:02:41.920 --> 01:02:41.920]   There were lots of different ways you could dismiss people. And perfect rhetorical fortress step one, and I can attest to this because I was guilty of this as well that you can dismiss people if you can argue that they're conservative they don't have to be conservative. You just have to say that they're clear you have to say that they are. So I never read Thomas Sowell because he was right winger. I didn't read Camille Puff.
[01:02:41.940 --> 01:03:11.940]   Because I was, I somewhat to convince me she was right winger. There were lots of authors that. And when I was in law school, it among a lot of very bright people, it really was already an intellectual habit that if you could designate something conservative, then you didn't really have to think about it very much anymore or take it particularly seriously. That's a childish way of arguing. But nonetheless, I engaged in it. It was a common tactic. I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   I even mentioned in the book there was a time when I,
[01:03:11.940 --> 01:03:11.940]   a,
[01:03:11.980 --> 01:03:41.960]  ,
[01:03:41.960 --> 01:03:41.960]   I even mentioned in the book there was a time when I,
[01:03:41.960 --> 01:03:41.960]   I even mentioned in the book there was a time when I,
[01:03:41.960 --> 01:03:41.960]   I even mentioned in the book there was a time when I,
[01:03:41.960 --> 01:03:41.960]   I even mentioned in the book there was a time when I,
[01:03:41.960 --> 01:03:41.960]   I even mentioned in the book there was a time when I,
[01:03:41.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:11.980 --> 01:04:11.980]   I even mentioned in the book there was a time when I,
[01:04:12.020 --> 01:04:42.000]  ,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.000 --> 01:04:42.000]   I even mentioned in the book there was a time when I,
[01:04:42.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:12.020]   I even mentioned in the book there was a time when I,
[01:05:12.020 --> 01:05:42.040]  ,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.040 --> 01:05:42.040]   I even mentioned in the book there was a time when I,
[01:05:42.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   I even mentioned in the book there was a time when I,
[01:06:12.060 --> 01:06:12.060]   there was a time when I mentioned in the book there was a time when I,
[01:06:12.100 --> 01:06:42.080]  ,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.080 --> 01:06:42.080]   I even mentioned in the book there was a time when I,
[01:06:42.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:12.100]   I even mentioned in the book there was a time when I,
[01:07:12.100 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.120 --> 01:07:42.120]   I even mentioned in the book there was a time when I,
[01:07:42.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:12.140]   I even mentioned in the book there was a time when I,
[01:08:12.140 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.160 --> 01:08:42.160]   I even mentioned in the book there was a time when I,
[01:08:42.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:12.180]   I even mentioned in the book there was a time when I,
[01:09:12.180 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.200 --> 01:09:42.200]   I even mentioned in the book there was a time when I,
[01:09:42.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:12.220]   I even mentioned in the book there was a time when I,
[01:10:12.220 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.240 --> 01:10:42.240]   I even mentioned in the book there was a time when I,
[01:10:42.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:12.260]   I even mentioned in the book there was a time when I,
[01:11:12.260 --> 01:11:42.280]   I even mentioned in the book there was a time when I,
[01:11:42.280 --> 01:11:42.280]   I even mentioned in the book there was a time when I,
[01:11:42.280 --> 01:11:42.280]   I even mentioned in the book there was a time when I,
[01:11:42.280 --> 01:11:42.280]   I even mentioned in the book there was a time when I,
[01:11:42.280 --> 01:11:42.280]   I even mentioned in the book there was a time when I,
[01:11:42.280 --> 01:11:42.280]   I even mentioned in the book there was a time when I,
