
[00:00:00.320 --> 00:00:09.280]   the luma said okay give me k2 um last week we went over the original muon paper so basically
[01:01:59.920 --> 01:02:03.360]   translation right away it will not think for 500 or a thousand tokens
[01:02:03.360 --> 01:02:12.800]   i i think that's part of it the other approach there is hybrid reasoning and non-reasoning models
[01:02:12.800 --> 01:02:19.760]   right like you can you can turn on and off reasoning so like cloud models have thinking and
[01:02:19.760 --> 01:02:27.120]   non-thinking modes small lm3 is a specific like recipe to train a hybrid reasoning model basically in that
[01:02:27.920 --> 01:02:34.800]   in their rl stage with grpo they mix in stuff that's a subset of reasoning and non-reasoning
[01:02:34.800 --> 01:02:42.320]   and they reward them equally but um i do agree like i really think that like
[01:02:42.320 --> 01:02:48.560]   they're kind of pushing the cost onto you right like for basic stuff i don't want to pay extra tokens and
[01:02:48.560 --> 01:02:57.280]   the the proper like the proper gauge for models right now is no longer priced to um like before
[01:02:57.280 --> 01:03:02.720]   it used to be price to intelligence ratio right so how much do i pay for this level of intelligence
[01:03:02.720 --> 01:03:09.360]   it's very skewed now right a model can have an intelligence that's very high but it could take
[01:03:09.360 --> 01:03:14.080]   twice the cost in the terms of number of tokens to get there the number of tokens to get that intelligence
[01:03:14.080 --> 01:03:20.880]   this kind of variable what would be interesting now i think is in some benchmarks if we could include
[01:03:20.880 --> 01:03:27.520]   how many tokens were used in reasoning for specific like questions or stuff i don't know a great way to
[01:03:27.520 --> 01:03:34.800]   measure this i haven't really thought about it too much but you know what i mean like cost to performance
[01:03:34.800 --> 01:03:40.320]   is no longer as relevant because your performance has variable number of thinking for different
[01:03:40.320 --> 01:03:45.280]   like models like some models are very verbose in their thinking the deep seek update basically got it
[01:03:45.280 --> 01:03:51.360]   for think to think for twice as long which could also mean to you know charge you twice as much but
[01:03:51.360 --> 01:03:58.000]   on the other hand like it's a significant performance increase right so like are you really gonna are you
[01:03:58.000 --> 01:04:01.840]   really gonna make that trade-off i think in general even though it was forced on people like
[01:04:01.840 --> 01:04:05.840]   oh one was the first reasoning model and you didn't have a choice right it's not hybrid like
[01:04:05.840 --> 01:04:10.880]   if you want reasoning you're gonna use full reasoning and people were fine waiting an extra minute for
[01:04:10.880 --> 01:04:18.640]   performance and the costs always come down but that's just high level thinking in my in my opinion
[01:04:18.640 --> 01:04:21.120]   i don't have i haven't given it much more thought
[01:04:24.720 --> 01:04:32.400]   yeah that's that's a good argument about cost yeah any other thoughts comments questions anything i
[01:04:32.400 --> 01:04:37.280]   missed in this paper sorry i like we yapped too much in the beginning i didn't realize it would take so
[01:04:37.280 --> 01:04:45.200]   long i was gonna think it was a quick one it's it's quite a dense paper like lots of stuff to go through
[01:04:46.480 --> 01:04:54.160]   yeah um i think they're they're like muon clip stuff is pretty interesting but like there's only a few
[01:04:54.160 --> 01:05:00.880]   takeaways right like they do some cool scaling laws basically they do like individual attention head
[01:05:00.880 --> 01:05:07.760]   level parameter clipping of optimization and that that leads to really cool scaling the the bigger takeaway of
[01:05:07.760 --> 01:05:17.200]   this is like it's very very expensive for labs to do big train runs and like lost spikes are a big detriment
[01:05:17.200 --> 01:05:23.120]   because basically if something gets cooked like all your major infrastructure is being useless and you
[01:05:23.120 --> 01:05:29.760]   might have to roll back and restart and rechange weights and load weights and like that's a huge delay in a lot of gpus so
[01:05:29.760 --> 01:05:38.480]   stability in training is like quite huge but that's like the big takeaway um and then check out check
[01:05:38.480 --> 01:05:44.240]   out last week's paper you know we kind of dove into the optimizer frankie you have hand up oh yeah i think
[01:05:44.240 --> 01:05:51.280]   just with the comment from eugene on that paragraph on self-critique closed loop so i'm wondering like
[01:05:51.280 --> 01:05:58.400]   uh because again like how does it learn from subjective giving subjective rewards right so i'm wondering um does it
[01:05:58.400 --> 01:06:03.440]   have to do with the fact that um they're they're critiquing on the verifiable signals right so
[01:06:03.440 --> 01:06:08.960]   there's things that are definitely verifiable but because you have things which are not verifiable
[01:06:08.960 --> 01:06:14.320]   are they you think that the model is kind of like learning from the steps that were taken right it's kind
[01:06:14.320 --> 01:06:18.640]   of like the chain of thought or whatever if you like learning from the steps like if it looks like you're
[01:06:18.640 --> 01:06:24.800]   doing good steps then you know i can give reward you better so because you don't have you you don't you
[01:06:24.800 --> 01:06:29.200]   don't have a you have a subjective reward on you right so i just wanted to see how you guys thought about
[01:06:29.200 --> 01:06:42.000]   that yeah kind of um in their rubric um they have rubrics that are for like potential steps so given um
[01:06:42.800 --> 01:06:53.200]   given this like let me try to find it given this prompt or question and these set of tools uh here
[01:06:53.200 --> 01:06:59.920]   i think this is it um combine rlvr with the self critique rubric reward the model learns not only
[01:06:59.920 --> 01:07:06.640]   from externally defined tasks but also from evaluating its own inputs extending alignment from smell basically
[01:07:06.640 --> 01:07:12.800]   in the rubric if you're using the right tools and getting like the right steps um you're you're
[01:07:12.800 --> 01:07:19.040]   rewarded for that too but i think we can do a bit of a follow-up on this um for each agent we generate
[01:07:19.040 --> 01:07:24.400]   tasks that range from simple to complex each task is paired with an explicit rubric that specifies the
[01:07:24.400 --> 01:07:31.040]   success criteria expected tool use and eventuation and evaluation checkpoints this rubric-based approach
[01:07:31.040 --> 01:07:35.840]   ensures consistent objective evaluation of agent performance where else is this mentioned
[01:07:35.840 --> 01:07:44.880]   expert crafted conditional prompts and rubrics developed by our data team
[01:07:44.880 --> 01:07:51.120]   oh this is kind of interesting how they developed this uh agentic instruction augmentation fine tuning
[01:07:51.120 --> 01:07:58.880]   okay each iteration is assessed using task specific rubric enabling the judge model to provide binary sex
[01:07:58.880 --> 01:08:04.800]   slash success failures uh that's for success beyond verification self-critique
[01:08:04.800 --> 01:08:12.080]   self-critique reward with evaluates outputs initial critique is building an sft stage
[01:08:13.520 --> 01:08:23.120]   eliminate your word hacking clarity relevance so this is some of it core rubrics for rl um clarity and
[01:08:23.120 --> 01:08:29.760]   relevance assess the extent to which the response so this is the rubric used in the rl for the rollout
[01:08:29.760 --> 01:08:36.400]   um excess assess the extent to which the response is six is succinct with full addressing the user's
[01:08:36.400 --> 01:08:42.880]   intent the focus on eliminating unnecessary details staying aligned central uh with the query
[01:08:43.600 --> 01:08:51.040]   efficient formats such as brief paraphrase brief paragraphs or compact lists uh conversation fluency
[01:08:51.040 --> 01:08:59.200]   engagement it's coherent so you know basically yeah they have an rl reward for stuff like clarity
[01:08:59.200 --> 01:09:05.840]   conciseness staying on topic um objective groundedness like are you objectively answering the step the
[01:09:05.840 --> 01:09:14.800]   question perspectives so um so you think that uh these rubrics is kind of guide help it to like decide what's
[01:09:14.800 --> 01:09:23.840]   good or bad is that what you're saying yeah um in in the group of outputs because it's based on grpo right
[01:09:23.840 --> 01:09:29.360]   you're still giving a reward for like you're now not verifying oh yeah in a sense you are verifying right
[01:09:29.360 --> 01:09:36.560]   because in a group of rollouts you're giving reward to the ones that match these right so you give a
[01:09:36.560 --> 01:09:42.000]   reward for stuff that's clear give us stuff a reward for stuff that's fluent give a reward for stuff that's
[01:09:42.000 --> 01:09:50.080]   objective um as justification and you know you're you're explicitly adding that in your rl policy so
[01:09:50.080 --> 01:09:58.240]   it's not verifying on stuff like okay and output is like verified and boxed math answer or code that
[01:09:58.240 --> 01:10:03.920]   compiles uh you do have a rubric that verifies for this i think the interesting thing is that they have a
[01:10:03.920 --> 01:10:13.360]   policy model that iteratively learns better critiquing and can self-critique that makes this possible
[01:10:13.360 --> 01:10:19.760]   because otherwise it's like okay yeah this is essentially just an llm as a judge as your rl on output
[01:10:19.760 --> 01:10:31.120]   and we know that um rl is very very um what's the term i'm looking for it's it's um it has to it's like
[01:10:31.120 --> 01:10:40.240]   very sam i'm blanking on the word it has it's uh i've blanked on the word but it has to be concise
[01:10:40.240 --> 01:10:46.320]   right like you can't have noise in your rl policy otherwise you won't generalize there's a term for
[01:10:46.320 --> 01:10:53.200]   this that i'm blanking on and you would assume that just having a basic um lm as a judge for your output
[01:10:53.200 --> 01:10:59.760]   for non-verifiable stuff like is this good is this concise wouldn't work but this kind of shows that if
[01:10:59.760 --> 01:11:13.760]   you keep your um okay come here okay um yes read this section okay but but what what is your what um
[01:11:13.760 --> 01:11:20.480]   what makes you think that it is kind of improving its critique capability as it progresses it says it
[01:11:21.040 --> 01:11:26.640]   it says it in one section that section that eugene highlighted is literally about keeping it
[01:11:26.640 --> 01:11:30.320]   improving uh where is it
[01:11:30.320 --> 01:11:38.880]   as a self-closed loop one right yeah yeah the closed loop thing so yeah that's that's how i know it's yeah
[01:11:38.880 --> 01:11:47.040]   okay thanks cool um any other stuff yeah closed loop uh our critique model is refined using verifiable signal
[01:11:47.040 --> 01:11:53.040]   on policy rollouts generated from verifiable rewards continuously update the critique the
[01:11:53.040 --> 01:11:58.400]   critic a crucial step that distills objective performance signals from rl vr directly they even
[01:11:58.400 --> 01:12:05.040]   talk about this in the infrastructure section about loading moving these weights and stuff uh this closed
[01:12:05.040 --> 01:12:11.280]   loop process ensures that the critique continuously recalibrates its evaluation standards in lockstep with
[01:12:11.280 --> 01:12:16.720]   policy evaluation so this is like what eugene was saying right this closed loop stuff lets you do rl and
[01:12:16.720 --> 01:12:24.240]   verify about rewards um basically you have a good rubric and you iteratively get better thank you
[01:12:24.240 --> 01:12:31.440]   cool guys we're 20 minutes over so i think that's where i call it if anyone wants to volunteer for
[01:12:31.440 --> 01:12:38.400]   next week that would be sick find a cool paper we share a bunch of papers in um discord i have like
[01:12:38.400 --> 01:12:44.480]   four or five that i'd recommend but you know if anyone wants to present would be would be sick
[01:12:51.280 --> 01:13:03.120]   thanks fix you're speaking but muted all right next week guys i'll see you

