
[00:00:00.000 --> 00:00:01.000]   Guys, my dog.
[00:43:14.820 --> 00:43:21.380]   economy will get back going. And I think then we can get back to really addressing what are all
[00:43:21.380 --> 00:43:26.100]   that 10 or $12 trillion? How does it show up in the economy? That's where the inflation comes from.
[00:43:26.100 --> 00:43:31.540]   That's where all this other stuff. So I'm, I'm pretty excited by what I read today. But now my
[00:43:31.540 --> 00:43:35.300]   mindset is going to 18 months from now, midterm inflation, and then I'm going to be able to go
[00:43:35.300 --> 00:43:38.900]   back to the midterm inflation. I think that's going to be what it's all about.
[00:43:38.900 --> 00:43:44.100]   We ordered 1.7 million courses of this alcohol. It's a we just call basically this is the
[00:43:44.100 --> 00:43:48.580]   equivalent of a Z pack. So and call those the impact. If this hits,
[00:43:48.580 --> 00:43:53.700]   I've taken probably 1.7 million Z packs. That's just on the way back from Vegas.
[00:43:53.700 --> 00:44:00.660]   So I mean, this feels like the end game and they are going for emergency use. So let's
[00:44:00.660 --> 00:44:03.860]   keep our fingers crossed. This would mean the stock market's gonna rip Jamath.
[00:44:05.220 --> 00:44:10.580]   No stock market is in a little bit of precarious position because if you have to if you have to
[00:44:10.580 --> 00:44:16.260]   reposition yourself for inflation, there's a lot of tech stocks that will get just absolutely
[00:44:16.260 --> 00:44:22.740]   obliterated like well when you when you when you have inflation, so the the order of operations,
[00:44:22.740 --> 00:44:29.460]   inflation means prices go up. The government sees prices going up and they say how do we control
[00:44:29.460 --> 00:44:33.940]   that they raise interest rates so that the cost of borrowing goes up so that then less money is
[00:44:33.940 --> 00:44:35.140]   being spent, right? So that when you have inflation, you're going to have to go back to the
[00:44:35.140 --> 00:44:36.100]   stock market. So that's the thing that I think is really important. And I think that's the thing
[00:44:36.100 --> 00:44:37.380]   that I think is really important. And I think that's the thing that I think is really important.
[00:44:37.380 --> 00:44:42.180]   When you do that, then all of a sudden people have to think about how much money you're going to make
[00:44:42.180 --> 00:44:45.860]   in the future. Because if you're not investing as much in the future, you won't make as much in the
[00:44:45.860 --> 00:44:50.420]   future. And when you discount all those dollars back, there's less of them. And so all of a
[00:44:50.420 --> 00:44:54.980]   sudden, you start to think about oh my gosh, well, I want dollars today, not dollars 10 years from
[00:44:54.980 --> 00:45:02.740]   now. That really puts a lot of pressure on tech stocks because we trade on multi year valuations
[00:45:02.740 --> 00:45:05.060]   in the future. So inflation is very bad for tech stocks. And so we're going to have to think about
[00:45:05.060 --> 00:45:05.620]   how much money we're going to make in the future. And that's the thing that I think is really important
[00:45:05.620 --> 00:45:08.340]   when you're investing in technology stocks. Inflation tends to be good for companies that
[00:45:08.340 --> 00:45:14.340]   make money today. Why? Because if I get $1 today, I can put it in this in the, you know, bond markets
[00:45:14.340 --> 00:45:18.260]   or I put it into a savings account and I can get more interest than I would have otherwise.
[00:45:18.260 --> 00:45:23.220]   And then separately, you also want to own things that are physical and real because those have more
[00:45:23.220 --> 00:45:28.340]   value. So all of that has to then get worked out into the economy and we have to make a bunch of
[00:45:28.340 --> 00:45:34.980]   economic decisions. So now the solution for that in all of those cases, though, if you're a hyper
[00:45:34.980 --> 00:45:38.820]   gold company, you'll be okay. So if you're growing more than 50 60% a year, you're fine.
[00:45:38.820 --> 00:45:43.780]   But if you're growing 20 or 30%, and you're kind of a middling business, and rates are going up,
[00:45:43.780 --> 00:45:48.420]   and inflation is going up, you're in a very, very, very precarious spot. And
[00:45:48.420 --> 00:45:49.620]   Sachs, what do you think?
[00:45:49.620 --> 00:45:55.060]   Okay, well, there was, there was a great article in the Wall Street Journal over the past week
[00:45:55.060 --> 00:46:00.020]   called University endowment's mint billions in the golden era of venture capital is basically
[00:46:00.020 --> 00:46:04.340]   talking about I mean, these these university endowments are like gaining 50% year over year,
[00:46:04.340 --> 00:46:04.900]   there's been like nothing
[00:46:04.900 --> 00:46:08.900]   Nothing like it before. There's so many unicorns being created. There's an interview,
[00:46:08.900 --> 00:46:14.020]   there's a separate article in I think, PitchBook as well about the rate of unicorn or crunch base.
[00:46:14.020 --> 00:46:19.220]   Yeah, that the rate of unicorn creation, I think last year, it was like one every few days. Now
[00:46:19.220 --> 00:46:24.740]   it's it's more than one a day bonkers. And so you know, we're getting multiple unicorns now created
[00:46:24.740 --> 00:46:31.540]   every day this year. It's just this golden era VC this engine of wealth and prosperity creation. So
[00:46:31.540 --> 00:46:34.820]   that's the good news. And to connect this to a point we were talking
[00:46:34.820 --> 00:46:41.300]   about earlier, if the radicals on the left would just allow the golden goose to keep laying
[00:46:41.300 --> 00:46:46.820]   golden eggs, we're going to have enough wealth and prosperity to pay for all these progressive
[00:46:46.820 --> 00:46:52.420]   programs in the long run, but they're not willing to wait. And so you have in Washington, for
[00:46:52.420 --> 00:46:58.100]   example, I think a political program that really could upset the apple cart. I mean, you're talking
[00:46:58.100 --> 00:47:04.740]   about a $3.5 trillion reconciliation bill, it'll probably get brought down to somewhere between 1.5%
[00:47:04.740 --> 00:47:09.380]   and two, then you got a 1.2 trillion dollar infrastructure bill, they've already spent
[00:47:09.380 --> 00:47:13.380]   1.9 trillion on a COVID relief bill. This is after the 6 trillion.
[00:47:13.380 --> 00:47:16.340]   What would you advise should be the amount spent?
[00:47:16.340 --> 00:47:20.180]   Well, okay, good question. So last year, the federal government
[00:47:20.180 --> 00:47:26.260]   generated record tax receipts, the most revenue it's ever raised, and it was about
[00:47:26.260 --> 00:47:33.140]   19 and a half percent of GDP. When Bill Clinton left office, he broasted about the fact that
[00:47:33.140 --> 00:47:33.620]   government
[00:47:34.660 --> 00:47:41.060]   spending was only 18 and a half percent of GDP. Last year, it was about 30% of GDP. My theory on
[00:47:41.060 --> 00:47:50.020]   this is that if you have government spending as a share of the economy at around 20%, from a tax
[00:47:50.020 --> 00:47:57.060]   spending standpoint, things basically work. But as you try to go up to 25% and 30%, it starts to
[00:47:57.060 --> 00:48:02.340]   break, you have too much deficits and debt, too much money printing, too much taxation,
[00:48:02.340 --> 00:48:04.580]   too much inflation, you become more
[00:48:04.580 --> 00:48:09.780]   brittle, and you start to you basically are, you know, unhealthy, you're killing the golden goose.
[00:48:09.780 --> 00:48:16.580]   And so, you know, all we have to do is let the economy keep ripping 20% of it is going to is
[00:48:16.580 --> 00:48:21.780]   going to be government share. And you'll be able to fund more and more progressive programs over
[00:48:21.780 --> 00:48:29.220]   time, as society gets richer. And by the way, this this prosperity that's being created in
[00:48:29.220 --> 00:48:34.500]   the tech ecosystem, it's available to everybody who has a good idea. I mean, this is not so
[00:48:34.500 --> 00:48:40.740]   as we all know, so it's not just government that's creating advancement, and economic opportunity for
[00:48:40.740 --> 00:48:45.460]   disadvantaged people, the tech economy is creating it as well. And what I worry about is, is why are
[00:48:45.460 --> 00:48:50.500]   we taking so much risk in upending this whole system that is working quite well?
[00:48:50.500 --> 00:48:54.100]   Well, the other thing is, this is all in the face of there being 11
[00:48:54.100 --> 00:48:59.700]   million open jobs, there's 1.4 jobs for everybody who's unemployed. So
[00:48:59.700 --> 00:49:04.420]   the idea that in some ways, society is broken, and people can't be employed. Now, these might not be
[00:49:04.420 --> 00:49:08.260]   the only jobs, there's only 4 million, there's only 4 million people looking for work. There's
[00:49:08.260 --> 00:49:12.420]   11 million outstanding jobs. Yeah, I mean, it is bonkers. Friedberg,
[00:49:12.420 --> 00:49:17.220]   do you think this is sustainable? What are your thoughts on spending and turning over the apple
[00:49:17.220 --> 00:49:23.940]   cart as sex is saying, the longer you guys have me on this podcast, the more likely it is you guys
[00:49:23.940 --> 00:49:30.580]   are going to unmask me as a diehard libertarian. I will not let my tendencies, you know, come out
[00:49:30.580 --> 00:49:34.340]   in full force. The spending is ridiculous. And there's a lot of waste. So I mean,
[00:49:34.340 --> 00:49:38.900]   I'll just leave it at that. What I think is interesting, though, is this unicorn creation
[00:49:38.900 --> 00:49:44.820]   system. This unicorn creation machine. You know, it's worth highlighting, because I think that that
[00:49:44.820 --> 00:49:49.460]   crunch space article showed that these unicorns in aggregate were worth like what one and a half
[00:49:49.460 --> 00:49:53.140]   trillion dollars or something. And so those are all private companies.
[00:49:53.140 --> 00:49:54.740]   $3.4 trillion.
[00:49:54.740 --> 00:49:58.260]   $3.4 trillion. So is that the amount of both bills?
[00:49:58.260 --> 00:50:04.260]   3.4 trillion is the total market cap of all the private unicorns, not just in the US,
[00:50:04.260 --> 00:50:07.700]   but the world. And right now in Washington, they're talking about three and a half trillion
[00:50:07.700 --> 00:50:12.260]   dollar reconciliation bill, same size. Can you imagine government spending,
[00:50:12.260 --> 00:50:17.700]   basically the entire value of the tech ecosystem in one year? It's bonkers, right?
[00:50:17.700 --> 00:50:22.100]   And so this, but by the way, I mean, like, I think that that 3.5 trillion, you can kind of
[00:50:22.100 --> 00:50:27.300]   think about that as being the future economy of the future global economy, right? So the entire,
[00:50:27.300 --> 00:50:34.180]   I just pulled up the latest quarterly stat, but the entire market cap of public US companies,
[00:50:34.180 --> 00:50:36.340]   which is the US, is $3.4 trillion.
[00:50:36.340 --> 00:50:39.460]   And so the total market cap of public companies is $3.4 trillion.
[00:50:39.460 --> 00:50:41.620]   And so the total market cap of public companies is $3.4 trillion.
[00:50:41.620 --> 00:50:43.620]   And so the total market cap of public companies is $3.4 trillion.
[00:50:43.620 --> 00:50:44.820]   And so the total market cap of public companies is $3.4 trillion.
[00:50:44.820 --> 00:50:45.780]   And so the total market cap of public companies is $3.4 trillion.
[00:50:45.780 --> 00:50:46.740]   And so the total market cap of public companies is $3.4 trillion.
[00:50:46.740 --> 00:50:48.180]   And so the total market cap of public companies is $3.4 trillion.
[00:50:48.180 --> 00:50:48.740]   And so the total market cap of public companies is $3.4 trillion.
[00:50:48.740 --> 00:50:49.380]   And so the total market cap of public companies is $3.4 trillion.
[00:50:49.380 --> 00:50:50.260]   And so the total market cap of public companies is $3.4 trillion.
[00:50:50.260 --> 00:50:50.580]   And so the total market cap of public companies is $3.4 trillion.
[00:50:50.580 --> 00:50:52.260]   And so the total market cap of public companies is $3.4 trillion.
[00:50:52.260 --> 00:50:52.260]   And so the total market cap of public companies is $3.4 trillion.
[00:50:52.260 --> 00:50:52.340]   And so the total market cap of public companies is $3.4 trillion.
[00:50:52.340 --> 00:50:52.420]   And so the total market cap of public companies is $3.4 trillion.
[00:50:52.420 --> 00:50:52.980]   And so the total market cap of public companies is $3.4 trillion.
[00:50:52.980 --> 00:50:53.060]   And so the total market cap of public companies is $3.4 trillion.
[00:50:53.060 --> 00:50:56.740]   It used to be that technology companies started in Silicon Valley,
[00:50:56.740 --> 00:51:00.100]   sold technology to traditional industries.
[00:51:00.100 --> 00:51:04.340]   What's happening in Silicon Valley today and over the last 10 years or so,
[00:51:04.340 --> 00:51:09.220]   is that technology "companies" are becoming the next industrial companies.
[00:51:09.220 --> 00:51:10.420]   They are replacing the traditional industries.
[00:51:10.420 --> 00:51:11.060]   Profound insight. Profound insight.
[00:51:11.060 --> 00:51:12.260]   Profound insight. Profound insight.
[00:51:12.260 --> 00:51:17.140]   And so this is what we saw. Airbnb is a hotel chain without hotels.
[00:51:17.140 --> 00:51:20.820]   Uber is a transportation company without vehicles.
[00:51:20.820 --> 00:51:21.460]   DoorDash.
[00:51:21.460 --> 00:51:26.980]   DoorDash. But even more importantly, there's an entire emergent class of life sciences companies,
[00:51:26.980 --> 00:51:32.980]   of novel hardware companies. And these businesses are leveraging their core technology competence
[00:51:32.980 --> 00:51:37.220]   to create an advantage in replacing an old model of doing industry.
[00:51:37.220 --> 00:51:39.140]   They're not selling into the old school companies.
[00:51:39.140 --> 00:51:43.060]   And so I think that the... And people are freaking out about some of these big investors
[00:51:43.060 --> 00:51:46.980]   like Tiger Global coming in and writing crazy checks. If you take an index,
[00:51:46.980 --> 00:51:51.860]   if you take an index of the $3.5 trillion today and said, "You know what?
[00:51:51.860 --> 00:51:58.340]   These guys today are going to be worth more than the $46 trillion market cap of all the
[00:51:58.340 --> 00:52:01.540]   other public companies that sit today in the next 20 or 30 years."
[00:52:01.540 --> 00:52:04.980]   That's a pretty good way to place your money over a 30-year horizon.
[00:52:04.980 --> 00:52:09.220]   I'm going to go ahead and put as much money as I can into the index of the private companies
[00:52:09.220 --> 00:52:12.180]   and expect that they're going to be worth more than $46 trillion in 30 years.
[00:52:12.180 --> 00:52:15.540]   I'm going to make a 10-bagger. That's a retirement fund for my family.
[00:52:15.540 --> 00:52:16.900]   And so it makes a ton of sense. I think that these...
[00:52:17.460 --> 00:52:23.940]   These unicorns, given the advantages that are evolving from software and sciences and so on,
[00:52:23.940 --> 00:52:28.500]   do end up playing out. It's going to be ugly. And what will happen is you'll end up seeing
[00:52:28.500 --> 00:52:31.620]   the asymmetry. You'll see the like, "Oh my gosh, it's something that's a thousand X,
[00:52:31.620 --> 00:52:35.940]   100X return." It'll become $100 billion public company or $200 billion public company.
[00:52:35.940 --> 00:52:37.380]   And then there'll be a bunch of them that are going to die.
[00:52:37.380 --> 00:52:41.620]   And people are going to focus on the depths and say this was overhyped. The bubble is over.
[00:52:41.620 --> 00:52:43.860]   But the reality is the index of companies today,
[00:52:43.860 --> 00:52:46.820]   I would be willing to bet 20 to 30 years from now is worth more than the
[00:52:46.820 --> 00:52:49.300]   $46 trillion of all the public companies today.
[00:52:49.300 --> 00:52:53.220]   So Chamath, one of the things we're seeing here, and you're playing a small part in it,
[00:52:53.220 --> 00:52:54.900]   or a large part, depending on who you talk to,
[00:52:54.900 --> 00:52:59.860]   we now have over 6,000 publicly traded companies on US exchanges.
[00:52:59.860 --> 00:53:02.340]   No, we have less than 4,000. We have about 3,800.
[00:53:02.340 --> 00:53:08.980]   Okay. No, we had 3,600 in 2016, according to the research I have here. According to MarketWatch,
[00:53:08.980 --> 00:53:11.380]   6,000 public traded companies in US exchanges. So what's the right number here?
[00:53:11.380 --> 00:53:14.260]   They could be counting the pink sheets and over-the-counter stuff, which is...
[00:53:14.260 --> 00:53:16.740]   Oh, okay. Got it. We're seeing dramatically more publicly traded
[00:53:16.740 --> 00:53:23.220]   companies. Many speculative ones or ones where you're getting to buy in in year four, five,
[00:53:23.220 --> 00:53:29.140]   or six. Obviously, you're part of that with all the different IPOAs through... What are you up to
[00:53:29.140 --> 00:53:33.540]   now? What's the... Yeah, we have six tech SPACs. We have four biotech SPACs.
[00:53:33.540 --> 00:53:36.580]   Perfect. I mean, I've started or invested in a bunch
[00:53:36.580 --> 00:53:41.860]   of others that have gone public. So let's look at this through the lens of the public markets as
[00:53:41.860 --> 00:53:46.660]   well. My macro view is exactly what Friedberg said. We are much better off with the
[00:53:46.660 --> 00:53:53.380]   many technology companies being birthed and being viable because over the long arc of time,
[00:53:53.380 --> 00:53:58.580]   those companies will rebuild things that are today inefficient and broken in a better way.
[00:53:58.580 --> 00:54:06.100]   The world becomes better. The question is for a lot of people, well, what if the wealth isn't
[00:54:06.100 --> 00:54:11.620]   better because it's only a fraction of the number of people with a very specific skill set that
[00:54:11.620 --> 00:54:16.580]   many other people don't have? That I think is a valid argument. But then there's a different way to
[00:54:16.580 --> 00:54:21.780]   attack this problem, which is you could actually do something really meaningful around corporate
[00:54:21.780 --> 00:54:29.300]   interest rates and corporate tax policy that would then get it. Even if those thousand companies,
[00:54:29.300 --> 00:54:34.100]   if you assume that that $3.4 trillion, 10Xs, that's $34 trillion of eventual market cap.
[00:54:34.100 --> 00:54:37.220]   That's going to be supported by trillions of dollars of earnings.
[00:54:37.220 --> 00:54:41.700]   But maybe those things only have a million or two million employees, but there's eight billion,
[00:54:41.700 --> 00:54:46.500]   eight odd people in the world. Well, the way you get the money into the government's coffers so that they
[00:54:46.500 --> 00:54:51.220]   can reallocate it to everybody that doesn't work at those thousand companies is through sensible
[00:54:51.220 --> 00:54:57.700]   tax policy that goes after the companies because those companies will still do the job. It's not
[00:54:57.700 --> 00:55:02.980]   like you're going to choose to not work at a world-beating startup in a mission that you care
[00:55:02.980 --> 00:55:08.820]   about because of the corporate tax rate. Nobody's going to do that. I think this is where if you
[00:55:08.820 --> 00:55:14.740]   actually take a step back and think of the bigger picture, the answer is right in front of us. We
[00:55:14.740 --> 00:55:16.420]   just choose not to listen. This is why
[00:55:16.420 --> 00:55:23.220]   again, what Trump did was stupid. He focused on corporate tax policy, cutting it unnecessarily.
[00:55:23.220 --> 00:55:27.780]   Now what we're doing is we're fighting over tax policy. Part of the reason why this bill
[00:55:27.780 --> 00:55:30.900]   isn't going to get passed is because of corporate tax policy and trying to raise it again.
[00:55:30.900 --> 00:55:36.900]   Really, what we should do is actually raise it, leave personal rates roughly where they are. Elon
[00:55:36.900 --> 00:55:43.060]   even said when asked by Kara Swisher this week, he's like, "I pay 53% taxes. What about you?"
[00:55:43.060 --> 00:55:45.380]   Yeah. It's going to 57%.
[00:55:46.340 --> 00:55:49.060]   53%, 57%, 61%. Who cares?
[00:55:49.060 --> 00:55:50.660]   Sure. Whatever. It's all the same.
[00:55:50.660 --> 00:55:54.420]   He has to... The point he made was, listen, the ProPublica article was
[00:55:54.420 --> 00:55:59.940]   really disingenuous. They said he got a tax refund and they never explained,
[00:55:59.940 --> 00:56:05.220]   "Well, that's because he overpaid his taxes massively the year before." They're selectively
[00:56:05.220 --> 00:56:10.900]   pulling information. The fact is he said, "I will be the first money into SpaceX and Tesla.
[00:56:10.900 --> 00:56:16.260]   I'll be the last money out." That is something we want more founders to do, which is
[00:56:16.260 --> 00:56:19.540]   never sell their shares and have more skin in the game.
[00:56:19.540 --> 00:56:24.900]   Sorry. I'm sorry. I disagree with that. I think that that's a bunch of fucking malarkey.
[00:56:24.900 --> 00:56:25.620]   Why?
[00:56:25.620 --> 00:56:28.500]   If you choose to not sell, so be it.
[00:56:28.500 --> 00:56:29.220]   Okay.
[00:56:29.220 --> 00:56:33.460]   But look at the good that Bill Gates has done by selling down Microsoft.
[00:56:33.460 --> 00:56:35.620]   Well, I mean, yeah.
[00:56:35.620 --> 00:56:38.900]   COVAX shouldn't exist. The Bill Gates Foundation shouldn't exist.
[00:56:38.900 --> 00:56:39.380]   No, no, no, no.
[00:56:39.380 --> 00:56:42.100]   All the reproductive protection. It had to be paid somehow.
[00:56:42.100 --> 00:56:44.980]   He did that when he hit 60 years old. I'm sure when other-
[00:56:44.980 --> 00:56:46.180]   No. No.
[00:56:46.180 --> 00:56:48.660]   He started to do it when he was 40 years old, Jason.
[00:56:48.660 --> 00:56:53.940]   Elon sold PayPal and he was able to use that money to reinvest in Tesla and SpaceX.
[00:56:53.940 --> 00:56:59.620]   I think Elon's putting all the money back into two companies that are solving two major issues
[00:56:59.620 --> 00:57:00.100]   for humanity.
[00:57:00.100 --> 00:57:02.660]   But he wouldn't have been able to do that if he hadn't sold in the first place.
[00:57:02.660 --> 00:57:08.580]   Exactly. My point is, let's not conflate the problem. If you generate wealth,
[00:57:08.580 --> 00:57:16.100]   I think that you should be bound, morally bound by society to put the money back to work.
[00:57:16.100 --> 00:57:20.420]   He chooses to put the money back to work by reinvesting so aggressively into the things
[00:57:20.420 --> 00:57:21.860]   that he's doing. That's laudable.
[00:57:21.860 --> 00:57:24.260]   Yeah, I think that's virtuous. Yeah.
[00:57:24.260 --> 00:57:27.460]   I agree. But it's not the only way. Bill Gates took a different path,
[00:57:27.460 --> 00:57:32.020]   which is to basically take all those profits, sell it down, to then be able to go and put it
[00:57:32.020 --> 00:57:36.180]   into the Gates Foundation. People will take multiple paths. The point that's the same among
[00:57:36.180 --> 00:57:40.180]   all these people is there's a moral obligation they feel to do the right thing for the future.
[00:57:40.180 --> 00:57:41.460]   Agreed. Then we're in agreement.
[00:57:41.460 --> 00:57:45.220]   Let's just celebrate that, not some tactical thing about buying and selling stock.
[00:57:45.220 --> 00:57:46.020]   By the way, one other-
[00:57:46.020 --> 00:57:52.260]   One other point I'd make, Chamath. You said that we should tax the wealth creation and distribute
[00:57:52.260 --> 00:57:57.460]   it. There's another way to get that redistribution of wealth, which is to enable access to the
[00:57:57.460 --> 00:58:03.300]   investments earlier by public pension funds, by the endowments, by the places where people,
[00:58:03.300 --> 00:58:09.300]   by the retirement funds, where a broader swath of the population have savings sitting.
[00:58:09.300 --> 00:58:11.380]   Change the accreditation laws.
[00:58:11.380 --> 00:58:15.940]   We've historically forced the narrative that everyone in the United States needs to have a home
[00:58:15.940 --> 00:58:19.780]   and have 80, 90% of their wealth tied up in a piece of real estate. Then we end up with these
[00:58:19.780 --> 00:58:25.380]   massive inflationary bubbles to keep that book value growing for them. The reality is if that
[00:58:25.380 --> 00:58:30.580]   money was put more productively into building businesses via retirement funds that had access
[00:58:30.580 --> 00:58:34.900]   to venture capital, the public pension funds already do, but they probably under-allocate
[00:58:34.900 --> 00:58:37.700]   to venture capital today relative to where they're putting their overall funds.
[00:58:37.700 --> 00:58:39.460]   We talked about the endowments are crushing it.
[00:58:39.460 --> 00:58:40.020]   Look at the returns.
[00:58:40.020 --> 00:58:42.900]   That's another way. By the way, if that was the model, you wouldn't need to tax.
[00:58:42.900 --> 00:58:45.860]   Well, by the way, one of the brilliant provisions in this,
[00:58:45.860 --> 00:58:50.660]   reconciliation bill is they're actually disallowing retirement funds to invest in
[00:58:50.660 --> 00:58:55.220]   alternative assets, including startups and venture capital funds.
[00:58:55.220 --> 00:58:58.740]   Insane. That is so wrong. So frigging wrong.
[00:58:58.740 --> 00:58:58.980]   Yeah.
[00:58:58.980 --> 00:59:00.100]   What?
[00:59:00.100 --> 00:59:00.740]   That's in there.
[00:59:00.740 --> 00:59:07.460]   They literally are taking pension funds and saying, you can't have access to them.
[00:59:07.460 --> 00:59:15.780]   You as an individual through a 401k or IRA cannot invest in alternative assets.
[00:59:15.780 --> 00:59:17.460]   Yes, partly in response to that.
[00:59:17.460 --> 00:59:20.740]   Well, they should just make it a cap. Don't you think they should cap Peter Thiel's
[00:59:20.740 --> 00:59:23.620]   massive gain?
[00:59:23.620 --> 00:59:25.940]   Why? Why cap anything? Who's to say?
[00:59:25.940 --> 00:59:30.020]   Well, because it was against the spirit of it. The spirit of the Roth was, let's discuss this
[00:59:30.020 --> 00:59:35.380]   as a specific issue. I'll tee it up for you, Sax. Peter Thiel put his Facebook stock in his Roth.
[00:59:35.380 --> 00:59:40.420]   And yeah, you're supposed to get that tax free so you can have a great retirement.
[00:59:40.420 --> 00:59:45.460]   He did that as an end run around paying taxes on the Facebook investment that became worth billions
[00:59:45.460 --> 00:59:50.340]   of dollars reportedly. So now they're saying you can have a Roth, but anything above 50 billion,
[00:59:50.340 --> 00:59:54.580]   you got to pay tax on because the goal here isn't for you to use it as a shelter
[00:59:54.580 --> 00:59:58.420]   against some massive venture gains, Sax.
[00:59:58.420 --> 01:00:04.340]   I don't have a huge problem with them putting a cap on the benefit of these accounts. However,
[01:00:04.340 --> 01:00:09.060]   my issue with what's in the bill, there's a couple of issues. One is like we said, they're disallowing
[01:00:09.060 --> 01:00:13.620]   investments and alternatives, which I just think is bad for savers. Why would you want to do that?
[01:00:13.620 --> 01:00:14.100]   Terrible.
[01:00:14.100 --> 01:00:14.500]   Second,
[01:00:14.500 --> 01:00:14.820]   Super.
[01:00:14.820 --> 01:00:15.380]   Yeah.
[01:00:15.380 --> 01:00:16.420]   I mean, I think it's a good point. I think it's a good point. I think it's a good point,
[01:00:16.420 --> 01:00:19.780]   because it's just a matter of what happens when you exceed the cap. And right now what they're
[01:00:19.780 --> 01:00:26.500]   saying is you have to distribute out all of those funds and then subject them to immediate taxation
[01:00:26.500 --> 01:00:31.620]   at ordinary income rates, which is confiscatory because you could have made the investment
[01:00:31.620 --> 01:00:36.420]   outside the retirement account and paid long term cap gains rates.
[01:00:36.420 --> 01:00:38.900]   If you do go over, it should be long term tax, of course.
[01:00:38.900 --> 01:00:42.420]   Yeah. And furthermore, it's even worse than that, because what they're saying is,
[01:00:42.420 --> 01:00:44.260]   let's say that you do have an alternative.
[01:00:45.060 --> 01:00:50.100]   Like an investment in a startup or a venture fund, you have to distribute it out and pay tax on that,
[01:00:50.100 --> 01:00:52.260]   even though that investment is not liquid.
[01:00:52.260 --> 01:00:55.780]   Right. So you should be able to take it out and just be treated normal cap gains
[01:00:55.780 --> 01:00:57.700]   and not have to liquidate it. Do you think?
[01:00:57.700 --> 01:01:01.380]   Well, what it's going to do is it's going to get it's going to give people an incentive. It's going
[01:01:01.380 --> 01:01:05.220]   to warp the incentives for saving because what it's going to say to people is you want to do well,
[01:01:05.220 --> 01:01:06.420]   but not too well.
[01:01:06.420 --> 01:01:06.580]   Right.
[01:01:06.580 --> 01:01:09.860]   Because if you hit the cap, you're now subject to a confiscation.
[01:01:09.860 --> 01:01:11.220]   You get penalized. Yes, it should be.
[01:01:11.220 --> 01:01:14.980]   So it shouldn't be a penalty. Yeah, exactly. I think the way to work is,
[01:01:14.980 --> 01:01:19.700]   you have a cap at any distribution above that, you basically that becomes the basis for future
[01:01:19.700 --> 01:01:20.260]   taxation.
[01:01:20.260 --> 01:01:23.940]   I think all of this can be summarized more simply, I think that we have,
[01:01:23.940 --> 01:01:31.220]   unfortunately gotten so confused, that we've decided to fix the finish line
[01:01:31.220 --> 01:01:36.100]   and stagger the starting line. Right? Because all of this still doesn't apply to rich people.
[01:01:36.100 --> 01:01:38.100]   No, this is vindictive against people.
[01:01:38.100 --> 01:01:41.460]   Rich people can do all of these different things. They can set up these
[01:01:41.460 --> 01:01:44.660]   out of state trust, they can set up generation skipping trust, they can be,
[01:01:44.660 --> 01:01:51.700]   you know, qualified investors, they can have QSBS deductions. And so what this will do,
[01:01:51.700 --> 01:01:59.140]   unfortunately, is entrenched the kind of wealth gains that Peter Thiel was able to generate in a
[01:01:59.140 --> 01:02:04.020]   very visible way that will just piss everybody off. And I think instead, you got to go back
[01:02:04.020 --> 01:02:11.540]   to a different litmus test. So, Jason, you have been the strongest advocate for
[01:02:11.540 --> 01:02:14.340]   letting people participate in the economy. I have always agreed.
[01:02:14.340 --> 01:02:19.620]   I've always agreed with that. We need to figure out how we can make sure that it isn't abused.
[01:02:19.620 --> 01:02:24.980]   But that's the best way is to educate folks about financial literacy so that they can actually be a
[01:02:24.980 --> 01:02:29.780]   part of it. Even the starting line, let everybody be able to put stuff into this stuff and learn
[01:02:29.780 --> 01:02:30.500]   about it.
[01:02:30.500 --> 01:02:33.620]   I mean, what Peter did essentially was put lottery tickets into his,
[01:02:33.620 --> 01:02:39.380]   you know, non tax retirement fund, lottery tickets being buying stocks in private companies early.
[01:02:39.380 --> 01:02:44.020]   But regular Americans aren't allowed to do that. So rather than retroactively try to
[01:02:44.020 --> 01:02:47.940]   penalize Peter because you disagree with his politics, or because he did it too well,
[01:02:47.940 --> 01:02:52.260]   I think it's better that everybody be allowed to be an accredited investor and do what Peter did,
[01:02:52.260 --> 01:02:57.060]   which is everybody should be able to take their 401k or their Roth and be able to buy
[01:02:57.060 --> 01:03:01.140]   the next LinkedIn Uber. So if you were a civilian and you took an Uber,
[01:03:01.140 --> 01:03:06.420]   or you use LinkedIn to hire somebody in year two, and you had an opportunity to buy those shares,
[01:03:06.420 --> 01:03:10.100]   you should be allowed to buy it because you're a human resources person or Uber driver and you
[01:03:10.100 --> 01:03:13.460]   realize this is a great service that will change the world. It doesn't take a genius to figure that
[01:03:13.460 --> 01:03:14.980]   out. Freebird?
[01:03:14.980 --> 01:03:20.820]   Yeah, look, I mean, the downside is you see speculative concentrated bets that white people
[01:03:20.820 --> 01:03:25.380]   out. That's the reason the protective provisions are in there. So I think there are probably
[01:03:25.380 --> 01:03:33.620]   sensible ways of managing that, you know, around, you know, qualifying, you know, pools of these
[01:03:33.620 --> 01:03:38.820]   investments in a way creating indexes against them, etc. And maybe that's the right way to
[01:03:38.820 --> 01:03:43.060]   provide access. But you know, giving individuals that maybe, you know,
[01:03:43.060 --> 01:03:48.020]   don't have the right kind of point of view on a particular investment, the ability to put all of
