
[00:00:00.000 --> 00:00:06.080]   So good morning, everyone.
[00:55:18.820 --> 00:55:20.780]   train it for.
[00:55:20.780 --> 00:55:25.540]   I think that you probably could do the same kind of training with terrain.
[00:55:25.540 --> 00:55:28.180]   I didn't have any terrain, so I didn't try it.
[00:55:28.180 --> 00:55:30.940]   But that would be nice to try.
[00:55:30.940 --> 00:55:35.540]   OK, I'm going to move on to the next part of the talk.
[00:55:35.540 --> 00:55:42.500]   Feel free, if you have more questions, to find me afterwards.
[00:55:42.500 --> 00:55:54.100]   OK, so now I'm going to talk about a different type of reinforcement learning algorithm.
[00:55:54.100 --> 00:56:03.140]   So the previous methods are distinguished by the fact that they explicitly represent
[00:56:03.140 --> 00:56:06.500]   a policy, which is the function that chooses your actions.
[00:56:06.500 --> 00:56:10.700]   And they try to optimize it with respect to the parameters of the policy.
[00:56:10.700 --> 00:56:14.860]   So the nice thing about the policy gradient methods we just talked about is that you're
[00:56:14.860 --> 00:56:18.100]   optimizing the thing you care about.
[00:56:18.100 --> 00:56:20.100]   And you're optimizing it with gradient descent.
[00:56:20.100 --> 00:56:23.880]   So that makes it kind of easy to understand what's going on.
[00:56:23.880 --> 00:56:28.540]   Because if you're getting the proper gradient estimate, and you take small enough steps,
[00:56:28.540 --> 00:56:29.540]   then you should be improving.
[00:56:29.540 --> 00:56:32.740]   I mean, of course, you still could get stuck in a local minimum.
[00:56:32.740 --> 00:56:36.460]   But at least-- or you get stuck in a bad local minimum.
[00:56:36.460 --> 00:56:37.940]   But at least it's a local minimum.
[00:56:37.940 --> 00:56:44.080]   And you can use our understanding of optimization to figure out what's going on.
[00:56:44.080 --> 00:56:48.580]   So these next class of methods are a little different, because they're not optimizing
[00:56:48.580 --> 00:56:50.260]   the policy directly.
[00:56:50.260 --> 00:56:55.860]   They're learning something else called a Q function, which measures how good state-action
[00:56:55.860 --> 00:56:56.860]   pairs are.
[00:56:56.860 --> 00:57:00.620]   So it measures-- I'll say that more formally later.
[00:57:00.620 --> 00:57:04.020]   But it's just measuring how good the actions are.
[00:57:04.020 --> 00:57:15.700]   And these methods are actually-- these are able to exactly solve MDPs efficiently in
[00:57:15.700 --> 00:57:19.620]   the setting where you have a finite number of states and actions.
[00:57:19.620 --> 00:57:25.100]   So these are the preferred methods for exactly solving them in those settings.
[00:57:25.100 --> 00:57:34.460]   But you can also apply them with continuous states and actions, and using expressive function
[00:57:34.460 --> 00:57:37.500]   approximators like neural networks.
[00:57:37.500 --> 00:57:41.860]   But it's a little harder to understand what's going on in these methods, like when they're
[00:57:41.860 --> 00:57:45.000]   going to work and when they're not going to work.
[00:57:45.000 --> 00:57:50.380]   So I'll define the relevant quantities here.
[00:57:50.380 --> 00:57:57.020]   So the Q function is defined as the expected sum of rewards when we condition on the first
[00:57:57.020 --> 00:57:59.180]   state and the first action.
[00:57:59.180 --> 00:58:08.380]   So we're conditioning on S0 equals S, A0 equals A. And the Q function is the expected
[00:58:08.380 --> 00:58:14.620]   discounted sum of rewards when we're acting under the policy pi.
[00:58:14.620 --> 00:58:20.900]   So by convention, I'm starting out with time step 0.
[00:58:20.900 --> 00:58:27.740]   I could have also said that we're taking RT plus RT plus 1 plus RT plus 2 and so on.
[00:58:27.740 --> 00:58:32.520]   But since we're assuming the system is stationary, it should be exactly the same.
[00:58:32.520 --> 00:58:36.900]   So just by convention, I'm going to say that the first-- I'm going to always use time 0,
[00:58:36.900 --> 00:58:41.980]   1, 2, 3, and so on, just for ease of notation.
[00:58:41.980 --> 00:58:46.240]   So the Q function is just telling you how good this state action pair is under your
[00:58:46.240 --> 00:58:48.020]   current policy.
[00:58:48.020 --> 00:58:54.340]   The value function-- well, the state value function, usually called V, is just conditioning
[00:58:54.340 --> 00:58:57.820]   on the state.
[00:58:57.820 --> 00:59:02.520]   It's telling you how good that state is, what's the expected reward of that state.
[00:59:02.520 --> 00:59:07.080]   And lastly, the advantage function is the difference between the Q function and the
[00:59:07.080 --> 00:59:11.700]   state value function, meaning how much better is that action than what the policy would
[00:59:11.700 --> 00:59:14.180]   have done.
[00:59:14.180 --> 00:59:18.020]   We're not going to talk about advantage functions in this section, but it was actually-- this
[00:59:18.020 --> 00:59:23.300]   corresponds to the notion of an advantage estimator we briefly mentioned in the previous
[00:59:23.300 --> 00:59:26.140]   section.
[00:59:26.140 --> 00:59:30.860]   So here, we're going to consider methods that explicitly store and update the Q function
[00:59:30.860 --> 00:59:41.620]   instead of the policy, and updates them using what are called Bellman equations.
[00:59:41.620 --> 00:59:46.780]   So the Bellman equation-- so a Bellman equation, in general, is a consistency equation that
[00:59:46.780 --> 00:59:51.100]   should be satisfied by a value function.
[00:59:51.100 --> 00:59:55.780]   So here, I'm writing down the Bellman equation for Q pi.
[00:59:55.780 --> 01:00:04.460]   And what it's saying is that the expected sum of rewards should be the first reward
[01:00:04.460 --> 01:00:08.500]   plus this expected sum of rewards after the first time step.
[01:00:08.500 --> 01:00:10.820]   So it's saying something pretty simple.
[01:00:10.820 --> 01:00:12.940]   So R0 is the first reward.
[01:00:12.940 --> 01:00:22.380]   V pi of S1 is just adding up all the rewards after time step 0.
[01:00:22.380 --> 01:00:29.380]   So in the second equation, we write out this relationship just involving the Q function.
[01:00:29.380 --> 01:00:37.640]   So we have a consistency equation that the Q function should satisfy.
[01:00:37.640 --> 01:00:42.860]   We can slightly generalize this to use k time steps instead of just one time step.
[01:00:42.860 --> 01:00:49.920]   So we can expand out the expectation-- the expected sum of rewards to write out k rewards
[01:00:49.920 --> 01:00:55.240]   explicitly and then cap it off with the value function at the very end, which accounts for
[01:00:55.240 --> 01:00:58.640]   all the rewards after that.
[01:00:58.640 --> 01:01:03.620]   OK, so here's the Bellman equation from the previous slide.
[01:01:03.620 --> 01:01:11.340]   So now I'm going to introduce a very important concept called the Bellman backup.
[01:01:11.340 --> 01:01:17.280]   So we have this equation that the value function Q pi should satisfy.
[01:01:17.280 --> 01:01:20.080]   But let's assume we don't know Q pi.
[01:01:20.080 --> 01:01:24.880]   So let's say we have some other Q function.
[01:01:24.880 --> 01:01:31.280]   So we define this Bellman backup operator that operates on an arbitrary Q function.
[01:01:31.280 --> 01:01:34.400]   So it maps a Q function to a new Q function.
[01:01:34.400 --> 01:01:39.640]   And it's defined by just taking the right-hand side of the Bellman equation and plugging
[01:01:39.640 --> 01:01:50.280]   in our new Q function Q instead of the Q pi.
[01:01:50.280 --> 01:01:57.200]   So Q pi is a fixed point of this operator, meaning if we apply the backup operator, we
[01:01:57.200 --> 01:02:00.980]   get the same thing back.
[01:02:00.980 --> 01:02:08.600]   And very nicely, if we keep applying this backup operator repeatedly to any old arbitrary
[01:02:08.600 --> 01:02:15.640]   initial Q function Q, the series will converge to Q pi, which is the fixed point of the operator.
[01:02:15.640 --> 01:02:27.200]   So that's-- yeah, so that's-- so that way you can-- one way-- you can use an iterative
[01:02:27.200 --> 01:02:32.680]   algorithm to estimate Q pi by taking any old initial Q function and repeatedly applying
[01:02:32.680 --> 01:02:36.380]   this backup operator.
[01:02:36.380 --> 01:02:42.200]   So now there's another kind of Q function that we're going to introduce called Q star.
[01:02:42.200 --> 01:02:47.800]   So the previous Q function Q pi was-- this is the-- telling you the value function under
[01:02:47.800 --> 01:02:50.220]   the current-- under some policy pi.
[01:02:50.220 --> 01:02:54.800]   So it only makes sense with regard to some particular fixed policy pi.
[01:02:54.800 --> 01:03:02.920]   Q star is going to be-- is going to involve the optimal policy instead.
[01:03:02.920 --> 01:03:06.720]   So Q star is just defined as the Q function of the optimal policy.
[01:03:06.720 --> 01:03:11.680]   So here we have pi star, the optimal policy, and Q star is just the Q function of the optimal
[01:03:11.680 --> 01:03:12.800]   policy.
[01:03:12.800 --> 01:03:21.000]   And it also happens to be the pointwise maximum over all policies of the Q function at each
[01:03:21.000 --> 01:03:25.920]   state action pair.
[01:03:25.920 --> 01:03:34.220]   So the optimal policy is deterministic, and it should satisfy this equation that it takes
[01:03:34.220 --> 01:03:36.800]   the argmax of the optimal Q function.
[01:03:36.800 --> 01:03:43.340]   So recall that the Q function tells you your expected return if you take the given action.
[01:03:43.340 --> 01:03:48.220]   So obviously the optimal policy should take the action that has the best expected return.
[01:03:48.220 --> 01:03:58.000]   So that's why this last equation is evident.
[01:03:58.000 --> 01:04:06.200]   So now that we know this property of the optimal policy, we can rewrite the Bellman equation.
[01:04:06.200 --> 01:04:10.200]   So on the-- that first equation is-- that's just the Bellman equation from the previous
[01:04:10.200 --> 01:04:12.880]   slides for a given policy pi.
[01:04:12.880 --> 01:04:18.880]   Now we can take that expectation over actions and replace it by what the optimal policy
[01:04:18.880 --> 01:04:23.660]   is going to do, which is just going to take-- it's going to take the argmax of the optimal
[01:04:23.660 --> 01:04:24.660]   Q function.
[01:04:24.660 --> 01:04:26.180]   There's a typo on my slide.
[01:04:26.180 --> 01:04:32.820]   That should say Q star inside-- on the right-hand side.
[01:04:32.820 --> 01:04:39.340]   So now we have a Bellman equation that the optimal policy should satisfy.
[01:04:39.340 --> 01:04:42.480]   Now we can do the same thing with the backup operator.
[01:04:42.480 --> 01:04:49.300]   So we take that Bellman equation and we plug in an arbitrary Q function on the right-hand
[01:04:49.300 --> 01:04:54.900]   side instead of the optimal Q function Q star.
[01:04:54.900 --> 01:04:59.880]   So Q star is a fixed point of this Bellman operator.
[01:04:59.880 --> 01:05:04.300]   That's just a restatement of the Bellman equation.
[01:05:04.300 --> 01:05:11.340]   And again, if we reply this Bellman operator repeatedly to an arbitrary initial Q function,
[01:05:11.340 --> 01:05:16.900]   it converges to Q star, which is the optimal Q function.
[01:05:16.900 --> 01:05:19.940]   This is the Banach fixed point theorem in both cases.
[01:05:19.940 --> 01:05:24.140]   It can be used to prove it.
[01:05:24.140 --> 01:05:26.460]   OK.
[01:05:26.460 --> 01:05:33.340]   So based on these ideas, there are two classic algorithms for exactly solving MDPs.
[01:05:33.340 --> 01:05:36.740]   These are sometimes called dynamic programming algorithms because they're actually quite
[01:05:36.740 --> 01:05:44.420]   related to the kind of dynamic programming algorithms that are used to solve search problems.
[01:05:44.420 --> 01:05:46.500]   So one is called value iteration.
[01:05:46.500 --> 01:05:49.900]   And you just initialize your Q function arbitrarily.
[01:05:49.900 --> 01:05:56.100]   And you repeatedly do Bellman backups until it converges.
[01:05:56.100 --> 01:05:59.420]   The second one is called policy iteration.
[01:05:59.420 --> 01:06:02.580]   You initialize your policy arbitrarily.
[01:06:02.580 --> 01:06:12.880]   Then each step, you first compute either exactly or approximately the Q function of that policy.
[01:06:12.880 --> 01:06:17.580]   And then you update your policy to be the greedy policy for the Q function you just
[01:06:17.580 --> 01:06:19.020]   computed.
[01:06:19.020 --> 01:06:24.500]   So that means that your new policy just takes the argmax of the Q function.
[01:06:24.500 --> 01:06:31.700]   So it takes the action that's best according to that Q function.
[01:06:31.700 --> 01:06:35.100]   So I didn't say anything about how you compute Q pi.
[01:06:35.100 --> 01:06:37.340]   So one way to do it is to compute it.
[01:06:37.340 --> 01:06:41.740]   You can compute it exactly because it happens that the Bellman equation for Q pi is a linear
[01:06:41.740 --> 01:06:43.500]   system of equations.
[01:06:43.500 --> 01:06:46.820]   So often you can just solve them exactly.
[01:06:46.820 --> 01:06:50.540]   More commonly, well, if you have a large scale problem, you might not be able to solve this
[01:06:50.540 --> 01:06:51.620]   system.
[01:06:51.620 --> 01:06:58.380]   So what people often do is they do a finite number of Bellman backups, which doesn't
[01:06:58.380 --> 01:07:04.700]   exactly converge on Q pi, but it gives you something that's approximately Q pi.
[01:07:04.700 --> 01:07:12.060]   Okay, so that's, I just told you algorithms that you can implement if you have full access
[01:07:12.060 --> 01:07:13.300]   to the MDP.
[01:07:13.300 --> 01:07:16.180]   Like you know the whole table of probabilities.
[01:07:16.180 --> 01:07:20.380]   But in reinforcement learning, usually the assumption is that you don't know any of these
[01:07:20.380 --> 01:07:21.740]   probability distributions.
[01:07:21.740 --> 01:07:22.900]   You don't know their reward function.
[01:07:22.900 --> 01:07:24.980]   You don't know the transition probabilities.
[01:07:24.980 --> 01:07:30.540]   So all of these things have to be estimated from data or you're only able to access the
[01:07:30.540 --> 01:07:32.500]   system through interaction.
[01:07:32.500 --> 01:07:39.340]   So now it turns out that these algorithms can be also implemented if you only access
[01:07:39.340 --> 01:07:45.260]   the system through interactions, which is kind of remarkable, I think.
[01:07:45.260 --> 01:07:53.620]   So the way it works is, so let's recall our backup formulas for Q pi and Q star.
[01:07:53.620 --> 01:08:02.620]   So, we can, in both cases, we have this certain quantity inside an expectation.
[01:08:02.620 --> 01:08:10.260]   In both cases, we can compute an unbiased estimator of that quantity inside the expectation,
[01:08:10.260 --> 01:08:11.780]   just using a single sample.
[01:08:11.780 --> 01:08:21.580]   Meaning if we sampled some data from our system using any old policy, then we can get an unbiased
[01:08:21.580 --> 01:08:26.300]   estimator of the quantity on the right-hand side of those expectations.
[01:08:26.300 --> 01:08:31.980]   I mean the quantity inside of the right-hand expectations.
[01:08:31.980 --> 01:08:41.980]   So basically we can do an approximate version of this Bellman backup, which is unbiased.
[01:08:41.980 --> 01:08:46.040]   And even with this noise, so we're doing a noisy version of the Bellman backup.
[01:08:46.040 --> 01:08:50.500]   Even with this noise, it can be proven that if you choose your step sizes appropriately
[01:08:50.500 --> 01:08:58.860]   with the right schedule, you're still gonna converge to Q pi or Q star, depending on which
[01:08:58.860 --> 01:09:01.460]   algorithm you're implementing.
[01:09:01.460 --> 01:09:08.700]   Okay, so now, well I'll say at this point that this is pretty much the fundamental idea.
[01:09:08.700 --> 01:09:15.840]   And now you can come up with algorithms that can be applied in the reinforcement learning
[01:09:15.840 --> 01:09:18.820]   setting where you're just accessing the system through sampling.
[01:09:18.820 --> 01:09:23.100]   And you can also start introducing function approximation here.
[01:09:23.100 --> 01:09:26.500]   So I haven't said anything about what the Q function is.
[01:09:26.500 --> 01:09:29.460]   I've just told you it's a function of state and action.
[01:09:29.460 --> 01:09:36.120]   But now we can start having neural network Q functions, for example.
[01:09:36.120 --> 01:09:39.620]   So we can parameterize the Q function with the neural network.
[01:09:39.620 --> 01:09:41.960]   Let's call it Q theta.
[01:09:41.960 --> 01:09:46.980]   And now, instead of doing the Bellman backup, I mean it doesn't make sense to do the Bellman
[01:09:46.980 --> 01:09:52.420]   backup exactly because we're not just setting the values of the neural network output.
[01:09:52.420 --> 01:09:57.980]   The best we can do is try to encourage the neural network to have some output values.
[01:09:57.980 --> 01:10:03.140]   So what we do is, instead of doing the- the way we do this backup is we set up a least
[01:10:03.140 --> 01:10:04.700]   squares problem.
[01:10:04.700 --> 01:10:10.200]   So we write down this quadratic objective that says that the Q function should be approximately
[01:10:10.200 --> 01:10:11.760]   equal to the backed up value.
[01:10:11.760 --> 01:10:16.380]   And then we just minimize it with SGD.
[01:10:16.380 --> 01:10:20.900]   So one version of this algorithm, which was introduced about 10 years ago, called neural
[01:10:20.900 --> 01:10:23.260]   fitted Q iteration.
[01:10:23.260 --> 01:10:25.320]   Well it works exactly the way you'd expect.
[01:10:25.320 --> 01:10:32.940]   You sample trajectories using your current policy, which might be determined by the Q
[01:10:32.940 --> 01:10:37.500]   function or it could be any old policy as it turns out.
[01:10:37.500 --> 01:10:46.340]   And then you solve the least squares problem where you're trying to minimize this quadratic
[01:10:46.340 --> 01:10:52.820]   you try to minimize this quadratic error which is based on the Bellman backup, the backup
[01:10:52.820 --> 01:10:55.500]   for Q star.
[01:10:55.500 --> 01:11:02.020]   So one thing I haven't mentioned so far is what do you actually use as your policy.
[01:11:02.020 --> 01:11:05.040]   So I said sample trajectory using your policy.
[01:11:05.040 --> 01:11:11.100]   So if you have a Q function, you can turn it into a policy by just taking the action
[01:11:11.100 --> 01:11:12.780]   that has the highest Q value.
[01:11:12.780 --> 01:11:14.120]   That's what you typically do.
[01:11:14.120 --> 01:11:16.920]   So the Q function measures the goodness of all your actions.
[01:11:16.920 --> 01:11:22.280]   So you can easily turn that into a policy by taking your best action or by taking actions
[01:11:22.280 --> 01:11:28.780]   where the log probability is proportional to the goodness or something like that.
[01:11:28.780 --> 01:11:36.860]   So you might take typically probability is exponential of Q value over some kind of temperature
[01:11:36.860 --> 01:11:38.600]   parameter.
[01:11:38.600 --> 01:11:40.800]   That's called Boltzmann exploration.
[01:11:40.800 --> 01:11:47.340]   Whereas if you just take the argmax, that's called the greedy policy.
[01:11:47.340 --> 01:11:52.540]   So it turns out that with these kind of Q learning algorithms, you don't have to execute
[01:11:52.540 --> 01:11:57.440]   the greedy policy for learning to work.
[01:11:57.440 --> 01:12:02.700]   You actually have some freedom in what policy you can execute, which is actually one very
[01:12:02.700 --> 01:12:09.520]   nice property of these algorithms that you can use an exploration technique where your
[01:12:09.520 --> 01:12:16.240]   policy is actively trying to reach new states or do something new and still learn the correct,
[01:12:16.240 --> 01:12:24.320]   still converge, still move towards Q star or Q pi as the case may be.
[01:12:24.320 --> 01:12:31.440]   So that's a very basic neural fitted Q iteration is sort of a basic way of doing this.
[01:12:31.440 --> 01:12:36.760]   A more recent algorithm that's gotten a lot of attention is the one that was from Manny
[01:12:36.760 --> 01:12:43.040]   et al from DeepMind, which is basically an online version of this algorithm with a couple
[01:12:43.040 --> 01:12:47.840]   of useful tweaks in it.
[01:12:47.840 --> 01:12:52.960]   But actually when you look at the two tricks, they're actually kind of very, they make a
[01:12:52.960 --> 01:12:56.420]   lot of sense if you just think about what value iteration is doing.
[01:12:56.420 --> 01:13:03.280]   So one technique is you use this replay pool where it's a rolling history of your past
[01:13:03.280 --> 01:13:09.080]   data and that's just the data you're going to use to fit your Q function.
[01:13:09.080 --> 01:13:16.040]   So that makes sure you have like a representative sample of data to fit your Q function to.
[01:13:16.040 --> 01:13:21.440]   And the second idea is to use a target network.
[01:13:21.440 --> 01:13:26.960]   So instead of using your current Q function and just doing Bellman backups on that, you
[01:13:26.960 --> 01:13:29.840]   have some lagged version of your Q function.
[01:13:29.840 --> 01:13:34.240]   So you have this target network which is a copy of your Q function at some earlier time
[01:13:34.240 --> 01:13:35.920]   and you use that in the backups.
[01:13:35.920 --> 01:13:41.440]   So that also, if you think about value iteration, you have your old Q function and you're trying
[01:13:41.440 --> 01:13:44.680]   to make the new one equal to the backed up version of the old one.
[01:13:44.680 --> 01:13:48.560]   So using the target network just is sort of the natural thing to do if you're trying to
[01:13:48.560 --> 01:13:53.600]   implement value iteration in an online way.
[01:13:53.600 --> 01:13:55.880]   And there have been many extensions proposed since then.
[01:13:55.880 --> 01:14:00.360]   I've got a bunch of citations at the bottom of the slide.
[01:14:00.360 --> 01:14:11.920]   So this algorithm, the DQN algorithm, is using the backup B, which is the backup for Q*.
[01:14:11.920 --> 01:14:18.560]   Remember that I also introduced this other backup, B pi, which is the backup for Q pi.
[01:14:18.560 --> 01:14:23.580]   So there's another algorithm, like a very classic algorithm called SARSA, which is an
[01:14:23.580 --> 01:14:28.640]   online way of doing the B pi backup, essentially.
[01:14:28.640 --> 01:14:35.280]   Well, it's sort of an online version of policy iteration.
[01:14:35.280 --> 01:14:41.360]   So it's actually found to work as well, or better than DQN, well, better than using the
[01:14:41.360 --> 01:14:44.980]   B backup in some settings, not all settings.
[01:14:44.980 --> 01:14:51.480]   So I think the jury's still out on exactly how these things compare.
[01:14:51.480 --> 01:14:58.040]   But I think it's worth considering both policy iteration and value iteration and all the
[01:14:58.040 --> 01:15:01.520]   different online versions of these algorithms and taking them seriously.
[01:15:01.520 --> 01:15:08.360]   Because it's not clear right now exactly how they all compare to each other in the function
[01:15:08.360 --> 01:15:12.800]   approximation setting.
[01:15:12.800 --> 01:15:17.380]   So that's the overview of all the technical parts.
[01:15:17.380 --> 01:15:22.360]   And now I just have a couple conclusion slides.
[01:15:22.360 --> 01:15:25.000]   So let me just summarize the current state of affairs.
[01:15:25.000 --> 01:15:30.840]   I introduced two kinds of algorithms, policy gradient algorithms, which explicitly represent
[01:15:30.840 --> 01:15:37.200]   a policy and optimize it, and Q function learning algorithms, which explicitly represent a Q
[01:15:37.200 --> 01:15:42.080]   function, which is the goodness of different actions, and use that to implicitly represent
[01:15:42.080 --> 01:15:44.560]   a policy.
[01:15:44.560 --> 01:15:49.580]   So policy gradient methods, there's a lot of-- so there have been some successes with
[01:15:49.580 --> 01:15:51.740]   different variants of it.
[01:15:51.740 --> 01:15:55.240]   So you have vanilla policy gradient methods.
[01:15:55.240 --> 01:16:03.700]   There is a recent paper on this A3C method, which is an async implementation of it, which
[01:16:03.700 --> 01:16:06.820]   gets very good results.
[01:16:06.820 --> 01:16:12.380]   There's also another kind of methods are the natural policy gradient methods, trust region
[01:16:12.380 --> 01:16:13.380]   methods.
[01:16:13.380 --> 01:16:18.020]   The one I showed you was obtained using trust region policy optimization, which is one of
[01:16:18.020 --> 01:16:20.100]   these in the second category.
[01:16:20.100 --> 01:16:24.820]   So that makes it-- I think these trust region methods and natural policy gradient methods
[01:16:24.820 --> 01:16:31.220]   are more sample efficient than the vanilla methods, because you end up-- you're doing
[01:16:31.220 --> 01:16:34.920]   more than one gradient update with each little bit of data you collect.
[01:16:34.920 --> 01:16:39.900]   So with the vanilla policy gradient, you just compute one little gradient estimate, and
[01:16:39.900 --> 01:16:41.220]   then you throw it away.
[01:16:41.220 --> 01:16:44.740]   With natural policy gradient, you're solving a little optimization problem with it, so
[01:16:44.740 --> 01:16:48.540]   you get more juice out of it.
[01:16:48.540 --> 01:16:54.060]   So that's what we have in the policy gradient world.
[01:16:54.060 --> 01:17:01.900]   And in the Q-function world, we have the DQN algorithm and some of its relatives.
[01:17:01.900 --> 01:17:09.500]   And these are sort of descendants of value iteration, where you're approximating the
[01:17:09.500 --> 01:17:13.360]   Bellman backup using value iteration.
[01:17:13.360 --> 01:17:21.260]   And then SARSA is also-- it's related to policy iteration.
[01:17:21.260 --> 01:17:25.580]   These are both different-- I mean, these are estimating different-- they're dealing with
[01:17:25.580 --> 01:17:29.100]   different Bellman equations, so it's kind of interesting that both kinds of methods
[01:17:29.100 --> 01:17:35.980]   work and they all-- they're both-- they have fairly similar behaviors, as it turns out.
[01:17:35.980 --> 01:17:40.340]   So here's what I would say that-- here's how I would compare them.
[01:17:40.340 --> 01:17:47.060]   And this is anecdotal evidence, but I think this is the consensus right now.
[01:17:47.060 --> 01:17:52.580]   The Q-function methods are more sample efficient when they work, but they don't work as generally
[01:17:52.580 --> 01:17:57.260]   as policy gradient methods, and it's a little harder to figure out what's going on when
[01:17:57.260 --> 01:17:58.940]   they don't work.
[01:17:58.940 --> 01:18:01.980]   And that kind of makes sense, because in the policy gradient methods, you're optimizing
[01:18:01.980 --> 01:18:05.380]   exactly the thing you care about with gradient descent.
[01:18:05.380 --> 01:18:09.660]   Whereas with Q-function methods, you're doing something indirect, where you're trying to
[01:18:09.660 --> 01:18:14.820]   learn a Q-function, and then you're hoping that it gives you a good policy.
[01:18:14.820 --> 01:18:20.660]   And yeah, so I would also point out that there are also some confounds, so it's hard to make
[01:18:20.660 --> 01:18:28.460]   a good conclusion at this point, because people use different time horizons in the policy
[01:18:28.460 --> 01:18:30.980]   gradient methods versus the Q-function methods.
[01:18:30.980 --> 01:18:36.300]   So they do one-step lookaheads on the Q-functions and multi-step lookaheads on the policy gradients.
[01:18:36.300 --> 01:18:43.660]   So it's not clear if the differences come from using different time horizons or some
[01:18:43.660 --> 01:18:47.860]   differences in how the algorithms are working, because you're either doing regression for
[01:18:47.860 --> 01:18:53.980]   a Q-function versus learning a policy using policy gradients.
[01:18:53.980 --> 01:18:59.220]   So just to summarize it, I would say here are some of our core model-free reinforcement
[01:18:59.220 --> 01:19:07.300]   learning algorithms, and they - oh, whoops, I'm missing a word in the first column, which
[01:19:07.300 --> 01:19:11.860]   I think should say reliability and robustness.
[01:19:11.860 --> 01:19:19.420]   So this just means, is it going to work on new problems without parameter tuning, or
[01:19:19.420 --> 01:19:24.260]   is it going to mysteriously either work or not work?
[01:19:24.260 --> 01:19:32.460]   So this would be my slightly sloppy summary of all these different algorithms.
[01:19:32.460 --> 01:19:35.540]   I would say there's still some room for improvement.
[01:19:35.540 --> 01:19:39.540]   There might be some improvements in the basic methods, because there are some nice properties
[01:19:39.540 --> 01:19:44.260]   of the Q-function methods that we don't have in the policy gradient methods.
[01:19:44.260 --> 01:19:49.780]   Like you can easily do off - you can easily explore with a different policy than the one
[01:19:49.780 --> 01:19:54.500]   that you're learning the Q-function for, and that's really important.
[01:19:54.500 --> 01:19:58.380]   You can't do that very easily with policy gradient methods.
[01:19:58.380 --> 01:20:03.380]   Whereas the policy gradient methods just seem like they're more - you can just apply them
[01:20:03.380 --> 01:20:10.100]   and they're more likely to work, and it's well understood what's going on.
[01:20:10.100 --> 01:20:13.980]   So I think, yeah, there's still - I don't know if it's possible to get the best of both
[01:20:13.980 --> 01:20:18.060]   worlds, but that's the hope.
[01:20:18.060 --> 01:20:19.540]   And that's it for my talk.
[01:20:19.540 --> 01:20:20.540]   Thank you.
[01:20:20.540 --> 01:20:21.540]   Any questions?
[01:20:21.540 --> 01:20:39.540]   In model-based reinforcement learning, what lines of research do you find most interesting?
[01:20:39.540 --> 01:20:47.340]   Oh yeah, so in model-based reinforcement learning, what lines of research do I find most interesting?
[01:20:47.340 --> 01:20:51.260]   I think the work from my colleagues on guided policy search is very nice.
[01:20:51.260 --> 01:20:56.740]   So I would say that's a kind of model-based reinforcement learning.
[01:20:56.740 --> 01:21:02.060]   I also like - there's some methods that are using the model for faster learning, like
[01:21:02.060 --> 01:21:03.140]   for variance reduction.
[01:21:03.140 --> 01:21:10.460]   So there's a paper called stochastic value gradients that I like a lot.
[01:21:10.460 --> 01:21:12.640]   I think it's a pretty wide open area.
[01:21:12.640 --> 01:21:18.060]   So I don't think there have been a lot of really compelling results where you're able
[01:21:18.060 --> 01:21:23.060]   to learn extremely fast, like you're able to learn with much better sample efficiency
[01:21:23.060 --> 01:21:24.060]   using a model.
[01:21:24.060 --> 01:21:29.980]   So it seems like that should be possible, but I don't think it's been demonstrated yet.
[01:21:29.980 --> 01:21:34.060]   So maybe in the next couple of years we'll see that happen.
[01:21:34.060 --> 01:21:35.060]   Hello.
[01:21:35.060 --> 01:21:36.060]   Hi.
[01:21:36.060 --> 01:21:40.340]   Thanks for the talk.
[01:21:40.340 --> 01:21:41.340]   So I have a question.
[01:21:41.340 --> 01:21:49.540]   Is it true or not true that most of this problem requires some kind of simulated world to run
[01:21:49.540 --> 01:21:51.700]   experiments in the episodes, right?
[01:21:51.700 --> 01:21:57.500]   Oh yeah, so are you asking does this work in the real world?
[01:21:57.500 --> 01:21:58.500]   Is that the question?
[01:21:58.500 --> 01:21:59.500]   Yeah.
[01:21:59.500 --> 01:22:05.620]   Yeah, I would say it does work if you have a lot of patience and you're willing to execute
[01:22:05.620 --> 01:22:06.820]   this thing for a while.
[01:22:06.820 --> 01:22:12.840]   So the locomotion results I showed add up to about two weeks of real time.
[01:22:12.840 --> 01:22:18.020]   So it's actually not that bad, especially when you consider that toddlers take a while
[01:22:18.020 --> 01:22:22.660]   to learn how to walk properly, even though evolution already puts in a lot of built-in
[01:22:22.660 --> 01:22:24.820]   information.
[01:22:24.820 --> 01:22:31.620]   So I'd say maybe, yeah, I'd say it can be run in the real world.
[01:22:31.620 --> 01:22:36.380]   Some of my colleagues in Berkeley are doing some experiments where they are running just
[01:22:36.380 --> 01:22:39.980]   regular reinforcement learning algorithms in the real world.
[01:22:39.980 --> 01:22:41.300]   Very brave.
[01:22:41.300 --> 01:22:45.860]   But I hope to see some nice results from that soon.
[01:22:45.860 --> 01:22:47.860]   Thank you.
[01:22:47.860 --> 01:22:48.860]   Hi.
[01:22:48.860 --> 01:22:49.860]   Thanks for your talk.
[01:22:49.860 --> 01:22:50.860]   Here, on the other side.
[01:22:50.860 --> 01:22:51.860]   Here.
[01:22:51.860 --> 01:22:52.860]   Yeah.
