
[00:00:00.000 --> 00:00:06.140]   So one of the conflicts we've confronted here is the one between having too little productivity
[00:48:45.320 --> 00:48:50.360]   matter because like results can, results are what moves the needle. So I don't know. I think
[00:48:51.080 --> 00:48:56.680]   the let Brandon Cook idea starts with superstar performers, but begins to change the mindset of
[00:48:56.680 --> 00:49:01.480]   managers. And now you're going to get over time, more flexibility for a lot of other people as well.
[00:49:01.480 --> 00:49:06.920]   All right. Do we have a call this week? We do. All right. Let's hear it.
[00:49:09.880 --> 00:49:20.040]   Hi, Cal. My name's Danny. Long time reader. Big fan. I am a programmer full time. I also have a part time gig
[00:49:20.040 --> 00:49:27.480]   teaching math. The programming relates to math education as well. And although I don't want to quote,
[00:49:27.480 --> 00:49:34.680]   become a writer, I have a book in me about math education. And I kind of wanted to ask you how
[00:49:35.800 --> 00:49:42.040]   one goes about sort of doing writing a book on the side. You know, I've read little things about
[00:49:42.040 --> 00:49:48.520]   the king who wrote a book while he waited for his wife to come to dinner in just those little bits of
[00:49:48.520 --> 00:49:56.360]   time. So I'm just curious if you had any thoughts or tips or had heard things about how people manage the
[00:49:56.360 --> 00:50:04.760]   process of just sort of putting a book together, uh, not to make a living at it and not on any really
[00:50:04.760 --> 00:50:11.880]   strict schedule, but just wanting to, you know, get a book together. Thanks Cal. Appreciate everything.
[00:50:11.880 --> 00:50:16.200]   Well, it's a good question. Uh, and when it comes to nonfiction, Danny,
[00:50:16.200 --> 00:50:21.800]   people want the, the picture you're painting there. They want that to be true.
[00:50:22.680 --> 00:50:26.360]   Like what's interesting to people is this idea of like, I have this habit where I'm kind of
[00:50:26.360 --> 00:50:31.240]   writing a little bit every day or in these certain types of little windows of time. And over time,
[00:50:31.240 --> 00:50:35.160]   this book comes together and then like, Hey, this book's pretty cool. And then it gets published and
[00:50:35.160 --> 00:50:40.840]   kind of finds an audience. It's actually not how nonfiction is written, right? There's a, there's a,
[00:50:40.840 --> 00:50:44.600]   there's a reality to how nonfiction is written. There's that story that, that people like to tell
[00:50:44.600 --> 00:50:51.240]   because it's fun, low stakes writing. When you get time, it's like fun, but it's not how nonfiction
[00:50:51.240 --> 00:50:56.840]   gets written in nonfiction. You sell the book first, you sell the book based off a proposal first.
[00:50:56.840 --> 00:51:00.840]   There's a little bit of exceptions. If you're talking about an academic press,
[00:51:00.840 --> 00:51:05.320]   it's a little bit different, right? You might have the book together for like,
[00:51:05.320 --> 00:51:09.240]   it gets a little bit more complicated, but for the most part of nonfiction, you're selling the book first
[00:51:09.240 --> 00:51:14.760]   and then you're writing it. So actually in nonfiction, unlike fiction, the motivation to
[00:51:14.760 --> 00:51:19.240]   write is not a problem. The motivation is I have a contract. They've already given me the first half
[00:51:19.240 --> 00:51:22.840]   of the advance. I'm going to have to give it back. If I don't deliver them a book by this date,
[00:51:22.840 --> 00:51:27.800]   it's due in eight months. It's not fun. Like I'm just kind of like writing. When I get a chance in the
[00:51:27.800 --> 00:51:31.960]   shed, this is a job. Now I've been paid to do a job. I got to execute it. It actually feels much more
[00:51:31.960 --> 00:51:38.520]   commercial and workman like than you didn't, you would imagine. So writing nonfiction is not something
[00:51:38.520 --> 00:51:42.760]   where motivation really matters because you sell the book first. So how do you sell the book?
[00:51:42.760 --> 00:51:48.760]   Well, first you get an agent. And here, the process of getting an agent is not, there's not
[00:51:48.760 --> 00:51:51.960]   a lot of hoops you're jumping through, right? I mean, there's something called a querying process
[00:51:51.960 --> 00:51:57.480]   where you're sending letters of a certain format. You're emailing them these days to agents who are
[00:51:57.480 --> 00:52:01.400]   saying, I want to find authors. Query me here. Here's the type of authors I support. And you're
[00:52:01.400 --> 00:52:04.600]   sending them and it's a page long. There's a format to it. And if they're interested, they're like,
[00:52:04.600 --> 00:52:07.800]   let's talk. And if you get an agent, they'll help you write a proposal.
[00:52:07.800 --> 00:52:10.200]   They'll be the ones to sell it to a publisher. Then you'll go write the book.
[00:52:10.200 --> 00:52:16.040]   So that's how that actually works. People don't like that story because it front loads
[00:52:16.040 --> 00:52:23.640]   the evaluation. You're like, shoot, I like the idea of writing this book. But the reality of the story
[00:52:23.640 --> 00:52:27.640]   is that like, I could start querying agents this week and by next week, know that none of them are
[00:52:27.640 --> 00:52:32.840]   interested. And that could be the end of that dream, right? Because your mind kind of knows like,
[00:52:32.840 --> 00:52:37.240]   I don't really have this fully worked out. Like, are we the right people to write this book? Is the topic,
[00:52:37.240 --> 00:52:42.040]   something that people really need to see? I'm not quite ready yet for someone to like evaluate this,
[00:52:42.040 --> 00:52:47.960]   but that's really how nonfiction actually starts. So it's a, it's like good news, bad news. Good news
[00:52:47.960 --> 00:52:52.520]   is you don't have to worry about tricking yourself to write or motivation or willpower procrastination.
[00:52:52.520 --> 00:52:58.680]   The bad news is getting to step two of nonfiction book writing is like really hard. Step one is
[00:52:58.680 --> 00:53:05.080]   actually selling the book first, but don't run away from the reality, right? Confront the reality.
[00:53:05.080 --> 00:53:08.920]   If you can't get an agent for your book idea, then use that as a forcing function to figure out, well,
[00:53:08.920 --> 00:53:14.200]   why not? And that could help you find a better idea. I wrote a, like a kind of a well-known blog post
[00:53:14.200 --> 00:53:18.360]   about this years ago, back when I was still writing my student books. And if you go to
[00:53:18.360 --> 00:53:24.520]   search for like calnewport.com and you know how to get a nonfiction book deal, I wrote about everything
[00:53:24.520 --> 00:53:30.120]   I learned selling my first three books, which are just like straight up student focused nonfiction
[00:53:30.120 --> 00:53:35.400]   advice books. I lay out all these ideas. Here's how it works. Here's what I learned to do. It's funny,
[00:53:35.400 --> 00:53:39.240]   Jesse, I talked about in that article. I reread it recently. I'm like, well, look, I'm not like
[00:53:39.880 --> 00:53:43.640]   a New York times bestselling author who has sold millions of books, but I've still had a pretty
[00:53:43.640 --> 00:53:48.440]   good run. And now you fast forward, you know, 10 years after that, I have done all those things.
[00:53:48.440 --> 00:53:53.560]   But back when I wrote that post, I was, that was like this impossible future that I, I had not
[00:53:53.560 --> 00:53:57.400]   achieved and I was never going to achieve. So I didn't really believe in myself back then, but that post
[00:53:57.400 --> 00:54:01.000]   gets, I mean, I was right in the thick of like just starting out as a writer is right after I sold my
[00:54:01.000 --> 00:54:08.120]   third book. So go find that article and don't ignore the reality. And that the thing that trips up most
[00:54:08.120 --> 00:54:14.600]   people with this reality is I identify early on in that article to sell a book. So I learned from
[00:54:14.600 --> 00:54:19.000]   my agent 20 years ago, you got to have an idea that people are going to feel like they have to read.
[00:54:19.000 --> 00:54:24.200]   There's gotta be a sizable audience. That's going to feel that way. And you have to be the right person
[00:54:24.200 --> 00:54:30.360]   to write it. It's actually really hard to find something that satisfies all three. Like you can come
[00:54:30.360 --> 00:54:34.680]   up with a killer idea, but like, if you're not a writer with any sort of connection to that idea,
[00:54:34.680 --> 00:54:38.040]   then like, you're not the right person to write it. Or you could have an idea that you were the
[00:54:38.040 --> 00:54:42.280]   right person to write, but it's so niche that no one cares. It's not a big enough audience.
[00:54:42.280 --> 00:54:47.160]   Or you have an idea that like, in theory, a lot of people would be interested in this.
[00:54:47.160 --> 00:54:50.280]   Like it's relevant to a lot of people and you're the right person to write it, but no one is going to
[00:54:50.280 --> 00:54:54.520]   feel like, Ooh, I have to read that book. It's not motivating me. Like, Ooh, I got to see that.
[00:54:54.520 --> 00:54:58.440]   It's hard to get all three, but if you get all three, it's hard not to sell it because again,
[00:54:58.440 --> 00:55:04.360]   agents are desperate for clients. Publishers are desperate for books. They just have to be viable
[00:55:04.360 --> 00:55:10.440]   ideas being written by viable people, but it is not a world of people trying to reject stuff that
[00:55:10.440 --> 00:55:15.560]   you're trying to slip past. It's a world where people want to accept stuff. So your job is to
[00:55:15.560 --> 00:55:19.400]   get rid of the rough edges that makes it impossible for them to accept what you're doing. So read that
[00:55:19.400 --> 00:55:23.640]   article, confront the reality of how the industry works instead of the story you want to be true,
[00:55:24.280 --> 00:55:28.040]   or you could write for fun. But if you really want to publish a book, you got to confront the
[00:55:28.040 --> 00:55:32.600]   reality of how that industry actually works. And if he takes the approach by writing for fun,
[00:55:32.600 --> 00:55:36.440]   you can just self publish and essentially nobody's ever going to read the book though, right?
[00:55:36.440 --> 00:55:39.640]   Yeah, no, no, probably no one will read it, but you could write for fun. You could write on like
[00:55:39.640 --> 00:55:44.520]   medium. No one will read it. You could have a sub stack, but again, if you don't already have
[00:55:44.520 --> 00:55:49.160]   an established reputation, no one's going to read that either, but you could do that. Or you could write
[00:55:49.160 --> 00:55:54.120]   for family or friends like that would be fun as well. Fiction is better for this because in
[00:55:54.120 --> 00:55:59.800]   fiction, you're supposed to write the book first. So you can just write fiction because in theory,
[00:55:59.800 --> 00:56:03.640]   you're doing the same thing as Brandon Sanderson, right? You're like, yeah, we all just write the
[00:56:03.640 --> 00:56:07.800]   thing first and see if it works. So it's a little bit more fulfilling. Nonfiction though, you shouldn't
[00:56:07.800 --> 00:56:14.040]   delude yourself. If you're 300 pages into your self-help manifesto that you think is going to be
[00:56:14.040 --> 00:56:19.960]   brilliant, you're not really following the path or in the world of professional writers. That's just not
[00:56:19.960 --> 00:56:26.680]   the way that typically works. All right. So we've got a case study here where people write in the
[00:56:26.680 --> 00:56:30.920]   share their personal experiences, implementing the type of advice we talk about on this show.
[00:56:30.920 --> 00:56:37.880]   This week's case study comes from Kelly. Kelly says, I am 26 years old and an athletic trainer by trade.
[00:56:38.680 --> 00:56:42.680]   I recently transitioned away from working in collegiate athletics and into a new pursuit of
[00:56:42.680 --> 00:56:48.440]   K-12 substitute teaching. At my old job, I became burned out after dealing with high administrative
[00:56:48.440 --> 00:56:53.000]   overhead, expectations for having an online presence outside of working hours, and limited free time to
[00:56:53.000 --> 00:56:58.360]   explore deep pursuits. I had trouble finding meaning outside of work. Despite your prudent advice,
[00:56:58.360 --> 00:57:02.600]   I resigned from my old position with absolutely no plan for my next move. I did some lifestyle-centric
[00:57:02.600 --> 00:57:08.040]   career planning, however, and found that substitute teaching could help me build career capital in the
[00:57:08.040 --> 00:57:13.000]   educational realm, provide enough consistent structure around which I could time block,
[00:57:13.000 --> 00:57:17.960]   give me enough time off to explore new hobbies, and pursue deep, meaningful things.
[00:57:17.960 --> 00:57:22.040]   So I took your advice to make my phone less appealing, bring a book everywhere I go,
[00:57:22.040 --> 00:57:25.160]   and limit my consumption of algorithmically curated articles, posts, and content.
[00:57:26.840 --> 00:57:31.400]   I was doing great with my more analog lifestyle until a medical crisis happened in my family last week,
[00:57:31.400 --> 00:57:35.560]   and then Kelly goes on about how a lot of this stuff got difficult over this last week.
[00:57:35.560 --> 00:57:41.880]   But I want to pause there to focus on the things that Kelly did do that I really want to emphasize
[00:57:41.880 --> 00:57:48.360]   here, and then I'll talk about briefly how to make sense of what's going on with her right now with this
[00:57:48.360 --> 00:57:54.280]   medical issue. So what I like about this, lifestyle-centric planning for the win. Now, I would have done,
[00:57:54.280 --> 00:57:57.800]   as she pointed out, I would have done the lifestyle-centric career planning before I left the
[00:57:57.800 --> 00:58:03.560]   old job, but okay, it still worked out. Substitute teaching, it's not the thing that like pops to your
[00:58:03.560 --> 00:58:07.960]   mind necessarily as like, "Oh God, that's the dream job. That's what I want to do." But it's the type of
[00:58:07.960 --> 00:58:11.800]   thing that can come up when you're doing lifestyle-centric career planning. What do I want my life to be like
[00:58:11.800 --> 00:58:17.400]   day-to-day? What are the things that matter? Doing that analysis and then looking at your specific
[00:58:17.400 --> 00:58:23.000]   opportunities and obstacles led Kelly to like, "If I did substitute teaching, I'm working on this
[00:58:23.000 --> 00:58:27.320]   capital here, and I feel the structure I need. I don't have this extra stuff I have to do outside
[00:58:27.320 --> 00:58:31.800]   of my work, and I can pursue these other things that are important to me." And I like how then Kelly also
[00:58:31.800 --> 00:58:36.520]   did a rebuilding of her digital life. I'm going to bring books, I'm going to make my phone less
[00:58:36.520 --> 00:58:41.000]   interesting, and how that freed up a lot more time and focus and contemplation for pursuing things that are
[00:58:41.000 --> 00:58:47.080]   interesting and probably reconnecting with herself more. That's a fantastic example of the way I talk
[00:58:47.080 --> 00:58:51.480]   about transforming your life, which is not as exciting as like, "I just got this giant goal and I pursued it
[00:58:51.480 --> 00:58:56.360]   and everything was better," but it made a real difference. Then Kelly talks about, and we'll mention
[00:58:56.360 --> 00:59:00.440]   this briefly, "Hey, things got tough recently. There's like a big medical emergency in my family." And
[00:59:00.440 --> 00:59:04.760]   I won't read all the details, but basically she's saying that put her on her phone all the time.
[00:59:05.400 --> 00:59:11.160]   first to be in contact for obvious reasons with family members, but then once she was on her phone
[00:59:11.160 --> 00:59:16.920]   all the time, she began using it more, again, understandably as digital pacification because
[00:59:16.920 --> 00:59:21.240]   it was very stressful what was happening in her family. And as I talked about this, I've learned
[00:59:21.240 --> 00:59:25.320]   this like during my own medical things recently, there's like a numbing effect, a distracting effect
[00:59:25.320 --> 00:59:31.560]   of just algorithmically curated content. So the question she's asking finally is like, "Well,
[00:59:31.560 --> 00:59:33.640]   how do I deal with that?" And I say, "Well, you're going through an emergency."
[00:59:34.440 --> 00:59:40.680]   Like now is not the time to nitpick about like your digital habits. Now is also not the time
[00:59:40.680 --> 00:59:43.800]   to hold yourself to the same standards that you were holding yourself to the day before
[00:59:43.800 --> 00:59:48.040]   the emergency happened. You will get back to that. But like what you're doing now basically
[00:59:48.040 --> 00:59:53.800]   is think about this as crisis lifestyle-centric career planning. What do I want during this crisis
[00:59:53.800 --> 00:59:58.280]   period? What is my ideal of how I want to look back and say I got through this? And it's going to be
[00:59:58.280 --> 01:00:03.640]   less about, "I spend four hours a day on self-improvement," right? Because no, this is not,
[01:00:03.640 --> 01:00:06.520]   your head space is not there and your time is distracted. It's going to be more like I want
[01:00:06.520 --> 01:00:10.360]   to be the person people count on. I want to be the person that people look back afterwards and say
[01:00:10.360 --> 01:00:13.560]   like, "Kelly was a rock during this and it was really useful." It's going to be about leadership.
[01:00:13.560 --> 01:00:18.760]   You're going to have to have a lot more self-care. Maybe you want to start replacing
[01:00:18.760 --> 01:00:23.480]   phone self-care with other self-care, but you're not replacing it with like, "I want to go be productive,
[01:00:23.480 --> 01:00:29.400]   but maybe I'm going to spend more time," whatever, "going for like long runs or hot baths or going to like
[01:00:29.400 --> 01:00:34.440]   movies," like stuff that you feel like is maybe a little bit more uplifting or less numbing that still
[01:00:34.440 --> 01:00:39.560]   helps distract you. But it's like you have to do a whole separate lifestyle career planning for this
[01:00:39.560 --> 01:00:43.880]   period that's based on like, "How do I get through this in a way that I'm proud of?" And then when this
[01:00:43.880 --> 01:00:48.200]   crisis is over and it will be over, go back to what you're doing before because it sounds great.
[01:00:49.000 --> 01:00:53.400]   You're envisioning what matters to you and you're pursuing that and you're building your own idiosyncratic
[01:00:53.400 --> 01:00:57.560]   path to a life that is in the moment something that you're proud of and in long term is opening
[01:00:57.560 --> 01:01:02.280]   up cool options. So you're doing the right things, Kelly. Don't be so worried about what's happening now.
[01:01:02.280 --> 01:01:07.000]   Keep focusing on who you want to be and then get back to your bigger vision when the emergency is over.
[01:01:07.000 --> 01:01:17.560]   All right, we got a off the rails tech corner coming up, all things AI, but first let's hear from another sponsor.
[01:01:17.560 --> 01:01:25.800]   Hiring the right people quickly is important. This is something I need to get better at.
[01:01:25.800 --> 01:01:33.000]   Jesse, I don't know if I remember this entirely correctly, but the way I remember we started
[01:01:33.000 --> 01:01:38.760]   working together was it involved me lurking around a CrossFit gym with a butterfly net.
[01:01:39.800 --> 01:01:45.160]   And then I think I caught you, like jumped out from behind the bushes. That's not the most efficient
[01:01:45.160 --> 01:01:52.440]   way to hire. That took me a while to do. There's a better way to do it. And that way is Indeed.
[01:01:52.440 --> 01:01:58.600]   Indeed is the best way to hiring. When it comes to hiring, Indeed is all you need.
[01:01:58.600 --> 01:02:03.400]   Stop struggling to get your job posts seen on other job sites. Indeed, sponsor jobs will help you stand out
[01:02:03.400 --> 01:02:09.000]   and hire fast. With sponsored jobs, your post jumps to the top of the page for your relevant candidates,
[01:02:09.000 --> 01:02:14.360]   so you will reach the people you want faster. This makes a huge difference. According to Indeed data,
[01:02:14.360 --> 01:02:22.040]   sponsored jobs posted directly on Indeed have 45% more applications than non-sponsored jobs.
[01:02:22.040 --> 01:02:28.120]   We know hiring is very important for any type of business you might run, and Indeed really has to be
[01:02:28.120 --> 01:02:32.600]   your co-pilot here. Plus, with Indeed sponsored jobs, there's no monthly subscriptions, no long-term
[01:02:32.600 --> 01:02:38.360]   contracts. You only pay for results. How fast is Indeed? In the minute I've been talking to you,
[01:02:38.360 --> 01:02:46.520]   23 hires were made on Indeed, according to Indeed data worldwide. So there's no need to wait any longer.
[01:02:46.520 --> 01:02:53.080]   Speed up your hiring right now with Indeed. Listeners of this show will get a $75 sponsored job credit.
[01:02:53.080 --> 01:02:58.360]   This is a good deal. $75 sponsored job credit to get your jobs more visibility if you go to
[01:02:58.360 --> 01:03:07.000]   indeed.com/deep. Just go to indeed.com/deep right now and support our show by saying you heard about
[01:03:07.000 --> 01:03:15.960]   Indeed on this podcast. Indeed.com/deep. Terms and conditions apply. Hiring. Indeed is all you need.
[01:03:17.400 --> 01:03:24.200]   Also want to talk about our friends at Oracle. Even if you think it's a bit overhyped, AI is suddenly
[01:03:24.200 --> 01:03:29.960]   everywhere from self-driving cars to molecular medicine to business efficiency. If it's not in
[01:03:29.960 --> 01:03:35.960]   your industry yet, it is coming, and it's coming fast. But AI needs a lot of speed and computing power,
[01:03:35.960 --> 01:03:41.400]   so how do you compete without costs spiraling out of control? It is time to upgrade to the next generation of
[01:03:41.400 --> 01:03:49.480]   the cloud. Oracle Cloud Infrastructure, or as I like to call it, OCI. OCI is a blazing fast and secure
[01:03:49.480 --> 01:03:54.680]   platform for your infrastructure database application development, plus all your AI and machine learning
[01:03:54.680 --> 01:04:03.640]   workloads. OCI costs 50% less for compute and 80% less for networking. So you're saving a pile of money.
[01:04:03.640 --> 01:04:09.240]   Thousands of businesses have already upgraded to OCI, including Vodafone, Thomson Reuters, and Suno AI.
[01:04:09.240 --> 01:04:15.720]   Right now, Oracle is offering to cut your current cloud bill in half if you move to OCI. For new US
[01:04:15.720 --> 01:04:20.680]   customers with minimum financial commitment, offer ends March 31st. See if your company qualifies for
[01:04:20.680 --> 01:04:30.680]   this special offer at oracle.com/deepquestions. That's oracle.com/deepquestions. Speaking of deep
[01:04:30.680 --> 01:04:36.360]   questions and AI, Jesse, let's move on to our final segment. All right, so I want to talk a little bit
[01:04:36.360 --> 01:04:42.840]   about AI here and jam way too many ideas into a short segment. The thing I want to react to
[01:04:42.840 --> 01:04:50.040]   to kick things off is Ezra Klein's recent podcast. I have this up here on the screen for those who
[01:04:50.040 --> 01:04:58.120]   are watching instead of just listening. This is Ezra and he is talking here with Ben Buchanan, Biden
[01:04:58.120 --> 01:05:04.760]   administration AI-related official. There's a quote from this podcast I want to read and then I want to
[01:05:04.760 --> 01:05:09.080]   use that to riff off of. All right, so here is the quote. This is Ezra talking at the beginning of
[01:05:09.080 --> 01:05:15.640]   this recent episode of his podcast. He said, "For the last couple of months, I have had this strange
[01:05:15.640 --> 01:05:21.160]   experience. Person after person from artificial intelligence labs from governments have been
[01:05:21.160 --> 01:05:26.600]   coming up to me and saying, 'It's really about to happen. We're going to get artificial general
[01:05:26.600 --> 01:05:31.160]   intelligence.' What they mean is that they have believed for a long time that we are on a path to
[01:05:31.160 --> 01:05:36.120]   creating transformational artificial intelligence capable of doing basically anything a human being
[01:05:36.120 --> 01:05:41.640]   could do behind a computer, but better. They thought it would take somewhere from five to 15 years to
[01:05:41.640 --> 01:05:45.880]   develop, but now they believe it's coming in two to three years during Donald Trump's second term.
[01:05:45.880 --> 01:05:50.120]   They believe it because of the products they're releasing right now and what they're seeing inside
[01:05:50.120 --> 01:05:57.800]   the places they work and I think they're right." All right, so not surprisingly, this podcast has many of my New York Times
[01:05:57.800 --> 01:06:06.600]   reading coastal friends worried about AI. Like if you just kind of hear this wording casually and you're not in the AI industry
[01:06:06.600 --> 01:06:11.480]   and you're not a computer scientist, this does kind of sound like we're a couple years away from Skynet.
[01:06:12.120 --> 01:06:20.120]   Right? Machines getting out of control. Machines making us unnerved about turning them off. Machines
[01:06:20.120 --> 01:06:27.560]   that are causing consequences that we didn't anticipate. So existential challenges. But are we?
[01:06:27.560 --> 01:06:34.600]   Well, no. And I want to start by saying there's a meaningful distinction between AGI and that other
[01:06:34.600 --> 01:06:39.080]   scenario which we should better call superintelligence. And I think it is worth reviewing
[01:06:40.040 --> 01:06:44.280]   this distinction. If for anything so you'll have a more accurate view of what's coming
[01:06:44.280 --> 01:06:49.320]   and also have a more accurate view of other things that maybe are farther in the future that's worth
[01:06:49.320 --> 01:06:54.280]   keeping an eye on. All right, so AGI in the way Ezra is talking about here is actually, you know,
[01:06:54.280 --> 01:06:59.000]   it sounds like a big thing. We achieve AGI, something has happened. When that happens,
[01:06:59.000 --> 01:07:02.920]   we cross that threshold, something is worrisome. It is really, you can think of it as an
[01:07:02.920 --> 01:07:09.720]   arbitrary quality threshold for the things that these language models are already doing.
[01:07:10.440 --> 01:07:14.840]   This is actually what experts mean when they talk about AGI right now. It's like right now,
[01:07:14.840 --> 01:07:21.960]   I can ask ChatGPT to create a memo summarizing whatever historical factors relating to like the
[01:07:21.960 --> 01:07:27.400]   adoption of a certain type of technology. And it will do this like pretty well. It'll like pull on
[01:07:27.400 --> 01:07:33.480]   information. It'll be written properly. It'll be on the topic. Probably not as good as like having a
[01:07:33.480 --> 01:07:38.280]   researcher do it, but it'll do it pretty well. It's going to get better at this. And at some point,
[01:07:38.280 --> 01:07:41.800]   it'll get good enough at writing this memos. We'll say like that's crossed the AGI threshold. Like
[01:07:41.800 --> 01:07:45.320]   that's as good as like a good researcher would do. It's like this arbitrary threshold.
[01:07:45.320 --> 01:07:51.080]   So it's not that when we cross that threshold, there'll be suddenly new things that artificial
[01:07:51.080 --> 01:07:55.000]   intelligence can do that it hasn't been able to do before. It's the things you already know it can do
[01:07:55.000 --> 01:08:00.280]   have gotten past the sort of arbitrary subjective threshold of like that seems as good as like humans
[01:08:00.280 --> 01:08:04.120]   are doing it. It's like kind of around there right now. Like it can write a pretty good memo. It can write a
[01:08:04.120 --> 01:08:08.280]   pretty good joke. It can write pretty good computer code, but not quite as good as a person. Like soon
[01:08:08.280 --> 01:08:15.960]   it will be as good as a person. That's AGI. Now this has real economic and security consequences. The
[01:08:15.960 --> 01:08:20.760]   better these models get at these things, there are these real world consequences that get worse.
[01:08:22.200 --> 01:08:27.160]   And Ezra and Ben get into these in the interview. It really is about both security and economic
[01:08:27.160 --> 01:08:31.800]   consequences of this. But when you recognize what AGI is, is like an arbitrary quality threshold and
[01:08:31.800 --> 01:08:37.560]   stuff. AI is already doing pretty well and not some sort of new capabilities. We realize it is serious,
[01:08:38.600 --> 01:08:44.280]   but it's not the type of thing that James Cameron's going to make a movie about. Let's talk though about
[01:08:44.280 --> 01:08:50.120]   the things that James Cameron did make a movie about. And that is this idea of super intelligence of AI
[01:08:50.120 --> 01:08:55.560]   getting increasingly autonomous and smart until it's smarter than us as designers. And then all sorts of
[01:08:55.560 --> 01:09:02.600]   sci-fi chaos happens. This is something that people are also worried about. It is separate as we just
[01:09:02.600 --> 01:09:09.560]   established from AGI, but it's not impossible. So why don't we talk about that? So here's the,
[01:09:09.560 --> 01:09:14.440]   here's a conversation Ezra did not have, which is like, what, what would be needed for super intelligence?
[01:09:14.440 --> 01:09:21.480]   And are we on track to that or not? So let's have that conversation. Now I begin to wrap up
[01:09:21.480 --> 01:09:27.240]   my conversation or consolidate my conversation of like, what would be needed to create the quote,
[01:09:27.240 --> 01:09:32.520]   like an original article from the fifties about Rosenblatt's very first self-learning
[01:09:33.080 --> 01:09:38.360]   machine learning model, the, the perceptron electromagnetic perceptron was called a
[01:09:38.360 --> 01:09:46.520]   Frankenstein machine. What would be needed for AI to become something that was James Cameron ask like,
[01:09:46.520 --> 01:09:51.800]   Ooh, either I feel uncomfortable turning it off or it's doing stuff I didn't intend for it. And it's scary.
[01:09:51.800 --> 01:09:55.560]   There's four things you need. And I call these the Frankenstein factors.
[01:09:56.920 --> 01:10:03.080]   One understanding. So the machine has to be able to understand complex concepts,
[01:10:03.080 --> 01:10:09.720]   know the reasoning behind them, be able to like apply these understandings to create new information,
[01:10:09.720 --> 01:10:15.320]   just have like an understanding of stuff and ideas and concepts. Number two is world modeling. A system
[01:10:15.320 --> 01:10:22.200]   needs some sort of, to do this, some sort of a model of the world around it and that it's in three, it needs
[01:10:22.200 --> 01:10:27.240]   some sort of a incentive system. Like here's what matters to me and what doesn't. And for it needs
[01:10:27.240 --> 01:10:31.880]   some sort of actuation, all of these things, a way of actually like impacting the world around it.
[01:10:32.600 --> 01:10:39.240]   And so then the, the, what you need then is a system that has a state of the world using its
[01:10:39.240 --> 01:10:45.800]   understanding and its incentives can explore actions that can take through actuation that will change
[01:10:45.800 --> 01:10:50.360]   its world state to something that is better in its incentive, whatever its incentives are, the things
[01:10:50.360 --> 01:10:57.560]   and values. And that is like the action loop that makes things interesting. So if you don't have a world,
[01:10:57.560 --> 01:11:01.080]   like an updated understanding of yourself and the world around you and where you are and what's happened to
[01:11:01.080 --> 01:11:04.840]   you, there's no way for you to have any sort of like a sentience because there's no memory,
[01:11:04.840 --> 01:11:09.560]   there's no state, nothing changes, right? And if you don't have incentives, then your model's not,
[01:11:09.560 --> 01:11:12.680]   your, your system's not doing anything. If you don't have actuation, there's no way for you to act on
[01:11:12.680 --> 01:11:17.480]   your incentives, but you put those four Frankenstein factors together. Now you have the possibility of
[01:11:17.480 --> 01:11:23.640]   a system that goes awry. And I think this is actually what people, the lay person has in mind
[01:11:23.640 --> 01:11:29.560]   when they get worried about artificial intelligence, not the economic or security consequences of
[01:11:29.560 --> 01:11:32.600]   machines continuing to get better at things are already doing, even though that's really where
[01:11:32.600 --> 01:11:37.400]   the, uh, the practical attention is right now. All right. So I have some good news about it. And then
[01:11:37.400 --> 01:11:43.480]   a piece of bad news. So there's some good news about these Frankenstein factors.
[01:11:43.480 --> 01:11:50.440]   One, all of the energy is just focused on one of those, which is building models with understanding.
[01:11:51.240 --> 01:11:56.600]   That's what these language models are right now is they have complicated understanding of concepts built
[01:11:56.600 --> 01:12:01.640]   through training, world modeling incentives, actuation. Like most of this right now is just
[01:12:01.640 --> 01:12:06.680]   left to the people using the models because there isn't any real direct immediate economic incentive to,
[01:12:06.680 --> 01:12:11.000]   to building those types of machines. Like having a model with lots of understanding
[01:12:11.000 --> 01:12:16.440]   that a human with their own incentives and model of the world. And here's what I want to do.
[01:12:16.440 --> 01:12:20.680]   And I can take the results and apply them over here. This is actually like the most efficient use
[01:12:20.680 --> 01:12:25.400]   of this technology right now. So there is no push to build systems with complicated versions of the
[01:12:25.400 --> 01:12:30.280]   Frankenstein factors. All of the focus right now is just on understanding modulo, some sort of like
[01:12:30.280 --> 01:12:32.600]   relatively minor scripted agent systems.
[01:12:34.280 --> 01:12:38.520]   Another thing that should make us feel better is that the
[01:12:38.520 --> 01:12:42.840]   Frankenstein factors two for four, world modeling incentives and actuation,
[01:12:42.840 --> 01:12:46.760]   these aren't trained, they're engineered. I think it's a really important point I mentioned before,
[01:12:46.760 --> 01:12:52.760]   but I just want to underscore it here. The language models we're building for understanding are trained,
[01:12:52.760 --> 01:12:56.920]   meaning that we have these large transformer-based neural networks, we give them a lot of training data,
[01:12:56.920 --> 01:13:02.680]   and they somehow adjust their internal wiring until they do what we ask them to do really well,
[01:13:02.680 --> 01:13:08.520]   and we don't really know how they're doing it. So they have this sense of an alien mind,
[01:13:08.520 --> 01:13:11.880]   as I talked about in my New Yorker piece from a couple of years ago, or sort of like emergent
[01:13:11.880 --> 01:13:16.120]   abilities that can catch us off guard or surprise us. That's very unsettling. We don't know how this
