
[00:00:00.000 --> 00:00:00.840]   That's good.
[00:35:38.620 --> 00:35:42.180]   it's quite possible that convergence of the optimization
[00:35:42.180 --> 00:35:43.540]   will not converge.
[00:35:43.540 --> 00:35:45.180]   Well, if you're using a grid search,
[00:35:45.180 --> 00:35:47.060]   it means that for all the experiments that
[00:35:47.060 --> 00:35:48.980]   use that specific value of the learning rate,
[00:35:48.980 --> 00:35:50.460]   they're all going to be garbage.
[00:35:50.460 --> 00:35:52.340]   They're all not going to be useful.
[00:35:52.340 --> 00:35:56.220]   And you don't really get this sort of big waste of computation
[00:35:56.220 --> 00:35:58.540]   if you do a random search, because most likely,
[00:35:58.540 --> 00:36:00.060]   all the values of your hyperparameters
[00:36:00.060 --> 00:36:01.660]   are going to be unique, because they're
[00:36:01.660 --> 00:36:06.140]   samples, say, from a uniform distribution over some range.
[00:36:06.140 --> 00:36:08.620]   So that actually works quite well,
[00:36:08.620 --> 00:36:10.580]   and it's quite recommended.
[00:36:10.580 --> 00:36:12.420]   And there are more advanced methods,
[00:36:12.420 --> 00:36:15.220]   like methods based on machine learning, Bayesian
[00:36:15.220 --> 00:36:18.460]   optimization, or sometimes known as sequential model-based
[00:36:18.460 --> 00:36:21.300]   optimization, that I won't talk about,
[00:36:21.300 --> 00:36:25.740]   but that works a bit better than random search.
[00:36:25.740 --> 00:36:27.780]   And that's another alternative if you
[00:36:27.780 --> 00:36:29.940]   think you have an issue finding good hyperparameters,
[00:36:29.940 --> 00:36:34.380]   is to investigate some of these more advanced methods.
[00:36:34.380 --> 00:36:37.180]   Now, you do this for most of your hyperparameters,
[00:36:37.180 --> 00:36:40.060]   but for the number of epochs, the number of times
[00:36:40.060 --> 00:36:44.700]   you go through all of your examples in your training set,
[00:36:44.700 --> 00:36:49.020]   what we usually do is not grid search or random search,
[00:36:49.020 --> 00:36:51.580]   but we use a thing known as early stopping.
[00:36:51.580 --> 00:36:53.460]   The idea here is that if I've trained
[00:36:53.460 --> 00:36:56.700]   a neural net for 10 epochs, while training a neural net
[00:36:56.700 --> 00:36:59.340]   with all the other hyperparameters kept constant,
[00:36:59.340 --> 00:37:01.300]   but one more epoch is easy.
[00:37:01.300 --> 00:37:02.820]   I just do one more epoch.
[00:37:02.820 --> 00:37:06.340]   So I shouldn't start over and then do, say,
[00:37:06.340 --> 00:37:08.580]   11 epochs from scratch.
[00:37:08.580 --> 00:37:10.300]   And so what we would do is we would just
[00:37:10.300 --> 00:37:12.820]   track what is the performance on the validation set
[00:37:12.820 --> 00:37:14.740]   as I do more and more epochs.
[00:37:14.740 --> 00:37:17.100]   And what we will typically see is the training error
[00:37:17.100 --> 00:37:20.980]   will go down, but the validation set performance will go down
[00:37:20.980 --> 00:37:22.900]   and eventually go up.
[00:37:22.900 --> 00:37:25.080]   The intuition here is that the gap
[00:37:25.080 --> 00:37:27.420]   between the performance on the training set
[00:37:27.420 --> 00:37:29.120]   and the performance on the validation set
[00:37:29.120 --> 00:37:31.260]   will tend to increase.
[00:37:31.260 --> 00:37:34.460]   And since the training curve cannot go below, usually,
[00:37:34.460 --> 00:37:38.280]   some bound, then eventually the validation set performance
[00:37:38.280 --> 00:37:39.820]   has to go up.
[00:37:39.820 --> 00:37:41.320]   Sometimes it won't necessarily go up,
[00:37:41.320 --> 00:37:42.700]   but it sort of stays stable.
[00:37:42.700 --> 00:37:44.080]   So with early stopping, what we do
[00:37:44.080 --> 00:37:46.260]   is that if we reach a point where the validation set
[00:37:46.260 --> 00:37:49.020]   performance hasn't improved from some certain number
[00:37:49.020 --> 00:37:52.340]   of iterations, which we refer to as the look ahead,
[00:37:52.340 --> 00:37:53.340]   we just stop.
[00:37:53.340 --> 00:37:54.660]   We go back to the neural net that
[00:37:54.660 --> 00:37:56.960]   had the best performance overall in the validation set,
[00:37:56.960 --> 00:37:58.700]   and that's my neural network.
[00:37:58.700 --> 00:38:01.460]   So I have now a very cheap way of actually getting
[00:38:01.460 --> 00:38:03.960]   the number of iterations or the number of epochs
[00:38:03.960 --> 00:38:07.220]   over my training set.
[00:38:07.220 --> 00:38:09.500]   A few more tricks of the trade.
[00:38:09.500 --> 00:38:13.060]   So it's always useful to normalize your data.
[00:38:13.060 --> 00:38:16.780]   It will often have the effect of speeding up training.
[00:38:16.780 --> 00:38:19.340]   If you have real value data for binary data,
[00:38:19.340 --> 00:38:21.940]   that's usually keep it as it is.
[00:38:21.940 --> 00:38:24.940]   So what I mean by that is just subtract for each dimension
[00:38:24.940 --> 00:38:27.700]   what is the average in the training set of that dimension,
[00:38:27.700 --> 00:38:29.660]   and then dividing by the standard deviation
[00:38:29.660 --> 00:38:33.500]   of each dimension again in my input space.
[00:38:33.500 --> 00:38:35.980]   So this can speed up training.
[00:38:35.980 --> 00:38:40.020]   We often use a decay on the learning rate.
[00:38:40.020 --> 00:38:41.660]   There are a few methods for doing this.
[00:38:41.660 --> 00:38:45.300]   One that's very simple is to start with a large learning
[00:38:45.300 --> 00:38:47.460]   rate and then track the performance on the validation
[00:38:47.460 --> 00:38:48.140]   set.
[00:38:48.140 --> 00:38:50.980]   And once on the validation set it stops improving,
[00:38:50.980 --> 00:38:53.060]   you decrease your learning rate by some ratio.
[00:38:53.060 --> 00:38:54.780]   Maybe you divide it by 2.
[00:38:54.780 --> 00:38:56.980]   And then you continue training for some time.
[00:38:56.980 --> 00:39:00.620]   Hopefully, the validation set performance starts improving.
[00:39:00.620 --> 00:39:04.020]   And then at some point, it stops improving, and then you stop.
[00:39:04.020 --> 00:39:05.460]   Or you divide again by 2.
[00:39:05.460 --> 00:39:08.180]   So that sort of gives you an adaptive--
[00:39:08.180 --> 00:39:10.260]   using the validation set, an adaptive way
[00:39:10.260 --> 00:39:11.700]   of changing your learning rate.
[00:39:11.700 --> 00:39:14.900]   And that can, again, work better than having a very small
[00:39:14.900 --> 00:39:16.860]   learning rate than waiting for a longer time.
[00:39:16.860 --> 00:39:18.660]   So making very fast progress initially,
[00:39:18.660 --> 00:39:20.500]   and then slower progress towards the end.
[00:39:20.500 --> 00:39:26.260]   Also, I've described so far the approach
[00:39:26.260 --> 00:39:30.740]   for training neural nets that is based on a single example
[00:39:30.740 --> 00:39:31.300]   at a time.
[00:39:31.300 --> 00:39:33.800]   But in practice, we actually use what's called mini-batches.
[00:39:33.800 --> 00:39:36.100]   That is, we compute the loss function
[00:39:36.100 --> 00:39:40.580]   on a small subset of examples, say, 64, 128.
[00:39:40.580 --> 00:39:43.580]   And then we take the average of the loss of all these examples
[00:39:43.580 --> 00:39:45.020]   in that mini-batch.
[00:39:45.020 --> 00:39:47.260]   And that's actually-- we compute the gradient
[00:39:47.260 --> 00:39:49.880]   of this average loss on that mini-batch.
[00:39:49.880 --> 00:39:53.100]   The reason why we do this is that it turns out
[00:39:53.100 --> 00:39:56.780]   that you can very efficiently implement the forward pass
[00:39:56.780 --> 00:40:01.260]   over all of these 64, 128 examples in my mini-batch
[00:40:01.260 --> 00:40:05.300]   in one pass by, instead of doing vector matrix multiplications
[00:40:05.300 --> 00:40:07.280]   when we compute the pre-activations,
[00:40:07.280 --> 00:40:09.760]   doing matrix-matrix multiplications, which
[00:40:09.760 --> 00:40:13.880]   are faster than doing multiple matrix-vector multiplications.
[00:40:13.880 --> 00:40:15.800]   So in your code, often, there will
[00:40:15.800 --> 00:40:17.480]   be this other hyperparameter, which
[00:40:17.480 --> 00:40:21.080]   is mostly optimized for speed in terms of how quickly training
[00:40:21.080 --> 00:40:25.240]   will proceed of the number of examples in your mini-batch.
[00:40:25.240 --> 00:40:27.200]   Other things to improve optimization
[00:40:27.200 --> 00:40:29.560]   might be using a thing like momentum.
[00:40:29.560 --> 00:40:33.320]   That is, instead of using, as the descent direction,
[00:40:33.320 --> 00:40:35.220]   the gradient of the loss function,
[00:40:35.220 --> 00:40:39.040]   I'm actually going to track a descent direction, which
[00:40:39.040 --> 00:40:41.160]   I'm going to compute as the current gradient
[00:40:41.160 --> 00:40:44.080]   for my current example or mini-batch,
[00:40:44.080 --> 00:40:47.040]   plus some fraction of the previous update,
[00:40:47.040 --> 00:40:50.200]   the previous direction of update.
[00:40:50.200 --> 00:40:52.640]   And beta now is a hyperparameter you have to optimize.
[00:40:52.640 --> 00:40:56.840]   So what this does is, if all the update directions agree
[00:40:56.840 --> 00:41:00.720]   across multiple updates, then it will start picking up momentum
[00:41:00.720 --> 00:41:05.840]   and actually make bigger steps in those directions.
[00:41:05.840 --> 00:41:08.760]   And then there are multiple, even more advanced methods
[00:41:08.760 --> 00:41:12.560]   for adding adaptive types of learning rates.
[00:41:12.560 --> 00:41:14.060]   I mentioned them here very quickly,
[00:41:14.060 --> 00:41:15.600]   because you might see them in papers.
[00:41:15.600 --> 00:41:17.480]   There's a method known as AdaGrad,
[00:41:17.480 --> 00:41:19.440]   where the learning rate is actually
[00:41:19.440 --> 00:41:23.260]   scaled for each dimension, so for each weight
[00:41:23.260 --> 00:41:24.440]   and each biases.
[00:41:24.440 --> 00:41:28.800]   It's going to be scaled by what is the square root
[00:41:28.800 --> 00:41:31.920]   of the cumulative sum of the squared gradients.
[00:41:31.920 --> 00:41:35.360]   So what I track is I take my gradient vector at each step.
[00:41:35.360 --> 00:41:39.120]   I do an element-wise square of all the dimensions
[00:41:39.120 --> 00:41:41.160]   of my gradients, my gradient vector.
[00:41:41.160 --> 00:41:43.160]   And then I accumulate that in some variable
[00:41:43.160 --> 00:41:44.920]   that I'm noting as gamma here.
[00:41:44.920 --> 00:41:47.840]   And then for my descent direction, I take the gradient,
[00:41:47.840 --> 00:41:50.080]   and I do an element-wise division
[00:41:50.080 --> 00:41:52.920]   by the square root of this cumulative sum
[00:41:52.920 --> 00:41:54.720]   of squared gradients.
[00:41:54.720 --> 00:41:57.440]   There's also RMSProp, which is essentially like AdaGrad,
[00:41:57.440 --> 00:41:59.640]   but instead of doing a cumulative sum,
[00:41:59.640 --> 00:42:02.080]   we're going to do an exponential moving average.
[00:42:02.080 --> 00:42:04.760]   So we take the previous value times some factor
[00:42:04.760 --> 00:42:08.960]   plus 1 minus this factor times the current squared gradient.
[00:42:08.960 --> 00:42:10.380]   So that's RMSProp.
[00:42:10.380 --> 00:42:12.720]   And then there's Adam, which is essentially
[00:42:12.720 --> 00:42:15.380]   a combination of RMSProp with momentum, which
[00:42:15.380 --> 00:42:16.200]   is more involved.
[00:42:16.200 --> 00:42:17.960]   And I won't have time to describe it here,
[00:42:17.960 --> 00:42:21.440]   but that's another method that's often actually implemented
[00:42:21.440 --> 00:42:24.400]   in these different softwares and that people seem
[00:42:24.400 --> 00:42:28.120]   to use with a lot of success.
[00:42:28.120 --> 00:42:31.400]   And finally, in terms of actually debugging
[00:42:31.400 --> 00:42:33.160]   your implementations--
[00:42:33.160 --> 00:42:35.280]   so for instance, if you're lucky,
[00:42:35.280 --> 00:42:36.720]   you can build your neural network
[00:42:36.720 --> 00:42:38.680]   without difficulty using the current tools that
[00:42:38.680 --> 00:42:41.240]   are available in Torch or TensorFlow or Tiano.
[00:42:41.240 --> 00:42:42.840]   But maybe sometimes you actually have
[00:42:42.840 --> 00:42:45.640]   to implement certain gradients for a new module
[00:42:45.640 --> 00:42:47.920]   and a new box in your flow graph that
[00:42:47.920 --> 00:42:49.520]   isn't currently supported.
[00:42:49.520 --> 00:42:51.960]   If you do this, you should check that you've implemented
[00:42:51.960 --> 00:42:53.760]   your gradients correctly.
[00:42:53.760 --> 00:42:56.560]   And one way of doing that is to actually compare
[00:42:56.560 --> 00:42:58.560]   the gradients computed by your code
[00:42:58.560 --> 00:43:01.240]   with a finite difference of estimate.
[00:43:01.240 --> 00:43:03.160]   So what you do is, for each parameter,
[00:43:03.160 --> 00:43:07.220]   you add some very small epsilon value, say 10 to the minus 6,
[00:43:07.220 --> 00:43:10.760]   and you compute what is the output of your module.
[00:43:10.760 --> 00:43:12.360]   And then you subtract the same thing,
[00:43:12.360 --> 00:43:15.600]   but where you've subtracted the small quantity,
[00:43:15.600 --> 00:43:17.400]   and then you divide by 2 epsilon.
[00:43:17.400 --> 00:43:20.520]   So if epsilon converges to 0, then you actually
[00:43:20.520 --> 00:43:21.960]   get the partial derivative.
[00:43:21.960 --> 00:43:24.240]   But if it's just small, it's going to be an approximate.
[00:43:24.240 --> 00:43:26.600]   And usually, this finite difference estimate
[00:43:26.600 --> 00:43:29.520]   will be very close to a correct implementation
[00:43:29.520 --> 00:43:30.840]   of the real gradient.
[00:43:30.840 --> 00:43:33.380]   So you should definitely do that if you've actually
[00:43:33.380 --> 00:43:36.160]   implemented some of the gradients in your code.
[00:43:36.160 --> 00:43:37.900]   And then another useful thing to do
[00:43:37.900 --> 00:43:41.880]   is to actually do a very small experiment on a small data set
[00:43:41.880 --> 00:43:44.320]   before you actually run your full experiment
[00:43:44.320 --> 00:43:45.880]   on your complete data set.
[00:43:45.880 --> 00:43:47.760]   So use, say, 50 examples.
[00:43:47.760 --> 00:43:50.400]   So just taking a random subset of 50 examples
[00:43:50.400 --> 00:43:52.000]   from your data set.
[00:43:52.000 --> 00:43:54.640]   Actually, just make sure that your code can overfit
[00:43:54.640 --> 00:43:58.600]   to that data, can essentially classify it perfectly,
[00:43:58.600 --> 00:44:03.040]   given enough capacity that you would think it should get it.
[00:44:03.040 --> 00:44:06.300]   So if it's not the case, then there's a few things
[00:44:06.300 --> 00:44:08.320]   that you might want to investigate.
[00:44:08.320 --> 00:44:09.920]   Maybe your initialization is such
[00:44:09.920 --> 00:44:12.620]   that the units are already saturated initially,
[00:44:12.620 --> 00:44:14.800]   and so there's no actual optimization
[00:44:14.800 --> 00:44:17.440]   happening because some of the gradients on some of the weights
[00:44:17.440 --> 00:44:19.040]   are exactly zero.
[00:44:19.040 --> 00:44:22.160]   So you might want to check your initialization.
[00:44:22.160 --> 00:44:23.760]   Maybe your gradients are just--
[00:44:23.760 --> 00:44:26.040]   you're using a model you implemented gradients for,
[00:44:26.040 --> 00:44:28.920]   and maybe your gradients are not properly implemented.
[00:44:28.920 --> 00:44:31.040]   Maybe you haven't normalized your input, which
[00:44:31.040 --> 00:44:33.040]   creates some instability, making it
[00:44:33.040 --> 00:44:38.400]   harder for stochastic gradient descent to work successfully.
[00:44:38.400 --> 00:44:40.080]   Maybe your learning rate is too large.
[00:44:40.080 --> 00:44:42.840]   Then you should consider trying smaller learning rates.
[00:44:42.840 --> 00:44:44.940]   That's actually a pretty good way of adding
[00:44:44.940 --> 00:44:47.640]   some idea of the magnitude of the learning rate
[00:44:47.640 --> 00:44:49.320]   you should be using.
[00:44:49.320 --> 00:44:51.680]   And then once you actually overfit
[00:44:51.680 --> 00:44:53.060]   in your small training set, you're
[00:44:53.060 --> 00:44:56.640]   ready to do a full experiment on a larger data set.
[00:44:56.640 --> 00:44:58.880]   That said, this is not a replacement
[00:44:58.880 --> 00:45:00.240]   for gradient checking.
[00:45:00.240 --> 00:45:03.440]   So backprop and stochastic gradient descent,
[00:45:03.440 --> 00:45:06.800]   it's a great algorithm that's very bug resistant.
[00:45:06.800 --> 00:45:10.540]   You will potentially see some learning happening,
[00:45:10.540 --> 00:45:12.400]   even if some of your gradients are wrong,
[00:45:12.400 --> 00:45:13.840]   or say, exactly zero.
[00:45:13.840 --> 00:45:16.160]   So that's great if you're an engineer
[00:45:16.160 --> 00:45:17.800]   and you're implementing things.
[00:45:17.800 --> 00:45:19.960]   It's fun when code is somewhat bug resistant.
[00:45:19.960 --> 00:45:21.600]   But if you're actually doing science
[00:45:21.600 --> 00:45:23.960]   and trying to understand what's going on,
[00:45:23.960 --> 00:45:25.160]   that can be a complication.
[00:45:25.160 --> 00:45:29.160]   So do both, gradient checking and a small experiment
[00:45:29.160 --> 00:45:31.120]   like that.
[00:45:31.120 --> 00:45:33.000]   All right, and so for the last few minutes,
[00:45:33.000 --> 00:45:35.040]   I'll actually try to motivate what
[00:45:35.040 --> 00:45:40.280]   you'll be learning quite a bit about in the next two days.
[00:45:40.280 --> 00:45:43.880]   That is, the specific case for deep learning.
[00:45:43.880 --> 00:45:47.760]   So I've already told you that if I have a neural net with enough
[00:45:47.760 --> 00:45:49.880]   hidden units, theoretically, I can potentially
[00:45:49.880 --> 00:45:53.000]   represent pretty much any function, any classification
[00:45:53.000 --> 00:45:53.920]   function.
[00:45:53.920 --> 00:45:56.360]   So why would I want multiple layers?
[00:45:56.360 --> 00:45:59.000]   So there are a few motivations behind this.
[00:45:59.000 --> 00:46:02.160]   The first one is taken directly from our own brains.
[00:46:02.160 --> 00:46:05.320]   So we know in the visual cortex that the light that
[00:46:05.320 --> 00:46:08.520]   hits our retina eventually goes through several regions
[00:46:08.520 --> 00:46:09.880]   in the visual cortex.
[00:46:09.880 --> 00:46:12.520]   Eventually reaching an area known as V1,
[00:46:12.520 --> 00:46:16.040]   where you have units that are-- or neurons that are essentially
[00:46:16.040 --> 00:46:18.840]   tuned to small forms like edges.
[00:46:18.840 --> 00:46:20.480]   And then it goes on to V4, where it's
[00:46:20.480 --> 00:46:23.880]   slightly more complex patterns that the units are tuned for.
[00:46:23.880 --> 00:46:25.680]   And then you reach AIT, where you actually
[00:46:25.680 --> 00:46:27.680]   have neurons that are specific to certain objects
[00:46:27.680 --> 00:46:28.840]   or certain units.
[00:46:28.840 --> 00:46:30.960]   And so the idea here is that perhaps that's
[00:46:30.960 --> 00:46:35.800]   also what we want in an artificial, say, vision system.
[00:46:35.800 --> 00:46:37.760]   We'd like it, if it's detecting faces,
[00:46:37.760 --> 00:46:41.080]   to have a first layer that detects simple edges,
[00:46:41.080 --> 00:46:43.520]   and then another layer that perhaps puts these edges
[00:46:43.520 --> 00:46:45.840]   together, detecting slightly more complex things,
[00:46:45.840 --> 00:46:47.880]   like a nose or a mouth or eyes.
[00:46:47.880 --> 00:46:49.880]   And then eventually have a layer that combines
[00:46:49.880 --> 00:46:54.520]   these slightly less abstract or more abstract units
[00:46:54.520 --> 00:46:56.200]   to get something even more abstract,
[00:46:56.200 --> 00:46:58.540]   like a complete face.
[00:46:58.540 --> 00:47:00.680]   There's also some theoretical justification
[00:47:00.680 --> 00:47:04.160]   for using multiple layers.
[00:47:04.160 --> 00:47:06.360]   So the early results were mostly based
[00:47:06.360 --> 00:47:08.920]   on studying Boolean functions, or a function that
[00:47:08.920 --> 00:47:10.160]   takes as input--
[00:47:10.160 --> 00:47:12.640]   can think of it as a vector of just zeros and ones.
[00:47:12.640 --> 00:47:17.080]   And you could show that there are certain functions that,
[00:47:17.080 --> 00:47:19.960]   if you had essentially a Boolean neural network
[00:47:19.960 --> 00:47:22.840]   or essentially a Boolean circuit,
[00:47:22.840 --> 00:47:26.280]   and you restricted the number of layers of that circuit,
[00:47:26.280 --> 00:47:28.480]   that there are certain functions that, in this case,
[00:47:28.480 --> 00:47:31.160]   to represent certain Boolean functions exactly,
[00:47:31.160 --> 00:47:33.600]   you would need an exponential number of units
[00:47:33.600 --> 00:47:35.160]   in each of these layers.
[00:47:35.160 --> 00:47:37.160]   Whereas if you allowed yourself to have multiple layers,
[00:47:37.160 --> 00:47:39.840]   then you could represent these functions more compactly.
[00:47:39.840 --> 00:47:41.560]   And so that's another motivation,
[00:47:41.560 --> 00:47:42.960]   that perhaps with more layers, we
[00:47:42.960 --> 00:47:48.520]   can represent fairly complex functions in a more compact way.
[00:47:48.520 --> 00:47:51.160]   And then there's the reason that they just work.
[00:47:51.160 --> 00:47:53.920]   So we've seen in the past few years
[00:47:53.920 --> 00:47:56.440]   great success in speech recognition, where it's
[00:47:56.440 --> 00:47:59.020]   essentially revolutionized the field, where everyone's using
[00:47:59.020 --> 00:48:00.940]   deep learning for speech recognition,
[00:48:00.940 --> 00:48:03.840]   and same thing for visual object recognition,
[00:48:03.840 --> 00:48:05.400]   where, again, deep learning is sort
[00:48:05.400 --> 00:48:10.520]   of the method of choice for identifying objects in images.
[00:48:10.520 --> 00:48:13.760]   So then why are we doing this only recently?
[00:48:13.760 --> 00:48:16.640]   Why didn't we do deep learning way back
[00:48:16.640 --> 00:48:20.760]   when backprop was invented, which is essentially in 1980s
[00:48:20.760 --> 00:48:22.840]   and even before that?
[00:48:22.840 --> 00:48:24.760]   So it turns out training deep neural networks
[00:48:24.760 --> 00:48:26.040]   is actually not that easy.
[00:48:26.040 --> 00:48:30.000]   There are a few hurdles that one can be confronted with.
[00:48:30.000 --> 00:48:32.120]   I've already mentioned one of the issues, which
[00:48:32.120 --> 00:48:35.640]   is that some of the gradients might be fading as you go
[00:48:35.640 --> 00:48:37.280]   from the top layer to the bottom layer,
[00:48:37.280 --> 00:48:39.940]   because we keep multiplying by the derivative of the activation
[00:48:39.940 --> 00:48:40.520]   function.
[00:48:40.520 --> 00:48:41.960]   So that makes training hard.
[00:48:41.960 --> 00:48:44.560]   It could be that the lower layers at very small gradients
[00:48:44.560 --> 00:48:49.040]   are barely moving and exploring the space of correct features
[00:48:49.040 --> 00:48:51.320]   to learn for a given problem.
[00:48:51.320 --> 00:48:52.960]   Sometimes that's the problem you find.
[00:48:52.960 --> 00:48:54.880]   You have a hard time just fitting your data,
[00:48:54.880 --> 00:48:57.080]   and you're essentially underfitting.
[00:48:57.080 --> 00:49:00.360]   Or it could be that with deeper neural nets or bigger
[00:49:00.360 --> 00:49:02.200]   neural nets, we have more parameters.
[00:49:02.200 --> 00:49:04.240]   So perhaps sometimes we're actually overfitting.
[00:49:04.240 --> 00:49:07.680]   We're in a situation where all the functions that we
[00:49:07.680 --> 00:49:10.840]   can represent with the same neural net represented
[00:49:10.840 --> 00:49:14.040]   by this gray area function actually includes, yes,
[00:49:14.040 --> 00:49:15.660]   the right function, but it's so large
[00:49:15.660 --> 00:49:18.280]   that for a finite training set, the odds
[00:49:18.280 --> 00:49:19.780]   that I'm going to find the one that's
[00:49:19.780 --> 00:49:22.840]   close to the true classifying function, the real system
[00:49:22.840 --> 00:49:25.720]   that I'd like to have, is going to be very different.
[00:49:25.720 --> 00:49:28.080]   So in this case, I'm essentially overfitting,
[00:49:28.080 --> 00:49:31.200]   and that might also be a situation we're in.
[00:49:31.200 --> 00:49:35.880]   And unfortunately, there are many situations
[00:49:35.880 --> 00:49:40.920]   where one problem is observed, overfitting or underfitting.
[00:49:40.920 --> 00:49:43.480]   And so we essentially have, in the field,
[00:49:43.480 --> 00:49:46.140]   developed tools for fighting both situations.
[00:49:46.140 --> 00:49:49.600]   And I'm going to rapidly touch a few of those, which you will
[00:49:49.600 --> 00:49:53.560]   see will come up later on in multiple talks.
[00:49:53.560 --> 00:49:56.320]   So one of the first hypotheses, which
[00:49:56.320 --> 00:49:57.760]   might be that you're underfitting,
[00:49:57.760 --> 00:49:59.960]   well, you can essentially just fight this
[00:49:59.960 --> 00:50:01.880]   by waiting longer, so training longer.
[00:50:01.880 --> 00:50:03.600]   If you have your gradients are too small,
[00:50:03.600 --> 00:50:05.800]   and this is essentially why you're progressing very slowly
[00:50:05.800 --> 00:50:08.220]   when you're training, well, if you're using GPUs
[00:50:08.220 --> 00:50:11.480]   and are able to do more iterations over the same
[00:50:11.480 --> 00:50:15.120]   training set in less time, that might just
[00:50:15.120 --> 00:50:16.800]   solve your problem of underfitting.
[00:50:16.800 --> 00:50:18.760]   And I think we've seen some of that,
[00:50:18.760 --> 00:50:21.340]   and this is partly why GPUs have been so game-changing
[00:50:21.340 --> 00:50:22.520]   for deep learning.
[00:50:22.520 --> 00:50:26.120]   Or you can use just better optimization methods also.
[00:50:26.120 --> 00:50:28.200]   And if you're overfitting, well, we just
[00:50:28.200 --> 00:50:31.560]   need better regularization.
[00:50:31.560 --> 00:50:33.680]   I've been involved early on in my PhD
[00:50:33.680 --> 00:50:36.040]   on using unsupervised learning as a way
[00:50:36.040 --> 00:50:38.820]   to regularize neural nets.
[00:50:38.820 --> 00:50:40.940]   If I have time, I'll talk a little bit about that.
[00:50:40.940 --> 00:50:43.200]   And there's another method you might have heard
[00:50:43.200 --> 00:50:44.840]   about known as dropout.
[00:50:44.840 --> 00:50:49.560]   So I'll try to touch at least two methods that are essentially
[00:50:49.560 --> 00:50:51.360]   trying to address some of these issues.
[00:50:51.360 --> 00:50:54.720]   So the first one that I'll talk about is dropout.
[00:50:54.720 --> 00:50:57.920]   It's actually very easy, very simple.
[00:50:57.920 --> 00:51:01.120]   So the idea of if our neural net is essentially overfitting,
[00:51:01.120 --> 00:51:04.520]   so it's too good at training on the training set,
[00:51:04.520 --> 00:51:06.880]   well, we're essentially going to cripple training.
[00:51:06.880 --> 00:51:09.240]   We're going to make it harder to fit the training set.
[00:51:09.240 --> 00:51:11.240]   And the way we're going to do that in dropout
[00:51:11.240 --> 00:51:13.880]   is that we will stochastically remove
[00:51:13.880 --> 00:51:16.120]   hidden units independently.
[00:51:16.120 --> 00:51:18.880]   So for each hidden unit, before we do a forward pass,
[00:51:18.880 --> 00:51:20.240]   we'll flip a coin.
[00:51:20.240 --> 00:51:22.880]   And with probability half, we will
[00:51:22.880 --> 00:51:24.800]   multiply the activation by 0.
[00:51:24.800 --> 00:51:27.500]   And with probability half, we'll multiply it by 1.
[00:51:27.500 --> 00:51:30.840]   So what this means is that if a unit is multiplied by 0,
[00:51:30.840 --> 00:51:34.120]   it's effectively not in the neural net anymore.
[00:51:34.120 --> 00:51:36.360]   And we're doing this independently
[00:51:36.360 --> 00:51:37.880]   for each hidden units.
[00:51:37.880 --> 00:51:41.840]   So that means that in a layer, a unit cannot rely anymore
[00:51:41.840 --> 00:51:44.760]   on the presence on any other units
[00:51:44.760 --> 00:51:47.880]   to try to sort of synchronize and adapt
[00:51:47.880 --> 00:51:50.600]   to perform a complex classification
[00:51:50.600 --> 00:51:52.360]   or learn a complex feature.
[00:51:52.360 --> 00:51:54.680]   And that was partly the motivation behind dropout
[00:51:54.680 --> 00:51:57.480]   is that this procedure might encourage
[00:51:57.480 --> 00:51:59.760]   types of features that are not co-adapted
[00:51:59.760 --> 00:52:02.880]   and are less likely to overfit.
[00:52:02.880 --> 00:52:05.960]   So we often use 0.5 as the probability
[00:52:05.960 --> 00:52:08.040]   of dropping out a unit.
[00:52:08.040 --> 00:52:10.040]   It turns out it often, surprisingly,
[00:52:10.040 --> 00:52:11.160]   is the best value.
[00:52:11.160 --> 00:52:12.920]   But that's another hyperparameter
[00:52:12.920 --> 00:52:15.060]   you might want to tune.
[00:52:15.060 --> 00:52:18.560]   And in terms of how it impacts an implementation of backdrop,
[00:52:18.560 --> 00:52:20.000]   it's very simple.
[00:52:20.000 --> 00:52:21.600]   So the forward pass, before I do it,
[00:52:21.600 --> 00:52:24.760]   I just sample my binary masks for all my layers.
[00:52:24.760 --> 00:52:28.240]   And then when I'm performing backdrop, well,
[00:52:28.240 --> 00:52:30.000]   my gradient on the--
[00:52:30.000 --> 00:52:30.480]   oh, sorry.
[00:52:30.480 --> 00:52:31.580]   So that's the forward pass.
[00:52:31.580 --> 00:52:34.760]   I'm just multiplying by this binary mask here.
[00:52:34.760 --> 00:52:36.640]   So super simple change.
[00:52:36.640 --> 00:52:39.000]   And then in terms of backdrop, well, I'm
[00:52:39.000 --> 00:52:41.160]   also going to multiply by the mask
[00:52:41.160 --> 00:52:43.800]   when I get my gradient on the pre-activation.
[00:52:43.800 --> 00:52:47.080]   And also, don't forget that the activations are now different.
[00:52:47.080 --> 00:52:49.920]   They actually include the mask in my notation.
[00:52:49.920 --> 00:52:52.860]   So it's a very simple change in the forward and backward pass
[00:52:52.860 --> 00:52:54.280]   when you're training.
[00:52:54.280 --> 00:52:56.280]   And also, another thing that I should emphasize
[00:52:56.280 --> 00:52:59.600]   is that the mask is being resampled for every example.
[00:52:59.600 --> 00:53:02.160]   So before you do a forward pass, you resample the mask.
[00:53:02.160 --> 00:53:03.280]   You don't keep it--
[00:53:03.280 --> 00:53:07.560]   sample it once and then use it the whole time.
