
[00:00:00.000 --> 00:00:07.000]   Hey there wine lovers! Elevate your holiday wine time with WineEnthusiast.com.
[00:58:56.000 --> 00:59:02.000]   Is anarchistic liberty possible? No. It's not even desirable.
[00:59:02.000 --> 00:59:12.000]   But the absolute maximum liberty is found when you experience personal forgiveness for your sins,
[00:59:12.000 --> 00:59:16.000]   you repent and you confess all of your sins,
[00:59:16.000 --> 00:59:20.000]   you make anything right that you can make right,
[00:59:20.000 --> 00:59:23.000]   and you follow Christ and you do good. Love God. Love your neighbor.
[00:59:23.000 --> 00:59:26.000]   Jesus said that's the encapsulation of the law.
[00:59:26.000 --> 00:59:30.000]   Love God. Love your neighbor. Live a righteous life.
[00:59:30.000 --> 00:59:33.000]   And in that you can experience total personal freedom.
[00:59:33.000 --> 00:59:35.000]   Total spiritual freedom.
[00:59:35.000 --> 00:59:42.000]   You can be set free from every single vice, every controlling influence of sin, no matter what.
[00:59:42.000 --> 00:59:47.000]   You can be set free from evil desires, impure thoughts, impure desires.
[00:59:47.000 --> 00:59:50.000]   You can be set free from those things.
[00:59:50.000 --> 00:59:57.000]   And you can be filled with the Holy Spirit, God Himself, who comes within to guide you, direct you,
[00:59:57.000 --> 01:00:03.000]   to lead you, to control you, and to give you power here and now in this life.
[01:00:03.000 --> 01:00:10.000]   I just want to close today's show with some last bits of practical instruction.
[01:00:10.000 --> 01:00:15.000]   If you have any interest in following Christ, if you have any interest in becoming a Christian,
[01:00:15.000 --> 01:00:17.000]   let me explain to you how you do it.
[01:00:17.000 --> 01:00:19.000]   There are four things that you need.
[01:00:19.000 --> 01:00:22.000]   Number one, you need to repent of your sins.
[01:00:22.000 --> 01:00:27.000]   What that means is you need to make a list of the sins that you have committed,
[01:00:27.000 --> 01:00:32.000]   the things that you have done against God, and you need to confess those things.
[01:00:32.000 --> 01:00:37.000]   You need to confess them first to God, specifically identify them and confess them to God.
[01:00:37.000 --> 01:00:40.000]   You also need to confess them to somebody else.
[01:00:40.000 --> 01:00:45.000]   And you need to go, if possible, and confess them to the person that you've sinned.
[01:00:45.000 --> 01:00:52.000]   If you've murdered somebody, you need to go and confess your murder and pay the consequence for it.
[01:00:52.000 --> 01:00:59.000]   If you've stolen from somebody, you need to go and confess your theft and repay the victim from whom you've stolen.
[01:00:59.000 --> 01:01:03.000]   If you've wronged somebody, you need to go and confess your wrong and ask to be forgiven.
[01:01:03.000 --> 01:01:08.000]   Whatever is the appropriate way for you to make it right, you need to repent from your sins,
[01:01:08.000 --> 01:01:11.000]   confess them, and go and make them right.
[01:01:11.000 --> 01:01:16.000]   Number two, you need to believe in Jesus Christ.
[01:01:16.000 --> 01:01:20.000]   There's a lot to that, but you need to believe in Jesus Christ.
[01:01:20.000 --> 01:01:24.000]   Pick up a Bible, read what the Bible has to say.
[01:01:24.000 --> 01:01:27.000]   Start in the book of Mark, my recommendation.
[01:01:27.000 --> 01:01:33.000]   Shortest book. It's a book written for unbelievers, not for believers already.
[01:01:33.000 --> 01:01:37.000]   Read the book of Mark. Read about Jesus and believe in Jesus' message.
[01:01:37.000 --> 01:01:43.000]   Believe that Jesus is who he said he was and that he did what he said he would do.
[01:01:43.000 --> 01:01:46.000]   For some people, that's easy. For some people, that's incredibly hard.
[01:01:46.000 --> 01:01:52.000]   For some people, it's easy for them to say, "I was raised in a Christian culture. Of course I believe in Jesus."
[01:01:52.000 --> 01:01:56.000]   For other people, it's brutally difficult.
[01:01:56.000 --> 01:02:01.000]   "I was raised in a skeptical culture. I'm not even sure that Jesus ever existed."
[01:02:01.000 --> 01:02:06.000]   Well, search it out. Start reading, start questioning, start digging into it.
[01:02:06.000 --> 01:02:08.000]   You're going to have to believe in Jesus Christ.
[01:02:08.000 --> 01:02:15.000]   Number three is you need to be baptized in water for the forgiveness of your sins.
[01:02:15.000 --> 01:02:19.000]   That means you're going to have to find somebody who can baptize you.
[01:02:19.000 --> 01:02:25.000]   It doesn't have to be a guy with a collar around his neck and a fancy gold crucifix on his chest.
[01:02:25.000 --> 01:02:32.000]   Any believer can baptize you, but you're going to have to find a believer who can baptize you in water for the forgiveness of your sins.
[01:02:32.000 --> 01:02:35.000]   Number four is you need to receive the Holy Spirit.
[01:02:35.000 --> 01:02:38.000]   That was God's promise.
[01:02:38.000 --> 01:02:44.000]   Christ died so that the wall of separation of sin between man and God could be set right.
[01:02:44.000 --> 01:02:54.000]   He told his disciples, "Go and wait until you receive power from on high, from God himself, which is the person of the Holy Spirit."
[01:02:54.000 --> 01:03:01.000]   Believe that the Holy Spirit is God himself in spirit who can come to live within you and within me.
[01:03:01.000 --> 01:03:08.000]   And that gives you access to all of God's power here and now in this life.
[01:03:08.000 --> 01:03:11.000]   That's how you become a Christian.
[01:03:11.000 --> 01:03:14.000]   For some people that process is very quick.
[01:03:14.000 --> 01:03:16.000]   It's a one-day thing.
[01:03:16.000 --> 01:03:24.000]   Meet a believer, confess your sins, you already believe in Jesus, be baptized in water and receive the Holy Spirit.
[01:03:24.000 --> 01:03:25.000]   That's ideal.
[01:03:25.000 --> 01:03:33.000]   For other people, other people, for other peoples, other persons, for other people, it's a very long process.
[01:03:33.000 --> 01:03:36.000]   There's a drawing period.
[01:03:36.000 --> 01:03:39.000]   Perhaps there's a lot of work that needs to be done in your life.
[01:03:39.000 --> 01:03:41.000]   I don't know who you are, I don't know where you're from.
[01:03:41.000 --> 01:03:48.000]   All I'm telling you is that simply that spiritual liberty is available for you.
[01:03:48.000 --> 01:03:52.000]   Christ died to set you free.
[01:03:52.000 --> 01:03:55.000]   I want to close with one more passage of scripture from Romans 8.
[01:03:55.000 --> 01:04:02.000]   "There is therefore now no condemnation for those who are in Christ Jesus.
[01:04:02.000 --> 01:04:10.000]   For the law of the Spirit of life has set you free in Christ Jesus from the law of sin and death.
[01:04:10.000 --> 01:04:15.000]   For God has done what the law, weakened by the flesh, could not do,
[01:04:15.000 --> 01:04:19.000]   by sending his own Son in the likeness of sinful flesh.
[01:04:19.000 --> 01:04:27.000]   And for sin, he condemned sin in the flesh, in order that the righteous requirement of the law might be fulfilled in us,
[01:04:27.000 --> 01:04:32.000]   who walk not according to the flesh, but according to the Spirit.
[01:04:32.000 --> 01:04:35.000]   For those who live according to the flesh set their minds on the things of the flesh,
[01:04:35.000 --> 01:04:39.000]   but those who live according to the Spirit set their minds on the things of the Spirit.
[01:04:39.000 --> 01:04:47.000]   For to set the mind on the flesh is death, but to set the mind on the Spirit is life and peace.
[01:04:47.000 --> 01:04:54.000]   For the mind that is set on the flesh is hostile to God, for it does not submit to God's law, indeed it cannot.
[01:04:54.000 --> 01:04:57.000]   Those who are in the flesh cannot please God.
[01:04:57.000 --> 01:05:04.000]   You, however, are not in the flesh, but in the Spirit, if, in fact, the Spirit of God dwells in you.
[01:05:04.000 --> 01:05:08.000]   Anyone who does not have the Spirit of Christ does not belong to him.
[01:05:08.000 --> 01:05:15.000]   But if Christ is in you, although the body is dead because of sin, the Spirit is life because of righteousness.
[01:05:15.000 --> 01:05:20.000]   If the Spirit of him who raised Jesus from the dead dwells in you,
[01:05:20.000 --> 01:05:30.000]   he who raised Christ Jesus from the dead will also give life to your mortal bodies through his Spirit who dwells in you.
[01:05:30.000 --> 01:05:36.000]   I want you to experience that liberty.
[01:05:36.000 --> 01:05:40.000]   I say this without any fear of error.
[01:05:40.000 --> 01:05:44.000]   There are a lot of things that lead to liberty, and liberty is very important to me.
[01:05:44.000 --> 01:05:50.000]   But the foundation is personal, spiritual liberty.
[01:05:50.000 --> 01:05:59.000]   And if you have that, you'll be able to labor for your entire lifetime in a job that you don't like
[01:05:59.000 --> 01:06:03.000]   and do it with a smile on your face and with joy in your heart.
[01:06:03.000 --> 01:06:10.000]   If you have that personal spiritual liberty, you'll be able to live on a meager budget
[01:06:10.000 --> 01:06:16.000]   and be satisfied and content with your life and with your income.
[01:06:16.000 --> 01:06:21.000]   You don't have to have any of those other things if you have personal spiritual liberty.
[01:06:21.000 --> 01:06:26.000]   So doesn't it make logical sense that that should be your first focus?
[01:06:26.000 --> 01:06:30.000]   To me it does.
[01:06:30.000 --> 01:06:33.000]   Thank you for listening to today's show.
[01:06:33.000 --> 01:06:38.000]   Tomorrow we'll be talking about family liberty.
[01:06:38.000 --> 01:06:40.000]   Oh, sorry, you know what?
[01:06:40.000 --> 01:06:46.000]   I may insert one bonus in between now and tomorrow, but the next episode in this series we'll be talking about family liberty.
[01:06:46.000 --> 01:06:52.000]   As I close today, just simply want to say I've been doing more consulting over the last few weeks,
[01:06:52.000 --> 01:06:55.000]   and over the next year I'm doing 10 hours a week of consulting,
[01:06:55.000 --> 01:06:58.000]   booked out through the end of January right now.
[01:06:58.000 --> 01:07:03.000]   But if you would like to talk with me personally, if you would like to engage me for a personal conversation,
[01:07:03.000 --> 01:07:07.000]   a personal consulting call, send me an email, joshua@radicalpersonalfinance.com,
[01:07:07.000 --> 01:07:10.000]   and I'll reply with all the details of how you can do that.
[01:07:10.000 --> 01:07:14.000]   Send me an email, joshua@radicalpersonalfinance.com, and that is available to you again.
[01:07:14.000 --> 01:07:17.000]   Again, joshua@radicalpersonalfinance.com.
[01:07:17.000 --> 01:07:18.000]   Have a great day.
[01:07:19.000 --> 01:07:24.000]   The holidays start here at Ralph's, with a variety of options to celebrate traditions old and new.
[01:07:24.000 --> 01:07:29.000]   You could do a classic herb roasted turkey, or spice it up and make turkey tacos.
[01:07:29.000 --> 01:07:36.000]   Serve up a go-to shrimp cocktail, or use Simple Truth wild-caught shrimp for your first Cajun risotto.
[01:07:36.000 --> 01:07:41.000]   Make creamy mac and cheese, or a spinach artichoke fondue from our selection of Murray's cheese.
[01:07:41.000 --> 01:07:46.000]   No matter how you shop, Ralph's has all the freshest ingredients to embrace all your holiday traditions.
[01:07:46.000 --> 01:07:48.900]   Ralph's, fresh for everyone.

