
[00:00:00.000 --> 00:00:10.920]   Hello, and welcome to the Everyday Educator, a podcast where we explore the beauty, challenges,
[00:57:13.540 --> 00:57:20.160]   where she doesn't. And, and if I have some preconceived notion about what she's supposed to
[00:57:20.160 --> 00:57:26.960]   do or usually. So, I mean, roll that into homeschooling your kids. It's just like what you might think
[00:57:26.960 --> 00:57:31.980]   it's going to happen. It won't what you think your schedule is going to be. It won't. And so that idea
[00:57:31.980 --> 00:57:37.880]   of just like holding your hands open to what the Lord wants to do. And I agree with you. You can't be
[00:57:37.880 --> 00:57:42.620]   a hundred percent ready. I don't even know I'm going to be 50% ready, you know? Um, cause you
[00:57:42.620 --> 00:57:49.460]   really do just need that space for flex for, you know, that kind of thing. And one thing, I don't
[00:57:49.460 --> 00:57:54.300]   know if this is a good place to say it, but I think I misunderstood timing. I think I misunderstood
[00:57:54.300 --> 00:58:02.540]   with a kindergarten student that, um, how much time would be like the school part. Um, and I think I
[00:58:02.540 --> 00:58:07.940]   had preconceived notions that it was hours and hours because that's what my idea of school would
[00:58:07.940 --> 00:58:13.120]   be. I, I send them away. Well in California, not for kindergarten, but first grade it's all day. And
[00:58:13.120 --> 00:58:17.460]   you know, that I, I feel like that's one of the things I tell people. It's like,
[00:58:17.460 --> 00:58:22.040]   you spend 45 minutes with your kindergartner, like that's it. And they're like, wait, what,
[00:58:22.040 --> 00:58:28.600]   you know? And, and I was that same way. And so, you know, are you ready to do 45 minutes a day with
[00:58:28.600 --> 00:58:34.560]   your kindergartner? I mean, that's a lot less of a commitment than six hours of school, you know?
[00:58:34.560 --> 00:58:40.040]   And, and by the way, if you do try to do two, three, four, five, six hours with your first grader,
[00:58:40.820 --> 00:58:47.880]   everyone's going to cry. Everyone. Um, so just, yeah, it's really the pressure there. When you
[00:58:47.880 --> 00:58:53.160]   talk about the, having grace with yourself, like that's, that was a great thing to learn is like,
[00:58:53.160 --> 00:58:58.120]   it's real easy to check the school box. If it's 45 minutes, when you start, when they're little.
[00:58:58.120 --> 00:59:06.260]   Absolutely. Absolutely. Wise advice. I want to thank both of you for joining me today. And as we get
[00:59:06.260 --> 00:59:11.440]   ready to say our goodbyes to you, listener, um, I have one more question for both Lynn
[00:59:11.440 --> 00:59:18.180]   and for Didi. I'm curious. And we've, we've already talked a little bit about if we had a time machine
[00:59:18.180 --> 00:59:24.080]   to go back in time and talk to that version of ourselves who was in the place. Some of our listeners
[00:59:24.080 --> 00:59:30.860]   are contemplating this decision. If you can, if you can get in a time machine and go back and tell
[00:59:30.860 --> 00:59:39.580]   yourself one thing now with your years of experience, what's the one thing you would tell your considering
[00:59:39.580 --> 00:59:48.140]   homeschooling self? Yeah. I would repeat what my neighbor said. Just try it. Hmm. It doesn't have
[00:59:48.140 --> 00:59:55.100]   to be permanent. Just try it. And that was the biggest gift. So that's what I would say.
[00:59:55.100 --> 00:59:57.940]   So good. What about you, Lynn? What would you tell yourself?
[00:59:57.940 --> 01:00:07.420]   I would tell myself that having them home with me is more valuable than, um, any other thing that I
[01:00:07.420 --> 01:00:12.460]   could be doing with them, like sending them to school or sending them to preschool or whatever it is,
[01:00:12.460 --> 01:00:21.180]   just having them home and doing no school is even more valuable. Um, that time together,
[01:00:21.180 --> 01:00:27.860]   when Didi talked about reclaiming her family time and stuff, uh, that just is, it's very true. Um,
[01:00:27.860 --> 01:00:34.820]   that the first step into homeschool is just gathering your kids and having them close to you. Yeah.
[01:00:35.820 --> 01:00:41.940]   Thank you both for joining me today for the everyday educator and listener. We want to thank you as well
[01:00:41.940 --> 01:00:48.060]   for joining us. And if you're still wondering whether you are ready, ready to homeschool,
[01:00:48.060 --> 01:00:56.540]   God does not always call the equipped. He equips those he, he has called. And we've already spoken
[01:00:56.540 --> 01:01:03.360]   about this at length today, but remember readiness is not about having it all figured out. It's just not
[01:01:03.360 --> 01:01:09.300]   because I will say as a 20 year homeschooler, veteran of homeschooling, I still don't have it
[01:01:09.300 --> 01:01:15.380]   all figured out, but I do rely on him for the grace that I need. It's about willing, being willing to
[01:01:15.380 --> 01:01:21.540]   trust, learn and grow every day alongside your children. So Didi and Lynn, I'm going to thank
[01:01:21.540 --> 01:01:26.820]   you both for sharing your heart with our listeners today. And we hope today's conversation gave you some
[01:01:26.820 --> 01:01:32.740]   encouragement, practical insight, and a reminder that you, my friend are not alone in this journey.
[01:01:32.740 --> 01:01:38.400]   So if this episode was a blessing to you, would you take a moment to share it with a friend who might
[01:01:38.400 --> 01:01:44.880]   also need some encouragement along their homeschooling journey until next time, keep learning, keep
[01:01:44.880 --> 01:01:53.380]   growing and keep educating every day. Goodbye, friends. Thank you. Bye. Thank you.
[01:01:53.380 --> 01:01:55.440]   you
[01:01:55.440 --> 01:01:55.940]   you
[01:01:55.940 --> 01:01:56.440]   you
[01:01:56.440 --> 01:01:56.940]   you
[01:01:56.940 --> 01:01:57.440]   you
[01:01:57.440 --> 01:01:57.940]   you
[01:01:57.940 --> 01:01:58.440]   you
[01:01:58.440 --> 01:02:00.120]   We'll see you next time.

