
[00:00:00.080 --> 00:00:04.720]   Traveling for free isn't just about earning points, it's about using them smartly.
[00:47:15.320 --> 00:47:19.240]   Now, the last one here is around hidden city ticketing or married segment logic.
[00:47:19.820 --> 00:47:30.420]   And the way this shows up is you might find a flight from, let's call it, Washington, D.C. to Paris and then connecting to Nice on Air France.
[00:47:30.420 --> 00:47:34.520]   And Air France, Americans, Swiss Airlines are the airlines I've seen this happen most on.
[00:47:34.520 --> 00:47:36.540]   And you'll find that flight available with points.
[00:47:36.540 --> 00:47:38.080]   But maybe you don't want to go to Nice.
[00:47:38.080 --> 00:47:40.900]   So then you just search D.C. to Paris and you can't find it.
[00:47:41.040 --> 00:47:49.360]   And so for reasons I don't always understand, airlines can kind of marry these segments together and say this flight is only available with points and miles if you take both segments.
[00:47:49.360 --> 00:47:51.300]   This also happens with cash tickets.
[00:47:51.300 --> 00:48:00.840]   So there are times where flying from Denver to San Francisco is way more expensive than flying Denver to San Francisco and then connecting to Redding, California, for example.
[00:48:00.840 --> 00:48:06.640]   And there's a whole website called SkipLagged that makes it easy for you to search and say, hey, I'm looking for flights from city A to B.
[00:48:07.220 --> 00:48:11.660]   Show me all the flights, even if they connect through B and go on to some other city.
[00:48:11.660 --> 00:48:13.720]   But there's a couple of things to keep in mind.
[00:48:13.720 --> 00:48:18.960]   One, if you check bags, almost always your bags are going to be checked all the way through.
[00:48:18.960 --> 00:48:21.700]   So you don't want to check bags on flights like this.
[00:48:21.700 --> 00:48:28.980]   If you schedule a layover and that layover is overnight, or if you're on an international flight coming into the U.S.
[00:48:28.980 --> 00:48:34.060]   and you left from a city that doesn't have you clear customs and immigration in the foreign country,
[00:48:34.060 --> 00:48:37.040]   then you're going to have to collect your bags and go through customs and immigration.
[00:48:37.200 --> 00:48:43.640]   So there are cases where you might be able to have your bags only be checked to the first destination and not worry about that.
[00:48:43.640 --> 00:48:46.740]   But in general, most people say, if you're going to do this, don't check bags.
[00:48:46.740 --> 00:48:53.420]   They also say, if you're going to do this regularly, don't put your frequent flyer number on your ticket because airlines don't love when you do this.
[00:48:53.420 --> 00:48:59.580]   If it happens one time and you get off the flight and send a message to the airline and say, something came up, I have to cancel this flight.
[00:48:59.580 --> 00:49:02.360]   I'm not going to be going on to Nice or I'm not going to be going on to Redding.
[00:49:02.480 --> 00:49:05.480]   I don't think it's going to be a single problem if you just do it one time.
[00:49:05.480 --> 00:49:08.920]   But I think if you make a regular habit out of this, airlines will be upset.
[00:49:08.920 --> 00:49:13.780]   The good thing is if you're booking flights with points and miles, you're not going to earn points and miles on that flight.
[00:49:13.780 --> 00:49:17.800]   So having your frequent flyer number attached maybe doesn't matter.
[00:49:17.800 --> 00:49:23.840]   Most frequent flyer programs preload your profile with your frequent flyer number and don't let you change it.
[00:49:24.360 --> 00:49:32.760]   However, if you're booking your partner or, you know, your kids or your family members, they usually don't require you to attach a frequent flyer number to additional travelers.
[00:49:32.760 --> 00:49:36.600]   So you can always just create an additional traveler that has your name and date of birth.
[00:49:36.600 --> 00:49:43.980]   And instead of using I'm traveling, you say, hey, the other Chris is traveling and that Chris doesn't have a frequent flyer number attached.
[00:49:43.980 --> 00:49:52.180]   And that might be a little bit easier, especially in a situation where having your frequent flyer account doesn't actually add anything to the trip or scheduling a really long layover.
[00:49:52.180 --> 00:50:01.020]   Again, if you were flying to Paris and you had an overnight connection, you could probably make a case that you want to only check your bag to Paris because you're going to have to go stay at a hotel and you need your things.
[00:50:01.020 --> 00:50:04.060]   So definitely something to try out.
[00:50:04.060 --> 00:50:05.600]   So you can also turn this into a hack.
[00:50:05.600 --> 00:50:13.780]   If you remember what I described with mixed cabin awards, Avianca, Cathay Pacific, if you have some economy legs, it might be cheaper.
[00:50:13.780 --> 00:50:19.340]   So imagine you were looking to fly from San Francisco to Japan and then you had an onward flight to India.
[00:50:19.340 --> 00:50:25.300]   And maybe with a carrier that has regional pricing, whether you fly to Japan or India is the same price.
[00:50:25.300 --> 00:50:28.500]   But that Japan to India leg is entirely an economy.
[00:50:28.500 --> 00:50:34.500]   It might actually bring the entire cost of the ticket way down because it's only half in business and half an economy.
[00:50:34.500 --> 00:50:39.300]   But again, you want to make sure that your bags aren't going to end up in India because that would be a massive challenge.
[00:50:39.300 --> 00:50:46.580]   There is a episode of the Frequent Miler podcast where they talked about all the different ways that you can actually fly further to save miles.
[00:50:46.580 --> 00:50:48.900]   I'll link to that in the show notes if you want to go deeper.
[00:50:48.900 --> 00:50:53.460]   They're kind of 301, 401 advanced hacks when it comes to this stuff.
[00:50:53.580 --> 00:50:56.340]   They probably go beyond anything I've ever even done.
[00:50:56.340 --> 00:51:00.260]   But for the adventurous person that wants to go down that rabbit hole, I will share that link.
[00:51:00.260 --> 00:51:01.660]   Next, I want to talk about hotel tips.
[00:51:01.660 --> 00:51:02.740]   And this one's pretty quick.
[00:51:02.740 --> 00:51:05.340]   There aren't as many tricks and tips for hotels.
[00:51:05.340 --> 00:51:08.960]   However, Hilton and Marriott offer fifth night free.
[00:51:08.960 --> 00:51:13.940]   So if you're booking your stays in groups of five nights, you can get about 20% off.
[00:51:13.940 --> 00:51:16.740]   It's based on usually the cheapest of the nights.
[00:51:16.740 --> 00:51:19.560]   So if the nights fluctuate in price, it might not always be 20%.
[00:51:19.560 --> 00:51:22.140]   But if they were all consistent, you'd get one of five nights free.
[00:51:22.500 --> 00:51:26.500]   And then if you have an IHG card, you get the fourth night free.
[00:51:26.500 --> 00:51:29.000]   So 25% off, assuming they're all the same price.
[00:51:29.000 --> 00:51:32.400]   Hyatt and Hilton also don't charge resort fees on award nights.
[00:51:32.400 --> 00:51:37.900]   And so when I went to San Diego the other week, the hotel had a $42 a night resort fee.
[00:51:37.900 --> 00:51:41.500]   But because I was staying with points, they waived that fee.
[00:51:41.500 --> 00:51:43.160]   Hyatt also waives that fee if you're a globalist.
[00:51:43.160 --> 00:51:45.320]   So there are multiple ways to get that resort fee waived.
[00:51:45.460 --> 00:51:49.560]   Also, if you have the Hyatt business card, you get 10% back on your points bookings.
[00:51:49.560 --> 00:51:53.860]   After you spend $50,000 a year, you only get up to 20,000 points back.
[00:51:53.860 --> 00:51:58.540]   So I'd say it's a small benefit relative to the cost of spending $50,000 on a card.
[00:51:58.540 --> 00:52:00.020]   But it is a benefit nonetheless.
[00:52:00.020 --> 00:52:01.360]   So that's a couple of the hotel tips.
[00:52:01.360 --> 00:52:05.140]   In general, there aren't as many tricks and tips for booking awards for hotels.
[00:52:05.140 --> 00:52:08.220]   But I will say those Hilton free night certificates are amazing.
[00:52:08.220 --> 00:52:13.460]   Hyatt suite upgrade awards are pretty amazing because you can actually confirm at booking a suite.
[00:52:13.460 --> 00:52:16.140]   We've used those a few times, especially now that we have kids.
[00:52:16.140 --> 00:52:21.180]   And that has made travel with hotels using points way more relaxing and
[00:52:21.180 --> 00:52:24.700]   stress-free than having everyone in one small room.
[00:52:24.700 --> 00:52:26.180]   Finally, two quick niche hacks.
[00:52:26.180 --> 00:52:32.440]   One again on kids is that different airlines have different pricing for lap infants and children.
[00:52:32.440 --> 00:52:34.640]   Now we don't have lap infant aged kids anymore.
[00:52:34.880 --> 00:52:39.260]   However, when we did, it was really surprising how different the pricing was.
[00:52:39.260 --> 00:52:43.740]   And sometimes it was so different that it was worth paying a little bit more for
[00:52:43.740 --> 00:52:47.460]   the adult ticket in order to get a way better deal for the child.
[00:52:47.460 --> 00:52:49.640]   And that's because the price can range wildly.
[00:52:49.640 --> 00:52:53.160]   So for example, Air Canada, $25 or 2,500 points.
[00:52:53.160 --> 00:52:56.280]   British Airways, 10% of the mileage of the trip.
[00:52:56.280 --> 00:53:00.740]   But Delta and a lot of other carriers are 10% of the adult fare.
[00:53:00.740 --> 00:53:04.540]   And so just because you booked with points and miles doesn't mean that the
[00:53:04.620 --> 00:53:08.860]   adult fare might not actually have been way more expensive, especially in the case of
[00:53:08.860 --> 00:53:09.300]   one-ways.
[00:53:09.300 --> 00:53:14.420]   So I think we did this one time and we were looking at Air France and the adult fare on
[00:53:14.420 --> 00:53:16.620]   Air France was only 50,000 points.
[00:53:16.620 --> 00:53:21.960]   But the adult price, if you paid cash, was like $7,000 as a one-way ticket.
[00:53:22.340 --> 00:53:24.800]   So the lap infant fee would have been $700.
[00:53:24.800 --> 00:53:28.720]   Whereas if we had booked that same flight on Air Canada, it would have been $25.
[00:53:28.720 --> 00:53:32.740]   Now, Air France and Air Canada are not in the same alliance.
[00:53:32.740 --> 00:53:34.500]   So I couldn't have booked that exact same flight.
[00:53:34.500 --> 00:53:39.120]   But as an example, there might have been other Sky Team carriers that had way more reasonable
[00:53:39.120 --> 00:53:40.180]   lap infant pricing.
[00:53:40.340 --> 00:53:43.780]   So I'll link to a post in the show notes that talks all about lap infant pricing.
[00:53:43.780 --> 00:53:46.300]   But if you're traveling with a lap infant, be careful.
[00:53:46.300 --> 00:53:50.220]   And then if you're traveling with children, there aren't that many programs that give you
[00:53:50.220 --> 00:53:50.620]   a deal.
[00:53:50.620 --> 00:53:53.560]   But Air France and KLM is hands down the best.
[00:53:53.560 --> 00:53:57.540]   For kids 2 to 11 years old, you just get 25% off the award price.
[00:53:57.540 --> 00:53:59.080]   We've used this before.
[00:53:59.080 --> 00:53:59.960]   It's awesome.
[00:53:59.960 --> 00:54:03.760]   If you're traveling with lots of children, Air France and KLM is going to be an amazing
[00:54:03.760 --> 00:54:04.940]   option to save points.
[00:54:05.540 --> 00:54:09.540]   Cap Portugal also does 25% off kids, but I'm not actually sure how old they have to
[00:54:09.540 --> 00:54:09.760]   be.
[00:54:09.760 --> 00:54:11.760]   But that's one thing to look into.
[00:54:11.760 --> 00:54:13.560]   There aren't a ton of programs that do this.
[00:54:13.560 --> 00:54:15.760]   But if you can save 25% of your miles, why not do it?
[00:54:15.760 --> 00:54:16.440]   And it's automatic.
[00:54:16.440 --> 00:54:19.920]   On Air France's website, as soon as you put the ages in, it's just cheaper flights.
[00:54:19.920 --> 00:54:24.160]   Finally, the last tip here is to take advantage of the Southwest Companion Pass.
[00:54:24.160 --> 00:54:28.420]   It's one of the best hacks out there because you can earn it without having to even fly the
[00:54:28.420 --> 00:54:28.740]   airline.
[00:54:28.740 --> 00:54:31.640]   Obviously, if you don't fly Southwest, it doesn't do you any good.
[00:54:31.640 --> 00:54:35.460]   But you can earn it entirely from credit cards, from credit card welcome bonuses.
[00:54:35.460 --> 00:54:37.740]   From shopping portal spend and stuff like that.
[00:54:37.740 --> 00:54:43.620]   And if you hold a Southwest card, you automatically get 10,000 points towards that status without
[00:54:43.620 --> 00:54:44.260]   any spend.
[00:54:44.260 --> 00:54:47.940]   So normally, it would take 135,000 Southwest points.
[00:54:47.940 --> 00:54:50.720]   With a credit card, it takes 125,000 points.
[00:54:50.720 --> 00:54:56.980]   And once you hit Companion Pass, in the year you hit it and the following year, you can nominate
[00:54:56.980 --> 00:54:59.900]   a person that you can change, I think, up to three times.
[00:54:59.900 --> 00:55:02.980]   And that person can travel for free with you.
[00:55:02.980 --> 00:55:07.240]   You can confirm it at booking, and they just have to pay the taxes and fees on the flight.
[00:55:07.240 --> 00:55:11.880]   So we've had this in the past, and it's not quite two for one because obviously, you have
[00:55:11.880 --> 00:55:12.980]   to pay the taxes and fees.
[00:55:12.980 --> 00:55:16.240]   Though domestically, those taxes and fees are $5.60.
[00:55:16.240 --> 00:55:18.300]   So it's pretty close to two for one.
[00:55:18.300 --> 00:55:22.920]   But even internationally, if the taxes and fees are $50, it's an amazing deal.
[00:55:22.920 --> 00:55:25.780]   And it's possible to earn it with welcome bonuses.
[00:55:26.140 --> 00:55:29.600]   So you could open up a business and personal card.
[00:55:29.600 --> 00:55:33.720]   And usually, those two welcome bonuses combined are more than 125,000 points.
[00:55:33.720 --> 00:55:37.880]   Or you could open up a card during some of the times they do promotions where the welcome
[00:55:37.880 --> 00:55:40.480]   bonus can go up to as high as 120,000 points.
[00:55:40.480 --> 00:55:45.980]   And because that welcome bonus usually requires you to spend 5,000 points, you get 5,000 from
[00:55:45.980 --> 00:55:46.400]   the spend.
[00:55:46.400 --> 00:55:48.340]   You get 120 from this signup bonus.
[00:55:48.660 --> 00:55:50.180]   And now you've already hit companion pass.
[00:55:50.180 --> 00:55:54.360]   So I say, if you're going to try to go for this, going for it in January, we'll get it
[00:55:54.360 --> 00:55:56.240]   for that whole year and the next year.
[00:55:56.240 --> 00:56:02.280]   But be careful that as soon as you hit the spend, it will show up on the statement that
[00:56:02.280 --> 00:56:02.600]   closes.
[00:56:02.600 --> 00:56:07.880]   So sometimes they have these great promotions with huge welcome bonuses in October, November,
[00:56:07.880 --> 00:56:08.320]   December.
[00:56:08.320 --> 00:56:11.920]   You really want to make sure you don't hit that welcome bonus at the very end of the year
[00:56:11.920 --> 00:56:15.480]   because then those points will post in the year before.
[00:56:15.820 --> 00:56:19.280]   And you'll only get companion pass for that year and the following year.
[00:56:19.280 --> 00:56:23.560]   Whereas if you hit it in January or February, you'll get it for the entire year plus the
[00:56:23.560 --> 00:56:24.060]   next year.
[00:56:24.060 --> 00:56:27.580]   And because signup bonuses count, it makes it very easy to get.
[00:56:27.580 --> 00:56:31.740]   Or you can just get one big signup bonus and spend a little more to get there, fly a little,
[00:56:31.740 --> 00:56:33.100]   use the shopping portal, et cetera.
[00:56:33.100 --> 00:56:37.680]   But keep in mind that if you're going for status on Southwest, A-list, A-list preferred,
[00:56:37.680 --> 00:56:42.380]   the credit card welcome bonuses and every dollar you spend on the credit card doesn't count
[00:56:42.380 --> 00:56:42.960]   the same way.
[00:56:42.960 --> 00:56:46.400]   The amount you have to spend to get those tier qualifying points is a very different
[00:56:46.400 --> 00:56:46.820]   formula.
[00:56:46.820 --> 00:56:53.440]   And so you could find yourself at companion pass on Southwest and having only gotten a thousand
[00:56:53.440 --> 00:56:56.280]   points towards getting status on Southwest.
[00:56:56.280 --> 00:56:57.880]   So that wraps it up.
[00:56:57.880 --> 00:57:02.880]   That's 18 ways that I think you can really dial in your award travel and book some incredible
[00:57:02.880 --> 00:57:04.360]   flights for you and your family.
[00:57:04.600 --> 00:57:10.020]   And I really hope this is helpful as always questions, feedback, thoughts, podcast at all
[00:57:10.020 --> 00:57:10.940]   the hacks.com.
[00:57:10.940 --> 00:57:12.060]   That's it for this week.
[00:57:12.060 --> 00:57:13.080]   I will see you next week.

