
[00:00:00.000 --> 00:00:02.000]   I'm now recording.
[00:55:32.000 --> 00:55:34.000]   they're willing to put up with any form of government.
[00:55:34.000 --> 00:55:35.000]   And history shows that.
[00:55:35.000 --> 00:55:37.000]   By the way, the conditions in China have improved
[00:55:37.000 --> 00:55:39.000]   better than everybody's in the last--
[00:55:39.000 --> 00:55:41.000]   It's better than anyone in history.
[00:55:41.000 --> 00:55:43.000]   They've moved 500 million people out of abject poverty,
[00:55:43.000 --> 00:55:47.000]   and that's the great success of engagement.
[00:55:47.000 --> 00:55:52.000]   Isolationism would not have created that amazing outcome.
[00:55:52.000 --> 00:55:54.000]   500 million people going out of abject--
[00:55:54.000 --> 00:55:56.000]   You're referring to us throwing--
[00:55:56.000 --> 00:55:59.000]   Apple building factories is what I'm referring to.
[00:55:59.000 --> 00:56:00.000]   Oh, okay, fine.
[00:56:00.000 --> 00:56:02.000]   If they want to build something over there,
[00:56:02.000 --> 00:56:04.000]   I guess that's better than us throwing open our markets
[00:56:04.000 --> 00:56:09.000]   and giving China MFN status to destroy American manufacturing
[00:56:09.000 --> 00:56:11.000]   and build up their economy so they can become
[00:56:11.000 --> 00:56:14.000]   a peer competitor to the United States.
[00:56:14.000 --> 00:56:16.000]   I mean, this is the balance of engagement.
[00:56:16.000 --> 00:56:19.000]   If you engage too much, you give everything up.
[00:56:19.000 --> 00:56:24.000]   Sax, which of the current Republican agenda
[00:56:24.000 --> 00:56:27.000]   do you disagree with most strongly, just as an aside?
[00:56:27.000 --> 00:56:31.000]   Well, most Republicans are in favor of our Ukraine policy,
[00:56:31.000 --> 00:56:34.000]   this sort of unlimited appropriation of weapons
[00:56:34.000 --> 00:56:35.000]   and aid to them.
[00:56:35.000 --> 00:56:37.000]   Don't you disagree with immigration policy
[00:56:37.000 --> 00:56:38.000]   of Republicans and Democrats?
[00:56:38.000 --> 00:56:40.000]   Well, I have a more nuanced position on immigration,
[00:56:40.000 --> 00:56:43.000]   which is I think we need to have a border.
[00:56:43.000 --> 00:56:45.000]   It can't be just like an open border,
[00:56:45.000 --> 00:56:47.000]   which is the de facto policy we have now.
[00:56:47.000 --> 00:56:50.000]   But at the same time, I do think that we should have H-1B visas
[00:56:50.000 --> 00:56:52.000]   and we want to, like Jamal said,
[00:56:52.000 --> 00:56:54.000]   we want to be an all-star team for the world.
[00:56:54.000 --> 00:56:56.000]   We want to have the best people who want to come here.
[00:56:56.000 --> 00:56:58.000]   So there's a balance. It's a balance.
[00:56:58.000 --> 00:57:00.000]   And then, look, I think that I was happy to see
[00:57:00.000 --> 00:57:03.000]   the marriage equality bill finally pass the Senate.
[00:57:03.000 --> 00:57:05.000]   Yes, they did get about a dozen--
[00:57:05.000 --> 00:57:07.000]   12 Republicans voted for it. That's great.
[00:57:07.000 --> 00:57:08.000]   So that's great.
[00:57:08.000 --> 00:57:11.000]   But that's not the majority, unfortunately.
[00:57:11.000 --> 00:57:13.000]   You know, look, on what I would categorize
[00:57:13.000 --> 00:57:16.000]   as the old social issues,
[00:57:16.000 --> 00:57:20.000]   you know, like gay marriage, like cannabis legalization,
[00:57:20.000 --> 00:57:22.000]   I was on the liberal side.
[00:57:22.000 --> 00:57:26.000]   Yeah, I don't think, you know, banning abortion entirely
[00:57:26.000 --> 00:57:28.000]   and total abolition is going to work for this country.
[00:57:28.000 --> 00:57:30.000]   I think Republicans will lose elections
[00:57:30.000 --> 00:57:31.000]   if they insist on that,
[00:57:31.000 --> 00:57:33.000]   and I think they're getting that message.
[00:57:33.000 --> 00:57:37.000]   So, yeah, I mean, look, I think that--
[00:57:37.000 --> 00:57:40.000]   I've always considered myself to be pretty centrist.
[00:57:40.000 --> 00:57:42.000]   And so you're not a globalist.
[00:57:42.000 --> 00:57:45.000]   You don't believe in open global markets with the U.S.?
[00:57:45.000 --> 00:57:48.000]   In general, I understand the benefits of free trade,
[00:57:48.000 --> 00:57:51.000]   and I don't think we should be isolationist
[00:57:51.000 --> 00:57:52.000]   with respect to trade.
[00:57:52.000 --> 00:57:54.000]   I don't think that we can be a successful country
[00:57:54.000 --> 00:57:57.000]   if we are-- we isolate our economy.
[00:57:57.000 --> 00:57:59.000]   So I do want to trade.
[00:57:59.000 --> 00:58:02.000]   However, with China in particular,
[00:58:02.000 --> 00:58:04.000]   I think we made a mistake
[00:58:04.000 --> 00:58:06.000]   in throwing open our markets to their products,
[00:58:06.000 --> 00:58:08.000]   giving them MFN status, while--
[00:58:08.000 --> 00:58:10.000]   Most favored nation.
[00:58:10.000 --> 00:58:11.000]   Yes, enriching them to the point
[00:58:11.000 --> 00:58:14.000]   where they became a peer competitor to the United States.
[00:58:14.000 --> 00:58:17.000]   Now, look, I understand why we made that mistake 20 years ago,
[00:58:17.000 --> 00:58:19.000]   because everybody thought the theory was
[00:58:19.000 --> 00:58:21.000]   that if we helped China become rich,
[00:58:21.000 --> 00:58:24.000]   that China would inevitably become more democratic,
[00:58:24.000 --> 00:58:26.000]   and they'd be filled with gratitude
[00:58:26.000 --> 00:58:27.000]   towards the United States,
[00:58:27.000 --> 00:58:30.000]   and they'd actually become more--
[00:58:30.000 --> 00:58:32.000]   more hospitable towards us, more westernized.
[00:58:32.000 --> 00:58:35.000]   And I think that theory has just proven to be wrong.
[00:58:35.000 --> 00:58:36.000]   I mean, they have not--
[00:58:36.000 --> 00:58:39.000]   Or it's going very slowly, one or the other.
[00:58:39.000 --> 00:58:41.000]   Let's own our clips here.
[00:58:41.000 --> 00:58:44.000]   Here is Shamat's prediction from episode 61,
[00:58:44.000 --> 00:58:47.000]   and we'll see you on the other side of this quick clip.
[00:58:47.000 --> 00:58:53.000]   My worldwide biggest political winner for 2022 is Xi Jinping.
[00:58:53.000 --> 00:58:56.000]   I think this guy is--
[00:58:56.000 --> 00:58:59.000]   He's firing on all cylinders,
[00:58:59.000 --> 00:59:02.000]   and he is basically ascendant.
[00:59:02.000 --> 00:59:04.000]   So 2022 marks the first year
[00:59:04.000 --> 00:59:06.000]   where he's essentially really ruler for life.
[00:59:06.000 --> 00:59:08.000]   And so I don't think we really know
[00:59:08.000 --> 00:59:10.000]   what he's capable of and what he's going to do.
[00:59:10.000 --> 00:59:11.000]   And so that's just going to play out.
[00:59:11.000 --> 00:59:13.000]   You think he's the biggest political winner, really?
[00:59:13.000 --> 00:59:16.000]   Oh, my God. I think it's going to be a--
[00:59:16.000 --> 00:59:17.000]   He's going to run roughshod,
[00:59:17.000 --> 00:59:19.000]   not just domestically, but also internationally,
[00:59:19.000 --> 00:59:21.000]   because you have to remember,
[00:59:21.000 --> 00:59:24.000]   he controls so much of the critical supply chain
[00:59:24.000 --> 00:59:26.000]   that the Western world needs to be--
[00:59:26.000 --> 00:59:28.000]   I think you're completely wrong.
[00:59:28.000 --> 00:59:29.000]   I think you're completely wrong.
[00:59:29.000 --> 00:59:31.000]   I think he's losing his power. He's scared.
[00:59:31.000 --> 00:59:33.000]   That's why he took out all these CEOs.
[00:59:33.000 --> 00:59:34.000]   He's consolidating power,
[00:59:34.000 --> 00:59:38.000]   because he fears that they're going to win too big
[00:59:38.000 --> 00:59:39.000]   and then displace him.
[00:59:39.000 --> 00:59:42.000]   And he has massive real estate problems over there
[00:59:42.000 --> 00:59:43.000]   that could blow up at any moment in time.
[00:59:43.000 --> 00:59:44.000]   He could face a civil war there.
[00:59:44.000 --> 00:59:46.000]   I think he's totally isolated himself.
[00:59:46.000 --> 00:59:48.000]   Civil war? They don't even have guns.
[00:59:48.000 --> 00:59:51.000]   Every major country is removing their factories
[00:59:51.000 --> 00:59:52.000]   and removing its dependency.
[00:59:52.000 --> 00:59:53.000]   They don't even have any guns there.
[00:59:53.000 --> 00:59:54.000]   What are you talking about?
[00:59:54.000 --> 00:59:56.000]   What are they going to riot with?
[00:59:56.000 --> 00:59:58.000]   Did you not see Tiananmen Square?
[00:59:58.000 --> 01:00:00.000]   Did you not see the riots in Hong Kong?
[01:00:00.000 --> 01:00:01.000]   Are you not paying attention, Shamath?
[01:00:01.000 --> 01:00:03.000]   There's been many riots in China.
[01:00:03.000 --> 01:00:05.000]   Jason, Zulus were crushed.
[01:00:05.000 --> 01:00:07.000]   I'm not saying they will be crushed,
[01:00:07.000 --> 01:00:10.000]   but he still will have massive amounts of,
[01:00:10.000 --> 01:00:12.000]   I believe, protests.
[01:00:12.000 --> 01:00:13.000]   And yeah, he'll have to kill people.
[01:00:13.000 --> 01:00:16.000]   I think the bigger risk is that
[01:00:16.000 --> 01:00:18.000]   China gets better for Xi Jinping,
[01:00:18.000 --> 01:00:20.000]   but worse for everybody else in China.
[01:00:20.000 --> 01:00:22.000]   It's already worse for all the billionaires over there.
[01:00:22.000 --> 01:00:24.000]   It's worse for the tech industry.
[01:00:24.000 --> 01:00:25.000]   You've now got Evergrande,
[01:00:25.000 --> 01:00:29.000]   that whole gigantic debt implosion.
[01:00:29.000 --> 01:00:32.000]   I think there could be contagion from China next year.
[01:00:32.000 --> 01:00:35.000]   I don't think Xi's going to lose his grip in any way,
[01:00:35.000 --> 01:00:38.000]   but I'm not sure China's going to have a good year next year.
[01:00:38.000 --> 01:00:40.000]   Wow. Nailed it.
[01:00:40.000 --> 01:00:42.000]   I think all three of us kind of got this right.
[01:00:42.000 --> 01:00:43.000]   What are you talking about?
[01:00:43.000 --> 01:00:44.000]   You got none of it right.
[01:00:44.000 --> 01:00:47.000]   I said there were going to be riots
[01:00:47.000 --> 01:00:49.000]   and they're going to have a recession.
[01:00:49.000 --> 01:00:50.000]   Jason, let's be honest.
[01:00:50.000 --> 01:00:51.000]   You said that they would be squashed.
[01:00:51.000 --> 01:00:53.000]   That's exactly what happened.
[01:00:53.000 --> 01:00:54.000]   Both things happened.
[01:00:54.000 --> 01:00:56.000]   I actually think I have a pretty decent ability
[01:00:56.000 --> 01:00:59.000]   to steel man pretty concretely the details.
[01:00:59.000 --> 01:01:00.000]   I think that at best,
[01:01:00.000 --> 01:01:02.000]   when it comes to things like democracy
[01:01:02.000 --> 01:01:04.000]   and your belief in US exceptionalism
[01:01:04.000 --> 01:01:06.000]   in a specific political worldview,
[01:01:06.000 --> 01:01:08.000]   at best you straw man.
[01:01:08.000 --> 01:01:09.000]   I think that you get very biased
[01:01:09.000 --> 01:01:12.000]   without seeing the forest from the trees.
[01:01:12.000 --> 01:01:14.000]   The reason I said that is not because I'm like
[01:01:14.000 --> 01:01:16.000]   some huge Xi supporter.
[01:01:16.000 --> 01:01:18.000]   I'm just trying to steel man what happens
[01:01:18.000 --> 01:01:20.000]   when one individual person
[01:01:20.000 --> 01:01:23.000]   gets anointed leader for life
[01:01:23.000 --> 01:01:25.000]   of 1.3 billion people
[01:01:25.000 --> 01:01:28.000]   that then controls 20% of the world's GDP.
[01:01:28.000 --> 01:01:31.000]   There is no other single human being
[01:01:31.000 --> 01:01:36.000]   as powerful as him as of this month.
[01:01:36.000 --> 01:01:38.000]   Can I just say that this show
[01:01:38.000 --> 01:01:40.000]   is going to become insufferable
[01:01:40.000 --> 01:01:42.000]   if every time you sort of said something
[01:01:42.000 --> 01:01:45.000]   in the past that was sort of correct,
[01:01:45.000 --> 01:01:47.000]   we're going to have to replay it?
[01:01:47.000 --> 01:01:50.000]   I was actually playing that one for you, Sax.
[01:01:50.000 --> 01:01:51.000]   I think you're the one who nailed it.
[01:01:51.000 --> 01:01:53.000]   I was giving that was a softball to you.
[01:01:53.000 --> 01:01:55.000]   I nail it every week, J. Cal.
[01:01:55.000 --> 01:01:56.000]   This show is going to slow down
[01:01:56.000 --> 01:01:58.000]   if we play every clip that I got right.
[01:01:58.000 --> 01:02:00.000]   You guys are asking to pull clips all the time.
[01:02:00.000 --> 01:02:02.000]   I just pulled one clip about China.
[01:02:02.000 --> 01:02:03.000]   You nailed it.
[01:02:03.000 --> 01:02:04.000]   No, no, no, look.
[01:02:04.000 --> 01:02:05.000]   I think like and also look what he did.
[01:02:05.000 --> 01:02:06.000]   Chamath's the king of pull a clip.
[01:02:06.000 --> 01:02:09.000]   The Evergrande thing, look what he did this week.
[01:02:09.000 --> 01:02:10.000]   They said, okay, you know what?
[01:02:10.000 --> 01:02:12.000]   The real estate industry can now issue
[01:02:12.000 --> 01:02:13.000]   secondary stock sales,
[01:02:13.000 --> 01:02:15.000]   raise equity and equitize themselves.
[01:02:15.000 --> 01:02:17.000]   So they're going to find a soft landing
[01:02:17.000 --> 01:02:18.000]   for the equity part
[01:02:18.000 --> 01:02:21.000]   for the real estate industry in China.
[01:02:21.000 --> 01:02:23.000]   And now they're reopening.
[01:02:23.000 --> 01:02:24.000]   So I don't know.
[01:02:24.000 --> 01:02:25.000]   I mean, like I'm not sure
[01:02:25.000 --> 01:02:26.000]   what we're supposed to comment.
[01:02:26.000 --> 01:02:28.000]   What I what I will stand by is what I said,
[01:02:28.000 --> 01:02:31.000]   which is I don't think we have a very clear view
[01:02:31.000 --> 01:02:33.000]   about what's going on,
[01:02:33.000 --> 01:02:35.000]   what the substance of these protests are
[01:02:35.000 --> 01:02:37.000]   and what people actually want.
[01:02:37.000 --> 01:02:39.000]   If you're only consuming US media.
[01:02:39.000 --> 01:02:42.000]   And so if you find a way to get a diet
[01:02:42.000 --> 01:02:44.000]   from a bunch of different sources all around the world,
[01:02:44.000 --> 01:02:46.000]   you may get a better sense.
[01:02:46.000 --> 01:02:48.000]   I had an accidental window into that
[01:02:48.000 --> 01:02:50.000]   by being in a completely different part of the world.
[01:02:50.000 --> 01:02:51.000]   This past week,
[01:02:51.000 --> 01:02:53.000]   freeburg, any final thoughts on China?
[01:02:53.000 --> 01:02:55.000]   And what's going on there
[01:02:55.000 --> 01:02:57.000]   before we move on to chat GPT?
[01:02:57.000 --> 01:02:58.000]   Your favorite story?
[01:02:58.000 --> 01:03:00.000]   I think one of the things we often miss
[01:03:00.000 --> 01:03:03.000]   is that China, the CCP
[01:03:03.000 --> 01:03:08.000]   does have their hand on the throttles,
[01:03:08.000 --> 01:03:10.000]   like they throttle up and down.
[01:03:10.000 --> 01:03:13.000]   We always think that it's a linear line
[01:03:13.000 --> 01:03:15.000]   and that it's super dogmatic and fixed,
[01:03:15.000 --> 01:03:17.000]   but there's certainly responsiveness
[01:03:17.000 --> 01:03:19.000]   and the release of the lockdowns
[01:03:19.000 --> 01:03:21.000]   in Guangzhou and Beijing this week
[01:03:21.000 --> 01:03:24.000]   seems to have been a pretty good indication
[01:03:24.000 --> 01:03:25.000]   that when things do get,
[01:03:25.000 --> 01:03:28.000]   when things when the tides do change,
[01:03:28.000 --> 01:03:30.000]   leadership there seems to respond,
[01:03:30.000 --> 01:03:34.000]   not always, but enough to kind of keep things going.
[01:03:34.000 --> 01:03:35.000]   So should they reopen?
[01:03:35.000 --> 01:03:37.000]   I think it's 60% of the population or so
[01:03:37.000 --> 01:03:40.000]   is vaccinated with obviously vaccines
[01:03:40.000 --> 01:03:43.000]   that maybe aren't as don't have the same efficacy
[01:03:43.000 --> 01:03:45.000]   as the ones here in the United States.
[01:03:45.000 --> 01:03:47.000]   Do you think they should open up
[01:03:47.000 --> 01:03:49.000]   and just let it rip?
[01:03:49.000 --> 01:03:51.000]   Or do you think they should still try to
[01:03:51.000 --> 01:03:52.000]   maintain the zero COVID policy?
[01:03:52.000 --> 01:03:54.000]   Because that is the debate right now.
[01:03:54.000 --> 01:03:57.000]   From what point of view, what's the objective?
[01:03:57.000 --> 01:03:59.000]   Because obviously from the objective
[01:03:59.000 --> 01:04:01.000]   of economic growth, they need to open up
[01:04:01.000 --> 01:04:02.000]   and they need to keep their economy working
[01:04:02.000 --> 01:04:05.000]   and they need to keep their labor force engaged
[01:04:05.000 --> 01:04:07.000]   or else they're going to continue to suffer.
[01:04:07.000 --> 01:04:11.000]   So if economic growth is the objective,
[01:04:11.000 --> 01:04:13.000]   they need to open up, right?
[01:04:13.000 --> 01:04:16.000]   If the long term health cost of the nation
[01:04:16.000 --> 01:04:19.000]   balanced against that is the calculus
[01:04:19.000 --> 01:04:20.000]   that they're kind of weighing,
[01:04:20.000 --> 01:04:23.000]   there's probably some more nuance to that.
[01:04:23.000 --> 01:04:28.000]   And certainly my understanding is there may be
[01:04:28.000 --> 01:04:31.000]   a precedent setting, which is,
[01:04:31.000 --> 01:04:33.000]   hey, we've said that it's a zero COVID policy,
[01:04:33.000 --> 01:04:35.000]   therefore we have to hold strict to it,
[01:04:35.000 --> 01:04:37.000]   hold toe to the line,
[01:04:37.000 --> 01:04:39.000]   or else it looks like we're weak.
[01:04:39.000 --> 01:04:40.000]   And so there's also this, you know,
[01:04:40.000 --> 01:04:44.000]   maintaining the authority of the CCP objective.
[01:04:44.000 --> 01:04:47.000]   So there's a lot of maybe competing objectives right now.
[01:04:47.000 --> 01:04:50.000]   Certainly don't have a sense of how they're weighing them all.
[01:04:50.000 --> 01:04:54.000]   But I think that once all those videos came out this week,
[01:04:54.000 --> 01:04:56.000]   you guys saw them, but people were screaming,
[01:04:56.000 --> 01:04:57.000]   there was an apartment on fire,
[01:04:57.000 --> 01:04:59.000]   or the doors were locked with steel beams
[01:04:59.000 --> 01:05:01.000]   on the base of the building.
[01:05:01.000 --> 01:05:03.000]   At least that's what the video said.
[01:05:03.000 --> 01:05:05.000]   I don't know how much truth there is to that,
[01:05:05.000 --> 01:05:06.000]   but that's what was said.
[01:05:06.000 --> 01:05:08.000]   And clearly people are extremely distraught
[01:05:08.000 --> 01:05:11.000]   and unhappy with the conditions of the lockdown.
[01:05:12.000 --> 01:05:15.000]   At some point enough people with enough loud voices,
[01:05:15.000 --> 01:05:19.000]   you know, something's going to change.
[01:05:19.000 --> 01:05:21.000]   I mean, let's just remember like the bargain
[01:05:21.000 --> 01:05:24.000]   that struck in that country and with all countries
[01:05:24.000 --> 01:05:27.000]   is that, you know, the citizenry to some extent
[01:05:27.000 --> 01:05:29.000]   are willing to tolerate
[01:05:29.000 --> 01:05:34.000]   their government so long as their conditions
[01:05:34.000 --> 01:05:35.000]   continue to improve.
[01:05:35.000 --> 01:05:38.000]   And there's a bargain, there's some bargain that struck.
[01:05:38.000 --> 01:05:43.000]   But as that bargain starts to go south for the citizenry,
[01:05:43.000 --> 01:05:46.000]   then that governing entity is at risk.
[01:05:46.000 --> 01:05:48.000]   And I think that that's what we sort of started
[01:05:48.000 --> 01:05:51.000]   to see this week was the conditions are getting
[01:05:51.000 --> 01:05:53.000]   far, far worse and far less livable
[01:05:53.000 --> 01:05:55.000]   for so many people in that country
[01:05:55.000 --> 01:05:58.000]   that the government had to shift.
[01:05:58.000 --> 01:06:01.000]   - Do you think Chamath, this COVID strategy,
[01:06:01.000 --> 01:06:02.000]   and then we'll move on,
[01:06:02.000 --> 01:06:06.000]   was basically Xi Jinping wanting to get to that Congress,
[01:06:06.000 --> 01:06:08.000]   to get to that coronation.
[01:06:08.000 --> 01:06:11.000]   And now that that's over, maybe he can change gears.
[01:06:11.000 --> 01:06:12.000]   And then--
[01:06:12.000 --> 01:06:16.000]   - Like I said, my belief is that I have a very poor access
[01:06:16.000 --> 01:06:19.000]   to enough data to have a, to steel man
[01:06:19.000 --> 01:06:22.000]   what is actually going on there.
[01:06:22.000 --> 01:06:25.000]   But one explanation could actually be that
[01:06:25.000 --> 01:06:28.000]   in the absence of enough hospital infrastructure
[01:06:28.000 --> 01:06:31.000]   and ventilators and a bunch of these other things,
[01:06:31.000 --> 01:06:36.000]   a pretty severe approach to this disease,
[01:06:36.000 --> 01:06:38.000]   I don't know what they know or didn't know.
[01:06:38.000 --> 01:06:42.000]   Maybe they understood the virulence of it.
[01:06:42.000 --> 01:06:44.000]   Maybe that they have a slightly different
[01:06:44.000 --> 01:06:46.000]   aging characteristics of their population.
[01:06:46.000 --> 01:06:50.000]   Maybe they genetically responded to the SARS-CoV-2 virus.
[01:06:50.000 --> 01:06:53.000]   I don't know any of these things enough to tell you, Jason.
[01:06:53.000 --> 01:06:54.000]   - Yeah.
[01:06:54.000 --> 01:06:56.000]   - But the reality is what Freeberg says is right,
[01:06:56.000 --> 01:06:58.000]   which is that you cannot grow an economy
[01:06:58.000 --> 01:07:01.000]   if people are inside locked in their apartments.
[01:07:01.000 --> 01:07:04.000]   And it looks like they have decided
[01:07:04.000 --> 01:07:07.000]   that that's coming to an end and they're going to,
[01:07:07.000 --> 01:07:10.000]   you know, deconstruct all of these things.
[01:07:10.000 --> 01:07:14.000]   So, you know, the Chinese growth engine is coming back.
[01:07:14.000 --> 01:07:17.000]   And I think that that's going to be an important factor
[01:07:17.000 --> 01:07:20.000]   economically that we're going to have to figure out
[01:07:20.000 --> 01:07:23.000]   because it's going to have a huge implication
[01:07:23.000 --> 01:07:26.000]   to American growth and American inflation.
[01:07:26.000 --> 01:07:31.000]   - Sax, if in fact, if the lab league theory is correct,
[01:07:31.000 --> 01:07:34.000]   China might have some insights into this disease
[01:07:34.000 --> 01:07:36.000]   that maybe the West didn't.
[01:07:36.000 --> 01:07:39.000]   Maybe that plays into their policy a bit.
[01:07:39.000 --> 01:07:40.000]   Any final thoughts here?
[01:07:40.000 --> 01:07:42.000]   - Jake, I'm just surprised to hear
[01:07:42.000 --> 01:07:46.000]   that you have a problem with their lockdown policy over there
[01:07:46.000 --> 01:07:48.000]   because aren't they just implementing
[01:07:48.000 --> 01:07:50.000]   Democratic Party orthodoxy?
[01:07:50.000 --> 01:07:53.000]   I mean, isn't this the policy that Tony Fauci
[01:07:53.000 --> 01:07:56.000]   and Barbara Ferrer, you know, all the health experts.
[01:07:56.000 --> 01:07:57.000]   - I was not in favor of lockdowns.
[01:07:57.000 --> 01:07:58.000]   What are you talking about?
[01:07:58.000 --> 01:07:59.000]   You're the one who had all your masks
[01:07:59.000 --> 01:08:01.000]   and had ventilators day one.
[01:08:01.000 --> 01:08:03.000]   - Isn't this the lockdown policy?
[01:08:03.000 --> 01:08:04.000]   - Why are you painting this?
[01:08:04.000 --> 01:08:06.000]   Why am I getting a stray here?
[01:08:06.000 --> 01:08:08.000]   I'm just asking a question as the moderator.
[01:08:08.000 --> 01:08:10.000]   - Isn't this basically--
[01:08:10.000 --> 01:08:11.000]   - Why am I getting a stray?
[01:08:11.000 --> 01:08:13.000]   - Isn't this what Gavin Newsom--
[01:08:13.000 --> 01:08:14.000]   - Don't deflect Jake, I'll answer the question.
[01:08:14.000 --> 01:08:16.000]   - Yes, hold on, let me finish the question.
[01:08:16.000 --> 01:08:18.000]   - I'm not in favor of lockdowns.
[01:08:18.000 --> 01:08:21.000]   I was in favor of if people wanted to stay home, stay home.
[01:08:21.000 --> 01:08:23.000]   And then if people wanted to go out and take the risk,
[01:08:23.000 --> 01:08:24.000]   take the risk.
[01:08:24.000 --> 01:08:25.000]   I was always in personal choice.
[01:08:25.000 --> 01:08:28.000]   - Isn't this what Gretchen Whitmer in Michigan
[01:08:28.000 --> 01:08:31.000]   and Gavin Newsom in California subscribed to,
[01:08:31.000 --> 01:08:34.000]   the idea that the way to fight COVID was through lockdowns.
[01:08:34.000 --> 01:08:37.000]   Now, yes, Newsom had 10 pages of exceptions
[01:08:37.000 --> 01:08:38.000]   for his political donors.
[01:08:38.000 --> 01:08:39.000]   - Absolutely.
[01:08:39.000 --> 01:08:40.000]   - And he didn't use the police
[01:08:40.000 --> 01:08:41.000]   to lock people in apartment buildings.
[01:08:41.000 --> 01:08:44.000]   He may have wanted to, but they didn't actually do that.
[01:08:44.000 --> 01:08:47.000]   But can you really tell me that this lockdown policy
[01:08:47.000 --> 01:08:50.000]   has been disavowed by people like Fauci
[01:08:50.000 --> 01:08:52.000]   or by the health authorities
[01:08:52.000 --> 01:08:54.000]   like the Barbara Ferrer's of this world?
[01:08:54.000 --> 01:08:56.000]   They still subscribe to this view.
[01:08:56.000 --> 01:08:57.000]   - Do they really?
[01:08:57.000 --> 01:08:58.000]   Is anybody doing lockdown now?
[01:08:58.000 --> 01:09:00.000]   - Show me, well, they're not able to do it
[01:09:00.000 --> 01:09:02.000]   because no one agrees anymore.
[01:09:02.000 --> 01:09:04.000]   But tell me where anybody,
[01:09:04.000 --> 01:09:06.000]   tell me where any of the health experts
[01:09:06.000 --> 01:09:08.000]   who said that lockdowns were the correct response
[01:09:08.000 --> 01:09:10.000]   have repented and disavowed that view.
[01:09:10.000 --> 01:09:13.000]   - Yeah, I don't know.
[01:09:13.000 --> 01:09:15.000]   I haven't been tracking their mea copas.
[01:09:15.000 --> 01:09:18.000]   You yourself were in favor of lockdowns
[01:09:18.000 --> 01:09:19.000]   for a period of time.
[01:09:19.000 --> 01:09:20.000]   Yes, you were.
[01:09:20.000 --> 01:09:21.000]   You absolutely were.
[01:09:21.000 --> 01:09:22.000]   I'll pull the tape for the next episode.
[01:09:22.000 --> 01:09:23.000]   - No, I was in favor of a mask mandate.
[01:09:23.000 --> 01:09:24.000]   No, that's not true.
[01:09:24.000 --> 01:09:26.000]   I was in favor of a mask mandate.
[01:09:26.000 --> 01:09:27.000]   And I said the mask mandate
[01:09:27.000 --> 01:09:29.000]   was the alternative to lockdowns.
[01:09:29.000 --> 01:09:30.000]   - Okay.
[01:09:30.000 --> 01:09:32.000]   - I was saying that by May of 2020.
[01:09:32.000 --> 01:09:34.000]   - All right, listen, let's move on to the next thing.
[01:09:34.000 --> 01:09:35.000]   I don't represent, I'm an independent.
[01:09:35.000 --> 01:09:37.000]   I don't represent the Democratic Party.
[01:09:37.000 --> 01:09:39.000]   I don't represent Fauci.
[01:09:39.000 --> 01:09:41.000]   - No, you represent mainstream media.
[01:09:41.000 --> 01:09:43.000]   - I do not represent mainstream media.
[01:09:43.000 --> 01:09:45.000]   - You just said I was an old school journalist
[01:09:45.000 --> 01:09:47.000]   who's mortified with where it is today.
[01:09:47.000 --> 01:09:48.000]   - I'm giving you a hard time.
[01:09:48.000 --> 01:09:51.000]   I thought your explanation was fabulous.
[01:09:51.000 --> 01:09:52.000]   - Oh, thank you.
[01:09:52.000 --> 01:09:54.000]   - Obviously, Jake, I'm giving you a hard time too.
[01:09:54.000 --> 01:09:56.000]   I know that you were not a big lockdown proponent,
[01:09:56.000 --> 01:09:58.000]   but you understand the point I was making,
[01:09:58.000 --> 01:10:00.000]   which is there were a lot of proponents in the US.
[01:10:00.000 --> 01:10:03.000]   - Let's stop making me the Democratic spokesperson.
[01:10:03.000 --> 01:10:04.000]   - I just want to let you guys know
[01:10:04.000 --> 01:10:06.000]   I'm feeling a lot better after my beer.
[01:10:06.000 --> 01:10:08.000]   Let's talk about open AI.
[01:10:08.000 --> 01:10:09.000]   Come on, people.
[01:10:09.000 --> 01:10:10.000]   - All right, let's go.
[01:10:10.000 --> 01:10:11.000]   - Let's talk about open AI.
[01:10:11.000 --> 01:10:12.000]   - All right, open AI.
[01:10:12.000 --> 01:10:17.000]   All right, open AI is a company that builds
[01:10:17.000 --> 01:10:21.000]   artificial intelligence software and platforms.
[01:10:21.000 --> 01:10:24.000]   They have one platform called GPT.
[01:10:24.000 --> 01:10:26.000]   It is on its third version.
[01:10:26.000 --> 01:10:29.000]   As part of GPT-3, they created ChatGPT,
[01:10:29.000 --> 01:10:31.000]   which is a chat interface
[01:10:31.000 --> 01:10:34.000]   where you can ask questions to AI.
[01:10:34.000 --> 01:10:38.000]   The results are nothing short of stunning when they hit.
[01:10:38.000 --> 01:10:40.000]   Some of them are a little bit mixed,
[01:10:40.000 --> 01:10:44.000]   but Freeberg has spent the last 48 hours
[01:10:44.000 --> 01:10:47.000]   drinking white Russians with Oatly milk
[01:10:47.000 --> 01:10:49.000]   and playing with ChatGPT,
[01:10:49.000 --> 01:10:52.000]   including his question to the ChatGPT,
[01:10:52.000 --> 01:10:56.000]   which was write a script of Chamath, Sax, and J. Cal
[01:10:56.000 --> 01:10:58.000]   talking about the future of AI
[01:10:58.000 --> 01:11:01.000]   in the style of a Quentin Tarantino movie.
