
[00:00:00.000 --> 00:00:04.740]   All right. I want to try something unexpected here. I'm going to start with a little known
[00:50:23.940 --> 00:50:29.540]   today. It's empty. It's motivating. I love it. All right. Two, I write there in the mornings,
[00:50:29.540 --> 00:50:33.460]   usually for 90 minutes to two hours. I don't set a timer. That's just about how long I
[00:50:33.460 --> 00:50:38.820]   usually maintain a flow state session. Three, to get there and back, I willingly walk even in the
[00:50:38.820 --> 00:50:43.780]   Atlanta heat. I choose a route that takes me through a nature preserve on the grounds of the university,
[00:50:43.780 --> 00:50:47.700]   and then through the prettiest part of campus. It takes about 30 minutes each way.
[00:50:47.700 --> 00:50:51.700]   That whole routine is incredibly productive for me without feeling like work whatsoever.
[00:50:51.700 --> 00:50:56.980]   The time, place, and mode of transportation makes it feel like an indulgent choice of how to spend my time
[00:50:56.980 --> 00:51:03.220]   rather than work. This deep summer has been incredibly satisfying. It's funny,
[00:51:03.220 --> 00:51:06.900]   everybody I know is worried about me. I haven't done any of the things teachers usually do over
[00:51:06.900 --> 00:51:10.900]   the summer, so people are worried that I'm bored and depressed, and they're surprised when I tell
[00:51:10.900 --> 00:51:16.100]   them it's been one of my favorite summers ever. All right, Mia Culpa, Doug, you say here that the
[00:51:16.100 --> 00:51:21.620]   writing you're doing is for a blog, which I think might be exactly one of those cases I was talking about,
[00:51:21.620 --> 00:51:27.460]   where you don't necessarily have to worry about publication. You are enjoying the craft of writing.
[00:51:27.460 --> 00:51:33.540]   You're getting better on your own pace, and you're reactivating your creative circuits. This reminds
[00:51:33.540 --> 00:51:37.300]   me a little bit of the engineered wonder we talked about in the deep dive, right? I mean, it's a little
[00:51:37.300 --> 00:51:44.020]   bit over the top, which is what's good. 30 minutes, beautiful library, two hours, isolation, flow state.
[00:51:44.020 --> 00:51:49.380]   I mean, I think you're getting benefits right now that might be completely unrelated to the writing,
[00:51:49.380 --> 00:51:54.900]   and then you add on top of that the benefits of having a creative outlet during this quiet season
[00:51:54.900 --> 00:52:01.460]   in your year. So I am okay that you're saying, I don't want to right now waste a lot of time trying
[00:52:01.460 --> 00:52:05.060]   to get better with publication, because your goal here is not, I want to be a published novelist
[00:52:05.700 --> 00:52:11.540]   or like a well-known columnist. So my rant before doesn't apply to you, Doug, but does apply to other
[00:52:11.540 --> 00:52:16.660]   people who heard that and were thinking like, yeah, I want to be a professional writer, but I shouldn't
[00:52:16.660 --> 00:52:21.780]   have to submit things. That takes too much time away from my writing. That's who I was talking to, but Doug,
[00:52:21.780 --> 00:52:27.540]   your deep summer sounds delightful. A great example of lifestyle-centric planning and a great example of
[00:52:27.540 --> 00:52:35.460]   engineered wonder, that idea that we talked about in the show's opening. All right, we got a great final
[00:52:35.460 --> 00:52:39.460]   segment. We're going to talk about an article I recently sent to my newsletter that I want to bring
[00:52:39.460 --> 00:52:47.940]   to your attention. But first, Jesse, let's hear from another sponsor. So here's the thing about aging.
[00:52:47.940 --> 00:52:54.660]   When you're a guy, guys don't think about their skin, not in the way that women know they should be
[00:52:54.660 --> 00:52:58.660]   thinking about it. So what do we do? When we're young, we can spend all day in the sun,
[00:52:58.660 --> 00:53:06.180]   basically using industrial roughs removing acid to help our suntan get darker. And our skin still looks
[00:53:06.180 --> 00:53:12.900]   like a young Scott Baio from Charles in Charge. Jesse last week thought my reference to growing pains
[00:53:12.900 --> 00:53:18.580]   was too old fashioned. So Jesse, I updated it to something that the kids would understand. It was
[00:53:18.580 --> 00:53:26.260]   either that or the young character. Oh God, what is his name? I don't even know his name,
[00:53:26.260 --> 00:53:32.020]   but the boy who moved to the dude ranch from the city in the 1989 Nickelodeon show, Hey Dude.
[00:53:32.020 --> 00:53:38.020]   That was the other reference I was going to make there. So anyways, men don't think about their skin.
[00:53:38.020 --> 00:53:44.500]   You're young, like whatever, it's fine. Then one day as you grow older, you wake up and your skin suddenly
[00:53:44.500 --> 00:53:51.460]   looks like you're a grizzled old gold prospector who there's a 50% chance may actually be a ghost.
[00:53:51.460 --> 00:53:56.180]   And you think, why did anyone tell me, right? I'm supposed to take care of my skin. And you sort
[00:53:56.180 --> 00:54:01.860]   of wander through Macy's and yell out retinol. What is retinol? I want you to avoid that fate.
[00:54:02.500 --> 00:54:09.140]   So how are we going to do this with the products of Caldera lab, their high performance skincare
[00:54:09.140 --> 00:54:14.340]   products are designed specifically for men. They are simple, effective and backed by science.
[00:54:14.340 --> 00:54:20.020]   Their products include the good, which is an award-winning serum packed with 27 active botanicals
[00:54:20.020 --> 00:54:26.180]   their eye serum, which helps reduce the appearance of tired eyes and dark circles and puffiness
[00:54:26.820 --> 00:54:32.820]   and the base layer, a nutrient rich moisturizer infused with plant stem cells and snow mushroom
[00:54:32.820 --> 00:54:38.980]   extract. This stuff works. They actually accidentally sent me two sets and someone
[00:54:38.980 --> 00:54:43.620]   relative of ours was visiting was like, I want that set. I was like, yeah, you take it because we're at an
[00:54:43.620 --> 00:54:48.660]   age now we realize we need this stuff. Look at a consumer study, a hundred percent of men said that
[00:54:48.660 --> 00:54:54.980]   their skin looks smoother and healthier using Caldera lab products. So men, if you want to look more like
[00:54:54.980 --> 00:55:02.100]   Scott Baio than a gold prospector who may be a ghost, you need to try Caldera lab products.
[00:55:02.100 --> 00:55:06.100]   Skincare doesn't have to be complicated, but it should be good. Upgrade your routine with Caldera
[00:55:06.100 --> 00:55:11.700]   lab and see the difference for yourself. Go to calderalab.com/deep and use deep at
[00:55:11.700 --> 00:55:20.500]   checkout for 20% off your first order. That's calderalab.com/deep and use that code deep.
[00:55:22.260 --> 00:55:27.220]   If you run an e-commerce business, this is what I want to talk about now, Jesse. If you run an e-commerce
[00:55:27.220 --> 00:55:32.820]   business, you know the best way to be successful is to keep your customers happy. And you know what?
[00:55:32.820 --> 00:55:39.380]   You build trust with your customers one package at a time. That is why smart retailers use ShipStation.
[00:55:39.380 --> 00:55:46.340]   With ShipStation, you can sync orders from everywhere you sell into one dashboard and replace manual tasks
[00:55:46.340 --> 00:55:51.860]   with custom automations to reduce shipping errors. And you can do this all at a fraction of the cost.
[00:55:51.860 --> 00:55:59.780]   If we ever add an e-commerce piece to our business, Jesse, we would 100% use ShipStation so we could
[00:55:59.780 --> 00:56:05.300]   easily track our orders, print labels, and enjoy discounts. With ShipStation on board, the only thing
[00:56:05.300 --> 00:56:10.740]   standing between us - I was thinking about this, Jesse - but if we had ShipStation, the only thing
[00:56:10.740 --> 00:56:16.420]   standing between us and a business fortune would be, and it's a small thing, our complete lack of any
[00:56:16.420 --> 00:56:23.700]   viable idea for a product to sell. But if we solve that problem, ShipStation would help us become very
[00:56:23.700 --> 00:56:27.220]   successful. All right, there's two things I want to highlight about ShipStation that caught my attention.
[00:56:27.940 --> 00:56:34.820]   One, they provide discounts of up to 88% off UPS, DHL Express, and USPS rates. You can also get up to 90%
[00:56:34.820 --> 00:56:41.220]   off of FedEx rates. So just by using them, you're already saving money. You can also seamlessly integrate
[00:56:41.220 --> 00:56:46.900]   their services with selling channels you already use. And they have these features that'll make your
[00:56:46.900 --> 00:56:52.100]   small e-commerce business seem like it's one of the major players. For example, if you use ShipStation,
[00:56:52.100 --> 00:56:58.420]   they can do automated tracking updates that they send to your customers with your company's branding
[00:56:58.420 --> 00:57:03.940]   in the email. So very cool. So when shoppers choose to buy your products, turn them into loyal customers
[00:57:03.940 --> 00:57:11.060]   with cheaper, faster, and better shipping, go to ShipStation.com/deep to sign up for a free trial.
[00:57:11.060 --> 00:57:17.940]   There's no credit card or contract required, and you can cancel any time. That's ShipStation.com/deep.
[00:57:18.580 --> 00:57:24.260]   All right, Jesse, let's move on to our final segment. We usually, in the final segment,
[00:57:24.260 --> 00:57:28.340]   talk about something that I am reading. Today, I want to talk about something that I'm writing.
[00:57:28.340 --> 00:57:34.180]   This is an email that went out to my newsletter at CalNewport.com last week. It was called "No
[00:57:34.180 --> 00:57:40.020]   One Knows Anything About AI." If you're not subscribed to my newsletter, CalNewport.com. Each week,
[00:57:40.020 --> 00:57:47.060]   I have an essay about the type of ideas we talk about here on the show. So I wanted to read a couple
[00:57:47.060 --> 00:57:54.660]   excerpts from this essay because it gets at a topic we talked about a couple times already briefly in
[00:57:54.660 --> 00:58:00.980]   the show in recent months. So I began this essay by saying, I want to present you with two narratives
[00:58:00.980 --> 00:58:05.860]   about AI. Both of them are about using this technology to automate computer programming,
[00:58:05.860 --> 00:58:14.420]   but they point toward two very different conclusions. So the first narrative that I emphasize in this article
[00:58:14.420 --> 00:58:19.380]   is the idea that computer programming is very well-suited for large language models because
[00:58:19.380 --> 00:58:24.900]   programming is basically well-structured text, and models are good at producing that. It's also easy
[00:58:24.900 --> 00:58:31.780]   to train models on it because you can compile the code that it outputs, and if it works, give it a good
[00:58:31.780 --> 00:58:37.460]   reinforcement learning signal, and if it doesn't, a bad. So it's really the best-case scenario for training
[00:58:37.460 --> 00:58:42.820]   language models. And so this one scenario says it's doing great and programming is basically
[00:58:42.820 --> 00:58:50.100]   being taken over by AI. Here's a few quotes I put to support that narrative. The CEO of the AI company
[00:58:50.100 --> 00:58:56.420]   Perplexity said that new AI programming tools have cut the time for his engineers to complete tasks from
[00:58:56.420 --> 00:59:01.860]   three to four days down to one hour. He now mandates that all of his employees use it. An article in Inc. said,
[00:59:01.860 --> 00:59:07.460]   "The world of software engineering, AI has changed everything." Another article says the tech sector
[00:59:07.460 --> 00:59:13.380]   has seen 64,000 job cuts this year due to AI advancement, and they point out Microsoft in
[00:59:13.380 --> 00:59:19.460]   particular had many thousands of those cuts because of AI advancements. There was a big new splashy
[00:59:19.460 --> 00:59:25.300]   Atlantic piece that said the computer science bubble is bursting. This is my academic home because AI,
[00:59:25.300 --> 00:59:29.060]   it says in this article, is ideally suited to replace the very type of person who built it,
[00:59:29.060 --> 00:59:34.500]   so why bother learning computer science? So you read these type of things. There's dozens of these
[00:59:34.500 --> 00:59:38.740]   articles every day. And you say, yeah, okay, computer programmers are rapidly going in the way of the
[00:59:38.740 --> 00:59:43.060]   telegraph operator. This is the first place where AI is having a huge seismic disruption.
[00:59:43.060 --> 00:59:49.860]   But as I point out in the article, there's a completely different narrative out there,
[00:59:49.860 --> 00:59:54.900]   depending on what articles you read and what experts you're quoting. So for example,
[00:59:54.900 --> 01:00:01.380]   just a couple of weeks ago, the AI evaluation company METR released the results of a randomized
[01:00:01.380 --> 01:00:04.900]   control trial where they took two groups of experienced open source software developers,
[01:00:04.900 --> 01:00:10.980]   and they said, great, here's a bunch of tasks, programming tasks for you to do. Group A, use AI tools.
[01:00:10.980 --> 01:00:17.140]   Group B, don't. And guess what? I'm going to quote the paper here. "Surprisingly, we find that when
[01:00:17.140 --> 01:00:24.740]   developers use AI tools, they take 19% longer than without. AI makes them slower."
[01:00:25.700 --> 01:00:30.180]   Meanwhile, we're getting all these quotes from experienced developers who were using these tools.
[01:00:30.180 --> 01:00:36.020]   We're like, yeah, they're useful. But this idea that they are, like the tech leaders are saying,
[01:00:36.020 --> 01:00:39.620]   about to take over all programming jobs, like this is preposterous.
[01:00:39.620 --> 01:00:44.980]   Simon Willison said, "Quitting programming as a career right now because of LLMs would be like quitting
[01:00:44.980 --> 01:00:50.740]   carpentry as a career, thanks to the invention of the table saw." The tech CEO, Nick Kami, said the following,
[01:00:50.740 --> 01:00:57.300]   responding to the claim that the number of people required to produce software is drastically reducing,
[01:00:57.300 --> 01:01:02.260]   he said, "I feel like I'm being gaslit every time I read this, and I worry it makes folks early in their
[01:01:02.260 --> 01:01:08.820]   software development journey feel like it's a bad time investment." Okay, but what about Microsoft
[01:01:09.460 --> 01:01:16.260]   firing 9,000 people because now the AI can do their jobs? Not what happened? Take a closer look at their
[01:01:16.260 --> 01:01:21.620]   press release. What's going on? Yes, they cut a lot of jobs across many different divisions,
[01:01:21.620 --> 01:01:27.460]   not because they were replacing those jobs with AI automation, but because they were trying to free up
[01:01:27.460 --> 01:01:35.380]   funds to invest in their AI divisions, in particular to help pay for the huge expense of running these AI
[01:01:35.380 --> 01:01:41.140]   data centers. So yeah, technically speaking, it's correct that Microsoft fired 9,000 people due to
[01:01:41.140 --> 01:01:46.900]   AI advancements, but not because they were replaced by AI, but because their work on AI advancements is so
[01:01:46.900 --> 01:01:52.740]   damn expensive. Same thing with the computer science major bubble bursting. Later on in that same Atlantic
[01:01:52.740 --> 01:01:58.660]   article, they noted there's another reason why those majors might be down. The tech market started
[01:01:58.660 --> 01:02:04.340]   contracting after the pandemic because there had been a lot of spending in the tech industry during
[01:02:04.340 --> 01:02:09.300]   the pandemic, and now they're cutting back. And as a professor said in that Atlantic article,
[01:02:09.300 --> 01:02:15.140]   "Enrollment in the computer science major has historically fluctuated with the job market,
[01:02:15.140 --> 01:02:19.540]   and prior to clients have always rebounded to enrollment levels higher than when they started."
[01:02:19.540 --> 01:02:24.020]   This was my first exposure to computer science when I was a young computer science undergraduate
[01:02:24.020 --> 01:02:30.260]   in the early 2000s. The 2001 dot-com boom had happened. Money was contracting. And you know what
[01:02:30.260 --> 01:02:35.140]   happened to computer science majors? Everyone was worried like, "Oh my God, where all the majors go?"
[01:02:35.140 --> 01:02:38.740]   And then they came back, and then they went down again during the Great Recession. Then they came back.
[01:02:38.740 --> 01:02:45.300]   It just goes up and down. So what's the point here? Let me read my conclusion. I'm not trying to
[01:02:46.740 --> 01:02:51.860]   battle like, "Hey, which of these is right?" Here's what I want to say about there being two completely
[01:02:51.860 --> 01:02:57.460]   different narratives on the same topic, all from the same two or three weeks I'm pulling these quotes.
[01:02:57.460 --> 01:03:04.420]   When it comes to AI's impacts, we don't yet know anything for sure. But this isn't stopping everyone
[01:03:04.420 --> 01:03:11.700]   from pretending like we do. So here's my advice for the moment. Tune out both the most heated and the
[01:03:11.700 --> 01:03:18.020]   most dismissive rhetoric. Focus on tangible changes in areas that you care about that really do seem
[01:03:18.020 --> 01:03:23.140]   connected to AI. Read widely, and more importantly, ask people you trust about what they're actually
[01:03:23.140 --> 01:03:30.500]   seeing. And beyond that, follow AI news with a large grain of salt. All this is too new for anyone to
[01:03:30.500 --> 01:03:36.100]   really understand what they're saying. AI is important, but we don't yet fully know why."
[01:03:36.820 --> 01:03:41.700]   So there you go, Jesse. I just thought it was really interesting that I could find a huge number
[01:03:41.700 --> 01:03:45.700]   of articles saying one thing and a huge number of articles saying the other thing. And it's not like
[01:03:45.700 --> 01:03:51.380]   these are sequenced. We used to think this, and now our opinion changed. These are almost all from the
[01:03:51.380 --> 01:03:59.060]   same two-week period. So headlines are getting out of control when it comes to AI. Wait until you see
[01:03:59.060 --> 01:04:04.100]   the stuff you do is being affected and then talk to actual people who are being affected and say how,
[01:04:04.100 --> 01:04:08.100]   because the headlines will drive you crazy. You're either going to start digging a bunker
[01:04:08.100 --> 01:04:18.020]   and doing the pull-ups on the bar from Terminator 2 that Connor has to start doing when she's in the
[01:04:18.020 --> 01:04:22.980]   mental asylum because she knows that the Terminator war is coming because she's seen the future
[01:04:22.980 --> 01:04:26.980]   and she's trying to prepare for it. I don't remember her first name. Man, I'm getting so old.
[01:04:26.980 --> 01:04:34.020]   Connor. John Connor is the son and, well, whatever. She got really ripped. The actress who was playing
[01:04:34.020 --> 01:04:40.580]   John Connor's, you know what I'm talking about. Yeah. Uh, so you're either doing that, like preparing to,
[01:04:40.580 --> 01:04:46.180]   she, I think at some point, John Connor's mom can fire. She's firing like an M60 from like a shoulder
[01:04:46.180 --> 01:04:51.460]   crook. So you can prepare to do that. Or on the other hand, you can be shorting all tech stocks because it's
[01:04:51.460 --> 01:04:56.420]   all like at a crazy inflated bubble scam. Or you could say like, I'm not going to follow those
[01:04:56.420 --> 01:05:02.420]   headlines right now because most of them are crazy. And it's not my job to figure out what's useful
[01:05:02.420 --> 01:05:08.500]   about these products. It's their job to tell, show me indisputably, this is vital for your life. That
[01:05:08.500 --> 01:05:13.220]   was clear to me when I first saw Google. That was clear to me when I first saw email. That's been clear
[01:05:13.220 --> 01:05:18.020]   to a lot of computer programmers when it comes to some of these new programming tools in terms of like really
[01:05:18.020 --> 01:05:22.500]   speeding up the time of figuring out how to write boilerplate code or figuring out library calls.
[01:05:22.500 --> 01:05:27.140]   When it's clear, it's clear. And if it's not yet clear, you don't have to go sifting through headlines
[01:05:27.140 --> 01:05:31.460]   to figure out why. It's the product's job. It's the company's job to figure out why they're useful.
[01:05:31.460 --> 01:05:36.420]   Don't trust the headlines. Grain of salt. No one knows anything. Everyone pretends like they do.
[01:05:36.420 --> 01:05:41.940]   That's basically my summary of AI. I would say, Jesse, this is one of the spicier episodes we had in a while. But
[01:05:41.940 --> 01:05:47.620]   again, I think it's this cool new England air. I mean, it's like 72 degrees right now, Jesse. I don't
[01:05:47.620 --> 01:05:53.300]   want to make you jealous. Yeah. And there's like almost no humidity. Oh, we got to just build a
[01:05:53.300 --> 01:05:58.900]   compound up here. That's the plan. We need a deep work compound to just escape and have me just do rants
[01:05:59.860 --> 01:06:05.220]   about writing habits and AI. That's the goal. All right. Speaking of which, that's all the time
[01:06:05.220 --> 01:06:09.940]   we have for today. We'll be back next week with another episode, God willing, recorded from the
[01:06:09.940 --> 01:06:16.100]   Deep Work HQ. I'm looking forward to that. But until then, as always, stay deep. If you enjoyed today's
[01:06:16.100 --> 01:06:22.180]   discussion about engineered wonder and you want some more sort of philosophical fare, check out episode
[01:06:22.180 --> 01:06:29.860]   357, which was titled, What Worries the Internet's Favorite Philosopher? I actually wrote that script
[01:06:29.860 --> 01:06:36.340]   at Disney, so it all connects. Check that out. I think you'll like it. In a New Yorker profile
[01:06:36.340 --> 01:06:43.380]   rather that came out earlier this year, he was named the internet's new favorite philosopher.

