
[00:00:00.000 --> 00:00:06.480]   I mean the the the the the the question was do we record the whole thing or just the
[00:59:24.400 --> 00:59:35.760]   so you want me to do the gorilla paper and then the v3 of the v fcl or or just the v3 yeah i actually think
[00:59:35.760 --> 00:59:41.280]   the gorilla paper is not that important anymore uh but they just don't have papers for v2 and v3 of
[00:59:41.280 --> 00:59:46.240]   the function calling leaderboard which they put out in the last two months and this is like the
[00:59:46.240 --> 00:59:52.480]   industry standard now for function calling uh which i i've been meaning to dive into but if you want to
[00:59:52.480 --> 00:59:58.800]   take it up next week it's yours yeah all right yeah just uh i guess as a hint if you drop by either
[00:59:58.800 --> 01:00:04.400]   the gorilla server or the mem gpt server both uh charlie and shashir are generally like usually
[01:00:04.400 --> 01:00:09.520]   available in there if you have questions both land service berkeley should just have because there's
[01:00:09.520 --> 01:00:14.720]   too many things they should right like you just consolidate it into one we are gas we're actually
[01:00:14.720 --> 01:00:20.880]   talking to lms uh next week as well um so we're trying to make a berkeley day um to have
[01:00:21.680 --> 01:00:28.880]   like vllm like lmsys all these people hell yeah i don't know if we'll actually do it but whatever
[01:00:28.880 --> 01:00:32.960]   okay thank you that was amazing
[01:00:32.960 --> 01:00:42.240]   i guess we you do eugene we uh thank you everyone yeah and we have we have new we have new we have
[01:00:42.240 --> 01:00:48.240]   i'm glad that we have a paper next week yeah okay thanks thanks to six century for all the feedback
[01:00:48.240 --> 01:00:54.720]   on the initial prototypes see everyone see ya

