
[00:00:00.000 --> 00:00:05.540]   The following is a conversation with Jeffrey Wasserstrom, a historian of modern China.
[01:33:47.940 --> 01:33:49.820]   It's not a rational process.
[01:33:49.820 --> 01:33:52.300]   There are people who've been denied visas.
[01:33:52.300 --> 01:33:54.040]   It seems pretty inexplicable.
[01:33:54.040 --> 01:34:01.600]   There are things that now I think the rules are changing very quickly all over the world for
[01:34:01.600 --> 01:34:05.480]   kinds of what's safe to say and do.
[01:34:06.360 --> 01:34:10.940]   Well, either way, I do know that the Communist Party and likely Xi Jinping himself watched
[01:34:10.940 --> 01:34:15.200]   my conversation with Prime Minister Modi.
[01:34:15.200 --> 01:34:16.600]   They responded to it.
[01:34:16.960 --> 01:34:24.060]   And I do hope and I will definitely go to China and I hope to talk to Xi Jinping.
[01:34:24.060 --> 01:34:31.480]   It's a fascinating, historic, ancient culture and is the major player on the world stage in
[01:34:31.480 --> 01:34:32.700]   the 21st century.
[01:34:32.700 --> 01:34:41.080]   And it would be fascinating to understand the mind of the leader of that great superpower.
[01:34:41.660 --> 01:34:47.620]   Speaking of leaders, what do we understand about the relationship between Xi Jinping and our
[01:34:47.620 --> 01:34:50.400]   current president of the United States, Donald Trump?
[01:34:50.400 --> 01:34:55.440]   Is there really a human connection, something approximating a friendship as they've spoken
[01:34:55.440 --> 01:35:04.540]   about, or is it just purely realpolitik, maneuvering world leaders, playing a game of chess, or is
[01:35:04.540 --> 01:35:05.200]   it a bit of both?
[01:35:05.200 --> 01:35:09.060]   There's a degree to which I think there's some confusion about a couple things.
[01:35:09.060 --> 01:35:19.820]   I mean, one is when there's a sense that Trump is sort of uniquely tough on the Chinese Communist
[01:35:19.820 --> 01:35:27.420]   Party, he has periodically said things about praising Xi Jinping as a leader, even sort of
[01:35:27.420 --> 01:35:30.080]   having praising Xi Jinping's strength and things.
[01:35:30.080 --> 01:35:36.700]   So I think for some ways for the personality cult of Xi Jinping, some of this is kind of useful
[01:35:36.700 --> 01:35:44.620]   because the story that the Chinese Communist Party, they need to tell a story about why
[01:35:44.620 --> 01:35:45.820]   they deserve to keep ruling.
[01:35:45.820 --> 01:35:50.620]   And one of their stories is that because the world is a dangerous place and there's not a
[01:35:50.620 --> 01:35:52.780]   lot of respect, enough respect for China.
[01:35:52.780 --> 01:35:59.340]   So when there's very tough talk about China coming out of the White House, that's useful.
[01:35:59.780 --> 01:36:05.100]   And then the other part is about Xi Jinping being just the right person to have at the helm.
[01:36:05.100 --> 01:36:11.620]   And when there are discussions, when there's praise for him and is showing toughness, that
[01:36:11.620 --> 01:36:13.320]   also works well.
[01:36:13.320 --> 01:36:21.560]   So I think the argument among at least some China specialists is to say the Chinese Communist Party
[01:36:21.560 --> 01:36:26.380]   likes predictability and Xi Jinping seems to like predictability in particular.
[01:36:26.380 --> 01:36:31.880]   And Donald Trump clearly isn't a predictable figure.
[01:36:31.880 --> 01:36:36.300]   So there might be a way in which this is unsettling.
[01:36:36.300 --> 01:36:43.360]   But I think the other part of it is the Chinese Communist Party wants, under Xi Jinping, Xi Jinping
[01:36:43.360 --> 01:36:50.900]   wants to gain more allies around the world, to be seen with more respect around the world.
[01:36:50.900 --> 01:36:59.840]   And at the moment is in a position where he can say, he can present himself as an orderly,
[01:36:59.840 --> 01:37:02.780]   thoughtful, gradualist figure.
[01:37:03.120 --> 01:37:11.880]   In some ways, I think, as much as there's tension between the two capitals, there's a way that
[01:37:11.880 --> 01:37:18.180]   things are going in a way that benefits Xi Jinping and can seem good.
[01:37:18.180 --> 01:37:24.040]   That doesn't explain what their personal relationship is and how they actually see each other when
[01:37:24.040 --> 01:37:24.980]   they're in the room together.
[01:37:24.980 --> 01:37:29.860]   And whether that matters or is part of the calculus at all, because after all, they are leaders
[01:37:29.860 --> 01:37:30.780]   of superpowers.
[01:37:31.000 --> 01:37:34.060]   I think for Trump, it matters.
[01:37:34.060 --> 01:37:35.980]   Personal relationships matter.
[01:37:35.980 --> 01:37:38.740]   But of course, we see a lot.
[01:37:38.740 --> 01:37:40.680]   We know a lot about Donald Trump.
[01:37:40.680 --> 01:37:42.400]   We know a lot about the White House.
[01:37:42.400 --> 01:37:48.420]   And actually, let me just say as a tangent, for whatever you think about this particular
[01:37:48.420 --> 01:37:56.120]   White House, one of the things I really like is that every single member of the cabinet
[01:37:56.120 --> 01:38:04.000]   is willing to talk for many hours, every single week, talk about what they think, how they see
[01:38:04.000 --> 01:38:08.980]   the world, explain Donald Trump's approach.
[01:38:08.980 --> 01:38:12.820]   You know, it doesn't matter if you disagree with what they're saying.
[01:38:12.820 --> 01:38:14.120]   Maybe you say they're dishonest.
[01:38:14.120 --> 01:38:15.280]   Maybe you're misrepresenting.
[01:38:15.280 --> 01:38:16.880]   But there's a lot of information.
[01:38:16.880 --> 01:38:19.480]   That's something we don't have with China.
[01:38:19.800 --> 01:38:29.820]   As a fan of history for me, as a fan of sort of deep political analysis of the world, it
[01:38:29.820 --> 01:38:33.920]   makes me sad because it's a very asymmetrical amount of information.
[01:38:33.920 --> 01:38:41.060]   But anyway, let me, if I can, lay out this particular complexity.
[01:38:41.340 --> 01:38:43.800]   We're in now, this trade war between U.S. and China.
[01:38:43.800 --> 01:38:45.880]   Now, you're not an economist.
[01:38:45.880 --> 01:38:52.640]   In fact, so you think deeply about history of peoples and history of China.
[01:38:52.640 --> 01:38:53.720]   You think about culture.
[01:38:53.720 --> 01:38:56.000]   You think about protests and the movements and so on.
[01:38:56.000 --> 01:39:02.800]   And there's some degree to which this trade war is less about the economics.
[01:39:02.960 --> 01:39:05.920]   Now, that layer is also very important and we could discuss it.
[01:39:05.920 --> 01:39:16.680]   But there's also a deeply cultural standoff almost happening here, which would be interesting.
[01:39:16.680 --> 01:39:22.880]   So, in April, as people know, Trump escalated a trade war with China using tariffs, raising
[01:39:22.880 --> 01:39:26.980]   them on Chinese imports to 145%.
[01:39:26.980 --> 01:39:36.020]   Xi Jinping then responded by raising tariffs on U.S. goods to 125% and suspending exports
[01:39:36.020 --> 01:39:39.060]   on certain rare earth minerals and magnets to the U.S.
[01:39:39.060 --> 01:39:44.540]   The Chinese government also indicated it would limit the import of Hollywood films and restricted
[01:39:44.540 --> 01:39:46.880]   certain American companies from operating in China.
[01:39:47.720 --> 01:39:55.000]   Now, after that, Xi Jinping broke silence on April 11th and again on April 14th and since,
[01:39:55.000 --> 01:40:01.820]   basically saying that China is not backing down and positioned himself in China as the, quote,
[01:40:01.820 --> 01:40:07.900]   responsible superpower that promotes, as you were saying, that promotes sort of the reasonable
[01:40:07.900 --> 01:40:11.760]   multilateral global trading framework and a stable global supply chain.
[01:40:12.560 --> 01:40:18.920]   He said, quote, for over 70 years, China's progress has been built on self-reliance and
[01:40:18.920 --> 01:40:25.300]   hard work, never on handoffs from others, and it remains unafraid of any unjust oppression.
[01:40:25.300 --> 01:40:32.020]   Also, he said, there are no winners in a trade war and going against the world will only lead
[01:40:32.020 --> 01:40:33.240]   to self-isolation.
[01:40:33.900 --> 01:40:40.500]   This was all said as part of a tour of Southeast Asia, and he was calling on China and the European
[01:40:40.500 --> 01:40:45.200]   Union to defend international rules opposing, quote, unilateral bullying.
[01:40:45.200 --> 01:40:52.280]   At the same time, I saw that China is escalating internal propaganda, including, interestingly,
[01:40:52.280 --> 01:40:59.200]   it would be nice to talk to you about it, the use of the Mao Zedong 1953 speech during the Korean
[01:40:59.200 --> 01:41:02.540]   War, where he says, we will never yield.
[01:41:02.540 --> 01:41:07.660]   My question is, with this standoff, who do you think will blink first?
[01:41:07.660 --> 01:41:08.620]   Where does this go?
[01:41:08.620 --> 01:41:15.740]   So I think one persistent, there's a lot to unpack there for a historian, too.
[01:41:15.740 --> 01:41:24.940]   I mean, I think that the reference to being bullied by a foreign power is something that comes up
[01:41:25.400 --> 01:41:32.780]   periodically and plays to this kind of notion of the hundred years of national humiliation that's been
[01:41:32.780 --> 01:41:38.740]   talked about by generations now of Chinese leaders to talk about that period from the 1840s to the
[01:41:38.740 --> 01:41:39.480]   1940s.
[01:41:39.480 --> 01:41:45.280]   There were a group of foreign powers who were involved in bullying China in one way or another,
[01:41:45.280 --> 01:41:47.460]   and you can selectively pick one or another.
[01:41:47.900 --> 01:41:51.020]   So there is a way in which this can be.
[01:41:51.020 --> 01:41:58.520]   And if Xi Jinping gives that kind of speech in Southeast Asia, he's speaking to a place where
[01:41:58.520 --> 01:42:05.260]   there is knowledge of times of the past when the United States was an aggressive force there.
[01:42:05.260 --> 01:42:11.480]   It's also a part of the world where there have been times when China has been that.
[01:42:11.480 --> 01:42:18.240]   So there is a way of positioning vis-a-vis other parts of the world that is crucial part of
[01:42:18.240 --> 01:42:24.260]   this that I think, I guess, I'm circling around it, but there's a tendency in discussions of
[01:42:24.260 --> 01:42:33.060]   U.S.-China relations to think about it in terms of a bilateral discussion or dispute, even though
[01:42:33.060 --> 01:42:41.000]   time and again, we realize that places other than the United States are key variables in
[01:42:41.000 --> 01:42:42.440]   these things.
[01:42:42.440 --> 01:42:52.480]   So the U.S. and China being at odds under the Mao era, what changed things dramatically for
[01:42:52.480 --> 01:42:59.740]   that wasn't so much even a change in, I mean, yes, Nixon was the one who went to China, but
[01:42:59.740 --> 01:43:05.160]   what made it possible for Nixon to go to China was that the Sino-Soviet split happened, that
[01:43:05.160 --> 01:43:10.940]   actually it was tensions between China and the Soviet Union that altered equations for the
[01:43:10.940 --> 01:43:12.580]   United States and China.
[01:43:12.580 --> 01:43:20.720]   And another, I happened to be in China in 1999 when NATO bombs hit the Chinese embassy in Belgrade
[01:43:20.720 --> 01:43:22.520]   and three Chinese citizens died.
[01:43:22.520 --> 01:43:27.220]   And there was tremendous discontent about that, anger about that within China.
[01:43:27.720 --> 01:43:33.600]   And there were some rare protests that the government allowed to happen, but students were worked
[01:43:33.600 --> 01:43:34.220]   up about it.
[01:43:34.220 --> 01:43:37.520]   And there were protests outside the American embassy and the British embassy.
[01:43:37.520 --> 01:43:40.680]   And that happened.
[01:43:40.680 --> 01:43:44.240]   And then in 2001, there was a spy plane incident that happened.
[01:43:44.240 --> 01:43:50.680]   And so there was a lot of discussion that the next decade was going to see U.S.-China tensions
[01:43:50.680 --> 01:43:53.600]   being the major force in the world.
[01:43:55.040 --> 01:43:55.920]   9-11 happened.
[01:43:55.920 --> 01:44:02.920]   It was a dramatic reset for the trajectory that the U.S. and China were on, which is these
[01:44:02.920 --> 01:44:06.320]   are two totally different things, the Sino-Soviet split and 9-11.
[01:44:06.320 --> 01:44:14.100]   But in both cases, no matter how careful you were at parsing what was likely to be the next
[01:44:14.100 --> 01:44:20.640]   five years for U.S.-China relations, get dramatically changed by something that happened that wasn't the
[01:44:20.640 --> 01:44:21.520]   U.S. and China.
[01:44:21.520 --> 01:44:30.260]   And during the current situation, the trade war, I know that it will be very important that China can
[01:44:30.260 --> 01:44:33.840]   increase, try to increase sales of consumer products to Europe.
[01:44:33.840 --> 01:44:40.960]   This is something that Europe's view about the United States is changing right now.
[01:44:41.040 --> 01:44:46.860]   These are all kinds of variables that are outside of simply Washington and Beijing as being the two
[01:44:46.860 --> 01:44:47.320]   actors.
[01:44:47.320 --> 01:44:52.960]   And sometimes Beijing can't control what's happening outside, and sometimes Washington can't.
[01:44:54.100 --> 01:44:59.980]   And so I guess this is simply saying that when you're watching and you're trying to keep the eye on the
[01:44:59.980 --> 01:45:08.460]   ball, it matters a lot what India's relationship to China and the United States is. So all of these are
[01:45:08.460 --> 01:45:15.540]   happening there. So I think that's it, that it's both tremendously important what's going on between
[01:45:15.540 --> 01:45:21.120]   China and the United States. But it's important to remember that they're not the only players in this,
[01:45:21.120 --> 01:45:22.960]   uh, in this dynamic.
[01:45:22.960 --> 01:45:31.180]   Also on top of this, how, how much cultural will is there to sort of not surrender to bullying?
[01:45:31.180 --> 01:45:36.920]   How much of that is there? So like you said, the century of humiliation,
[01:45:37.420 --> 01:45:43.600]   both for Xi Jinping and the Chinese populace, like willingness to go through some short-term pain
[01:45:43.600 --> 01:45:46.020]   to not be humiliated.
[01:45:46.020 --> 01:45:53.980]   The story that's been intensively told about the past is something that, that provides the possibility
[01:45:53.980 --> 01:46:02.460]   for this, for this to matter a lot. That is something that's just so, um, it's so much a part of the
[01:46:02.460 --> 01:46:09.640]   legitimating story of the Chinese communist party. And then you have to look at, are there things that
[01:46:09.640 --> 01:46:21.900]   are happening that aid the Chinese communist party story? So the rise of, um, uh, what can seem like,
[01:46:21.900 --> 01:46:29.260]   or is anti-Chinese sentiment within the United States can feed that propaganda story. And so certainly,
[01:46:29.540 --> 01:46:38.240]   you know, during, um, COVID there was a way that if you're, if, if you're the Chinese communist party,
[01:46:38.240 --> 01:46:42.960]   and you're saying we get a disproportionate amount of blame for whatever happens in the world, then
[01:46:42.960 --> 01:46:49.000]   if there were things you could point to in the foreign media or from foreign governments, then that
[01:46:49.000 --> 01:46:56.380]   helps you. So I think, you know, there is a setup here where certainly for Xi Jinping, I think the
[01:46:56.380 --> 01:47:03.200]   desire to be desire to not be seen weak is crucial. Sometimes I wonder how much of these leaders
[01:47:03.200 --> 01:47:10.140]   operate on pure ego because politically and on the human level, they don't want to come off as losers
[01:47:10.140 --> 01:47:19.540]   in a standoff versus coming to a economic win-win for both nations.
[01:47:19.540 --> 01:47:19.740]   Yeah.
[01:47:19.740 --> 01:47:34.400]   And I, and I worry that there is a real pride here that the center of humiliation has deeply saturated
[01:47:34.400 --> 01:47:42.560]   the populace, the communist party, this idea where they're not, they're just not going to back down.
[01:47:42.560 --> 01:47:52.140]   And that I think will cause tremendous pain in the short term for United States, I think for China
[01:47:52.140 --> 01:47:59.420]   and the world, because it completely, uh, transforms the supply chain of everything. We just, there is a
[01:47:59.420 --> 01:48:04.940]   global nature. There is a multilateral nature of all the economic partnerships that are formed
[01:48:04.940 --> 01:48:13.100]   throughout the 21st century. And this kind of, uh, protectionist, nationalistic kind of ideology, uh,
[01:48:13.100 --> 01:48:19.340]   goes in the face of all of that. And it's going to create a huge amount of pain, like for regular
[01:48:19.340 --> 01:48:28.220]   Americans. But also I worry that this increases, not decreases the chance of a global war or conflict
[01:48:28.220 --> 01:48:45.500]   It's, it's, it's a, it's a hard time to, to figure out what, what you can, to, to sort of hopeful, hopeful
[01:48:45.500 --> 01:48:52.460]   angles. I mean, I guess what's hard to even balance these things out. So one of the things that I've
[01:48:52.460 --> 01:48:59.900]   thought about when you talk about rising chances of war that often Taiwan comes to mind with, with China.
[01:48:59.900 --> 01:49:08.300]   And one of the things that I've thought of is that for, for Xi Jinping, that military action against
[01:49:08.300 --> 01:49:16.700]   Taiwan would be increased by, um, um, a sense of desperation, a sense of losing popularity or a
[01:49:16.700 --> 01:49:25.180]   sense of, um, not having a good story to tell about why he and the party deserves to lead. So then there's
[01:49:25.180 --> 01:49:33.660]   a kind of way of playing to the national sentiments of some part of the population. So then in a sense,
[01:49:33.660 --> 01:49:41.100]   it's hopeful that I think in some ways right now, Xi Jinping is not looking desperate in the eyes of
[01:49:41.100 --> 01:49:50.300]   the world. You know, he can, if he can focus on potentially being seen more positively in other
[01:49:50.300 --> 01:49:58.060]   parts of the world by seeming like a kind of force for stability, seen as somebody who's supporting rather
[01:49:58.060 --> 01:50:07.900]   than challenging some elements of the global order that might lessen the chances of a rash action
[01:50:07.900 --> 01:50:10.780]   toward Taiwan, that would be a kind of desperation move.
[01:50:10.780 --> 01:50:20.860]   The complicated thing here is that if he gives in, he can come off as the responsible person who cares
[01:50:20.860 --> 01:50:28.300]   about the world or he can come off weak. If he doesn't give in and even escalates the tariffs,
[01:50:28.300 --> 01:50:34.780]   although I think he said no more escalation on the China front, uh, then he comes off strong,
[01:50:34.780 --> 01:50:41.900]   but also the, the equally unreasonable person who doesn't care about the world, who only cares about,
[01:50:42.620 --> 01:50:49.260]   uh, his own ego and maybe some aspect of the communist party maintaining power.
[01:50:49.260 --> 01:50:53.340]   Because just like with Tiananmen square and the tank man, you don't know
[01:50:53.340 --> 01:51:02.060]   once you make the decision, how the world will read that decision, what kind of things will become viral
[01:51:02.060 --> 01:51:09.660]   memes about the telling of that story. And of course, in part, I think Donald Trump's reach
[01:51:09.660 --> 01:51:15.260]   is much wider because he's constantly out there. And I think there's a more reserved,
[01:51:15.260 --> 01:51:21.740]   less messaging out of Beijing. So it's a really chaotic environment in which to make strong decisions.
[01:51:21.740 --> 01:51:30.060]   But since you brought it up, we'll talk about Hong Kong, but let's, let's talk about Taiwan and maybe
[01:51:30.060 --> 01:51:36.140]   there's some parallels there. Uh, given Xi Jinping's emphasis on the great rejuvenation of the Chinese
[01:51:36.140 --> 01:51:43.260]   nation and the unification with Taiwan, uh, being a, a crucial part of his vision for China,
[01:51:43.260 --> 01:51:52.540]   what do you think are the chances and how willing is he to use force to, um, annex to forcibly gain
[01:51:52.540 --> 01:51:54.780]   control over Taiwan in the coming years?
[01:51:54.780 --> 01:52:00.460]   I'll frame it in a way that I think does lead into talking about Hong Kong because I think these are
[01:52:00.460 --> 01:52:08.460]   connected issues. In 1984, when the year, not the book this time, um, that's when a deal was struck
[01:52:08.460 --> 01:52:16.780]   basically between London and Beijing over what would happen to Hong Kong. So Hong Kong, you know, Hong Kong
[01:52:16.780 --> 01:52:23.820]   island was became a British colony at the end of the first opium war, the 1840s, and then Kowloon
[01:52:23.820 --> 01:52:31.660]   peninsula near there became a British colony 1860 after the second opium war. But then there was a large
[01:52:31.660 --> 01:52:36.860]   amount of territory of what we now think of as Hong Kong called the new territories that became under British
[01:52:36.860 --> 01:52:47.740]   control in 1898, but was not a colony. It was a 99 year lease. So 1997 was this kind of expiration date
[01:52:47.740 --> 01:52:53.820]   for the lease of this large amount of territory of what we now think of as Hong Kong. It's a large amount
[01:52:53.820 --> 01:53:00.860]   of territory that the rest of Hong Kong, the Hong Kong Island and Kowloon depend on for energy, water, and food.
[01:53:00.860 --> 01:53:07.260]   So it would have been very hard to just give back, give those parts, transfer those parts to the
[01:53:07.260 --> 01:53:14.140]   People's Republic of China. So a deal needed to be struck of what would happen in 1997. And, um,
[01:53:14.140 --> 01:53:21.820]   the deal was about transferring sovereignty of all of Hong Kong, all these parts to the People's Republic of
[01:53:21.820 --> 01:53:27.420]   China. And I carefully say transfer sovereignty, not give it back to the People's Republic of China,
[01:53:27.420 --> 01:53:32.140]   because it never belonged to the People's Republic of China. It was part of the Qing Empire,
[01:53:32.140 --> 01:53:38.460]   which was a different country, a different state that then, anyway. Um, but this needed to be
[01:53:38.460 --> 01:53:45.180]   transferred. And the deal that was struck was that, you know, that the London side wanted to
[01:53:45.180 --> 01:53:51.340]   do something to protect what was going to happen to the people there. And remember, this is not what
[01:53:51.340 --> 01:53:57.820]   usually happens to colonies. Colonies usually go from being part of an empire to being some degree
[01:53:57.820 --> 01:54:03.660]   of self-governed. And because of that, the Chinese representative of the UN insisted that Hong Kong
[01:54:03.660 --> 01:54:09.020]   was not a colony and Macau was not a colony, because then they would have to be decolonized and go to
[01:54:09.020 --> 01:54:15.740]   independence. But so anyway, there was an understanding that something would have to happen in 1997, and London
[01:54:15.740 --> 01:54:24.460]   wanted some protection for the people in Hong Kong, who they knew were living in a very different way
[01:54:24.460 --> 01:54:28.540]   than people lived under Communist Party rule. There was a different kind of rule of law.
[01:54:28.540 --> 01:54:38.380]   There wasn't democracy, but there was some degree of input in governance. The colonial authority and the
[01:54:38.380 --> 01:54:45.340]   power, most powerful person in Hong Kong was appointed by London. After 1997, the most powerful
[01:54:45.340 --> 01:54:52.300]   person would probably be have to be somebody who could work with Beijing. But in this negotiation,
[01:54:52.300 --> 01:54:57.580]   something was come up with called one country, two systems. And Hong Kong would become part of the
[01:54:57.580 --> 01:55:04.060]   People's Republic of China in diplomatic terms. It wouldn't have its own military, but it would have its own
[01:55:04.060 --> 01:55:13.340]   system for 50 years, was the idea from 1997 until 2047. There was a tension from the beginning over
[01:55:13.340 --> 01:55:18.860]   what that other system, what was going to be the part that was going to be separate. And clearly,
[01:55:18.860 --> 01:55:24.700]   everybody agreed it would need to have a different economic system. It had capitalism, so people agreed
[01:55:24.700 --> 01:55:30.460]   on that. But there was tension from the start of, well, what about legal, what about cultural, and other
[01:55:30.460 --> 01:55:35.660]   things. And things were written into this deal, which would be, over time, Hong Kong people would
[01:55:35.660 --> 01:55:42.300]   govern Hong Kong. But Beijing thought they would govern Hong Kong, but it would be a Hong Kong person
[01:55:42.300 --> 01:55:50.060]   who Beijing played a role in choosing. But the reason why Taiwan is relevant to all this is in 1984,
[01:55:50.060 --> 01:55:56.220]   as they were discussing this, the Chinese Communist Party said, "And we'll come up with this arrangement,
[01:55:56.220 --> 01:56:00.940]   and people in Taiwan should pay attention to it, because it could provide a model for what could
[01:56:00.940 --> 01:56:08.860]   happen with them being absorbed into the People's Republic of China." So the idea was, Beijing said,
[01:56:08.860 --> 01:56:14.700]   "Hey, people in Taiwan, watch what happens to Hong Kong after 1997, and think about it as a model
[01:56:15.500 --> 01:56:19.500]   for what could happen for what could happen with you. Watch how smoothly it will go."
[01:56:19.500 --> 01:56:29.740]   Over time, people in Hong Kong started saying, "Well, wait, Beijing keeps nibbling away at, chipping away at,
[01:56:29.740 --> 01:56:37.660]   these things that make us separate." And especially after 2008, I mean, there were reasons why Beijing went
[01:56:37.660 --> 01:56:46.460]   especially light on Hong Kong early, after 1997. Beijing wanted to join WTO, they wanted to host
[01:56:46.460 --> 01:56:53.420]   the Olympics. A big move against Hong Kong then could have endangered those things. Also, at that point,
[01:56:53.420 --> 01:57:00.940]   the PRC was heavily dependent on economics in Hong Kong, the Hong Kong economy. Also, just something,
[01:57:00.940 --> 01:57:06.860]   because I'm a university person, in 1997, when Hong Kong became part of the People's Republic of China,
[01:57:06.860 --> 01:57:12.780]   Hong Kong, then Hong Kong universities were the only universities in the PRC that were considered
[01:57:12.780 --> 01:57:18.780]   totally world-class. Hong Kong University and Chinese University of Hong Kong were highly rated institutions.
[01:57:18.780 --> 01:57:25.900]   And at that point, Peking University, Beijing, Beida, and Tsinghua were not yet considered world-class
[01:57:25.900 --> 01:57:31.820]   institutions because they didn't have the kind of economic freedom and humanities that was, at that
[01:57:31.820 --> 01:57:39.260]   point, needed to be higher ratings. Over time, that difference started to go away because global
[01:57:39.260 --> 01:57:45.500]   ratings of universities stopped caring as much about academic freedom and things like that, and Beijing
[01:57:45.500 --> 01:57:51.980]   universities surpassed Hong Kong once. So, by the 2010s, when you started to have these protests in Hong
[01:57:51.980 --> 01:57:56.940]   Hong Kong, pushing back against what was called mainlandization and sort of clamping down,
[01:57:56.940 --> 01:58:05.260]   Hong Kong protesters in 2014 put up a banner. At the time when Beijing was holding the line against
[01:58:05.260 --> 01:58:12.220]   Hong Kong people wanted to have real elections to choose the chief executive rather than a kind of
[01:58:12.220 --> 01:58:17.980]   one where there were elections but only people who Beijing approved of basically could run.
[01:58:19.580 --> 01:58:26.300]   Hong Kong activists put up a banner saying, "Hey, Taiwan, look at Hong Kong. Taiwan, beware. Hong Kong's today
[01:58:26.300 --> 01:58:33.020]   could be Taiwan's tomorrow." So, basically, spinning the one country, two systems argument and saying, "Yeah,
[01:58:33.020 --> 01:58:36.780]   Taiwan, you should watch what happens here." So,
[01:58:36.780 --> 01:58:45.500]   one way to think of Chinese leaders since Mao is that Mao and those after him wanted to
[01:58:46.540 --> 01:58:52.460]   make China bigger territorially than it had been, to try to reclaim land. Under Mao,
[01:58:52.460 --> 01:59:02.220]   Tibet, which had been not part of China, became part of the People's Republic of China. Mao offered
[01:59:02.220 --> 01:59:08.540]   something a little bit like one country, two systems to it. Isabel Hilton, who writes wonderfully about
[01:59:08.540 --> 01:59:14.220]   Tibet, has talked about the parallels with the Hong Kong system. And some Hong Kong activists saw parallels as
[01:59:14.220 --> 01:59:22.140]   well. Tibet was supposed to go its own way as part of the People's Republic of China in the 1950s. And then by 1959,
[01:59:22.140 --> 01:59:29.100]   the center got restless, tried to interfere more. Local people pushed back against it.
[01:59:29.100 --> 01:59:34.300]   And a workable, what seemed like it might work out somehow against all odds,
[01:59:34.300 --> 01:59:41.260]   explodes. The Dalai Lama goes into exile. The Dalai Lama, who before that had thought maybe he and Mao could work
[01:59:42.300 --> 01:59:50.220]   together, that didn't work. Hong Kong, a new version of the experiment happens. It becomes clear in the 2010s
[01:59:50.220 --> 01:59:57.420]   that it's not really workable, that the center is less patient, needs Hong Kong less. The Hong Kong
[01:59:57.420 --> 02:00:03.660]   people feel it's more of a sort of now or never period to push back. You could say that Deng Xiaoping
[02:00:04.300 --> 02:00:10.380]   oversaw the deal that got Hong Kong and Macau to become part of the People's Republic of China. He could
[02:00:10.380 --> 02:00:19.980]   point to that, even though he died right during 1997. But he had achieved that kind of deal.
[02:00:19.980 --> 02:00:28.940]   Xi Jinping could argue, you could argue he finished the deal of making Hong Kong fully a part of the People's
[02:00:28.940 --> 02:00:35.340]   Republic of China doing away with this degree of difference. And you could say that that then is a
[02:00:35.340 --> 02:00:41.980]   stepping stone toward Taiwan. Or you could say that that and the South China Sea islands build up
[02:00:41.980 --> 02:00:48.620]   might be enough for him to put his stamp on having been the kind of leader who expanded
[02:00:49.260 --> 02:00:58.460]   Beijing's reach. He would like Taiwan to become part of the People's Republic of China, which this has
[02:00:58.460 --> 02:01:05.660]   never been. But the hope was it could happen through a kind of more gradual absorption and people
[02:01:05.660 --> 02:01:12.780]   in Taiwan being willing to think of that. And yet, in part because of what's happened to places like
[02:01:12.780 --> 02:01:19.420]   Hong Kong, there's a fiercer, a stronger sense of Taiwan identity now than there was at an earlier
[02:01:19.420 --> 02:01:26.460]   point. And less parties that are more willing to try to negotiate some kind of
[02:01:26.460 --> 02:01:34.940]   tighter connection with the PRC are often doing badly in elections there because of this mood.
[02:01:34.940 --> 02:01:43.660]   2047 is 50 years from the 1997 handover that you were talking about with Hong Kong. On top of that,
[02:01:43.660 --> 02:01:52.620]   2049 is 100 years from Mao taking power. It feels like at that moment China could take Taiwan because it
[02:01:52.620 --> 02:01:59.020]   does seem that there's a kind of value for history in China and they take these days very seriously.
[02:01:59.820 --> 02:02:06.220]   On the other hand, as you have studied, there is some tensions and displeasure and protests,
[02:02:06.220 --> 02:02:12.140]   some of the biggest in human history in Hong Kong. And so, like, put all of that together
[02:02:12.140 --> 02:02:16.780]   and so many possible trajectories of human history could happen here.
[02:02:16.780 --> 02:02:23.180]   Yeah. I mean, I'm particularly interested in youth movements. And one of the things about,
[02:02:23.180 --> 02:02:28.220]   I think, generation is such an important factor. I mean, people know that generation's important,
[02:02:28.220 --> 02:02:35.340]   but somehow, sometimes people think that if you divide people up into economic groups,
[02:02:35.340 --> 02:02:40.780]   you divide people up into racial or ethnic groups, that that somehow is more tangible.
[02:02:40.780 --> 02:02:44.780]   But I think with things like the Hong Kong protests, that there was a process of
[02:02:44.780 --> 02:02:50.380]   what was seen as mainlandization, of Beijing just
[02:02:51.340 --> 02:02:57.980]   moving to make the things that were really distinctive about Hong Kong less distinctive and
[02:02:57.980 --> 02:03:06.300]   minimizing the differences. And this process sped up dramatically after the 2019 protests. And there
[02:03:06.300 --> 02:03:11.900]   was just partly with the distraction of COVID and the distraction of the world, there was this imposition
[02:03:11.900 --> 02:03:17.580]   of this national security law that basically did away with the differences. And you had some people in
[02:03:17.580 --> 02:03:24.700]   in the city of an older generation saying, "Why couldn't they have just been more patient?
[02:03:24.700 --> 02:03:31.820]   why did these protests force the hand of the people in power?"
[02:03:31.820 --> 02:03:38.060]   But I think that age has a lot to do with it, that if there was this kind of gradual erosion or there was
[02:03:38.060 --> 02:03:43.820]   going to be this process of doing away with the things that made Hong Kong really special and that
[02:03:43.820 --> 02:03:50.940]   people loved passionately about it, including this sort of freer press or just freer associational
[02:03:50.940 --> 02:04:02.060]   life and things like that. If you were 17 in 2019 and people were saying by 2047 it will all be gone,
