
[00:00:00.000 --> 00:00:02.960]   if we impose high structural tariffs,
[00:53:05.780 --> 00:53:09.940]   And the point is like, because I you know, we're investors in core, we we talked to core weaver,
[00:53:09.940 --> 00:53:17.140]   we talked to the CSPs. The reason they're elongating the depreciation cycle is because the way in which they
[00:53:17.140 --> 00:53:23.300]   build these is all the software upgrades flow naturally through to Hopper. So Hoppers continue
[00:53:23.300 --> 00:53:29.940]   to get better over time, even though, you know, you've got the same chip deployed. And remember,
[00:53:29.940 --> 00:53:35.700]   for inference, Hopper's great. You just wouldn't choose to buy more Hoppers today because the new
[00:53:35.700 --> 00:53:42.020]   chip is a better TCO than the old chip was. It's not that the old chip wasn't the right thing to buy at that
[00:53:42.020 --> 00:53:48.100]   moment in time. And I would say the same thing is going to be true about Blackwell Ultra. What I think
[00:53:48.100 --> 00:53:55.060]   is when you're on the pace that he is, he's got 35,000 employees. They're executing blisteringly fast.
[00:53:55.060 --> 00:54:00.260]   They've got the best supply chain in the world. And I think it puts tremendous pressure.
[00:54:00.260 --> 00:54:07.220]   Like I think the gap between him and AMD, you know, Nvidia and Intel, Nvidia and all these custom ASICs.
[00:54:07.220 --> 00:54:11.860]   In fact, he made a comment that I think roiled some people. He said about the custom ASICs. He said,
[00:54:11.860 --> 00:54:18.260]   don't you know that the vast majority of custom ASICs that get designed and get taped out actually never
[00:54:18.260 --> 00:54:25.380]   scale into any commercial production. And we hear that Tranium is now cutting their cost, you know, on AWS is
[00:54:25.380 --> 00:54:29.860]   cutting the cost on Tranium chips to try to get a lot more customers. You usually don't cut costs on
[00:54:29.860 --> 00:54:34.580]   things, right? When, when, when things are going great and you got a really competitive product.
[00:54:34.580 --> 00:54:39.060]   I think Tranium is not even competitive with Hopper, let alone with where Blackwell is today.
[00:54:39.060 --> 00:54:43.700]   And I think, you know, Jassy would be the first to admit they're buying as much as Nvidia as they can
[00:54:43.700 --> 00:54:50.500]   get their hands on. So I don't, I'm not worried about what that comment means for their release cycle.
[00:54:50.500 --> 00:54:56.980]   I think this is one of the few companies in the world that paints a, you know, can you imagine if,
[00:54:56.980 --> 00:55:01.700]   if Apple took the stage today and told us what was going to be in the next four iPhones,
[00:55:01.700 --> 00:55:07.380]   right? They'd never do it. They don't know, right? This guy is planning out where,
[00:55:07.380 --> 00:55:13.140]   uh, uh, you know, the next four generations of the product is going to be. And I think he's got an
[00:55:13.140 --> 00:55:18.420]   incredible path. He introduced this new improvement around photonics, um, which, which I think is pretty
[00:55:18.420 --> 00:55:23.060]   incredible. If they execute against the plan, it's going to be a lot bigger business. And I don't see
[00:55:23.060 --> 00:55:28.340]   many people able to close, uh, you know, to close the gap on them. And I think they'll stay ahead of
[00:55:28.340 --> 00:55:33.220]   the rest of the world. So that was, that was my, you know, my take on things. I, you know, question
[00:55:33.220 --> 00:55:39.380]   back to you. Yeah, go ahead. Go ahead. Go ahead. You know, he said this morning that he doesn't think,
[00:55:39.380 --> 00:55:43.060]   he said on CNBC, I don't think tariffs will have a near-term impact on our business.
[00:55:43.780 --> 00:55:49.540]   And there's a lot of talk, Bill. We've talked here about the Biden AI diffusion rule,
[00:55:49.540 --> 00:55:54.580]   right? That makes it much harder to sell these chips to like 50 countries, this convoluted system.
[00:55:54.580 --> 00:55:59.380]   We've talked about, you know, the fact that Chinese export controls are likely going up.
[00:55:59.380 --> 00:56:03.940]   We're going to get this, this announcement on sectoral tariffs on April 2nd. Do you have any
[00:56:03.940 --> 00:56:10.340]   points of view or any thoughts about what we should be doing with regard to, uh, you know,
[00:56:10.340 --> 00:56:15.860]   those things? Uh, and Nvidia, if you were, if you were the president, would you be imposing higher
[00:56:15.860 --> 00:56:21.060]   export controls? You know, would you be getting rid of the diffusion rule or keeping the diffusion rule?
[00:56:21.060 --> 00:56:25.220]   How would you think about it? Let me make one brief comment and then I'll answer that question.
[00:56:25.220 --> 00:56:30.100]   I do want to, to, um, agree with you on one point. I'm looking at a list.
[00:56:30.100 --> 00:56:32.420]   Oh my God, you're going to agree with me on a point.
[00:56:32.420 --> 00:56:36.900]   Yeah. Well, I don't think our job here is to just agree with each other. It'd be a very uninteresting
[00:56:36.900 --> 00:56:44.660]   podcast. So I try and maybe create an alternate viewpoint, but I look at the mag seven and I'm
[00:56:44.660 --> 00:56:49.540]   looking at them ranked by market cap. And if you ask the question, I think you would agree with this.
[00:56:49.540 --> 00:56:56.420]   If you ask the question, which of these companies is executing the fastest right now and which of these
[00:56:56.420 --> 00:57:02.500]   companies is most exposed to global trends in video would win both of those, correct?
[00:57:02.500 --> 00:57:08.660]   Correct. Yeah. I mean, listen, it's a smaller position than it was the last couple of years,
[00:57:08.660 --> 00:57:13.780]   because all of our position sizes are smaller as I took down risk at the start of this year.
[00:57:13.780 --> 00:57:18.740]   But again, I, I don't expect this is going to be one of those flash in the pan. Oh, it's up three X
[00:57:18.740 --> 00:57:24.420]   because multiples expand a lot. I'm, I'm assuming multiples stay largely the same. And I just get
[00:57:24.420 --> 00:57:29.620]   the benefit from the great execution and the top line in the earnings growth of the business. And I
[00:57:29.620 --> 00:57:35.220]   will say, you know, this slide that I showed you here, Bill, wall street consensus expectations are
[00:57:35.220 --> 00:57:42.020]   basically the Nvidia tops out at $250 billion of revenue. Like somehow there's like this, this ceiling
[00:57:42.020 --> 00:57:46.500]   there. And if you believe that to be true, then their share of the market falls off a cliff
[00:57:46.500 --> 00:57:51.220]   because the market's growing really fast. I don't think they're going to lose share of market. If
[00:57:51.220 --> 00:57:56.660]   anything, I think they probably gained share of market in a fast growing market. But I do think
[00:57:56.660 --> 00:58:03.380]   back to, you know, these, uh, the diffusion rules, there are a lot of people who were around the rim at,
[00:58:03.380 --> 00:58:11.220]   GTC, and they are very worried about tariffs. They're very worried about the Biden era diffuse AI
[00:58:11.220 --> 00:58:15.780]   diffusion rule. They're really worried about Chinese export controls. And, uh, you know,
[00:58:15.780 --> 00:58:20.500]   so I just thought I'd get your, well, look, I continue. I said it a few weeks ago. I think the
[00:58:20.500 --> 00:58:27.540]   number one risk on the stock is government action from DC. Um, and you know, a lot of people have been
[00:58:27.540 --> 00:58:32.980]   asking questions about the percentage of the revenue that goes to Singapore. And then they replied and say,
[00:58:32.980 --> 00:58:38.180]   that's billing, not shipping. And then people say, well, where is it being shipped to? And there's all these
[00:58:38.180 --> 00:58:44.500]   questions about deep seek and where they trained. And I certainly think that it's impossible to stop
[00:58:44.500 --> 00:58:50.260]   a startup from any country from traveling to Europe or Malaysia and running a model. Like, I don't know
[00:58:50.260 --> 00:58:56.500]   how you're going to prevent that, um, and moving the bits back. And so I, I don't think there's a
[00:58:56.500 --> 00:59:03.940]   solvable problem, but I also think there's a lot of angst in DC about China. I think a lot of it's misplaced and
[00:59:03.940 --> 00:59:10.660]   overly angry. I think your friends at open AI added to that last week by putting out an anti deep seek
[00:59:10.660 --> 00:59:17.940]   paper that I thought was quite sad. Like if, if a company like GM or Ford were to put out a paper
[00:59:17.940 --> 00:59:22.740]   like that about BYD, we would look at them and go, oh, you just want the government's help. You must be
[00:59:22.740 --> 00:59:28.100]   uncompetitive. And so I don't know why we would think about that differently, um, from one of our leading AI
[00:59:28.100 --> 00:59:34.820]   models. But there, I, you know, I do think that these people have a lot of power. I think it's a
[00:59:34.820 --> 00:59:41.140]   bipartisan issue. And, and I think it's the number one risk on, on the stock, um, flat out.
[00:59:41.140 --> 00:59:52.340]   I, you know, my, my view on this is when you come, if we impose high structural tariffs and if we allow
[00:59:52.340 --> 01:00:01.220]   this crazy Biden era diffusion rule to stay in place, which makes it hard for us to export our chips,
[01:00:01.220 --> 01:00:08.980]   I, I literally think it's unilaterally disarming America in the race to AI. Um, I think it's a very bad
[01:00:08.980 --> 01:00:13.780]   decision and positive for Huawei, right? Correct. It's going to lead to, it's going to lead to a
[01:00:13.780 --> 01:00:20.020]   Huawei belt and road. Listen, I already think this has backfired against us, right? Deep seek is running
[01:00:20.020 --> 01:00:26.660]   inference on Huawei nine tens, you know, because they, they may not be as efficient as a video,
[01:00:26.660 --> 01:00:31.140]   but they just throw a hell of a lot more power, which they got a lot of in China at these chips and
[01:00:31.140 --> 01:00:37.140]   they can do it. And part of the reason China has been forced to build a vertically integrated domestic
[01:00:37.140 --> 01:00:43.140]   supply chain, literally from design to fabrication around chips is because the United States made it
[01:00:43.140 --> 01:00:48.340]   super hard for them to get their hands on NVIDIA chips. And so we really have to ask the question,
[01:00:48.340 --> 01:00:52.900]   did we achieve our mission? And there are a, there are a bunch of people arguing, well,
[01:00:52.900 --> 01:01:00.100]   we need to even be throw higher export controls on China. You know, listen, I don't, you know,
[01:01:00.100 --> 01:01:05.140]   I don't want to do anything to make it easy on China. I'm fine trying to slow China down a little
[01:01:05.140 --> 01:01:11.460]   bit. I just think it's a task, uh, in futility. I, there's no denying they already have frontier models.
[01:01:11.460 --> 01:01:16.900]   They're releasing them every day. Their frontier models are smaller. Like it's the deep seek moment.
[01:01:16.900 --> 01:01:22.580]   Now Baba has one by dance has one, right? So that, that, that horse is, is out of the barn as we've
[01:01:22.580 --> 01:01:29.860]   already seen with BYD as we already saw with CATL, right? China is going to have frontier capabilities.
[01:01:29.860 --> 01:01:36.260]   The bigger issue is this bill, this on the diffusion rule, right? Which the Trump administration ought to,
[01:01:36.260 --> 01:01:42.180]   ought to throw away and start over. This diffusion rule will make it hard for us to get chips to Saudi
[01:01:42.180 --> 01:01:50.180]   Arabia, to the UAE, to India, to, you know, our friends in, in Southeast Asia. And it makes it hard
[01:01:50.180 --> 01:01:56.180]   through this regulatory capture that some of the U S CSPs put in place, you know, all these hoops,
[01:01:56.180 --> 01:02:00.660]   they have to jump through. And I just see Huawei walking right through that door, uh, you know,
[01:02:00.660 --> 01:02:06.420]   and beginning to, you know, run the table globally. Like, frankly, they've done. Remember they said this
[01:02:06.420 --> 01:02:11.860]   would never occur in telecom equipment bill because of Nortel and all the highly capable telecom equipment
[01:02:11.860 --> 01:02:19.060]   of the United States. Huawei ran the table across the globe with Huawei gear because the U S did this.
[01:02:19.060 --> 01:02:25.300]   Like we ought not make the same mistake twice. I think it can go further. Like every time I've
[01:02:25.300 --> 01:02:32.100]   listened to ASML, who's I think a Dutch company, is that correct? And, and someone that has dominant
[01:02:32.100 --> 01:02:39.140]   market share, like 80 or 90%, when you hear them talk about the restrictions that the U S government
[01:02:39.140 --> 01:02:47.140]   has put on a Dutch company to sell into China, I always hear this kind of reluctance and a bit of, of being
[01:02:47.140 --> 01:02:52.900]   angered that, that this, that the U S thinks they have that authority. And then you take what I said
[01:02:52.900 --> 01:02:59.940]   earlier that, that came from many at the economist, you know, I could easily see us provoking Europe to
[01:02:59.940 --> 01:03:05.940]   the point where the ASML team just says, well, screw it. We don't care what you say we're selling to China.
[01:03:05.940 --> 01:03:10.900]   And I think that could easily happen. So I, I don't know. I think we got to calm all this down a little bit.
[01:03:10.900 --> 01:03:15.700]   Well, one of the things that, you know, maybe we'll, we'll wrap this, this little section here
[01:03:15.700 --> 01:03:23.220]   when it comes to, uh, you know, what we ought to, what we ought to be allowing China to participate in
[01:03:23.220 --> 01:03:31.700]   here is like, I totally agree back to the tariffs issue that it, it, it should be a strategic objective
[01:03:31.700 --> 01:03:37.780]   of the United States to re on shore fabs. Right. And you and I have a bit of a disagreement on this.
[01:03:37.780 --> 01:03:44.260]   You know, it gets back to this Morris Chang. Morris Chang says it's too hard to do U S U S workers don't
[01:03:44.260 --> 01:03:48.260]   want to do the work. They don't want to live in dorms. They don't want to do the six days a week.
[01:03:48.260 --> 01:03:52.980]   I don't think we need to do that. I think with the level of automation that we now have in fabs,
[01:03:52.980 --> 01:03:57.380]   and I think given the strategic national importance of having these fabs, I'm happy
[01:03:57.380 --> 01:04:03.540]   that this administration has put the pressure on TSMC to build their next generation R and D lab or fab
[01:04:03.540 --> 01:04:08.900]   in Arizona. I think it's achieving the desired results. What I would hope that they would do
[01:04:08.900 --> 01:04:14.900]   is maybe announce tariffs, but make them conditional bill. They say, if you don't do these things,
[01:04:14.900 --> 01:04:20.820]   TSMC and video, et cetera, and, and prove to us that you're building manufacturing capabilities back in
[01:04:20.820 --> 01:04:25.220]   the U S then we reserve the right to hit you with tariffs, but we're not going to impose them today.
[01:04:25.220 --> 01:04:29.940]   We'll have a two year delay or whatever while we, you know, we want to provide the incentive,
[01:04:29.940 --> 01:04:35.460]   but we don't want to slow down U S companies in the race to AI. I think that would be a terrible mistake.
[01:04:35.460 --> 01:04:40.100]   And so hopefully that's the middle ground, the administration, you know, guided by folks like,
[01:04:40.100 --> 01:04:45.140]   you know, Scott Bess and David Sachs and others, uh, find their way too. Um, I think that would be a,
[01:04:45.140 --> 01:04:50.420]   a reasonable middle ground. And I think it is a great objective to get this stuff back in the United States, but,
[01:04:50.980 --> 01:04:56.020]   maybe to wrap here, we can hit on a topic that you and I talked about the other week,
[01:04:56.020 --> 01:05:01.060]   and this gets back to this, this couple of questions. One, just thinking about, you know,
[01:05:01.060 --> 01:05:07.780]   we had the launch of Grok, um, you know, big bang, the launch of deep seek. Maybe we just check in
[01:05:07.780 --> 01:05:14.820]   a little bit. Gemini's had some updates on where we are in the state of consumer AI demand. And
[01:05:14.820 --> 01:05:20.980]   importantly, the topic, uh, that I, that I've been reading about around contribution margins grow,
[01:05:20.980 --> 01:05:26.820]   you know, like even if, even if revenue is growing, are they selling dollars for 50 cents and are they
[01:05:26.820 --> 01:05:32.820]   losing money on each incremental, uh, you know, unit of business? I'll kick it off by saying this.
[01:05:32.820 --> 01:05:39.220]   When I look at the app store, you know, deep seek jumped up to number two and was there for a couple
[01:05:39.220 --> 01:05:45.300]   days chat GPT was at number one at the time in the app store downloads. Now GP, uh, deep seek isn't in,
[01:05:45.300 --> 01:05:52.260]   you know, the top hundred. Last time I checked when Grok jumped up to, to number two for a few days,
[01:05:52.260 --> 01:05:59.060]   last time I checked, it's now around 65. Gemini never really jumped up. It's, it's hanging out around
[01:05:59.060 --> 01:06:03.700]   55. The point being, and chat GPT is still number one in the app store.
[01:06:03.780 --> 01:06:10.900]   The point being, I I've said about consumer markets, um, now for a while that all my pattern
[01:06:10.900 --> 01:06:17.700]   recognition from Google and matter is that these tend to be winner take most markets that it's almost
[01:06:17.700 --> 01:06:23.220]   impossible to dislodge the inertia. You can't get there by being slightly better. At this point,
[01:06:23.220 --> 01:06:28.580]   you're going to have to be 10 X better than chat GPT to slow down that inertia. That was the learning
[01:06:28.580 --> 01:06:35.460]   from prior, uh, from these prior periods. And now I, I, you know, we've seen the reports over 400 million
[01:06:35.460 --> 01:06:41.140]   weekly average users. And I would tell you, I believe that open AI is massively supply constrained.
[01:06:41.140 --> 01:06:46.500]   I think they're building these two huge campuses, data centers, one in Abilene, Texas, the other one in
[01:06:46.500 --> 01:06:53.380]   Denton, Texas, uh, one with Oracle, one with core weave. And I think they have to build all that just to
[01:06:53.380 --> 01:06:59.140]   actually launch the products, uh, that they currently have. That's not even supporting future growth.
[01:06:59.140 --> 01:07:03.460]   It's just like supporting the demand they currently have. I think they have four or five products
[01:07:03.460 --> 01:07:08.820]   literally sitting on the shelf because they don't have the compute, uh, to deliver it to customers.
[01:07:08.820 --> 01:07:14.020]   Any thoughts there, Bill? Like, have we seen, do we know the winner already in consumer AI?
[01:07:15.780 --> 01:07:22.660]   Well, I, I mean, I think your argument is very, very solid. Like, I don't think there's any, um, data
[01:07:22.660 --> 01:07:28.740]   points that, that would suggest there's a, that there's an immediate threat to that. I would think
[01:07:29.620 --> 01:07:40.500]   that the powers that be at Google and Grok, you know, and Meta and Amazon must be up at night all night
[01:07:40.500 --> 01:07:47.220]   trying to solve this problem. And so I guess, you know, Netscape had Microsoft, uh, open AI has,
[01:07:47.220 --> 01:07:54.580]   you know, four or five of the most powerful companies in the world aimed at them. And so it's a,
[01:07:55.140 --> 01:08:00.740]   you're right. They have a lead. It could be insurmountable. They have, you know,
[01:08:00.740 --> 01:08:06.580]   all the King's horses and all the King's men behind them. Um, and so it'll be interesting to watch.
[01:08:06.580 --> 01:08:12.580]   Um, you know, we've talked about the things, I think if someone crushed voice, it might give them
[01:08:12.580 --> 01:08:19.140]   an advantage to move fast. That might be particularly compute intensive, um, which, which we'll get into our
[01:08:19.140 --> 01:08:25.140]   next topic. Um, but for now I don't have any ability to take the other side of your art.
[01:08:25.140 --> 01:08:31.060]   Well, you know, you know who the, the couple I didn't mention there, I didn't mention Meta.
[01:08:31.060 --> 01:08:36.420]   Right. And we know those guys are in full beast mode, but they've been unusually quiet. Like I'm
[01:08:36.420 --> 01:08:43.060]   actually shocked how slow we've seen any change there in terms of a standalone consumer app.
[01:08:43.060 --> 01:08:46.020]   I know it's coming, but I've heard it's been coming for a long time.
[01:08:46.660 --> 01:08:52.580]   And, or even the integration within their existing apps. I'm, I'm, I'm, you know, I'd love to talk with,
[01:08:52.580 --> 01:08:57.940]   with Zuckerberg about that. And the other one is Apple. Right. And, and we've talked about that again,
[01:08:57.940 --> 01:09:03.060]   just not seeing any real change there. And in the meantime, I'm seeing, you know, I think the stuff
[01:09:03.060 --> 01:09:08.260]   that we're going to see over the course of the next eight to 10 weeks out of open AI, as they get
[01:09:08.260 --> 01:09:13.620]   these releases teed up, I think it's going to be pretty profound and, you know, continue to add, uh,
[01:09:13.620 --> 01:09:17.460]   you know, to, to add pressure to that lead. But, but let's, let's ask the question.
[01:09:17.460 --> 01:09:28.500]   One thing I, I have been thinking about. So I do think that deep seek by choosing to be more open
[01:09:28.500 --> 01:09:34.660]   than Lama and the key area, they're more open than Lama. They don't have these caps. And so Lama and
[01:09:34.660 --> 01:09:40.980]   Mistraw and a few others, they claim to be open, but if you get too big, you have to go pay the piper.
[01:09:40.980 --> 01:09:45.780]   And so, you know, and there's always been a continuum of open source. Like it's always,
[01:09:45.780 --> 01:09:50.420]   every company chooses their spot on that continuum and tries to see what they can get away with.
[01:09:50.420 --> 01:09:55.860]   Because deep seek is so prevalent in the enterprise right now, my point of view.
[01:09:56.420 --> 01:10:02.980]   Um, and it's been forked like 1500 times on hugging face, like it, and for all the reasons open source
[01:10:02.980 --> 01:10:10.580]   works, that's why that's happening. I do think it's a interesting moment in time for meta in particular,
[01:10:10.580 --> 01:10:18.260]   to consider maybe going left and getting even more open with Lama, which I think would be really powerful
[01:10:18.260 --> 01:10:24.180]   for them. Um, and this probably won't happen, but even open AI could consider doing that. If you're
[01:10:24.180 --> 01:10:30.420]   right, that they're a consumer product company, there's not much risk in taking that leap. And it
[01:10:30.420 --> 01:10:38.180]   would undermine anyone else that's trying to compete based on the quality of their proprietary model. So
[01:10:38.180 --> 01:10:45.620]   anyway, I wanted to bring that up. Where were you? Well, I, listen, you've been appropriately
[01:10:46.260 --> 01:10:54.100]   tough in asking questions about, uh, the gross and the, the contribution margins for these businesses.
[01:10:54.100 --> 01:11:01.380]   Right. And so I saw a report recently on Anthropic suggesting that they had lower contribution margin.
[01:11:01.380 --> 01:11:07.060]   So, so let's just first just unpack what that is. So, you know, contribution margin is basically,
[01:11:07.060 --> 01:11:14.180]   um, you know, what, what do I have to pay as a variable cost to, you know, provide the service that I'm
[01:11:14.180 --> 01:11:22.180]   providing. So in the case of Anthropic, most of, of, uh, their enterprise API, I believe is sold through
[01:11:22.180 --> 01:11:28.580]   AWS and they have to pay a huge customer acquisition fee. In the world of Google, we would call it TAC,
[01:11:28.580 --> 01:11:34.580]   um, probably to, to Amazon. And then of course you have all the costs that you have to pay to actually
[01:11:34.580 --> 01:11:41.300]   serve, uh, the model. Right. And there's a variable cost associated with serving the model. And when you
[01:11:41.300 --> 01:11:49.060]   take those two things into account, because of the large percentage of their revenue that is indirect,
[01:11:49.060 --> 01:11:56.100]   that they have very little or no contribution margin. Right. So no net revenue really flowing through the
[01:11:56.100 --> 01:12:01.940]   PNL now juxtapose that against somebody like open AI, where almost all of their businesses direct.
[01:12:01.940 --> 01:12:08.740]   So they don't have to pay traffic acquisition costs or rev share to anybody. Right. Um, which obviously
[01:12:08.740 --> 01:12:13.540]   you have to, that has to be the business model because the cost of serving these things are
[01:12:13.540 --> 01:12:19.700]   expensive. Now, of course, both of those things ignore bill, your overhead and your training costs.
[01:12:19.700 --> 01:12:25.300]   Right. And so that's truly fully loaded, but I'm just looking even at the contribution margin level,
[01:12:25.300 --> 01:12:30.980]   because if you're not, if you're not meaningfully positive at contribution margin, then you have no
[01:12:30.980 --> 01:12:38.980]   chance of covering the cost, uh, on a fully burden PNL. Yeah. So, so, so here's, I've been thinking about
[01:12:38.980 --> 01:12:46.260]   this a lot. I will introduce, let's just call this loosely and, uh, and a first draft, uh, an idea that
[01:12:46.260 --> 01:12:54.420]   I'll call the girly negative gross margin AI theory. Okay. And yeah, here we go. Cause my brain, I can
[01:12:54.420 --> 01:13:01.380]   wander in some pretty interesting places all by myself, but a lot of people have been comparing
[01:13:01.380 --> 01:13:09.540]   things to the internet revolution and, you know, I, I know why they do that. There's so much, uh, excitement,
[01:13:09.540 --> 01:13:16.020]   you know, for all similar reasons. And so they want metaphors and comparisons. In addition to that,
[01:13:16.020 --> 01:13:23.140]   I would say, and you just explained it, the unit economics are messy here, um, because you have,
[01:13:23.140 --> 01:13:30.340]   you know, you have variable costs that is, especially if you're buying, you know, your compute from someone
[01:13:30.340 --> 01:13:36.980]   else, you may have capex. And then there's a question of, are you depreciating that over how long? And,
[01:13:36.980 --> 01:13:43.220]   and do you charge the unit economics against that? Some of these players have credits that they were given by,
[01:13:43.220 --> 01:13:49.140]   uh, by the large platforms as investors. So do you, do you really take that into account or not?
[01:13:49.140 --> 01:13:55.460]   And in addition, you have tons of VC money. And so if you're going to take, if you're going to raise
[01:13:55.460 --> 01:14:00.100]   billions of dollars, you're going to have high burn rates. Like these things just are part of the game.
[01:14:00.100 --> 01:14:09.140]   In addition, I think there is a mindset and that, that most VC markets are winner take all. And so you
[01:14:09.140 --> 01:14:15.140]   can't lose market share, right? It's just, you, you can't lose market share. So if you can't lose market
[01:14:15.140 --> 01:14:20.580]   share, how do you price, you know, do you price to market or do you, you know, do you price to cost and
[01:14:20.580 --> 01:14:27.620]   value like you would in an economic textbook or do you just price to market? Meaning I can't lose because
[01:14:27.620 --> 01:14:34.420]   of price. And so, you know, it becomes a buyer's market. I'll create a theoretical example because I
[01:14:34.420 --> 01:14:40.260]   think there's also an issue of stacking. Let's say you have, and let's not pick on any company. Let's say
[01:14:40.260 --> 01:14:47.940]   you have a large model provider that's buying compute from a hyperscaler. And then let's say
[01:14:47.940 --> 01:14:54.340]   there's a, you know, startup doing voice for the enterprise on top of that model provider. And all
[01:14:54.340 --> 01:15:02.340]   these people are buying compute from the one below it. If those second layer and the third layer are both
[01:15:02.340 --> 01:15:09.860]   negative gross margin, the consumer's buying compute from the hyperscaler at a price that's lower
[01:15:09.860 --> 01:15:15.860]   than they would if they bought it directly. Um, because it's being subsidized by two players in
[01:15:15.860 --> 01:15:22.900]   the middle. And on top of that, if this is true, you're triple counting revenues, right? Like there's
[01:15:22.900 --> 01:15:28.500]   a transaction that a consumer is making against this model, but because it's negative gross margin,
[01:15:28.500 --> 01:15:33.620]   you're literally adding it up three times. Same thing would be true if you were, you know, any really
[01:15:33.620 --> 01:15:38.820]   what people would consider a shitty business. If you were just, you know, a global distributor of retail
[01:15:38.820 --> 01:15:45.620]   products and you're taking 5%, although here it's negative. And so this theoretically could be
[01:15:45.620 --> 01:15:50.660]   happening out there, you know, and you, you pile in the tons of VC money. The fact that everyone
[01:15:50.660 --> 01:15:56.180]   believes these markets are winner take all the fact that, that the founders are likely unsophisticated
[01:15:56.180 --> 01:16:00.820]   financially, not, not, not, not, I'm not like taking shots at them. They probably haven't had a lot of
[01:16:00.820 --> 01:16:08.660]   finance classes and you don't have great visibility on unit economics. It's set up. It's set up to be messy.
[01:16:08.660 --> 01:16:15.460]   And you could, you know, you could have substantial resets as people get in touch with unit economics.
[01:16:15.460 --> 01:16:22.260]   When and if they're forced to and that's a very unpredictable time window of when that, when,
[01:16:22.260 --> 01:16:30.340]   when that would happen. This is a theory. I'm not suggesting it's 100% true. It's possible this is going on.
[01:16:30.340 --> 01:16:36.260]   Well, listen, I think the one place I would absolutely agree with you, Bill, is that the unit economics and the ability
[01:16:36.260 --> 01:16:41.780]   to compare across these businesses is messy. That's number one. Number two, what I would agree with you on
[01:16:41.780 --> 01:16:48.180]   is in no way are these business models proven yet to be anywhere close to as good as Google. Remember,
[01:16:48.180 --> 01:16:55.460]   Google raised less than 50, 50 million dollars before they went public. Right. And so Google
[01:16:55.460 --> 01:17:00.900]   was able to do what they did with very little upfront capital. And then their unit economics from,
[01:17:00.900 --> 01:17:07.620]   from the very start were profitable. And this is a really important point in the internet. The
[01:17:07.620 --> 01:17:15.300]   businesses that work, the marginal unit cost to serve a customer were near zero. We're near zero for,
[01:17:15.300 --> 01:17:21.060]   for Google, which is partially why it was so economically efficient. I think that was true for meta also.
[01:17:21.060 --> 01:17:28.660]   Right. And I will tell you, I will tell you, so, so here's my, my, my takeaway for whatever AI companies
[01:17:29.380 --> 01:17:35.460]   emerge with a consumer business model or an enterprise business model, where they fully
[01:17:35.460 --> 01:17:40.980]   control the top of the funnel, where those people are coming to them at almost no incremental cost because
[01:17:40.980 --> 01:17:46.100]   their friend told them about it or whatever, there's no marketing costs. And so your only cost is actually
[01:17:46.100 --> 01:17:50.980]   serving the inference to support that customer. I think those will have a unit economics that are
[01:17:50.980 --> 01:17:58.100]   exceptional that at maturity look a lot like the internet companies. But I will say that right
[01:17:58.100 --> 01:18:02.740]   now you hear these top line revenue numbers. And the first thing you ought to be asking yourself
[01:18:02.740 --> 01:18:09.460]   is who do they have to pay to get that revenue? Right. And what are they loading in terms of their
[01:18:09.460 --> 01:18:15.860]   variable costs against that revenue? Time will tell, but my sense is there aren't, there aren't very
[01:18:15.860 --> 01:18:22.420]   many sustainable business models here today. You know, and I think what I mean by that is that you,
[01:18:22.420 --> 01:18:27.140]   you're going to have to support this level of CapEx that these companies are undertaking,
[01:18:27.140 --> 01:18:32.500]   you're going to have to have tens of billions of dollars in high margin revenue in order to support
[01:18:32.500 --> 01:18:38.020]   the reinvestment that you're making on the back end of these businesses. Obviously, I think the best
[01:18:38.020 --> 01:18:44.740]   position one at this moment, subject to change in terms of the independent players is open AI. But remember,
[01:18:45.780 --> 01:18:51.300]   for Meta, they can invest, they have a printing press kicking out billion dollar bills in the back room,
[01:18:51.300 --> 01:18:56.580]   so they can invest against this for a long time. Amazon can Google cam to your earlier point, Bill,
[01:18:56.580 --> 01:19:00.740]   right, you're not going to have a clearing event here where it's winner take most because these guys will
[01:19:00.740 --> 01:19:06.420]   continue to throw money at it for a long time. And I would say among the other independent players,
[01:19:06.420 --> 01:19:13.620]   Elon and Grok have a great product, have executed incredibly well, and he has a unique, very, very
[01:19:13.620 --> 01:19:20.660]   unique ability to raise global capital for a long time along with x.ai. So you absolutely can't count
[01:19:20.660 --> 01:19:25.940]   him out of the race. But maybe we just wrap it there. I mean, there's, you know, it's a, you know,
[01:19:25.940 --> 01:19:31.860]   it's a period of consolidation for sure. You got a lot of uncertainty in the world, you got Nvidia trading
[01:19:31.860 --> 01:19:37.140]   at 20 times earnings, you got a lot of questions about these companies. But we're going to turn
[01:19:37.140 --> 01:19:42.020]   over a lot of cards, I think, in terms of these products over the course of the next eight, 10,
[01:19:42.020 --> 01:19:47.460]   12 weeks, we're going to turn over a lot of cards on tariffs on, you know, kind of status of the
[01:19:47.460 --> 01:19:52.420]   reconciliation bill and taxes, etc. And, you know, that that's what makes it interesting. I mean,
[01:19:52.420 --> 01:19:58.660]   we could find ourselves, you know, off to the races come this summer. Or I think we could find ourselves
[01:19:58.660 --> 01:20:05.620]   with, you know, in the middle of a trade war, and, and, you know, and everything's slowing down. So
