
[00:00:00.000 --> 00:00:19.200]   Welcome to the AI Engineers World Fair. This is the first workshop. There's a few other running,
[01:27:53.280 --> 01:27:58.640]   loading. How do we actually load the data into the GPU? Or it's not that important. Um, and you know,
[01:27:58.640 --> 01:28:02.720]   if you use Torch to compile now, you can simply generate these kernels automatically. Um,
[01:28:02.720 --> 01:28:06.080]   and this makes your training much faster. So that's what I suggest people to do. Um,
[01:28:06.080 --> 01:28:18.560]   just use Torch to compile. You don't have to re rewrite, try to kernels. Yes.
[01:28:22.640 --> 01:28:32.480]   Sorry. W W K. Oh, gate. Oh, it's just another matrix. So w gate, w up, you train this, um, and w down.
[01:28:32.480 --> 01:28:38.400]   These are all you train them. W down, w up. These are all you train. They're just numbers. Um, so like
[01:28:38.400 --> 01:28:52.000]   matrices X times w gate is like, it's, so remember the, um, uh, this thing, right. W, this is for attention. W, uh, x times w, q, w, k, w, v.
[01:28:52.000 --> 01:29:00.560]   Assume it's just w gate, w up and w down. Um, and it's the same thing. So you just train these. Um,
[01:29:00.560 --> 01:29:03.040]   does that kind of answer your question or
[01:29:08.720 --> 01:29:14.560]   Oh no, no, no, no. It's just a naming convention. W up is just, it's just, it's just, it's actually
[01:29:14.560 --> 01:29:20.480]   called upper protection. The naming convention is like w b w a w c. It's just a naming convention
[01:29:20.480 --> 01:29:25.680]   that people like to use w up w gates and w down. Um, they do have meetings. So w down is a down
[01:29:25.680 --> 01:29:31.600]   projection. Up means up projection. Um, so essentially you take the matrix and you like make it larger and
[01:29:31.600 --> 01:29:35.600]   then you project back to a smaller version. It just makes the model better to like, you know, make the
[01:29:35.600 --> 01:29:41.440]   the model has have capacity to learn. Um, so it's just a naming thing. Um, any other questions?
[01:29:41.440 --> 01:29:51.360]   Okay. Um, the, as I said, like before, the derivatives are always a pain. If you did the
[01:29:51.360 --> 01:29:56.320]   derivatives of Swigaloo, it is a nightmare to do, and I do not suggest you to do this. Um,
[01:29:56.320 --> 01:30:00.320]   but I had to manually do all the, you can see all my comments. So like the comments are actually there.
[01:30:00.320 --> 01:30:04.960]   If you do see more carefully, I wrote it in math formulas of how to actually take the derivatives
[01:30:04.960 --> 01:30:11.280]   and it's extremely painful. Um, I highly suggest you not to inflict pain on yourself by doing this.
[01:30:11.280 --> 01:30:17.440]   Um, it took me many days to do so. Do not, I don't suggest this. Um, yes question.
[01:30:21.120 --> 01:30:27.360]   That is a very good question. So I use Desmos. Um, so Desmos is a graphing, graphing, online graphing
[01:30:27.360 --> 01:30:32.480]   calculator. You type all these equations in and then you can see, does the graph align? Um,
[01:30:32.480 --> 01:30:40.640]   Oh, every single component, you'll have to be careful. So every single component, you have to check.
[01:30:40.640 --> 01:30:46.160]   Um, oh, is this component correct? Is this component correct? Check all of them. Um,
[01:30:46.160 --> 01:30:51.520]   And so like I normally, so like you isolate each component separately and then test it. I'll talk
[01:30:51.520 --> 01:30:58.320]   about that actually. Yeah. Um, any other questions though? Yes. Okay. Um, and this is the cross entropy
[01:30:58.320 --> 01:31:04.560]   loss kernel. I'll probably just skip this. Don't have enough time. So, um, I wrote this as if you want
[01:31:04.560 --> 01:31:10.400]   to inspect the formulas and stuff like that, how do we do the derivatives for this? Um, you can do this.
[01:31:10.400 --> 01:31:16.240]   It's not that complicated. Um, actually it is very complicated. Um, I did spend a lot of time trying
[01:31:16.240 --> 01:31:22.640]   to like work out the derivatives. Um, uh, it might be a bit foreign for some people for the derivatives.
[01:31:22.640 --> 01:31:28.400]   The main reason why it gets complicated is when there's sums, right? For like, whenever there's sums,
[01:31:28.400 --> 01:31:34.720]   I just like, you know, doing derivatives when the sums is always painful. Um, matrix differential
[01:31:34.720 --> 01:31:39.760]   is actually very easy. If you do X times W, the derivative of W is just X transpose. It's very simple.
[01:31:39.760 --> 01:31:46.880]   But if you do derivatives when the sums, uh, it's horrible. Um, yeah, it's quite horrible.
[01:31:46.880 --> 01:31:52.720]   What you can do for the sum when you do derivatives, if you transform the sum into a matrix also matrix
[01:31:52.720 --> 01:31:57.760]   multiplication, right? So a sum is just X times, and not like a vector of all ones. So that's called
[01:31:57.760 --> 01:32:01.600]   the bro sum. And essentially, if you do this, you can actually make differentiation much easier. Um,
[01:32:01.600 --> 01:32:07.040]   but I won't be talking about that. Um, that's for another topic. Um, and someone was talking about
[01:32:07.040 --> 01:32:13.120]   stability for soft max. If you minus the maximum of the road, you can make soft max much more stable.
[01:32:13.120 --> 01:32:18.560]   Um, and this is to like reduce exponentials of large numbers. And then you like, essentially,
[01:32:18.560 --> 01:32:23.760]   it takes over the entire exponential, right? And so like, if you do this trick, when you minus the
[01:32:23.760 --> 01:32:30.640]   maximum of the road, this makes training much more stable. Um, always do this. Um, yeah, always do this.
[01:32:30.640 --> 01:32:36.720]   Um, yeah, and that's the code for the forward. Um, not that important. Oh yes, I wrote the code for the
[01:32:36.720 --> 01:32:44.080]   backward as well. Um, always say this is the, sorry, this is the forward, um, the forward, um, and it is
[01:32:44.080 --> 01:32:49.760]   quite long, but I wrote all of this down for your own leisure. If you want to read and implement this,
[01:32:49.760 --> 01:32:55.600]   have fun. Um, but I wrote this step by step, right? So like take Y is equal to log sum of X, you know,
[01:32:55.600 --> 01:33:00.960]   then I simplified it out. Like, you know, if you, if you exponentiate both sides, right, you can do
[01:33:00.960 --> 01:33:05.520]   exponential of the Y is equal to the sum of it, sum of exponentials and so on. All right. And so like,
[01:33:05.520 --> 01:33:12.080]   I wrote this all down, um, for the, but there is a methodology which we showed in unsloth as you can
[01:33:12.080 --> 01:33:19.760]   use chunked cross-interprey. And this is actually very helpful for large models. Um, your logits are very large.
[01:33:19.760 --> 01:33:24.320]   So if you chunk them, you can actually, you can make multi-threading much better for the GPU.
[01:33:24.320 --> 01:33:27.840]   And so like the problem though, is like the derivatives, the forward propagation,
[01:33:27.840 --> 01:33:32.240]   you have to be careful now when you do chunking. Um, so like essentially you divide these into slivers
[01:33:32.240 --> 01:33:38.960]   and parallelize each component. Um, I also wrote some, you know, maths and stuff like that for you to
[01:33:38.960 --> 01:33:46.000]   review. Um, and how you actually do the chunk sum is very interesting. Um, the chunks, the log chunk sum
[01:33:46.000 --> 01:33:49.920]   of the log sum exponentials is just the log sum exponentials. Um, there's like, you have to do
[01:33:49.920 --> 01:33:54.000]   some manipulation and it's actually very interesting. Um, you don't actually need to change that much
[01:33:54.000 --> 01:34:01.360]   code to make a work. Um, okay. Now we'll be going to the next component, which is to investigate the
[01:34:01.360 --> 01:34:06.400]   llama architecture. Um, hopefully this works. Yes. Question.
[01:34:06.400 --> 01:34:20.320]   It is part of Unsloft currently. Um, I think I heard that the PyTorch team will be including this
[01:34:20.320 --> 01:34:25.040]   in Torsha compile, although I'm not a hundred percent sure. Um, this reduces memory. This just makes,
[01:34:25.040 --> 01:34:30.480]   this makes long, large context, uh, sorry, large vocabulary sizes work. So the biggest issue why you
[01:34:30.480 --> 01:34:36.400]   have to do chunking is CUDA, um, NVIDIA GPUs has a limit. Six, five, five, three, six. I think that's
[01:34:36.400 --> 01:34:42.480]   two to the power of 16. I think so. Yeah. Yeah. So there is a limit. And so if you go, if your vocabulary
[01:34:42.480 --> 01:34:48.080]   size is larger than six, five, five, three, six, you must do chunking. Um, yeah, you have to do chunking.
[01:34:48.080 --> 01:34:53.680]   So like if you have like, I think was a Gemma 128,000 or them. I'm getting confused. I think it's
[01:34:53.680 --> 01:34:58.720]   128,000. You have to divide it into two. Um, and so like your chunks would be two. Um, so it should
[01:34:58.720 --> 01:35:07.600]   be in PyTorch in the future release maybe. Um, yeah. So now we learned all of this. Now you can read
[01:35:07.600 --> 01:35:16.160]   the code for llama. So if you go to, um, if you go to the code by modeling llama dot py. Um, it should
[01:35:16.160 --> 01:35:23.280]   be in the slides, but you can also type in Google like modeling, uh, you know, modeling py. Um, this,
[01:35:23.280 --> 01:35:30.240]   right. There is your, if you go to line 94, you have your room embedding, which we talked about,
[01:35:30.240 --> 01:35:36.160]   right? Just assume, don't worry. Oh, oh, okay. I need to, okay. I probably use my mouse. Yeah. Okay.
[01:35:36.160 --> 01:35:41.200]   I don't really like how GitHub does the, it's kind of annoying sometimes, but I think I can disable it
[01:35:41.200 --> 01:35:48.640]   if I log in anyways, the symbols. Um, so if you go to this, right, this is not important. If you go
[01:35:48.640 --> 01:35:54.800]   to the first one is line 74, the llama RMS norm, right? This is the layer norm kernel, right? This
[01:35:54.800 --> 01:36:00.640]   is the code for the layer norm kernel. It's just this much. Um, right. This is the, you take the row,
[01:36:00.640 --> 01:36:04.640]   you take the sum of the, you take the squares of the, like each row,
[01:36:04.640 --> 01:36:07.840]   you sum them, you divide it by the mean. Remember, this is the only reason why you
[01:36:07.840 --> 01:36:11.920]   do layer norm is to make training more stable. Um, and it's actually not that complicated.
[01:36:11.920 --> 01:36:16.960]   It's just these few lines. Um, the rest as the rest is just bloat code for like,
[01:36:16.960 --> 01:36:20.480]   you know, you have to set stuff up. You have to do random initialization, blah, blah, blah,
[01:36:20.480 --> 01:36:24.560]   comments and stuff like that. Um, but that's the layer norm kernel.
[01:36:26.400 --> 01:36:31.760]   The rope kernel, the rotary embedding is a rope kernel. This is just setting stuff up. This is
[01:36:31.760 --> 01:36:38.000]   setting stuff up, um, forward, right? This is the most important component, which is the forward
[01:36:38.000 --> 01:36:43.120]   component. Now, don't get scared by this. That's because we fixed a bug. So this is actually our bug
[01:36:43.120 --> 01:36:47.200]   fix that we did. So this is all in transformer architectures is like, you have to be very careful
[01:36:47.200 --> 01:36:51.760]   when you downcast to float 16. If you use B float 16, right? This is actually very important.
[01:36:52.320 --> 01:36:57.760]   Before you have to be very, very careful when you use float 16 and B float 16 training,
[01:36:57.760 --> 01:37:02.320]   mixed position training, because you were downcast incorrectly and your rope embeddings will be
[01:37:02.320 --> 01:37:07.440]   wrong. Um, so it's actually, it's not supposed to look as ugly as this, but unfortunately it looks
[01:37:07.440 --> 01:37:14.720]   ugly now. Um, before it was just this, right? But this is just setting up code, um, that, you know,
[01:37:14.720 --> 01:37:19.360]   we have to like fix the bug and stuff like that. Um, yeah. So it's actually not that long.
[01:37:19.360 --> 01:37:24.560]   Right. So like, it's actually, it's just this, um, yeah, up to here. It's the,
[01:37:24.560 --> 01:37:28.240]   so whenever you see these architectures, it just looks complicated, but it's like, yeah.
[01:37:28.240 --> 01:37:38.880]   No, no, no. So there are like some, if you do torture compile, we're still like,
[01:37:38.880 --> 01:37:45.600]   I think 30, 30% faster. So no matter if, sorry, if you use torture compile plus unsloth.
[01:37:45.600 --> 01:37:53.520]   Oh, it's, we're still 30 times faster. Oh, not 30, 30%.
[01:37:53.520 --> 01:37:58.080]   So we're two times faster than hugging face plus flash attention to, but torture compile,
[01:37:58.080 --> 01:38:03.440]   you know, they're adding kernels from multiple packages in. So yes, they could learn from unsloth and
[01:38:03.440 --> 01:38:08.160]   put it in. I'm assuming they're doing that. I did have a talk with them. So yes, they're probably doing that
[01:38:08.160 --> 01:38:12.800]   already. But yes, we're still 30% faster. Um, there was like some, I think someone tested this last
[01:38:12.800 --> 01:38:23.440]   week. Um, yeah, does that any other questions? Okay. This is not important. This is for, this is the one
[01:38:23.440 --> 01:38:27.120]   we're talking about for linear scaling for rib embeddings. If you want to extend the context then,
[01:38:27.120 --> 01:38:31.440]   that's kind of what they do. Right. This is, this is for scaling. Not, not that there is a rotate half,
[01:38:32.240 --> 01:38:36.960]   rotate half part, which I was talking about. Right? How do we actually derive the formulas for the
[01:38:36.960 --> 01:38:42.320]   gradient? Uh, how do we actually do the rope embeddings? It's just this. Um, the MLP, which we
[01:38:42.320 --> 01:38:46.240]   talked about again, remember the MLP layer, right? So there's a gate projection, the up projection,
[01:38:46.240 --> 01:38:54.880]   the down projection. Um, this code is bloat again. Ignore this. It's just this. It's just one line.
[01:38:55.760 --> 01:39:01.440]   That's the rest bloat. Um, ignore that. Right? So like the down projection is just the down projection,
[01:39:01.440 --> 01:39:04.800]   right? The activation function, the gate projection times our projection, right? So that's,
[01:39:04.800 --> 01:39:11.600]   that is MLP. That is the, you know, sweet glue. One line. Not all of this. And that's just for training
[01:39:11.600 --> 01:39:18.160]   purposes. Um, repeat KV is just an, that's for like, you know, um, I can't explain this too much,
[01:39:18.160 --> 01:39:21.920]   but that's for the attention part. Um, this is just to make inference faster.
[01:39:22.720 --> 01:39:28.960]   When you do Q K and when you go back to slides, um, if you go to, um, where is it?
[01:39:28.960 --> 01:39:41.440]   Right. WQ, WK and WV. Instead of training WK and WV, you train a small sliver and you repeat this.
[01:39:41.440 --> 01:39:47.520]   And this can make inference faster. Um, and so like, you don't, we don't actually train the full mate,
[01:39:47.520 --> 01:39:52.000]   the matrix size WK anymore. We train a small sliver. Um, and we just repeat this.
[01:39:52.000 --> 01:39:59.520]   The attention again, all of this is just preparing, right? This is just preparing,
[01:39:59.520 --> 01:40:04.480]   right? And they're like, okay, ignore, ignore, ignore, blah, blah, blah, bloat. Get rid of this.
[01:40:04.480 --> 01:40:11.760]   Um, don't look at that. Um, there is Q K and V. That's the matrix part. Um, there is some,
[01:40:11.760 --> 01:40:16.960]   the only problem I find that people struggle with is there is like dimension manipulation. You have to
[01:40:16.960 --> 01:40:20.960]   like manipulated the dimensions of the output. That is actually kind of annoying. I do agree.
[01:40:20.960 --> 01:40:26.000]   This is actually very annoying, but just assume it is the, this, right? That's all we're trying to
[01:40:26.000 --> 01:40:33.920]   do is this. Um, and that is just these, these three lines do this, uh, do this. Um, and then
[01:40:34.800 --> 01:40:40.240]   we want to do Q K transpose, right? Oh, you have to, sorry, you have to apply the rope embedding.
[01:40:40.240 --> 01:40:46.160]   Don't forget to apply the rope embedding. Um, and then Q K, that's a repeat K V. Repeat K V is the one
[01:40:46.160 --> 01:40:53.120]   that are the trick that I said to make inference faster, um, by repeating the, so if you go back here,
[01:40:53.120 --> 01:40:58.240]   the K and the V, the K and the V, you take only small slivers, you only train small slivers and you
[01:40:58.240 --> 01:41:04.400]   repeat them four times. Um, and it does not produce accuracy that bad. Um, and that's the repeat K V.
[01:41:04.400 --> 01:41:12.720]   This is the Q K transpose, right? Torch on map ball, Q K transpose. This is the attention part.
[01:41:12.720 --> 01:41:19.760]   Soft max dropout. Okay. No one uses dropout anymore. Get rid of that line. Um, matrix multiplication,
[01:41:19.760 --> 01:41:29.840]   right? So this is, so up to here, up to here is Q K transpose over root D soft max times V. Right?
[01:41:29.840 --> 01:41:35.280]   So up to here. And then we do some sort of, and then we have to do some, um, output projection as
[01:41:35.280 --> 01:41:40.080]   well. Um, the rest, okay. Whenever you see this part, just ignore that, right? Whenever you see like
[01:41:40.080 --> 01:41:46.320]   if self dot convict dot pre training TP is more than one, this is just for, um, this is just for faster
[01:41:46.320 --> 01:41:49.440]   training. So you can get rid of that. Well, not for faster training for like, you know,
[01:41:49.440 --> 01:41:54.000]   training across multiple GPUs. You don't, you can ignore that and just assume it's just that one line.
[01:41:54.000 --> 01:42:01.760]   Um, now there is more code like flash attention to ignore. That's just for faster flash attention.
[01:42:01.760 --> 01:42:08.240]   Ignore, ignore, ignore. Right? No, you don't need to see this. Um, scale dot product attention is a
[01:42:08.240 --> 01:42:13.280]   faster version of attention that is native to fight torch. Also ignore. You don't need to see that as well.
[01:42:13.280 --> 01:42:18.880]   Pretend you didn't see that. Um, and then finally we get to the decoder layer, right? Remember each we
[01:42:18.880 --> 01:42:27.680]   show, uh, okay, maybe I should exit the slides. Um, where is it? No.
[01:42:27.680 --> 01:42:36.560]   So remember the decoder layer. Um, so this, right? Remember we said we repeat L times, right? This is
[01:42:36.560 --> 01:42:43.360]   repeat L times. This is just shoved in, in the decoder layer, right? We call this one decoder layer.
[01:42:43.360 --> 01:42:50.800]   And again, we do the layer norm. Remember put layer norms everywhere, do layer norm, do attention,
[01:42:50.800 --> 01:42:55.760]   add some residual. Um, this also makes training more stable, right? When you add residual, it makes
[01:42:55.760 --> 01:43:02.000]   training more stable, do more layer norm, do more, um, do an MLP, add more residual, and then we complete it.
[01:43:02.000 --> 01:43:08.160]   Right? That's just one, that's one component of the decoder. And remember, we repeat this L times.
[01:43:08.160 --> 01:43:14.560]   And the rest of the code is just doing this L times. Now, where is it L times? Um, comments,
[01:43:14.560 --> 01:43:19.360]   comments, comments, comments, forward, right? You go to forward. Um, yeah.
[01:43:19.360 --> 01:43:32.800]   In my opinion, put it everywhere. Yeah, but in terms of calculating the residual and then adding the
[01:43:32.800 --> 01:43:40.640]   five. Oh, that's just by, yes. Why is the ordering? Why is the ordering do, I think it's layer norm first,
[01:43:40.640 --> 01:43:43.040]   then add residual. Is that correct? Or maybe I'm getting confused.
[01:43:43.040 --> 01:43:56.160]   Yes. The ordering, to tell the truth, it doesn't really matter. I think there are some research
[01:43:56.160 --> 01:44:01.200]   papers which show if you switch the ordering, it maybe increases, like it decreases accuracy by like
[01:44:01.200 --> 01:44:08.560]   0.01%. To be honest, we need to do more testing again. Like, in my view, shove layer norms everywhere.
[01:44:08.560 --> 01:44:14.480]   Um, this actually, this should make training more stable. Um, but it makes training slower. That's the
[01:44:14.480 --> 01:44:20.800]   problem. Um, that is the only problem. But I suggest you to put layer norms everywhere. Wherever you see
[01:44:20.800 --> 01:44:28.560]   you at, just shove layer norms. Um, yeah. Layer norms always work. Um, okay. And,
[01:44:28.560 --> 01:44:51.360]   So why do you add the residuals of the previous, so you do, you take the residuals, you, you save the
[01:44:51.360 --> 01:44:57.120]   state before the layer norm, and then you, and then you do a layer norm, and then you add back it in.
[01:44:57.120 --> 01:45:00.000]   So why do we have to do that? Is that your question?
[01:45:00.000 --> 01:45:05.200]   Yeah. Why the, the formalization is between that rather than like...
[01:45:05.200 --> 01:45:09.840]   Oh, you could do it before, if you want to. You could try it. It depends. I think it's for,
[01:45:09.840 --> 01:45:14.160]   yeah, it depends. As I said, all of this is like gospel, like, oh, why did we do this?
[01:45:15.040 --> 01:45:18.400]   It's just people tried it, and they said it works. Um.
[01:45:18.400 --> 01:45:22.240]   I, I defend why this isn't impossible, I guess.
[01:45:22.240 --> 01:45:26.480]   Oh, what do you mean by not an issue? Like, why does this work? Or why is this like not a,
[01:45:26.480 --> 01:45:32.000]   what, what do you mean by issue? I mean, the, the visualization kind of changes the,
[01:45:32.000 --> 01:45:36.240]   in some way, the representation. Yes, it scales it. Yeah.
[01:45:36.240 --> 01:45:53.120]   It's just math. You just let it just, it just works. Because like, because like, if you do that,
[01:45:53.120 --> 01:45:58.160]   the autograd engine will still know that you did it, and the derivatives will still be applied correctly.
[01:45:58.160 --> 01:46:04.080]   So you just assume that it works. Um, to be honest, that is another research topic. You should try that.
[01:46:04.080 --> 01:46:08.240]   Um, I mean, I'm being like serious. Like, oh, there's so many research questions that are like
[01:46:08.240 --> 01:46:12.240]   open. Like, why doesn't everyone just put layer norms everywhere? Like, why don't you put a layer
[01:46:12.240 --> 01:46:17.040]   norm after the multi-head, multi-head attention? Put a layer norm after the Swigaloo. Put a layer norm
[01:46:17.040 --> 01:46:22.560]   after the inputs. Put a layer norm, you know, everywhere. Um, and my, my hypothesis is it makes training
[01:46:22.560 --> 01:46:24.720]   more stable, but like, it makes it slower though. Yes.
[01:46:24.720 --> 01:46:32.400]   In this theory, could mechanistic interpretability, um, solve, like, not solve, but explain this?
[01:46:32.400 --> 01:46:36.880]   Do you mean like, what do you mean by like, explain this?
[01:46:36.880 --> 01:46:39.600]   Oh, the mechanistic interpretability where you take the...
[01:46:39.600 --> 01:46:43.840]   Do, which method? Do you mean like doing the autoencoder style? Like, sparse...
[01:46:43.840 --> 01:46:56.480]   Do you mean like the, uh, what, which method? Like the, um, because I know there's like
[01:46:56.480 --> 01:47:00.400]   many methods for mechanistic interpretability, like there's different types of methods.
[01:47:00.400 --> 01:47:05.200]   This is the sparse autoencoder one or the... Well, transformer lens is Neil Nando's tool.
[01:47:05.200 --> 01:47:09.680]   Okay, I, I don't, I don't use that, so I'm not that, I'm not expert on that, but...
[01:47:09.680 --> 01:47:16.160]   No, but you can see the, um, the literal, like, um, activation.
[01:47:16.160 --> 01:47:18.160]   Yes, yes, the activation one. Yeah.
[01:47:18.160 --> 01:47:24.640]   Yeah, so basically, well, so, I mean, I'm gonna not divert from this, but, um, so basically,
[01:47:25.600 --> 01:47:31.920]   can, do you think we can figure out why this works this way? Like, because you said it's
[01:47:31.920 --> 01:47:36.960]   kind of an open question, right? But do you think that using tools like transformer lens,
[01:47:36.960 --> 01:47:44.080]   where we can look at training activation, or not activation, but like steps, where in fact we
[01:47:44.080 --> 01:47:50.240]   would have to, like, um, I'm not sure if I explained it correctly, but like, do you think mechanistic
[01:47:50.240 --> 01:47:54.960]   interpretability is a path to understanding this?
[01:47:54.960 --> 01:48:01.040]   Good question. Um, could mechanistic interpretability, okay, hmm, it depends.
[01:48:01.040 --> 01:48:07.600]   I think my view is that just layer norms, if it's specifically on the topic of layer norms,
[01:48:07.600 --> 01:48:11.040]   it just makes training more stable. I don't think so has any, like, meaning, like,
[01:48:11.040 --> 01:48:16.240]   that's my view. Like, I think, like, the math equations don't show that it has any meaning,
[01:48:16.240 --> 01:48:21.840]   I just find it to be just stabilized training. There was, like, papers like the, what was the one?
[01:48:21.840 --> 01:48:27.600]   Batch normalization, I forgot what the term was. Um, yeah, like, there was, like, a view which shows
[01:48:27.600 --> 01:48:32.080]   that batch normalization reduces problems of out of distribution data and stuff like that.
[01:48:32.080 --> 01:48:40.240]   Oh, reduces internal covariate shift or something. That was the phrase, which, yeah, I don't know what
[01:48:40.240 --> 01:48:45.120]   that even means. But anyways, um, does anyone know what that means? There was, like, a, um,
[01:48:45.120 --> 01:48:51.760]   there was, like, a video for that as well. The, yeah, does anyone know what that means? Yes.
[01:48:51.760 --> 01:49:03.360]   So, layer norms, my view of layer norms is when you do, if you don't do layer norms, if you keep,
[01:49:03.360 --> 01:49:08.400]   okay, let's say you take a number, two, you multiply by two, you get four. Remember, there's 32 layers,
[01:49:08.400 --> 01:49:13.200]   right? If you multiply by two continuously, you will get infinities in the end, right? Because you,
[01:49:13.200 --> 01:49:18.960]   like, go out of scope of the float 32. So what layer norm does is it makes your number go back
[01:49:18.960 --> 01:49:24.880]   to a good scale. So if you do two times two is four, let's divide it by four, go back to one.
[01:49:24.880 --> 01:49:29.680]   Right? And so now it's one again. If you times two, it's two again, let's divide it by two again,
[01:49:29.680 --> 01:49:35.200]   go back to one. So all layer norm does is it makes a scale go back to a good scale. Like, it doesn't,
[01:49:35.200 --> 01:49:39.680]   your numbers don't like diverge on both sides. That's what layer norm kind of does. Does that kind
[01:49:39.680 --> 01:49:45.200]   of? Okay. Any other questions? Okay. Um,
[01:49:45.200 --> 01:49:52.160]   so all we remember the decoder style. Oh, I think we actually kind of finished reviewing the Lama
[01:49:52.160 --> 01:49:56.400]   architecture. There's nothing else to do. Um, the decoder, right? You do this 32 times. Remember,
[01:49:56.400 --> 01:50:01.280]   like four decoder layer is in self dot layers. You do this 32. I think it was 32. I can't remember.
[01:50:01.280 --> 01:50:06.720]   Um, multiple times, um, that's the decoder. You just do, you apply this multiple times.
[01:50:06.720 --> 01:50:13.680]   You do a lay and all. And finally, you get your logits. Where is it? Your LM head, right? This
[01:50:13.680 --> 01:50:19.600]   outputs the probabilities of which token. Remember, we're trying to predict the next token. We output
[01:50:19.600 --> 01:50:26.880]   probabilities for each token. And that is called the LM head. Um, and where's the forward function?
[01:50:27.600 --> 01:50:33.360]   The forward, right? There's a forward, but always with the forward, um, self, you do, you go through
[01:50:33.360 --> 01:50:38.560]   the model and then you do, okay. Remember, ignore this, right? Ignore this. And you should LM head.
[01:50:38.560 --> 01:50:43.280]   That's just one line, one line. Okay. One line. And then you do the float. Now, another question people
[01:50:43.280 --> 01:50:48.800]   have is like, why do you have to do the float? Um, um, does anyone know why you have to do, you have to
[01:50:48.800 --> 01:50:59.760]   upcast a float? Why? Any clues? Have a guess. Have a guess. Have a guess. Have a guess. Why do we have to
[01:50:59.760 --> 01:51:09.120]   upcast a float? Sorry? Gradients? Okay. Close. Why? Why gradients? It is related somehow to gradients.
[01:51:10.400 --> 01:51:17.040]   Anyone have a guess? Okay. It's for training and stability purposes. So, the softmax, you should
[01:51:17.040 --> 01:51:22.640]   always upcast the float32 because it makes training more stable. If you take the derivatives and the
[01:51:22.640 --> 01:51:30.080]   gradients, if you do not do float32, you might get NANDs as well. Remember, the exponential can be very
[01:51:30.080 --> 01:51:36.880]   large. So, you want to take the float32, which has larger precision than float16. Float16 is the maximum
[01:51:36.880 --> 01:51:43.600]   number of 65536, I think. I think it's 65536. Right? But float32, the maximum is like some large number
[01:51:43.600 --> 01:51:49.120]   to the power of 38 or something. 10 to the power of 38. So, that's why you have to upcast it to float32.
[01:51:49.120 --> 01:51:52.560]   This just makes training more stable. Right? So, all of these things that we do tricks,
[01:51:52.560 --> 01:51:58.160]   it's just to make training stable. Yes? You said you're doing the operation 32 times.
[01:51:58.160 --> 01:52:01.280]   Is that just like an arbitrary thing that people figured out works?
[01:52:01.280 --> 01:52:04.960]   Oh, that's up to you. So, like, if you want to do more parameters,
[01:52:04.960 --> 01:52:09.280]   you can do 300 times. Up to you. That's just make your model 10 times larger.
[01:52:09.280 --> 01:52:12.240]   So, like, when you see, when you hear, like, you know, llamas. Yeah?
[01:52:12.240 --> 01:52:15.600]   Each time you do it, it's generating, like, a weight for the model?
[01:52:15.600 --> 01:52:19.680]   Like, each layer, like, each time you iterate, it's going to generate, like, a sort of weight?
[01:52:19.680 --> 01:52:22.320]   Is that one of them? So, the weights you train,
[01:52:22.320 --> 01:52:26.960]   when you take the tokens, you go through the architecture and, like, it changes the, it changes
[01:52:26.960 --> 01:52:31.360]   the tokens. And these tokens keep shifting to, like, some sort of, like, new direction.
[01:52:31.360 --> 01:52:35.680]   And you keep doing this.
[01:52:35.680 --> 01:52:38.960]   The problem is you'll have to train more weights.
[01:52:38.960 --> 01:52:42.720]   So, each, each 32 times has different weights.
[01:52:42.720 --> 01:52:48.400]   Correct. Each of the, each of the iterations,
[01:52:48.400 --> 01:52:51.520]   but it's not, yeah, each, there'll be 32 different weights for each layer.
[01:52:51.520 --> 01:52:56.560]   And so, like, yeah, normally people just, if you see, like, this, like, you know,
[01:52:56.560 --> 01:53:01.200]   GPT-4, what is it, like, one something trillion tokens, I'm assuming there's more layers.
[01:53:01.200 --> 01:53:05.120]   Larger embedding dimension, larger this, larger that, more layers.
[01:53:05.120 --> 01:53:09.200]   Normally speaking, the more layers you do, the model can learn more.
[01:53:09.200 --> 01:53:11.600]   So, that's the whole reason why you wanted to add more layers.
[01:53:11.600 --> 01:53:13.840]   You just want to increase the capacity of the model to learn.
[01:53:15.200 --> 01:53:16.880]   Again, it's to make training more stable, again.
[01:53:16.880 --> 01:53:21.920]   And so this, remember the shifting trick that we did?
[01:53:21.920 --> 01:53:26.000]   In PyTorch, the shifting trick is just this and this.
[01:53:26.000 --> 01:53:28.320]   That's the shifting trick.
[01:53:28.320 --> 01:53:31.360]   That's the thing that makes it learn to predict the next token.
[01:53:31.360 --> 01:53:36.960]   And then you pass it through the loss function, the cross entropy loss, which we discussed about.
[01:53:36.960 --> 01:53:39.600]   And then that's the Lama architecture.
[01:53:39.600 --> 01:53:40.320]   And that's normal.
[01:53:40.320 --> 01:53:41.920]   The rest is not useful.
[01:53:41.920 --> 01:53:43.680]   The rest is, yeah.
[01:53:43.680 --> 01:53:48.960]   So, in theory, you could write the entire Lama architecture in, like, I think, 50 lines or
[01:53:48.960 --> 01:53:49.280]   something.
[01:53:49.280 --> 01:53:53.120]   The rest is just unnecessary bloat, right?
[01:53:53.120 --> 01:53:56.000]   This, all of this is 1,600 lines of comments and stuff like that.
[01:53:56.000 --> 01:53:58.000]   But, you know, this is for hugging faces implementation.
[01:53:58.000 --> 01:53:59.920]   It's highly respected.
