
[00:00:00.040 --> 00:00:05.260]   sometimes you make some venture bets and they don't work and then you're like I just invested
[00:57:17.360 --> 00:57:22.960]   are not profitable right now so if you think you can win and you can benefit um i think that makes
[00:57:22.960 --> 00:57:29.680]   sense yeah this is probably the one i had the most debate about both myself with with with with
[00:57:29.680 --> 00:57:36.880]   others is what to do if you're growing less than 25 and you'll you're still burning capital and look
[00:57:36.880 --> 00:57:42.400]   obviously no one chooses to be in this position right circumstances of the business whether it's
[00:57:42.400 --> 00:57:46.480]   competitive dynamics or others have put you in this position and now the question is what to do
[00:57:46.480 --> 00:57:51.440]   and i went through a lot of different um iterations here and the best word i could come
[00:57:51.440 --> 00:57:56.000]   up with is it's time to reinvent and reinvent could mean a lot of different things so let me
[00:57:56.000 --> 00:58:03.040]   pause it that you might have two businesses let's say you were 50 million in revenue and you might
[00:58:03.040 --> 00:58:09.280]   have your 40 million uh core business not really growing the unit economics are tough but maybe you
[00:58:09.280 --> 00:58:15.680]   think and maybe it's an on-premise product and now you think you made it a new sas uh cloud product
[00:58:15.680 --> 00:58:21.360]   that's maybe only one or two million in ar but it's really growing quickly it's putting the company back
[00:58:21.360 --> 00:58:26.720]   on offense the team's really excited might be time to say hey let's go all in on this new product even
[00:58:26.720 --> 00:58:31.760]   though it's much smaller right that's one reinvention so it might be you have a gem of an asset it might
[00:58:31.760 --> 00:58:36.080]   be trying to open source something that previously you didn't right that's kind of what i mean by
[00:58:36.080 --> 00:58:41.920]   reinventing yeah it's it's the opportunity of looking at this moment and thinking what can i do and also
[00:58:41.920 --> 00:58:46.240]   realizing that you as an entrepreneur have an opportunity cost of not doing other things so
[00:58:46.240 --> 00:58:50.720]   the best word i could come up with is reinvent it's going to mean different things to different people
[00:58:50.720 --> 00:58:56.400]   but we thought now was the time to kind of um think about that i i i thought this was amazing and i i
[00:58:56.400 --> 00:59:02.000]   will tell you that i think one of the biggest challenges that these companies in this quadrant
[00:59:02.000 --> 00:59:06.720]   i think there's a lot of them there may be a thousand of these out there one of the big thing
[00:59:06.720 --> 00:59:13.040]   problems i think they have is having survived to this point and having succeeded let's say they have
[00:59:13.040 --> 00:59:19.600]   revenue of 50 to 100 million dollars they feel like they need to protect something and it puts them on the
[00:59:19.600 --> 00:59:24.800]   back foot not the front foot it makes them conservative and i like your word reinvent they
[00:59:24.800 --> 00:59:31.200]   need to increase risk they actually because i i think one of the problems is they don't they don't
[00:59:31.200 --> 00:59:38.720]   internalize the fact that if they stay low growth at this size their multiple could go from five to three to
[00:59:38.720 --> 00:59:44.640]   one right time's revenue and they're protecting something that doesn't exist so that i'll leave you
[00:59:44.640 --> 00:59:49.040]   with this last thought brad you and i've talked about this there's an amazing element of the venture
[00:59:49.040 --> 00:59:52.800]   community they choose them to be tribal and i think there's a lot of benefits to that
[00:59:52.800 --> 00:59:57.840]   but i also think there's a lot of benefits to what i'll call more mercenary thinking right
[00:59:57.840 --> 01:00:02.640]   which is more reinventing from the ground up right and i think that ultimately the combination
[01:00:02.640 --> 01:00:07.680]   of both of those right which tends to be more of a public mindset again because we do have
[01:00:07.680 --> 01:00:15.520]   the ability to sell and venture um don't to us bringing those two kind of strains uh together
[01:00:15.520 --> 01:00:20.400]   in the boardroom you know can yield hopefully some good outcomes awesome thomas thank you for
[01:00:20.400 --> 01:00:27.040]   being with us thank you for having us at the event um it's really incredible the amount of thought that
[01:00:27.040 --> 01:00:33.760]   that went into this is extraordinary um and i would just say on behalf of all the founders uh those
[01:00:33.760 --> 01:00:39.040]   people who partner with you like altimeter and benchmark um what i love about this ecosystem
[01:00:39.040 --> 01:00:44.960]   most people think that we compete like dogs and uh but the truth of the matter is uh you're one of
[01:00:44.960 --> 01:00:49.760]   the first people i call or philippe when we're having when we're trying to figure something out
[01:00:49.760 --> 01:00:55.040]   and and you guys to us and that's why bill and i do this pod because we actually just want to be
[01:00:55.040 --> 01:01:01.040]   smarter and get to the right answer um and so appreciate you having us and uh an awesome job
[01:01:01.040 --> 01:01:02.880]   again okay thank you so much
[01:01:02.880 --> 01:01:15.840]   as a reminder to everybody just our opinions not investment advice

