
[00:00:00.000 --> 00:00:04.380]   what's going on y'all there's another episode of curious mike i am here with denise garcia and
[00:56:08.360 --> 00:56:16.680]   with the times i think for me um my thing that i'm focused on is streaming in my own podcast so it's
[00:56:16.680 --> 00:56:22.920]   very very entertaining that's what you need to do because no one no one speaks with the conviction
[00:56:22.920 --> 00:56:29.640]   you do and has a personality you do you're one of a kind so you got to somehow express that in your own
[00:56:29.640 --> 00:56:38.920]   way for sure she is she is what about um so i feel like mom like i've been focused on mom mode and um
[00:56:38.920 --> 00:56:44.440]   now i want to get into starting my own business i have an idea that i'm working on right now and then i
[00:56:44.440 --> 00:56:49.400]   started my non-profit which is stronger than stroke so that's awesome yeah so that to me has been really
[00:56:49.400 --> 00:56:58.040]   fulfilling and um so yeah i'm excited for what's to come with that and to see where it goes um and then
[00:56:58.040 --> 00:57:02.920]   my own business kind of i kind of got inspired with basketball wives like there were some things that came
[00:57:02.920 --> 00:57:08.840]   up for me that i was like wow i can actually do this this is a lane for me um so just exploring that more
[00:57:08.840 --> 00:57:16.840]   more is like my focus yeah i have a question though what i'm curious about is what made you want to sit
[00:57:16.840 --> 00:57:25.400]   down and talk with us um well honestly because i've i've seen i've known her for a while i've seen how
[00:57:25.400 --> 00:57:31.080]   she gets criticized unfairly and then i know you were in a semi-o situation i know you guys are friends
[00:57:31.080 --> 00:57:35.960]   and i've always kept up with some of your videos from way back in the day i watched some of your podcasts
[00:57:35.960 --> 00:57:40.920]   that you've done and i've always respected the way that you think and the in the way that you're able
[00:57:40.920 --> 00:57:45.560]   to articulate your feelings that is very rare and the fact that you can go in any room and talk to
[00:57:45.560 --> 00:57:50.520]   anybody about any subject and you know what you're talking about so it was more it was more wanting to
[00:57:50.520 --> 00:57:57.560]   like not have a a debate but have a like have a conversation and and and understand like where you
[00:57:57.560 --> 00:58:03.480]   guys coming are coming from yeah in your situations and the way you view things because i feel like
[00:58:03.480 --> 00:58:09.320]   these type of conversations um are usually like this side versus this side instead of people trying to
[00:58:09.320 --> 00:58:15.960]   understand both sides and have have empathy like you said and i feel like that's what we're missing and
[00:58:15.960 --> 00:58:20.520]   that was the whole point of curious mike was not only to have people on here that you agree with or you
[00:58:20.520 --> 00:58:26.680]   whatever but have people on here that you can learn from and i feel like a lot of people can learn
[00:58:26.680 --> 00:58:34.760]   especially in my shoes like as an athlete as whatever um people think very differently than
[00:58:34.760 --> 00:58:39.240]   you guys sometimes i feel like there's a lot of understanding to be had so i just thought that was
[00:58:39.240 --> 00:58:44.440]   the reason and i appreciate you i appreciate that i feel like a big part of life too and just like figuring
[00:58:44.440 --> 00:58:48.200]   we're all trying to figure it out and it's like i want to understand why people think the way that
[00:58:48.200 --> 00:58:53.720]   they think and why they do what they do so yeah i feel really seen it was dope no i'm glad you guys
[00:58:53.720 --> 00:58:57.160]   pulled up so we gonna wrap it up man curious mike out

