
[00:00:00.320 --> 00:00:08.540]   I recently stumbled across a fascinating 2024 essay written by a Norwegian psychology professor.
[00:43:54.480 --> 00:43:55.480]   May Monday.
[00:43:55.480 --> 00:43:56.480]   Monday night.
[00:43:56.480 --> 00:43:57.480]   Yeah.
[00:43:57.480 --> 00:44:08.480]   And I guess you, if you had the radio on, on the way to school, you could hear like a little bit of a local sports, uh, radio guy who wouldn't be that good.
[00:44:08.480 --> 00:44:09.480]   Actually, no, we had sports center.
[00:44:09.480 --> 00:44:11.480]   So we had ESPN growing up, but that was the big thing.
[00:44:11.480 --> 00:44:12.480]   You had sports center.
[00:44:12.480 --> 00:44:19.480]   Was it like you could wait till sports center and you would see like seven minutes of content on like your sport and that's it.
[00:44:19.480 --> 00:44:20.480]   Yeah.
[00:44:20.480 --> 00:44:22.480]   What eight hours of content are you consuming?
[00:44:22.480 --> 00:44:25.480]   There's multiple podcasts, multiple mad dog spots.
[00:44:25.480 --> 00:44:27.480]   Those are long spots.
[00:44:27.480 --> 00:44:29.480]   Anywhere from a half an hour to an hour.
[00:44:29.480 --> 00:44:30.480]   Yeah.
[00:44:30.480 --> 00:44:31.480]   Yeah.
[00:44:31.480 --> 00:44:33.480]   And, but you can listen on the app on demand, but I mean, there's a lot.
[00:44:33.480 --> 00:44:34.480]   Yeah.
[00:44:34.480 --> 00:44:35.480]   Yeah.
[00:44:35.480 --> 00:44:37.480]   When I make my little pics with my buddies, I need to be informed.
[00:44:37.480 --> 00:44:38.480]   Are you in a league?
[00:44:38.480 --> 00:44:39.480]   Just like my two buddies.
[00:44:39.480 --> 00:44:40.480]   You're not in a fantasy?
[00:44:40.480 --> 00:44:41.480]   No, not a fantasy.
[00:44:41.480 --> 00:44:42.480]   Not a fantasy.
[00:44:42.480 --> 00:44:43.480]   Okay.
[00:44:43.480 --> 00:44:44.480]   Um, there you go.
[00:44:44.480 --> 00:44:47.480]   I don't have to say about that, but that's probably, I don't know.
[00:44:47.480 --> 00:44:49.480]   That's good content though.
[00:44:49.480 --> 00:44:50.480]   It's complicated.
[00:44:50.480 --> 00:44:51.480]   I was listening to content.
[00:44:51.480 --> 00:44:52.480]   It's entertaining.
[00:44:52.480 --> 00:44:54.480]   I mean, the NFL is so entertaining.
[00:44:54.480 --> 00:45:00.480]   So my boy, Grant Paulson here in DC, uh, was watching a clip of him talking to, he has on
[00:45:00.480 --> 00:45:06.480]   a real, I don't know who he is, but a football expert, like a coach expert, the talk through
[00:45:06.480 --> 00:45:08.480]   a strategy for the commanders.
[00:45:08.480 --> 00:45:11.480]   And man, like Grant Paulson knows a lot about football.
[00:45:11.480 --> 00:45:13.480]   This guy is melting his brain.
[00:45:13.480 --> 00:45:16.480]   He pulls up these diagrams and he's just going on and on about like, well, you have to understand
[00:45:16.480 --> 00:45:20.480]   see what happens with Debo Sanders that we're going to have like a forced nickel configuration.
[00:45:20.480 --> 00:45:23.480]   But if you go in the forced nickel configuration and he then moves in motion, you're going to
[00:45:23.480 --> 00:45:25.480]   have to pull in a linebacker to cover him.
[00:45:25.480 --> 00:45:28.480]   But a linebacker is going to have probably the worst coverage player on the field.
[00:45:28.480 --> 00:45:31.480]   And now you've created an unfavorable matchup, but you have no way of avoiding that because
[00:45:31.480 --> 00:45:35.480]   if he stays in the running back slot and he has these diagrams that have all these helmets
[00:45:35.480 --> 00:45:36.480]   that he's moving around or whatever.
[00:45:36.480 --> 00:45:37.480]   So like, I get it.
[00:45:37.480 --> 00:45:38.480]   Yeah.
[00:45:38.480 --> 00:45:39.480]   It's complicated content.
[00:45:39.480 --> 00:45:43.480]   If I was doing a Nats podcast right now, Washington nationals podcast.
[00:45:43.480 --> 00:45:46.480]   I'd be like, it'd be huge, like intro music.
[00:45:46.480 --> 00:45:47.480]   It'd be really complicated.
[00:45:47.480 --> 00:45:50.480]   And it would like the camera would swoop in on like MLB network.
[00:45:50.480 --> 00:45:53.480]   And I'd be sitting there, but he's already go deep, deep in the strategy of like what the
[00:45:53.480 --> 00:45:54.480]   Washington nationals need to do.
[00:45:54.480 --> 00:45:55.480]   And they would zoom in on me.
[00:45:55.480 --> 00:45:58.480]   And I'd be like, stop losing.
[00:45:58.480 --> 00:46:05.480]   You're playing bad, play good, good baseball.
[00:46:05.480 --> 00:46:12.480]   The white things, the bases don't leave that white thing in such a way that the other people
[00:46:12.480 --> 00:46:14.480]   tag you because you're doing that a lot.
[00:46:14.480 --> 00:46:16.480]   Hit ball, win more, stop losing.
[00:46:16.480 --> 00:46:18.480]   And then it'd be like a 10 minute outro sequence.
[00:46:18.480 --> 00:46:19.480]   And that'd be the episode.
[00:46:19.480 --> 00:46:20.480]   There you go.
[00:46:20.480 --> 00:46:21.480]   All right.
[00:46:21.480 --> 00:46:22.480]   Who do we got next?
[00:46:22.480 --> 00:46:23.480]   Next up is Emily.
[00:46:23.480 --> 00:46:25.480]   My company uses a ticketing system.
[00:46:25.480 --> 00:46:29.480]   Our protocol has us respond in 30 minutes to confirm that a ticket has been created.
[00:46:29.480 --> 00:46:33.480]   Some days I have lots of tickets, whereas other days I've hardly any on quiet days.
[00:46:33.480 --> 00:46:35.480]   I work on personal projects.
[00:46:35.480 --> 00:46:40.480]   My problem is that it's difficult for me to regain my focus on these personal projects after
[00:46:40.480 --> 00:46:41.480]   busy days.
[00:46:41.480 --> 00:46:42.480]   All right.
[00:46:42.480 --> 00:46:44.480]   So there's a specific advice for this issue.
[00:46:44.480 --> 00:46:48.480]   And then I have a bigger point about ticketing systems.
[00:46:48.480 --> 00:46:49.480]   Do you know what that means?
[00:46:49.480 --> 00:46:52.480]   By the way, you think people know, like when she says ticketing system, you should probably
[00:46:52.480 --> 00:46:53.480]   explain it.
[00:46:53.480 --> 00:46:54.480]   Right.
[00:46:54.480 --> 00:46:55.480]   I've been talking about it for years.
[00:46:55.480 --> 00:46:56.480]   I know.
[00:46:56.480 --> 00:46:57.480]   But yeah.
[00:46:57.480 --> 00:46:58.480]   So it comes out of IT.
[00:46:58.480 --> 00:47:02.480]   And so it's a way when someone has like an issue they want to send to the IT department,
[00:47:02.480 --> 00:47:04.480]   like my laptop's broken.
[00:47:04.480 --> 00:47:09.480]   Instead of just calling or sending an email, because now this is on demand, stuff just comes
[00:47:09.480 --> 00:47:12.480]   in and the IT department has to try to juggle different things.
[00:47:12.480 --> 00:47:17.480]   They invented these things called ticketing systems, where I submit my problem and it generates
[00:47:17.480 --> 00:47:20.480]   a ticket and the ticket has a number and the ticket has a status.
[00:47:20.480 --> 00:47:26.480]   And so if I'm on the IT process, if I'm an IT person at the company, I can see like a
[00:47:26.480 --> 00:47:27.480]   whole list of the open tickets.
[00:47:27.480 --> 00:47:33.480]   These are all of the issues that people have sent in and I can select one to work on and
[00:47:33.480 --> 00:47:34.480]   change its status.
[00:47:34.480 --> 00:47:35.480]   Oh, it's in progress.
[00:47:35.480 --> 00:47:36.480]   Oh, it's in progress.
[00:47:36.480 --> 00:47:39.480]   Or if I have a question about it, I can write back here.
[00:47:39.480 --> 00:47:43.480]   So I have a question for the person and they might respond that all of this gets stored on
[00:47:43.480 --> 00:47:45.480]   the tickets all in one place.
[00:47:45.480 --> 00:47:51.480]   So now if I'm the IT person, I'm not just juggling an inbox with like stuff coming in and people
[00:47:51.480 --> 00:47:53.480]   randomly bothering me like, hey, did you look at this issue yet?
[00:47:53.480 --> 00:47:54.480]   I'm just dealing with tickets.
[00:47:54.480 --> 00:47:55.480]   All right, I'm going to take this ticket.
[00:47:55.480 --> 00:47:56.480]   Let me make progress.
[00:47:56.480 --> 00:47:57.480]   Okay, now I'm stuck.
[00:47:57.480 --> 00:47:58.480]   I'm waiting for a response.
[00:47:58.480 --> 00:47:59.480]   I'll mark that.
[00:47:59.480 --> 00:48:00.480]   Let me move to this ticket.
[00:48:00.480 --> 00:48:04.480]   Now on the other hand, the people who are submitting the issues can just ask like, what's
[00:48:04.480 --> 00:48:05.480]   the status of my ticket?
[00:48:05.480 --> 00:48:06.480]   Like here's where it is.
[00:48:06.480 --> 00:48:07.480]   Someone's working on it, right?
[00:48:07.480 --> 00:48:12.480]   So it's like it was a way of organizing effort with IT departments that reduced unnecessary
[00:48:12.480 --> 00:48:16.480]   cognitive context switching and actually really boosted productivity of those departments.
[00:48:16.480 --> 00:48:22.480]   I use this example in my book, World Without Email, to try to emphasize the implicit productivity
[00:48:22.480 --> 00:48:28.480]   tax that most people pay by working in a collaboration environment in which you have to constantly be
[00:48:28.480 --> 00:48:32.480]   monitoring ad hoc unscheduled messages and answering them on the man as they come in.
[00:48:32.480 --> 00:48:34.480]   When you get rid of that, a lot more gets done.
[00:48:34.480 --> 00:48:38.480]   Okay, so this person is saying, this is Emily.
[00:48:38.480 --> 00:48:40.480]   Some days, there's not a lot of tickets to answer.
[00:48:40.480 --> 00:48:43.480]   So she has time to work on personal projects.
[00:48:43.480 --> 00:48:45.480]   And then other days, there's a lot of tickets to answer.
[00:48:45.480 --> 00:48:48.480]   And it might be, you know, okay, I've had a couple of busy days, it can be hard for her
[00:48:48.480 --> 00:48:49.480]   to return to her project.
[00:48:49.480 --> 00:48:54.480]   So there's a bigger point here, which is when you have a project that requires focus, how
[00:48:54.480 --> 00:48:59.480]   do you sort of shut down that project in such a way that when you need to open it up
[00:48:59.480 --> 00:49:03.480]   again later, you can do so with minimum effort or overhead.
[00:49:03.480 --> 00:49:07.480]   And it really does matter how you shut down a project, especially one that requires deep
[00:49:07.480 --> 00:49:07.480]   work.
[00:49:07.480 --> 00:49:11.480]   It matters how you shut it down when it comes to how easy it is to pick it up again a couple
[00:49:11.480 --> 00:49:12.480]   days later.
[00:49:12.480 --> 00:49:19.480]   So if you just stop in the middle of something, like a lot of loose ends, and then you come
[00:49:19.480 --> 00:49:23.480]   back a few days later, you're going to feel a lot of resistance to loading that project
[00:49:23.480 --> 00:49:27.480]   back up because your mind is going to have to recreate a complicated cognitive context
[00:49:27.480 --> 00:49:29.480]   before you can really make progress on it.
[00:49:29.480 --> 00:49:30.480]   And that takes a lot of effort.
[00:49:30.480 --> 00:49:35.480]   You have to sit there and like try to remember everything that was going on, recreate where
[00:49:35.480 --> 00:49:36.480]   you were.
[00:49:36.480 --> 00:49:40.480]   This whole time, it has to try to resist other distractions or try to stop that cognitive context
[00:49:40.480 --> 00:49:42.480]   or pollute it from loading in a pure way.
[00:49:42.480 --> 00:49:44.480]   And your mind is like, "That seems like a lot of effort.
[00:49:44.480 --> 00:49:46.480]   And if this isn't really urgent, I don't want to do it."
[00:49:46.480 --> 00:49:50.480]   So what you want to do is shut down the project in such a way that it's easier to load up.
[00:49:50.480 --> 00:49:55.480]   So it's worth always taking some time to tie up loose ends, even if you have to come
[00:49:55.480 --> 00:49:57.480]   back and stay a little late that day to tie up the loose ends.
[00:49:57.480 --> 00:50:01.480]   Like maybe some tickets came in and you got interrupted.
[00:50:01.480 --> 00:50:02.480]   Come back and tie up the loose ends.
[00:50:02.480 --> 00:50:04.480]   You want to tie up the loose ends.
[00:50:04.480 --> 00:50:08.480]   You want to have, if possible, like a narrative that you're leaving for your future self.
[00:50:08.480 --> 00:50:11.480]   All right, here's where we are and here's what needs to happen next.
[00:50:11.480 --> 00:50:16.480]   It's useful if you can identify the very next thing that needs to be done and maybe have
[00:50:16.480 --> 00:50:19.480]   some of the pieces already in place so that you can hit the ground running.
[00:50:19.480 --> 00:50:24.480]   There's a lot of stories of famous writers who would do things like this with their manuscripts.
[00:50:24.480 --> 00:50:29.480]   They would sort of finish what they're working on and sort of start the next paragraph so
[00:50:29.480 --> 00:50:30.480]   you can kind of hit the ground running.
[00:50:30.480 --> 00:50:32.480]   Like read through that paragraph and then just keep writing.
[00:50:32.480 --> 00:50:37.480]   And by reading up to the point where you stopped, you would get your attention going.
[00:50:37.480 --> 00:50:38.480]   So do something similar.
[00:50:38.480 --> 00:50:41.480]   Like, okay, this is where we're picking it up is answering this question.
[00:50:41.480 --> 00:50:44.480]   And here are the three websites that are relevant to it.
[00:50:44.480 --> 00:50:47.480]   And we have to figure out, like, this is where I was stuck.
[00:50:47.480 --> 00:50:52.480]   Now when you load that product up a couple days later, you're like, okay, that's exactly where I am.
[00:50:52.480 --> 00:50:53.480]   I'm trying to answer this question.
[00:50:53.480 --> 00:50:55.480]   This was the information I'm using and where I was stuck.
[00:50:55.480 --> 00:50:57.480]   Okay, I can get back into that quicker.
[00:50:57.480 --> 00:50:59.480]   It's easier to pick back up.
[00:50:59.480 --> 00:51:06.480]   So tie up loose ends and set yourself up with a narrative about where you are and clarity about exactly what you need to do next.
[00:51:06.480 --> 00:51:09.480]   It'll be easier to start deep work on that project the next time.
[00:51:09.480 --> 00:51:20.480]   The bigger point about ticketing systems is I've long, I haven't quite figured out how to do this, but I've long been a proponent of the idea that we should have more communication protocols like this outside of just IT people.
[00:51:20.480 --> 00:51:29.480]   Because it gets you out of this sort of informal on-demand ad hoc communication patterns that we do with email and Slack.
[00:51:29.480 --> 00:51:33.480]   It has a central place where all of your communication threads are stored.
[00:51:33.480 --> 00:51:36.480]   All the communication relevant to one project is in one place.
[00:51:36.480 --> 00:51:39.480]   It has a status that people can check in on.
[00:51:39.480 --> 00:51:42.480]   It's like, how is this thing going that I asked you about?
[00:51:42.480 --> 00:51:47.480]   It gives you as the person doing work more of a pull model.
[00:51:47.480 --> 00:51:53.480]   Okay, when I'm done with what I'm doing, I then look at my ticket dashboard to select what to work on next.
[00:51:53.480 --> 00:52:03.480]   That's very different than the interruptive push model that we use with email and Slack, which is I'm working on this, but someone can push in something else onto my plate with an email that I need to answer because otherwise it'll get lost.
[00:52:03.480 --> 00:52:07.480]   That's way, way, way worse from a cognitive performance standpoint.
[00:52:07.480 --> 00:52:17.480]   So I think there's a product to be built here that's like a more user-friendly ticketing type system, which means when I bother you about something, there's a number.
[00:52:17.480 --> 00:52:18.480]   And maybe we can hide that.
[00:52:18.480 --> 00:52:19.480]   We can make the product nicer.
[00:52:19.480 --> 00:52:21.480]   But there's like, here is this issue.
[00:52:21.480 --> 00:52:23.480]   I can check on the status.
[00:52:23.480 --> 00:52:24.480]   They haven't looked at it yet.
[00:52:24.480 --> 00:52:28.480]   Okay, they saw it and they put a quick note like, I see this.
[00:52:28.480 --> 00:52:30.480]   I've asked so-and-so to give me an answer.
[00:52:30.480 --> 00:52:31.480]   I'll let you know when I hear back.
[00:52:31.480 --> 00:52:32.480]   So you know what's going on.
[00:52:32.480 --> 00:52:33.480]   You don't have to ping someone.
[00:52:33.480 --> 00:52:35.480]   You don't have to wait for a response.
[00:52:35.480 --> 00:52:38.480]   If you send a follow-up or they respond to you, it's all tracked in one place.
[00:52:38.480 --> 00:52:41.480]   You can see the whole conversation right there.
[00:52:41.480 --> 00:52:48.480]   And when you're working, you can just come to this ticket dashboard and we'll call it something different in our project so it's not so nerdy.
[00:52:48.480 --> 00:52:51.480]   But you come to this dashboard and you say, oh, here's some new projects.
[00:52:51.480 --> 00:52:53.480]   Here's some updates to these projects.
[00:52:53.480 --> 00:52:57.480]   It gives you a more sort of autonomous way of navigating and communicating about work.
[00:52:57.480 --> 00:53:01.480]   I think there's a space there for a cool product.
[00:53:01.480 --> 00:53:02.480]   All right.
[00:53:02.480 --> 00:53:03.480]   What do we got?
[00:53:03.480 --> 00:53:04.480]   Next up is Bart.
[00:53:04.480 --> 00:53:12.480]   I'm a full-time software engineer with a background in machine learning and computer engineering, aiming to transition into digital management consulting.
[00:53:12.480 --> 00:53:15.480]   I've had little success with my applications and feel stuck.
[00:53:15.480 --> 00:53:19.480]   Should I continue on my current learning path hoping that a better opportunity will arise?
[00:53:19.480 --> 00:53:24.480]   Or should I consider pursuing an MBA or something similar degree to strengthen my profile?
[00:53:24.480 --> 00:53:25.480]   All right.
[00:53:25.480 --> 00:53:27.480]   There's two things in here that worry me, Bart.
[00:53:27.480 --> 00:53:28.480]   One, the word hope.
[00:53:28.480 --> 00:53:30.480]   Like, hey, should I just hope this will work?
[00:53:30.480 --> 00:53:31.480]   I don't want you hoping.
[00:53:31.480 --> 00:53:32.480]   Let's find out.
[00:53:32.480 --> 00:53:34.480]   I'm going to tell you how to do that in a second.
[00:53:34.480 --> 00:53:37.480]   Second, so should I just go get a graduate degree because I don't know what else to do?
[00:53:37.480 --> 00:53:39.480]   Jesse knows I hate that.
[00:53:39.480 --> 00:53:46.480]   Graduate degrees are not a default behavior because you don't want to spend like a little bit more time figuring out like what really matters in your field.
[00:53:46.480 --> 00:53:48.480]   It's a lot of time and a lot of money.
[00:53:48.480 --> 00:53:50.480]   You have to have a specific reason to get them.
[00:53:50.480 --> 00:53:55.480]   I think what you're missing here, Bart, is an evidence-based plan.
[00:53:55.480 --> 00:53:57.480]   So you're saying, I don't know, I feel stuck.
[00:53:57.480 --> 00:54:01.480]   Should I just hope that I'll maybe do better if I keep working on the stuff?
[00:54:01.480 --> 00:54:04.480]   Find out why your applications are failing.
[00:54:04.480 --> 00:54:10.480]   Get the truth, the unvarnished truth from someone in this industry that you know.
[00:54:10.480 --> 00:54:13.480]   Why would someone like me not get hired?
[00:54:13.480 --> 00:54:15.480]   Why are people not looking at my application?
[00:54:15.480 --> 00:54:20.480]   What type of applications would you look at and why?
[00:54:20.480 --> 00:54:21.480]   Get the real answer.
[00:54:21.480 --> 00:54:23.480]   Don't invent an answer or have a theory.
[00:54:23.480 --> 00:54:24.480]   Get the real answer.
[00:54:24.480 --> 00:54:26.480]   Now, here's the thing.
[00:54:26.480 --> 00:54:28.480]   You might love what you hear.
[00:54:28.480 --> 00:54:30.480]   Like, oh, I'm just missing this one thing.
[00:54:30.480 --> 00:54:34.480]   I could go figure that out in two months and then I'm going to be super attractive.
[00:54:34.480 --> 00:54:36.480]   I didn't realize that this one thing was messing me up.
[00:54:36.480 --> 00:54:38.480]   And you could love the answer or you could hate the answer.
[00:54:38.480 --> 00:54:40.480]   You could be like, oh, God, I see.
[00:54:40.480 --> 00:54:42.480]   Like, I'm never going to get these rules.
[00:54:42.480 --> 00:54:46.480]   You're hiring only out of, like, MIT for these, like, digital consulting jobs with, like,
[00:54:46.480 --> 00:54:48.480]   Core 6 CS majors who had all As.
[00:54:48.480 --> 00:54:51.480]   And they're not even, like, sneezing in the direction of my applications.
[00:54:51.480 --> 00:54:53.480]   There's no way I can fix that.
[00:54:53.480 --> 00:54:54.480]   Okay, this is not a good idea.
[00:54:54.480 --> 00:54:55.480]   I'm going to have to have another plan.
[00:54:55.480 --> 00:54:58.480]   But at least you know you should always be acting from evidence.
[00:54:58.480 --> 00:55:01.480]   So get the answer to the question of why you're not getting these jobs.
[00:55:01.480 --> 00:55:02.480]   The real answer.
[00:55:02.480 --> 00:55:04.480]   And then we'll use that to make our plan.
[00:55:04.480 --> 00:55:10.480]   Then and only then, if what you find out is like, yeah, you, we would hire someone like
[00:55:10.480 --> 00:55:14.480]   you if you had an MBA from a school of this caliber or higher.
[00:55:14.480 --> 00:55:19.480]   In fact, here's three people recently from a similar background who had an MBA from a
[00:55:19.480 --> 00:55:20.480]   school of this caliber or higher.
[00:55:20.480 --> 00:55:21.480]   And we hired them.
[00:55:21.480 --> 00:55:24.480]   So if you got an MBA from a school of this caliber or higher, we would hire you.
[00:55:24.480 --> 00:55:27.480]   Then, okay, then you could think about, is it worth the expense and time?
[00:55:27.480 --> 00:55:29.480]   And if it is, like, then you know why you're getting that MBA.
[00:55:29.480 --> 00:55:31.480]   That's when you would do that.
[00:55:31.480 --> 00:55:33.480]   So we call this evidence-based planning.
[00:55:33.480 --> 00:55:36.480]   It's one of the things that's going to go into my deep life book.
[00:55:36.480 --> 00:55:41.480]   You got to make these concrete plans for making progress on a specific objective.
[00:55:41.480 --> 00:55:43.480]   They have to be based off of the reality of how the world works.
[00:55:43.480 --> 00:55:44.480]   Not what you want to be true.
[00:55:44.480 --> 00:55:45.480]   Not off of hope.
[00:55:45.480 --> 00:55:48.480]   And not off of like, well, maybe I should just get a graduate degree.
[00:55:48.480 --> 00:55:50.480]   You don't stumble into things with graduate degrees.
[00:55:50.480 --> 00:55:53.480]   You have a specific reason why you're getting that particular degree.
[00:55:53.480 --> 00:55:56.480]   The only other thing I'm going to say here, Bart, is also make sure that you've done
[00:55:56.480 --> 00:56:00.480]   some lifestyle-centric planning and you haven't just fixated on digital consulting.
[00:56:00.480 --> 00:56:03.480]   It's like a thing you heard about and then just sort of convinced yourself like, hey,
[00:56:03.480 --> 00:56:05.480]   if I did this, maybe I'd be happy.
[00:56:05.480 --> 00:56:08.480]   And then it just becomes a self-fulfilling almost abstraction, right?
[00:56:08.480 --> 00:56:11.480]   Like there's this thing, digital, and that's what I'm doing.
[00:56:11.480 --> 00:56:13.480]   If I could do that, that's what I'm focusing on.
[00:56:13.480 --> 00:56:17.480]   And you haven't even really stopped to ask, what do I want my ideal lifestyle to look like?
[00:56:17.480 --> 00:56:19.480]   And then what role does that play in that?
[00:56:19.480 --> 00:56:23.480]   Is that part of a overall plan for systematically moving closer to this ideal lifestyle?
[00:56:23.480 --> 00:56:25.480]   Or is it just sort of like a random thing I came up with?
[00:56:25.480 --> 00:56:29.480]   So make sure you've updated your lifestyle-centric plan and that this still makes sense as well.
[00:56:29.480 --> 00:56:35.480]   So evidence-based planning, LCP the whole thing to make sure that you're not just fixating
[00:56:35.480 --> 00:56:38.480]   on like a random thing because you need something to fixate on.
[00:56:38.480 --> 00:56:39.480]   All right.
[00:56:39.480 --> 00:56:40.480]   Who do we have?
[00:56:40.480 --> 00:56:41.480]   Next up is Karen.
[00:56:41.480 --> 00:56:46.480]   I just achieved one of my grand goals, a tenured track law professorship.
[00:56:46.480 --> 00:56:50.480]   I want to take advantage of this fresh start to get really intentional about my planning
[00:56:50.480 --> 00:56:51.480]   and time management systems.
[00:56:51.480 --> 00:56:54.480]   How should I treat this blank slate?
[00:56:54.480 --> 00:56:57.480]   So here was the one confusion I had.
[00:56:57.480 --> 00:56:59.480]   And I don't know if it was clear in the longer question, Jesse.
[00:56:59.480 --> 00:57:03.480]   Law school professorships are, they're weird to me.
[00:57:03.480 --> 00:57:08.480]   Like sometimes it's what you, all you're doing is being a law school professor.
[00:57:08.480 --> 00:57:11.480]   But sometimes these law school professors also practice law.
[00:57:11.480 --> 00:57:13.480]   He was getting, or she's getting out of law.
[00:57:13.480 --> 00:57:14.480]   Okay.
[00:57:14.480 --> 00:57:15.480]   So she's leaving.
[00:57:15.480 --> 00:57:21.480]   She's transitioning from the, what she called the, the constant fire drills.
[00:57:21.480 --> 00:57:23.480]   I think she said at some point that she faces as a lawyer.
[00:57:23.480 --> 00:57:26.480]   She's leaving that to go in the tenure track academia.
[00:57:26.480 --> 00:57:32.480]   Okay, Karen, you're going to find it in a lot of ways easier and some ways harder.
[00:57:32.480 --> 00:57:42.480]   So the ways you're going to find it easier is you don't have to, you won't be on for nine,
[00:57:42.480 --> 00:57:45.480]   10, 11, 12 hours a day, billing and seven and a half minute increments.
[00:57:45.480 --> 00:57:51.480]   Like you don't have to be locking in your brain and just squeezing out activity without break.
[00:57:51.480 --> 00:57:57.480]   When you're a professor, if you leave for an hour to go see a friend, no one yells at you.
[00:57:57.480 --> 00:58:02.480]   Like no one comes in and is like, these are billable minutes.
[00:58:02.480 --> 00:58:03.480]   Like what's going on here?
[00:58:03.480 --> 00:58:04.480]   No one cares.
[00:58:04.480 --> 00:58:05.480]   No one cares.
[00:58:05.480 --> 00:58:09.480]   I, I just appear for months at a time.
[00:58:09.480 --> 00:58:10.480]   No one notices.
[00:58:10.480 --> 00:58:12.480]   I put a mannequin.
[00:58:12.480 --> 00:58:13.480]   It's a true story.
[00:58:13.480 --> 00:58:18.480]   I put, what I do is I put a mannequin in my office and I have a, an old wiper motor so that
[00:58:18.480 --> 00:58:20.480]   it like kind of moves back and forth.
[00:58:20.480 --> 00:58:23.480]   And for like a couple of weeks, my department chair, I'll just walk by and be like, oh,
[00:58:23.480 --> 00:58:24.480]   Cal must be in there.
[00:58:24.480 --> 00:58:26.480]   I see someone moving behind the door and I'll be gone from, no, that's not true.
[00:58:26.480 --> 00:58:27.480]   I'm not gone for months at a time.
[00:58:27.480 --> 00:58:29.480]   But the point is it's your time.
[00:58:29.480 --> 00:58:30.480]   No one's billing you.
[00:58:30.480 --> 00:58:31.480]   It's up to you.
[00:58:31.480 --> 00:58:33.480]   Write cool papers, teach good classes.
[00:58:33.480 --> 00:58:35.480]   However you want to do that, get it done.
[00:58:35.480 --> 00:58:38.480]   So if you're a lawyer, what I would suggest doing is like, here's what I would keep from
[00:58:38.480 --> 00:58:39.480]   your lawyer life.
[00:58:39.480 --> 00:58:40.480]   your lawyer life.
[00:58:40.480 --> 00:58:44.480]   The ability to, okay, I'm during this time, I have to do this thing.
[00:58:44.480 --> 00:58:46.480]   And this is my time to work on this client and needs to get done.
[00:58:46.480 --> 00:58:48.480]   I'm going to lock in and get it done.
[00:58:48.480 --> 00:58:54.480]   Time block and keep that sort of intensity to get the class prep done and to make sure
[00:58:54.480 --> 00:58:55.480]   you're making progress.
[00:58:55.480 --> 00:59:00.480]   Like whatever research you're doing, if you're doing that, I don't know, you need four hours
[00:59:00.480 --> 00:59:02.480]   a day outside of like the classroom time.
[00:59:02.480 --> 00:59:05.480]   And so my other advice is don't feel guilty about that.
[00:59:05.480 --> 00:59:09.480]   And right, I would spend the first semester, just like work on your classes.
[00:59:09.480 --> 00:59:10.480]   Don't do any research.
[00:59:10.480 --> 00:59:15.480]   Just like walk around the campus, enjoy the students, write cool lectures, you know.
[00:59:15.480 --> 00:59:17.480]   And then you can kind of add some research in.
[00:59:17.480 --> 00:59:22.480]   In terms of specific systems and do time block planning, that matters in academia because
[00:59:22.480 --> 00:59:23.480]   the work will fill the space.
[00:59:23.480 --> 00:59:27.480]   But if you have a time block plan, you realize you don't need as much work as you thought,
[00:59:27.480 --> 00:59:28.480]   as much time as you thought.
[00:59:28.480 --> 00:59:29.480]   You definitely need quotas.
[00:59:29.480 --> 00:59:34.480]   So the thing about academia is that there are certain things that you need to do that
[00:59:34.480 --> 00:59:37.480]   will be offered to you that you need to say yes to at least sometimes because it's just
[00:59:37.480 --> 00:59:39.480]   part of being a good academic citizen.
[00:59:39.480 --> 00:59:43.480]   But you might have so many of these requests coming in that you can't say yes to all of them.
[00:59:43.480 --> 00:59:49.480]   It's like you need to do some reviews of papers, but you can't say yes to every request to review
[00:59:49.480 --> 00:59:50.480]   a paper.
[00:59:50.480 --> 00:59:53.480]   You need to sit on committees, but you can't say yes to every offer to sit on committees.
[00:59:53.480 --> 00:59:54.480]   So have quotas.
[00:59:54.480 --> 00:59:56.480]   Is there any papers review?
[00:59:56.480 --> 00:59:58.480]   How many recommendation letters I write?
[00:59:58.480 --> 00:59:59.480]   How many committees I sit on?
[00:59:59.480 --> 01:00:00.480]   How many program committees I'll be on?
[01:00:00.480 --> 01:00:01.480]   How many students I supervise?
[01:00:01.480 --> 01:00:03.480]   Set quotas of the stuff that's important.
[01:00:03.480 --> 01:00:06.480]   So you're doing the stuff that's important, but that you have a limit on how much of it
[01:00:06.480 --> 01:00:07.480]   you do.
[01:00:07.480 --> 01:00:10.480]   When you get past that limit, you say, look, I love this activity.
[01:00:10.480 --> 01:00:13.480]   I do a lot of it, but I've hit my quota, so I can't help you out this semester.
[01:00:13.480 --> 01:00:14.480]   So have quotas.
[01:00:14.480 --> 01:00:15.480]   They make a big difference.
[01:00:15.480 --> 01:00:16.480]   Definitely in academia.
[01:00:16.480 --> 01:00:19.480]   Use autopilot scheduling for all the autopilot stuff.
[01:00:19.480 --> 01:00:22.480]   So in particular in teaching, there's a lot of stuff that happens regularly.
[01:00:22.480 --> 01:00:23.480]   Like I have to prepare lectures.
[01:00:23.480 --> 01:00:25.480]   I have to do this type of grading.
