
[00:00:00.000 --> 00:00:03.080]   (slow hip hop music)
[00:38:49.900 --> 00:38:51.280]   I don't know if you're a religious person.
[00:38:51.280 --> 00:38:52.120]   - I am.
[00:38:52.120 --> 00:38:54.200]   - But I feel like that's almost like,
[00:38:54.200 --> 00:38:56.680]   that's demonic activity.
[00:38:56.680 --> 00:38:58.960]   Like you can't do that as a rational human.
[00:38:58.960 --> 00:39:01.960]   You gotta have like a demon in you or something, I think.
[00:39:01.960 --> 00:39:05.560]   Like the stuff that you see would make me lose hope
[00:39:05.560 --> 00:39:07.280]   for some of these people.
[00:39:07.280 --> 00:39:09.280]   But I look at some of these people and I almost feel bad
[00:39:09.280 --> 00:39:12.680]   because it's like, how did you get to this point
[00:39:12.680 --> 00:39:14.480]   where that's like pleasurable to you?
[00:39:14.480 --> 00:39:15.320]   You know what I mean?
[00:39:15.320 --> 00:39:18.320]   - Yeah, I have no clue.
[00:39:18.320 --> 00:39:20.360]   And I'll tell you what does give you hope
[00:39:20.360 --> 00:39:25.360]   is getting to see victims, survivors of this abuse
[00:39:26.920 --> 00:39:29.760]   come out of it and be better people.
[00:39:29.760 --> 00:39:34.760]   And I've seen that and that's really inspiring.
[00:39:34.760 --> 00:39:39.960]   And Kat is a beautiful example of somebody coming out
[00:39:39.960 --> 00:39:41.720]   of abuse and turning things around.
[00:39:41.720 --> 00:39:46.680]   It doesn't happen enough and most of them,
[00:39:46.680 --> 00:39:49.800]   most of them it torments them their whole lives
[00:39:49.800 --> 00:39:53.840]   and they always struggle with those demons.
[00:39:53.840 --> 00:39:56.160]   - Yeah, man.
[00:39:56.160 --> 00:39:59.800]   So you watched the Kat episode and I asked her
[00:39:59.800 --> 00:40:02.380]   a lot of questions about this whole type of topic
[00:40:02.380 --> 00:40:06.220]   which she didn't really have answers for that you do.
[00:40:06.220 --> 00:40:09.300]   Were there anything in that interview
[00:40:09.300 --> 00:40:12.200]   that you kinda wanna touch on in terms of like,
[00:40:12.200 --> 00:40:14.720]   yeah, that you saw or the questions that were asked?
[00:40:14.720 --> 00:40:17.040]   - So first of all, the first thing I thought
[00:40:17.040 --> 00:40:19.360]   was I wanted to give her a hug, right?
[00:40:19.360 --> 00:40:23.500]   And be like, hey, I'm sorry if law enforcement
[00:40:23.500 --> 00:40:25.520]   let you down, I'm sorry if you perceive
[00:40:25.520 --> 00:40:27.000]   that law enforcement let you down
[00:40:27.000 --> 00:40:28.400]   and that's never our intent.
[00:40:28.400 --> 00:40:34.200]   But one of the things that I saw in that interview
[00:40:34.200 --> 00:40:37.840]   was like when she actually finally did go and tell the police
[00:40:37.840 --> 00:40:40.200]   and they asked her for a written statement
[00:40:40.200 --> 00:40:43.600]   that she didn't wanna provide a written statement.
[00:40:43.600 --> 00:40:45.600]   She wasn't at that point yet in her healing
[00:40:45.600 --> 00:40:46.800]   and I get that, right?
[00:40:46.800 --> 00:40:51.880]   For police officers that are investigating sex trafficking,
[00:40:53.400 --> 00:40:58.400]   oftentimes a victim survivor will be being re-victimized
[00:40:58.400 --> 00:41:03.580]   by somebody new before they can even file charges
[00:41:03.580 --> 00:41:06.580]   on the first person that victimized them.
[00:41:06.580 --> 00:41:09.660]   And then they don't cooperate, they don't show up for court,
[00:41:09.660 --> 00:41:10.860]   they don't do this.
[00:41:10.860 --> 00:41:14.220]   So it's frustrating for those cops
[00:41:14.220 --> 00:41:15.940]   'cause they wanna do the right thing,
[00:41:15.940 --> 00:41:17.620]   they wanna put somebody in jail,
[00:41:17.620 --> 00:41:20.580]   they wanna get the victim services.
[00:41:20.600 --> 00:41:23.800]   But because of what those victims got going on in their lives
[00:41:23.800 --> 00:41:25.420]   and their minds and those things,
[00:41:25.420 --> 00:41:28.560]   they're just not able to put themselves in that situation,
[00:41:28.560 --> 00:41:30.400]   they find themselves back in drugs,
[00:41:30.400 --> 00:41:32.620]   back in being trafficked, all those things.
[00:41:32.620 --> 00:41:36.360]   So it's almost like this revolving door
[00:41:36.360 --> 00:41:38.520]   and it's really difficult for police officers
[00:41:38.520 --> 00:41:40.680]   and so they really have to lock somebody in
[00:41:40.680 --> 00:41:42.960]   on their statement and they're like,
[00:41:42.960 --> 00:41:44.400]   hey, this is what you're gonna testify to,
[00:41:44.400 --> 00:41:46.000]   you're gonna show up for court, right?
[00:41:46.000 --> 00:41:47.520]   Because how many times can you get burned
[00:41:47.520 --> 00:41:49.960]   and somebody get let off
[00:41:49.960 --> 00:41:51.880]   and then you're just throwing your hands up,
[00:41:51.880 --> 00:41:53.560]   like, what do you do?
[00:41:53.560 --> 00:41:54.400]   - Yeah.
[00:41:54.400 --> 00:41:58.180]   Yeah, that's, I mean, so they,
[00:41:58.180 --> 00:42:02.040]   so it's better if they can pretty much cooperate and--
[00:42:02.040 --> 00:42:07.040]   - It's huge and I had, it was a really weird case.
[00:42:07.040 --> 00:42:10.520]   I got asked to do an undercover deal
[00:42:10.520 --> 00:42:12.600]   with a girl who was being trafficked
[00:42:12.600 --> 00:42:17.080]   and I knew her.
[00:42:17.080 --> 00:42:19.240]   I knew her mom and I knew her grandma
[00:42:19.240 --> 00:42:21.240]   and so-- - So you had to act
[00:42:21.240 --> 00:42:22.320]   like you were gonna buy this girl
[00:42:22.320 --> 00:42:23.680]   that you knew pretty much?
[00:42:23.680 --> 00:42:25.400]   - I had back out of it.
[00:42:25.400 --> 00:42:26.780]   I couldn't do it. - Yeah, you had just had
[00:42:26.780 --> 00:42:27.620]   someone else do it?
[00:42:27.620 --> 00:42:30.840]   - Yeah, and so we ended up contacting her,
[00:42:30.840 --> 00:42:34.880]   interviewing her, she's doing really well right now
[00:42:34.880 --> 00:42:39.500]   but you could see the progression
[00:42:39.500 --> 00:42:41.280]   of just her going from one abuser
[00:42:41.280 --> 00:42:43.400]   to another abuser to another abuser
[00:42:43.400 --> 00:42:47.640]   and how many times her family tried to pull her out
[00:42:47.640 --> 00:42:49.200]   and took her away from it
[00:42:49.200 --> 00:42:51.640]   and she would just slide back to it.
[00:42:51.640 --> 00:42:54.760]   - Yeah, yeah, when I was talking to Kat,
[00:42:54.760 --> 00:42:57.160]   what really caught my attention was the fact that,
[00:42:57.160 --> 00:42:59.760]   you know, the dude who was doing the selling,
[00:42:59.760 --> 00:43:02.160]   he got caught.
[00:43:02.160 --> 00:43:04.760]   All those men with weird fetishes
[00:43:04.760 --> 00:43:06.640]   that buy these young women,
[00:43:06.640 --> 00:43:09.040]   they, a lot of times, get away with it
[00:43:09.040 --> 00:43:11.640]   and they could be just regular married guys
[00:43:11.640 --> 00:43:13.960]   with a family at home that are showing up
[00:43:13.960 --> 00:43:17.640]   to a hotel room to molest a kid or whatever.
[00:43:17.640 --> 00:43:20.960]   Is there a lot of so-called normal people
[00:43:20.960 --> 00:43:25.480]   with normal lives that are involved in this type of stuff?
[00:43:25.480 --> 00:43:29.120]   - So, and one of the reasons that's so difficult
[00:43:29.120 --> 00:43:33.680]   is because once we know a 14-year-old's being trafficked,
[00:43:33.680 --> 00:43:35.680]   we have to do everything to stop it, right?
[00:43:35.680 --> 00:43:37.740]   It's not like you can see how many.
[00:43:37.740 --> 00:43:41.880]   And so, the amount of different layers
[00:43:41.880 --> 00:43:44.400]   they put to protect themselves on
[00:43:44.400 --> 00:43:46.480]   who they trafficked the person to
[00:43:46.480 --> 00:43:48.880]   versus the protections that the people
[00:43:48.880 --> 00:43:51.440]   who the 14-year-old got trafficked to took,
[00:43:51.440 --> 00:43:55.440]   it makes it really hard to go back and do those.
[00:43:55.440 --> 00:43:57.640]   - To retrace kind of the conversation
[00:43:57.640 --> 00:43:58.880]   they had with what people?
[00:43:58.880 --> 00:44:02.480]   - Yeah, and having been undercover
[00:44:02.480 --> 00:44:05.240]   as someone who's purchasing that,
[00:44:05.240 --> 00:44:08.320]   it's just so sad.
[00:44:08.320 --> 00:44:13.260]   It was funny, I would just sit in a room and talk to 'em.
[00:44:13.260 --> 00:44:18.160]   It's like, I don't know, $300 for an hour or whatever.
[00:44:18.160 --> 00:44:22.480]   And they wanted to do everything but have sex.
[00:44:22.480 --> 00:44:24.740]   And if they thought they could get away
[00:44:24.740 --> 00:44:27.000]   with just talking to you for an hour,
[00:44:27.000 --> 00:44:29.800]   they would just be like, "This is easy money."
[00:44:29.800 --> 00:44:31.440]   - So, you had to talk to the children?
[00:44:31.440 --> 00:44:33.320]   - Yeah, the girls, as an undercover?
[00:44:33.320 --> 00:44:34.600]   - Yeah.
[00:44:34.600 --> 00:44:39.040]   So, a lot of times when you identify yourself as police,
[00:44:39.040 --> 00:44:41.400]   all those kind of things, then they clam up.
[00:44:41.400 --> 00:44:43.360]   But if you're a John and you're just sitting there
[00:44:43.360 --> 00:44:45.400]   and you're asking 'em about their life,
[00:44:45.400 --> 00:44:48.060]   then they're willing to tell you anything
[00:44:48.060 --> 00:44:50.780]   to not have to perform a sex act.
[00:44:50.780 --> 00:44:52.360]   So, they'll sit there and talk to you.
[00:44:52.360 --> 00:44:55.280]   So, it's a completely consensual conversation.
[00:44:55.280 --> 00:44:59.000]   So, there's no rights violations or anything like that.
[00:44:59.000 --> 00:45:01.000]   So, I would try to get as much,
[00:45:01.000 --> 00:45:03.360]   if we're gonna meet with girls that night,
[00:45:03.360 --> 00:45:04.720]   why don't I sit in the room with 'em
[00:45:04.720 --> 00:45:06.960]   and talk to 'em for 30 or 45 minutes
[00:45:06.960 --> 00:45:09.920]   and see how much information I can gain from them
[00:45:09.920 --> 00:45:14.040]   before the police come in and they arrest the pimp outside,
[00:45:14.040 --> 00:45:15.160]   all those kind of things.
[00:45:15.160 --> 00:45:16.520]   Because she might be more willing
[00:45:16.520 --> 00:45:18.400]   to tell me a lot of information.
[00:45:18.400 --> 00:45:20.560]   Or if not, I can get a lot of information
[00:45:20.560 --> 00:45:24.080]   that then when she's interviewed by a forensic specialist,
[00:45:24.080 --> 00:45:25.120]   then they're gonna be able to use
[00:45:25.120 --> 00:45:27.080]   a lot of that information and have a lot more knowledge
[00:45:27.080 --> 00:45:31.000]   when they try to engage with her and get her services.
[00:45:31.000 --> 00:45:33.280]   - So, as an undercover agent,
[00:45:33.280 --> 00:45:37.160]   why can't you meet with these children?
[00:45:37.160 --> 00:45:40.680]   Is this talking to 'em in person or is it online?
[00:45:40.680 --> 00:45:41.500]   - In person.
[00:45:41.500 --> 00:45:43.400]   - So, why can't you just walk into a room
[00:45:43.400 --> 00:45:47.120]   and see that this guy has these children and on the spot?
[00:45:47.120 --> 00:45:47.960]   - So, they do it all.
[00:45:47.960 --> 00:45:48.960]   It's all outcalls.
[00:45:48.960 --> 00:45:51.840]   So, we'll either set up a house or a hotel room
[00:45:51.840 --> 00:45:53.100]   and those kind of things.
[00:45:53.100 --> 00:45:58.540]   The child will come to the front door.
[00:45:58.540 --> 00:46:01.960]   There's a car sitting three blocks away.
[00:46:01.960 --> 00:46:04.000]   You got a surveillance team watching that.
[00:46:04.000 --> 00:46:04.840]   Bring the kid in.
[00:46:04.840 --> 00:46:06.640]   And then you have to make sure that they're there
[00:46:06.640 --> 00:46:08.640]   to perform a sex act.
[00:46:08.640 --> 00:46:10.720]   - You have to get certified proof.
[00:46:10.720 --> 00:46:12.840]   - Right, so you're just making all those steps.
[00:46:12.840 --> 00:46:14.720]   And so, my thought when doing that was,
[00:46:14.720 --> 00:46:16.920]   why not get as much information while I can?
[00:46:16.920 --> 00:46:19.120]   'Cause the car's sitting there outside.
[00:46:19.120 --> 00:46:20.280]   Nothing's gonna happen.
[00:46:20.280 --> 00:46:24.000]   - Dang, that is crazy to me.
[00:46:24.000 --> 00:46:26.360]   - I had a 16-year-old girl with a pistol in her pocket.
[00:46:26.360 --> 00:46:29.560]   I was pretty sure she was gonna try to rob me.
[00:46:29.560 --> 00:46:30.400]   - Really?
[00:46:30.400 --> 00:46:31.720]   - Yeah.
[00:46:31.720 --> 00:46:35.200]   - Dude, that is a crazy job to work in.
[00:46:35.200 --> 00:46:38.600]   Like, that is, do you have a lot of trauma now about that?
[00:46:38.600 --> 00:46:40.080]   Or it just, like, not?
[00:46:40.080 --> 00:46:45.040]   - I don't have a lot of trauma about it.
[00:46:45.040 --> 00:46:50.440]   I know a lot of people who have done what I do
[00:46:50.440 --> 00:46:51.680]   have a lot of trauma.
[00:46:51.680 --> 00:46:54.720]   I feel fortunate.
[00:46:54.720 --> 00:46:57.160]   I feel like I have a great family.
[00:46:57.160 --> 00:47:00.480]   I have great friends that understand what I go through.
[00:47:00.480 --> 00:47:01.920]   - I don't need people like you, you know what I mean?
[00:47:01.920 --> 00:47:03.960]   Like, if there was no guys like you willing
[00:47:03.960 --> 00:47:07.640]   to put themselves in these situations, you know,
[00:47:07.640 --> 00:47:11.120]   we wouldn't rescue these kids in the first place.
[00:47:11.120 --> 00:47:14.600]   What is your thought on corrupt cops?
[00:47:14.600 --> 00:47:17.680]   Is there, or corrupt, like, special agents?
[00:47:17.680 --> 00:47:20.200]   I've always wondered that because, like, you know,
[00:47:20.200 --> 00:47:21.880]   you hear the stories about the same guys
[00:47:21.880 --> 00:47:23.600]   that are supposed to be, you know, saving people
[00:47:23.600 --> 00:47:25.080]   are also involved in the same thing
[00:47:25.080 --> 00:47:26.600]   that they're trying to help or whatever.
[00:47:26.600 --> 00:47:28.120]   Is that common or no?
[00:47:28.120 --> 00:47:28.960]   Have you seen that?
[00:47:28.960 --> 00:47:29.920]   - I've never seen that.
[00:47:29.920 --> 00:47:31.720]   I mean, I've seen corruption.
[00:47:31.720 --> 00:47:36.720]   Like, you know, I work for the Treasury Department
[00:47:36.720 --> 00:47:38.760]   and see people that would, you know,
[00:47:38.760 --> 00:47:42.040]   inappropriately access IRS data or whatever,
[00:47:42.040 --> 00:47:44.880]   you know, on their ex-spouse or something like that, right?
[00:47:44.880 --> 00:47:46.040]   That's corruption.
[00:47:46.040 --> 00:47:50.000]   I haven't seen any widespread corruption.
[00:47:50.000 --> 00:47:51.160]   I know that it occurs.
[00:47:51.160 --> 00:47:53.320]   I'm not naive to that fact.
[00:47:53.320 --> 00:47:57.280]   In the federal government, I think it happens way, way less
[00:47:57.280 --> 00:47:59.680]   than in certain, like, local police departments.
[00:47:59.680 --> 00:48:02.840]   I know people in local police departments
[00:48:02.840 --> 00:48:05.440]   where there has been some widespread corruption.
[00:48:05.440 --> 00:48:08.560]   And it's disheartening.
[00:48:08.560 --> 00:48:10.200]   It becomes a culture.
[00:48:10.200 --> 00:48:11.600]   With the federal government,
[00:48:11.600 --> 00:48:15.200]   the prerequisites in getting into it,
[00:48:15.200 --> 00:48:18.120]   the amount of training, the amount of moving around,
[00:48:18.120 --> 00:48:21.120]   the amount of just time it takes to get it done
[00:48:21.120 --> 00:48:24.040]   is, I think, you know, restrictive.
[00:48:24.040 --> 00:48:26.040]   A lot of smaller police departments, you know,
[00:48:26.040 --> 00:48:28.440]   you're hiring somebody for $40,000 a year.
[00:48:28.440 --> 00:48:31.160]   Federal agents making $120,000 a year, you know?
[00:48:31.160 --> 00:48:35.600]   So it's a lot easier to fall into corruption
[00:48:35.600 --> 00:48:37.800]   when you're in tough times yourself.
[00:48:37.800 --> 00:48:39.200]   - Yeah.
[00:48:39.200 --> 00:48:40.520]   I mean, yeah.
[00:48:40.520 --> 00:48:42.480]   I totally agree with that.
[00:48:42.480 --> 00:48:47.320]   What is the way that these people communicate
[00:48:47.320 --> 00:48:48.440]   to where it's untraceable?
[00:48:48.440 --> 00:48:49.280]   Is it through the dark?
[00:48:49.280 --> 00:48:50.920]   'Cause I think a lot of people have these,
[00:48:50.920 --> 00:48:53.040]   like, these thoughts about the dark web.
[00:48:53.040 --> 00:48:56.200]   Like, what can you communicate on with someone
[00:48:56.200 --> 00:48:57.920]   to where you can never be traced?
[00:48:57.920 --> 00:49:01.240]   - So the dark web was,
[00:49:01.240 --> 00:49:03.880]   do you know why the dark web exists?
[00:49:03.880 --> 00:49:06.400]   - I mean, I'll say is I've gotten on the dark web
[00:49:06.400 --> 00:49:08.920]   before I had a brother who somehow downloaded the server.
[00:49:08.920 --> 00:49:10.200]   I'm not a tech-savvy dude,
[00:49:10.200 --> 00:49:12.480]   but he somehow got me on the dark web.
[00:49:12.480 --> 00:49:14.480]   And, like, the stuff that was accessible on there,
[00:49:14.480 --> 00:49:16.720]   the links you could click, it was crazy.
[00:49:16.720 --> 00:49:19.120]   - Drugs, fake IDs, girls, all that kind of stuff.
[00:49:19.120 --> 00:49:20.520]   - It was the craziest stuff.
[00:49:20.520 --> 00:49:23.640]   Like, I remember clicking one link
[00:49:23.640 --> 00:49:25.480]   where it was just, like, I just wanted to see.
[00:49:25.480 --> 00:49:29.120]   It was, like, I think it was, like,
[00:49:29.120 --> 00:49:30.000]   there was all these different links,
[00:49:30.000 --> 00:49:32.120]   and one of them was, like, videos about,
[00:49:32.120 --> 00:49:34.920]   I don't even know, suicide videos,
[00:49:34.920 --> 00:49:36.800]   just stuff that could never be on the regular internet.
[00:49:36.800 --> 00:49:38.320]   Or it might be, like, torturing videos,
[00:49:38.320 --> 00:49:42.560]   or, you know, you can buy, like, guns or whatever it is.
[00:49:42.560 --> 00:49:44.760]   But I couldn't believe the stuff that was on there.
[00:49:44.760 --> 00:49:48.440]   But is that the avenue these guys use to communicate,
[00:49:48.440 --> 00:49:49.280]   or what?
[00:49:50.400 --> 00:49:53.320]   - I would say probably less than 50% of them
[00:49:53.320 --> 00:49:54.320]   use the dark web.
[00:49:54.320 --> 00:49:58.560]   The dark web was created by the US government.
[00:49:58.560 --> 00:50:01.760]   And what it was created for
[00:50:01.760 --> 00:50:06.760]   was to allow, like, dissidents in Iran or in China
[00:50:06.760 --> 00:50:11.040]   to be able to communicate without it being traced
[00:50:11.040 --> 00:50:14.480]   or intercepted by those foreign governments, right?
[00:50:14.480 --> 00:50:16.080]   So that's why it was created.
[00:50:16.080 --> 00:50:17.320]   And you have your user,
[00:50:18.160 --> 00:50:20.440]   then you have these nodes that it goes through.
[00:50:20.440 --> 00:50:22.040]   Like, it's complicated.
[00:50:22.040 --> 00:50:27.040]   But the biggest way,
[00:50:27.040 --> 00:50:30.720]   and probably something we haven't even touched on yet
[00:50:30.720 --> 00:50:32.640]   is these people are acting,
[00:50:32.640 --> 00:50:35.920]   is on online platforms where kids are at.
[00:50:35.920 --> 00:50:41.160]   They're stalking kids on, you know, all these different,
[00:50:41.160 --> 00:50:45.280]   you know, I don't wanna throw any certain one out there,
[00:50:45.280 --> 00:50:47.200]   but there's all these different pages,
[00:50:47.200 --> 00:50:49.200]   you know, where kids congregate
[00:50:49.200 --> 00:50:51.360]   and they stay things and do things.
[00:50:51.360 --> 00:50:54.560]   And that's where they're going
[00:50:54.560 --> 00:50:56.400]   and they're getting kids to produce material.
[00:50:56.400 --> 00:50:58.400]   And one of the biggest trends,
[00:50:58.400 --> 00:50:59.800]   one of the biggest upsetting things
[00:50:59.800 --> 00:51:01.800]   is what's called sextortion,
[00:51:01.800 --> 00:51:04.760]   which is getting a kid to take a nude photo,
[00:51:04.760 --> 00:51:06.880]   pretending to be a kid their same age
[00:51:06.880 --> 00:51:08.320]   and be in love with them.
[00:51:08.320 --> 00:51:09.880]   And then they send the photo
[00:51:09.880 --> 00:51:13.160]   and then they find out that that's an adult male.
[00:51:13.160 --> 00:51:14.720]   And now that they have one nude photo,
[00:51:14.720 --> 00:51:17.960]   they say, "I'm gonna send this to all your friends,
[00:51:17.960 --> 00:51:19.200]   "everybody in your school.
[00:51:19.200 --> 00:51:21.000]   "Gonna give it to your parents, your church,
[00:51:21.000 --> 00:51:23.880]   "if you don't take more nude photos for me."
[00:51:23.880 --> 00:51:25.800]   And so then they force these kids
[00:51:25.800 --> 00:51:29.680]   into abusing themselves for their pleasure
[00:51:29.680 --> 00:51:31.200]   on these online platforms.
[00:51:31.200 --> 00:51:32.040]   - Dang, yeah.
[00:51:32.040 --> 00:51:34.400]   I remember talking to the CRC and they were like,
[00:51:34.400 --> 00:51:36.560]   you know, these guys will even go on,
[00:51:36.560 --> 00:51:38.400]   say, like a Fortnite video game
[00:51:38.400 --> 00:51:40.160]   or whatever it is where kids just get on
[00:51:40.160 --> 00:51:43.040]   and, you know, get cool with them,
[00:51:43.040 --> 00:51:44.160]   make them feel comfortable,
[00:51:44.160 --> 00:51:47.400]   and then the stuff can start to happen.
[00:51:47.400 --> 00:51:50.680]   - I'll tell a personal story.
[00:51:50.680 --> 00:51:53.960]   I have, in my family, we call,
[00:51:53.960 --> 00:51:55.920]   my cousin's kids call me uncle
[00:51:55.920 --> 00:51:58.160]   and I call them my nieces and nephews.
[00:51:58.160 --> 00:52:04.160]   Probably about 15 years ago,
[00:52:04.160 --> 00:52:07.000]   I got a call from my niece
[00:52:07.000 --> 00:52:09.920]   and said that there's a creepy guy at my house.
[00:52:09.920 --> 00:52:12.920]   So it's like eight o'clock in the morning.
[00:52:12.920 --> 00:52:15.480]   I grab my gun, jump in my truck,
[00:52:15.480 --> 00:52:18.160]   head to her house, nobody's there.
[00:52:18.160 --> 00:52:20.240]   I go knock on the door, she opens the door,
[00:52:20.240 --> 00:52:22.360]   I talk to her and I say, "What's going on?"
[00:52:22.360 --> 00:52:24.440]   She's like, "I met this guy online."
[00:52:24.440 --> 00:52:28.520]   And I was like, "Why does he know your address?"
[00:52:28.520 --> 00:52:30.360]   She's like, "Well, I gave him my address."
[00:52:30.360 --> 00:52:33.560]   And I'm like, "Oh, first problem, right?"
[00:52:33.560 --> 00:52:36.160]   And, you know, this guy had started out
[00:52:36.160 --> 00:52:38.680]   pretending he was like 26
[00:52:38.680 --> 00:52:41.080]   and she was like 17 or whatever, 16.
[00:52:41.080 --> 00:52:44.680]   And so they started this relationship.
[00:52:44.680 --> 00:52:46.480]   Well, by the time it got to the end
[00:52:46.480 --> 00:52:47.600]   when he showed up at the house,
[00:52:47.600 --> 00:52:51.320]   it's a 53-year-old dude and she doesn't let him in.
[00:52:51.320 --> 00:52:52.840]   And so I'm talking to her
[00:52:52.840 --> 00:52:56.520]   and she gets a message from the guy
[00:52:56.520 --> 00:52:58.040]   and he says, "It's okay, baby.
[00:52:58.040 --> 00:53:00.960]   "We can just have phone sex instead."
[00:53:00.960 --> 00:53:04.260]   And so I was like, "No, tell him to come back.
[00:53:04.260 --> 00:53:06.520]   "Tell him you were in the shower and come back."
[00:53:06.520 --> 00:53:11.520]   So this six-foot-three, 350-pound, 53-year-old
[00:53:11.520 --> 00:53:14.280]   shows up at my aunt's door
[00:53:14.280 --> 00:53:17.040]   to have sex with my 16-year-old niece.
[00:53:17.040 --> 00:53:19.120]   - And you got him right there.
[00:53:19.120 --> 00:53:20.120]   - Oh yeah. - Yeah.
[00:53:20.120 --> 00:53:22.040]   - Yeah, we had a talk.
[00:53:22.040 --> 00:53:25.320]   I called the police and while we waited for them to come,
[00:53:25.320 --> 00:53:29.160]   we had a discussion about how sorry he was.
[00:53:29.160 --> 00:53:31.880]   And I told him, "Yeah, you're only sorry
[00:53:31.880 --> 00:53:33.520]   "'cause you got caught."
[00:53:33.520 --> 00:53:34.920]   - And he went to jail.
[00:53:34.920 --> 00:53:36.520]   - Yeah.
[00:53:36.520 --> 00:53:37.920]   - Dang, man.
[00:53:37.920 --> 00:53:38.740]   - But--
[00:53:38.740 --> 00:53:43.000]   - Did she say how her and that dude met?
[00:53:43.000 --> 00:53:46.020]   - It was on just a internet chat program.
[00:53:46.020 --> 00:53:51.860]   But no matter who you are,
[00:53:51.860 --> 00:53:54.480]   this is where kids are getting abused
[00:53:54.480 --> 00:53:56.880]   is by people they trust, right?
[00:53:56.880 --> 00:54:01.880]   And pedophiles are creating trust online to abuse your kids.
[00:54:01.880 --> 00:54:04.580]   - Have you ever had to shoot one of these dudes?
[00:54:04.580 --> 00:54:06.640]   - No, I've never shot anybody in my life.
[00:54:06.640 --> 00:54:07.480]   - Really? - Yeah.
[00:54:07.480 --> 00:54:08.480]   - You're lucky.
[00:54:08.480 --> 00:54:09.320]   - Yeah.
[00:54:09.320 --> 00:54:11.600]   - Yeah, our team security was telling me a story
[00:54:11.600 --> 00:54:14.880]   'cause they also, the guy that does our team security
[00:54:14.880 --> 00:54:17.820]   also had to do some undercover stuff just here in Denver
[00:54:17.820 --> 00:54:19.840]   with normal, I don't think it was,
[00:54:19.840 --> 00:54:21.480]   it definitely wasn't child trafficking,
[00:54:21.480 --> 00:54:24.600]   but it was prostitution and he would undercover,
[00:54:24.600 --> 00:54:26.040]   like he was meeting up with these girls
[00:54:26.040 --> 00:54:27.680]   and then he would, same type of thing,
[00:54:27.680 --> 00:54:29.240]   and he was telling me some of those stories.
[00:54:29.240 --> 00:54:34.240]   So yeah, I bet there's some crazy situations
[00:54:34.780 --> 00:54:36.020]   you ran into.
[00:54:36.020 --> 00:54:37.260]   - There are, there are.
[00:54:37.260 --> 00:54:38.280]   - How old are you now?
[00:54:38.280 --> 00:54:40.140]   - I'm 50 years old.
[00:54:40.140 --> 00:54:42.300]   - So you were just, it's time to give this up.
[00:54:42.300 --> 00:54:45.380]   - Well, I became eligible to retire at 50.
[00:54:45.380 --> 00:54:46.220]   - Yeah.
[00:54:46.220 --> 00:54:49.180]   - And so on the very first day I was eligible to retire,
[00:54:49.180 --> 00:54:50.260]   I retired.
[00:54:50.260 --> 00:54:51.100]   - Yeah.
[00:54:51.100 --> 00:54:56.100]   - And I took three new jobs within 10 days of retiring.
[00:54:56.100 --> 00:55:01.260]   So I work for the Indomitian Sioux Family Foundation
[00:55:01.260 --> 00:55:05.520]   and a company called, or a non-profit
[00:55:05.520 --> 00:55:07.120]   called Operation Light Shine.
[00:55:07.120 --> 00:55:10.160]   And Operation Light Shine works with the Thiebaud Foundation
[00:55:10.160 --> 00:55:13.100]   to build out centers and pay for cops
[00:55:13.100 --> 00:55:16.280]   to get the best technology and to pay for the salaries
[00:55:16.280 --> 00:55:19.320]   of cops to work together in collaboration centers
[00:55:19.320 --> 00:55:23.520]   to combat the problem of child exploitation.
[00:55:23.520 --> 00:55:26.680]   And then I took a job with a private company
[00:55:26.680 --> 00:55:29.400]   who does facial recognition technology.
[00:55:30.300 --> 00:55:34.700]   And through my career, I can absolutely say
[00:55:34.700 --> 00:55:39.060]   that I'm aware of over a thousand children
[00:55:39.060 --> 00:55:41.820]   that were identified by using this technology.
[00:55:41.820 --> 00:55:43.940]   And so I was really excited to get to go work
[00:55:43.940 --> 00:55:45.060]   for that company too.
[00:55:45.060 --> 00:55:47.700]   - Yeah, that's awesome.
[00:55:47.700 --> 00:55:50.960]   Is there any, 'cause my big thing that I like to talk about
[00:55:50.960 --> 00:55:53.900]   is just the things that go on in this world,
[00:55:53.900 --> 00:55:57.100]   the conspiracy theories, I guess is what you would say.
[00:55:57.100 --> 00:56:01.940]   Is there any that you are kind of like knowledgeable
[00:56:01.940 --> 00:56:03.020]   or passionate about or some things
[00:56:03.020 --> 00:56:06.140]   that you didn't really get to speak on during your career
[00:56:06.140 --> 00:56:11.140]   that you can tell us about or things like that?
[00:56:11.140 --> 00:56:13.680]   - No.
[00:56:13.680 --> 00:56:14.660]   - Things that'll blow our mind?
[00:56:14.660 --> 00:56:15.860]   - No.
[00:56:15.860 --> 00:56:18.340]   - The world is what it seems.
[00:56:18.340 --> 00:56:22.020]   - No, it isn't, but there's none that I can comment on.
[00:56:22.020 --> 00:56:23.920]   - But there's things you know.
[00:56:23.920 --> 00:56:25.060]   - Yes, absolutely.
[00:56:25.060 --> 00:56:27.100]   - You just can't talk about 'em for what,
[00:56:27.100 --> 00:56:30.100]   more safety on your family's side
[00:56:30.100 --> 00:56:31.460]   or is it things that you just--
[00:56:31.460 --> 00:56:33.140]   - No, it's ongoing.
[00:56:33.140 --> 00:56:35.700]   - Oh, ongoing things, got you.
[00:56:35.700 --> 00:56:36.800]   - Yeah, yeah.
