
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:50:05.000 --> 00:50:07.000]   "What are you going to do if Europe doesn't open up?"
[00:50:07.000 --> 00:50:10.000]   My answer is, "All right, I'll go somewhere else."
[00:50:10.000 --> 00:50:15.000]   I'll spin the globe. I'll go to kiwi.com, see where I can travel cheap today.
[00:50:15.000 --> 00:50:18.000]   See if I can get in. Can I get a visa? Can I get access?
[00:50:18.000 --> 00:50:21.000]   I'll give them my credit card number and we'll go somewhere else.
[00:50:21.000 --> 00:50:25.000]   That's a cool feeling. That's a really cool feeling.
[00:50:25.000 --> 00:50:29.000]   And if you care about freedom, you should consider that.
[00:50:29.000 --> 00:50:37.000]   You should consider what would it take for you to be in that place where you could genuinely be...
[00:50:37.000 --> 00:50:42.000]   where you could just genuinely have that sense of personal freedom.
[00:50:42.000 --> 00:50:46.000]   It's a really cool feeling to be in that place.
[00:50:46.000 --> 00:50:50.000]   I love it. I love it.
[00:50:50.000 --> 00:50:55.000]   I hope I'm presenting to you a balanced perspective.
[00:50:55.000 --> 00:51:03.000]   I love that sense of personal freedom while also recognizing that I'm probably not going to live this way forever.
[00:51:03.000 --> 00:51:06.000]   Because this way brings its own challenges.
[00:51:06.000 --> 00:51:08.000]   It's easier with children.
[00:51:08.000 --> 00:51:12.000]   Books and toys aren't for the good of the children. They're for the good of the parent.
[00:51:12.000 --> 00:51:15.000]   Certainly, yes, obviously you want your children to read books.
[00:51:15.000 --> 00:51:19.000]   But what they do is they give you a break as a parent.
[00:51:19.000 --> 00:51:21.000]   But I love that sense of personal freedom.
[00:51:21.000 --> 00:51:28.000]   So if you've ever desired just to kind of have a tremendous sense of personal freedom,
[00:51:28.000 --> 00:51:32.000]   think if something like that might give you some of what you're looking for.
[00:51:32.000 --> 00:51:36.000]   Remember I did that series of shows called "Seven Rings of Freedom"
[00:51:36.000 --> 00:51:38.000]   and I talked about some of these things that make you free.
[00:51:38.000 --> 00:51:42.000]   Well, being a nomad, you kind of get that sense of freedom, that ability to go anywhere.
[00:51:42.000 --> 00:51:44.000]   And for me, that's always been interesting.
[00:51:44.000 --> 00:51:49.000]   You read stories about the gypsy caravans, able to go wherever they wanted to go.
[00:51:49.000 --> 00:51:54.000]   You read stories about the cowboy, able to point his horse in whatever direction he goes.
[00:51:54.000 --> 00:51:58.000]   Or you read stories about Abraham, able to move his tents wherever he wants to go.
[00:51:58.000 --> 00:52:03.000]   Realistically, I think we honestly have far more freedom today than any of those people did
[00:52:03.000 --> 00:52:05.000]   for the reasons that I stated.
[00:52:05.000 --> 00:52:07.000]   I really do.
[00:52:07.000 --> 00:52:10.000]   Even though they didn't have to deal with border controls, right?
[00:52:10.000 --> 00:52:14.000]   Passports and border controls are a very modern concept.
[00:52:14.000 --> 00:52:19.000]   Up until World War I, you never had to have a document saying who you were.
[00:52:19.000 --> 00:52:24.000]   You never had people putting up, you know, guards on these imaginary lines we call borders
[00:52:24.000 --> 00:52:25.000]   and any of that stuff.
[00:52:25.000 --> 00:52:30.000]   So you can take the pessimistic view if you want and cry about the world that was lost.
[00:52:30.000 --> 00:52:34.000]   I prefer to just focus on how great things are.
[00:52:34.000 --> 00:52:42.000]   You know, for all of that cowboy's freedom, he really had a tough time making a living from a land.
[00:52:42.000 --> 00:52:46.000]   I live a lot better with an airplane ticket and a credit card and a computer connection
[00:52:46.000 --> 00:52:49.000]   than that cowboy ever did.
[00:52:49.000 --> 00:52:52.000]   So you choose what you focus on.
[00:52:52.000 --> 00:52:54.000]   So that's the first thing I love.
[00:52:54.000 --> 00:53:00.000]   I love that genuine sense of freedom that I currently have.
[00:53:00.000 --> 00:53:04.000]   Second thing that I love is closely related.
[00:53:04.000 --> 00:53:14.000]   I love the sense of resilience that I have from having done this.
[00:53:14.000 --> 00:53:19.000]   As I shared with you some months ago when I announced that we're going traveling,
[00:53:19.000 --> 00:53:28.000]   to me, one of the most important and valuable reasons for you to go through some kind of significant life change,
[00:53:28.000 --> 00:53:33.000]   like I've described, at some point, is to realize that you can do it
[00:53:33.000 --> 00:53:38.000]   and to realize that it's not as difficult as you think
[00:53:38.000 --> 00:53:46.000]   and to realize that most of the prison bars are bars that you have welded into your brain
[00:53:46.000 --> 00:53:48.000]   and they're not real.
[00:53:48.000 --> 00:53:53.000]   And the day you choose to get out your cutting torch, instead of your welding machine,
[00:53:53.000 --> 00:53:57.000]   you can start getting those bars out of your brain.
[00:53:57.000 --> 00:54:02.000]   I remember when I first bought a house, there was a time at which I was joyful about owning the house
[00:54:02.000 --> 00:54:06.000]   and then there was a time I felt trapped by the house.
[00:54:06.000 --> 00:54:09.000]   And I sold the house and got untrapped.
[00:54:09.000 --> 00:54:18.000]   Now, I could buy a house and I wouldn't experience the same feeling of trappedness as I once did
[00:54:18.000 --> 00:54:22.000]   because I've already gone through the process of buying a house, getting rid of the house,
[00:54:22.000 --> 00:54:24.000]   and I've realized I can do this.
[00:54:24.000 --> 00:54:28.000]   I can buy a house full of furniture and I can sell a house full of furniture.
[00:54:28.000 --> 00:54:30.000]   I can put my kids in a school.
[00:54:30.000 --> 00:54:31.000]   I can take my kids out of a school.
[00:54:31.000 --> 00:54:32.000]   I can go here.
[00:54:32.000 --> 00:54:33.000]   I can go there.
[00:54:33.000 --> 00:54:34.000]   I can start a business.
[00:54:34.000 --> 00:54:35.000]   I can close a business.
[00:54:35.000 --> 00:54:42.000]   And having done something, being a person of varied experiences frees you.
[00:54:42.000 --> 00:54:44.000]   It makes you feel freer.
[00:54:44.000 --> 00:54:48.000]   And you can appreciate the things that a lot of people forget to appreciate
[00:54:48.000 --> 00:54:51.000]   because they don't have a varied life experience.
[00:54:51.000 --> 00:54:59.000]   Whenever I'm in a house, I distinct--I'm convinced I enjoy it more than most people who live in a house
[00:54:59.000 --> 00:55:06.000]   because I can compare that house to the difficult living circumstances of an RV.
[00:55:06.000 --> 00:55:08.000]   I used to joke with my wife when we were in the RV.
[00:55:08.000 --> 00:55:15.000]   We had a fairly other small--again, smallish RV, pretty basic kind of economy-level RV.
[00:55:15.000 --> 00:55:18.000]   And the front door was not big.
[00:55:18.000 --> 00:55:19.000]   But then we had dogs and babies.
[00:55:19.000 --> 00:55:25.000]   So we put a baby gate across the front door to keep the dogs and babies in, not going out the screen door.
[00:55:25.000 --> 00:55:27.000]   And that was even smaller.
[00:55:27.000 --> 00:55:32.000]   And so I couldn't fit through the front door straightforward.
[00:55:32.000 --> 00:55:35.000]   For me to go in and out of the front door, I have to turn sideways and go through sideways.
[00:55:35.000 --> 00:55:41.000]   And I used to joke with my wife, "Someday, I'll be able to afford a house with a door that I can fit through."
[00:55:41.000 --> 00:55:42.000]   Now, of course, it's a joke.
[00:55:42.000 --> 00:55:46.000]   But then we moved into a house with a door I could fit through, and I just--like, look how rich we are, babe.
[00:55:46.000 --> 00:55:49.000]   Like, we've got this house with a door that I can fit through.
[00:55:49.000 --> 00:55:50.000]   Now, it's silly.
[00:55:50.000 --> 00:55:51.000]   It's just a silly joke.
[00:55:51.000 --> 00:55:55.000]   But I genuinely appreciate how easy it is to go in a door.
[00:55:55.000 --> 00:55:59.000]   I appreciate all the room and a bedroom or things like that because you've had something else.
[00:55:59.000 --> 00:56:04.000]   On the other hand, at every stage now, I can look and say, "You know what?
[00:56:04.000 --> 00:56:12.000]   Someday, probably not too far away, I'm going to do the RV thing again because I'm going to really love the movement,
[00:56:12.000 --> 00:56:15.000]   the beautiful places, the fun things that you can do, just those--being together.
[00:56:15.000 --> 00:56:16.000]   I love that."
[00:56:16.000 --> 00:56:20.000]   And so now I can enjoy the hotel room.
[00:56:20.000 --> 00:56:23.000]   I can enjoy bouncing around the world, going here, going there.
[00:56:23.000 --> 00:56:28.000]   I can enjoy the Airbnb rental for the fact that I move in, rent a furnished house, and move out as soon as I want.
[00:56:28.000 --> 00:56:30.000]   That's pretty cool.
[00:56:30.000 --> 00:56:39.000]   And so this knowledge of having done different things, not only am I free, point one, but point two,
[00:56:39.000 --> 00:56:43.000]   knowing what I could do makes me feel freer.
[00:56:43.000 --> 00:56:48.000]   Up-to-date example, Rob Murgatroyd, who's an interesting guy I've followed for a year.
[00:56:48.000 --> 00:56:54.000]   He and his wife used to have a lifestyle design website called Jet Set Life.
[00:56:54.000 --> 00:56:58.000]   And they've continued on and he has a podcast.
[00:56:58.000 --> 00:56:59.000]   I can't remember what it's called.
[00:56:59.000 --> 00:57:04.000]   But kind of an interesting guy, former chiropractor, now kind of a mentor business guru guy.
[00:57:04.000 --> 00:57:10.000]   Rob Murgatroyd and his wife have decided that they're going to move to Italy.
[00:57:10.000 --> 00:57:14.000]   Now, they spent several weeks in Italy last year, then they moved to California, set up a house and everything.
[00:57:14.000 --> 00:57:16.000]   But they decided they're going to move to Italy.
[00:57:16.000 --> 00:57:17.000]   And I don't know Rob.
[00:57:17.000 --> 00:57:18.000]   Rob doesn't know me.
[00:57:18.000 --> 00:57:19.000]   I know of him.
[00:57:19.000 --> 00:57:22.000]   But I've been enjoying watching their journey.
[00:57:22.000 --> 00:57:32.000]   And what's funny to me, I take a little bit of joy, it's just funny to me how difficult it is for them to move to Italy because they haven't done it before.
[00:57:32.000 --> 00:57:35.000]   And so he's like, they're going for it.
[00:57:35.000 --> 00:57:38.000]   He just started a new course on living your dream life.
[00:57:38.000 --> 00:57:39.000]   And they're going for it, which is great.
[00:57:39.000 --> 00:57:41.000]   I love to see that.
[00:57:41.000 --> 00:57:48.000]   But what's funny to me is because they haven't yet done it, for them going for it involves a whole lot of hard work.
[00:57:48.000 --> 00:57:50.000]   It's like, well, what are we going to do with this stuff?
[00:57:50.000 --> 00:57:52.000]   And how am I going to get my wife's Peloton to Italy?
[00:57:52.000 --> 00:57:53.000]   That's his big problem.
[00:57:53.000 --> 00:57:54.000]   How are we going to move our stuff?
[00:57:54.000 --> 00:57:57.000]   We've got to get a container, all this stuff.
[00:57:57.000 --> 00:58:03.000]   And I'm chuckling because I feel I could.
[00:58:03.000 --> 00:58:04.000]   We're doing it.
[00:58:04.000 --> 00:58:07.000]   We've done it.
[00:58:07.000 --> 00:58:11.000]   I told my wife, we moved to Italy, we're ready next week.
[00:58:11.000 --> 00:58:15.000]   But it's not because there's anything different about Rob and me.
[00:58:15.000 --> 00:58:17.000]   Rob's a capable guy.
[00:58:17.000 --> 00:58:22.000]   It's just simply that I've done it and he hasn't yet done it.
[00:58:22.000 --> 00:58:26.000]   But once he's done it, the next time it's easier.
[00:58:26.000 --> 00:58:27.000]   The next time it's easier.
[00:58:27.000 --> 00:58:30.000]   The next time it's easier.
[00:58:30.000 --> 00:58:31.000]   That's what's cool.
[00:58:31.000 --> 00:58:35.000]   That's what's exciting about doing something is that you realize, hey, I've done that.
[00:58:35.000 --> 00:58:37.000]   That wasn't so scary.
[00:58:37.000 --> 00:58:39.000]   I bought my first investment.
[00:58:39.000 --> 00:58:40.000]   I bought my first Bitcoin.
[00:58:40.000 --> 00:58:42.000]   I bought my first piece of gold.
[00:58:42.000 --> 00:58:43.000]   I bought my first house.
[00:58:43.000 --> 00:58:44.000]   I bought it.
[00:58:44.000 --> 00:58:45.000]   I sold it.
[00:58:45.000 --> 00:58:46.000]   I didn't die.
[00:58:46.000 --> 00:58:47.000]   Wow.
[00:58:47.000 --> 00:58:49.000]   I bought my first plane ticket.
[00:58:49.000 --> 00:58:52.000]   I traveled abroad for the first time.
[00:58:52.000 --> 00:58:54.000]   I started a business.
[00:58:54.000 --> 00:58:56.000]   Hey, I went bankrupt for the first time.
[00:58:56.000 --> 00:58:57.000]   Well, that wasn't so bad.
[00:58:57.000 --> 00:59:00.000]   All right, I can go on.
[00:59:00.000 --> 00:59:03.000]   I always think of Dan Sullivan, bankrupt and divorced on the same day.
[00:59:03.000 --> 00:59:04.000]   It's like, all right, well, now I've done that.
[00:59:04.000 --> 00:59:05.000]   Now I'm not so scared.
[00:59:05.000 --> 00:59:09.000]   I'm going to live the way I really want to live.
[00:59:09.000 --> 00:59:13.000]   Experience is powerful.
[00:59:13.000 --> 00:59:15.000]   It's one of the reasons why I want to live myself.
[00:59:15.000 --> 00:59:19.000]   I want to live a life rich in experience.
[00:59:19.000 --> 00:59:25.000]   To me, that's what living a rich life means, living a life rich in experience.
[00:59:25.000 --> 00:59:30.000]   And if you'll intentionally cultivate for yourself a diversity of life experience, it
[00:59:30.000 --> 00:59:35.000]   will make you a stronger person.
[00:59:35.000 --> 00:59:44.000]   A person who grew up poor and stays poor will continue to be trapped in their poverty because
[00:59:44.000 --> 00:59:50.000]   they don't have the experience of knowing that they can have another way out.
[00:59:50.000 --> 00:59:56.000]   A person who grows up rich and who stays rich will probably be trapped in their wealth because
[00:59:56.000 --> 01:00:03.000]   they don't have the experience of knowing they can still be okay without it.
[01:00:03.000 --> 01:00:08.000]   But a person who's been poor and a person who's been rich and has been poor and has
[01:00:08.000 --> 01:00:13.000]   been rich, that's a person who's going to be pretty robust in their thinking.
[01:00:13.000 --> 01:00:16.000]   They're going to appreciate the blessings of poverty and they're going to appreciate
[01:00:16.000 --> 01:00:20.000]   the blessings of wealth.
[01:00:20.000 --> 01:00:25.000]   That's what I love about what we're doing right now.
[01:00:25.000 --> 01:00:26.000]   I love it.
[01:00:26.000 --> 01:00:27.000]   I like the freedom of it.
[01:00:27.000 --> 01:00:28.000]   I'm excited about it.
[01:00:28.000 --> 01:00:29.000]   I'm not going to live this way forever.
[01:00:29.000 --> 01:00:30.000]   It might be two months.
[01:00:30.000 --> 01:00:31.000]   I don't know.
[01:00:31.000 --> 01:00:32.000]   It might be two years.
[01:00:32.000 --> 01:00:33.000]   I don't know.
[01:00:33.000 --> 01:00:37.000]   Go on a date at a time.
[01:00:37.000 --> 01:00:47.000]   But I love the adaptability that I've created, that my family has created, and it helps me
[01:00:47.000 --> 01:00:50.000]   to feel really invincible.
[01:00:50.000 --> 01:00:53.000]   Hopefully not in a wrong bravado way.
[01:00:53.000 --> 01:00:56.000]   I'm not talking about I'm impossible to kill or anything like that.
[01:00:56.000 --> 01:01:02.000]   Just makes me feel tough because I know I can flourish in many circumstances.
[01:01:02.000 --> 01:01:04.000]   That's a cool feeling.
[01:01:04.000 --> 01:01:06.000]   Knowing that you can do something is pretty cool.
[01:01:06.000 --> 01:01:14.000]   Honestly, quite frankly, forthrightly, my wife and I decided to sell everything and
[01:01:14.000 --> 01:01:16.000]   travel the world probably in about a week.
[01:01:16.000 --> 01:01:18.000]   It just seemed like the right thing.
[01:01:18.000 --> 01:01:19.000]   We talked about it.
[01:01:19.000 --> 01:01:20.000]   Okay, we'll do it.
[01:01:20.000 --> 01:01:26.000]   Now, remember that when you're working with a family, you're leading a family, it's not
[01:01:26.000 --> 01:01:27.000]   just about you.
[01:01:27.000 --> 01:01:32.000]   I might be the person who can change the quickest on a dime, but I've got to see my wife and
[01:01:32.000 --> 01:01:34.000]   my children be able to adapt.
[01:01:34.000 --> 01:01:35.000]   It's different.
[01:01:35.000 --> 01:01:37.000]   I'm not planning for one person.
[01:01:37.000 --> 01:01:38.000]   I'm planning for six people.
[01:01:38.000 --> 01:01:45.000]   That's six individual people with different needs, goals, desires, dreams, et cetera,
[01:01:45.000 --> 01:01:48.000]   and they need to be respected.
[01:01:48.000 --> 01:01:53.000]   What's interesting to me is I can chart that adaptability that I mentioned.
[01:01:53.000 --> 01:01:59.000]   I can chart that even to the point of first time we decided to travel, we spent months
[01:01:59.000 --> 01:02:00.000]   talking about it.
[01:02:00.000 --> 01:02:05.000]   This time it was a week, and yet I'm not scared of going the other direction either.
[01:02:05.000 --> 01:02:10.000]   Happy to buy a house, happy to "settle down" in that sense because you can appreciate the
[01:02:10.000 --> 01:02:13.000]   good things about that.
[01:02:13.000 --> 01:02:16.000]   That's, I think, the fullness of what I want to say for today.
[01:02:16.000 --> 01:02:20.000]   I had planned to talk to you about some of the logistics of how you actually smooth this
[01:02:20.000 --> 01:02:21.000]   stuff out.
[01:02:21.000 --> 01:02:26.000]   I'll share that for you in another time, another day, another show.
[01:02:26.000 --> 01:02:31.000]   But for today, I guess I want to leave it there, simply to say, recognize how cool the
[01:02:31.000 --> 01:02:34.000]   world is that we live in.
[01:02:34.000 --> 01:02:41.000]   If you want to travel, I promise you the only thing holding you back from actually doing
[01:02:41.000 --> 01:02:48.000]   it is the prison bars that you have built in your own head.
[01:02:48.000 --> 01:02:54.000]   The day that you decide to tear those bars down is the day you can move in the direction
[01:02:54.000 --> 01:02:56.000]   of that dream.
[01:02:56.000 --> 01:02:58.000]   I don't think that travel is for everybody.
[01:02:58.000 --> 01:03:02.000]   In the past, I never understood why there would be people who could say, "I don't want
[01:03:02.000 --> 01:03:03.000]   to travel."
[01:03:03.000 --> 01:03:04.000]   Right?
[01:03:04.000 --> 01:03:05.000]   "Why would I want to travel?"
[01:03:05.000 --> 01:03:06.000]   Today I understand it.
[01:03:06.000 --> 01:03:07.000]   I actually understand it.
[01:03:07.000 --> 01:03:09.000]   But I'm not there.
[01:03:09.000 --> 01:03:10.000]   Maybe I'll be there in the future.
[01:03:10.000 --> 01:03:11.000]   I'm not there.
[01:03:11.000 --> 01:03:13.000]   If in the future I get there, I'll be happy to be there.
[01:03:13.000 --> 01:03:14.000]   I'll tell you about that.
[01:03:14.000 --> 01:03:19.000]   But if you do want to travel, just recognize that you can do it.
[01:03:19.000 --> 01:03:24.000]   We live in a golden age, a golden age of opportunity, a golden age of travel.
[01:03:24.000 --> 01:03:27.000]   I wish I could get more people to see the golden age.
[01:03:27.000 --> 01:03:33.000]   So many people are just stuck in this perception of the world where it's like, "Everything's
[01:03:33.000 --> 01:03:36.000]   going to hell and I can't change anything about it."
[01:03:36.000 --> 01:03:42.000]   Well, there are a whole lot of things in the world that are going to hell, but you can
[01:03:42.000 --> 01:03:45.000]   change something about it.
[01:03:45.000 --> 01:03:50.000]   I'll be back with you soon.
[01:03:50.000 --> 01:03:59.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[01:03:59.000 --> 01:04:06.000]   A historic Main Street charms you.
[01:04:06.000 --> 01:04:11.000]   And every day brings a new adventure.
[01:04:11.000 --> 01:04:17.000]   Welcome to Park City, Utah, naturally winter's favorite town.
[01:04:17.000 --> 01:04:20.000]   Join the experience at visitparkcity.com.

