
[00:00:00.000 --> 00:00:01.200]   That's good going.
[00:40:25.360 --> 00:40:26.720]   after the consequence?
[00:40:26.720 --> 00:40:28.520]   Yeah.
[00:40:28.520 --> 00:40:36.080]   Again, I mean, if the child was still acting out,
[00:40:36.080 --> 00:40:41.640]   I might have them stand in front of me and look me in the eyes.
[00:40:41.640 --> 00:40:44.080]   No matter what, they needed to look me in the eyes.
[00:40:44.080 --> 00:40:46.840]   Every time we talked, that was, I would say,
[00:40:46.840 --> 00:40:49.560]   I want your eyes if they weren't looking at me.
[00:40:49.560 --> 00:40:50.800]   I would say, I want your eyes.
[00:40:50.800 --> 00:40:57.160]   But I mean, there were many, many times
[00:40:57.160 --> 00:41:00.360]   that I could go in after a consequence.
[00:41:00.360 --> 00:41:03.520]   And they would be either sitting or lying on their bed.
[00:41:03.520 --> 00:41:07.040]   And I could go sit with them on their bed.
[00:41:07.040 --> 00:41:09.120]   And they would look at me.
[00:41:09.120 --> 00:41:10.280]   We would talk.
[00:41:10.280 --> 00:41:12.680]   It was a sweet time.
[00:41:12.680 --> 00:41:15.560]   And it was relaxed.
[00:41:15.560 --> 00:41:19.440]   But that was because their heart was humbled, right?
[00:41:19.440 --> 00:41:22.840]   So if I had that moment where one of them
[00:41:22.840 --> 00:41:28.000]   gave them a spanking and the heart wasn't humbled,
[00:41:28.000 --> 00:41:32.120]   that wouldn't be me trying to get them to stand up and look
[00:41:32.120 --> 00:41:32.880]   me in the eyes.
[00:41:32.880 --> 00:41:34.480]   I wouldn't be fighting for that.
[00:41:34.480 --> 00:41:37.960]   I would just go in and give them another spanking.
[00:41:37.960 --> 00:41:42.360]   And then, right, two, no more.
[00:41:42.360 --> 00:41:45.600]   But usually, that's because that would
[00:41:45.600 --> 00:41:50.240]   mean that their little hearts are not humbled at that point.
[00:41:50.240 --> 00:41:51.120]   So that would be--
[00:41:51.120 --> 00:41:52.000]   That makes sense.
[00:41:52.000 --> 00:41:53.120]   OK.
[00:41:53.120 --> 00:41:54.040]   Thank you.
[00:41:54.040 --> 00:41:55.000]   OK, next question.
[00:41:55.000 --> 00:41:56.760]   Deb, hi there.
[00:41:56.760 --> 00:41:58.880]   Yeah, so you had said that you, when
[00:41:58.880 --> 00:42:00.880]   you were giving the original example about you'd
[00:42:00.880 --> 00:42:04.320]   be working with a kid on making eye contact instead of just
[00:42:04.320 --> 00:42:05.720]   going straight to spanking.
[00:42:05.720 --> 00:42:06.720]   Yes.
[00:42:06.720 --> 00:42:08.920]   So two questions wrapped into one
[00:42:08.920 --> 00:42:12.520]   is, part one, how much--
[00:42:12.520 --> 00:42:14.720]   we have slightly older kids to be starting this with,
[00:42:14.720 --> 00:42:17.400]   so a smart four-year-old and an eight-year-old.
[00:42:17.400 --> 00:42:19.040]   How much of a runway would you have
[00:42:19.040 --> 00:42:20.320]   before you started spanking?
[00:42:20.320 --> 00:42:22.800]   And then question two that's wrapped up with it
[00:42:22.800 --> 00:42:27.520]   is that my eight-year-old has a hard time looking at anything
[00:42:27.520 --> 00:42:28.600]   for an extended period.
[00:42:28.600 --> 00:42:30.880]   Like, you ask her to smile at her camera,
[00:42:30.880 --> 00:42:33.080]   and she doesn't really know how to just look and keep
[00:42:33.080 --> 00:42:33.960]   her eyes focused.
[00:42:33.960 --> 00:42:37.440]   And skill versus will, we're not exactly sure.
[00:42:37.440 --> 00:42:38.960]   It could be both.
[00:42:38.960 --> 00:42:40.840]   So how much consideration would you give that?
[00:42:40.840 --> 00:42:44.000]   Or would you consider this a great chance to practice it?
[00:42:44.000 --> 00:42:51.520]   First of all, I would probably say that it is skill and will.
[00:42:51.520 --> 00:42:54.440]   It hasn't been trained.
[00:42:54.440 --> 00:43:01.000]   And so she is--
[00:43:01.000 --> 00:43:06.880]   sorry-- she is resisting you.
[00:43:06.880 --> 00:43:09.520]   She has been able to do that in the past.
[00:43:09.520 --> 00:43:12.680]   You've never required that she look at you.
[00:43:12.680 --> 00:43:14.160]   It's brand new, right?
[00:43:14.160 --> 00:43:17.760]   And so you're going to be breaking some habits with her.
[00:43:17.760 --> 00:43:21.840]   So on both of your questions, with a four-year-old
[00:43:21.840 --> 00:43:23.320]   and an eight-year-old, they're both
[00:43:23.320 --> 00:43:27.480]   very capable of knowing what you're saying to them
[00:43:27.480 --> 00:43:31.560]   and learning and showing self-control.
[00:43:31.560 --> 00:43:35.240]   Obviously, the eight-year-old should be far quicker at it
[00:43:35.240 --> 00:43:36.160]   than the four-year-old.
[00:43:36.160 --> 00:43:39.720]   But the way it usually goes, the younger one usually
[00:43:39.720 --> 00:43:42.520]   does it more quickly than the older one,
[00:43:42.520 --> 00:43:46.600]   because the older one has been free to practice
[00:43:46.600 --> 00:43:53.880]   her rebellious little actions for eight years now.
[00:43:53.880 --> 00:43:56.600]   And sometimes that's very hard to break.
[00:43:56.600 --> 00:43:59.200]   So you might end up having to work with her longer.
[00:43:59.200 --> 00:44:01.480]   So sorry, quick answer.
[00:44:01.480 --> 00:44:05.600]   I would do two days of habit-breaking.
[00:44:05.600 --> 00:44:11.400]   So where you're just saying, OK, now your eyes were not on me.
[00:44:11.400 --> 00:44:16.960]   I understand this is not your habit to have your eyes on me.
[00:44:16.960 --> 00:44:21.360]   But we're only going to do two days of warnings,
[00:44:21.360 --> 00:44:24.560]   just because I want to help you to break that habit.
[00:44:24.560 --> 00:44:30.840]   But after that, then it is going to be chastisement thinking.
[00:44:30.840 --> 00:44:34.360]   Because this is not going to go away
[00:44:34.360 --> 00:44:38.480]   until you understand that mom is serious about this.
[00:44:38.480 --> 00:44:39.280]   Makes sense.
[00:44:39.280 --> 00:44:42.440]   It's important, and I want you to learn it.
[00:44:42.440 --> 00:44:44.000]   It's going to benefit you.
[00:44:44.000 --> 00:44:46.520]   So try that and let us know how it works.
[00:44:46.520 --> 00:44:47.360]   Will do.
[00:44:47.360 --> 00:44:50.160]   OK, good, good deal.
[00:44:50.160 --> 00:44:53.880]   OK, let's talk about story time.
[00:44:53.880 --> 00:44:58.440]   Give us some good, quick, practical steps
[00:44:58.440 --> 00:45:03.600]   about how we should conduct mom or dad-directed story time.
[00:45:03.600 --> 00:45:04.600]   I get in trouble.
[00:45:04.600 --> 00:45:06.360]   No, no.
[00:45:06.360 --> 00:45:08.360]   It's OK.
[00:45:08.360 --> 00:45:11.480]   All right, so story time is super important.
[00:45:11.480 --> 00:45:16.960]   We are in terrible habits as moms and dads with story time.
[00:45:16.960 --> 00:45:23.960]   And we allow so much of the kids controlling us
[00:45:23.960 --> 00:45:27.080]   that story time is chaos.
[00:45:27.080 --> 00:45:31.840]   And unfortunately, that does not do the child any good.
[00:45:31.840 --> 00:45:35.400]   Story time is the most wonderful, sweet time
[00:45:35.400 --> 00:45:36.720]   to have with your child.
[00:45:36.720 --> 00:45:41.640]   And it's an opportunity to help them practice self-control.
[00:45:41.640 --> 00:45:44.000]   This is where we are preparing them
[00:45:44.000 --> 00:45:46.760]   to become those learners for life.
[00:45:46.760 --> 00:45:53.680]   So what I recommend is at least two story times per day.
[00:45:53.680 --> 00:45:57.160]   It can be very short, very short, as short as you want it.
[00:45:57.160 --> 00:46:01.000]   One is at night, where you guys can cuddle.
[00:46:01.000 --> 00:46:04.040]   You can be in bed with them and have them on your lap
[00:46:04.040 --> 00:46:06.480]   or whatever and be reading a story,
[00:46:06.480 --> 00:46:08.560]   however you like to do story time.
[00:46:08.560 --> 00:46:10.880]   I used to love to do that with my kids
[00:46:10.880 --> 00:46:15.480]   or when they were little in the rocking chair, loved that.
[00:46:15.480 --> 00:46:19.160]   And that's where I can hold the book in front of them
[00:46:19.160 --> 00:46:20.920]   and I can read the book as they're
[00:46:20.920 --> 00:46:22.560]   looking at the pictures.
[00:46:22.560 --> 00:46:27.480]   I was still in control of the story, not them.
[00:46:27.480 --> 00:46:31.840]   And that was just something that they learned as we went.
[00:46:31.840 --> 00:46:36.080]   And so I would read one or two, a couple of pages,
[00:46:36.080 --> 00:46:38.200]   little pictures on the page.
[00:46:38.200 --> 00:46:41.760]   And then I would stop before turning the page
[00:46:41.760 --> 00:46:44.840]   and I would ask them to tell me about the pictures.
[00:46:44.840 --> 00:46:47.160]   So now they get to engage with the pictures
[00:46:47.160 --> 00:46:50.000]   because that's really all they want to do, right?
[00:46:50.000 --> 00:46:54.400]   But you also want them to hear the story, hear the words,
[00:46:54.400 --> 00:46:55.320]   hear the reading.
[00:46:55.320 --> 00:46:57.640]   It's all a process of learning.
[00:46:57.640 --> 00:47:02.800]   The second kind of reading time that you're going to do,
[00:47:02.800 --> 00:47:04.800]   you're going to actually have them either sitting
[00:47:04.800 --> 00:47:07.320]   in a little chair where their feet can be on the floor
[00:47:07.320 --> 00:47:12.560]   or sitting crisscross applesauce with their hands in their lap.
[00:47:12.560 --> 00:47:16.840]   And you're going to practice really good, almost school time
[00:47:16.840 --> 00:47:19.080]   reading with them, where you're going
[00:47:19.080 --> 00:47:21.000]   to be sitting across from them.
[00:47:21.000 --> 00:47:23.880]   They are not going to see the pictures on the book.
[00:47:23.880 --> 00:47:25.640]   They're going to see the back of the book.
[00:47:25.640 --> 00:47:28.240]   And they're going to practice eye contact with mama,
[00:47:28.240 --> 00:47:31.400]   the storyteller, the teacher.
[00:47:31.400 --> 00:47:34.600]   And you're going to read the story, like same thing,
[00:47:34.600 --> 00:47:37.880]   a couple of pages, the two pages that are in front of you.
[00:47:37.880 --> 00:47:40.200]   And then you're going to flip the book around
[00:47:40.200 --> 00:47:41.280]   and do the same thing.
[00:47:41.280 --> 00:47:44.880]   You're going to ask them about, tell me about the pictures.
[00:47:44.880 --> 00:47:46.400]   What do you see here?
[00:47:46.400 --> 00:47:49.960]   And you're going to let them interact with you during that.
[00:47:49.960 --> 00:47:53.640]   And then you're going to turn it back around, turn the page.
[00:47:53.640 --> 00:47:57.320]   See, so it's a mom-run story time.
[00:47:57.320 --> 00:47:58.120]   It's structured.
[00:47:58.120 --> 00:47:59.440]   It's structured.
[00:47:59.440 --> 00:48:04.440]   It's beneficial to your child, because they're
[00:48:04.440 --> 00:48:11.160]   getting all those remarkable practice in learning, right?
[00:48:11.160 --> 00:48:13.400]   And understanding and comprehension.
[00:48:13.400 --> 00:48:14.920]   Yeah, all of that.
[00:48:14.920 --> 00:48:17.480]   So really, really good.
[00:48:17.480 --> 00:48:21.280]   You are setting your kids up to become learners.
[00:48:21.280 --> 00:48:24.720]   Reading is one of the most important things you can do.
[00:48:24.720 --> 00:48:26.280]   And again, the stories don't have
[00:48:26.280 --> 00:48:29.760]   to be long, 5, 10 minutes when they're little.
[00:48:29.760 --> 00:48:34.680]   And do it at least a couple of times a day.
[00:48:34.680 --> 00:48:37.640]   Don't negate cuddle time.
[00:48:37.640 --> 00:48:41.880]   That is very important and so fun, both for parents
[00:48:41.880 --> 00:48:46.600]   and kids, but also make sure you have a more structured reading
[00:48:46.600 --> 00:48:48.000]   time with them every day.
[00:48:48.000 --> 00:48:51.560]   And you guys will love it, because they
[00:48:51.560 --> 00:48:55.480]   will get very good at being learners.
[00:48:55.480 --> 00:49:01.880]   And it's super, super fun to engage with them at that level.
[00:49:01.880 --> 00:49:03.760]   I love that crisscross applesauce,
[00:49:03.760 --> 00:49:05.440]   but I've never understood the connection
[00:49:05.440 --> 00:49:08.120]   between the applesauce and crisscross.
[00:49:08.120 --> 00:49:09.120]   Is that something that--
[00:49:09.120 --> 00:49:10.440]   No, I don't.
[00:49:10.440 --> 00:49:11.480]   It just sounds good.
[00:49:11.480 --> 00:49:13.240]   Crisscross applesauce, hands in your lap.
[00:49:13.240 --> 00:49:16.160]   That's what we used to say to our kids, and they all knew.
[00:49:16.160 --> 00:49:19.240]   They would sit down, little crisscross applesauce,
[00:49:19.240 --> 00:49:21.280]   hands in their lap, eyes on mama.
[00:49:21.280 --> 00:49:23.000]   That's right.
[00:49:23.000 --> 00:49:23.560]   Very good.
[00:49:23.560 --> 00:49:24.760]   And it was fun.
[00:49:24.760 --> 00:49:25.840]   We had a good time.
[00:49:25.840 --> 00:49:26.440]   Good deal.
[00:49:26.440 --> 00:49:29.280]   Yeah, I miss those days.
[00:49:29.280 --> 00:49:30.520]   Your granddaughter is coming.
[00:49:30.520 --> 00:49:31.600]   I know, I know.
[00:49:31.600 --> 00:49:32.320]   Can't wait.
[00:49:32.320 --> 00:49:35.520]   I love that her mama is an SLP.
[00:49:35.520 --> 00:49:38.200]   I know, so cool.
[00:49:38.200 --> 00:49:40.640]   All right, let's talk about video time.
[00:49:40.640 --> 00:49:43.040]   Video time these days means streaming videos,
[00:49:43.040 --> 00:49:45.680]   because I don't think anybody has that video
[00:49:45.680 --> 00:49:47.360]   to pop into the VCR anymore, right?
[00:49:47.360 --> 00:49:49.000]   No, no, no, no.
[00:49:49.000 --> 00:49:50.480]   So we want to make sure that it's--
[00:49:50.480 --> 00:49:51.280]   Not even the DVD.
[00:49:51.280 --> 00:49:55.720]   --that it's a redeeming video and not a time waster, right?
[00:49:55.720 --> 00:49:58.360]   And maybe start out with just 10 minutes at a time.
[00:49:58.360 --> 00:49:59.720]   Let them sit through the video.
[00:49:59.720 --> 00:50:00.480]   Let them watch it.
[00:50:00.480 --> 00:50:04.280]   Again, no distractions, though, not in a room full of toys.
[00:50:04.280 --> 00:50:07.280]   Again, the idea is to focus on the video.
[00:50:07.280 --> 00:50:11.080]   Listen, if they are listening to a video
[00:50:11.080 --> 00:50:15.600]   and they have toys to play with and they're not hearing really
[00:50:15.600 --> 00:50:18.120]   the video because they're busy playing with the toys,
[00:50:18.120 --> 00:50:23.160]   we are training our kids to not listen.
[00:50:23.160 --> 00:50:28.240]   And people are wondering why our kids cannot sit down and focus.
[00:50:28.240 --> 00:50:29.240]   This is why.
[00:50:29.240 --> 00:50:33.480]   They've got things going at them all the time.
[00:50:33.480 --> 00:50:34.440]   And it's chaos.
[00:50:34.440 --> 00:50:38.680]   And they never know that there's a time to sit and learn
[00:50:38.680 --> 00:50:42.920]   and listen and a time to play and have fun with the toys.
[00:50:42.920 --> 00:50:45.120]   Those two things should be separated.
[00:50:45.120 --> 00:50:47.880]   If we allow the playing with the video time,
[00:50:47.880 --> 00:50:51.400]   just know you are sabotaging their ability
[00:50:51.400 --> 00:50:54.520]   to pay attention to the person who is speaking.
[00:50:54.520 --> 00:50:55.040]   Right.
[00:50:55.040 --> 00:50:56.360]   So be careful with that.
[00:50:56.360 --> 00:50:56.680]   Yeah.
[00:50:56.680 --> 00:50:57.960]   Now, of course, that doesn't mean they're
[00:50:57.960 --> 00:50:59.760]   going to sit there like little robots.
[00:50:59.760 --> 00:51:03.320]   They can still giggle at a video or something.
[00:51:03.320 --> 00:51:03.840]   Yeah.
[00:51:03.840 --> 00:51:04.360]   Right?
[00:51:04.360 --> 00:51:06.320]   It can be a fun opportunity for them
[00:51:06.320 --> 00:51:08.680]   as well as a learning course.
[00:51:08.680 --> 00:51:09.520]   Yes.
[00:51:09.520 --> 00:51:11.720]   Those are some of our most fun time.
[00:51:11.720 --> 00:51:12.320]   You bet.
[00:51:12.320 --> 00:51:12.840]   OK.
[00:51:12.840 --> 00:51:13.520]   Yes.
[00:51:13.520 --> 00:51:14.360]   All right.
[00:51:14.360 --> 00:51:15.880]   Tantrums.
[00:51:15.880 --> 00:51:19.960]   Who hasn't had a child that has thrown a tantrum?
[00:51:19.960 --> 00:51:22.120]   I mean, it happens a lot.
[00:51:22.120 --> 00:51:24.200]   We've seen it a lot for sure.
[00:51:24.200 --> 00:51:27.400]   But we want to train that area as well because it
[00:51:27.400 --> 00:51:30.320]   is all about self-control.
[00:51:30.320 --> 00:51:32.440]   It's unacceptable behavior.
[00:51:32.440 --> 00:51:33.960]   Your child's eyes are on who?
[00:51:33.960 --> 00:51:35.400]   On themselves, right?
[00:51:35.400 --> 00:51:39.360]   And that negatively impacts everyone around them, right?
[00:51:39.360 --> 00:51:41.760]   So the first thing you understand
[00:51:41.760 --> 00:51:44.280]   is that that child is trying to manipulate you
[00:51:44.280 --> 00:51:47.080]   and manipulate others by throwing that tantrum.
[00:51:47.080 --> 00:51:48.040]   So what do you do?
[00:51:48.040 --> 00:51:51.680]   Well, first of all, I just want to address all of you
[00:51:51.680 --> 00:51:56.520]   who may think differently of temper tantrums.
[00:51:56.520 --> 00:52:02.680]   I know most people today are believing that temper tantrums
[00:52:02.680 --> 00:52:05.120]   are not really temper tantrums and that they
[00:52:05.120 --> 00:52:12.280]   are just a form of the child working out self-regulation.
[00:52:12.280 --> 00:52:15.560]   But guys, I am here to tell you that is not the truth.
[00:52:15.560 --> 00:52:18.480]   When a child is having a temper tantrum,
[00:52:18.480 --> 00:52:21.920]   it is because they want what they want.
[00:52:21.920 --> 00:52:24.320]   And it's just like James says in 4.1,
[00:52:24.320 --> 00:52:26.800]   why do you fight and quarrel?
[00:52:26.800 --> 00:52:29.880]   Because of the desires that rage within.
[00:52:29.880 --> 00:52:34.440]   You want, but you can't have, so you fight and you quarrel.
[00:52:34.440 --> 00:52:41.160]   So the thing is a temper tantrum is a demand for something.
[00:52:41.160 --> 00:52:43.520]   It's either a demand for attention
[00:52:43.520 --> 00:52:46.440]   or it's a demand for something that they want.
[00:52:46.440 --> 00:52:49.400]   Now, does self-regulation fit into that?
[00:52:49.400 --> 00:52:51.640]   Sure, absolutely.
[00:52:51.640 --> 00:52:55.760]   But they have to learn self-regulation.
[00:52:55.760 --> 00:52:57.920]   The way it's being presented today--
[00:52:57.920 --> 00:53:00.360]   and if you go on and start doing some research
[00:53:00.360 --> 00:53:02.680]   and listen to some psychologists,
[00:53:02.680 --> 00:53:05.560]   you are going to find that they are saying
[00:53:05.560 --> 00:53:08.320]   that self-regulation needs to be taught,
[00:53:08.320 --> 00:53:14.800]   that it needs to be modeled for them.
[00:53:14.800 --> 00:53:18.400]   That means mom and dad need to be teaching them
[00:53:18.400 --> 00:53:20.560]   what right behavior looks like.
[00:53:20.560 --> 00:53:22.560]   And that doesn't mean mom and dad
[00:53:22.560 --> 00:53:26.320]   are the ones that are doing it all
[00:53:26.320 --> 00:53:27.960]   and the child doesn't have to
[00:53:27.960 --> 00:53:29.240]   because they haven't learned it yet.
[00:53:29.240 --> 00:53:32.800]   They learn it according to the same practices
[00:53:32.800 --> 00:53:35.360]   that we're talking about with everything else.
[00:53:35.360 --> 00:53:39.920]   If they are in rebellion, there is consequence for that.
[00:53:39.920 --> 00:53:43.680]   That is something that God does not mix words about.
[00:53:43.680 --> 00:53:45.920]   He is absolutely clear on that.
[00:53:45.920 --> 00:53:52.080]   So please don't allow yourself to get swept into this idea
[00:53:52.080 --> 00:53:55.040]   that it's a phase and they're going to grow out of it.
[00:53:55.040 --> 00:54:00.920]   If it was a phase, we would not have accounts set up
[00:54:00.920 --> 00:54:03.400]   for Karens all over the place.
[00:54:03.400 --> 00:54:06.640]   We would not have people throwing temper tantrums in planes.
[00:54:06.640 --> 00:54:10.640]   We would not see people throwing temper tantrums in stores
[00:54:10.640 --> 00:54:13.200]   or neighbors screaming at each other.
[00:54:13.200 --> 00:54:16.360]   Guys, this is a serious issue
[00:54:16.360 --> 00:54:19.120]   and people are completely out of control
[00:54:19.120 --> 00:54:23.160]   and they've been given excuse to act this way.
[00:54:23.160 --> 00:54:25.280]   Don't do this to your child.
[00:54:25.280 --> 00:54:27.520]   It is not necessary.
[00:54:27.520 --> 00:54:31.160]   If you give your child consequences
[00:54:31.160 --> 00:54:35.040]   for that kind of rebellious behavior
[00:54:35.040 --> 00:54:38.120]   where their eyes are just so much on themselves
[00:54:38.120 --> 00:54:41.760]   that they don't care what happens to anybody else around them
[00:54:41.760 --> 00:54:45.440]   and you follow through the way God wants you to follow through
[00:54:45.440 --> 00:54:49.960]   lovingly, kindly, support them, yes,
[00:54:49.960 --> 00:54:54.520]   but apply a consequence because this is rebellion,
[00:54:54.520 --> 00:55:00.400]   then your child is no longer going to throw temper tantrums.
[00:55:00.400 --> 00:55:02.320]   -Right. -I promise.
[00:55:02.320 --> 00:55:04.240]   -She promises. -I do.
[00:55:04.240 --> 00:55:08.000]   If you apply it the right way, the way we've been learning,
[00:55:08.000 --> 00:55:10.960]   you will not have to deal with temper tantrums
[00:55:10.960 --> 00:55:15.120]   and your children do not have to be the ones growing up,
[00:55:15.120 --> 00:55:16.760]   throwing themselves to the ground
[00:55:16.760 --> 00:55:19.360]   because something didn't go their way.
[00:55:19.360 --> 00:55:21.480]   So be careful about this.
[00:55:21.480 --> 00:55:26.000]   Don't get swept into the chaos and the craziness
[00:55:26.000 --> 00:55:28.160]   that this world is offering right now.
[00:55:28.160 --> 00:55:31.000]   It's just not right. It's not right.
[00:55:31.000 --> 00:55:33.320]   -Sure. What about a frustration tantrum?
[00:55:33.320 --> 00:55:35.200]   -Yeah. -They can't do something.
[00:55:35.200 --> 00:55:36.640]   Something doesn't work.
[00:55:36.640 --> 00:55:38.560]   -Yeah, that's understandable.
[00:55:38.560 --> 00:55:40.760]   I mean, totally understandable.
[00:55:40.760 --> 00:55:43.560]   I think I've thrown a few frustration tantrums.
[00:55:43.560 --> 00:55:45.640]   -Sure. Who hasn't? -Right.
[00:55:45.640 --> 00:55:50.560]   But again, it is a moment where we are absorbed with ourself
[00:55:50.560 --> 00:55:55.240]   and we're not caring or thinking about the people around us.
[00:55:55.240 --> 00:55:58.720]   And that comes right back to love God, love your neighbor, right?
[00:55:58.720 --> 00:56:01.040]   The Lord wants us to be humble.
[00:56:01.040 --> 00:56:04.640]   He wants us to consider others better than ourselves.
[00:56:04.640 --> 00:56:08.480]   And so in those moments of frustration tantrums,
[00:56:08.480 --> 00:56:15.040]   it's the same thing in terms of their response to the frustration.
[00:56:15.040 --> 00:56:18.120]   So what we want to do is teach our children
[00:56:18.120 --> 00:56:20.040]   that they can trust mommy and daddy.
[00:56:20.040 --> 00:56:22.200]   We will always be there to help them.
[00:56:22.200 --> 00:56:25.600]   -Exactly. -There's a way to get up
[00:56:25.600 --> 00:56:29.040]   before you throw the temper tantrum and come and talk to mom and dad.
[00:56:29.040 --> 00:56:31.480]   -Use your words. -And if you don't,
[00:56:31.480 --> 00:56:37.040]   if you choose to respond by creating chaos in the home,
[00:56:37.040 --> 00:56:40.800]   then you have to understand that there's going to be a consequence for that.
[00:56:40.800 --> 00:56:44.320]   And when your children grow up understanding that,
[00:56:44.320 --> 00:56:50.480]   they will not throw temper tantrums because they're frustrated.
[00:56:50.480 --> 00:56:55.040]   They will learn, they will actually self-regulate
[00:56:55.040 --> 00:56:58.640]   because they will have learned to make the right choice
[00:56:58.640 --> 00:57:01.920]   and that there is a better choice for them to make.
[00:57:01.920 --> 00:57:03.960]   That's self-regulation.
[00:57:03.960 --> 00:57:08.480]   That's literally what psychiatry calls self-regulation.
[00:57:08.480 --> 00:57:15.400]   But all the parenting experts out there are mixing that all up
[00:57:15.400 --> 00:57:20.600]   and causing all of you to think that there's nothing that can be done
[00:57:20.600 --> 00:57:22.920]   and that you have to just go along with it.
[00:57:22.920 --> 00:57:26.040]   And I'm telling you, it will not go away.
[00:57:26.040 --> 00:57:28.160]   Tantrums do not go away.
[00:57:28.160 --> 00:57:30.760]   -They have to be taught. -They get worse.
[00:57:30.760 --> 00:57:36.160]   Yes. And we've all seen adults throw a temper tantrum.
[00:57:36.160 --> 00:57:39.680]   -Road rage. -You do not want it to be your child.
[00:57:39.680 --> 00:57:41.960]   -Absolutely. -Save your child.
[00:57:41.960 --> 00:57:47.200]   Give them every opportunity to be able to be a responsible adult
[00:57:47.200 --> 00:57:50.080]   who knows how to keep their cool.
[00:57:50.080 --> 00:57:55.240]   -You bet. Good. Good deal. -Any questions?
[00:57:55.240 --> 00:57:58.520]   And did we talk about isolating the kids when they throw a tantrum?
[00:57:58.520 --> 00:58:02.400]   -Yes. Did we? -Hopefully we did.
[00:58:02.400 --> 00:58:05.280]   When they're throwing a temper tantrum, you just pick them up,
[00:58:05.280 --> 00:58:09.680]   put them in their room, close the door.
[00:58:09.680 --> 00:58:12.480]   When they're quiet, when they've quieted down,
[00:58:12.480 --> 00:58:19.120]   then you go in and you apply a consequence for their action.
[00:58:19.120 --> 00:58:21.280]   -Okay. -Any questions?
[00:58:21.280 --> 00:58:24.800]   I have a question on that.
[00:58:24.800 --> 00:58:28.120]   Our kids' room is also their playroom.
[00:58:28.120 --> 00:58:32.080]   Like, there's no difference in either of their rooms.
[00:58:32.080 --> 00:58:34.080]   Between the three of them, they share two rooms
[00:58:34.080 --> 00:58:36.040]   and there's always toys for them.
[00:58:36.040 --> 00:58:39.680]   So is that, like, whenever I tell them, like,
[00:58:39.680 --> 00:58:41.880]   "Hey, you need a minute. Mom needs a minute.
[00:58:41.880 --> 00:58:44.800]   You need to go in your room." -Yeah.
[00:58:44.800 --> 00:58:47.800]   -I, like, I'm fine with it, but I want to know if it's wrong.
[00:58:47.800 --> 00:58:50.440]   By the time that I go back in there and they're quiet,
[00:58:50.440 --> 00:58:52.200]   they're playing with toys on their own.
[00:58:52.200 --> 00:58:54.160]   Like, they're not being mean about it at all,
[00:58:54.160 --> 00:58:56.440]   but they're playing with toys.
[00:58:56.440 --> 00:59:00.480]   -And so you're wondering if you need to give a consequence?
[00:59:00.480 --> 00:59:03.640]   -No, I do give a consequence, but I'm just wondering, like,
[00:59:03.640 --> 00:59:07.360]   do I need to go in there before they're playing with toys
[00:59:07.360 --> 00:59:11.400]   so that it's not, like, that long, or is that fine?
[00:59:11.400 --> 00:59:15.520]   -Well, if you've got a child throwing a temper tantrum,
[00:59:15.520 --> 00:59:19.160]   that needs to be separated. -Right.
[00:59:19.160 --> 00:59:21.640]   -Somewhere. -Yeah.
[00:59:21.640 --> 00:59:24.360]   -So it doesn't matter. It doesn't have to be in their room.
[00:59:24.360 --> 00:59:27.400]   Find another place in the house where they can --
[00:59:27.400 --> 00:59:32.920]   So maybe they're going to sit on the sofa until they're calm.
[00:59:32.920 --> 00:59:38.120]   You know, I mean, whatever works for you.
[00:59:38.120 --> 00:59:41.120]   Or maybe they're going to -- If your bathroom is safe,
[00:59:41.120 --> 00:59:46.040]   they're going to sit on the toilet cover
[00:59:46.040 --> 00:59:49.440]   and wait for you there.
[00:59:49.440 --> 00:59:53.240]   -My boys will not be -- No.
[00:59:53.240 --> 00:59:55.920]   I'll have a clogged toilet every time.
[00:59:55.920 --> 01:00:00.440]   They would get a consequence, but we would get a lot of --
[01:00:00.440 --> 01:00:03.480]   -Okay, well, hopefully, you're not going to have that problem
[01:00:03.480 --> 01:00:04.760]   after -- -Yeah.
[01:00:04.760 --> 01:00:07.320]   -Yeah, 'cause that should go away.
[01:00:07.320 --> 01:00:08.920]   -Yeah. -That should go away,
[01:00:08.920 --> 01:00:14.080]   and you should be able to put your children in by themselves
[01:00:14.080 --> 01:00:16.360]   and have them wait for a few --
[01:00:16.360 --> 01:00:18.520]   All I'm saying is wait long enough for them
[01:00:18.520 --> 01:00:22.080]   to stop the screaming, yeah. -Yeah.
[01:00:22.080 --> 01:00:25.920]   -And then go in, apply the consequence,
[01:00:25.920 --> 01:00:27.800]   and then restore with them.
[01:00:27.800 --> 01:00:32.000]   So they need a spot where they can be by themselves
[01:00:32.000 --> 01:00:34.240]   during that process. -Yeah.
[01:00:34.240 --> 01:00:37.360]   -So I don't know where that's going to be in your home.
[01:00:37.360 --> 01:00:42.440]   Maybe you keep one room for playroom
[01:00:42.440 --> 01:00:46.240]   and the other room for when you need it
[01:00:46.240 --> 01:00:49.120]   to deal with consequences.
[01:00:49.120 --> 01:00:50.560]   -Okay.
[01:00:50.560 --> 01:00:53.400]   -I mean, I don't know. You know better, so --
[01:00:53.400 --> 01:00:55.280]   -Our middle kid does fine with it.
[01:00:55.280 --> 01:00:58.520]   It's our little one that he just --
[01:00:58.520 --> 01:01:01.240]   I don't know if he just doesn't --
