
[00:00:00.000 --> 00:00:07.200]   Last week Jerry Seinfeld as part of the promotional tour for his new Netflix movie frosted
[00:46:34.600 --> 00:46:38.720]   YouTube is even more brutal than that, right because you can have as a
[00:46:39.640 --> 00:46:44.400]   As a real estate, I guess you're probably like a real estate agent or something
[00:46:44.400 --> 00:46:47.280]   You can have like an Instagram account
[00:46:47.280 --> 00:46:53.200]   That the people who follow it they're coming to follow it. They sort of know you people are used to this
[00:46:53.200 --> 00:46:57.000]   There's an interpersonal aspect as social media. I live in the same town
[00:46:57.000 --> 00:47:03.640]   I I was looking for houses in this town and I found this there's more of this regionalization the social localization
[00:47:03.640 --> 00:47:05.180]   You can have like a nice size audience
[00:47:05.180 --> 00:47:08.220]   That's actually like maybe a reasonable audience and some good stuff might come out of it
[00:47:08.520 --> 00:47:10.520]   YouTube is way more winner-take-all
[00:47:10.520 --> 00:47:16.800]   Right. We don't have that same habit of there's someone like in my town that has a YouTube channel
[00:47:16.800 --> 00:47:20.200]   I'm gonna go subscribe and watch their videos in the way that like with social media we might
[00:47:20.200 --> 00:47:23.120]   Right. So then what happens with YouTube?
[00:47:23.120 --> 00:47:29.900]   It's algorithmic driven curation, which means your videos will be watched by approximately nobody
[00:47:29.900 --> 00:47:36.520]   unless you can have all of the pieces that have to be in place to play well with the audience and algorithm and
[00:47:36.720 --> 00:47:42.360]   Then an audience can build but it's unclear even what that audience will be. Even if you want them. It's a very complicated world
[00:47:42.360 --> 00:47:49.560]   So here's what you would have to do. First of all, let's talk about the actual content itself. It has to be super compelling
[00:47:49.560 --> 00:47:56.160]   because it has to be something that makes someone say I'm gonna sit here and keep watching this video if they don't do that the
[00:47:56.160 --> 00:48:02.240]   Algorithm is gonna say goodbye. It doesn't matter what you do, right? So it has to be very compelling which means either
[00:48:03.000 --> 00:48:07.260]   You have to you have to promise something really big up front and really deliver it
[00:48:07.260 --> 00:48:13.240]   Or the content itself has to be really unique and deep and something that you're you're well-suited to deliver
[00:48:13.240 --> 00:48:17.960]   The delivery itself has to be just right you have sort of like two options for YouTube delivery
[00:48:17.960 --> 00:48:22.400]   Either you have to do the YouTube editing style like you would see personified in a mr
[00:48:22.400 --> 00:48:27.040]   beast video where it's cut every 10 to 12 seconds so that like it moves moves moves moves moves and the viewer is
[00:48:27.040 --> 00:48:31.640]   Never has that moment of boredom in which they'll leave it or you have to be a professional talker
[00:48:32.280 --> 00:48:36.920]   Right, so you can do what like Andrew Huberman does or I do but we're professional talkers, right?
[00:48:36.920 --> 00:48:42.560]   And we're coming from a place of authority. I've been you know, the public eye writing for a long time
[00:48:42.560 --> 00:48:46.280]   I've sold millions of books. I you know, I can speak for a long period of time
[00:48:46.280 --> 00:48:49.320]   You're either a professional talker. You have to do that YouTube editing, right?
[00:48:49.320 --> 00:48:52.560]   These are all just table stakes then you got to get all the details, right?
[00:48:52.560 --> 00:48:59.120]   You know like one of the things we have a YouTube guy who does our thumbnails and does our headlines
[00:49:00.400 --> 00:49:02.600]   I've gotten a little bit more involved in the headlines
[00:49:02.600 --> 00:49:05.920]   I was like, I want to make these a little bit more accurate a little bit less YouTube II
[00:49:05.920 --> 00:49:09.880]   That these little tweaks that's 10,000 views gone right away
[00:49:09.880 --> 00:49:15.560]   Like these little things matter a huge amount and if any of these things aren't done, right like nothing works
[00:49:15.560 --> 00:49:19.200]   So I don't want to scare you away from this. I just don't want you to waste your time
[00:49:19.200 --> 00:49:23.440]   Like if you have a play here, I have a super unique super compelling thing to do
[00:49:23.440 --> 00:49:25.880]   I can make these videos super compelling
[00:49:26.160 --> 00:49:32.200]   but like an audience feels like they have to keep watching and I'm willing to do all the right work with the thumbnails and the
[00:49:32.200 --> 00:49:37.760]   Headlines that this could grow but then even then you have to say is the audience that it's going to grow going to be useful
[00:49:37.760 --> 00:49:39.200]   For what I'm doing
[00:49:39.200 --> 00:49:44.480]   This is different than other social media where you can build a more localized regionalized audience. I think it gets more directly to
[00:49:44.480 --> 00:49:47.360]   The you know, hey, I want people in this town
[00:49:47.360 --> 00:49:53.200]   To encounter me and you know, we're giving the housing report for this neighborhood like that can work on Instagram
[00:49:53.200 --> 00:49:57.480]   It's not gonna work as well on YouTube. I don't know what Jesse is that you've been seeing the other end of this
[00:49:57.480 --> 00:50:02.760]   It might be a little bit too pessimistic or no, I agree with you. Yeah, it's pretty brutal. Yeah. Yeah
[00:50:02.760 --> 00:50:04.760]   I think for us what we like is
[00:50:04.760 --> 00:50:10.200]   It's there's a segment of audience that I want this to get to that. I don't think we're reaching with the audio
[00:50:10.200 --> 00:50:12.320]   It's like we have a very specific reason
[00:50:12.320 --> 00:50:14.320]   There's a sort of a younger band of an audience
[00:50:14.320 --> 00:50:19.640]   That we can we can get to with YouTube and then we have the secondary reason that I do think video is going to be
[00:50:19.640 --> 00:50:25.800]   Critical for shows like this in the future. I don't think through YouTube necessarily but video delivery is going to be critical
[00:50:25.800 --> 00:50:28.240]   And so we want to make sure we're good at it
[00:50:28.240 --> 00:50:33.360]   So sort of like when the time comes like oh, here's this network this app this video network
[00:50:33.360 --> 00:50:36.480]   Whatever, however this unfolds we want to make sure that we're good at it
[00:50:36.480 --> 00:50:41.180]   But if I just had a small business and I really want to be online, I would look at other social media before YouTube
[00:50:41.180 --> 00:50:48.760]   All right. Who do we got next? We have our corner slow productivity corner. Here we go. Let's hear some music
[00:50:49.760 --> 00:50:51.760]   So
[00:50:51.760 --> 00:51:03.680]   Daniel has to say you have mentioned something to the effect that after getting tenor and after your kids were in school
[00:51:03.680 --> 00:51:07.760]   It became more relevant to think about getting setting a sustainable pace for your work
[00:51:07.760 --> 00:51:13.200]   I am just starting as an assistant professorship at an r1 institution and have a 16 month year old
[00:51:13.440 --> 00:51:20.880]   Can you comment on the mindset you applied to productivity as an assistant professor and how it relates to and differs from the slow productivity mindset?
[00:51:20.880 --> 00:51:27.140]   All right. Good question for those who don't know the slow productivity corner is the one question per episode that we think is
[00:51:27.140 --> 00:51:32.660]   Directly connected to my new book slow productivity, which you should check out if you haven't seen it
[00:51:32.660 --> 00:51:35.000]   alright, so what Daniel is referring to so he's a
[00:51:35.000 --> 00:51:37.520]   Let me decode everything briefly for the audience
[00:51:38.200 --> 00:51:45.400]   Assistant professorship at r1 institution in the US system r1 institution means you're it's a Carnegie ranking
[00:51:45.400 --> 00:51:49.200]   But it basically means categorization, but it means you're a research institution. So it's a professorship
[00:51:49.200 --> 00:51:52.900]   If you have a professorship at an r1 University
[00:51:52.900 --> 00:51:59.080]   It's you're expected to produce a lot of research research will be the foundation on which ten-year decisions will be made
[00:51:59.080 --> 00:52:05.480]   Assistance professorship is the first level of professorship in the American system. So when you start as a professor, you're an assistant professor
[00:52:06.520 --> 00:52:13.200]   Typically associate professor is the promotion you get along with 10-year and then later there's full professorship
[00:52:13.200 --> 00:52:19.200]   Okay, and I've talked about how like this stage of my life. I'm in the third stage as a professor
[00:52:19.200 --> 00:52:25.280]   There's my assistant professor stage. There's my post 10-year associate professor stage. And now I've just entered the full professor stage
[00:52:25.280 --> 00:52:32.040]   as Daniel pointed out when I was an assistant professor, I had a lot of young young kids was sort of the
[00:52:33.040 --> 00:52:39.360]   What was going on right because my I think I there's babies around for like all of my assistant professorship
[00:52:39.360 --> 00:52:41.360]   I became an assistant professor in
[00:52:41.360 --> 00:52:47.560]   2012 that fall my first kid was born. My second kid was born in
[00:52:47.560 --> 00:52:49.400]   2014
[00:52:49.400 --> 00:52:55.000]   And then I got tenure in 2016. So I always had someone within two years of birth
[00:52:55.000 --> 00:52:59.520]   All right. So here's the things I did differently in that period Daniel as compared to now or other times
[00:53:00.800 --> 00:53:06.560]   One I was certainly very careful about time block planning and fixed schedule productivity meaning
[00:53:06.560 --> 00:53:08.640]   These are the hours I have to work
[00:53:08.640 --> 00:53:14.000]   I have to make the most of them right because the the child care schedule made anything else impossible
[00:53:14.000 --> 00:53:16.800]   We were working
[00:53:16.800 --> 00:53:22.680]   With a nanny at that period so there's a lot of like hey, you gotta be home at this time
[00:53:22.680 --> 00:53:25.000]   This is when the nanny has to go home
[00:53:25.000 --> 00:53:29.480]   Right, like you can't be working at this time because the nanny won't be there yet
[00:53:29.480 --> 00:53:36.960]   And you know your your wife has to go early here. And so the schedule was everything and limited hours
[00:53:36.960 --> 00:53:39.040]   I had to make the most of those hours
[00:53:39.040 --> 00:53:43.360]   So this was I was really big on time block planning like really thinking through what do I want to do with each day?
[00:53:43.360 --> 00:53:49.400]   To get the most out of it. The other thing I did during the young kid early tenure period is I simplified
[00:53:49.400 --> 00:53:51.440]   I was like, okay
[00:53:51.440 --> 00:53:53.440]   professional goal one two and three
[00:53:53.440 --> 00:53:59.440]   Papers published in good venues to get a lot of citations. That's everything for tenure, right?
[00:53:59.440 --> 00:54:05.840]   Confidential letter writers from the field evaluating your research productivity. That's what I focused on
[00:54:05.840 --> 00:54:12.280]   To the exclusion of almost everything else. I wasn't launching a lot of other endeavors a lot of other ideas
[00:54:12.280 --> 00:54:18.480]   I wasn't starting initiatives on campus like the type of things I'm involved in now with digital ethics and starting new programs and none of that
[00:54:18.480 --> 00:54:20.920]   super focused
[00:54:20.920 --> 00:54:24.600]   This is why I had strict quotas on academic service
[00:54:25.000 --> 00:54:31.120]   Only this many program committees and this many peer reviews will I do per semester because I had the focus on research above all else
[00:54:31.120 --> 00:54:38.200]   You definitely see this in my general audience book writing. So I had a book come out in 2012 right before my first kid was born
[00:54:38.200 --> 00:54:40.640]   That whole assistant professor period
[00:54:40.640 --> 00:54:43.440]   Four or five years. I published one book
[00:54:43.440 --> 00:54:45.720]   the deep work
[00:54:45.720 --> 00:54:50.440]   So you could there's this year the first two years of my first kids life
[00:54:50.440 --> 00:54:55.560]   I did zero writing altogether because I was like I've got to take care of this kid and I got to publish papers and then
[00:54:55.560 --> 00:54:57.560]   I slowly wrote one book
[00:54:57.560 --> 00:54:59.800]   During that period and that's it
[00:54:59.800 --> 00:55:03.480]   Right, so I deeply simplified during that period
[00:55:03.480 --> 00:55:08.720]   Post ten year and as my kids got a little bit older this sort of began to get some breathing room
[00:55:08.720 --> 00:55:12.000]   I wasn't on the treadmill of like I if I don't get this many papers
[00:55:12.000 --> 00:55:15.820]   I'm not gonna get ten year and things do change Daniel, but I think that's a good way to think about it
[00:55:15.820 --> 00:55:20.400]   Be very careful about your time. Here's the hours. I have to work. I want to make the most of them
[00:55:20.400 --> 00:55:26.560]   Be very protective about your time what you agree to do keep first things first, which is publishing papers that matter
[00:55:26.560 --> 00:55:31.220]   Low profile just publishing is what matters keep your life simple
[00:55:31.220 --> 00:55:37.000]   Just when you're working make that what you're working on as much as possible be very effective efficient with your time during work
[00:55:37.000 --> 00:55:42.200]   And if you do that, then it works out, but I'm not working. I'm not working and I'm you know
[00:55:42.200 --> 00:55:46.040]   Taking care of kids and all the other stuff that comes with that period it can work out
[00:55:46.520 --> 00:55:51.000]   But you got to focus you got to simplify you got to take care of your time as carefully as possible
[00:55:51.000 --> 00:55:56.040]   I'll tell you when it's all going to go down the drain is when that kid well 16 month old
[00:55:56.040 --> 00:56:00.000]   Yeah, once they start going to preschool because then you're gonna be sick half the year
[00:56:00.000 --> 00:56:04.280]   But that's a you'll see that soon enough Daniel learn how to work when you have a cold
[00:56:04.280 --> 00:56:06.880]   All right. Let's let's do a quick case study here
[00:56:06.880 --> 00:56:09.760]   This comes from M
[00:56:09.760 --> 00:56:12.040]   M says
[00:56:12.160 --> 00:56:17.560]   Professionally, I use your ideas to plan my next career move within my organization in the foreign service
[00:56:17.560 --> 00:56:21.800]   We rotate assignments every two to three years and I had a feeling a bit burnt
[00:56:21.800 --> 00:56:27.840]   Oh, I had been feeling a bit burnt out with my current position and not motivated to start looking for my next job
[00:56:27.840 --> 00:56:33.980]   Using your lifestyle centric planning. I set criteria for the type of positions. I would target
[00:56:33.980 --> 00:56:38.800]   I wanted to move back to DC and avoid positions involving emergency or after-hours duties
[00:56:38.800 --> 00:56:42.800]   I had accepted that this could be a career detour and not great for my promotion
[00:56:42.800 --> 00:56:47.640]   But to my surprise, I found many intriguing positions that matched my criteria last month
[00:56:47.640 --> 00:56:53.120]   I happily accepted an offer at the State Department's Diplomatic Training Institute. I'll be leading a medium-sized team
[00:56:53.120 --> 00:56:58.640]   So it'll still be a substantive role, but it offers an element of seasonality flexibility and hopefully no after-hours
[00:56:58.640 --> 00:57:03.640]   Emergency. All right, so we get a good example there of lifestyle centric planning
[00:57:03.640 --> 00:57:06.600]   We talked about this last week in last week's deep dive
[00:57:07.080 --> 00:57:12.320]   You're not going to build a deep meaningful intentional life just by pursuing a singular grand goal
[00:57:12.320 --> 00:57:16.940]   That'll fix all your problems. You got to figure out directly. What are all the elements of the lifestyle?
[00:57:16.940 --> 00:57:24.720]   I want and then flexibly think about all of your options for taking advantage of opportunities and avoiding obstacles to move closer to that vision
[00:57:24.720 --> 00:57:28.200]   It's not as sexy as saying I have this big goal that will fix everything
[00:57:28.200 --> 00:57:31.840]   But by looking directly and identifying directly
[00:57:31.840 --> 00:57:36.400]   These are the parts of my life and what I want them to be like you come across really interesting solutions
[00:57:36.400 --> 00:57:41.520]   That make your day-to-day existence more meaningful and intentional. So that is a great example
[00:57:41.520 --> 00:57:48.400]   All right, we got a cool final segment coming up. But first briefly, I want to hear share a word from another one of our sponsors
[00:57:48.400 --> 00:57:51.720]   particular I want to talk about our longtime friends at
[00:57:51.720 --> 00:57:54.400]   Blinkist an app that gives you over
[00:57:55.520 --> 00:58:03.000]   500 book summaries and expert-led audio guides to read or listen to they each take just about 15 minutes to
[00:58:03.000 --> 00:58:10.760]   Consume you can get best-in-class actual knowledge from over 27 categories such as productivity psychology and more
[00:58:10.760 --> 00:58:15.040]   I just checked out the blink for my latest book slow productivity and it was quite good
[00:58:15.040 --> 00:58:22.100]   The way Jesse and I use Blinkist is as a triage tool for our reading life for interested in a book
[00:58:22.520 --> 00:58:28.280]   We'll listen to or read the blink first before deciding whether or not to buy and read the full book. This works out really well
[00:58:28.280 --> 00:58:34.040]   Right. Sometimes it immediately tells you oh, this is not what I thought. I'm glad I didn't buy it other times
[00:58:34.040 --> 00:58:37.440]   It's like okay. This is an interesting idea, but I don't need to read a whole book on it
[00:58:37.440 --> 00:58:41.040]   I'm glad I know it and sometimes you say oh my god. I can't wait to read this
[00:58:41.040 --> 00:58:44.120]   So it's a fantastic way to use it other people
[00:58:44.120 --> 00:58:48.200]   I know use it to try to quickly get the lay of the land of interesting topic areas
[00:58:48.200 --> 00:58:54.360]   Hey, let me listen to or read the blinks for five related books. You do that. You're gonna know the main vocabularies and thinkers
[00:58:54.360 --> 00:58:58.340]   So anyways, if you're a big reader and all listeners of this podcast should be
[00:58:58.340 --> 00:59:01.800]   Blinkist is like the sidekick that you need
[00:59:01.800 --> 00:59:05.320]   So right now Blinkist has a special offer just for our audience
[00:59:05.320 --> 00:59:12.740]   Go to Blinkist.com/deep to start your seven-day free trial and get 40% off a Blinkist premium membership
[00:59:12.740 --> 00:59:16.380]   That's Blinkist spelled b-l-i-n-k-i-s-t
[00:59:16.640 --> 00:59:20.760]   Blinkist.com/deep to get 40% off any seven-day free trial
[00:59:20.760 --> 00:59:27.580]   Blinkist.com/deep and now for a limited time. There's a special promotion called Blinkist connect
[00:59:27.580 --> 00:59:34.440]   That will allow you to share your premium account with a friend. So you will get two premium subscriptions for the price of
[00:59:34.440 --> 00:59:36.400]   one
[00:59:36.400 --> 00:59:43.020]   Also want to talk about our my longtime friend Adam Gilbert and his company my body tutor. I
[00:59:43.740 --> 00:59:46.680]   Think this is such a fantastic idea. Let's say you want to get more healthy
[00:59:46.680 --> 00:59:52.580]   The hard part is not necessarily the information you want to eat better. You want to exercise the hard part is consistency
[00:59:52.580 --> 00:59:58.740]   Making the right decisions doing the work again. And again, this is where my body tutor enters the scene
[00:59:58.740 --> 01:00:05.380]   It's a 100% online coaching program. So what happens here is you are assigned a coach
[01:00:05.380 --> 01:00:11.380]   That works directly with you to figure out what you're going to do with nutrition and what you're gonna do with exercise and then and here's
[01:00:11.380 --> 01:00:12.360]   the key
[01:00:12.360 --> 01:00:14.440]   You check in virtually with this coach every day
[01:00:14.440 --> 01:00:20.120]   That's accountability is what gives you the consistency. It also gives you
[01:00:20.120 --> 01:00:23.720]   Customization. Oh, I'm going on vacation. What should I do?
[01:00:23.720 --> 01:00:28.400]   I worry about like not having my normal food or access to the gym your coach is like let's make a plan for this
[01:00:28.400 --> 01:00:32.520]   Let's work together to figure out how to adjust things for exactly your circumstance
[01:00:32.520 --> 01:00:37.480]   So you customize your approach to the good health while having a coach to keep you accountable
[01:00:37.480 --> 01:00:43.440]   this is where the consistency comes from and because it's a hundred percent online you get that consistency without the
[01:00:43.440 --> 01:00:49.840]   Grand expense of having a chef and a trainer come to your house every day. Like you're a Marvel superhero in training
[01:00:49.840 --> 01:00:56.880]   So my body tutor is the simple effective smart way to get healthy if you're thinking I want to be healthier than I am
[01:00:56.880 --> 01:01:00.840]   This is the way you do it. You go to my body tutor calm
[01:01:00.840 --> 01:01:05.580]   That's t-u-t-o-r my body tutor calm when you sign up tell them that deep
[01:01:05.760 --> 01:01:09.520]   Questions sent you and they will give you $50 off your first month
[01:01:09.520 --> 01:01:12.960]   All right. Let's move on to our final segment. I
[01:01:12.960 --> 01:01:19.760]   Will just bring this down to our final segment where I typically like to react to something. I
[01:01:19.760 --> 01:01:28.320]   Have encountered over the internet in the past week now this week instead of reacting to a specific article or a specific
[01:01:28.320 --> 01:01:30.120]   clip
[01:01:30.120 --> 01:01:33.760]   I'm going to react to a particular internet
[01:01:34.400 --> 01:01:36.000]   figure and
[01:01:36.000 --> 01:01:40.920]   Spoiler alert there is going to be an apology for me at the end of this reaction
[01:01:40.920 --> 01:01:45.560]   All right. So who's the figure I want to talk about the youtuber James Scholl's
[01:01:45.560 --> 01:01:48.480]   S-c-h-o-l
[01:01:48.480 --> 01:01:53.440]   Z now, let me give you a little bit of background on how my path has
[01:01:53.440 --> 01:01:58.760]   Intersected with that of James Soules since I chose since I talked a lot about
[01:01:59.480 --> 01:02:06.200]   Productivity typically in the context of trying to push back against digital distraction, but I talk about productivity
[01:02:06.200 --> 01:02:12.120]   I have a book out that has productivity in the title. I'm often asked in interviews about hustle culture and
[01:02:12.120 --> 01:02:16.520]   The dangers of hustle culture. So this seems to be this this big
[01:02:16.520 --> 01:02:22.920]   Concern is that everyone is subscribed to hustle culture and this is a bad thing
[01:02:24.040 --> 01:02:27.400]   Now I often got a little bit confused about this, right?
[01:02:27.400 --> 01:02:32.120]   Because what would happen is someone would read something like Oliver Berkman's fantastic book 4,000 weeks
[01:02:32.120 --> 01:02:37.940]   Which is about life being short and there's only so much you can get done and it's really good meaningful pragmatic philosophical reflections
[01:02:37.940 --> 01:02:41.880]   but they'll read something like 4,000 weeks and they'll say finally a
[01:02:41.880 --> 01:02:48.680]   Book that's pushing back against hustle culture and this idea that you can get everything done and you should do more
[01:02:49.480 --> 01:02:54.720]   Finally and I would always be confused because I said look I've been a professional book writer for the last 20 years
[01:02:54.720 --> 01:02:58.120]   Where are these books that are saying something different?
[01:02:58.120 --> 01:03:00.720]   What are the what are the best-selling?
[01:03:00.720 --> 01:03:03.640]   productivity books quote-unquote of the
[01:03:03.640 --> 01:03:05.640]   2010s it's
[01:03:05.640 --> 01:03:06.720]   essentialism
[01:03:06.720 --> 01:03:14.600]   About doing fewer things. It's a deep work about doing fewer things. It's one thing right about doing fewer things
[01:03:14.600 --> 01:03:21.680]   It's it's Oliver's book itself 4,000 weeks go back to the 2000s you get Tim Ferriss. How do we stop working so much?
[01:03:21.680 --> 01:03:24.520]   How do we work less? How do we have more vacations?
[01:03:24.520 --> 01:03:28.080]   We get David Allen's getting things done, which is not about getting more things done
[01:03:28.080 --> 01:03:33.040]   But trying to survive the onslaught of work so that at least you can find some peace
[01:03:33.040 --> 01:03:38.960]   It's the opposite of a call to get things done. So I would always say I don't know what this hustle culture is where it is
[01:03:39.640 --> 01:03:43.100]   That we're so afraid of so then people would say what's online
[01:03:43.100 --> 01:03:47.260]   It's like okay. I don't know the online world as much. I don't use social media
[01:03:47.260 --> 01:03:50.880]   I'm not a big person. I don't spend a lot of time on YouTube
[01:03:50.880 --> 01:03:55.920]   My podcast if you're watching it now is produced put on YouTube, but I don't spend a lot of time on YouTube
[01:03:55.920 --> 01:03:58.880]   It's like okay, maybe there's this hustle culture out there on
[01:03:58.880 --> 01:04:01.400]   Line and that's what people are talking about
[01:04:01.400 --> 01:04:08.600]   And this is where I first heard the example of James Scholes because in the first year of the pandemic what James did famously
[01:04:09.120 --> 01:04:11.560]   Was basically every day for a year
[01:04:11.560 --> 01:04:15.720]   would record himself a live stream himself studying
[01:04:15.720 --> 01:04:20.760]   Not for 20 minutes not for an hour, but often 10 11 12 hours at a time
[01:04:20.760 --> 01:04:22.840]   He's just sitting there in his apartment
[01:04:22.840 --> 01:04:28.600]   Studying usually Pomodoro style 50 minutes on 10 minutes off or hour on 10 minutes off
[01:04:28.600 --> 01:04:30.740]   He'd do a little bit of narration the breaks, but it's really just him
[01:04:30.740 --> 01:04:33.440]   just studying
[01:04:33.440 --> 01:04:37.680]   People would tune in they would study with them and you can still see all these videos on the James Scholes his
[01:04:38.320 --> 01:04:39.560]   original
[01:04:39.560 --> 01:04:41.080]   YouTube channel
[01:04:41.080 --> 01:04:42.280]   And so I was like, okay
[01:04:42.280 --> 01:04:42.440]   Yeah
[01:04:42.440 --> 01:04:47.740]   maybe that's that's our good example of hustle culture like the guy that like studies for 12 hours at a time because look I wrote some
[01:04:47.740 --> 01:04:52.800]   Books about how to study when I was young and the right way to study is the opposite of studying for 12 hours at a
[01:04:52.800 --> 01:04:57.960]   Time that's that's just gonna burn you out. I was like that maybe that's hustle culture. I just sort of used James as a
[01:04:57.960 --> 01:05:02.280]   Canonical example of like yeah online there's this hustle culture thing
[01:05:02.280 --> 01:05:05.320]   But those of us who are writing books about it and we're thinking about this more
[01:05:06.120 --> 01:05:12.500]   Expansively, I wasn't the only one to make those connections. I'm gonna read a couple quotes here from an article from 2022
[01:05:12.500 --> 01:05:18.000]   About James, I won't link to the article because I don't like the non-famous writers
[01:05:18.000 --> 01:05:22.800]   I don't like to throw under the bus, but let me just read some quotes from this article about James
[01:05:22.800 --> 01:05:25.480]   it talks about
[01:05:25.480 --> 01:05:29.280]   Watching a lot of James then getting disillusioned. So the article says
[01:05:30.160 --> 01:05:34.440]   Yet another part of me felt disappointed that this had become my measurement of time
[01:05:34.440 --> 01:05:40.080]   Well spent ceaseless hours in a brightly lit room staring at a screen whilst listening to YouTube videos boredom
[01:05:40.080 --> 01:05:47.000]   Begin to feel like the culmination of many things that had been brewing in my mind about productivity the hustle and what it all meant
[01:05:47.000 --> 01:05:51.240]   This article goes on to say lots of nice things about Oliver Berkman
[01:05:51.240 --> 01:05:54.480]   Let me see. I have a couple other quotes. I want to read from towards the end
[01:05:55.800 --> 01:06:02.480]   Productivity gives the false impression that we can do everything we want. We can become an all-conquering person never again subcoming to the limitedness
[01:06:02.480 --> 01:06:10.520]   Limitedness that time imposes upon you but this is simply not right the day will never arrive when you finally have everything under control
[01:06:10.520 --> 01:06:16.780]   Berkman writes later. This author says having everything under control is the glistening of the productivity diamond
[01:06:16.780 --> 01:06:21.200]   We're constantly attempting to master time to channel ourselves into a position of dominance and control
[01:06:21.480 --> 01:06:26.920]   Over unfolding lives so that we might finally feel safe and secure and no longer so vulnerable to events
[01:06:26.920 --> 01:06:29.800]   Protection from vulnerability is now learning but impossible
[01:06:29.800 --> 01:06:32.080]   state
[01:06:32.080 --> 01:06:36.680]   So James Schultz represents this hustle culture that has an unobtainable
[01:06:36.680 --> 01:06:40.660]   Belief of like what's possible through productivity? Okay
[01:06:40.660 --> 01:06:48.560]   Here's the thing. I recently went down more of a rabbit hole on James. I listened to some interviews with him
[01:06:49.240 --> 01:06:51.240]   and listen to him talk about
[01:06:51.240 --> 01:06:53.680]   himself and why he did these videos and
[01:06:53.680 --> 01:07:00.320]   I no longer think it is correct to make him the patron saint of hustle culture. I
[01:07:00.320 --> 01:07:06.240]   Don't think that's what he's doing at all. Let's look back to this discussion of hustle culture again from this article
[01:07:06.240 --> 01:07:09.320]   What are the properties they point out about hustle culture?
[01:07:09.320 --> 01:07:13.480]   It's about the impression. You can get everything you want. You can be all-conquering
[01:07:14.040 --> 01:07:18.200]   You'll never succumb to the limitlessness of time that you can have everything under control
[01:07:18.200 --> 01:07:24.120]   You're caught you can master your times. You can channel yourself to a position of dominance. Where is that in?
[01:07:24.120 --> 01:07:29.640]   The quiet video of James Schultz just sitting there studying all day long
[01:07:29.640 --> 01:07:34.840]   Where is he talking about you can get everything done? Where is he talking about you can have full control over your life?
[01:07:34.840 --> 01:07:40.240]   Where is he saying you can get into a position of dominance and I will show you how he barely talks
[01:07:41.160 --> 01:07:44.040]   He just sits there and he quietly studies
[01:07:44.040 --> 01:07:49.880]   So what is really going on with James Schultz? Well as becomes clear if you listen to some interviews with him
[01:07:49.880 --> 01:07:52.340]   He is not promoting to people that
[01:07:52.340 --> 01:07:56.280]   What he is doing this extreme is somehow
[01:07:56.280 --> 01:08:00.480]   Something that everyone else should be doing that people should be studying for 12 hours. Trust me
[01:08:00.480 --> 01:08:03.440]   I wrote books about studying you don't have enough stuff to study for 12 hours
[01:08:03.440 --> 01:08:07.920]   I don't know what he was studying for 12 hours. That was not the goal of these videos. They had two purposes
[01:08:08.560 --> 01:08:12.160]   One small one big the small purpose was to be live
[01:08:12.160 --> 01:08:14.800]   This was early pandemic
[01:08:14.800 --> 01:08:17.360]   Many places were in current lockdowns
[01:08:17.360 --> 01:08:22.380]   Right, so people were stuck at home and in particular students were stuck at home learning online
[01:08:22.380 --> 01:08:26.640]   So he was offering this idea that whenever it was you happen to be studying
[01:08:26.640 --> 01:08:30.840]   You could go and this live stream was probably going on and you wouldn't feel alone
[01:08:30.840 --> 01:08:34.760]   It's not a video that someone recorded before of studying
[01:08:34.760 --> 01:08:37.960]   He would be studying when you needed to study other people would be watching him
[01:08:37.960 --> 01:08:41.160]   You could see how many people are watching them. It was creating a sense of digital community
[01:08:41.160 --> 01:08:47.040]   So why was he studying 12 hours to make sure he covered as much of the day as possible?
[01:08:47.040 --> 01:08:52.440]   so as many people as possible who we're gonna study for an hour that day would have a chance of
[01:08:52.440 --> 01:08:58.600]   Being able to intersect with this ongoing live stream. I think that was the small reason right not you should study 12 hours
[01:08:58.600 --> 01:09:02.900]   But to make sure whatever hour you do study, there's a good chance. My live stream will be going on
[01:09:03.360 --> 01:09:08.480]   The bigger version here though is I think this is an exemplar of something we've seen in other areas of well
[01:09:08.480 --> 01:09:11.060]   We could call it these sort of monastic prototype
[01:09:11.060 --> 01:09:14.560]   where there's a there's an issue that's afflicting a
[01:09:14.560 --> 01:09:17.360]   population and the monastic
[01:09:17.360 --> 01:09:19.880]   Right the monastic of this example
[01:09:19.880 --> 01:09:24.360]   Goes in in a very public and showy way does the opposite to an extreme
[01:09:24.360 --> 01:09:30.640]   not because the monastic thinks that the whole population should have an aesthetic lifestyle and
[01:09:30.960 --> 01:09:34.040]   Move to the caves and meditate under the tree all day
[01:09:34.040 --> 01:09:36.800]   But to make the point clear
[01:09:36.800 --> 01:09:43.600]   That what they are doing is hurting them and there's power in the opposite, right? So the monastic
[01:09:43.600 --> 01:09:51.280]   Removes themselves from everyday life and does things to an extreme so those who are still in everyday life can find and draw inspiration. I
[01:09:51.280 --> 01:09:57.640]   Think this is another big part of what James Schultz is doing again. He's talking to other young people
[01:09:57.640 --> 01:10:00.520]   He was young when he did this he was aiming these videos largely at students
[01:10:01.320 --> 01:10:08.400]   They were finding their lives overcome with distraction procrastination. They were stuck at home. They're on their phones all the time and
