
[00:00:00.000 --> 00:00:21.900]   This is the API key. So if you haven't scanned this already, please scan it. It will take you
[00:46:47.640 --> 00:46:53.640]   So, I, like, diffusion models on Cerebrus hardware is going to be insane when it comes out.
[00:46:53.640 --> 00:46:58.640]   That's not helpful to anyone, but, you know, I thought I'd just throw that in there.
[00:46:58.640 --> 00:47:02.640]   I can't even talk about it because the guy was like, don't talk about it now.
[00:47:02.640 --> 00:47:05.640]   But I'm, like, but I'm being very vague about it, you know.
[00:47:05.640 --> 00:47:10.640]   I have a question related to what the previous gentleman asked about fine-tuning model.
[00:47:10.640 --> 00:47:22.640]   So, say, for example, I have a new architecture which has got certain different layers which are not there on, not supported by Cerebrus or does not have those kernels defined.
[00:47:22.640 --> 00:47:24.640]   What would happen for those kind of situation?
[00:47:24.640 --> 00:47:25.640]   Yeah, that's a great question.
[00:47:25.640 --> 00:47:34.640]   I think one of our customers, Mistral, is a great example of this where they brought in a custom architecture model and they were like, hey, we want to run this on Cerebrus.
[00:47:34.640 --> 00:47:42.640]   And basically what happens is, like, a partnership and a collaboration between their engineers and our engineers to make sure that all of the kernels are in place to support their new architecture.
[00:47:42.640 --> 00:47:43.640]   So, it's very simple.
[00:47:43.640 --> 00:47:51.640]   It's just, like, all our hardware is, if you think about it, is a bunch of memory and a bunch of compute that are organized in a very efficient way in a very low-level way.
[00:47:51.640 --> 00:47:53.640]   And a very, like, large surface area.
[00:47:53.640 --> 00:47:54.640]   That's all it is.
[00:47:54.640 --> 00:48:00.640]   So, we can technically, in theory, support, like, a very diverse set of models and architectures that may not even exist yet.
[00:48:00.640 --> 00:48:06.640]   So, it's all about, like, creating that partnership and figuring out, like, how do we support the models that we don't yet support?
[00:48:06.640 --> 00:48:09.640]   So, that partnership is more about defining those kernels so that the architecture--
[00:48:09.640 --> 00:48:12.640]   There's also other quirks about models.
[00:48:12.640 --> 00:48:18.640]   Like, if there is, like, custom, like, RL or something, you know, like, it's all about, like, making sure everything is supported that you want to run in your model.
[00:48:18.640 --> 00:48:19.640]   Thank you.
[00:48:19.640 --> 00:48:20.640]   Okay.
[00:48:20.640 --> 00:48:21.640]   Okay.
[00:48:21.640 --> 00:48:22.640]   Okay.
[00:48:22.640 --> 00:48:23.640]   Last call for questions.
[00:48:23.640 --> 00:48:24.640]   Yeah.
[00:48:24.640 --> 00:48:41.640]   So, I got hit late, but do you think you'll ever do real-time APIs and sort of those other multimodal models as well?
[00:48:41.640 --> 00:48:48.640]   So, we actually support-- we released our first multimodal API, not available publicly but through the Mistral app.
[00:48:48.640 --> 00:48:56.640]   So, now, if you use Mistral, the chat, some of the image-based queries are running on hardware.
[00:48:56.640 --> 00:48:58.640]   So, next comes our cloud.
[00:48:58.640 --> 00:49:03.640]   So, once we have it running in one place, we assume we're going to scale it into our public cloud.
[00:49:03.640 --> 00:49:07.640]   So, that will be coming pretty soon, actually, to our service cloud for multimodal.
[00:49:07.640 --> 00:49:10.640]   Around real-time, we are actually thinking about this.
[00:49:10.640 --> 00:49:13.640]   So, like, I would love to learn more about your use case.
[00:49:13.640 --> 00:49:14.640]   So, yeah.
[00:49:14.640 --> 00:49:20.640]   Real-time is definitely a very interesting, I think, idea for the company because of the speed of our inference.
[00:49:20.640 --> 00:49:23.640]   I think it will be great in, like, real-time use cases.
[00:49:23.640 --> 00:49:26.640]   I think we have time for more questions.
[00:49:26.640 --> 00:49:27.640]   Yeah, we do.
[00:49:27.640 --> 00:49:28.640]   We have, like, so much time.
[00:49:28.640 --> 00:49:29.640]   40 minutes left.
[00:49:29.640 --> 00:49:30.640]   Yeah.
[00:49:30.640 --> 00:49:32.640]   Maybe not all 45 minutes, though, but, you know.
[00:49:32.640 --> 00:49:33.640]   What's up?
[00:49:33.640 --> 00:49:38.640]   So, I'm curious, has there been models engineered especially for Cerebrus hardware?
[00:49:38.640 --> 00:49:41.640]   As in, like, you know, you have new types of capabilities.
[00:49:41.640 --> 00:49:45.640]   And I'm curious, how good are people at exploiting those capabilities, right?
[00:49:45.640 --> 00:49:50.640]   Because people are taking existing models, and, yes, it's easy to, you know, port them if you have the kernels.
[00:49:50.640 --> 00:49:55.640]   But what about stuff that you really would encourage people to try?
[00:49:55.640 --> 00:49:58.640]   Wow, this is a very good question.
[00:49:58.640 --> 00:50:01.640]   So, it really depends on what your use case is.
[00:50:01.640 --> 00:50:10.640]   If you are a researcher who wants to try new architecture and train it, I would say we have specific advantages for unstructured sparsity algorithms.
[00:50:10.640 --> 00:50:12.640]   So, you can try that.
[00:50:12.640 --> 00:50:15.640]   I don't think it's at the speed of any other hardware.
[00:50:15.640 --> 00:50:18.640]   So, if you try that on GPU, it's going to be hard.
[00:50:18.640 --> 00:50:22.640]   That's for pre-training side, for inference side?
[00:50:22.640 --> 00:50:27.640]   I think for inference side, not yet, because we released inference like nine months ago.
[00:50:27.640 --> 00:50:29.640]   So, it's a very, very new product.
[00:50:29.640 --> 00:50:42.640]   And as we are working with frontier model companies like Mistral, we're planning on working with them even more closely to design models specifically to take advantage of not only our current generation of chips, but our future generations of chips.
[00:50:42.640 --> 00:50:44.640]   We'll have even more optimizations.
[00:50:44.640 --> 00:50:52.640]   But maybe from the inference perspective, if you have a very large model you want to serve, then Cerebrus is the best position to do that.
[00:50:52.640 --> 00:50:54.640]   It's going to scale, you know, multiple chips.
[00:50:54.640 --> 00:51:03.640]   You're going to use multiple chips and you won't have to, like, distribute the model weights and weight, you know, for all this orchestration to work together.
[00:51:03.640 --> 00:51:09.640]   So, I would say, like, the best use case here is, like, if you have a very large model, then use Cerebrus inference.
[00:51:09.640 --> 00:51:20.640]   So, I have two questions, you know, like, what kind of model sizes can be used simultaneously on Cerebrus instance?
[00:51:20.640 --> 00:51:21.640]   On one instance?
[00:51:21.640 --> 00:51:22.640]   Or, like, in a, like, what?
[00:51:22.640 --> 00:51:29.640]   When I'm using it now, I don't know how many VMs are currently in the back.
[00:51:29.640 --> 00:51:30.640]   So, it's not a VM.
[00:51:30.640 --> 00:51:36.640]   It's, like, the number of systems, but basically there's no limit to the size of the system.
[00:51:36.640 --> 00:51:39.640]   Because what we can do is we can just infinitely add more chips.
[00:51:39.640 --> 00:51:49.640]   Like, so, like, we can go from, like, as small as, like, an 8 billion parameter model, and we can go all the way up to, like, like, Maverick is a recent model that we were onboarded.
[00:51:49.640 --> 00:51:52.640]   We're planning on supporting the bigger meta models, you know.
[00:51:52.640 --> 00:51:55.640]   There's no limit because we can just scale linearly.
[00:51:55.640 --> 00:51:57.640]   Our networking architecture is actually very simple.
[00:51:57.640 --> 00:51:59.640]   But there is a cost associated with it.
[00:51:59.640 --> 00:52:00.640]   Of course.
[00:52:00.640 --> 00:52:09.640]   So, and I wouldn't be able to partition a single SOC or one service instance into--
[00:52:09.640 --> 00:52:10.640]   Oh, we can't.
[00:52:10.640 --> 00:52:12.640]   We don't offer that right now in our cloud.
[00:52:12.640 --> 00:52:13.640]   Basically.
[00:52:13.640 --> 00:52:15.640]   No, we basically handle it.
[00:52:15.640 --> 00:52:16.640]   We handle the load.
[00:52:16.640 --> 00:52:22.640]   It's an-- we currently only offer the service unless it's, like, an on-prem client with just an API.
[00:52:22.640 --> 00:52:29.640]   So, we give you rate limits that you can hit, and we, in the back end, provision the number of systems needed to match your, like, workload.
[00:52:29.640 --> 00:52:41.640]   For the public API that everyone used today, that's a shared pool where we set rate limits for each user, and then they can consume until that rate limit.
[00:52:41.640 --> 00:52:44.640]   Great question.
[00:52:44.640 --> 00:52:45.640]   Awesome.
[00:52:45.640 --> 00:52:49.640]   If there are no more questions, me and Daria will be up here.
[00:52:49.640 --> 00:52:51.640]   If you have more questions, come up to us.
[00:52:51.640 --> 00:52:55.640]   Or if you're a startup looking for inference, I'm the guy to talk to.
[00:52:55.640 --> 00:52:59.640]   And if you also got 120, please bring you getting 120.
[00:52:59.640 --> 00:53:04.640]   Like, get the proof, and then I'll get your email and give me ideas for prizes, and then we can go from there.
[00:53:04.640 --> 00:53:05.640]   Thanks so much for coming, everyone.
[00:53:05.640 --> 00:53:06.640]   Thank you.
[00:53:06.640 --> 00:53:07.640]   Thank you.
[00:53:07.640 --> 00:53:08.640]   Thank you.
[00:53:08.640 --> 00:53:09.640]   Thank you.
[00:53:09.640 --> 00:53:09.640]   Thank you.
[00:53:09.640 --> 00:53:09.640]   Thank you.
[00:53:09.640 --> 00:53:10.640]   Thank you.
[00:53:10.640 --> 00:53:14.480]   Thank you.

