
[00:00:00.000 --> 00:00:04.380]   If you're looking to optimize your life without spending more time or money than you have to,
[00:49:20.540 --> 00:49:28.460]   cell phone offers, buying groups, gift cards, there was a ton in that episode. But Kai himself is someone who's kind of
[00:49:28.460 --> 00:49:36.860]   done the fire thing, retired early, and then uses this as a way to make that possible even earlier. And in 2023, I think he
[00:49:36.860 --> 00:49:44.460]   earned over $36,000 finding all these deals, spending small like 10-20 hours a week on it.
[00:49:44.460 --> 00:49:49.580]   And then on top of that, he earned over 2 million points taking advantage of credit card offers.
[00:49:49.580 --> 00:49:56.300]   So really, really interesting episode to kind of inspire you to the fact that a side hustle doesn't
[00:49:56.300 --> 00:50:01.340]   always have to be a business. If you have an extra 10 hours a week, you could still generate thousands
[00:50:01.340 --> 00:50:06.060]   of dollars, if not tens of thousands of dollars a year without doing what would traditionally be a side
[00:50:06.060 --> 00:50:10.940]   hustle, like starting consulting or starting to sell things on Etsy or some kind of business. But if you want
[00:50:10.940 --> 00:50:16.940]   the easiest way to find some money that is not surefire, but certainly works for lots of people,
[00:50:16.940 --> 00:50:20.940]   go look in the unclaimed money database for your state.
[00:50:20.940 --> 00:50:27.340]   Now, if a company owes you money because maybe you got a refund or you canceled your cable bill,
[00:50:27.340 --> 00:50:31.260]   but you'd already prepaid for the month, and they can't, for whatever reason, find a way to get you
[00:50:31.260 --> 00:50:35.980]   that money, they turn it over to the state. And the state maintains a database, each different state has
[00:50:35.980 --> 00:50:41.420]   one, of all of the unclaimed money out there. And for some people listening, you've already heard this
[00:50:41.420 --> 00:50:46.140]   tip, you've already searched, there's nothing left. I can promise that someone who's listening
[00:50:46.140 --> 00:50:49.500]   has not yet done this search. And maybe they haven't done it for them, but maybe they also
[00:50:49.500 --> 00:50:53.500]   haven't done it for their partner, their children, their parents, their brothers, their sisters,
[00:50:53.500 --> 00:50:59.020]   their friends. And I did a survey in my newsletter a few months ago, and I was blown away that about 10%
[00:50:59.020 --> 00:51:04.220]   of the people who searched for unclaimed money found over $500. I think that was the number,
[00:51:04.220 --> 00:51:09.020]   don't quote me on it, but it was a significant amount of money. So go, if you live in Delaware,
[00:51:09.020 --> 00:51:14.060]   go to Delaware unclaimed money on Google, find that site, put in your name, search. I'd actually
[00:51:14.060 --> 00:51:19.260]   be surprised if someone listening hasn't found at least $10,000. Maybe not for them, maybe collectively
[00:51:19.260 --> 00:51:25.260]   across everyone in their family, but it is wild how much money is out there just sitting around
[00:51:25.260 --> 00:51:30.380]   waiting for the right person to claim it. Okay, two more. One is that there's probably a way to pay
[00:51:30.380 --> 00:51:35.260]   every single bill you have with a credit card. It might not be obvious. Sometimes you might find,
[00:51:35.260 --> 00:51:40.060]   oh, I can pay my taxes with a credit card, but they're going to charge me 1.75% fee.
[00:51:40.060 --> 00:51:44.380]   Oh, I can pay my rent, but they might charge me a fee. Well, in that case, you should get the built
[00:51:44.380 --> 00:51:47.820]   card because they won't charge you a fee and you can earn points on rent. I'll put my built referral
[00:51:47.820 --> 00:51:51.420]   link in the show notes if you want to do that. Big fan of built and earning points on rent.
[00:51:51.420 --> 00:51:56.460]   But there's also a site called Plastique. There's another one called Melio and Zill Money
[00:51:56.460 --> 00:52:01.740]   that allow you to pay bills. So Plastique in particular will let you pay your mortgage,
[00:52:01.740 --> 00:52:08.140]   your HOA, your tuition, lots of different places that don't all accept credit cards. They will make
[00:52:08.140 --> 00:52:12.940]   it possible for you to pay that bill with a credit card. Now they do charge a fee and that fee is around
[00:52:12.940 --> 00:52:19.420]   2.9%, which may not make sense if you have a credit card that earns 2x points or 2% cash back,
[00:52:19.420 --> 00:52:26.220]   but it might make sense if you are able now to open up a new card that has a 100,000 point signup
[00:52:26.220 --> 00:52:32.780]   bonus, but you need to spend, let's call it five or $10,000 in 90 days. Well, if you don't have enough
[00:52:32.780 --> 00:52:37.020]   spend to meet that bonus, then you probably wouldn't open it in the first place. But maybe this is
[00:52:37.020 --> 00:52:41.500]   something that makes that possible. Maybe you do have the bills. You just didn't realize you could pay
[00:52:41.500 --> 00:52:46.140]   some of them with a card. And like I mentioned, the average return on welcome bonuses is something
[00:52:46.140 --> 00:52:53.580]   like 17%. And so would I pay a 2.9% fee if I'm earning 17%? Absolutely. Now, if I had another
[00:52:53.580 --> 00:52:59.180]   way to meet that welcome bonus spend, then maybe I wouldn't, but it is an option that I think sometimes
[00:52:59.180 --> 00:53:03.260]   people don't realize. And for the right card, earning the right amount and the right welcome
[00:53:03.260 --> 00:53:07.180]   bonus, it might make sense to pay a fee to put something on a credit card where I don't think it
[00:53:07.180 --> 00:53:13.180]   ever makes sense is to pay interest. So if you're not able to pay your bill in full each month, I would
[00:53:13.180 --> 00:53:19.100]   strongly discourage you from playing the points game unless you're optimizing 0% intro APR cards.
[00:53:19.100 --> 00:53:23.820]   Finally, last one in the money category, if you're spending all this time and energy to save money,
[00:53:23.820 --> 00:53:28.940]   invest your money and grow your wealth, and you want to be intentional about what happens to that money,
[00:53:28.940 --> 00:53:33.500]   if you were to pass away, I would strongly encourage you to look at setting up a will.
[00:53:34.220 --> 00:53:41.580]   And in many states, especially at the probably around $100,000 level of assets when you pass away,
[00:53:41.580 --> 00:53:46.700]   your money might go through a probate process that can be public record, it can slow things down.
[00:53:46.700 --> 00:53:52.380]   And so if you cross that threshold in a lot of states, it also might make sense to set up a basic revocable
[00:53:52.380 --> 00:53:58.540]   living trust. This is not something super complicated where it takes years and lawyers and attorneys and
[00:53:58.540 --> 00:54:04.460]   requires you to, you know, put money in places you can never access it. There are trusts that allow
[00:54:04.460 --> 00:54:11.340]   you to mitigate taxes further that are complicated, but a basic will or a basic estate plan, something
[00:54:11.340 --> 00:54:16.460]   that you can set up in hours and maybe just need a signature or a notary, which you might even be
[00:54:16.460 --> 00:54:22.140]   able to do online is something I'd encourage every parent for sure to do and allows you not just with
[00:54:22.140 --> 00:54:26.220]   your money, but to set the intentions for who's going to look after your kids, who's going to be
[00:54:26.220 --> 00:54:30.460]   their guardian if something happens to you. So that's one last thing that I think everyone should look
[00:54:30.460 --> 00:54:35.260]   at. Episode 62, we kind of went deep on it and talked to a bunch of people about estate planning.
[00:54:35.260 --> 00:54:40.780]   So if that's interesting, you can go deep there. Okay, the last category here, we did travel,
[00:54:40.780 --> 00:54:47.020]   we did money is about life. And I broke this into a few categories. I didn't necessarily want
[00:54:47.020 --> 00:54:52.220]   you to think of these categories as I tried to find something for all of them. They're just more of a
[00:54:52.220 --> 00:54:57.900]   grouping that kind of helped me organize the content in this episode. So a handful of them are related to
[00:54:57.900 --> 00:55:05.500]   time. And the one that I've been using the most in the past year is just leveraging AI for everything.
[00:55:05.500 --> 00:55:10.540]   Whether you like ChatGPT or Gemini or Cloud or Perplexity, I'm impartial to what tool you use.
[00:55:11.100 --> 00:55:18.780]   But for travel planning, for research, I feel like I have an army of interns at my disposal to go do
[00:55:18.780 --> 00:55:22.860]   all kinds of stuff. Can you draft this? Can you review this legal doc? Can you help me come up with
[00:55:22.860 --> 00:55:28.060]   an itinerary? Can you go research something for personal life, for work? Can you help me summarize
[00:55:28.060 --> 00:55:35.580]   this? It's just such an amazing tool. I can't imagine how much longer it would take me to do all kinds of
[00:55:35.580 --> 00:55:41.740]   work in my life than it does now. And if you're not using any of these tools regularly, I would
[00:55:41.740 --> 00:55:46.300]   strongly encourage you to give them a try. I would encourage you to find someone in your circle of
[00:55:46.300 --> 00:55:50.460]   friends that probably uses them more than you and ask them how they're using them because I'm
[00:55:50.460 --> 00:55:56.380]   constantly getting new ideas of ways to do things. This morning, my daughter asked, "How many sprinkles
[00:55:56.380 --> 00:56:00.780]   are on my pancakes?" And there were more than enough on her plate than I wanted to count. And we're like,
[00:56:00.780 --> 00:56:05.740]   "Oh, I wonder if ChatGPT could answer." It's at a number of about 4,000. So I will say that's not
[00:56:05.740 --> 00:56:12.940]   the best example of something you can do, but I'm always experimenting for ways that some AI tool could
[00:56:12.940 --> 00:56:18.220]   save me time or get me to a better answer sooner. This episode is brought to you by Viore, which is
[00:56:18.220 --> 00:56:23.420]   amazing because they are one of only the few brands I wear almost every single day. I've got a shirt on,
[00:56:23.420 --> 00:56:28.780]   I've got the core shorts on. I love Viore and I love that they bring a new perspective on performance
[00:56:28.780 --> 00:56:33.500]   apparel. It's so versatile. It can be used for just about any activity, whether it's running,
[00:56:33.500 --> 00:56:38.940]   training, swimming, yoga, or even lounging or running errands or going out to dinner. Seriously,
[00:56:38.940 --> 00:56:43.660]   I wear my Metta pants out for dinner all the time. But today I want to talk about their Dream Knit
[00:56:43.660 --> 00:56:49.420]   collection because it's amazing. It is super soft, lightweight, moisture wicking, but also has this
[00:56:49.420 --> 00:56:54.540]   amazing four-way performance stretch that makes it so comfortable. While it's almost impossible to
[00:56:54.540 --> 00:56:59.180]   narrow my Viore recommendations down to just one thing, I want you to check out the Ponto performance
[00:56:59.180 --> 00:57:04.700]   jogger for men or the performance jogger for women. I know me and my wife, Amy, absolutely love them and
[00:57:04.700 --> 00:57:09.580]   wear them all the time. Seriously, I think Viore is an investment in your happiness and for everyone
[00:57:09.580 --> 00:57:16.380]   watching, they're offering 20% off your first purchase plus free shipping on US orders over $75 and free
[00:57:16.380 --> 00:57:21.100]   returns. So get yourself some of the most comfortable and versatile clothing on the planet
[00:57:21.100 --> 00:57:28.700]   at chrishutchins.com/viore. That's V-U-O-R-I. Again, that's chrishutchins.com/viore to discover
[00:57:28.700 --> 00:57:34.860]   the versatility of Viore clothing. Exclusions apply. Visit the website for full terms and conditions and
[00:57:34.860 --> 00:57:38.860]   find the link in the description. Now, the next tip is not one that I've actually used one of these AI
[00:57:38.860 --> 00:57:44.380]   tools for. Maybe I could, but it's to go do a calendar time audit. So in episode 99,
[00:57:44.380 --> 00:57:48.940]   I sat down with Sahil Bloom and we talked about how to plan your year ahead and to do an annual
[00:57:48.940 --> 00:57:53.900]   review. And we might be halfway through the year, but I would say better late than never. But one of
[00:57:53.900 --> 00:57:58.460]   the things he loves doing is a calendar audit where you go back and you look how you actually spent your
[00:57:58.460 --> 00:58:03.020]   time. And then you color code things for like, did it give me energy? Did it take energy away?
[00:58:03.020 --> 00:58:07.580]   And look, with our work, there are things that might not give you energy, but you have to do and that's
[00:58:07.580 --> 00:58:12.860]   okay. But there's usually some of these things that we're doing in our own lives. And we might realize
[00:58:12.860 --> 00:58:17.420]   that we're allocating time differently than how we would want to. And so just going through that audit
[00:58:17.420 --> 00:58:23.580]   process is really helpful for me to think about how I want to spend my time going forward.
[00:58:23.580 --> 00:58:29.020]   And when I do think about how I'm going to spend my time going forward, one of the things I like to do
[00:58:29.020 --> 00:58:33.740]   is a tip from two guys I worked with, Jake Knapp and John Zeradsky. They wrote this book called Make
[00:58:33.740 --> 00:58:39.580]   Time. And we talked together in episode 185. And they were like, you should highlight one thing each
[00:58:39.580 --> 00:58:44.380]   day. And it's a simple thing. But in the morning, I say, okay, what's the thing I want to accomplish
[00:58:44.380 --> 00:58:49.500]   today? What's going to be the highlight of my day today? Write it down. And it's so helpful for making
[00:58:49.500 --> 00:58:52.780]   sure you have an awesome day and you get done the one thing that's most important.
[00:58:52.780 --> 00:58:58.300]   Arguably, one of my favorite filters for whether something should be on the docket for today is
[00:58:58.300 --> 00:59:04.460]   applying the hell yes or no filter. And back in episode 109, I talked to Derek Sivers who wrote
[00:59:04.460 --> 00:59:10.460]   a book called Hell Yeah or No. And we had this amazing conversation. It's one of the more interesting
[00:59:10.460 --> 00:59:16.220]   episodes because I didn't have an agenda going into the episode. We didn't have a specific topic we
[00:59:16.220 --> 00:59:20.380]   wanted to focus on. So often I'm like, oh, I want to learn about gut health or I want to learn how to
[00:59:20.380 --> 00:59:25.420]   rethink elite status. In this one, I was just like, Derek Sivers is such a great modern philosopher.
[00:59:25.420 --> 00:59:32.380]   Let's just talk. And this perspective of if you don't really want to do something, don't do it.
[00:59:32.380 --> 00:59:37.740]   It's a little bit like the Marie Kondo. If you don't love this thing, get rid of it. But applying the
[00:59:37.740 --> 00:59:44.860]   hell yes filter to anything in life has been such a powerful way for me and Amy to decide how we want to
[00:59:44.860 --> 00:59:49.820]   spend our time. Oh, we got invited to this thing. Is it a hell yeah? Because if it's not, let's just
[00:59:49.820 --> 00:59:54.660]   pass. I love that filter. I'd encourage you all to adopt it. He wrote a whole book on this if you want
[00:59:54.660 --> 00:59:58.780]   to read it. It's excellent. I'll put a link in the show notes. Now, one thing that I think many of us
[00:59:58.780 --> 01:00:03.020]   forget that we can apply that filter to is our email. And so I was having a conversation with a
[01:00:03.020 --> 01:00:06.940]   friend of mine the other day who was like, oh, this guy emailed me and I'm trying to figure out how do I
[01:00:06.940 --> 01:00:11.620]   reply? And I was like, do you have to reply? And he's like, well, he emailed me. And I was like,
[01:00:12.500 --> 01:00:17.960]   just because someone sends you an email doesn't mean you owe them a response. Now, you might have
[01:00:17.960 --> 01:00:23.120]   people with whom you have a relationship or your boss where yes, you do owe them a response. But I
[01:00:23.120 --> 01:00:28.840]   sometimes feel like when someone invites us to dinner, we have the ability to say no. But when
[01:00:28.840 --> 01:00:33.380]   someone sends us an email, even if we don't know that person, we sometimes and I catch myself doing
[01:00:33.380 --> 01:00:38.700]   this feel like we are obliged to reply. And I encouraged him to realize that he is in charge of
[01:00:38.700 --> 01:00:43.900]   his own inbox. He doesn't have to reply to every single email. And in this particular case, this was
[01:00:43.900 --> 01:00:47.740]   one where he didn't need to reply and he just archived it. So I would encourage you to think
[01:00:47.740 --> 01:00:54.180]   about, do I really feel like I have to give a response to every single person? We've all sent
[01:00:54.180 --> 01:00:59.960]   emails and not gotten replies back. Usually those are to people who maybe are better at managing their
[01:00:59.960 --> 01:01:04.960]   time than we are. Maybe not. But don't forget, you don't owe a reply to every email you get.
[01:01:04.960 --> 01:01:12.620]   And finally, on the notion of time, you can outsource things you don't enjoy to buy back your time. So in
[01:01:12.620 --> 01:01:19.400]   episode 98, I sat down with Dan Martell, we talked about buying back your time. And he is excellent at
[01:01:19.400 --> 01:01:24.860]   finding things that are not a good use of his time, because he has a lot of business opportunities,
[01:01:24.860 --> 01:01:30.100]   or finding things he just doesn't enjoy, and outsourcing them. And so one experiment that we
[01:01:30.100 --> 01:01:35.580]   tried, probably around the time of this episode, was we realized with two young kids and a lot going
[01:01:35.580 --> 01:01:40.500]   on with work, this is before the podcast was our full time thing. And my wife and I had two full time
[01:01:40.500 --> 01:01:46.120]   jobs and a podcast and young kids. We thought, what is something that we just feel like we never have
[01:01:46.120 --> 01:01:51.800]   time for and we didn't enjoy in the moment. And at that time, it was having to stop work early to prep
[01:01:51.800 --> 01:01:56.220]   dinner for the family. And we cared about eating good food. So we didn't just want to do carry out
[01:01:56.220 --> 01:02:00.900]   every single night, we wanted whole foods that we could make. So I put an ad on Craigslist and said,
[01:02:00.900 --> 01:02:07.100]   I'm looking for someone to prepare meals a few times a week. Now I was not looking for a chef to come
[01:02:07.100 --> 01:02:13.440]   over and create Michelin star meals. I was looking for someone who enjoyed cooking could be someone who's
[01:02:13.440 --> 01:02:19.480]   retired could be someone who doesn't work anymore. And I just wanted them to find some fun recipes,
[01:02:19.480 --> 01:02:23.480]   pick up some groceries and make them for this period of time where work was crazy.
[01:02:23.480 --> 01:02:31.360]   And for way less than the cost of ordering out food, we actually got home cooked meals. And this
[01:02:31.360 --> 01:02:36.940]   person would drop them off two meals at a time. So on I think Monday, they drop off two dinners at a
[01:02:36.940 --> 01:02:41.820]   quantity that there was enough leftovers that we would also have some food for lunch the next day.
[01:02:41.820 --> 01:02:46.560]   And so we had really healthy food that we could control what it was and what was going into it.
[01:02:46.700 --> 01:02:50.460]   We didn't have to take the time to cook it. And then when things freed up time a little bit more
[01:02:50.460 --> 01:02:55.060]   at work, we actually felt like cooking was something we wanted to do again. And we had the time to do it
[01:02:55.060 --> 01:03:00.260]   and it wasn't stressful. And we decided to start doing more of the cooking ourselves. And so you can find
[01:03:00.260 --> 01:03:04.540]   windows of your time where outsourcing things make sense. If you don't love cleaning the house,
[01:03:04.540 --> 01:03:07.940]   is that something you can outsource? If you don't love mowing the lawn, is that something you can
[01:03:07.940 --> 01:03:12.820]   outsource? Buying back your time is something that we can't always do, but there are areas where you can.
[01:03:12.820 --> 01:03:17.480]   And so hopefully that's a little bit of inspiration to think about anything that you could buy back time
[01:03:17.480 --> 01:03:22.720]   for in your life. Okay, the next couple are in relationships. And the first one is to just stop
[01:03:22.720 --> 01:03:28.060]   talking. This is not only a negotiation tactic, but I think it's a really valuable relationship building
[01:03:28.060 --> 01:03:33.120]   tactic. And in episode 190, I was talking with Sahil Bloom, and he talked about these three levels of
[01:03:33.120 --> 01:03:37.640]   listening. Level one is kind of me listening. Level two is you listening. And level three is us
[01:03:37.640 --> 01:03:42.460]   listening. And he pointed out that very charismatic people are very good at level two and three
[01:03:42.460 --> 01:03:47.780]   listening. And so I've just learned that for my personality, I always try to jump in and help.
[01:03:47.780 --> 01:03:53.180]   And I've learned to just help myself stop talking. And that's sometimes one of the best tactics.
[01:03:53.180 --> 01:03:59.400]   With my wife, one of the most valuable episodes I've ever done was number 43, which interestingly enough
[01:03:59.400 --> 01:04:04.080]   is this is tip number 43 of the 50 for this episode. And that was unintentional.
[01:04:04.080 --> 01:04:09.400]   But it was an episode with Nate and Kaylee Klempp, who together wrote this book about what they called
[01:04:09.400 --> 01:04:16.300]   the 80 80 marriage. And the premise is simple. But the execution, there's some nuance. But the idea is
[01:04:16.300 --> 01:04:21.300]   instead of keeping track of everything, you know, we have this 50 50 marriage where I'll do the bedtime,
[01:04:21.300 --> 01:04:25.580]   you do the bedtime, I'll do the bedtime, you do the bedtime, or I did bedtime last night. So you do the
[01:04:25.580 --> 01:04:30.320]   dishes and you're keeping track of all this stuff. If you can evolve to a place where everyone's trying
[01:04:30.320 --> 01:04:36.560]   to do 80% they won't always get there never going to happen perfectly. But you can kind of stop keeping track and it was a
[01:04:36.560 --> 01:04:43.880]   totally new model for a happier relationship. And we adopted it and we stopped keeping track and it made things so much
[01:04:43.880 --> 01:04:51.160]   better. So it's strongly encourage anyone who feels like that is a problem you sympathize with to consider whether you can stop
[01:04:51.160 --> 01:04:58.480]   keeping track of what's going on and really just try to focus on everyone's trying to do as much as they can.
[01:04:58.480 --> 01:05:06.660]   Now, the last one's a fun one. And I did this episode number 68 with Nick Gray, who's become a good friend of mine. And he wrote
[01:05:06.660 --> 01:05:13.840]   this book called the two hour cocktail party. And Nick, if you were here right now would make a very strong case for down with
[01:05:13.840 --> 01:05:21.880]   dinner parties, down with long backyard parties. It's all about the two hour cocktail party. And not only just doing one, but
[01:05:21.880 --> 01:05:30.660]   making it so dead simple that you can have it on the calendar, have a recurring event every one, two months. So anytime you
[01:05:30.660 --> 01:05:36.660]   meet someone, you say, Oh, I've got this cocktail party next month, do you want to come on over? And he has a formula for creating and
[01:05:36.660 --> 01:05:43.480]   running these cocktail parties. And when I say cocktail parties, it doesn't have to be something fancy. I think that's the term he came up with it.
[01:05:43.480 --> 01:05:51.700]   But it could be just a, you know, a happy hour. But the idea is, you make it so dead simple and easy to do. You have a formula for how it
[01:05:51.700 --> 01:05:58.540]   goes well. And it's such a valuable tool to build relationships, especially when you're in a new environment, you moved into a new
[01:05:58.540 --> 01:06:05.220]   city, you joined a new school, you joined a new church, just different ways that you might want to build and foster community and
[01:06:05.220 --> 01:06:12.840]   relationships. It was so awesome. We've been trying to use that anytime we have people over and instead of necessarily doing dinner parties, which can be
[01:06:13.120 --> 01:06:18.840]   with young kids and bedtimes, can we do an afternoon cocktail party before dinner on a Sunday afternoon, could we invite
[01:06:18.840 --> 01:06:26.900]   kids to come and play in the backyard. So those three tips I love for relationships. Now health is so particular and
[01:06:26.900 --> 01:06:34.440]   specific that I decided not to go deep down the health path on this episode. But there are two tips that I want to share
[01:06:34.440 --> 01:06:42.400]   that I picked up that are very simple and have been really impactful for me. So one is before I go out to
[01:06:42.400 --> 01:06:49.020]   dinner, if I'm trying to be healthy, I'll look at the menu for the restaurant. And I will pre order in my head what I'm
[01:06:49.020 --> 01:06:56.640]   going to order. And I find that maybe right after lunch, when I'm not that hungry, it's way easier to commit to, I'm going to get
[01:06:56.640 --> 01:07:03.520]   this salad tonight, it looks great. Then when I get there, and I'm hungry, I'm like, that burger actually sounds a lot
[01:07:03.520 --> 01:07:09.680]   better. Now do I always make the decision I pre ordered? Not always, but it definitely helps to kind of have that
[01:07:09.680 --> 01:07:15.100]   commitment ahead of time. And I make healthier decisions. The next simple tip to make healthier decisions, you can see that I might
[01:07:15.100 --> 01:07:22.480]   have a challenge personally making healthy decisions, both at a restaurant and at home is I give myself permission to do
[01:07:22.480 --> 01:07:29.920]   the unhealthy thing. But I make myself do it in five minutes. And so my wife, Amy loves to bake. Sometimes there's
[01:07:29.920 --> 01:07:36.120]   banana bread, sometimes there's cookies and all kinds of stuff. And I don't have a lot of self control. And so instead of
[01:07:36.120 --> 01:07:41.880]   saying no, which just doesn't work for me that well, I say yes, in five minutes, I find that if there's three dozen
[01:07:41.880 --> 01:07:47.020]   cookies sitting on the counter, and I say, Hey, I can have one of these, I just have to wait five minutes. In that five
[01:07:47.020 --> 01:07:52.740]   minute period, I've moved on, I've gone to do something, and I've completely forgotten about the cookie. Now, maybe I
[01:07:52.740 --> 01:07:58.960]   come back, maybe I repeat the thing, maybe I reward myself with a cookie. But it's such a benefit to me, and it's
[01:07:58.960 --> 01:08:05.120]   prevented me from binge eating a lot of cookies, which is something that I often have found myself doing in the
[01:08:05.120 --> 01:08:11.420]   past. Okay, I think we got four more in two little categories, one on security and one on decision making. And so when it
[01:08:11.420 --> 01:08:15.940]   comes to security, I've got two things, it's freeze and delete, and they both fall under the theme of
[01:08:15.940 --> 01:08:20.100]   locking down your financial information, your personal data. So first one is freeze everything. So
[01:08:20.100 --> 01:08:24.660]   freeze your credit. There's this crazy report called the work number. If you go read up on it, you can
[01:08:24.660 --> 01:08:29.880]   find it. It's wild. It has all this information about every one of your pay stubs and your salary and your
[01:08:29.880 --> 01:08:34.180]   bonus. You can freeze all of those things. So I would encourage you to go freeze your credit, freeze your
[01:08:34.180 --> 01:08:39.000]   work number report, and anything else like that. And then second, I'd encourage you to make sure that
[01:08:39.000 --> 01:08:43.440]   your personal data is not on the internet. Now I like to do this not just for me, but for my family.
[01:08:43.440 --> 01:08:47.620]   And then the second is to delete all of your personal data. And I think this is important because
[01:08:47.620 --> 01:08:53.980]   especially in a world we are in right now with AI tools, and AI agents, and the ability to listen to
[01:08:53.980 --> 01:08:59.900]   someone's voice and clone it, I want to make myself as little of a target as possible. And if you just go
[01:08:59.900 --> 01:09:04.140]   online and search for your name, and maybe the city you live in, you'd be surprised that there's probably
[01:09:04.140 --> 01:09:08.020]   multiple websites with your address, your phone number, your personal information on there. That
[01:09:08.020 --> 01:09:14.460]   information is being shared by lots of data brokers. But also if you go to the MLS or Redfin or Zillow,
[01:09:14.460 --> 01:09:20.440]   you'll see that maybe the house you purchased has 45 pictures of every single angle of inside the house.
[01:09:20.440 --> 01:09:24.960]   You can request that be removed. Most of those data brokers, you can request they take your personal
[01:09:24.960 --> 01:09:30.940]   information down. Or there are a ton of services you can use that for a really nominal amount of money,
[01:09:30.940 --> 01:09:36.900]   they will go make all those removal requests for you and update it on an ongoing basis. After I use
[01:09:36.900 --> 01:09:40.580]   delete me, I decided to partner with them on the show, you might have heard an ad for them earlier.
[01:09:40.580 --> 01:09:45.780]   They're a tool that I actually pay for for my family. And so I've been really happy working with
[01:09:45.780 --> 01:09:50.600]   them in the past, I don't know, two or three years we've been working together. It's been great to be
[01:09:50.600 --> 01:09:55.260]   able to search my name and not find my address on the internet. So I really care about security.
[01:09:55.260 --> 01:10:00.540]   I did an episode back number 78, which was basically a list of all the things you could do to protect your
[01:10:00.540 --> 01:10:06.440]   identity, your accounts, your credit, your family, everybody should be using password managers, come up with a
[01:10:06.440 --> 01:10:11.980]   safe word amongst your family so that if your parents get a call, and they're not sure if it's really you, they can
[01:10:11.980 --> 01:10:17.160]   ask about it, I might do an updated version of an episode like that in the future, just because I care so much
[01:10:17.160 --> 01:10:24.600]   about it. Finally, last two things are around decision making. And one of the most exciting
[01:10:24.600 --> 01:10:30.580]   conversations I had in the past handful of years was episode 105 with a guy named Matt Higgins, who
[01:10:30.580 --> 01:10:38.060]   wrote a book called Burn the Boats. And it really just pushed me to overcome the fear of jumping into
[01:10:38.060 --> 01:10:45.200]   something. And the idea being that there are battles that were won because soldiers decided to burn the
[01:10:45.200 --> 01:10:51.500]   boats. So they had no choice but to stay and fight. And how having a plan B sometimes holds you back, even if
[01:10:51.500 --> 01:10:57.300]   it's just in your mind. And so that was really impactful to have this burn the boats mentality. Anytime I'm
[01:10:57.300 --> 01:11:03.280]   thinking here's something I really, really want to do, how do I really help myself do it? Well, you don't have to
[01:11:03.280 --> 01:11:08.920]   actually burn any boats to make this happen. But there are tactics that you can employ to say, I'm not going to
[01:11:08.920 --> 01:11:14.080]   spend time thinking about plan B, I'm going to focus on plan A, and that might make it more successful in the
[01:11:14.080 --> 01:11:21.200]   future. And then last, when it comes to decision making, a perspective I like to have every time I
[01:11:21.200 --> 01:11:26.060]   think about what I should do is I ask myself what advice I would give my friend in this circumstance.
[01:11:26.060 --> 01:11:32.420]   And for whatever reason, it always comes to me more clearly when I think through that lens than when I
[01:11:32.420 --> 01:11:37.420]   think, what should I do? When I think, what should I do? I make a spreadsheet, I try to optimize, I think all
[01:11:37.420 --> 01:11:41.740]   these ideas. And when I think, what should I tell my friend to do? Well, maybe I'm not going to go build my own
[01:11:41.740 --> 01:11:46.520]   spreadsheet for my friend. So I give him kind of my off the cuff gut reaction to what I think they should
[01:11:46.520 --> 01:11:52.440]   do. And very often, that's probably what I should do also. And so my last takeaway from the last 200
[01:11:52.440 --> 01:11:57.200]   plus episodes that I'm going to share today is that when you're not sure what to do, when you're trying
[01:11:57.200 --> 01:12:03.440]   to figure it out, ask yourself what advice you would give to a friend. And so along that lines, I'm going
[01:12:03.440 --> 01:12:08.660]   to ask everyone listening, if there's anything you think I left off, if there's anything you think maybe I
[01:12:08.660 --> 01:12:14.220]   don't even know that you want to share, podcast at allthehacks.com is an email that I check all the
[01:12:14.220 --> 01:12:18.520]   time. I read everything that comes in. I'd love to hear if there are things you think I forgot or
[01:12:18.520 --> 01:12:23.120]   there are things you want to share. I'll try to bring them up maybe in a future episode and recap some of
[01:12:23.120 --> 01:12:27.500]   the fun ones that you all shared with me and share those with everyone else. Thank you so much for
[01:12:27.500 --> 01:12:30.020]   listening. That's it for this week. I will see you next week.

