
[00:00:00.000 --> 00:00:08.000]   Welcome back to lesson 9 part 2, how to train your model.
[01:13:14.000 --> 01:13:23.000]   But if you think about it if you had one mini batch of size 1000 and one mini batch of size one.
[01:13:23.000 --> 01:13:40.000]   You can't actually just do that right you can't you actually need a weighted average weighted by the size of the mini batch so this incorrect way is how nearly every library does it faster I does it the proper way and next time we do this we're going to do the proper way okay but for now.
[01:13:40.000 --> 01:13:48.000]   Here's what most people do and it does not work correctly when your batch size varies.
[01:13:48.000 --> 01:13:57.000]   So it it's handy to have something that we can basically pass in a training data set in a validation data set in a batch size to and just grab the data loaders.
[01:13:57.000 --> 01:14:09.000]   The training data set will be shuffled validation won't be shuffled also the validation data set we don't need to do the backward pass so we don't need to store the gradients so that means that we have.
[01:14:09.000 --> 01:14:22.000]   Twice as much room so we can make it twice this size twice the batch size so it's you know another nice thing to refactor out you don't have to type it anymore and also it means that you won't accidentally make a mistake.
[01:14:22.000 --> 01:14:32.000]   And so now we can go ahead and fit and let's do five epochs and so now these are actual validation accuracies.
[01:14:32.000 --> 01:14:44.000]   Okay great so we've successfully built a training loop let's have a six minute break come back at 755 and talk about callbacks.
[01:14:44.000 --> 01:14:51.000]   Before we continue Rachel any questions.
[01:14:51.000 --> 01:14:56.000]   So why do we have to zero out our gradients and pie torch.
[01:14:56.000 --> 01:15:06.000]   Why do you have to zero out your gradients and pie torch so yeah.
[01:15:06.000 --> 01:15:08.000]   The way we.
[01:15:08.000 --> 01:15:12.000]   Let's go back to.
[01:15:12.000 --> 01:15:16.000]   So it is our here's our optimizer right.
[01:15:16.000 --> 01:15:22.000]   Or let's go back even further here's.
[01:15:22.000 --> 01:15:28.000]   Here's our first version so this is just.
[01:15:28.000 --> 01:15:38.000]   With no additional help from pie torch at all if we didn't go grad zero here.
[01:15:38.000 --> 01:15:44.000]   Then what's going to happen the next time we go through and say lost up backward is it's going to add.
[01:15:44.000 --> 01:15:56.000]   The new gradients to those existing gradients now why does that happen or that happens because we often have kind of lots of sources of gradients you know there's lots of kind of.
[01:15:56.000 --> 01:16:08.000]   Different modules all connected together and so they're getting their gradients from lots of different places and they all have to be added up so so when we call backward we wouldn't want backward to zero the gradients.
[01:16:08.000 --> 01:16:16.000]   Because then we would lose this ability to kind of plug in lots of things together and just have them have them work.
[01:16:16.000 --> 01:16:20.000]   So that's why we need the grad dot zero.
[01:16:20.000 --> 01:16:25.000]   Here so then you know that's part that's part one of the answer.
[01:16:25.000 --> 01:16:28.000]   Part two of the answer is.
[01:16:28.000 --> 01:16:40.000]   Why did we write our optimizer so there was one thing called step and one thing called zero grad because what we could have done is we could have removed these lines and push this up here.
[01:16:40.000 --> 01:16:43.000]   And so that step.
[01:16:43.000 --> 01:16:52.000]   Could have done both and then since we've actually got this kind of twice now we could put it all inside the for loop.
[01:16:52.000 --> 01:17:05.000]   So we could certainly have written our optimizer like this as a switch parameter and does the update and sets the gradient to zero and then we would be able to remove this line.
[01:17:05.000 --> 01:17:08.000]   So.
[01:17:08.000 --> 01:17:13.000]   The problem with that is that.
[01:17:13.000 --> 01:17:17.000]   Within remove the ability.
[01:17:17.000 --> 01:17:28.000]   To not zero the gradients here and that means any time that we don't want to zero the gradients we now can't use the optimizer so for example.
[01:17:28.000 --> 01:17:38.000]   What if you are working with some pretty big objects so like if you're doing super resolution and you're trying to create a two K output.
[01:17:38.000 --> 01:17:45.000]   You know your batch size you can only fit two images on the GPU at a time.
[01:17:45.000 --> 01:17:47.000]   And.
[01:17:47.000 --> 01:17:58.000]   The stability of the gradients that you get from a batch size of two is so poor that you need to use a larger batch size so well that would be.
[01:17:58.000 --> 01:18:08.000]   Really easy to do if you did it like this right because we could say.
[01:18:08.000 --> 01:18:10.000]   If.
[01:18:10.000 --> 01:18:12.000]   I.
[01:18:12.000 --> 01:18:15.000]   Percent.
[01:18:15.000 --> 01:18:17.000]   Two.
[01:18:17.000 --> 01:18:20.000]   Then.
[01:18:20.000 --> 01:18:32.000]   Right and so this is now going to only run these things every two iterations and so that means that our effective batch size is now double.
[01:18:32.000 --> 01:18:48.000]   So that's handy right that's called gradient accumulation the gradient accumulation is where you change your training loop so that your your optimizer step and your zero grads only happen occasionally so.
[01:18:48.000 --> 01:18:58.000]   That's really the reason is it is it there might be times you don't want to zero the gradients every time you do a step.
[01:18:58.000 --> 01:19:03.000]   And if you if there's no way to do that that's a problem.
[01:19:03.000 --> 01:19:12.000]   That you could argue that I can't think of a reason that this isn't a good idea we could make our optimizer we could say kind of like auto zero.
[01:19:12.000 --> 01:19:23.000]   Equals true say and then we could have something in here which kind of says like if self dot auto zero.
[01:19:23.000 --> 01:19:27.000]   Then self dot zero.
[01:19:27.000 --> 01:19:41.000]   Right something like that and then that could even be the default and then you wouldn't have to worry about it unless you're explicitly wanted to do gradient accumulation I think that would be really be a better API design maybe but that's.
[01:19:41.000 --> 01:19:51.000]   Not what they've done but it's so easy to write your own optimizers you could totally do that but I mean that you know the upside is removing a single line of code which.
[01:19:51.000 --> 01:19:55.000]   Isn't a huge upside anyway so.
[01:19:55.000 --> 01:19:58.000]   Any other questions Rachel.
[01:19:58.000 --> 01:20:03.000]   Okay.
[01:20:03.000 --> 01:20:07.000]   Okay so that's our training loop.
[01:20:07.000 --> 01:20:21.000]   But it's not quite where we wanted to be and I'm stealing some slides here from silver who had a really cool talk recently called an infinitely customizable training loop so I'll steal her slides.
[01:20:21.000 --> 01:20:27.000]   Before I do I would like to do a big thank you to silver.
[01:20:27.000 --> 01:20:34.000]   He has been working full time with fast day I for.
[01:20:34.000 --> 01:20:53.000]   Well over a year now I guess and a huge amount of what you see in the fast day I library and research and courses is is him so massive thank you to silver who's the most awesome person I've worked within my whole life so.
[01:20:53.000 --> 01:21:05.000]   That's pretty cool but also thank you to lots of other people huge thanks to stairs who a lot of you all have come across in the forum and he's he's done a lot of the stuff that makes faster I work.
[01:21:05.000 --> 01:21:11.000]   Well and he's entirely a volunteer so like super grateful to him.
[01:21:11.000 --> 01:21:26.000]   You know the stuff that lets you check with your installation works properly that lets you quickly check with your performance is what it should be also like organizing lots of helpful projects through the forums he's been fantastic lots of other folks as well.
[01:21:26.000 --> 01:21:37.000]   Andrew Shaw wrote a lot of the original kind of documentation stuff that we have Fred Monroe has been helpful in thousands of ways and it's just incredibly generous.
[01:21:37.000 --> 01:21:51.000]   Jason a lot of you will already be aware of who helped a lot with the final lesson of the last course and is hard at work now on taking it even further to doing some stuff that's going to blow you away.
[01:21:51.000 --> 01:22:03.000]   I particularly want to point out Radik because this is the list of the I can't quite count as a 20 most helpful people on the forum as ranked by a number of likes.
[01:22:03.000 --> 01:22:19.000]   You know when somebody clicks that like button that means they're saying you know you've you've helped me and more people have said that about Radik than anybody else and it's not surprising because Radik is just not just an incredibly helpful person but extremely thoughtful.
[01:22:19.000 --> 01:22:23.000]   And he's now I mean he.
[01:22:23.000 --> 01:22:27.000]   You know when he started with as a fast student he.
[01:22:27.000 --> 01:22:40.000]   Considered himself if I remember correctly basically a failed ML student he had tried a number of times to learn ML and hadn't succeeded but he's just applied himself so well for the last couple of years and he's now a Kaggle winner.
[01:22:40.000 --> 01:22:56.000]   You know a world recognized deep learning practitioner and so thank you to all of these people and everybody else who's contributed in so many ways and of course Rachel who's sitting right next to me.
[01:22:56.000 --> 01:23:08.000]   So this is the. Fit function that we just wrote or the one this slightly more elegant one before we added validation to it.
[01:23:08.000 --> 01:23:21.000]   So go through each epoch go through each sort of mini back to go through each mini batch get the prediction the loss backward pass update your parameters and then zero the gradients.
[01:23:21.000 --> 01:23:34.000]   So that's basically what we're doing model predictions loss gradients step at each time we grab a bit more training data.
[01:23:34.000 --> 01:23:40.000]   But. That's not really all we want to do in a training loop.
[01:23:40.000 --> 01:24:01.000]   We might want to add the beautiful fast progress progress bars and animations that silver created in his fast progress library or tense aboard or whatever and thanks to Jason actually we now have tense aboard integration in fast AI so be sure to check that out if you want extra pretty graphs like these.
[01:24:01.000 --> 01:24:13.000]   Hyper parameter scheduling. You might want to add all kinds of different regularization techniques these are all examples of regularization techniques that we support in fast AI and many more.
[01:24:13.000 --> 01:24:22.000]   Mixed precision training and also take advantage of the tensor cause in a voter GPU to train much faster.
[01:24:22.000 --> 01:24:30.000]   There's more tweaks you might want to do the training loop than than we could possibly think of and even if we did think of all of the ones that exist now somebody will come up with a new one tomorrow.
[01:24:30.000 --> 01:24:36.000]   So the so you've got some possible ways you could solve this problem.
[01:24:36.000 --> 01:24:45.000]   And you know some of the things are talking about or even things like how do you add gains more complex stuff so one approach is.
[01:24:45.000 --> 01:24:59.000]   Write a training loop for every possible way you want to train and this is particularly problematic when you start to like want to combine multiple different tweaks right as you like cutting and pasting or whatever.
[01:24:59.000 --> 01:25:05.000]   So that's certainly not going to work for fast AI.
[01:25:05.000 --> 01:25:19.000]   There's what I tried for fast AI zero point seven this is my training loop the last time I tried this which is like throw in every damn thing and it and it just got.
[01:25:19.000 --> 01:25:29.000]   So every time somebody would say like a new papers come out can you please implement and I just be like no I couldn't bear it.
[01:25:29.000 --> 01:25:33.000]   So now we have something better.
[01:25:33.000 --> 01:25:48.000]   Callbacks and callbacks are something which like every library has callbacks but nobody else have callbacks anything like our callbacks and you'll see what I mean our callbacks let you not only look at but fully customize every one of these.
[01:25:48.000 --> 01:25:54.000]   Steps right and so.
[01:25:54.000 --> 01:25:57.000]   Here's our starting training loop.
[01:25:57.000 --> 01:26:00.000]   Here's the fast AI.
[01:26:00.000 --> 01:26:04.000]   Version one training loop it's the same.
[01:26:04.000 --> 01:26:08.000]   Right there's the exact same lines of code.
[01:26:08.000 --> 01:26:10.000]   Plus.
[01:26:10.000 --> 01:26:13.000]   A bunch of calls to.
[01:26:13.000 --> 01:26:17.000]   Callbacks and so each one basically says.
[01:26:17.000 --> 01:26:20.000]   Before I do a step on step again.
[01:26:20.000 --> 01:26:29.000]   After I do a step on step and after I do a batch on batch and after I do an epoch on epoch and after finish training on training and right.
[01:26:29.000 --> 01:26:33.000]   And they have the ability to also change things or even.
[01:26:33.000 --> 01:26:36.000]   They have the ability to say please skip the next step.
[01:26:36.000 --> 01:26:39.000]   I returning a bullion.
[01:26:39.000 --> 01:26:46.000]   So with this we can create and have created all kinds of things and fast AI like learning rate schedulers.
[01:26:46.000 --> 01:26:49.000]   And early stopping.
[01:26:49.000 --> 01:26:55.000]   And parallel trainer this is literally when I wrote parallel trainer this is the entire call back I wrote.
[01:26:55.000 --> 01:27:03.000]   This is the entire gradient clipping call back right after you do the backward pass clip the gradients.
[01:27:03.000 --> 01:27:08.000]   So you can do a lot with a little.
[01:27:08.000 --> 01:27:10.000]   And then.
[01:27:10.000 --> 01:27:12.000]   You can mix them all together.
[01:27:12.000 --> 01:27:16.000]   Because all of the callbacks work with all of the other callbacks.
[01:27:16.000 --> 01:27:20.000]   So these are some of the callbacks that we have in fast AI.
[01:27:20.000 --> 01:27:23.000]   Right now.
[01:27:23.000 --> 01:27:25.000]   So for example.
[01:27:25.000 --> 01:27:27.000]   How did we do gains.
[01:27:27.000 --> 01:27:28.000]   Last.
[01:27:28.000 --> 01:27:30.000]   Course.
[01:27:30.000 --> 01:27:35.000]   So what we did behind the scenes was we created again module.
[01:27:35.000 --> 01:27:40.000]   That was ridiculously simple we created again module that had a forward method.
[01:27:40.000 --> 01:27:45.000]   That just said what's your generator mode is that.
[01:27:45.000 --> 01:27:54.000]   Sorry are you in generator mode or not and we're not means discriminator mode if you're in generator mode called the generator otherwise called the critic.
[01:27:54.000 --> 01:28:02.000]   And then there's a function called switch that just change generator mode backwards and forwards between generator and just discriminator.
[01:28:02.000 --> 01:28:07.000]   Same thing if we created a loss function where there was a generator loss.
[01:28:07.000 --> 01:28:10.000]   And a critic loss.
[01:28:10.000 --> 01:28:13.000]   And so then we created a call back.
[01:28:13.000 --> 01:28:18.000]   Right which had a switch that just switch the generator mode on and off.
[01:28:18.000 --> 01:28:26.000]   And past that along to the model I just showed you and the loss function I just showed you.
[01:28:26.000 --> 01:28:34.000]   And then it would set requires grad to the generator or discriminator as appropriate.
[01:28:34.000 --> 01:28:39.000]   And then would have on train begin on train end on that.
[01:28:39.000 --> 01:28:44.000]   Callbacks to do the right thing at the right time so most importantly at the start of an epoch.
[01:28:44.000 --> 01:28:46.000]   Set your generator mode.
[01:28:46.000 --> 01:28:49.000]   And at the end of training set your generator mode.
[01:28:49.000 --> 01:28:55.000]   So if you look at kind of other libraries implementation of GANS there.
[01:28:55.000 --> 01:28:59.000]   Basically kind of a whole new training loop whole new.
[01:28:59.000 --> 01:29:07.000]   Data load is whole new everything and it was really cool in fast AI we were able to create a GAN.
[01:29:07.000 --> 01:29:13.000]   In this you know incredibly small amount of code for such a complex task.
[01:29:13.000 --> 01:29:20.000]   So let's let's do that ourselves right because we've got a training loop if we add callbacks we should now then be able to do.
[01:29:20.000 --> 01:29:23.000]   Everything.
[01:29:23.000 --> 01:29:29.000]   So let's start out by grabbing our data as before.
[01:29:29.000 --> 01:29:37.000]   So we've got the number of hidden is 50 batch size 64 loss function is cross entropy.
[01:29:37.000 --> 01:29:48.000]   This is the signature of our fit function before and I got very nervous when I see functions with lots of things being passed to it.
[01:29:48.000 --> 01:29:53.000]   And it makes me think do we really need to pass all those things to it or can some of them be packaged up together.
[01:29:53.000 --> 01:30:00.000]   There's a lot of benefits to packaging up things together when you can package up things together where they're kind of alike things.
[01:30:00.000 --> 01:30:04.000]   You can pass them around to everything that needs them together.
[01:30:04.000 --> 01:30:15.000]   You can create them using kind of factory methods that create them together and you can do smart things like look at the combination of them and make smart decisions for your users.
[01:30:15.000 --> 01:30:29.000]   Rather than having to have them set everything themselves so there's lots of reasons that I would prefer to keep a pox right but I'd like to put all these other things into a single object.
[01:30:29.000 --> 01:30:41.000]   And specifically we can do that in 2 steps first of all let's take this data and say training and valid data conceptually should be 1 thing it's my data that maybe there's test data there as well.
[01:30:41.000 --> 01:30:45.000]   So let's create a class called data bunch.
[01:30:45.000 --> 01:30:51.000]   That we're going to pass in training data and validation data and we'll store them away.
[01:30:51.000 --> 01:30:57.000]   And that's the entirety there's no logic here but for convenience let's make it easy to grab the data set out of them.
[01:30:57.000 --> 01:30:59.000]   As well.
[01:30:59.000 --> 01:31:04.000]   Remember we're now using you can either use the.
[01:31:04.000 --> 01:31:18.000]   That the handmade data loader that we built in the last 1 or you can use the pie torch data loader they're both providing exactly the same API at this point except for the numb workers issue.
[01:31:18.000 --> 01:31:26.000]   So the remember that we passed these data load as a data set that you can access and then it would be nice if we could create a get model.
[01:31:26.000 --> 01:31:28.000]   Function.
[01:31:28.000 --> 01:31:39.000]   Which could create our model but automatically set the last layer to have the correct number of activations because the data knows how many activations it needs.
[01:31:39.000 --> 01:31:51.000]   So let's also optionally make it that you can pass in C which is going to get stored away so that then when we create our data we can pass in C which remember we set to our.
[01:31:51.000 --> 01:31:53.000]   Maximum y value.
[01:31:53.000 --> 01:31:59.000]   And so that way we never have to think about that again.
[01:31:59.000 --> 01:32:02.000]   So that's our.
[01:32:02.000 --> 01:32:06.000]   So that's our data bunch class.
[01:32:06.000 --> 01:32:10.000]   So there's our get model so it's just going to.
[01:32:10.000 --> 01:32:17.000]   Create a model with the number of inputs is the size of the input data.
[01:32:17.000 --> 01:32:26.000]   Number of hidden is whatever we had earlier, whatever we pass in and a value and then a linear from hidden to data dot C.
[01:32:26.000 --> 01:32:29.000]   And return the model and an optimizer.
[01:32:29.000 --> 01:32:32.000]   And we all know all about dot parameters now.
[01:32:32.000 --> 01:32:36.000]   So then the other.
[01:32:36.000 --> 01:32:39.000]   The rest of the stuff model lost funk opt and data.
[01:32:39.000 --> 01:32:44.000]   Let's store them in something but all up lost funk data.
[01:32:44.000 --> 01:32:48.000]   I want to store them away and that thing will call a learner.
[01:32:48.000 --> 01:32:52.000]   So notice a learner class has no logic at all.
[01:32:52.000 --> 01:32:58.000]   It's just a storage device for these 4 things.
[01:32:58.000 --> 01:33:01.000]   So now we can create a learner.
[01:33:01.000 --> 01:33:09.000]   Passing in the model and the optimizer since they're returned in this order from get model we can just say star get model.
[01:33:09.000 --> 01:33:16.000]   So that's going to pass in the model and the optimizer and we've got our lost function already at the top here we set it to cross entropy.
[01:33:16.000 --> 01:33:20.000]   And we've got our data because it's that data bunch we just created.
[01:33:20.000 --> 01:33:29.000]   So this there's nothing magic going on with data bunches and learners are just like wrappers for the information that we need.
[01:33:29.000 --> 01:33:41.000]   So now we'll take the fit function we had before and I just pasted it here but every time I had model I replaced it with learned up model every time I had data I replaced it with learned up data and so forth.
[01:33:41.000 --> 01:33:43.000]   Okay, so.
[01:33:43.000 --> 01:33:48.000]   There's the exact same thing that we had before still working fine.
[01:33:48.000 --> 01:33:51.000]   And so now.
[01:33:51.000 --> 01:33:55.000]   Let's add callbacks.
[01:33:55.000 --> 01:34:11.000]   So our fit function before basically said for epoch in range epochs for batch in train dl and then it had these contents right predictions lost backwards step zero grad I factored out the contents into something called one batch.
[01:34:11.000 --> 01:34:14.000]   Okay, and then I added.
[01:34:14.000 --> 01:34:18.000]   All these.
[01:34:18.000 --> 01:34:20.000]   Callbacks.
[01:34:20.000 --> 01:34:24.000]   At cb dot after backwards cd dot after step.
[01:34:24.000 --> 01:34:29.000]   I did one other refactoring which is that the.
[01:34:29.000 --> 01:34:39.000]   Training loop has to loop through every batch and the validation loop has to loop through every batch so I just created something called all batches.
[01:34:39.000 --> 01:34:49.000]   Okay, so this is my fit loop right begin fit the epoch in epochs begin epoch or batches with the training set begin validate.
[01:34:49.000 --> 01:34:55.000]   No grad or batches with a validation set after epoch after fit.
[01:34:55.000 --> 01:34:59.000]   Okay, so that's that.
[01:34:59.000 --> 01:35:02.000]   So here's a call back.
[01:35:02.000 --> 01:35:04.000]   Right, which has.
[01:35:04.000 --> 01:35:08.000]   All the stuff.
[01:35:08.000 --> 01:35:16.000]   And so then we need a call back handler and that's going to be something which you just say here's all my callbacks.
[01:35:16.000 --> 01:35:22.000]   And basically it's just going to go through for each thing and say go through every call back.
[01:35:22.000 --> 01:35:24.000]   And call it.
[01:35:24.000 --> 01:35:27.000]   And keep track of.
[01:35:27.000 --> 01:35:43.000]   Whether we've received a false yet or not false means don't keep going anymore and then return it so we do that for begin fit after fit begin epoch begin validate after epoch begin batch after loss after backward after step.
[01:35:43.000 --> 01:35:47.000]   So here's an example of a little call back we could create.
[01:35:47.000 --> 01:35:52.000]   And it's one that's going to at the start of the fit.
[01:35:52.000 --> 01:35:55.000]   It'll set number of iterations to zero.
[01:35:55.000 --> 01:36:00.000]   And then after every step it'll say number of iterations plus equals one.
[01:36:00.000 --> 01:36:02.000]   And print that out.
[01:36:02.000 --> 01:36:09.000]   And if we get past 10 iterations then it'll tell the learner to stop.
[01:36:09.000 --> 01:36:15.000]   Because we have this little thing called do stop that gets checked at the end.
[01:36:15.000 --> 01:36:20.000]   So let's test it.
[01:36:20.000 --> 01:36:28.000]   And so it called fit and it only did 10 batches and this is actually a really handy call back because quite often you want to like.
[01:36:28.000 --> 01:36:37.000]   Just run a few batches to make sure things seem to be working you don't want to run a whole epoch so here's a quick way you can do something like that.
[01:36:37.000 --> 01:36:43.000]   This is basically what fast AI be one looks like right now.
[01:36:43.000 --> 01:36:51.000]   It does have a little bit of extra stuff that lets you pass back and different loss and different data but it's nearly exactly the same.
[01:36:51.000 --> 01:36:53.000]   But.
[01:36:53.000 --> 01:36:55.000]   I really like.
[01:36:55.000 --> 01:37:02.000]   Rewriting stuff because when I rewrite stuff it lets me kind of look and see what I've written and when I looked back at this.
[01:37:02.000 --> 01:37:10.000]   I saw.
[01:37:10.000 --> 01:37:12.000]   It's like it's it's.
[01:37:12.000 --> 01:37:17.000]   There's this object this is the CB is the call back handler.
[01:37:17.000 --> 01:37:19.000]   That's being passed everywhere.
[01:37:19.000 --> 01:37:25.000]   And that's a code smell that code smell says something should have that state.
[01:37:25.000 --> 01:37:27.000]   And specifically these.
[01:37:27.000 --> 01:37:33.000]   Three functions should be the methods of something.
[01:37:33.000 --> 01:37:49.000]   That has this state so after I kind of wrote this part of the lesson I suddenly realized oh fast AI is doing it the dumb way so let's fix it so and this is likely to appear in a future version of fast AI I created a new thing called runner.
[01:37:49.000 --> 01:37:56.000]   And so runner is a new class.
[01:37:56.000 --> 01:38:01.000]   Runner is a new class that contains the three things I just said one batch.
[01:38:01.000 --> 01:38:03.000]   All batches.
[01:38:03.000 --> 01:38:05.000]   And fit.
[01:38:05.000 --> 01:38:09.000]   Right and the runner.
[01:38:09.000 --> 01:38:11.000]   So here's.
[01:38:11.000 --> 01:38:13.000]   Is fit.
[01:38:13.000 --> 01:38:15.000]   Right it's incredibly simple.
[01:38:15.000 --> 01:38:26.000]   We're going to keep track of how many epochs we're doing we're going to keep track of the learner that we're running and remember the learner has no logic in it the stores for things.
[01:38:26.000 --> 01:38:30.000]   And then.
[01:38:30.000 --> 01:38:32.000]   We tell each of our callbacks.
[01:38:32.000 --> 01:38:39.000]   What runner they're currently working with and then we call begin fit and then we go through each epoch.
[01:38:39.000 --> 01:38:52.000]   Set the epoch we call begin epoch we call all batches and then with no grad we call begin validate and then we call all batches and then we call after epoch and then we call after fit.
[01:38:52.000 --> 01:38:54.000]   That's it now.
[01:38:54.000 --> 01:38:56.000]   This self.
[01:38:56.000 --> 01:38:59.000]   String might look a bit weird.
[01:38:59.000 --> 01:39:02.000]   But look at what we had before.
[01:39:02.000 --> 01:39:07.000]   Again horrible code smell is lots of duplicate code.
[01:39:07.000 --> 01:39:12.000]   Res equals true for call back blah blah blah blah blah blah begin a park.
[01:39:12.000 --> 01:39:29.000]   Res equals true for call back blah blah blah blah blah begin validate so that's bad right code duplication means cognitive overhead to understand what's going on lots of opportunities to accidentally have one or instead of an and lots of places you have to change.
[01:39:29.000 --> 01:39:31.000]   If you need to edit something.
[01:39:31.000 --> 01:39:37.000]   So basically I took that out and I factored it out into.
[01:39:37.000 --> 01:39:47.000]   Dunder call so done to call is the thing that we've seen it before it's the thing that lets you treat an object as if it was a function.
[01:39:47.000 --> 01:40:00.000]   So I could have called this lots of things I could have called it self dot run call back or whatever right but it's the thing that happens absolutely everywhere and so my kind of rule of thumb is if you do something lots of times.
[01:40:00.000 --> 01:40:21.000]   Make it small so done to call is the smallest possible way you can call something you don't have to give it a name at all when you call it so we say call the call back called after epoch it also makes sense right we're calling a call back so why not use done to call to call a call back so after epoch.
[01:40:21.000 --> 01:40:25.000]   I gotta go through all of my callbacks.
[01:40:25.000 --> 01:40:40.000]   Talk about this sorted in a moment and then the other thing I didn't like before is that all of my callbacks had to inherit from this call back super class because if they didn't then they would have been missing.
[01:40:40.000 --> 01:40:54.000]   And one of these methods and so then when it tried to call the method there would have been an exception and I don't like forcing people to have to inherit from something they should be able to do whatever they like so what we did here.
[01:40:54.000 --> 01:41:07.000]   So what we did here was we used get attribute which is the python thing which says look inside this object and try to find something of this name a G begin validate.
[01:41:07.000 --> 01:41:18.000]   And default to none if you can't find it right so tries to find that call back and there will be none if the call back doesn't exist and if you find it.
[01:41:18.000 --> 01:41:24.000]   Then you can call it right so this is a nice way to.
[01:41:24.000 --> 01:41:40.000]   Call any call back but when you implement a call back as you can see look how much easier our test call back is now right it's just super simple just just implement what you need and we inherit from a new call back class.
[01:41:40.000 --> 01:41:50.000]   But we don't have to anymore right the main reason why is that our call back class now has an underscore order which we can use to.
[01:41:50.000 --> 01:41:57.000]   Choose what order callbacks running we'll talk about that after we handle this question.
[01:41:57.000 --> 01:42:04.000]   What is the difference between hooks and pie torch and callbacks and fast ai.
[01:42:04.000 --> 01:42:09.000]   We're going to do hooks very shortly.
[01:42:09.000 --> 01:42:14.000]   If you think about it if I want to.
[01:42:14.000 --> 01:42:29.000]   Kind of add a call back after I calculate the forward pass of the second layer of my model there's no way for me to do that right because the point at which I do the forward pass.
[01:42:29.000 --> 01:42:31.000]   Looks like this.
[01:42:31.000 --> 01:42:33.000]   Self dot model.
[01:42:33.000 --> 01:42:44.000]   Or if I want to hook into the point at which I've just called the backward pass if my penultimate layer I can't do that either because the whole thing appears here is self lost a backward.
[01:42:44.000 --> 01:42:53.000]   So hawks pie torch hawks are callbacks that you can add to specific pie torch modules.
[01:42:53.000 --> 01:42:57.000]   And we're going to see them in very shortly.
[01:42:57.000 --> 01:43:01.000]   Might be next class we'll see how we go.
[01:43:01.000 --> 01:43:06.000]   Okay so.
[01:43:06.000 --> 01:43:24.000]   Very often you want to be able to inject behavior into something but the different things can influence each other for example transformations we're going to be seeing this when we do data data augmentation so quite often you'll need things to run in a particular order.
[01:43:24.000 --> 01:43:34.000]   So when I add this kind of injectable behavior like callbacks I like to just add something which is what order should it run in.
[01:43:34.000 --> 01:43:40.000]   You don't have to put this here you might have noticed that what I do when I call this.
[01:43:40.000 --> 01:43:42.000]   Is I.
[01:43:42.000 --> 01:43:49.000]   This currently does sorry actually when we look at transformations it won't require order this one does require an order so.
[01:43:49.000 --> 01:44:04.000]   Yeah okay so your callbacks need to be something that have an underscore order attribute in them and this way we can make sure that some things run after other things so for example you might have noticed that our.
[01:44:04.000 --> 01:44:14.000]   Our runner in the fit function never calls model dot eval never calls model dot train so like it literally doesn't do anything you know it just.
[01:44:14.000 --> 01:44:19.000]   Says these are the steps I have to run and the callbacks do the running.
[01:44:19.000 --> 01:44:23.000]   So I created a train eval call back.
[01:44:23.000 --> 01:44:44.000]   That at the beginning of an epoch calls model dot train and the beginning of validation calls model dot eval and I also added stuff to keep track of how many epochs has it done and this is quite nice it actually does it as a floating point not just as an end so you could be like 2.3 epochs in.
[01:44:44.000 --> 01:44:55.000]   It also keeps track of how many iterations do you want so now we have this thing keeping track of iterations test call back that should stop training after 10 iterations.
[01:44:55.000 --> 01:45:02.000]   Rather than keeping track of and it is itself it should just use the end it a.
[01:45:02.000 --> 01:45:13.000]   That was defined in this call back so what we can do is we can say all right well train eval call back has an order of 0 because it inherits.
[01:45:13.000 --> 01:45:18.000]   So what we can just do here is make sure that this is later underscore order.
[01:45:18.000 --> 01:45:21.000]   Equals one.
[01:45:21.000 --> 01:45:31.000]   And so that way we can now refer to stuff that's inside the train eval call back like an inner.
[01:45:31.000 --> 01:45:37.000]   Sorry actually we don't even need to do that because it's putting an inner inside self dot run.
[01:45:37.000 --> 01:45:47.000]   So we can just go self dot and it if we if our order if this ran before train eval call back that would be a problem because and it might not have been.
[01:45:47.000 --> 01:45:50.000]   Updated yet.
[01:45:50.000 --> 01:45:54.000]   So that's what the orders for.
[01:45:54.000 --> 01:46:01.000]   Another nice thing about runner.
[01:46:01.000 --> 01:46:06.000]   So a nice thing about class call back.
[01:46:06.000 --> 01:46:09.000]   Is that I have to find dunder get atra.
[01:46:09.000 --> 01:46:12.000]   And I have to find it to say return.
[01:46:12.000 --> 01:46:16.000]   Get atra self dot run comma K.
[01:46:16.000 --> 01:46:25.000]   An important thing to know about dunder get atra is that it is only called by Python if it can't find the attribute that you've asked for.
[01:46:25.000 --> 01:46:31.000]   So if something asks for self dot name well I have self dot name so it's never going to get to here.
[01:46:31.000 --> 01:46:36.000]   So if you get to here it means python look for this attribute and it couldn't find it.
[01:46:36.000 --> 01:46:38.000]   And so.
[01:46:38.000 --> 01:46:45.000]   Very very often the thing you actually want in the call back is actually inside the runner.
[01:46:45.000 --> 01:46:54.000]   Which restore away is self dot run so this means that in all of our callbacks let's look at one.
[01:46:54.000 --> 01:47:01.000]   You can basically just use self dot pretty much everything and it will grab what you want.
[01:47:01.000 --> 01:47:06.000]   Even though most of the stuff you want is inside the runner so you'll see this.
[01:47:06.000 --> 01:47:12.000]   Pattern in fast AI a lot is that when one object.
[01:47:12.000 --> 01:47:17.000]   Contains another object or composes another object we very often delegate.
[01:47:17.000 --> 01:47:23.000]   Get attribute to the other object so for example if you're looking at.
